"书名（英文）","书名","fenlei","nianling","bid"
"Telemachus, friend ","刎颈之交 ","双语阅读","10-12岁","xin081"
"The Missing Chord ","丢失的琴弦 ","双语阅读","10-12岁","xin082"
"A Mere Interlude ","不过是插曲罢了 ","双语阅读","10-12岁","xin083"
"The Fiddler of the Reels ","拉里尔舞曲的小提琴手 ","双语阅读","10-12岁","xin084"
"What the Shepherd Saw A Tale of Four Moonlight Nights ","牧羊人之所见：四个月夜的故事 ","双语阅读","10-12岁","xin085"
"The Case of George Fisher ","乔治·费希尔案件 ","双语阅读","10-12岁","xin086"
"Blue Beard  ","蓝胡子 ","双语阅读","7-9岁","xin087"
"Cinderrela, or the Little Glass Slipper ","灰姑娘，或小玻璃鞋 ","双语阅读","7-9岁","xin088"
"Felicia and the Pot Of Pinks ","费利西娅与一盆石竹花 ","双语阅读","7-9岁","xin089"
"Hansel and Grettel","汉塞尔与格莱特 ","双语阅读","7-9岁","xin090"
"Little Red Riding Hood ","小红帽 ","双语阅读","7-9岁","xin091"
"Prince Hyacinth and the Dear Little Princess","海辛斯王子和可爱小公主 ","双语阅读","7-9岁","xin092"
"Rumpelstiltzkin ","侏儒怪 ","双语阅读","7-9岁","xin093"
"Snow-White and Rose-Red ","雪白与玫瑰红 ","双语阅读","7-9岁","xin094"
"The Black Bull of Norroway ","诺罗威的黑公牛","双语阅读","7-9岁","xin095"
"The Brave Little Tailor","勇敢的小裁缝 ","双语阅读","7-9岁","xin096"
"The Goose Girl","牧鹅姑娘 ","双语阅读","7-9岁","xin097"
"The History of Jack the Giant Killer","巨人杀手杰克传奇 ","双语阅读","7-9岁","xin098"
"The History of Whittington","惠廷顿传奇 ","双语阅读","7-9岁","xin099"
"The Master Cat; or, Puss in Boots ","穿靴子的猫咪 ","双语阅读","7-9岁","xin100"
"The Red Etin ","红色的埃廷","双语阅读","7-9岁","xin101"
"The Water-Lily ","睡莲花 ","双语阅读","7-9岁","xin102"
"Trusty John ","忠实的约翰 ","双语阅读","7-9岁","xin103"
"Toads and Diamonds ","蟾蜍与钻石 ","双语阅读","7-9岁","xin104"
"Why the Sea is Salt ","海水为什么是咸的 ","双语阅读","7-9岁","xin105"
"Indian Summer of A Forsyte ","老福赛特的印第安之夏 ","双语阅读","10-12岁","xin106"
"Lizzie Leigh ","莉齐·利 ","双语阅读","10-12岁","xin107"
"The Artist of the Beautiful ","追求至美的艺术家 ","双语阅读","10-12岁","xin108"
"The Deserted Woman ","被遗弃的女人 ","双语阅读","10-12岁","xin109"
"An African Story ","一个非洲故事 ","双语阅读","10-12岁","xin110"
"Landscape with Figures ","有人影的远景 ","双语阅读","10-12岁","xin111"
"The Faithful Bull ","忠贞的公牛 ","双语阅读","7-9岁","xin112"
"Poison ","毒药 ","双语阅读","10-12岁","xin113"
"Sun and Moon ","阳阳和月月 ","双语阅读","7-9岁","xin114"
"This Flower ","花朵 ","双语阅读","7-9岁","xin115"
"“Little Speck in Garnered Fruit” ","美中不足","双语阅读","7-9岁","xin116"
"Dougherty's Eye-Opener ","多尔蒂的启发 ","双语阅读","10-12岁","xin117"
"From Each According to His Ability ","各尽所能 ","双语阅读","10-12岁","xin118"
"Madame Bo-Peep, of the Ranches ","牧场上的博皮普夫人 ","双语阅读","10-12岁","xin119"
"Four Beasts In One ","四不像 ","双语阅读","7-9岁","xin120"
"Fortune and the Wood-Cutter (The Brown Fairy Book)","樵夫的命运 ","双语阅读","7-9岁","xin121"
"How Some Wild Animals Became Tame Ones (The Brown Fairy Book)","一些野生动物是怎样被驯服的 ","双语阅读","7-9岁","xin122"
"Pivi and Kabo (The Brown Fairy Book)","皮维和卡博 ","双语阅读","7-9岁","xin123"
"Story of Wali Dad the Simple-Hearted (The Brown Fairy Book)","纯朴真诚的瓦利·戴德的故事 ","双语阅读","7-9岁","xin124"
"The Bunyip (The Brown Fairy Book)","沼泽怪兽 ","双语阅读","7-9岁","xin125"
"The Elf Maiden (The Brown Fairy Book)","精灵姑娘 ","双语阅读","7-9岁","xin126"
"The Enchanted Head (The Brown Fairy Book)","魔法人头 ","双语阅读","7-9岁","xin127"
"The Four Gifts (The Lilac Fairy Book)"," 四份特别的礼物 ","双语阅读","7-9岁","xin128"
"The Three Dogs (The Green Fairy Book)"," 三只狗 ","双语阅读","7-9岁","xin129"
"The Six Hungry Beasts (The Crimson Fairy Book)","六只饥肠辘辘的动物 ","双语阅读","7-9岁","xin130"
"The Strong Prince (The Crimson Fairy Book)","坚强的王子 ","双语阅读","7-9岁","xin131"
