"书名","fenlei","nianling","bid"
"汉塞尔与格莱特 ","双语阅读","7-9岁","490"
"小红帽 ","双语阅读","7-9岁","491"
"海辛斯王子和可爱小公主 ","双语阅读","7-9岁","492"
"侏儒怪 ","双语阅读","7-9岁","493"
"雪白与玫瑰红 ","双语阅读","7-9岁","494"
"诺罗威的黑公牛","双语阅读","7-9岁","495"
"勇敢的小裁缝 ","双语阅读","7-9岁","496"
"牧鹅姑娘 ","双语阅读","7-9岁","497"
"巨人杀手杰克传奇 ","双语阅读","7-9岁","498"
"惠廷顿传奇 ","双语阅读","7-9岁","499"
"穿靴子的猫咪 ","双语阅读","7-9岁","500"
"红色的埃廷","双语阅读","7-9岁","501"
"睡莲花 ","双语阅读","7-9岁","502"
"忠实的约翰 ","双语阅读","7-9岁","503"
"蟾蜍与钻石 ","双语阅读","7-9岁","504"
"海水为什么是咸的 ","双语阅读","7-9岁","505"
"老福赛特的印第安之夏 ","双语阅读","10-12岁","506"
"莉齐·利 ","双语阅读","10-12岁","507"
"追求至美的艺术家 ","双语阅读","10-12岁","508"
"被遗弃的女人 ","双语阅读","10-12岁","509"
"一个非洲故事 ","双语阅读","10-12岁","510"
"有人影的远景 ","双语阅读","10-12岁","511"
"忠贞的公牛 ","双语阅读","7-9岁","512"
"毒药 ","双语阅读","10-12岁","513"
"阳阳和月月 ","双语阅读","7-9岁","514"
"花朵 ","双语阅读","7-9岁","515"
"美中不足","双语阅读","7-9岁","516"
"多尔蒂的启发 ","双语阅读","10-12岁","517"
"各尽所能 ","双语阅读","10-12岁","518"
"牧场上的博皮普夫人 ","双语阅读","10-12岁","519"
"四不像 ","双语阅读","7-9岁","520"
"樵夫的命运 ","双语阅读","7-9岁","521"
"一些野生动物是怎样被驯服的 ","双语阅读","7-9岁","522"
"皮维和卡博 ","双语阅读","7-9岁","523"
"纯朴真诚的瓦利·戴德的故事 ","双语阅读","7-9岁","524"
"沼泽怪兽 ","双语阅读","7-9岁","525"
"精灵姑娘 ","双语阅读","7-9岁","526"
"魔法人头 ","双语阅读","7-9岁","527"
" 四份特别的礼物 ","双语阅读","7-9岁","528"
" 三只狗 ","双语阅读","7-9岁","529"
"六只饥肠辘辘的动物 ","双语阅读","7-9岁","530"
"坚强的王子 ","双语阅读","7-9岁","531"
