"第一章 只有手段，没有目的","CHAPTER I    All Means and No End"
"“上帝啊！又是一天！真遭罪！”","“Oh, Lord! Another day! What a grind!”"
"二","2.0"
"整个情况中有趣的一点是，平凡人很少或从不自问与规定道路——即他不敢也不能偏离的道路——有关的真正基本的问题。","The interesting point about the whole situation is that the plain man seldom or never asks himself a really fundamental question about that appointed path of his—that path from which he dare not and could not wander."
"一次，也许这只是在某个寓言中，平凡人在旅途中遇到了另一个旅人。平凡人问旅人：","Once, perhaps in a parable, the plain man travelling met another traveller. And the plain man demanded of the traveller:"
"“你要去哪儿？”","“Where are you going to?”"
"旅人回答：","The traveller replied:"
"“我来想想这个问题，我真不知道要去哪儿。”","“Now I come to think of it, I don’t know.”"
"平凡人对这个冷漠的回答有点气恼。他说：","The plain man was ruffled by this insensate answer. He said:"
"“你是在旅行吧？","“But you are travelling?”"
"旅人回答：","The traveller replied:"
"“是的。”","“Yes.”"
"平凡人开始感到恼火了，他说：","The plain man, beginning to be annoyed, said:"
"“你从不问自己要到哪儿去吗？”","“Have you never asked yourself where you are going to?”"
"“没问过。”","“I have not.”"
"“你是想告诉我说，”平凡人有意见了，他现在真的生气了，“你不顾麻烦和危险，花钱坐火车和轮船，却连要去哪儿也不问问自己吗？”","“But do you mean to tell me,” protested the plain man, now irritated, “that you are putting yourself to all this trouble, peril, and expense of trains and steamers, without having asked yourself where you are going to? ”"
"“我从未想过。”旅人承认说，“我只是不得不出发，所以就出发了。”","“It never occurred to me,” the traveller admitted. “I just had to start and I started.”"
"就这样，平凡人，我们这样的平凡人经常会如此，为人性中不合逻辑的荒谬震惊，感觉受到了深深的伤害。“这可能吗？”他想，“这个旅人的神智大概还正常吧——”等等。（你对这种语调和风格很熟悉，因为你自己也是个平凡人。）然后他就任凭自己在道德上义愤了。","Whereupon the plain man was, as too often with us plain men, staggered and deeply affronted by the illogical absurdity of human nature. “Was it conceivable,” he thought, “that this traveller, presumably in his senses—”etc. (You are familiar with the tone and the style, being a plain man yourself.) And he gave way to moral indignation."
"这里必须插一句，我坚定地声明我是“抑制道德义愤协会”的会员。鉴于此，我反对平凡人对旅人的道德义愤；我认为义愤倾向是平凡人最严重的缺点之一。所以，我努力的方向是，避免为人类的古怪行为感到震惊或深深冒犯，甚至都不要惊奇。有太多的平凡人一直在重新认识人性——人性的卑鄙、昏庸和不理性。他们生活在人性中，就像是生活在鬼屋里。然而，这么多年过去，我们当然应该已经习惯人性！人性可能极端卑鄙——但这不是问题的关键，关键是它构成了我们生活的环境，只要活着就无法逃避的环境。一个人要是能被他不可逃避的生存环境所深深冒犯，就应该有勇气为自己定罪，然后一枪打死自己。协会将很乐意支付他的葬礼费用，并帮忙供养他的遗孀和孩子。这样的人自己不知道，他们构成了真正进步的死敌，真正的进步只有在没有狂热的道德优越感的环境下才能得以计划和实施。","Now I must here, in parenthesis, firmly state that I happen to be a member of the Society for the Suppression of Moral Indignation. As such, I object to the plain man’s moral indignation against the traveller; and I think that a liability to moral indignation is one of the plain man’s most serious defects. As such, my endeavour is to avoid being staggered and deeply affronted, or even surprised, by human vagaries. There are too many plain people who are always rediscovering human nature—its turpitudes, fatuities, unreason. They live amid human nature as in a chamber of horrors. And yet, after all these years, we surely ought to have grown used to human nature! It may be extremely vile—that is not the point. The point is that it constitutes our environment, from which we cannot escape alive. The man who is capable of being deeply affronted by his inevitable environment ought to have the pluck of his convictions and shoot himself. The Society would with pleasure pay his funeral expenses and contribute to the support of his wife and children. Such a man is, without knowing it, a dire enemy of true progress, which can only be planned and executed in an atmosphere from which heated moral superiority is absent."
"我在这里加上评论是为了保证，在平凡人和旅人后续的谈话中，我不会义愤填膺地对平凡人的话嗤之以鼻。因为这段谈话的确还有后续。","I offer these parenthetical remarks as a guarantee that I shall not over-righteously sneer at the plain man for his share in the sequel to the conversation with the traveller. For there was a sequel to the conversation."
"“既然说起了这个问题，那么你要去哪儿呢？”旅人说。","“As questions are being asked, where are you going to?” said the traveller."
"平凡人肯定地答复：","The plain man answered with assurance:"
"“我很肯定地知道要去哪儿。我要去提姆巴克图。”“是吗！”旅人说。“你为什么要去提姆巴克图呢？”平凡人说：“因为那是个合适的地方。每个自重的人都去提姆巴克图。”","“Oh, I know exactly where I’m going to. I’m going to Timbuctoo.” “Indeed!” said the traveller. “And why are you going to Timbuctoo?” Said the plain man: “I’m going because it’s the proper place to go to. Every self-respecting person goes to Timbuctoo.”"
"“为什么呢？”","“But why?”"
"平凡人说：","Said the plain man:"
"“这个，据说它几乎是独一无二的。在那儿你会觉得满足，能得到一直想要的东西，气候也很好。”“是吗！”旅人又说，“你遇见过去过那儿的人吗？”","“Well, it’s supposed to be just about unique. You’re contented there. You get what you’ve always wanted. The climate’s wonderful.” “Indeed!” said the traveller again. “Have you met anybody who’s been there?”"
"“是的，遇见过好几个，可不少呢。我还收到过在那儿的人写来的信呢。”","“Yes, I’ve met several. I’ve met a lot. And I’ve heard from people who are there.”"
"“他们的讲述热情吗？”","“And are their reports enthusiastic?”"
"“这个嘛——”平凡人犹豫了。","“Well—” The plain man hesitated."
"“回答我，他们的讲述热情吗？”旅人坚持问，相当霸道。","“Answer me. Are their reports enthusiastic?” the traveller insisted, rather bullyingly."
"“不是很热情，”平凡人承认，“有人说那里很让人失望，有人说和其他城镇差不多，大家都说那里的气候有严重的缺陷。”","“Not very,” the plain man admitted. “Some say it’s very disappointing. And some say it’s much like other towns. Every one says the climate has grave drawbacks.”"
"旅人问：","The traveller demanded:"
"“那你为什么还要去？“","“Then why are you going there?”"
"平凡人说：","Said the plain man:"
"“我从没想过为什么。像我所说的那样，据说提姆巴克图是——”","“It never occurred to me to ask why. As I say, Timbuctoo’s supposed to be—”"
"“据谁说？”","“Supposed by whom?”"
"“这个嘛——大家都这么说，”平凡人无力地说。","“Well—generally supposed,” said the plain man, limply."
"“不是据去过那里的人说吗？”旅人固执地坚持问道。"," “Not by the people who’ve been there?” the traveller persevered, with obstinacy."
"“也许不是，”平凡人吸了口气说道。","“Perhaps not,” breathed the plain man."
"“但大家都这么——”他结巴了。","“But it’s generally supposed—” He faltered."
"没人说话，旅人打破沉默，问“路上有什么有趣的地方吗？”","There was a silence, which was broken by the traveller, who inquired: “Any interesting places en route?”"
"“我不知道，我从不在意这些，”平凡人说。“你是想告诉我说，”旅人惊呼道，“你不顾麻烦和危险，花钱坐火车、轮船，骑骆驼，却也不问问自己为什么，也没有说服自己这件事是值得的，甚至都没有弄清最适合的路线吗？”","“I don’t know. I never troubled about that,” said the plain man. “But do you mean to tell me,” the traveller exclaimed, “that you are putting yourself to all this trouble, peril, and expense of trains and steamers and camel-back without having asked yourself why, and without having satisfied yourself that the thing was worth while, and without having even ascertained the most agreeable route?”"
"平凡人软弱地说：","Said the plain man, weakly:"
"“我只是需要出发去某个地方，所以我出发去提姆巴克图。”旅人说：","“I just had to start for somewhere, so I started for Timbuctoo.” Said the traveller:"
"“好吧，我现在不想计较了，握手言和吧。”","“Well, I’m of a forgiving disposition. Shake hands.”"
"三","3.0"
"上面寓言中这两个人互相追问基本问题来折磨对方，而这个寓言的不真实之处在于现实中没有人会这样做。举例来说，平凡人现在几乎不再应对基本问题，原因也就不难弄清。原因在于按照现代人的想法，基本问题变得很难回答。以前每一个基本问题都有一个现成的答案。你问了一个问题，但在提问之前就已经知道了答案，所以就不会产生争论，也几乎不会产生焦虑。在以前那个时代，一个小孩子只需要看一眼你的行为，就能很肯定地告诉你，如果坚持这么做，那么一万年后你会在干什么，感觉会如何。但自那之后人类知识取得了进步，所增加知识的不利之处在于它强化了无知的感觉，结果就是，尽管我们比祖父辈的人知道的要多得多，但无知的感觉却也比他们强烈得多。实际上他们因为太无知而意识不到自己的无知——这也许是一种舒服的状态。所以现今的平凡人逃避基本问题。当然了，“抑制道德义愤协会”的会员也不能指责他。","The two individuals in the foregoing parable were worrying each other with fundamental questions. And what makes the parable unrealistic the plain man, for instance, has almost ceased to deal in fundamental questions in these days, the reason is not difficult to find. The reason lies in the modern perception that fundamental questions are getting very hard to answer. In a former time a dogmatic answer was ready waiting for every fundamental question. You asked the question, but before you asked it you knew the answer, and so there was no argument and nearly no anxiety. In that former time a mere child could glance at your conduct and tell you with certainty exactly what you would be doing and how you would be feeling ten thousand years hence, if you persisted in the said conduct. But knowledge has advanced since then, and the inconvenience of increased knowledge is that it intensifies the sense of ignorance, with the result that, though we know immensely more than our grandfathers knew, we feel immensely more ignorant than they ever felt. They were, indeed, too ignorant to be aware of ignorance—which is perhaps a comfortable state. Thus the plain man nowadays shirks fundamental questions. And assuredly no member of the Society for the Suppression of Moral Indignation shall blame him."
"所有的基本问题最后都会归结为以下关于生活的看法和疑问：“我现在做的事情相当无聊，忍受下去能有什么好处呢？”这是基本问题。它还有一些重要性不一的形式。在终极的形式中，还要用到“永恒”这个词。平凡人如今对这个问题的终极形式如此敏感，别说提出或试着回答这个问题，他甚至不能忍受听到别人讨论它——我指的是坦白的讨论。现实中关于这个问题开诚布公地讨论，会诱使平凡人表现出异常的狂热和刻薄，从而掩盖智慧的光辉。所以他宁愿承担放弃这个问题的不利后果，而不是面对试图解决它带来的不满。放弃这个问题的不利后果很明显。生存是而且必须是对当下的要求和对未来要求的折衷——而如果一个人对于未来都没规划好，那么这个折衷怎样才能达成呢？根本不能达成。但是——我要重申——我不会责备平凡人。我只会向他暗示，而且是在照顾到他的敏感的基础上，现在的一个钟头和一万年后的一个钟头一样，都是永恒的一部分。","All fundamental questions resolve themselves finally into the following assertion and inquiry about life: “I am now engaged in something rather tiresome. What do I stand to gain by it later on?” That is the basic query. It has forms of varying importance. In its supreme form the word “eternity” has to be employed. And the plain man is, today, so sensitive about this supreme form of the question that, far from asking and trying to answer it, he can scarcely bear to hear it even discussed—I mean discussed with candour. In practice a frank discussion of it usually tempts him to exhibitions of extraordinary heat and bitterness, and wisdom is thereby but obscured. Therefore he prefers the disadvantage of leaving it alone to the dissatisfaction of attempting to deal with it. The disadvantage of leaving it alone is obvious. Existence is, and must be, a compromise between the claims of the moment and the claims of the future—and how can that compromise be wisely established if one has not somehow made up one’s mind about the future? It cannot. But—I repeat—I would not blame the plain man. I would only just hint to him, while respecting his sensitiveness, that the present hour is just as much a part of eternity as another hour ten thousand years off."
"根本问题的第二个形式——也是最重要的形式——围绕着晚年这个问题。被质询时，所有的平凡人都会承认他们有种想法，自己在向某个类似于提姆巴克图的目标进发，而这个目标应在自己的晚年实现。这个目标可能是实现某个抱负，或是奢华的生活，或是物质的保障，或是健康的身体，或是知识，或是权力，甚至可能是问心无愧。无论如何这个目标是具体而且可辨识的。而通向它的道路也是一条笔直宽广的大道，可以清楚地看到前面很长一段路途。","The second—the most important—form of the fundamental question embraces the problem of old age. All plain men will admit, when faithfully cross-examined, a sort of belief that they are on their way to some Timbuctoo situate in the region of old age. It may be the Timbuctoo of a special ambition realized, or the Timbuctoo of luxury, or the Timbuctoo of material security, or the Timbuctoo of hale health, or the Timbuctoo of knowledge, or the Timbuctoo of power, or even the Timbuctoo of a good conscience. It is anyhow a recognizable and definable Timbuctoo. And the path leading to it is a straight, wide thoroughfare, clearly visible for a long distance ahead."
"关于凡人人生旅途的道理简单且很少有人质疑。这个道理是具有两面性的——首先，成就带来的喜悦可以补偿路途上的艰辛和自我否定；其次，一事无成的痛苦超过了及时行乐的乐趣。因为人性的某些神秘特质，这个道理是不可颠覆的，否则的话仅仅把以往的失败经验累积起来，也早就能驳倒这个道理了。因为世界上这种老人多的是：实现了抱负的、享受荣华富贵的、地位像勃朗峰一样坚不可摧的、身体像骆驼一样健康的、有史以来知识最丰富的、点下头就能摧毁一千英里铁路的，还有心地像白雪一样纯洁的；但与此同时却一点都不快乐、不能享受生活的。","The theory of the mortal journey is simple and seldom challenged. It is a twofold theory—first that the delight of achievement will compensate for the rigours and self-denials of the route, and second that the misery of non-achievement would outweigh the immediate pleasures of dallying. If this theory were not indestructible, for reasons connected with the secret nature of humanity, it would probably have been destroyed long ago by the mere cumulative battering of experience. For the earth’s surface is everywhere thickly dotted with old men who have achieved ambition, old men drenched in luxury, old men as safe as Mont Blanc from overthrow, old men with the health of camels, old men who know more than anybody ever knew before, old men whose nod can ruin a thousand miles of railroad, and old men with consciences of pure snow; but who are not happy and cannot enjoy life."
"而这个道理碰巧是不可颠覆的，部分原因在于晚年还早得很，部分在于年轻人诚恳地相信只有自己才有智慧，部分在于每个平凡人都确信自己的人生和别人有所不同，但主要原因在于：努力，是一种习惯，这里并非特指某种努力，而是指任何努力，这习惯出于平凡人根深蒂固的本能。所以提姆巴克图作为度假胜地的美名一点儿都没有受到损害，人们怀着诚挚的热忱源源不断地继续朝圣之旅。","The theory, however, does happen to be indestructible, partly because old age is such a terrible long way off, partly because the young honestly believe themselves to have a monopoly of wisdom, partly because every plain man is convinced that his case will be different from all the other cases, and chiefly because endeavour—not any particular endeavour, but rather any endeavour!—is a habit that corresponds to a very profound instinct in the plain man. So the reputation of Timbuctoo as a pleasure resort remains entirely unimpaired, and the pilgrimages continue with unabated earnestness."
"这个朝圣之旅之所以要继续，还有另一个极其重要的原因。寓言里的两个人都说他们必须要出发——说得没错。我们必须出发，而且一旦出发就要坚持走下去，并且到达某个地方。而我们出发的时候，既无脑力也无闲暇去创造全新的地方作为目的地，也无法开拓新的道路。人人都去提姆巴克图，路线已经标识得清清楚楚。平凡人害怕与众不同，也踏上了提姆巴克图之旅，一路紧随路标。怕不能到达，他一路疾驰；因对未知感到恐惧，他一直走在路当中，不敢涉足路边的森林；是希望给了他继续前行的勇气。","And there is another and a paramount reason why the pilgrimages should continue. The two men in the parable both said that they just had to start—and they were right. We have to start, and, once started, we have to keep going. We must go somewhere. And at the moment of starting we have neither the sagacity nor the leisure to invent fresh places to start for, or to cut new paths. Everybody is going to Timbuctoo; the roads are well marked. And the plain man, with his horror of being peculiar, sets out for Timbuctoo also, following the signposts. The fear of not arriving keeps him on the trot, the fear of the unknown keeps him in the middle of the road and out of the forest on either side of it, and hope keeps up his courage."
"会有“抑制道德义愤协会”的会员上前激烈地指责平凡人吗？怪他愚蠢、无知、好骗，甚至指责他懦弱到没去找一个令人信服的答案，来回答关于人生终点这样的基本问题？","Will any member of the Society for the Suppression of Moral Indignation step forward and heatedly charge the plain man with culpable foolishness, ignorance, or gullibility; or even with cowardice in neglecting to find a convincing answer to the fundamental question about the other end of his life?"
"四","4.0"
"这个基本问题还有第三种形式，没有以上两种那么难以回答。只要“以后”指的是死后或30年后，平凡人对于现在的劳累困苦能为“以后”带来什么便漠不关心，这是可以原谅的。但我们同时也生活在当下，如果正确的生存是对当下要求和未来要求的折衷，那么就必须同样考虑当下。这样的话平凡人再自问基本问题，就要采取这样的形式：“现在，也就是今天上午，我在做相当无聊的事，这样忍下去的话，今晚、明天或这周、下周，我能得到什么？”一旦以此形式提问，基本问题的答案就能立刻从经验或试验中找到。","There is, however, a third form of the fundamental question which is less unanswerable than the two forms already mentioned. The plain man maybe excused for his remarkable indifference as to what his labour and his tedium will gain for him “later on,” when “later on” means beyond the grave or thirty years hence. But we live also in the present, and if proper existence is a compromise between the claims of the present and the claims of the future the present must be considered, and the plain man ought surely to ask himself the fundamental question in such a form as the following: “I am now—this morning—engaged in something rather tiresome. What do I stand to gain by it this evening, tomorrow, this week—next week?” In this form the fundamental question, once put, can be immediately answered by experience and by experiment."
"但平凡人会这么问吗？我是说，他会认真、有效地对待这个问题吗？我想除了偶尔例外，通常情况下，他不会。他也许会，事实上也真的会，沮丧又粗鲁地嘟囔：“我这生活有什么乐趣？”但不会坚持自己找出答案，即使得到了明确的答案——即使他坦白承认，“得不到乐趣，”或者“乐趣不够”——他还是不太可能根据这答案来改变自己的生活。在去提姆巴克图的途中，他一如既往地无视路边所有可爱的小镇和绿洲。对于未来的乐趣极不确定，而忙得透不过来气的他就更无暇去思考当下的乐趣，于是只好固执地前行，就像陷入昏迷的人一样。一个平凡人以头脑清醒为荣，这是多么不同寻常的行为啊！","But does the plain man put it? I mean—does he put it seriously and effectively? I think that very often, if not as a general rule, he does not. He may—in fact he does—gloomily and savagely mutter: “What pleasure do I get out of life?” But he fails to insist on a clear answer from himself, and even if he obtains a clear answer—even if he makes the candid admission, “No pleasure,” or “Not enough pleasure”—even then he usually does not insist on modifying his life in accordance withthe answer. He goes on ignoring all the interesting towns and oases on the way to his Timbuctoo. Excessively uncertain about future joy, and too breathlessly preoccupied to think about joy in the present, he just drives obstinately ahead, rather like a person in a trance. Singular conduct for a plain man priding himself on common sense!"
