"雷神桥谜案[^1]","The Problem of Thor Bridge"
"“是的，我知道他。他来英国不是有些日子了嘛，他的名字我听着非常耳熟。”","“Yes, I know of him. He has surely lived in England for some time. His name is very familiar.”"
"“没错，大概五年之前，他在汉普郡[^8]置下了一大片产业。他妻子惨遭横祸，兴许你已经听说了吧？”","“Yes, he bought a considerable estate in Hampshire some five years ago. Possibly you have already heard of the tragic end of his wife?”"
"“那是当然，你一说我就想起来了。就是因为这件事情，我才会觉得他的名字耳熟。不过，其中的细节我确实是一无所知。”","“Of course. I remember it now. That is why the name is familiar. But I really know nothing of the details.”"
"福尔摩斯冲着椅子上的一堆报纸挥了挥手。“我完全没想到这件案子会到我的手里，不然的话，我肯定是一早就把资料准备好啦。”他说道。“事实上，这件案子虽然极其轰动，看上去却没有什么疑难之处。被告的个性虽然迷人，终归也不能抹杀确凿的罪证。验尸官陪审团就是这种看法，地方法庭也是这种结论。到这会儿，案子已经转到了温切斯特的巡回法庭[^9]。照我看，这恐怕是一件费力不讨好的活计。我有本事发现事实，华生，可我没本事改变事实。除非是有了什么意想不到的全新发现，如其不然，我这个主顾是没什么盼头的。”","Holmes waved his hand towards some papers on a chair. “I had no idea that the case was coming my way or I should have had my extracts ready,” said he. “The fact is that the problem, though exceedingly sensational, appeared to present no difficulty. The interesting personality of the accused does not obscure the clearness of the evidence. That was the view taken by the coroner’s jury and also in the police-court proceedings. It is now referred to the Assizes at Winchester. I fear it is a thankless business. I can discover facts, Watson, but I cannot change them. Unless some entirely new and unexpected ones come to light I do not see what my client can hope for.”"
"“你的主顾？”","“Your client?”"
"“哦，我倒是忘了，这件事情我还没跟你说呢。华生啊，我也染上了你那种莫名其妙的怪毛病，学会把故事倒过来讲啦。好了，你还是先读一读这个吧。”","“Ah, I forgot I had not told you. I am getting into your involved habit, Watson, of telling the story backward. You had best read this first.”"
"他把一封信递给了我，信上的笔迹清晰醒目，咄咄逼人，全文如下：","The letter which he handed to me, written in a bold, masterful hand, ran as follows:"
"> 克拉里奇酒店，","> CLARRIDGE’S HOTEL, "
"> 十月三日","> *October* 3 *rd*."
"> 亲爱的歇洛克·福尔摩斯先生：","> Dear Mr. Sherlock Holmes:"
"> 我不能眼睁睁看着古往今来最好的女人走向死亡，一定要尽一切的努力来挽救她。我解释不了这些事情，哪怕是试着解释一下都做不到，可我确切无疑地知道，邓巴小姐是无辜的。相关的事实您肯定已经知道了——谁不知道呢？这已经成了举国上下的谈资。可是，没有一个人站出来替她说话！就是这种全无公道的该死局面把我逼到了疯狂的边缘。这个女人心软得连苍蝇都不忍伤害啊。这样吧，我明天十一点钟过去找您，看您能不能从黑暗之中找出一点光明。说不定，我手里还有什么我自个儿都不知道的线索呢。不管怎么样，我所知的一切、我所有的一切，再加上我整个儿的人，全部都听您差遣，只要您能救她就行。如果您确实拥有那些神奇的本领，那就把它们全部用到这件案子上吧。","> I can’t see the best woman God ever made go to her death without doing all that is possible to save her. I can’t explain things—I can’t even try to explain them, but I know beyond all doubt that Miss Dunbar is innocent. You know the facts—who doesn’t? It has been the gossip of the country. And never a voice raised for her! It’s the damned injustice of it all that makes me crazy. That woman has a heart that wouldn’t let her kill a fly. Well, I’ll come at eleven tomorrow and see if you can get some ray of light in the dark. Maybe I have a clue and don’t know it. Anyhow, all I know and all I have and all I am are for your use if only you can save her. If ever in your life you showed your powers, put them now into this case."
"> 您忠实的朋友","> Yours faithfully,"
"> J.尼尔·吉布森","> J. Neil Gibson."
"“看到了吧。”歇洛克·福尔摩斯一边说，一边抖掉他那斗饭后烟草的灰烬，然后又慢条斯理地往烟斗里添烟草。“我等的就是这位先生。至于这件事情嘛，我看你已经来不及读完所有这些报纸啦，如果你对案情产生了探究兴趣的话，我只能简要地给你介绍一下。这个人是世界上最有势力的财阀，据我所知还是个性情极其凶暴、极其可怕的家伙。这次惨案的受害人就是他的妻子，可我对他妻子一无所知，只知道她已经过了盛年，让局面雪上加霜的是，她那两个年幼孩子的家庭教师是一个非常有魅力的女人。案子的主角就是这三个人，案发地点则是一座富丽堂皇的古老府第，那里曾经是一个英格兰古国的政治中心。再来说惨案本身，深夜时分，人们在庭园里发现了他的妻子，那地方离宅子差不多有半英里。他妻子穿着晚装，搭着披肩，一颗左轮手枪子弹打穿了她的脑子。尸体周围没有武器，也没有关于这次凶案的任何线索。尸体周围没有武器，华生——记住这一点！凶案似乎是在入夜时分发生的，等到十一点钟左右，一名猎场看守发现了尸体，警察和医生随即对尸体进行了检查，之后才把尸体抬进宅子。我讲得是不是有点儿过于精简啊，你都听明白了吗？”","“There you have it,” said Sherlock Holmes, knocking out the ashes of his after-breakfast pipe and slowly refilling it. “That is the gentleman I await. As to the story, you have hardly time to master all these papers, so I must give it to you in a nutshell if you are to take an intelligent interest in the proceedings. This man is the greatest financial power in the world, and a man, as I understand, of most violent and formidable character. He married a wife, the victim of this tragedy, of whom I know nothing save that she was past her prime, which was the more unfortunate as a very attractive governess superintended the education of two young children. These are the three people concerned, and the scene is a grand old manor house, the centre of a historical English state. Then as to the tragedy. The wife was found in the grounds nearly half a mile from the house, late at night, clad in her dinner dress, with a shawl over her shoulders and a revolver bullet through her brain. No weapon was found near her and there was no local clue as to the murder. No weapon near her, Watson—mark that! The crime seems to have been committed late in the evening, and the body was found by a gamekeeper about eleven o’clock, when it was examined by the police and by a doctor before being carried up to the house. Is this too condensed, or can you follow it clearly?”"
"“你讲得非常清楚，不过，他们为什么要怀疑这个家庭教师呢？”","“It is all very clear. But why suspect the governess?”"
"“这个嘛，首先是因为他们找到了一些非常直接的证据。他们在家庭教师那里找到了一把开过一枪的左轮手枪，口径跟尸身上的子弹相符，手枪就摆在她那个衣橱的底板上。”说到这里，他突然双眼发直，一字一顿地把刚才的话重复了一遍，“就——摆在——她——那个衣橱——的——底板上。”接下来，他陷入了沉默，我看得出他脑子里的思维列车已经启动，自然不会去干打搅他的蠢事。突然之间，他猛一激灵，恢复了先前那种兴致勃勃的状态。“没错，华生，他们找到了手枪。铁板钉钉，对吧？那两个陪审团反正是这么想的。然后呢，死了的这个女人手里有一张字条，字条表明有人跟她约在了死亡地点，末尾署的是家庭教师的名字。你觉得怎么样？最后，家庭教师确实有作案的动机。吉布森参议员是个很有吸引力的人物，种种迹象都表明他对家庭教师非常上心，如果他妻子死了的话，还有谁会比这位年青女士更有可能接替他妻子的位置呢？爱情、金钱、权势，一切都取决于一个中年女人的性命。丑陋啊，华生——丑陋之极！”","“Well, in the first place there is some very direct evidence. A revolver with one discharged chamber and a calibre which corresponded with the bullet was found on the floor of her wardrobe.” His eyes fixed and he repeated in broken words, “On—the—floor—of—her—wardrobe.” Then he sank into silence, and I saw that some train of thought had been set moving which I should be foolish to interrupt. Suddenly with a start he emerged into brisk life once more. “Yes, Watson, it was found. Pretty damning, eh? So the two juries thought. Then the dead woman had a note upon her making an appointment at that very place and signed by the governess. How’s that? Finally there is the motive. Senator Gibson is an attractive person. If his wife dies, who more likely to succeed her than the young lady who had already by all accounts received pressing attentions from her employer? Love, fortune, power, all depending upon one middle-aged life. Ugly, Watson—very ugly!”"
"“是啊，确实丑陋，福尔摩斯。”","“Yes, indeed, Holmes.”"
"“此外，家庭教师拿不出不在现场的证明。恰恰相反，她不得不承认，差不多就在惨案发生的那个时间，她确实是在雷神桥——也就是惨案现场——附近。这一点不容抵赖，因为一个路过的村民看见了她在那里。”","“Nor could she prove an alibi. On the contrary, she had to admit that she was down near Thor Bridge—that was the scene of the tragedy—about that hour. She couldn’t deny it, for some passing villager had seen her there.”"
"“看样子，这真的是一件铁案啊。”","“That really seems final.”"
"“然而，华生——然而！雷神桥是一座宽阔的石桥，两边都有栏杆。这座桥连着马车道，桥下是一个又长又深的苇塘，名字叫做‘雷神塘’。石桥从苇塘最狭窄的部位跨过，死了的这个女人就在桥头躺着。主要的事实就是这些。好了，我没搞错的话，咱们的主顾已经来了，时间提前了很多啊。”","“And yet, Watson—and yet! This bridge—a single broad span of stone with balustraded sides—carries the drive over the narrowest part of a long, deep, reed-girt sheet of water. Thor Mere it is called. In the mouth of the bridge lay the dead woman. Such are the main facts. But here, if I mistake not, is our client, considerably before his time.”"
"比利[^10]已经推开了房门，通报的姓名却出乎我们的意料。来的是马洛·贝茨先生，我们两个都不认识。他瘦骨伶仃，诚惶诚恐，眼睛里惊魂未定，整个人抖抖索索，战战兢兢。以我的专业眼光来看，这个人已经走到了神经彻底崩溃的边缘。","Billy had opened the door, but the name which he announced was an unexpected one. Mr. Marlow Bates was a stranger to both of us. He was a thin, nervous wisp of a man with frightened eyes and a twitching, hesitating manner—a man whom my own professional eye would judge to be on the brink of an absolute nervous breakdown."
"“您好像有点儿激动啊，贝茨先生。”福尔摩斯说道。“请坐。恐怕我给不了您多少时间，因为我十一点钟有个约会。”","“You seem agitated, Mr. Bates,” said Holmes. “Pray sit down. I fear I can only give you a short time, for I have an appointment at eleven.”"
"“我知道，”我们的客人倒吸一口凉气，嘴里迸出一连串短短的句子，就跟喘不上气似的，“吉布森先生要上这儿来。吉布森先生是我的东家。我是他的庄园管事。福尔摩斯先生，他是个恶棍——是个地狱里来的恶棍。 ”","“I know you have,” our visitor gasped, shooting out short sentences like a man who is out of breath, “Mr. Gibson is coming. Mr. Gibson is my employer. I am manager of his estate. Mr. Holmes, he is a villain—an infernal villain.”"
"“您的措辞很激烈啊，贝茨先生。”","“Strong language, Mr. Bates.”"
"“我不得不加重语气，福尔摩斯先生，因为我的时间实在有限。我死也不能让他看到我来了这儿，而他很快就要来了。可我赶得不巧，想早来也办不到。今天早上，他的秘书弗格森先生才告诉我，吉布森先生跟您有约。”","“I have to be emphatic, Mr. Holmes, for the time is so limited. I would not have him find me here for the world. He is almost due now. But I was so situated that I could not come earlier. His secretary, Mr. Ferguson, only told me this morning of his appointment with you.”"
"“您不是他的管事吗？”","“And you are his manager?”"
"“我已经跟他提出辞职了。用不了两个星期，我就能摆脱他那种该死的奴役。他是个冷酷的人，福尔摩斯先生，对身边所有的人都冷酷。他那些公开的善举不过是一块遮羞布，为的是掩盖他私底下的罪孽。当然喽，首当其冲的还是他的妻子。他对待妻子的方式惨无人道——真的，先生，惨无人道！他妻子是怎么死的我不知道，可我确切地知道，他把她的生活变成了痛苦的深渊。他妻子是热带地方的人，出生在巴西，这您肯定知道吧。”","“I have given him notice. In a couple of weeks I shall have shaken off his accursed slavery. A hard man, Mr. Holmes, hard to all about him. Those public charities are a screen to cover his private iniquities. But his wife was his chief victim. He was brutal to her—yes, sir, brutal! How she came by her death I do not know, but I am sure that he had made her life a misery to her. She was a creature of the tropics, a Brazilian by birth, as no doubt you know.”"
"“不知道，这我倒没留意。”","“No, it had escaped me.”"
"“热带出身，热带性情，她是个艳阳哺育的火辣女子。她把她这类女人的火辣深情全部倾注在了丈夫身上，结果呢，等到她的美貌——我听人说，她曾经貌美惊人——消褪之后，丈夫就彻底丧失了对她的兴趣。大家都喜欢她，同情她，都为她丈夫对待她的方式感到义愤填膺。不过，她丈夫可是个能说会道、诡计多端的家伙。我要说的就是这些。您不要光看他的表面，里头的东西还多着呢。好了，我得走了。别，别，别拦着我！他马上就要来啦。”","“Tropical by birth and tropical by nature. A child of the sun and of passion. She had loved him as such women can love, but when her own physical charms had faded—I am told that they once were great—there was nothing to hold him. We all liked her and felt for her and hated him for the way that he treated her. But he is plausible and cunning. That is all I have to say to you. Don’t take him at his face value. There is more behind. Now I’ll go. No, no, don’t detain me! He is almost due.”"
"这位奇异的客人惊慌失措地看了看钟，实实在在地跑了起来，转眼就消失在了门外。","With a frightened look at the clock our strange visitor literally ran to the door and disappeared."
"“好啊！好啊！”片刻沉默之后，福尔摩斯说道。“看样子，吉布森先生的家里人还挺拥护他的哩。不过，这个人的警告还是有点儿用处的。好啦，等他本人来了再说吧。”","“Well! Well!” said Holmes after an interval of silence. “Mr. Gibson seems to have a nice loyal household. But the warning is a useful one, and now we can only wait till the man himself appears.”"
"十一点整，楼梯上传来了沉重的脚步声，比利把这位著名的富豪领进了房间。看到他的模样，我不光懂得了他那个管事的恐惧和厌恶，还懂得了无数个商场对手堆在他脑袋上的那些诅咒。如果我是个雕塑家，打算塑造一个心如铁石、寡廉鲜耻的成功商人，尼尔·吉布森先生就是最合适的模特。他那副又高又瘦、骨架嶙峋的身板诉说着饥渴与贪婪。把亚伯拉罕·林肯身上的高贵替换成卑污，你就可以大致想见他的模样。他的脸就跟用花岗岩凿出来的一样，坚硬刻板，崎岖不平，冷酷无情，一道道深深的沟壑见证着他人生之中的无数个危难时刻。他猬毛一般的浓眉之下是一双冷漠的灰色眼睛，正在用老谋深算的目光来回打量我们。福尔摩斯介绍我的时候，他马马虎虎地欠了欠身，跟着就摆出一副飞扬跋扈的主子架势，把一把椅子拖到我室友面前，自顾自地坐了下来，皮包骨头的膝盖几乎顶到了我室友的身上。","Sharp at the hour we heard a heavy step upon the stairs, and the famous millionaire was shown into the room. As I looked upon him I understood not only the fears and dislike of his manager but also the execrations which so many business rivals have heaped upon his head. If I were a sculptor and desired to idealize the successful man of affairs, iron of nerve and leathery of conscience, I should choose Mr. Neil Gibson as my model. His tall, gaunt, craggy figure had a suggestion of hunger and rapacity. An Abraham Lincoln keyed to base uses instead of high ones would give some idea of the man. His face might have been chiselled in granite, hard-set, craggy, remorseless, with deep lines upon it, the sears of many a crisis. Cold gray eyes, looking shrewdly out from under bristling brows, surveyed us each in turn. He bowed in perfunctory fashion as Holmes mentioned my name, and then with a masterful air of possession he drew a chair up to my companion and seated himself with his bony knees almost touching him."
"“我直接说了吧，福尔摩斯先生。”他张嘴就说，“办这件案子我绝不计较花费。只要能照亮您通往真相的道路，您尽管把钞票当成生火的燃料。这个女人清白无辜，这个女人必须得到洗雪，这件事情得靠您来办。说个数吧！”","“Let me say right here, Mr. Holmes,” he began, “that money is nothing to me in this case. You can burn it if it’s any use in lighting you to the truth. This woman is innocent and this woman has to be cleared, and it’s up to you to do it. Name your figure!”"
"“我的业务费用有一套固定的标准。”福尔摩斯冷冷地说道。“完全免费的情形倒是有，收费的标准是不会变的。”","“My professional charges are upon a fixed scale,” said Holmes coldly. “I do not vary them, save when I remit them altogether.”"
"“呃，不在乎钱的话，那您就想想由此而来的声望吧。只要您办成了这件事情，英美两国的所有报纸都会把您往天上捧。两个大洲的人都会把您挂在嘴上的。”","“Well, if dollars make no difference to you, think of the reputation. If you pull this off every paper in England and America will be booming you. You’ll be the talk of two continents.”"
"“谢谢您，吉布森先生，我并不觉得我需要吹捧。说出来您可能会觉得惊讶，可我喜欢隐姓埋名地工作，兴趣所在仅仅是问题本身。算啦，说这些完全是浪费时间，咱们还是来说说案情吧。”","“Thank you, Mr. Gibson, I do not think that I am in need of booming. It may surprise you to know that I prefer to work anonymously, and that it is the problem itself which attracts me. But we are wasting time. Let us get down to the facts.”"
"“依我看，主要的案情都已经上了报，我真不知道我还能补充什么有用的东西。不过，如果您有什么地方需要弄得更明白的话——瞧，我这不是来了嘛。”","“I think that you will find all the main ones in the press reports. I don’t know that I can add anything which will help you. But if there is anything you would wish more light upon— well, I am here to give it.”"
"“很好，我要问的只有一点。”","“Well, there is just one point.”"
"“哪一点？”","“What is it?”"
"“确切地说，您和邓巴小姐究竟是什么关系？”","“What were the exact relations between you and Miss Dunbar?”"
"金矿大王浑身一震，身子从椅子上起了一半。接下来，他恢复了先前那种泰然自若的神态。","The Gold King gave a violent start and half rose from his chair. Then his massive calm came back to him."
"“照我看，问这样的问题是您的权利，甚至可以说是您的职责，福尔摩斯先生。”","“I suppose you are within your rights—and maybe doing your duty—in asking such a question, Mr. Holmes.”"
"“您这个看法我同意。”福尔摩斯说道。","“We will agree to suppose so,” said Holmes."
"“那我可以向您保证，我和邓巴小姐之间的关系纯粹是也始终是一个东家和一个受聘的年青女士之间的关系，女士没有和东家的孩子待在一起的时候，东家从来没跟女士说过话，甚至从来没有见过她。”","“Then I can assure you that our relations were entirely and always those of an employer towards a young lady whom he never conversed with, or ever saw, save when she was in the company of his children.”"
"福尔摩斯起身离座。","Holmes rose from his chair."
"“我这个人事情很多，吉布森先生。”他说道，“没工夫也没兴趣进行不着边际的谈话。再见。”","“I am a rather busy man, Mr. Gibson,” said he, “and I have no time or taste for aimless conversations. I wish you good-morning.”"
"客人也已经站了起来，骨架松散的魁梧身形比福尔摩斯还要高上一头，猬毛一般的浓眉之下射出了两道愤怒的寒光，蜡黄的双颊泛起了一抹鲜艳的颜色。","Our visitor had risen also, and his great loose figure towered above Holmes. There was an angry gleam from under those bristling brows and a tinge of colour in the sallow cheeks."
"“这话到底是什么意思，福尔摩斯先生？您是要推掉我的案子吗？”","“What the devil do you mean by this, Mr. Holmes? Do you dismiss my case?”"
"“呃，吉布森先生，案子先不说，您这个人我是要推掉的。依我看，我已经说得够明白的啦。”","“Well, Mr. Gibson, at least I dismiss you. I should have thought my words were plain.”"
"“是挺明白的，可我倒想知道，您心里打的是什么算盘？是坐地起价，是知难而退，还是另有图谋呢？我有权得到一个明明白白的回答。”","“Plain enough, but what’s at the back of it? Raising the price on me, or afraid to tackle it, or what? I’ve a right to a plain answer.”"
"“是吗，兴许您确实有这个权利，”福尔摩斯说道。“那我就给您一个回答吧。这件案子本来就已经够复杂的啦，用不着再弄些假情报来添乱。”","“Well, perhaps you have,” said Holmes. “I’ll give you one. This case is quite sufficiently complicated to start with without the further difficulty of false information.”"
"“意思是我说了谎。”","“Meaning that I lie.”"
"“呃，我一直都在尽量把话往委婉里说，不过，您要是非用这个字眼儿不可的话，我也不会反驳您的。”","“Well, I was trying to express it as delicately as I could, but if you insist upon the word I will not contradict you.”"
"我一下子跳了起来，因为这位富豪的表情已经变得跟恶魔一样狰狞，那只骨节嶙峋的硕大拳头也已经举到了空中。福尔摩斯懒洋洋地笑了笑，伸手去拿自己的烟斗。","I sprang to my feet, for the expression upon the millionaire’s face was fiendish in its intensity, and he had raised his great knotted fist. Holmes smiled languidly and reached his hand out for his pipe."
"“少安毋躁，吉布森先生。根据我的经验，刚吃完早饭的时候，就算是最轻微的口角也非常影响情绪。我看您不如出去走走，呼吸呼吸晨间的空气，安安静静地想一想，肯定会受益匪浅的。”","“Don’t be noisy, Mr. Gibson. I find that after breakfast even the smallest argument is unsettling. I suggest that a stroll in the morning air and a little quiet thought will be greatly to your advantage.”"
"金矿大王勉强压住了心里的火气。片刻之间，无比强大的自制力就把他从一团熊熊燃烧的怒火变成了一座倨傲漠然的冰山，真叫我不得不佩服。","With an effort the Gold King mastered his fury. I could not but admire him, for by a supreme self-command he had turned in a minute from a hot flame of anger to a frigid and contemptuous indifference."
"“好吧，悉听尊便。按我看，您对自个儿的业务很有主见，我也不能勉强您接下您不愿意接的案子。今天早上的事情对您没什么好处，福尔摩斯先生，比您还难对付的人我也收拾过。跟我作对的人都没有占到什么便宜。”","“Well, it’s your choice. I guess you know how to run your own business. I can’t make you touch the case against your will. You’ve done yourself no good this morning, Mr. Holmes, for I have broken stronger men than you. No man ever crossed me and was the better for it.”"
"“好多人都像您这么说过，可我不还是这样嘛。”福尔摩斯笑着说道。“好啦，再见，吉布森先生。您需要学习的东西还多着呢。”","“So many have said so, and yet here I am,” said Holmes, smiling. “Well, good morning, Mr. Gibson. You have a good deal yet to learn.”"
"客人山呼海啸地退了场，福尔摩斯却好像没有听见，只是默默地抽着烟，出神地望着天花板。","Our visitor made a noisy exit, but Holmes smoked in imperturbable silence with dreamy eyes fixed upon the ceiling."
"“有何高见，华生？”他终于开口发问。","“Any views, Watson?” he asked at last."
"“呃，福尔摩斯，说老实话，鉴于他显然是个容不得任何绊脚石的人，而我还记得，那个名叫贝茨的人说得非常明白，他妻子没准儿就是一块不受他待见的绊脚石，所以我觉得——”","“Well, Holmes, I must confess that when I consider that this is a man who would certainly brush any obstacle from his path, and when I remember that his wife may have been an obstacle and an object of dislike, as that man Bates plainly told us, it seems to me—”"
"“没错，我也这么觉得。”","“Exactly. And to me also.”"
"“不过，他跟那个家庭教师究竟是什么关系，你又是怎么看出来的呢？”","“But what were his relations with the governess, and how did you discover them?”"
"“诈唬，华生，靠的是诈唬！看到他信里那种激情洋溢、不合常规的私事口吻，再跟他本人那种自制内敛的神情举止作个对比，显而易见，这件事让他很是动情，动情还不是为了受害人，反倒是为了那个受到指控的女人。要想查明真相，咱们就必须弄清他们三个之间的确切关系。你看见了我向他发起的正面进攻，也看见了他是多么地应付裕如。所以我只好诈他，让他觉得我确定无疑地掌握了他俩之间的关系，实际呢，我只是非常怀疑而已。”","“Bluff, Watson, bluff! When I considered the passionate, unconventional, unbusinesslike tone of his letter and contrasted it with his self-contained manner and appearance, it was pretty clear that there was some deep emotion which centred upon the accused woman rather than upon the victim. We’ve got to understand the exact relations of those three people if we are to reach the truth. You saw the frontal attack which I made upon him, and how imperturbably he received it. Then I bluffed him by giving him the impression that I was absolutely certain, when in reality I was only extremely suspicious.”"
"“没准儿他还会回来吧？”","“Perhaps he will come back?”"
"“他肯定会回来，不得不回来，因为他不能就这么撒手不管。哈！是门铃的声音吗？没错，我听到他的脚步声了。好啦，吉布森先生，刚才我还在跟华生医生说，您怎么还没回来啊。”","“He is sure to come back. He *must*come back. He can’t leave it where it is. Ha! isn’t that a ring? Yes, there is his footstep. Well, Mr. Gibson, I was just saying to Dr. Watson that you were somewhat overdue.”"
"金矿大王已经再次走进了房间，态度比离开的时候老实了一些。他的眼睛里仍然带着那种颜面受损的懊恨，可他的常识理性已经让他明白，要想达到目的，不妥协是不行的。","The Gold King had reentered the room in a more chastened mood than he had left it. His wounded pride still showed in his resentful eyes, but his common sense had shown him that he must yield if he would attain his end."
"“我一直在掂量这件事情，福尔摩斯先生，结论是您的话不无道理，我的火气未免有点儿草率。您确实应该探明事实，任何事实都不例外，您这么做，我倒是对您更加敬重。不过我可以跟您保证，我和邓巴小姐的关系对这件案子没有什么影响。”","“I’ve been thinking it over, Mr. Holmes, and I feel that I have been hasty in taking your remarks amiss. You are justified in getting down to the facts, whatever they may be, and I think the more of you for it. I can assure you, however, that the relations between Miss Dunbar and me don’t really touch this case.”"
"“有没有影响得是我说了算，对吧？”","“That is for me to decide, is it not?”"
"“对，我同意您的看法。您好比是一位医生，一定要看清所有的症状才能下诊断。”","“Yes, I guess that is so. You’re like a surgeon who wants every symptom before he can give his diagnosis.”"
"“没错，这个比喻非常贴切。还有啊，病人如果向医生隐瞒症状，那就肯定是另有目的。”","“Exactly. That expresses it. And it is only a patient who has an object in deceiving his surgeon who would conceal the facts of his case.”"
