"在甲板的天棚下","Under the Deck Awnings"
"“这个男孩跳了一遍又一遍，我们都很喜欢看，尤其是卡拉瑟斯小姐。他顶多不过十二三岁，但他在那群孩子里肯定是最聪明的。那群孩子都喜欢他，让他做头儿。好几个孩子虽然比他大，也甘愿俯首称臣。男孩长得很美，就像一尊材质柔软、会呼吸的青铜神像；聪明而大胆的两眼之间距离很宽，就像生活中的一汪水泡、一粒细尘、一道美丽的闪光和火花。你们都见过这种充满灵光的小生命——我是说动物，什么动物都可能，一头豹，一匹马——它们好动、急切，活泼得一刻也停不下来；肌肉像丝一般圆润光滑，每一个细小的动作都极具美感，每一个举动都那么奔放、无拘无束，处处涌动着满溢的生命力和璀璨的生命之光。这个孩子就具有这样的灵光。生命的光辉简直要从他身上流淌出来。生命在他皮肤上闪耀，在他眼睛里燃烧。我敢说，我几乎能听到生命在他体内烧得劈里啪啦的声音。看着他，就像有新鲜的空气涌进鼻孔——他是如此清新，如此年轻，如此奔放，焕发着健康的魅力。","“This the boy did, again and again, to the delight of all of us, but particularly of Miss Caruthers.He could not have been a moment over twelve or thirteen, yet he was by far the cleverest of the gang.He was the favorite of his crowd, and its leader.Though there were a number older than he, they acknowledged his chieftaincy.He was a beautiful boy, a lithe young god in breathing bronze, eyes wide apart, intelligent and daring, a bubble, a mote, a beautiful flash and sparkle of life.You have seen.wonderful glorious creatures—animals, anything, a leopard, a horse-restless, eager, too much alive ever to be still, silken of muscle, each slightest movement a benediction of grace, every action wild, untrammeled, and over all spilling out that intense vitality, that sheen and luster of living light.The boy had it.Life poured out of him almost in an effulgence.His skin glowed with it.It burned in his eyes.I swear I could almost hear it crackle from him.Looking at him, it was as if a whiff of ozone came to one’s nostrils—so fresh and young was he, so resplendent with health, so wildly wild."
"“他就是这样一个孩子。也正是他，在比赛进行当中发出鲨鱼来了的警告。男孩们以他们所会的最快的划水姿势，拼命游向舷梯；他们乱糟糟地游着，手忙脚乱，水花四溅。他们脸上挂着恐惧的神色，一蹿一跳地，或者以任何其他办法爬出水面，然后拉一把后来的孩子爬上安全位置。直到所有孩子都爬上了舷梯，他们从那儿盯着下面的海水。”","“This was the boy.And it was he who gave the alarm in the midst of the sport.The boys made a dash of it for the gangway platform, swimming the fastest strokes they knew, pellmell, floundering and splashing, fright in their faces, clambering out with jumps and surges, any way to get out, lending one another a hand to safety, till all were strung along the gangway and peering down into the water.”"
"‘怎么了？’卡拉瑟斯小姐问道。","‘What is the matter?’ asked Miss Caruthers."
"“‘有条鲨鱼，我觉得，’本特利船长答道。‘那些小叫花真走运，一个也没让鲨鱼咬到。’”","“‘A shark, I fancy,’ Captain Bentley answered.‘Lucky little beggars that he didn’t get one of them.’”"
"‘他们怕鲨鱼？’她问道。","‘Are they afraid of sharks?’ she asked."
"‘你不怕？’船长反问道。","‘Aren’t you?’ he asked back."
"她耸耸肩，向外看着海面，撇了撇嘴。","She shuddered, looked overside at the water, and made a moue."
"‘无论如何我也不去鲨鱼可能出没的地方冒险，’她说完，又耸了耸肩。‘鲨鱼太可怕了！太可怕了！’","‘Not for the world would I venture where a shark might be,’ she said, and shuddered again.‘They are horrible!Horrible!’"
"“小男孩们都走上了上层甲板，聚在栏杆边上，崇敬地看着抛给他们那么多赏钱的卡拉瑟斯小姐。表演结束了，本特利船长就挥手示意他们下去。但是她拦住了他。”","“The boys came up on the promenade deck, clustering close to the rail and worshiping Miss Caruthers who had flung them such a wealth of backsheesh.The performance being over, Captain Bentley motioned to them to clear out.But she stopped him.”"
"‘等一下，船长。我一直觉得本地人都不怕鲨鱼。’","‘One moment, please, Captain.I have always understood that the natives are not afraid of sharks.’"
"“她把那个会天鹅入水式的孩子叫到身边，打手势让他再跳一次。孩子摇摇头，他后面那帮孩子笑了起来，仿佛这是个很好笑的笑话。","“She beckoned the boy of the swan dive nearer to her, and signed to him to dive over again.He shook his head, and along with all his crew behind him laughed as if it were a good joke.”"
"‘鲨鱼，’他指着水面，主动解释说。","‘Shark,’ he volunteered, pointing to the water."
"‘不，’她说，‘没有鲨鱼。’","‘No,’ she said.‘There is no shark.’"
"“但是他很肯定地点了点头，他身后的孩子们也同样肯定地点了点头。","“But he nodded his head positively, and the boys behind him nodded with equal positiveness.”"
"‘不，没有，没有鲨鱼，’她喊起来了。接着，她转向我们问道：‘谁肯借我半个克朗和一个金镑？’","‘No, no, no,’ she cried.And then to us, ‘Who’ll lend me a half-crown and a sovereign!’"
"“我们六个人马上呈给她许多克朗和金镑，但她只是从年轻的阿德莫尔手里一样拿了一枚。”","“Immediately the half dozen of us were presenting her with crowns and sovereigns, and she accepted the two coins from young Ardmore.”"
"“她拿起那半个克朗给孩子们瞧。不过并没有人急着冲到栏杆前，准备跳下去。他们只是站着，羞怯地笑着。她把那枚硬币从每个孩子面前晃过，但无论轮到谁，他也只是拿脚磨着自己的小腿，摇摇头，咧嘴笑一笑。接着她把那半个克朗扔出了舷外。孩子们望着那枚银币划过空中，脸上都是既渴望又惋惜的神色，但是没人跟着银币跳下去。”","“She held up the half-crown for the boys to see.But there was no eager rush to the rail preparatory to leaping.They stood there grinning sheepishly.She offered the coin to each one individually, and each, as his turn came, rubbed his foot against his calf, shook his head, and grinned.Then she tossed the half-crown overboard.With wistful, regretful faces they watched its silver flight through the air, but not one moved to follow it.”"
"‘别拿那枚金镑来玩这个，’丹尼森小声对她说。","‘Don’t do it with the sovereign,’ Dennitson said to her in a low voice."
"“她没有理会，把那枚金币举到了那个会天鹅入水式的孩子眼前。”","“She took no notice, but held up the gold coin before the eyes of the boy of the swan dive.”"
"‘别，’船长本特利说，‘附近有鲨鱼的时候，我连一只病猫都不会扔出去。’","‘Don’t,’ said Captain Bentley.‘I wouldn’t throw a sick cat overside with a shark around.’"
"“但是她笑了起来，执意要做，又拿着金币在孩子面前晃来晃去。”","“But she laughed, bent on her purpose, and continued to dazzle the boy.”"
"‘别引诱他，’丹尼森规劝她，‘这对他是一大笔钱，他可能真的会跟着跳下去的。’","‘Don’t tempt him,’ Dennitson urged.‘It is a fortune to him, and he might go over after it.’"
"‘换你就不愿跳了？’她冲他发起脾气来。‘如果是我扔出去的呢？’","‘Wouldn’t YOU?’ she flared at him.‘If I threw it?’"
"后一句听起来温和些。","This last more softly."
"丹尼森摇摇头。","Dennitson shook his head."
"‘你要价太高了，’她说，‘给多少金镑你才肯呢？’","‘Your price is high,’ she said.‘For how many sovereigns would you go?’"
"‘全世界的钱加起来也不够。’这就是他的答复。","‘There are not enough coined to get me overside,’ was his answer."
"“她争论了一会儿，在跟丹尼森争执的时候，就把小男孩忘在一边了。”","“She debated a moment, the boy forgotten in her tilt with Dennitson.”"
"‘要是为了我呢？’她轻声说。","‘For me?’ she said very softly."
"‘要是救你的性命，我会。别的不行。’","‘To save your life—yes.But not otherwise.’"
"“她又转过去对着那个孩子了。她再一次把金镑举到他眼前，利用它巨大的价值来诱惑他。接着，她做了一个要把钱扔出去的动作，这个孩子不由自主地向栏杆跑去，但是被同伴们的高声责备拦住了。他们的声音里听得出愤怒。”","“She turned back to the boy.Again she held the coin before his eyes, dazzling him with the vastness of its value.Then she made as to toss it out, and, involuntarily, he made a half-movement toward the rail, but was checked by sharp cries of reproof from his companions.There was anger in their voices as well.”"
"‘我知道你不过是在戏耍他们，’丹尼森说道，‘只要捏在手里，怎么玩都行，但是看在老天的份上，千万别扔出去。’","‘I know it is only fooling,’ Dennitson said.‘Carry it as far as you like, but for heaven’s sake don’t throw it.’"
"“不知道是出于古怪的任性，还是她觉得这个孩子终究不会上当，谁也不知道。反正出乎我们所有人的意料。硬币从天棚的阴影中飞进耀眼的阳光里，闪出金色的光芒；它在空中划了一道闪亮的弧线，掉进了海里。还没有谁来得及把那个孩子抓住，他就越过栏杆，一屈身跟着钱就跳下去了。人和钱都在半空中。那场景很美。金镑利落地掉进水里，而就在那个地方，几乎同时，那个孩子也钻进水里，几乎没有溅起一点水花。","“Whether it was that strange wilfulness of hers, or whether she doubted the boy could be persuaded, there is no telling.It was unexpected to all of us.Out from the shade of the awning the coin flashed golden in the blaze of sunshine and fell toward the sea in a glittering arch.Before a hand could stay him, the boy was over the rail and curving beautifully downward after the coin.Both were in the air at the same time.It was a pretty sight.The sovereign cut the water sharply, and at the very spot, almost at the same instant, with scarcely a splash, the boy entered."
"“那些一直看着的眼尖的黑孩子，都惊叫起来。我们都到了栏杆边。别说什么鲨鱼吃人一定会翻身。那一条就没有。水很清，我们站在上面，看得一清二楚。这条巨大的鲨鱼一下子就把小孩咬成了两截。","“From the quicker-eyed black boys watching, came an exclamation.We were all at the railing.Don’t tell me it is necessary for a shark to turn on its back.That one did not.In the clear water, from the height we were above it, we saw everything.The shark was a big brute, and with one drive he cut the boy squarely in half."
"“我们之中有人嘟囔了两句——我不知道是谁，但或许就是我。接着谁也不说话了。第一个开口的是卡拉瑟斯小姐。她的脸色惨白，像个死人。”","“There was a murmur or something from among us—who made it I did not know; it might have been I.And then there was silence.Miss Caruthers was the first to speak.Her face was deathly white.”"
"‘我做梦也不会想到……’她说，接着发出一阵短促、歇斯底里般的笑声。","‘I never dreamed,’ she said, and laughed a short, hysterical laugh."
"她全部的傲气支撑着她，使得她还没有失控。她有气无力地看了看丹尼森，又挨个看了看我们所有人。她的眼中透出一股极为难受的神情，她的嘴唇都在颤抖。我们都是禽兽——唉，现在回过去一想，才明白过来。但是我们其实什么也没做。","All her pride was at work to give her control.She turned weakly toward Dennitson, and then, on from one to another of us.In her eyes was a terrible sickness, and her lips were trembling.We were brutes—oh, I know it, now that I look back upon it.But we did nothing."
"‘丹尼森先生，’她叫道，‘汤姆，你不能扶我下去么！’","‘Mr. Dennitson,’ she said, ‘Tom, won’t you take me below!’"
"“他一点都没改变注视的方向，脸上的神情是我见过最冷漠的了，他连眼皮都没有动一下。他从烟盒里取出一根烟，点着了。本特利船长喉咙里发出一声令人恶心的声响，一口唾沫吐到船外去了。就这样了，接下来只有沉默。”","“He never changed the direction of his gaze, which was the bleakest I have ever seen in a man’s face, nor did he move an eyelid.He took a cigarette from his case and lighted it.Captain Bentley made a nasty sound in his throat and spat overboard.That was all; that and the silence.”"
"她转过身去，准备镇定地走下甲板。走了不过二十英尺，她就摇摇晃晃了，她用手扶住墙，以免摔倒。她就这样用手扶着船舱，慢慢地走下去了。”特雷洛尔停住了。他转过头，用一种冷冷的询问的眼光看着那个矮个子。","She turned away and started to walk firmly down the deck.Twenty feet away, she swayed and thrust a hand against the wall to save herself.And so she went on, supporting herself against the cabins and walking very slowly.”Treloar ceased.He turned his head and favored the little man with a look of cold inquiry."
"“好了，”他终于说道，“你来给她评个等级。”","“Well,” he said finally.“Classify her.”"
"那个矮个子只是咽了几大口唾沫。","The little man gulped and swallowed."
"“我无话可说，”他说，“实在无话可说。”","“I have nothing to say,” he said.“I have nothing whatever to say.”"
