"一次电话交谈","A Telephonic Conversation"
"哦，这个世界是怎么了？就在教堂里吗？","Well, what IS this world coming to?Was it right in CHURCH?"
"间断。","Pause."
"她妈妈在那吗？","And was her MOTHER there?"
"间断。","Pause."
"哎呀，巴格利太太，我会羞死的！他们都干了什么啊？","Why, Mrs. Bagley, I should have died of humiliation!What did they DO?"
"长长的停顿。","Long pause."
"我不是非常确定，因为我没带笔记，不过我记得差不多这样：特啰哩啰啰，啰啰哩啰啰，哦特哩啰啰哩哩哩哎哆！然后重复，你知道吧。","I can’t be perfectly sure, because I haven’t the notes by me; but I think it goes something like this: te-rolly-loll-loll, loll lolly-loll-loll, O tolly-loll-loll-LEE-LY-LI-I-do!And then REPEAT, you know."
"间断。","Pause."
"是的，我觉得要是你能弹奏好小行板和弱音的话，那么一定很甜美——也很庄重，让人印象深刻。","Yes, I think it IS very sweet—and very solemn and impressive, if you get the andantino and the pianissimo right."
"间断。","Pause."
"哦，橡皮糖，橡皮糖！但我从不让他们吃条纹糖。当然，不管怎么说，他们长牙之前都不能吃。","Oh, gum-drops, gum-drops!But I never allow them to eat striped candy.And of course they CAN’T, till they get their teeth, anyway."
"间断。","Pause."
"什么？","WHAT?"
"间断。","Pause."
"哦，压根没有——继续。他正在这儿写呢——没打扰他。","Oh, not in the least—go right on.He’s here writing—it doesn’t bother HIM."
"间断。","Pause."
"非常好，我能去的话就去。（旁边人说）天哪，拿这个东西这么久，胳膊真累啊！我真希望她——","Very well, I’ll come if I can.(ASIDE.) Dear me, how it does tire a person’s arm to hold this thing up so long!I wish she’d—"
"间断。","Pause."
"哦，不，没关系；我喜欢说话——但是我害怕耽误你的事情。","Oh no, not at all; I LIKE to talk—but I’m afraid I’m keeping you from your affairs."
"间断。","Pause."
"有客人？","Visitors?"
"间断。","Pause."
"不，我们从来不在上面加黄油。","No, we never use butter on them."
"间断。","Pause."
"没错，这样很好；不过所有的烹饪书上都写着，过季的话会很不健康。反正他都不喜欢——特别是罐装的。","Yes, that is a very good way; but all the cook-books say they are very unhealthy when they are out of season.And HE doesn’t like them, anyway—especially canned."
"间断。","Pause."
"哦，我觉得太贵了，我从来没买过超过50美分一束的。","Oh, I think that is too high for them; we have never paid over fifty cents a bunch."
"间断。","Pause."
"你必须要走了吗？好吧，再见。","MUST you go?Well, GOOD-by."
"间断。","Pause."
"是的，我也这么认为。再见。","Yes, I think so.GOOD-by."
"间断。","Pause."
"那就四点钟——我会准备好的。再见。","Four o’clock, then—I’ll be ready.GOOD-by."
"间断。","Pause."
"非常感谢。再见。","Thank you ever so much.GOOD-by."
"间断。","Pause."
"哦，根本没有——还那么新鲜——哪一个？哦，听到你这么说我很高兴。再见。","Oh, not at all!—just as fresh—WHICH?Oh, I’m glad to hear you say that.GOOD-by."
"（挂上电话然后说：“唉，胳膊真累啊！”）","(Hangs up the telephone and says, “Oh, it DOES tire a person’s arm so!”)"
"一个男人会冷冷地说“再见”，然后谈话就结束了。而女性却不是这样——我是用赞美的口吻说的。她们受不了这么唐突的行为。","A man delivers a single brutal “Good-by,” and that is the end of it.Not so with the gentle sex—I say it in their praise; they cannot abide abruptness."
