"最后一案","The Final Problem"
"“这么晚上门，我得跟你道个歉，”他说道，“不光如此，一会儿我还得从你们家后园的墙头翻出去，请你不要见怪。”","“I must apologize for calling so late,” said he, “and I must further beg you to be so unconventional as to allow me to leave your house presently by scrambling over your back garden wall."""
"“可是，这一切到底是怎么回事呢？”我问道。于是他伸出一只手来，而我借着提灯的光线看见，他有两个指关节已经破皮见血。","“But what does it all mean?” I asked. He held out his hand, and I saw in the light of the lamp that two of his knuckles were burst and bleeding."
"“看见了吧，这可不是虚无缥缈的事情，”他笑着说道。“恰恰相反，这事情铁板钉钉，打上去都会伤到手呢。你太太在吗？”","“It’s not an airy nothing, you see,” said he, smiling. “On the contrary, it is solid enough for a man to break his hand over. Is Mrs. Watson in?”"
"“她出门作客去了。”","“She is away upon a visit.”"
"“真的啊！你一个人吗？”","“Indeed! you are alone?”"
"“没错。”","“Quite.”"
"“这样的话，事情就好办了。我打算请你跟我一起上欧洲大陆去待一周，本来还有点儿不好开口呢。” ","“Then it makes it the easier for me to propose that you should come away with me for a week to the Continent.”"
"“去哪儿？”","“Where?”"
"“噢，哪儿都行，对我来说都一样。”","“Oh, anywhere. It’s all the same to me.”"
"眼前的一切实在是非常古怪。福尔摩斯可不是一个喜欢没事闲逛的人，更何况，他苍白憔悴的脸庞已经告诉了我，他的神经正处于最为紧张的状态。他看到了我眼睛里的疑问，于是就把双手叉在一起，双肘支在膝头，开始解释其中的缘由。","There was something very strange in all this. It was not Holmes’s nature to take an aimless holiday, and something about his pale, worn face told me that his nerves were at their highest tension. He saw the question in my eyes, and, putting his finger-tips together and his elbows upon his knees, he explained the situation."
"“莫里亚蒂教授这个人，你多半是从来没听说过吧？”他说道。“没听说过。”","“You have probably never heard of Professor Moriarty?” said he."
"“可不是嘛，高就高在这里，妙就妙在这里！”他大声说道。","“Never.”"
"“他的势力遍及伦敦的每一个角落，他的名字却从来不曾有人提起。他之所以能够登上犯罪史的巅峰，原因就在这里。实实在在地告诉你，华生，如果能够击败这个家伙，能够为社会清除这个祸害，我就会觉得自己的职业生涯已经达到顶峰，往后就可以去过一种比较平静的生活。咱俩私下说啊，最近这段时间，替斯堪的纳维亚王室和法国公众办完那几件案子之后，我已经打下了一点儿基础，可以去过我最喜欢的那种隐居生活，集中精力搞我的化学研究。可是，华生，一想到莫里亚蒂教授这样的人还在伦敦的大街上横行无忌，我就没办法踏实下来，没办法安安稳稳地坐在自个儿的椅子上。 ”","“Ay, there’s the genius and the wonder of the thing!” he cried. “The man pervades London, and no one has heard of him. That’s what puts him on a pinnacle in the records of crime. I tell you Watson, in all seriousness, that if I could beat that man, if I could free society of him, I should feel that my own career had reached its summit, and I should be prepared to turn to some more placid line in life. Between ourselves, the recent cases in which I have been of assistance to the royal family of Scandinavia, and to the French republic, have left me in such a position that I could continue to live in the quiet fashion which is most congenial to me, and to concentrate my attention upon my chemical researches. But I could not rest, Watson, I could not sit quiet in my chair, if I thought that such a man as Professor Moriarty were walking the streets of London unchallenged.”"
"“那么，他都干了些什么呢？”","“What has he done, then?”"
"“这个人的履历可谓不同凡响。他出身名门，受过非常好的教育，还拥有惊人的数学天赋。刚刚二十一岁的时候，他就完成了一篇关于二项式定理的论文，一时间名噪全欧。靠着论文带来的声誉，他在本国一所不那么显赫的大学里获得了数学教席，从各个方面来看都是前程似锦。可是，这家伙拥有邪恶至极的遗传天性，血管里流的也是罪犯的血液，而他非凡的智力不但没有起到矫正的作用，反而助长了他的犯罪倾向，使他的犯罪行为变本加厉。这么着，他从教的那个校园小镇渐渐有了一些关于他的恐怖传言，而他也不得不辞去教授职位，来到伦敦，摇身变成了一名陆军教官。外界对他的了解到此为止，接下来的这些事情都是我自己的发现。","“His career has been an extraordinary one. He is a man of good birth and excellent education, endowed by nature with a phenomenal mathematical faculty. At the age of twenty-one he wrote a treatise upon the binomial theorem, which has had a European vogue. On the strength of it he won the mathematical chair at one of our smaller universities, and had, to all appearances, a most brilliant career before him. But the man had hereditary tendencies of the most diabolical kind. A criminal strain ran in his blood, which, instead of being modified, was increased and rendered infinitely more dangerous by his extraordinary mental powers. Dark rumours gathered round him in the university town, and eventually he was compelled to resign his chair and to come down to London, where he set up as an army coach. So much is known to the world, but what I am telling you now is what I have myself discovered."
"“你是知道的，华生，关于伦敦高层犯罪圈子的内幕，这世上再没有谁比我更清楚。多年以来，我一直觉得伦敦罪犯的背后有一股组织完备、深藏不露的势力，这股势力一直在阻碍法律的实施，一直在为不法之徒提供庇护。一次又一次，我不断地通过五花八门的罪案——伪造、劫盗、谋杀——察觉到这股势力的存在，还从我未曾亲身参与的许多悬案当中嗅到了它的气息。多年以来，我一直在努力揭开它的神秘面幂，最后才终于找到线索，开始顺藤摸瓜。千百次扑朔迷离的转折之后，这条线索终于让我追踪到了曾经的数学名流，现已退职的莫里亚蒂教授。","“As you are aware, Watson, there is no one who knows the higher criminal world of London so well as I do. For years past I have continually been conscious of some power behind the malefactor, some deep organizing power which forever stands in the way of the law, and throws its shield over the wrong-doer. Again and again in cases of the most varying sorts—forgery cases, robberies, murders—I have felt the presence of this force, and I have deduced its action in many of those undiscovered crimes in which I have not been personally consulted. For years I have endeavoured to break through the veil which shrouded it, and at last the time came when I seized my thread and followed it, until it led me, after a thousand cunning windings, to ex-Professor Moriarty, of mathematical celebrity."
"“他就是罪犯之中的拿破仑，华生。他是咱们这座伟大城市里半数罪案的主谋，那些未能破获的悬案几乎都是出自他的筹划。他是个天才，又是个哲人，还是个超凡脱俗的思想者。他拥有第一流的头脑，总是像蜘蛛一样端坐在网子的中央，可怕的是，他那张网包括千万条丝线，每一条丝线的每一丝颤抖他都是了如指掌。他很少亲自动手，只负责制订计划，可他的爪牙不光是不计其数，而且拥有十分完备的组织。如果有人想实施什么罪行，打个比方说吧，想盗窃某份文件，想抢劫某座房屋，或者是想清除某个人，只需要给教授捎个话，事情就会安排妥当、水到渠成。爪牙可能会落入法网，但却总会有人出钱来保他们，或者是替他们打官司。与此同时，操纵这些爪牙的中枢从来都不曾被人逮到，甚至是从来不曾惹上嫌疑。这就是我追查出来的那个组织，华生，也是我用尽全力去揭露并摧毁的目标。","“He is the Napoleon of crime, Watson. He is the organizer of half that is evil and of nearly all that is undetected in this great city. He is a genius, a philosopher, an abstract thinker. He has a brain of the first order. He sits motionless, like a spider in the centre of its web, but that web has a thousand radiations, and he knows well every quiver of each of them. He does little himself. He only plans. But his agents are numerous and splendidly organized. Is there a crime to be done, a paper to be abstracted, we will say, a house to be rifled, a man to be removed—the word is passed to the professor, the matter is organized and carried out. The agent may be caught. In that case money is found for his bail or his defence. But the central power which uses the agent is never caught—never so much as suspected. This was the organization which I deduced, Watson, and which I devoted my whole energy to exposing and breaking up."
"“可是，教授在自己周围设下了一道道精心构筑的屏障，即便我使尽浑身解数，一时之间也不免灰心丧气，觉得我根本拿不到足以将他按律定罪的证据。我的本领你是知道的，亲爱的华生，可是，整整三个月的追查之后，我不得不承认，我终于遇上了一个智力和我不相上下的对手。那时候，我对他的本事无比钦佩，甚至超过了我对他那些罪行的憎恨之情。不过，他最终还是犯了个错误。当然，那只是一个非常非常小的错误，可是，既然有我在他身后穷追不舍，错误的代价就不是他所能承受。就从他犯错的那一刻开始，我见机而作，一步步地在他周围布下了天罗地网，眼下已经是万事俱备，只待收网见鱼。三天之后，换句话说就是下周一，时机就会成熟，教授和他那个帮派里所有的得力干将都会落入警方的掌握。随之而来的就会是本世纪最大的一次刑事审判，四十多宗疑案将会同时破解，所有案犯也都会摊上一根绞索。不过，你明白吧，我们绝不能过早地采取任何行动，那样的话，即便已经到了最后的关头，他们仍然有可能溜出我们的掌心。","“But the professor was fenced round with safeguards so cunningly devised that, do what I would, it seemed impossible to get evidence which would convict in a court of law. You know my powers, my dear Watson, and yet at the end of three months I was forced to confess that I had at last met an antagonist who was my intellectual equal. My horror at his crimes was lost in my admiration at his skill. But at last he made a trip—only a little, little trip—but it was more than he could afford, when I was so close upon him. I had my chance, and, starting from that point, I have woven my net round him until now it is all ready to close. In three days—that is to say, on Monday next—matters will be ripe, and the professor, with all the principal members of his gang, will be in the hands of the police. Then will come the greatest criminal trial of the century, the clearing up of over forty mysteries, and the rope for all of them; but if we move at all prematurely, you understand, they may slip out of our hands even at the last moment."
"“好了，如果我这些安排能够瞒过莫里亚蒂教授的话，所有事情当然会顺利完成。只可惜他老谋深算，不可能对此无知无觉。他看到了我那张网的每一条经纬，一次又一次地想要破网而逃，而我也一次又一次地截住了他。这么跟你说吧，我的朋友，我和他之间那场沉默的较量如果能有一份详尽的记述，一定会成为侦探史上最精彩的一篇智斗经典。以前我从来不曾到达如此超绝的高度，也从来不曾被对手逼得如此窘迫。他确实是深谋远虑，可我刚好比他稍微高了那么一筹。今天早上，我做好了最后的部署，只需要三天的时间，整件事情就可以大功告成。接下来，我坐在自己的房间里掂量这件事情，房门突然开了，莫里亚蒂教授站在了我的眼前。","“Now, if I could have done this without the knowledge of Professor Moriarty, all would have been well. But he was too wily for that. He saw every step which I took to draw my toils round him. Again and again he strove to break away, but I as often headed him off. I tell you, my friend, that if a detailed account of that silent contest could be written, it would take its place as the most brilliant bit of thrust-and-parry work in the history of detection. Never have I risen to such a height, and never have I been so hard pressed by an opponent. He cut deep, and yet I just undercut him. This morning the last steps were taken, and three days only were wanted to complete the business. I was sitting in my room thinking the matter over when the door opened and Professor Moriarty stood before me."
"“我的神经算得上相当坚强，华生，可我必须承认，看到我日夜琢磨的那个人突然站在了我的家门口，我还是吓了一跳。他的长相我早已了如指掌，个子高得出奇，身材瘦得出奇，突出的额头形成了一个白色的弧面，眼睛深深地陷进了头颅。他苍白的脸庞刮得干干净净，样子有点儿像苦行的僧侣，眉目之间还依稀保留着教授的风范。他的肩膀因为长年的研究工作而变得有些佝偻，伸在身前的脸则不停地左摇右摆，摆动的速度十分缓慢，方式也十分古怪，活像是一只爬行动物。进门之后，他眯缝起眼睛，饶有兴致地打量着我。","“My nerves are fairly proof, Watson, but I must confess to a start when I saw the very man who had been so much in my thoughts standing there on my threshold. His appearance was quite familiar to me. He is extremely tall and thin, his forehead domes out in a white curve, and his two eyes are deeply sunken in his head. He is clean-shaven, pale, and ascetic-looking, retaining something of the professor in his features. His shoulders are rounded from much study, and his face protrudes forward and is forever slowly oscillating from side to side in a curiously reptilian fashion. He peered at me with great curiosity in his puckered eyes."
"“‘您的额头也没有我想的那么高嘛，’良久之后，他终于开了口。‘把手伸在睡袍口袋里拨弄上了膛的火器，这可是一种危险的习惯哪。’","“‘You have less frontal development than I should have expected,’ said he at last. ‘It is a dangerous habit to finger loaded firearms in the pocket of one’s dressing-gown.’"
"“的确，他刚刚跨进门槛，我立刻意识到自己的生命面临着极大的危险。他要想逃脱法律的制裁，惟一的办法就是让我闭上嘴巴。所以呢，我赶紧从抽屉里摸出左轮手枪，悄悄地塞进睡袍的口袋，隔着衣服对准了他。眼下他既然挑明了这一点，我便把扳好击铁的手枪从口袋里掏了出来，摆到了桌子上。他仍然笑眯眯地眨巴着眼睛，可他的眼神却让我觉得，手里有枪是一件值得庆幸的事情。","“The fact is that upon his entrance I had instantly recognized the extreme personal danger in which I lay. The only conceivable escape for him lay in silencing my tongue. In an instant I had slipped the revolver from the drawer into my pocket and was covering him through the cloth. At his remark I drew the weapon out and laid it cocked upon the table. He still smiled and blinked, but there was something about his eyes which made me feel very glad that I had it there."
"“‘您显然是对我缺乏了解，’他说。","“‘You evidently don’t know me,’ said he."
"“‘恰恰相反，’我这么回答他，‘要我说，真正显然的事情是我对您非常了解。请坐。如果您有话要说的话，我可以给您五分钟的时间。’","“‘On the contrary,’ I answered, ‘I think it is fairly evident that I do. Pray take a chair. I can spare you five minutes if you have anything to say.’"
"“‘我要说的话，都在您的意料之中，’他说。","“‘All that I have to say has already crossed your mind,’ said he."
"“‘如此说来，我的回答多半也在您的意料之中，’我说。","“‘Then possibly my answer has crossed yours,’ I replied."
"“‘您不肯让步吗？’","“‘You stand fast?’"
"“‘绝对不肯。 ’","“‘Absolutely.’"
"“他飞快地把手伸进自己的口袋，我赶紧抄起了桌上的手枪。不过，他掏出来的只是一个记事本，上面潦草地记着几个日期。","“He clapped his hand into his pocket, and I raised the pistol from the table. But he merely drew out a memorandum-book in which he had scribbled some dates."
"“‘一月四日，您挡了我的道，’他说。‘二十三日，您碍了我的事。二月中旬，您给我造成了极大的不便。三月底，我的计划碰上了无法逾越的障碍。眼下呢，四月即将过去，而我已经发现，由于您没完没了的迫害，我竟然实实在在地面临着丧失自由的危险。按我看，局面已经有点儿不堪忍受了。’","“‘You crossed my path on the fourth of January,’ said he. ‘On the twenty-third you incommoded me; by the middle of February I was seriously inconvenienced by you; at the end of March I was absolutely hampered in my plans; and now, at the close of April, I find myself placed in such a position through your continual persecution that I am in positive danger of losing my liberty. The situation is becoming an impossible one.’"
"“‘您有什么提议吗？’我问他。","“‘Have you any suggestion to make?’ I asked."
"“‘您必须住手，福尔摩斯先生，’他的脸依然在左摇右摆。‘您也知道，您真的别无选择。’","“‘You must drop it, Mr. Holmes,’ said he, swaying his face about. ‘You really must, you know.’"
"“‘过了周一再说吧，’我说。","“‘After Monday,’ said I."
"“‘啧，啧！’他说。‘您这么聪明，我敢肯定您非常清楚，这事情只能有一个结果。您必须见好就收，不收是不行的。您把事情搞到了今天这种地步，留给我们的只有一条出路。看到您纠缠这件事情的巧妙方法，实在是一种智力上的享受，说心里话，如果我被迫采取某种极端的措施，那可就太让人痛心了。您别笑，先生，我可以跟您保证，我真的会觉得非常痛心。’","“‘Tut, tut!’ said he. ‘I am quite sure that a man of your intelligence will see that there can be but one outcome to this affair. It is necessary that you should withdraw. You have worked things in such a fashion that we have only one resource left. It has been an intellectual treat to me to see the way in which you have grappled with this affair, and I say, unaffectedly, that it would be a grief to me to be forced to take any extreme measure. You smile, sir, but I assure you that it really would.’"
"“‘干了我这个行当，危险自然是家常便饭，’我说。","“‘Danger is part of my trade,’ I remarked."
"“‘这可不是危险，’他说。‘是无法逃脱的毁灭。让您挡了道的不是一个单枪匹马的个体，而是一个神通广大的组织，您虽然聪明绝顶，却也没能认识到它全部的力量。您必须靠边站，福尔摩斯先生，要不然会被踩扁的。’","“This is not danger,’ said he. ‘It is inevitable destruction. You stand in the way not merely of an individual but of a mighty organization, the full extent of which you, with all your cleverness, have been unable to realize. You must stand clear, Mr. Holmes, or be trodden under foot.’"
"“‘不好意思，’我一边说，一边站了起来，‘我光顾着享受跟您谈话的乐趣，恐怕已经耽搁了别处的一些待办要务。’","“‘I am afraid,’ said I, rising, ‘that in the pleasure of this conversation I am neglecting business of importance which awaits me elsewhere.’"
"“他也站了起来，默不作声地看着我，悲哀地摇了摇脑袋。","“He rose also and looked at me in silence, shaking his head sadly."
"“‘好吧，好吧，’他终于开了口。‘这事情似乎有点儿遗憾，可我已经尽我所能。您的每一步棋我都知道，周一之前您什么也干不了。这是你我二人的一场决斗，福尔摩斯先生。您想把我送上被告席，可我只能告诉您，我是绝对不会站上被告席的。您还想击败我，那我也只能告诉您，这事情您永远做不到。您要是聪明到了可以毁灭我的地步，那就请您尽管放心，我也能对您做到同样的事情。’","“‘Well, well,’ said he at last. ‘It seems a pity, but I have done what I could. I know every move of your game. You can do nothing before Monday. It has been a duel between you and me, Mr. Holmes. You hope to place me in the dock. I tell you that I will never stand in the dock. You hope to beat me. I tell you that you will never beat me. If you are clever enough to bring destruction upon me, rest assured that I shall do as much to you.’"
"“‘刚才您跟我客气了好几次，莫里亚蒂先生，’我说。‘容我也跟您客套一句。我要说的是，如果确信前一件事情能够实现的话，那么，为公众的利益起见，我会欣然接受后一件事情。’","“‘You have paid me several compliments, Mr. Moriarty,’ said I. ‘Let me pay you one in return when I say that if I were assured of the former eventuality I would, in the interests of the public, cheerfully accept the latter.’"
"“‘我只能跟您担保其中一件，另一件我可担保不了，’他吼了一声，然后就转过身去，用他那佝偻的背脊对着我，一边东张西望，一边走出了房间。","“‘I can promise you the one, but not the other,’ he snarled, and so turned his rounded back upon me and went peering and blinking out of the room."
"“这就是我和莫里亚蒂教授的奇异会晤。坦白说，这次会晤让我心里很不愉快。他那些轻描淡写、严谨缜密的言语可说是掷地有声，绝不是咋咋唬唬的恐吓所能比拟。你当然会问，‘干吗不让警方对他采取措施呢？’答案就是我非常清楚，他自己不会动手，动手的只会是他的爪牙。情形必然会是这样，我已经有了再确凿不过的证据。”","“That was my singular interview with Professor Moriarty. I confess that it left an unpleasant effect upon my mind. His soft, precise fashion of speech leaves a conviction of sincerity which a mere bully could not produce. Of course, you will say: ‘Why not take police precautions against him?’ The reason is that I am well convinced that it is from his agents the blow would fall. I have the best of proofs that it would be so.”"
"“他们已经对你下手了吗？”","“You have already been assaulted?”"
"“亲爱的华生，莫里亚蒂教授可不是一个干等着脚下长草的人。今天中午，我去牛津街办点事情，刚走到本廷克街转往维尔贝克街的那个拐角，一辆双驾货车就呼啸着转进本廷克街，闪电般地朝我碾了过来。我赶紧跳上人行道，间不容发地躲过了劫难。那辆货车一直冲进玛丽勒本路，转眼之间就不见了。从那时起，华生，我再也没敢离开人行道。可是，我走在维尔街上的时候[^4]，一块砖头突然从旁边一座房子的屋顶上掉了下来，在我脚边砸得粉碎。我叫来警察，让他们搜查了那座房子。他们发现屋顶堆着一些用于修缮的板瓦和砖块，于是就竭力让我相信，砖头是让风给刮下来的。我当然知道情形并非如此，但却拿不出任何证据。接下来，我坐上出租马车去了朴尔莫尔大街，整个下午都待在我哥哥家里。来你这儿的路上，一名手持大头棒的暴徒对我发起了袭击。我放倒了他，还把他交给了警察，不过，你可以放一百万个心，警方绝对找不出这位先生和那位退职数学教授之间的任何联系。我的指关节在这位先生的门牙上破皮见血的时候，那位教授，我敢说，肯定是在十英里之外的一块黑板跟前研究数学问题呢。华生啊，我一进门就关上了你家的窗板，刚才还不得不向你申请，要通过一条比前门隐蔽一点儿的路线离开你家，听了我这番解释，你应该不会再觉得奇怪了吧。”","“My dear Watson, Professor Moriarty is not a man who lets the grass grow under his feet. I went out about midday to transact some business in Oxford Street. As I passed the corner which leads from Bentinck Street on to the Welbeck Street crossing a two-horse van furiously driven whizzed round and was on me like a flash. I sprang for the foot-path and saved myself by the fraction of a second. The van dashed round by Marylebone Lane and was gone in an instant. I kept to the pavement after that, Watson, but as I walked down Vere Street a brick came down from the roof of one of the houses and was shattered to fragments at my feet. I called the police and had the place examined. There were slates and bricks piled up on the roof preparatory to some repairs, and they would have me believe that the wind had toppled over one of these. Of course I knew better, but I could prove nothing. I took a cab after that and reached my brother’s rooms in Pall Mall, where I spent the day. Now I have come round to you, and on my way I was attacked by a rough with a bludgeon. I knocked him down, and the police have him in custody; but I can tell you with the most absolute confidence that no possible connection will ever be traced between the gentleman upon whose front teeth I have barked my knuckles and the retiring mathematical coach, who is, I daresay, working out problems upon a black-board ten miles away. You will not wonder, Watson, that my first act on entering your rooms was to close your shutters, and that I have been compelled to ask your permission to leave the house by some less conspicuous exit than the front door.”"
"我经常都对我朋友的勇气赞佩不已，眼下就更是五体投地，因为他泰然自若地坐在那里，一件一件地数出了一长串事故。一天里就有这么多事故，这一天不知道该有多么恐怖。","I had often admired my friend’s courage, but never more than now, as he sat quietly checking off a series of incidents which must have combined to make up a day of horror."
"“你打算在这里过夜吗？”我说道。","“You will spend the night here?” I said."
"“不行啊，我的朋友，因为你兴许会发现，我这样的客人相当危险。我已经做好了计划，应该不会再有什么问题。事情进行到这个程度，他们不需要我的帮助也可以抓到犯人，当然喽，如果要给这些犯人定罪，没有我在场是不行的。显而易见，在警方可以全面出击之前的这几天，我最明智的选择就是暂时离开这里。所以呢，如果你能陪我去一趟欧洲大陆的话，那我就再高兴不过了。”","“No, my friend, you might find me a dangerous guest. I have my plans laid, and all will be well. Matters have gone so far now that they can move without my help as far as the arrest goes, though my presence is necessary for a conviction. It is obvious, therefore, that I cannot do better than get away for the few days which remain before the police are at liberty to act. It would be a great pleasure to me, therefore, if you could come on to the Continent with me.”"
"“诊所的生意十分清淡，”我说道，“隔壁的医生又非常愿意帮忙。乐意奉陪。”","“The practice is quiet,” said I, “and I have an accommodating neighbour. I should be glad to come.”"
"“明天早上就动身，没问题吧？”","“And to start to-morrow morning?”"
"“如果有这个必要的话。 ”","“If necessary.”"
"“噢，有必要，绝对有必要。好了，亲爱的华生，下面这些就是我的指示，请你务必严格执行，因为从现在开始，你就是我的搭档，得跟我一起对付整个欧洲最狡猾的匪徒，还有整个欧洲最强大的匪帮。听好！今天晚上，你得找一个靠得住的信差，让他把你打算携带的所有行李送到维多利亚车站，行李上不要写发往何处。明天早晨，你得打发仆人去叫一辆出租马车，还得叮嘱他，送上门来的第一辆和第二辆都不能要。然后呢，你跳上马车，让车夫载你到劳瑟拱廊[^5]靠斯特兰街的那个入口，你得把地址写在纸片上交给车夫，吩咐他别把纸片扔掉。你得预先付清车钱，马车一停就往拱廊里面冲，还得自己算好时间，总之要在九点一刻的时候冲到拱廊的另一头。届时会有一辆小型的四轮马车在路边等你，赶车的人身穿一件厚重的黑色斗篷，领口上镶着红边。坐上那辆马车之后，你就可以及时到达维多利亚车站，赶上开往欧洲大陆的快车。”","“Oh, yes, it is most necessary. Then these are your instructions, and I beg, my dear Watson, that you will obey them to the letter, for you are now playing a double-handed game with me against the cleverest rogue and the most powerful syndicate of criminals in Europe. Now listen! You will dispatch whatever luggage you intend to take by a trusty messenger unaddressed to Victoria to-night. In the morning you will send for a hansom, desiring your man to take neither the first nor the second which may present itself. Into this hansom you will jump, and you will drive to the Strand end of the Lowther Arcade, handing the address to the cabman upon a slip of paper, with a request that he will not throw it away. Have your fare ready, and the instant that your cab stops, dash through the Arcade, timing yourself to reach the other side at a quarter past nine. You will find a small brougham waiting close to the curb, driven by a fellow with a heavy black cloak tipped at the collar with red. Into this you will step, and you will reach Victoria in time for the Continental express.”"
"“咱们在哪儿碰头呢？”","“Where shall I meet you?”"
"“在车站碰头。我已经把从车头数的第二节头等车厢包了下来。”","“At the station. The second first-class carriage from the front will be reserved for us.”"
"“这么说，那节车厢就是咱们的集合地点喽？”","“The carriage is our rendezvous, then?”"
"“是的。”","“Yes.”"
"不管我怎么劝说，福尔摩斯还是不肯留下来过夜。我心里明白，他之所以执意离去，怕的是给我家里招来麻烦。他匆匆交代了几句明天的事情，然后就站起身来，跟我一起走进花园，从墙头翻进了莫蒂默街。紧接着，我听见他打了个唿哨，叫住一辆出租马车，坐上马车离去了。","It was in vain that I asked Holmes to remain for the evening. It was evident to me that he thought he might bring trouble to the roof he was under, and that that was the motive which impelled him to go. With a few hurried words as to our plans for the morrow he rose and came out with me into the garden, clambering over the wall which leads into Mortimer Street, and immediately whistling for a hansom, in which I heard him drive away."
