"第一章 王子和贫儿的诞生","Chapter I  The Birth of the Prince and the Pauper"
"日复一日，汤姆读的书和他有关王子的生活的梦对他产生了强烈的影响，他不知不觉开始扮演起王子来。他的讲话和仪态变得出奇地正式而有威严，他亲密的伙伴对此感到无限钦佩，而且又觉得好笑。但现在，汤姆在这些年轻人中的影响开始一天天增强，最后,他们都怀着一种好奇的敬畏仰视他，认为他高人一等。他好像知道很多事情！他可以做出和讲出这么不可思议的事情！而且，他是那么深刻而有智慧！汤姆的语言、汤姆的行为，都被男孩子们说给了家里的大人听。不久，这些大人也开始谈论汤姆·坎蒂，把他视为最有天赋、不同寻常的人。成人们向汤姆请教疑难问题的解决方法，并常常惊讶于他决策的机智和巧妙。其实，所有认识他的人都把他当成英雄，除了他自己的家人——只有他们没看出他有什么了不起的。　","By-and-by Tom’s reading and dreaming about princely life wrought such a strong effect upon him that he began to ACT the prince, unconsciously.His speech and manners became curiously ceremonious and courtly, to the vast admiration and amusement of his intimates.But Tom’s influence among these young people began to grow now, day by day; and in time he came to be looked up to, by them, with a sort of wondering awe, as a superior being.He seemed to know so much! And he could do and say such marvellous things!And withal, he was so deep and wise!Tom’s remarks, and Tom’s performances, were reported by the boys to their elders; and these, also, presently began to discuss Tom Canty, and to regard him as a most gifted and extraordinary creature.Full-grown people brought their perplexities to Tom for solution, and were often astonished at the wit and wisdom of his decisions.In fact he was become a hero to all who knew him except his own family—these, only, saw nothing in him."
"不久以后，汤姆秘密地组织了一个宫廷！他扮王子，他亲密的伙伴们有的扮侍卫，有的扮内臣，有的扮武官，有的扮勋爵，有的扮宫女，还有的扮皇族。每天，他们都用复杂的仪式接待这位假王子，这些仪式都是汤姆从传奇书上学的。每天，皇家议会上都要讨论假王国的大事,假王子阁下每日都会给他想象中的军队、海军和总督颁布命令。","Privately, after a while, Tom organised a royal court!He was the prince; his special comrades were guards, chamberlains, equerries, lords and ladies in waiting, and the royal family.Daily the mock prince was received with elaborate ceremonials borrowed by Tom from his romantic readings; daily the great affairs of the mimic kingdom were discussed in the royal council, and daily his mimic highness issued decrees to his imaginary armies, navies, and viceroyalties."
"随后，他就衣衫褴褛地出去讨几个法寻，吃些可怜的面包皮，照例挨几巴掌打和几句骂，然后舒展地躺在他那把肮脏的稻草上，继续做他那空洞而富丽堂皇的梦。","After which, he would go forth in his rags and beg a few farthings, eat his poor crust, take his customary cuffs and abuse, and then stretch himself upon his handful of foul straw, and resume his empty grandeurs in his dreams."
"他想见见活生生的真正的王子，哪怕就一次。他的这种愿望还是一天天、一周周地愈加强烈，直到它终于完全吞噬了别的愿望，成为他生命中唯一的心愿。","And still his desire to look just once upon a real prince, in the flesh, grew upon him, day by day, and week by week, until at last it absorbed all other desires, and became the one passion of his life."
"一月份的某天，他像往常一样沿街乞讨，在民辛巷和小东便宜街周围一带沮丧地走来走去。几个小时过去了，他光着脚，冻得冰冷。他朝小餐馆的窗户里望去，向往着摆在那儿的那些可怕的猪肉馅饼和其它那些要命的菜——因为对他来说，这些都是给天使享用的美味，更确切地说，它们闻起来如此——他还从没有福气拥有和品尝过。天下着冰冷的蒙蒙细雨，空气阴沉——那是让人忧郁的一天。晚上，汤姆回到家，浑身湿透了，又累又饿。他父亲和奶奶不可能察觉不到他悲惨的状况，不可能不可怜他——用他们的方式可怜他。于是，他们立刻轻轻打了他几下，让他睡觉去了。疼痛、饥饿，还有楼里不断的打骂声让他好半天睡不着。但最后，他的思绪飘到了远处浪漫的王国，在年轻王子们的陪伴下睡着了。王子们穿金戴银，住在宽敞的宫殿里，有仆人向他们请安，或快速地执行他们下达的命令。然后，像往常一样，他梦见自己是位小王子。","One January day, on his usual begging tour, he tramped despondently up and down the region round about Mincing Lane and Little East Cheap, hour after hour, bare-footed and cold, looking in at cook-shop windows and longing for the dreadful pork-pies and other deadly inventions displayed there—for to him these were dainties fit for the angels; that is, judging by the smell, they were—for it had never been his good luck to own and eat one.There was a cold drizzle of rain; the atmosphere was murky; it was a melancholy day.At night Tom reached home so wet and tired and hungry that it was not possible for his father and grandmother not to observe his forlorn condition and not be moved—after their fashion; wherefore they gave him a brisk cuffing at once and sent him to bed.For a long time his pain and hunger, and the swearing and fighting going on in the building, kept him awake; but at last his thoughts drifted away to far, romantic lands, and he fell asleep in the company of jewelled and gilded princelings who live in vast palaces, and had servants salaaming before them or flying to execute their orders.And then, as usual, he dreamed that he was a princeling himself."
"整个晚上，他都沉浸在他的王国的荣耀里：灯火通明中，他走在许多贵族与小姐之间，呼吸着芳香，尽情地倾听着怡人的音乐。闪亮的人群分开来给他让路，恭敬地向他行礼。他一会儿微笑，一会儿点一点他高贵的头。","All night long the glories of his royal estate shone upon him; he moved among great lords and ladies, in a blaze of light, breathing perfumes, drinking in delicious music, and answering the reverent obeisances of the glittering throng as it parted to make way for him, with here a smile, and there a nod of his princely head."
"可是，当他早上醒来，看着自己周围恶劣的环境时，他的梦产生了与往常一样的影响——它把他所处环境的肮脏放大了一千倍。随后,痛苦、心碎和眼泪一一袭来。","And when he awoke in the morning and looked upon the wretchedness about him, his dream had had its usual effect—it had intensified the sordidness of his surroundings a thousand fold.Then came bitterness, and heart-break, and tears."
"第三章 汤姆面见王子","Chapter III  Tom’s Meeting with the Prince"
"汤姆起床时还很饿。他悠闲地走着，将饥饿赶跑了，但他脑子里全是晚上梦境里那些模模糊糊的辉煌景象。他在城里到处闲逛，几乎没注意走到了哪里，也没注意周围正发生的事情。人们推挤他，还有人对他恶言恶语，但这个正在沉思的男孩丝毫没注意。过了一会儿，他发现自己到了神庙酒吧，那是他朝那个方向走过的、离他家最远的地方。他停下脚步，思索了片刻，然后又陷入了幻想，走到了伦敦城墙的外面。路已经不再是乡村的小路，由于路旁有些不怎么协调的建筑而应被称为街道。因为，虽然路的一边是一排相当紧凑的房子，另一边却只有几座分散的宏伟建筑。那是富裕的贵族住的宫殿，有很大很美的庄园延伸至河边——这些庄园现在堆满了许多亩冷冰冰的砖块和石头。","Tom got up hungry, and sauntered hungry away, but with his thoughts busy with the shadowy splendours of his night’s dreams.He wandered here and there in the city, hardly noticing where he was going, or what was happening around him.People jostled him, and some gave him rough speech; but it was all lost on the musing boy.By-and-by he found himself at Temple Bar, the farthest from home he had ever travelled in that direction.He stopped and considered a moment, then fell into his imaginings again, and passed on outside the walls of London.The Strand had ceased to be a country-road then, and regarded itself as a street, but by a strained construction; for, though there was a tolerably compact row of houses on one side of it, there were only some scattered great buildings on the other, these being palaces of rich nobles, with ample and beautiful grounds stretching to the river—grounds that are now closely packed with grim acres of brick and stone."
"不一会儿，汤姆发现了查林庄园。他在一位早已过世的国王在那里修建的美丽的十字街歇息了一下，然后又沿着一条安静、美丽的路溜达，经过红衣大主教那庄严的宫殿，走向了远处一座威严、雄伟得多的宫殿——威斯敏斯特。汤姆又惊又喜地望着这巨大的石制建筑，望着那展开的配楼、褶皱的棱堡和角楼，还有那庞大的石门。门口有镀金的栅栏和一排壮观的大花岗岩狮子，还有其他英国皇室的标志和象征。他內心的愿望终于要实现了吗？这里确实是国王的宫殿。如果老天乐意的话，他怎么会不希望现在就能见到王子——活生生的王子？","Tom discovered Charing Village presently, and rested himself at the beautiful cross built there by a bereaved king of earlier days; then idled down a quiet, lovely road, past the great cardinal’s stately palace, toward a far more mighty and majestic palace beyond—Westminster.Tom stared in glad wonder at the vast pile of masonry, the wide-spreading wings, the frowning bastions and turrets, the huge stone gateway, with its gilded bars and its magnificent array of colossal granite lions, and other the signs and symbols of English royalty.Was the desire of his soul to be satisfied at last?Here, indeed, was a king’s palace.Might he not hope to see a prince now—a prince of flesh and blood, if Heaven were willing?"
"镀金大门的两侧各立着一尊活雕像——也就是说，一个站得笔直的、威严的、一动不动的守卫，从头到脚都穿戴着闪光的钢盔铁甲。许多乡村百姓和城里人都恭敬地站在远处，他们在等机会看一眼可能出来的皇室成员。华丽的马车从皇家院墙上的另外几个雄伟的大门中进进出出，马车里坐着华丽的人们，外面是华丽的仆人。","At each side of the gilded gate stood a living statue—that is to say, an erect and stately and motionless man-at-arms, clad from head to heel in shining steel armour.At a respectful distance were many country folk, and people from the city, waiting for any chance glimpse of royalty that might offer.Splendid carriages, with splendid people in them and splendid servants outside, were arriving and departing by several other noble gateways that pierced the royal enclosure."
"可怜的小汤姆穿着破衣烂衫往前走，慢慢地、怯怯地走过那些守卫，心砰砰地跳着，心中浮起希望。忽然，他透过金栅栏看到了一幕景象，差点高兴得叫出声来。里面有个英俊的男孩子，由于户外健身运动和锻炼，他的皮肤晒成了棕褐色；全身穿着美丽的绸缎衣服，配有闪光的珠宝；臀部系着一把镶嵌宝石的小刀剑；脚上穿着精致的、红色鞋跟的半高筒靴；头上戴着一顶活泼的深红帽子，帽子上一颗硕大而耀眼的宝石上系着往下垂的羽毛。几位衣着华丽的绅士在一旁站着——是他的仆人，这毫无疑问。啊！他是一位王子——一位王子，一位活生生的王子，一位真正的王子——一点儿疑问都没有。这个贫儿心里的祈祷终于有了回应。","Poor little Tom, in his rags, approached, and was moving slowly and timidly past the sentinels, with a beating heart and a rising hope, when all at once he caught sight through the golden bars of a spectacle that almost made him shout for joy.Within was a comely boy, tanned and brown with sturdy outdoor sports and exercises, whose clothing was all of lovely silks and satins, shining with jewels; at his hip a little jewelled sword and dagger; dainty buskins on his feet, with red heels; and on his head a jaunty crimson cap, with drooping plumes fastened with a great sparkling gem.Several gorgeous gentlemen stood near—his servants, without a doubt.Oh!He was a prince—a prince, a living prince, a real prince—without the shadow of a question; and the prayer of the pauper-boy’s heart was answered at last."
"汤姆激动得呼吸急促，既惊奇又高兴地睁大了眼睛。他的脑瓜里立刻只剩下了一个愿望，那就是接近王子，好好地、尽情地看他。还没反应过来是怎么回事，他的脸就已经贴到门栅栏上了。一瞬间，一名士兵已经粗鲁地把他抓起来扔了出去。他落在那群目瞪口呆地观看着的乡巴佬和伦敦闲人中，只觉得天旋地转。这士兵说：","Tom’s breath came quick and short with excitement, and his eyes grew big with wonder and delight.Everything gave way in his mind instantly to one desire: that was to get close to the prince, and have a good, devouring look at him.Before he knew what he was about, he had his face against the gate-bars.The next instant one of the soldiers snatched him rudely away, and sent him spinning among the gaping crowd of country gawks and London idlers.The soldier said,—"
"“小心点，你这小叫花子！”","“Mind thy manners, thou young beggar!”"
"人群发出了讥讽和嘲笑声，但是年轻的王子跑到大门口，脸涨得通红，眼中闪着愤怒，大声喊道：“你怎么敢这样对待一个可怜的小伙子？你怎么敢这样对待我父王最卑微的国民？打开门，让他进来！”","The crowd jeered and laughed; but the young prince sprang to the gate with his face flushed, and his eyes flashing with indignation, and cried out,—“How dar’st thou use a poor lad like that?How dar’st thou use the King my father’s meanest subject so?Open the gates, and let him in!”"
"您真应该看看那些善变的人们拽下帽子时的样子。您真应该听听他们欢呼：“威尔士王子万岁！”","You should have seen that fickle crowd snatch off their hats then.You should have heard them cheer, and shout, “Long lives the Prince of Wales!”"
"士兵们举戟致敬，打开了大门，小贫儿王子进门时，他们又举戟致敬。贫儿王子走了进去，与无限富足的王子牵手，身上的破衣烂衫飘动着。","The soldiers presented arms with their halberds, opened the gates, and presented again as the little Prince of Poverty passed in, in his fluttering rags, to join hands with the Prince of Limitless Plenty."
"爱德华·都铎说：","Edward Tudor said—"
"“你看上去又累又饿，你受虐待了。跟我来。”","“Thou lookest tired and hungry: thou’st been treated ill.Come with me.”"
"有六个随从冲上前去——我不知道怎么说，但毫无疑问，他们是去干涉的。但是,王子适时高贵地挥了挥手让他们退下，他们便一动不动地停在原地，像很多尊雕像一样。爱德华将汤姆带到宫殿里一间富丽堂皇的厅堂，他管它叫他的内阁。王子一道命令，于是，一桌汤姆除了在书上外从未见过的饭菜端了上来。王子以皇家的优雅而有教养的方式打发了仆人，好让他卑微的客人不会因为他们的评头论足而尴尬。然后，王子坐在一旁，在汤姆吃饭的时候问了他几个问题。","Half a dozen attendants sprang forward to—I don’t know what; interfere, no doubt.But they were waved aside with a right royal gesture, and they stopped stock still where they were, like so many statues.Edward took Tom to a rich apartment in the palace, which he called his cabinet.By his command a repast was brought such as Tom had never encountered before except in books.The prince, with princely delicacy and breeding, sent away the servants, so that his humble guest might not be embarrassed by their critical presence; then he sat near by, and asked questions while Tom ate."
"“你叫什么名字，伙伴？”","“What is thy name, lad?”"
"“汤姆·坎蒂，回禀王子殿下。”","“Tom Canty, an’ it please thee, sir.”"
"“这是个奇怪的名字。","“’Tis an odd one."
"你住哪儿？”","Where dost live?”"
"“住城里，回禀王子殿下。布丁巷外的垃圾大院。”","“In the city, please thee, sir.Offal Court, out of Pudding Lane.”"
"“垃圾大院！真是又一个奇怪的名字。有父母吗？”","“Offal Court!Truly ’tis another odd one.Hast parents?”"
"“我有父母，殿下，还有一个对我漠不关心又矫揉造作的祖母，如果这么说很无礼，请上帝原谅——还有一对双胞胎姐姐，娜恩和贝特。”","“Parents have I, sir, and a grand-dam likewise that is but indifferently precious to me, God forgive me if it be offence to say it—also twin sisters, Nan and Bet.”"
"“那么我想，你祖母对你不太好吧？”","“Then is thy grand-dam not over kind to thee, I take it?”"
"“她对任何人都不好，禀告王子。她内心狠毒，整天作恶多端。”","“Neither to any other is she, so please your worship.She hath a wicked heart, and worketh evil all her days.”"
"“她虐待你了吗？”","“Doth she mistreat thee?”"
"“她睡觉或醉得不省人事的时候不会打我，但她醒了之后又会补上，好好揍我一顿。”","“There be times that she stayeth her hand, being asleep or overcome with drink; but when she hath her judgment clear again, she maketh it up to me with goodly beatings.”"
"小王子的眼睛里闪现出愤怒的神情，他大喊道：","A fierce look came into the little prince’s eyes, and he cried out—"
"“什么！打你？”","“What!Beatings?”"
"“啊，的确，是，禀告王子殿下。”","“Oh, indeed, yes, please you, sir.”"
"“打你！——你这样又弱又小。你听着：晚上之前，她就会被送进伦敦塔。我父王——”","“BEATINGS!—and thou so frail and little.Hark ye: before the night come, she shall hie her to the Tower.The King my father”—"
"“其实，您忘了，殿下，她地位低微。只有地位高的人能进伦敦塔。”","“In sooth, you forget, sir, her low degree.The Tower is for the great alone.”"
"“对，确实。我没想到这个。我会考虑她的处罚方式的。你父亲对你好吗？”","“True, indeed.I had not thought of that.I will consider of her punishment.Is thy father kind to thee?”"
"“跟坎蒂奶奶差不多，殿下。”","“Not more than Gammer Canty, sir.”"
"“也许，父亲们都一样。我父亲可没有什么好脾气。他打起人来手很重，但舍不得打我：可说真的，他也不是每次都能说几句就饶了我的。你母亲对你怎么样？”","“Fathers be alike, mayhap.Mine hath not a doll’s temper.He smiteth with a heavy hand, yet spareth me: he spareth me not always with his tongue, though, sooth to say.How doth thy mother use thee?”"
"“她人很好，殿下，没给我任何伤心或疼痛。 这一点上，娜恩和贝特跟她一样。”","“She is good, sir, and giveth me neither sorrow nor pain of any sort.And Nan and Bet are like to her in this.”"
"“这两个姐姐几岁了？”","“How old be these?”"
"“十五，回禀王子殿下。”","“Fifteen an’ it please you, sir.”"
"“我姐姐伊丽莎白公主十四岁了，我堂妹简·格雷郡主和我同年，又好看又亲切。但是我妹妹玛丽公主就一幅阴郁的样子——你呢，你的姐姐们是不是禁止自己的仆人笑，唯恐罪恶毁灭她们的灵魂？”","“The Lady Elizabeth, my sister, is fourteen, and the Lady Jane Grey, my cousin, is of mine own age, and comely and gracious withal; but my sister the Lady Mary, with her gloomy mien and—Look you: do thy sisters forbid their servants to smile, lest the sin destroy their souls?”"
"“她们？哦，殿下，您以为她们有仆人啊？”","“They?Oh, dost think, sir, that they have servants?”"
"小王子神情严肃地凝视了小贫儿一会儿，然后说：","The little prince contemplated the little pauper gravely a moment, then said—"
"“请问，为什么没有呢？晚上谁帮她们脱衣服呢？起床时,谁给她们穿衣服呢？”","“And prithee, why not?Who helpeth them undress at night?Who attireth them when they rise?”"
"“没有人，殿下。难道要她们脱掉那件衣服睡觉——像野兽一样吗？”","“None, sir.Would’st have them take off their garment, and sleep without—like the beasts?”"
"“她们的那件衣服！她们只有一件吗？”","“Their garment!Have they but one?”"
"“哦，尊敬的殿下，她们要那么多衣服有什么用？真的，她们一个人可没有两个身体。”","“Ah, good your worship, what would they do with more?Truly they have not two bodies each.”"
"“真是古怪又不可思议的想法！请原谅，我不是有意笑的。但是你善良的娜恩和贝特将会有足够的衣服和仆人，而且马上就会有，我的侍从大臣会办理这件事的。不，不用谢我，小事一桩。你很会讲话，言语间有种自然而然的优雅。上过学吗？”","“It is a quaint and marvellous thought!Thy pardon, I had not meant to laugh.But thy good Nan and thy Bet shall have raiment and lackeys enow, and that soon, too: my cofferer shall look to it.No, thank me not; ’tis nothing.Thou speakest well; thou hast an easy grace in it.Art learned?”"
"“我不知道算不算学过，殿下。是那位好心的安德鲁神父教我的，他出于善意教我他书里的东西。”","“I know not if I am or not, sir.The good priest that is called Father Andrew taught me, of his kindness, from his books.”"
"“你懂拉丁文吧？”","“Know’st thou the Latin?”"
"“恐怕只懂一点点，殿下。”","“But scantly, sir, I doubt.”"
"“学吧，伙伴，只是开始学的时候难而已。希腊文更难，但是我想，对伊丽莎白公主和我堂妹来说，这些语言或任何其他语言都不难。你应该听听那些小姐们说那些语言！不过，跟我讲讲你的垃圾大院吧。你在那儿过得快乐吗？”","“Learn it, lad: ’tis hard only at first.The Greek is harder; but neither these nor any tongues else, I think, are hard to the Lady Elizabeth and my cousin.Thou should’st hear those damsels at it!But tell me of thy Offal Court.Hast thou a pleasant life there?”"
"“说真的，是快乐的，回禀王子殿下，除了饿肚子的时候。那里有木偶表演啦，猴子表演啦——哦，真是些滑稽的东西！还穿得那么华丽！——有些表演里，它们真的是又喊又打直到大家都被杀死，那么好看，却只需要花一个法寻——不过，讨一个法寻是非常难的，尊敬的殿下。”","“In truth, yes, so please you, sir, save when one is hungry.There be Punch-and-Judy shows, and monkeys—oh such antic creatures! and so bravely dressed!—and there be plays wherein they that play do shout and fight till all are slain, and ’tis so fine to see, and costeth but a farthing—albeit ’tis main hard to get the farthing, please your worship.”"
"“再多讲些。”","“Tell me more.”"
