"第一章 波尼族印第安人的狩猎场","CHAPTER I. THE PAWNEE HUNTING-GROUNDS."
"年轻人的期待往往以失望告终。在我们的行程结束之前，伯爵想要参加野外狩猎的计划就不幸落空了；我们听说奥塞奇的猎手们已经踏上前往野牛出没地区的征程了。可伯爵依然决定，如果有可能的话，他将循着他们的踪迹行走，赶上他们。为此，他在距离吉布森要塞几英里的奥塞奇事务所作了短暂的停留，以询问相关情况和作些准备工作。和他一起留下来的是他的旅伴L.先生，而那位专员和我则继续前往吉布森要塞。一路跟着我们的还有忠诚而又可靠的托尼什。我暗示他，他曾许下承诺要跟随伯爵参加狩猎，却发现这个小跟班只关注自己的利益。他意识到，专员因为他的工作职责，将会在这个地区停留很长一段时间，并很有可能一直雇佣他，而伯爵则只是短暂地停留。这个小吹牛者也就突然间三缄其口了。他不再对年轻的伯爵说任何关于印第安人、野牛及野马之类的事，转而默默地跟着专员的队伍，一路安静地跟着我们前往要塞。","The anticipations of a young man are prone to meet with disappointment.Unfortunately for the Count’s scheme of wild campaigning, before we reached the end of our journey; we heard that the Osage hunters had set forth upon their expedition to the buffalo grounds.The Count still determined, if possible, to follow on their track and overtake them, and for this purpose stopped short at the Osage Agency, a few miles distant from Fort Gibson, to make inquiries and preparations.His travelling companion, Mr. L., stopped with him; while the Commissioner and myself proceeded to Fort Gibson, followed by the faithful and veracious Tonish.I hinted to him his promises to follow the Count in his campaignings, but I found the little varlet had a keen eye to self-interest.He was aware that the Commissioner, from his official duties, would remain for a long time in the country, and be likely to give him permanent employment, while the sojourn of the Count would be but transient.The gasconading of the little braggart was suddenly therefore at an end.He spake not another word to the young Count about Indians, buffaloes, and wild horses, but putting himself tacitly in the train of the Commissioner, jogged silently after us to the garrison."
"然而，一到达要塞，一个漫游大草原的新机会呈现在我们眼前。我们了解到，一队巡逻骑兵，或者是步枪手在三天前刚出发。他们要进行一次从阿肯色河到雷德河的大范围的野外考察，其中还包括一块白人从未涉足过的波尼族人的狩猎地。也就是说，我们有机会在强大护卫队的保护下穿越这些危险而有趣的地区，因为专员可以借着职务之便要求这队新建的步枪手为他效劳，而且他们将要考察的地区也是他此次任务中一些游牧部落的指定定居点。","On arriving at the fort, however, a new chance presented itself for a cruise on the prairies.We learnt that a company of mounted rangers, or riflemen, had departed but three days previous to make a wide exploring tour from the Arkansas to the Red River, including a part of the Pawnee hunting grounds where no party of white men had as yet penetrated.Here, then, was an opportunity of ranging over those dangerous and interesting regions under the safeguard of a powerful escort; for the Commissioner, in virtue of his office, could claim the service of this newly raised corps of riflemen, and the country they were to explore was destined for the settlement of some of the migrating tribes connected with his mission."
"我们立马制定了计划并即刻付诸实施。吉普森要塞的指挥官派出几个克里克族印第安人去传急令。这几个人要赶上巡逻队并让他们停止行进，直到专员和他的人马与他们会合。由于我们在赶上巡逻队前，还要在野地里行进三到四天，所以指挥官将一支由十四个骑兵步枪手组成的护卫队指派给了我们，并让陆军中尉带队指挥。","Our plan was promptly formed and put into execution.A couple of Creek Indians were sent off express, by the commander of Fort Gibson, to overtake the rangers and bring them to a halt until the Commissioner and his party should be able to join them.As we should have a march of three or four days through a wild country before we could overtake the company of rangers, an escort of fourteen mounted riflemen, under the command of a lieutenant, was assigned us."
"我们给还在奥塞奇事务所的年轻伯爵及L.先生传话过去，向他们说了我们的新计划及其预期，并邀请他们与我们同行。然而，伯爵却忘不掉他对自己的承诺——要过一种充满乐趣的、真正原始的生活。在回复中，他说他愿意与我们同行，直到我们发现奥塞奇族猎手的踪迹，因为他立志要追随奥塞奇族的猎手，与旷野融为一体。而他忠实的“良师益友”，尽管为这个疯狂的计划而感到悲伤，但还是出于朋友的忠诚而没有离弃他。我们初步约定，第二天早上在事务所与护卫队会合。","We sent word to the young Count and Mr. L. at the Osage Agency; of our new plan and prospects, and invited them to accompany us.The Count, however, could not forego the delights he had promised himself in mingling with absolutely savage life.In reply; he agreed to keep with us until we should come upon the trail of the Osage hunters, when it was his fixed resolve to strike off into the wilderness in pursuit of them; and his faithful Mentor, though he grieved at the madness of the scheme, was too stanch a friend to desert him.A general rendezvous of our party and escort was appointed, for the following morning, at the Agency."
"我们现在已经作好了充分准备，可以即刻启程。到目前为止，我们的行李由一辆轻便马车拉着，但是马上就要穿越一块无人涉足的地区，一路上将会遇到溪流、沟壑及灌木丛。在这些地方，像马车这样的交通工具是很难通过的。我们将采取猎人的做法——骑在马背上行进，负担越少越好。因此，我们对行李进行了一次严格的、最大幅度的精简。每个人的马背上都搭着一副塞得满满的鞍囊，但也仅够放下少量衣服和自己的大外套。其他的行李则放在驮马上。每人都有一张睡觉用的熊皮和两条毯子，还有一顶庇护用的帐篷，以防生病或遇到坏天气。我们又留心自带了些面粉、咖啡和糖，以及少量用于紧急情况的咸猪肉，因为我们将主要依靠打猎获取食物。","We now made all arrangements for prompt departure.Our baggage had hitherto been transported on a light wagon, but we were now to break our way through an untravelled country, cut up by rivers, ravines, and thickets, where a vehicle of the kind would be a complete impediment.We were to travel on horseback, in hunter’s style, and with as little encumbrance as possible.Our baggage, therefore, underwent a rigid and most abstemious reduction.A pair of saddle-bags, and those by no means crammed, sufficed for each man’s scanty wardrobe, and, with his great coat, were to be carried upon the steed he rode.The rest of the baggage was placed on pack-horses.Each one had a bear-skin and a couple of blankets for bedding, and there was a tent to shelter us in case of sickness or bad weather.We took care to provide ourselves with flour, coffee, and sugar, together with a small supply of salt pork for emergencies; for our main subsistence we were to depend upon the chase."
"在我们最近的行程中，还没有被累坏的马继续跟着我们，用来当作驮马或备用马匹。但是旅程漫长而又艰辛，其间我们还将不时打猎，而且，万一遇到敌对的野蛮人，骑手的安全往往就取决于他骑的马的好坏，所以我们很小心地分配着马匹。我得到一匹强壮的银灰色的马，它有点儿粗野，但忠实有力，还有那匹先前一直骑着的、吃苦耐劳的矮种马。它有些疲惫了，所以我让它与那些驮马一起慢慢行进，以备不时之需。","Such of our horses as had not been tired out in our recent journey, were taken with us as pack-horses, or supernumeraries; but as we were going on a long and rough tour, where there would be occasional hunting, and where, in case of meeting with hostile savages, the safety of the rider might depend upon the goodness of his steed, we took care to be well mounted.I procured a stout silver-gray, somewhat rough, but stanch and powerful; and reigned a hardy pony which I had hitherto ridden, and which, being somewhat jaded, was suffered to ramble along with the pack-horses, to be mounted only in case of emergency."
"所有这些工作做完后，我们于10月10日早上离开了吉布森要塞，穿过了前面的那条河，出发前往事务所赴约。骑了几英里之后，我们来到了弗迪格里斯河的浅滩，一大片乱石横陈于树林的旁边。我们便从河岸上下来，排成稀稀拉拉的纵队，依次过河。马匹小心翼翼地踩着一块块石头前行，在湍急而喧哗的水流中谨慎地探寻立足点。","All these arrangements being made, we left Fort Gibson, on the morning of the tenth of October, and crossing the river in front of it, set off for the rendezvous at the Agency.A ride of a few miles brought us to the ford of the Verdigris, a wild rocky scene overhung with forest trees.We descended to the bank of the river and crossed in straggling file, the horses stepping cautiously from rock to rock, and in a manner feeling about for a foothold beneath the rushing and brawling stream."
"和驮马一起殿后的是我们的小个子法国人托尼什。他感觉自己得到了某种程度的提拔，因而非常高兴。在我们之前的行程中，他一直在赶马车，这在他看来好像是一项非常低级的差事，而现在他成了马的主人了。","Our little Frenchman, Tonish, brought up the rear with the pack-horses.He was in high glee, having experienced a kind of promotion.In our journey hitherto he had driven the wagon, which he seemed to consider a very inferior employ; now he was master of the horse."
"他像一只栖息在树上的猴子一样坐在一匹马上，边唱边喊，并像印第安人那样高声尖叫。他还不停地用他那夹杂着法语、英语和奥塞奇语的行话咒骂那些什么也听不懂的慵散驮马。","He sat perched like a monkey behind the on one of the horses; he sang, he shouted, he yelped like an Indian, and ever and anon blasphemed the loitering pack-horses in his jargon of mingled French, English, and, Osage, which not one of them could understand."
"穿越浅滩时，我们看到河岸对面有一个骑在马背上的克里克族印第安人。他停在一个岩石壁上观察我们，变成了一道如画般的风景，与他周围的自然风景和谐地融为一体。他身上穿着一件明亮的饰以鲜红色边的蓝色狩猎上衣，头上包着一块色彩明快、有点儿像穆斯林头巾的手帕。这手帕的一端从他的耳边垂下来。他手里拿着一支长步枪，看起来像是一个游荡在野外的阿拉伯人。我们那饶舌又爱管闲事的小个子法国人，用他那粗野的行话对他大喊大叫，但那野蛮人在满足了自己的好奇心之后，摇了摇头，便调转马头，沿着河岸飞奔而去，很快就消失在树林之中。","As we were crossing the ford we saw on the opposite shore a Creek Indian on horseback.He had paused to reconnoitre us from the brow of a rock, and formed a picturesque object, in unison with the wild scenery around him.He wore a bright blue hunting-shirt trimmed with scarlet fringe; a gayly colored handkerchief was bound round his head something like a turban, with one end hanging down beside his ear; he held a long rifle in his hand, and looked like a wild Arab on the prowl.Our loquacious and ever-meddling little Frenchman called out to him in his Babylonish jargon, but the savage having satisfied his curiosity tossed his head in the air, turned the head of his steed, and galloping along the shore soon disappeared among the trees."
"第三章 一个印第安人的事务所","CHAPTER III. AN INDIAN AGENCY."
"——步枪手——奥塞奇人、克里克人、设阱捕兽者、猎狗、马匹、混血儿——猎手贝蒂","—RIFLEMEN.—OSAGES, CREEKS, TRAPPERS, DOGS, HORSES, HALF-BREEDS.—BEATTE, THE HUNTSMAN."
"越过浅滩之后，我们很快便来到了奥塞奇事务所。在这里，肖托上校有他自己的办公室和弹药库，用来处理印第安人事务及分发礼物和供给品。事务所由几间建在河两岸上的木屋组成，呈现出一片光怪陆离的边塞景象。我们的护卫队就在这里等待着我们的到来。他们中有的人骑在马背上，有的站着，有的坐在倒在地上的树的树干上，还有的在瞄准目标。他们是一群杂七杂八的人：一些人穿着绿色毛毯做的礼服大衣；另一些人穿着皮制狩猎装。但大多数人穿的是令人目瞪口呆的、裁剪不当的衣服，简直就没法穿；他们显然是为了这次艰苦的行程才穿上的。","Having crossed the ford, we soon reached the Osage Agency, where Col. Choteau has his offices and magazines, for the despatch of Indian affairs, and the distribution of presents and supplies.It consisted of a few log houses on the banks of the river, and presented a motley frontier scene.Here was our escort awaiting our arrival; some were on horseback, some on foot, some seated on the trunks of fallen trees, some shooting at a mark.They were a heterogeneous crew; some in frock-coats made of green blankets; others in leathern hunting-shirts, but the most part in marvellously ill-cut garments, much the worse for wear, and evidently put on for rugged service."
"在这些人旁边的是一群奥塞奇人：一些庄重的家伙，着装和面容都严厉而朴素。他们没有戴任何的装饰品，他们的装束就只是毯子、绑腿和莫卡辛鞋。他们的头顶光光的，头发剪得非常短，只是在头顶上留了笔直的一撮，就像是头盔上的羽冠一样，还有一绺长长的头发拖在后面。他们有罗马人俊美的面容和宽阔的胸膛；而且他们大多都只把毯子裹到腰部，所以上半身和胳膊便裸露在外面，这使他们看上去就像高贵的青铜像。到目前为止，我在西部看到的最俊美的印第安人便是奥塞奇人。那时，他们还没有完全向近在咫尺的文明势力屈服，也没有丢掉自己作为猎手和武士的天性；并且贫穷也使他们无法放纵于奢华的服饰中。","Near by these was a group of Osages: stately fellows; stern and simple in garb and aspect.They wore no ornaments; their dress consisted merely of blankets, leggings, and moccasons.Their heads were bare; their hair was cropped close, excepting a bristling ridge on the top, like the crest of a helmet, with a long scalp-lock hanging behind.They had fine Roman countenances, and broad deep chests; and, as they generally wore their blankets wrapped round their loins, so as to leave the bust and arms bare, they looked like so many noble bronze figures.The Osages are the finest looking Indians I have ever seen in the West.They have not yielded sufficiently, as yet, to the influence of civilization to lay by their simple Indian garb, or to lose the habits of the hunter and the warrior; and their poverty prevents their indulging in much luxury of apparel."
"一群衣着华丽的克里克人与他们形成了鲜明对比。一眼瞥过去，你会发现这个部落的人外貌有些东方人的特点。他们穿着五光十色的棉布狩猎衬衫，上面装饰着鲜艳的花边；腰间束着宽宽的腰带，上面缀着珠子；他们的绑腿有的是用鹿皮做的，有的是用绿色或红色的布做的，上面饰以膝带和流苏；他们的莫卡辛鞋也做工巧妙，装饰精美；他们头上还高雅地围着华丽的手帕。","In contrast to these was a gayly dressed party of Creeks.There is something, at the first glance, quite oriental in the appearance of this tribe.They dress in calico hunting shirts, of various brilliant colors, decorate with bright fringes, and belted with broad girdles, embroidered with beads; they have leggings of dressed deer skins, or of green or scarlet cloth, with embroidered knee-bands and tassels; their moccasons are fancifully wrought and ornamented, and they wear gaudy handkerchiefs tastefully bound round their heads."
"除了这些人之外，还有几个拥有各种肤色的设阱捕兽者、猎人、混血儿、克里奥尔人、黑人，以及那些游荡在边境上、难以区分的乌合之众。他们出入于文明世界和野蛮生活之间，就像那些犹豫不决的鸟儿和蝙蝠徘徊于光明与黑暗之间一样。","Besides these, there was a sprinkling of trappers, hunters, half-breeds, creoles, negroes of every hue; and all that other rabble rout of nondescript beings that keep about the frontiers, between civilised and savage life, as those equivocal birds, the bats, hover about the confines of light and darkness."
"事务所所在的这个小村庄一片繁忙，特别是准备用具的铁匠铺：一个魁梧的黑人正在给一匹马钉蹄铁，两个混血儿正在制作铁匙，这是用来熔化铅做子弹用的。一个设阱捕兽的老人穿着皮制狩猎装和莫卡辛鞋，把自己的步枪靠工作台放着，一边指挥着操作，一边闲扯着他的狩猎经历。几条大狗或是悠闲地进出店铺，或是在阳光下打盹；一只小野狗歪着脑袋，竖起一只耳朵，带着小狗们惯有的好奇心看着给马钉蹄铁的过程，好像是在研究这门艺术，又或者是在等着轮到铁匠给自己钉蹄铁。","The little hamlet of the Agency was in a complete bustle; the blacksmith’s shed, in particular, was a scene of preparation; a strapping negro was shoeing a horse; two half-breeds were fabricating iron spoons in which to melt lead for bullets.An old trapper, in leathern hunting frock and moccasons, had placed his rifle against a work-bench, while he superintended the operation, and gossiped about his hunting exploits; several large dogs were lounging in and out of the shop, or sleeping in the sunshine, while a little cur, with head cocked on one side, and one ear erect, was watching, with that curiosity common to little dogs, the process of shoeing the horse, as if studying the art, or waiting for his turn to be shod."
"我们找到了伯爵和他的同伴，这个所谓的“艺术大师”已经为这段旅程作好了准备。由于他们想赶上奥塞奇人，花点儿时间和他们一起围猎野牛和野马，所以他们也相应地作好了准备：除了用于旅行的马匹之外，他们还准备了一些上等的好马。这些马在行进时跟着大家，只在追赶野牛、野马时才骑。","We found the Count and his companion, the Virtuoso, ready for the march.As they intended to overtake the Osages, and pass some time in hunting the buffalo and the wild horse, they had provided themselves accordingly; having, in addition to the steeds which they used for travelling, others of prime quality, which were to be led when on the march, and only to be mounted for the chase."
"此外，他们还雇佣了一个叫安托万的年轻人，他是法国人和奥塞奇人的混血儿。他什么活都要干：做饭、打猎、照看马匹，但是他却总想什么也不做。和家里那些没出息的子女一样，他也是在父亲执行任务期间出生并长大成人的。另外，作为一个公认的英俊青年，一个边境上的阿多尼斯，他有点儿被宠坏了，又因为他姐姐是一个阔绰的白种商人的情妇，所以他有些想入非非，继而变得更加过分。","They had, moreover, engaged the services of a young man named Antoine, a half-breed of French and Osage origin.He was to be a kind of Jack-of-all-work; to cook, to hunt, and to take care of the horses; but he had a vehement propensity to do nothing, being one of the worthless brood engendered and brought up among the missions.He was, moreover, a little spoiled by being really a handsome young fellow, an Adonis of the frontier, and still worse by fancying himself highly connected, his sister being concubine to an opulent white trader!"
"从我们这方面来说，专员和我都渴望在出发前能够再找到一个精通森林知识的随从，他或许还可以做我们的猎手。因为我们的小个子法国人已经因搭帐篷、做饭和行进时照看驮马而忙得团团转了。于是就有一个这样的人出现在了我们面前，或者不如说是被推荐给了我们，他就是皮埃尔·贝蒂，一个法国人和奥塞奇人的混血儿。推荐他的人向我们保证说：他对这片土地的每个地方都非常熟悉，在狩猎和作战期间，他走遍了这个地方，所以他既可以是向导，又可以是翻译，而且他还是一个一流的猎手。","For our own parts, the Commissioner and myself were desirous, before setting out, to procure another attendant well versed in woodcraft, who might serve us as a hunter; for our little Frenchman would have his hands full when in camp, in cooking, and on the march, in taking care of the pack-horses.Such an one presented himself, or rather was recommended to us, in Pierre Beatte, a half-breed of French and Osage parentage.We were assured that he was acquainted with all parts of the country, having traversed it in all directions, both in hunting and war parties; that he would be of use both as guide and interpreter, and that he was a first-rate hunter."
