"第一章 木屋","Chapter I The Chalet"
"“好吧，那又怎样呢？”卡那利说。","“Well, what?” said Canalis."
"“哎呀，一个男人就算是像塔索那样饱受折磨，也会感觉得到了补偿。”拉布里埃喊道。","“Why, a man might suffer as much as Tasso and yet feel recompensed,” cried La Briere."
"“我亲爱的朋友，收到第一封、甚至第二封这样的信时，他会有这种感觉，但收到第三十封时他会怎样？还有，假设你发现这些年轻的狂热追随者是些小荡妇呢？或者，想象一位诗人沿着光明大道奔跑着去寻找她，在路的尽头却发现一位年迈的英国女人，坐在地界石上向你伸出手！再或者，如果这位邮局天使其实是一个极其丑陋的、急需一位如意郎君的女孩呢？啊，我的朋友！那样你的心就欢腾不起来了。”","“So he might, my dear fellow, by a first letter of that kind, and even a second; but how about the thirtieth?And suppose you find out that these young enthusiasts are little jades?Or imagine a poet rushing along the brilliant path in search of her, and finding at the end of it an old Englishwoman sitting on a mile-stone and offering you her hand!Or suppose this post-office angel should really be a rather ugly girl in quest of a husband?Ah, my boy! the effervescence then goes down.”"
"“我开始感觉到，”拉布里埃笑着说道，“荣誉里面有某种有毒的东西，就像一些艳丽的花儿有毒一样。”","“I begin to perceive,” said La Briere, smiling, “that there is something poisonous in glory, as there is in certain dazzling flowers.”"
"“还有，”卡那利接着说，“所有这些女人，即使她们头脑简单，也会有理想，而你是满足不了她们的。她们从来都不会对自己说诗人是爱慕虚荣的，就像我被指责爱慕虚荣那样。她们想象不出来，一个作家被她们那种狂热的兴奋摆布久了，脾气会变得多么坏、多么变幻莫测。她们希望他总是伟大的、高尚的，她们从来不会想到天才会是个病羔子，拿单会跟弗洛丽纳同居，德阿尔泰兹太胖，约瑟夫·勃里杜太瘦，贝朗热是瘸子，还有她们的爱神也会流鼻涕！像吕西安·德吕邦泼雷那样既是诗人又是美男子的人真是凤毛麟角。而我为什么要被这些溢美之词牵着鼻子走，最后被某个幻想破灭的女人用目光狠狠地泼一桶冷水呢？","“And then,” resumed Canalis, “all these women, even when they are simple-minded, have ideals, and you can’t satisfy them.They never say to themselves that a poet is a vain man, as I am accused of being; they can’t conceive what it is for an author to be at the mercy of a feverish excitement, which makes him disagreeable and capricious; they want him always grand, noble; it never occurs to them that genius is a disease, or that Nathan lives with Florine; that D’Arthez is too fat, and Joseph Bridau is too thin; that Beranger limps, and that their own particular deity may have the snuffles!A Lucien de Rubempre, poet and cupid, is a phoenix.And why should I go in search of compliments only to pull the string of a shower-bath of horrid looks from some disillusioned female?”"
"“那么，真正的诗人，”拉布里埃说道，“就应该像上帝那样，隐藏在自己世界的中心，只能在他的创作中被人看到。”","“Then the true poet,” said La Briere, “ought to remain hidden, like God, in the centre of his worlds, and be only seen in his own creations.”"
"“那样的话，名誉的代价也太高了，”卡那利回答说。“生活中有美好的事物。至于那封信，”他一边端起一杯茶，一边补充道，“我可以肯定地告诉你，当一个美貌的贵族女子爱上一位诗人时，她不会像一位爱上了名演员的公爵夫人那样，躲在角落的包厢里，她会觉得她的美貌、她的财富、她的名声足以保护她，她敢于像英雄史诗里那样公开地说：‘我是仙女卡吕普索，我爱忒勒马科斯。’故作神秘和编造假名是小聪明的伎俩。而我已经很久不理会那些戴面具的人了——”","“Glory would cost too dear in that case,” answered Canalis.“There is some good in life.As for that letter,” he added, taking a cup of tea, “I assure you that when a noble and beautiful woman loves a poet she does not hide in the corner boxes, like a duchess in love with an actor; she feels that her beauty, her fortune, her name are protection enough, and she dares to say openly, like an epic poem: ‘I am the nymph Calypso, enamored of Telemachus.’Mystery and feigned names are the resources of little minds.For my part I no longer answer masks—”"
"“我会爱上一个来追寻我的女子。”拉布里埃喊道，“亲爱的卡那利，对于你所说的一切，我的回答是：一个追求卓越人物的女孩肯定不会是平凡之辈，那样的女孩会过于谨慎，过于爱面子，过于胆怯。只有一位明星，一位——”","“I should love a woman who came to seek me,” cried La Briere.“To all you say I reply, my dear Canalis, that it cannot be an ordinary girl who aspires to a distinguished man; such a girl has too little trust, too much vanity; she is too faint-hearted.Only a star, a—”"
"“——公主！”卡那利大笑起来，喊道，“只有公主才会屈尊于他。亲爱的朋友，那种事是百年不遇啊。那样的爱情就像是一百年才开一次的花朵。让我告诉你吧，那些年轻貌美而又富有的公主有其他事情要考虑，她们像奇花异草一样，被枯老灌木一般空虚而有教养的傻子团团围着。我的梦想，唉！我那水晶般的梦想，从此时起便成了镶着玫瑰花环的科雷兹河——哎！我不能谈起它——它早已在我脚下成为碎片了。不，不，所有的匿名信都是有所乞求的，而那是一种怎样的乞求呢？如果你认为她年轻漂亮，那你来给她写信吧，你会自己发现她有什么乞求。没有什么比得上经验。对我而言，从理智上讲，我不可能爱上每一个女人，就连阿波罗，至少是贝尔维迪宫的阿波罗，也是一个必须保重身体的柔弱的肺病患者。”","“—princess!” cried Canalis, bursting into a shout of laughter; “only a princess can descend to him.My dear fellow, that doesn’t happen once in a hundred years.Such a love is like that flower that blossoms every century.Princesses, let me tell you, if they are young, rich, and beautiful, have something else to think of; they are surrounded like rare plants by a hedge of fools, well-bred idiots as hollow as elder-bushes!My dream, alas! the crystal of my dream, garlanded from hence to the Correze with roses—ah!I cannot speak of it—it is in fragments at my feet, and has long been so.No, no, all anonymous letters are begging letters; and what sort of begging?Write yourself to that young woman, if you suppose her young and pretty, and you’ll find out.There is nothing like experience.As for me, I can’t reasonably be expected to love every woman; Apollo, at any rate he of Belvedere, is a delicate consumptive who must take care of his health.”"
"“但是，当一个女人以这样一种方式给你写信的时候，在她的意识里，肯定有理由认为她能在温柔和美貌方面令其他任何一个女人黯然失色，”埃内斯特说道，“而且，我觉得你总会有点好奇吧——”","“But when a woman writes to you in this way her excuse must certainly be in her consciousness that she is able to eclipse in tenderness and beauty every other woman,” said Ernest, “and I should think you might feel some curiosity—”"
"“啊，”卡那利说，“我年少无知的朋友，请允许我履行对美丽的公爵夫人的誓言吧，她是我全部的快乐。”","“Ah,” said Canalis, “permit me, my juvenile friend, to abide by the beautiful duchess who is all my joy.”"
"“你说得对，你说得对！”埃内斯特喊道。然而，这位年轻的秘书把莫黛斯特的信读了又读，努力猜测这位匿名写信人的想法。","“You are right, you are right!” cried Ernest.However, the young secretary read and re-read Modeste’s letter, striving to guess the mind of its hidden writer."
"“这封信里没有一丁点溢美之词，”他说，“她甚至都没有谈到你的天赋，她是在跟你用心交流。如果是我的话，我会被这种谦逊的芳香——这种主动的呼应所打动的——”","“There is not the least fine-writing here,” he said, “she does not even talk of your genius; she speaks to your heart.In your place I should feel tempted by this fragrance of modesty,—this proposed agreement—”"
"“那么，成交！”卡那利笑着喊道，“回信吧，你自己将这次奇遇进行到底吧。三个月后告诉我结果——如果能持续那么久的话。”","“Then, sign it!” cried Canalis, laughing; “answer the letter and go to the end of the adventure yourself.You shall tell me the results three months hence—if the affair lasts so long.”"
"四天后，莫黛斯特收到了下面这封信。信纸很漂亮，外面套了两层信封，封口盖着卡那利的盾形徽章。","Four days later Modeste received the following letter, written on extremely fine paper, protected by two envelopes, and sealed with the arms of Canalis."
"小姐，对优秀作品的赞美（姑且说我的作品是优秀的吧）含有某种高尚和真挚的意味，因此您不会被任何人嘲笑，而且，就是在最为严厉的法官面前，也可以证明您给我写信这一举动是正当合理的。","Mademoiselle,—The admiration for fine works (allowing that my books are such) implies something so lofty and sincere as to protect you from all light jesting, and to justify before the sternest judge the step you have taken in writing to me."
"但首先，即使是受之有愧，我也要感谢您的盛情之举给我带来的快乐，因为蹩脚的诗人和真正的诗人都确信自己作品的内在价值，一旦受到称赞，自尊心会立刻感到满足。一位素不相识的女士对我的信任，能够减轻他人对我的指责带来的剧痛，而我的报答就是给她以友情。这友情的最好证明，就是同她分享我个人经验的果实，哪怕这样有可能会让她最鲜明生动的幻想化为泡影。","But first I must thank you for the pleasure which such proofs of sympathy afford, even though we may not merit them,—for the maker of verses and the true poet are equally certain of the intrinsic worth of their writings,—so readily does self-esteem lend itself to praise.The best proof of friendship that I can give to an unknown lady in exchange for a faith which allays the sting of criticism, is to share with her the harvest of my own experience, even at the risk of dispelling her most vivid illusions."
"小姐，一位少女最高贵的装饰便是纯净、圣洁、无可指责的生活之花。您在这个世界上是孤身一人吗？如果是，那就没什么可说的了。但如果您有一个家庭，有一位父亲或是母亲，想想看，您写信给一位素不相识的诗人，这封信将会给您的父母带来怎样的忧伤。并不是所有的作家都是天使，他们是有许多缺点的。有些人轻佻，有些人鲁莽，有些人浮夸，有些人野心勃勃，有些人沉迷酒色。相信我，不管您多么天真无邪，一个诗人多么具有骑士风度，您还是会在巴黎碰到许多堕落的行吟诗人，他们时刻准备唤起您的柔情，只为了有朝一日欺骗你的感情。那样的诗人不会像我这样，而是会以另外一种方式来解读您的信。他会曲解您的想法，而天真无邪的您对此是不会有所觉察的。有多少作家，就有多少种品格。您认为我能够理解您，这令我感到万分荣幸。但万一您落到一个伪君子、一个狂妄之徒的手里，他写的书可能是忧郁的，但他的生活却是一个永久的狂欢节，您会发现，由于您草率之举，竟撞见了一个思想邪恶的人，一个剧院后台的常客，或是某个同性恋胜地的英雄。您在长满铁线莲的凉亭下幻想诗人时，能闻到使手稿失去所有诗意的烟草味么？","Mademoiselle, the noblest adornment of a young girl is the flower of a pure and saintly and irreproachable life.Are you alone in the world?If you are, there is no need to say more.But if you have a family, a father or a mother, think of all the sorrow that might come to them from such a letter as yours addressed to a poet of whom you know nothing personally.All writers are not angels; they have many defects.Some are frivolous, heedless, foppish, ambitious, dissipated; and, believe me, no matter how imposing innocence may be, how chivalrous a poet is, you will meet with many a degenerate troubadour in Paris ready to cultivate your affection only to betray it.By such a man your letter would be interpreted otherwise than it is by me.He would see a thought that is not in it, which you, in your innocence, have not suspected.There are as many natures as there are writers.I am deeply flattered that you have judged me capable of understanding you; but had you, perchance, fallen upon a hypocrite, a scoffer, one whose books may be melancholy but whose life is a perpetual carnival, you would have found as the result of your generous imprudence an evil-minded man, the frequenter of green-rooms, perhaps a hero of some gay resort.In the bower of clematis where you dream of poets, can you smell the odor of the cigar which drives all poetry from the manuscript?"
"让我们进一步说吧。您肯定生活在海边吧？那么您过的那种充满幻想而又孤独的生活怎么会使一位诗人感兴趣呢？他的使命就是去想象一切并描绘一切。有什么现实能比得上想象呢？诗人们心中的年轻女孩们是如此完美，没有哪位夏娃的女儿能同她们媲美。那么，像您这样一位接受良好教育、注定成为一名贤妻良母的少女，请您告诉我，如果您理解了生活在这个可怕都市里的诗人的那些焦躁不安，您将会得到什么？用一句话来定义这座都市就够了——这是一座爱情的地狱。","But let us look still further.How could the dreamy, solitary life you lead, doubtless by the sea-shore, interest a poet, whose mission it is to imagine all, and to paint all?What reality can equal imagination?The young girls of the poets are so ideal that no living daughter of Eve can compete with them.And now tell me, what will you gain,—you, a young girl, brought up to be the virtuous mother of a family,—if you learn to comprehend the terrible agitations of a poet’s life in this dreadful capital, which may be defined by one sentence,—the hell in which men love."
"如果作为一位渴望知识的少女，想要活跃一下枯燥的生活，所以您才拿起笔给我写了这封信，那这一举动本身不就是堕落的表现吗？我该赋予您这封信怎样的意义呢？您是被排挤的某个社会团体的一分子吗？您想要寻找一位远方的朋友吗？或者，您是被自己外表的丑陋所折磨，但觉得自己仍有一颗能够给予并接受信任的高贵心灵？唉，唉，只能做一个令人心酸的结论了。您要么说得太多了，要么说得太少了；要么走得太远了，要么还不够远。要么我们就此结束通信，要么，如果您再继续写的话，告诉我比这封信里更多的内容。","If the desire to brighten the monotonous existence of a young girl thirsting for knowledge has led you to take your pen in hand and write to me, has not the step itself the appearance of degradation?What meaning am I to give to your letter?Are you one of a rejected caste, and do you seek a friend far away from you?Or, are you afflicted with personal ugliness, yet feeling within you a noble soul which can give and receive a confidence?Alas, alas, the conclusion to be drawn is grievous.You have said too much, or too little; you have gone too far, or not far enough.Either let us drop this correspondence, or, if you continue it, tell me more than in the letter you have now written me."
"但是，小姐，如果您还年轻，如果您很漂亮，如果您有个家，有一个家庭，如果要把心中宝贵的香膏和甘松香油倾注出来，就像抹大拉的马利亚将其涂在耶稣脚上一样，那就让您自己被一位与您般配的男子所赢得吧，成为每一位纯洁的年轻姑娘都应该成为的人——一位好女人，一个家庭的贤妻良母。一位诗人，是一位姑娘能收获的最糟糕的战利品。他爱慕虚荣，锋芒毕露，会深深刺伤一个女人合情合理的自尊心，而且会抹杀毫无生活经验之人的的一片柔情。诗人的妻子应该在爱他很久之后再跟他结婚，她必须要训练自己拥有天使的仁慈，拥有容忍之心，拥有母性的所有美德。小姐，这些品质在一位年轻姑娘身上还只是萌芽。","But, mademoiselle, if you are young, if you are beautiful, if you have a home, a family, if in your heart you have the precious ointment, the spikenard, to pour out, as did Magdalene on the feet of Jesus, let yourself be won by a man worthy of you; become what every pure young girl should be,—a good woman, the virtuous mother of a family.A poet is the saddest conquest that a girl can make; he is full of vanity, full of angles that will sharply wound a woman’s proper pride, and kill a tenderness which has no experience of life.The wife of a poet should love him long before she marries him; she must train herself to the charity of angels, to their forbearance, to all the virtues of motherhood.Such qualities, mademoiselle, are but germs in a young girl."
"这就是全部的事实——难道我不应该以此来回报您那令人醉心的恭维吗？如果嫁给伟大的名人是一件美好的事情，那也要记住，你很快就会发现，从一个人的各个方面来讲，伟人和常人没什么两样。因此，尽管人们对他寄予厚望，他却远远做不到那么完美。如果某个女人的美貌被过度夸大了，我们会这样评论她：“我还以为她比这漂亮得多呢。”对于他，也是一样。她没有为精灵给她画的肖像授权，我收到您的来信也是归功于这位精灵——它的名字叫做想象力。","Hear the whole truth,—do I not owe it to you in return for your intoxicating flattery?If it is a glorious thing to marry a great renown, remember also that you must soon discover a superior man to be, in all that makes a man, like other men.He therefore poorly realizes the hopes that attach to him as a phoenix.He becomes like a woman whose beauty is over-praised, and of whom we say: “I thought her far more lovely.”She has not warranted the portrait painted by the fairy to whom I owe your letter,—the fairy whose name is Imagination."
"相信我，精神方面的品质只在看不见的地方生存、成长，而不是在日常生活中。诗人的妻子要忍受重负，她看到珠宝制造出来，却从来不戴它们。如果是地位的光辉吸引了您，那现在听我说，它带来的快乐是转瞬即逝的。当您发现有些东西远看很完美，事实上却有许多粗糙之处，当您到达光辉的顶峰，却觉得高处不胜寒，您就会很痛苦。此外，对于涉世未深、从未经历过真正苦难的女子来说，一旦她们看到她们曾崇拜的东西的内部构造，便会马上终止对它的赏识。","Believe me, the qualities of the mind live and thrive only in a sphere invisible, not in daily life; the wife of a poet bears the burden; she sees the jewels manufactured, but she never wears them.If the glory of the position fascinates you, hear me now when I tell you that its pleasures are soon at an end.You will suffer when you find so many asperities in a nature which, from a distance, you thought equable, and such coldness at the shining summit.Moreover, as women never set their feet within the world of real difficulties, they cease to appreciate what they once admired as soon as they think they see the inner mechanism of it."
"我再谈谈我的最后一个看法，这并不是变相的请求，而是一位朋友的忠告。心灵的交流只能在彼此没有任何隐瞒的人之间才能发生。您能向一位素不相识的人袒露真正的自己吗？我不敢对此作出结论。","I close with a last thought, in which there is no disguised entreaty; it is the counsel of a friend.The exchange of souls can take place only between persons who are resolved to hide nothing from each other.Would you show yourself for such as you are to an unknown man?I dare not follow out the consequences of that idea."
"小姐，请您屈尊接受我们对所有女性的敬意，哪怕是那些不知姓名且戴着面具的女性。","Deign to accept, mademoiselle, the homage which we owe to all women, even those who are disguised and masked."
"这就是那封信，她一整天都把它贴身放在胸衣里，让它紧贴着怦怦跳动的心！她一直等到午夜才读这封信，思潮起伏、热切不安地等所有人睡着，等那庄严的寂静降临。为此，她还事先为诗人祈祷，在打开信之前已经（在想象中）把它读了上千遍。她想象过各种情形，唯独没想到的是这样一瓢冷水竟浇在了她那缥缈的幻想之上，并像氢氰酸腐蚀生命那样。将其溶解了。她除了吹熄蜡烛、缩进被子、把脸埋在床单里痛哭流泪，还能干什么呢？","So this was the letter she had worn between her flesh and her corset above her palpitating heart throughout one whole day!For this she had postponed the reading until the midnight hour when the household slept, waiting for the solemn silence with the eager anxiety of an imagination on fire!For this she had blessed the poet by anticipation, reading a thousand letters ere she opened one,—fancying all things, except this drop of cold water falling upon the vaporous forms of her illusion, and dissolving them as prussic acid dissolves life.What could she do but hide herself in her bed, blow out her candle, bury her face in the sheets and weep?"
"这一切都发生在七月初。但莫黛斯特一会儿就站了起来，她走过房间，并打开了窗户。她想透透气。鲜花的芳香，伴着夜晚的各种清新气息扑鼻而来。被月光点亮的大海如明镜一样闪闪发光。一只夜莺正在树上歌唱。“啊，那就是诗人！”莫黛斯特想，她的怒气立刻平息下来了。心酸的思虑在她的脑海里互相追逐着。她被伤到痛处了，她想把信再读一遍，便点亮了蜡烛。她研究了那些经过深思熟虑写下的字句，直到听到外面世界的呼吸声。","All this happened during the first days of July.But Modeste presently got up, walked across the room and opened the window.She wanted air.The fragrance of the flowers came to her with the peculiar freshness of the odors of the night.The sea, lighted by the moon, sparkled like a mirror.A nightingale was singing in a tree.“Ah, there is the poet!” thought Modeste, whose anger subsided at once.Bitter reflections chased each other through her mind.She was cut to the quick; she wished to re-read the letter, and lit a candle; she studied the sentences so carefully studied when written; and ended by hearing the wheezing voice of the outer world."
"“他是对的，而我错了。”她自言自语道，“但谁又会相信，在那位诗人光鲜的外表之下，我竟看到了莫里哀笔下的一位老者呢？”","“He is right, and I am wrong,” she said to herself.“But who could ever believe that under the starry mantle of a poet I should find nothing but one of Moliere’s old men?”"
"当一个女人或少女在犯罪时“当场被捕”，她会对目击者、肇事者或受害者恨之入骨。于是在真实的、率直的、桀骜不驯的莫黛斯特内心，产生了一种难以抑制的欲望，她想要战胜那位正直的人，将他置于某种致命的矛盾之中，这样便可以牙还牙。这位女孩，这个孩子——我们可以这样叫她，本是如此纯洁，她的大脑被误导了，一部分是由于她的阅读，一部分是由于她姐姐的苦难，而或许更多地是由于她在枯燥无味的生活中那危险的沉思——突然，一缕阳光掠过她的脸庞。她已经在这广阔的“怀疑”之海的岸边站了三个小时。这样的夜晚是终身难忘的。莫黛斯特径直走向她那张小小的中式桌子，那是她父亲送她的礼物。在那颗怦怦跳动的少女复仇之心的驱使下，写了一封信。","When a woman or young girl is taken in the act, “flagrante delicto,” she conceives a deadly hatred to the witness, the author, or the object of her fault.And so the true, the single-minded, the untamed and untamable Modeste conceived within her soul an unquenchable desire to get the better of that righteous spirit, to drive him into some fatal inconsistency, and so return him blow for blow.This girl, this child, as we may call her, so pure, whose head alone had been misguided,—partly by her reading, partly by her sister’s sorrows, and more perhaps by the dangerous meditations of her solitary life,—was suddenly caught by a ray of sunshine flickering across her face.She had been standing for three hours on the shores of the vast sea of Doubt.Nights like these are never forgotten.Modeste walked straight to her little Chinese table, a gift from her father, and wrote a letter dictated by the infernal spirit of vengeance which palpitates in the hearts of young girls."
"第八章 针锋相对","Chapter VIII Blade to Blade"
"致德卡那利先生：","To Monsieur de Canalis:"
"先生，您自然是一位伟大的诗人，而且还是一位正直之士。您对一位差点踏入深渊的少女表现得如此真诚直率，那您是否也能毫不虚伪、开诚布公地回答下面这个问题呢？","Monsieur,—You are certainly a great poet, and you are something more,—an honest man.After showing such loyal frankness to a young girl who was stepping to the verge of an abyss, have you enough left to answer without hypocrisy or evasion the following question?"
"假设有人在您的耳边说过（这可能是真的），欧·德埃斯特·莫小姐有六百万法郎，而且她还想找个蠢材做丈夫，您还会写下我手里拿着的这封回信么？您的想法、您的语言还会是一样的么？","Would you have written the letter I now hold in answer to mine,—would your ideas, your language have been the same,—had some one whispered in your ear (what may prove true), Mademoiselle O. d’Este M. has six millions and does intend to have a dunce for a master?"
"暂且认为这一假设成立吧。请您像对自己一样对我吧，什么都不要怕。我只有二十岁，但心智却不止二十，任何坦率之举都不会损害您在我心里的形象。当我从您的回信中读出您对我的信任时——如果您肯屈尊这样做——您会得到我对您第一封信的答复。","Admit the supposition for a moment.Be with me what you are with yourself; fear nothing.I am wiser than my twenty years; nothing that is frank can hurt you in my mind.When I have read your confidence, if you deign to make it, you shall receive from me an answer to your first letter."
"我一直敬仰您的才华，它总是如此地令人赞叹。请允许我向您的细心和真诚致敬，这让我一直都是，","Having admired your talent, often so sublime, permit me to do homage to your delicacy and your integrity, which force me to remain always,"
"您卑微的仆人，欧·德埃斯特·莫","Your humble servant, O. d’Este M."
"埃内斯特·德拉布里埃把信拿在手里，过了一会儿，便沿着林阴道散步去了。当风从四面吹来，他心乱如麻，仿佛一叶扁舟在暴风雨中摇曳。大部分年轻人，特别是真正的巴黎人，会用一句话解决这件事：“这个女孩有点轻佻。”但对于一个心灵高贵且真诚的年轻人来说，这种努力可以说是一种对真理的呼唤，唤醒了藏在每个人的良心深处的三位法官，让他忍不住立下誓言。荣誉、真理和正义站了起来，以他们的各种方式积极地呼喊。","When Ernest de La Briere had held this letter in his hands for some little time he went to walk along the boulevards, tossed in mind like a tiny vessel by a tempest when the wind is blowing from all points of the compass.Most young men, specially true Parisians, would have settled the matter in a single phrase, “The girl is a little hussy.”But for a youth whose soul was noble and true, this attempt to put him, as it were, upon his oath, this appeal to truth, had the power to awaken the three judges hidden in the conscience of every man.Honor, Truth, and Justice, getting on their feet, cried out in their several ways energetically."
"“啊，亲爱的埃内斯特，”真理说道，“你真不该那样教训一位富有的女继承人。不，我的孩子，你应该火速赶往勒阿弗尔，去弄明白这个女孩漂不漂亮，你应该为她对天才的偏爱而感到十分伤心。不过，如果你对你的朋友使点坏，把她对他的爱夺过来，德埃斯特小姐早就是你的女神了。”","“Ah, my dear Ernest,” said Truth, “you never would have read that lesson to a rich heiress.No, my boy; you would have gone in hot haste to Havre to find out if the girl were handsome, and you would have been very unhappy indeed at her preference for genius; and if you could have tripped up your friend and supplanted him in her affections, Mademoiselle d’Este would have been a divinity.”"
"“什么？”正义叫道，“你们这些有才又有能力却身无分文的人，不也总是哀叹，说女孩们嫁给了连给你们做奴仆都不配的人吗？你们斥责这个时代的物质主义，它总是催促着有钱人和有钱人联姻，却从来不会让那些有才却没钱的优秀青年娶一个有钱的姑娘。对此，你们公然痛骂、大声疾呼，然而现在有一位年轻女子反叛了那种时代精神，可是，看呀，诗人却对她的心灵回以重击！”","“What?” cried Justice, “are you not always bemoaning yourselves, you penniless men of wit and capacity, that rich girls marry beings whom you wouldn’t take as your servants?You rail against the materialism of the century which hastens to join wealth to wealth, and never marries some fine young man with brains and no money to a rich girl.What an outcry you make about it; and yet here is a young woman who revolts against that very spirit of the age, and behold! the poet replies with a blow at her heart!”"
"“富也好、穷也好，年轻也好、老也好，丑也好、漂亮也好，这个女孩是对的，她有自己的思维和判断力，她把你拖进自私自利的罪恶泥沼中，并让你了解它。”荣誉喊道，“她理应得到回复，一个诚挚、忠诚且直率的回复，最重要的是，这个回复必须是你思想的真实表达。检讨自己吧！倾听你的心声并清除它里面的卑鄙龌龊吧。莫里哀笔下的阿尔塞斯特会说什么呢？”","“Rich or poor, young or old, ugly or handsome, the girl is right; she has sense and judgment, she has tripped you over into the slough of self-interest and lets you know it,” cried Honor.“She deserves an answer, a sincere and loyal and frank answer, and, above all, the honest expression of your thought.Examine yourself! sound your heart and purge it of its meannesses.What would Moliere’s Alceste say?”"
"拉布里埃从鱼贩子街出发，步履缓慢，沉浸在这些思绪之中，花了一个多小时才走到修女大街。然后他沿着码头，走到了当时坐落在圣堂附近的行政法院。他并没有开始做那些他本该做的账目工作，而是任由自己思绪纷飞，心乱如麻。","And La Briere, having started from the boulevard Poissoniere, walked so slowly, absorbed in these reflections, that he was more than an hour in reaching the boulevard des Capucines.Then he followed the quays, which led him to the Cour des Comptes, situated in that time close to the Saint-Chapelle.Instead of beginning on the accounts as he should have done, he remained at the mercy of his perplexities."
"“有一件事是很明显的，”他对自己说道，“她没有六百万，但那不是重点——”","“One thing is evident,” he said to himself; “she hasn’t six millions; but that’s not the point—”"
"六天后，莫黛斯特收到了下面这封来信：","Six days later, Modeste received the following letter:"
"小姐：您不叫德埃斯特。这是一个用以掩盖您真实姓名的假名。对于一个对自己都不诚实的人，我需要吐露您所请求的实情么？我用一个问题来回答您的问题吧：您是出身名门，还是贵族家庭，还是中产阶级家庭？毫无疑问，伦理和道德是无法改变的，它们是一体的，但义务却会随着生活状态的不同而不同。就像是阳光从不同角度照射着同一地方，会产生让我们赞叹的变化，同样，道德也使社会义务同阶层和地位相一致。一名士兵的小小过错放在一名将军身上就是一个重大罪行，反之亦然。惯例并不是在所有的情况下都一样。对于一个在地里拾稻穗的女孩，对于一个每天靠缝纫赚十五个苏的姑娘，对于一个小零售商的女儿，对于一个富商的孩子，对于一个贵族的嗣女，对于一个埃斯特家族的女儿，要遵守的规矩都是不一样的。虽然国王和劳动者都要遵守经济法则，但国王是不能弯腰去捡一枚金币的，而劳动者却要沿原路去找丢掉的十个苏。身价六百万的埃斯特家族的女儿，有权利戴着羽毛装饰的宽沿帽，挥着手中的鞭子，两腿一夹马腹，像身披金边蕾丝的女战士一样骑着马，后面跟着一位男仆，来到诗人面前，说：“我喜欢诗歌，我乐意为莉奥诺拉对塔索的残酷之行赎罪！”但是，如果一位平民的女儿模仿她的行为，就会成为众人的笑柄。您属于哪一个阶层呢？请诚实地回答我，而我将会回答您给我提出的问题。","Mademoiselle,—You are not a D’Este.The name is a feigned one to conceal your own.Do I owe the revelations which you solicit to a person who is untruthful about herself?Question for question:Are you of an illustrious family? or a noble family? or a middle-class family?Undoubtedly ethics and morality cannot change; they are one: but obligations vary in the different states of life.Just as the sun lights up a scene diversely and produces differences which we admire, so morality conforms social duty to rank, to position.The peccadillo of a soldier is a crime in a general, and vice-versa.Observances are not alike in all cases.They are not the same for the gleaner in the field, for the girl who sews at fifteen sous a day, for the daughter of a petty shopkeeper, for the young bourgoise, for the child of a rich merchant, for the heiress of a noble family, for a daughter of the house of Este.A king must not stoop to pick up a piece of gold, but a laborer ought to retrace his steps to find ten sous; though both are equally bound to obey the laws of economy.A daughter of Este, who is worth six millions, has the right to wear a broad-brimmed hat and plume, to flourish her whip, press the flanks of her barb, and ride like an amazon decked in gold lace, with a lackey behind her, into the presence of a poet and say: “I love poetry; and I would fain expiate Leonora’s cruelty to Tasso!” but a daughter of the people would cover herself with ridicule by imitating her.To what class do you belong?Answer sincerely, and I will answer the question you have put to me."
"虽然我不能有幸当面结识您，但你我在诗歌方面的交流却将我们部分地连结了起来，因此，我不想对您讲任何庸俗的恭维话。也许，令上一位作家难堪已经使您品尝到了蓄意报复所带来的胜利喜悦。","As I have not the honor of knowing you personally, and yet am bound to you, in a measure, by the ties of poetic communion, I am unwilling to offer any commonplace compliments.Perhaps you have already won a malicious victory by thus embarrassing a maker of books."
"这位年轻人当然不缺少一位有名望之人可拥有的那种精明。邮递员给他带来了一封回信：","The young man was certainly not wanting in the sort of shrewdness which is permissible to a man of honor.By return courier he received an answer:—"
"致德卡那利先生：您变得越来越通情达理了，我亲爱的诗人。我的父亲是一位伯爵。我们家族的主要名人是一位红衣主教，在那个时代，红衣主教可与国王平起平坐。我是家里最后的后裔，在我之后，我的家族就要绝嗣了。但我仍可以凭着家徽进入欧洲的任何宫廷和宗教场所。我们跟卡那利家族是门当户对的。如果您能原谅我没有给您送去家徽，那您真是太宽容了。","To Monsieur de Canalis,—You grow more and more sensible, my dear poet.My father is a count.The chief glory of our house was a cardinal, in the days when cardinals walked the earth by the side of kings.I am the last of our family, which ends in me; but I have the necessary quarterings to make my entry into any court or chapter-house in Europe.We are quite the equals of the Canalis.You will be so kind as to excuse me from sending you our arms."
"请尽量坦率地回复我，就像我现在回复您一样。我期待您的回音，以便明确我还能否像现在这样自称，","Endeavor to answer me as truthfully as I have now answered you.I await your response to know if I can then sign myself as I do now,"
"您的仆人，欧·德埃斯特·莫","Your servant, O. d’Este M."
"“这个小淘气鬼！真是滥用特权。”拉布里埃喊道，“不过她确实够坦率！”","“The little mischief! how she abuses her privileges,” cried La Briere; “but isn’t she frank!”"
