"矮小考古家的奇遇","The Adventure of the Little Antiquary"
"最后，到了可怕的分别时刻。博士忽然清醒过来，一见强盗重新拿起武器，他又害怕起来。他现在又开始为他的宝物发抖，首先担心的是考古笔记。可他却装得很冷静，露出毫不在意的神情，从深深的口袋里掏出一个狭长的干瘪皮制钱包，假装付账，发抖的手使钱包里的几个硬币叮当作响。","At length the fearful hour of separating arrived.The doctor was suddenly called to himself and his fears, by seeing the robbers resume their weapons.He now quaked for his valuables, and above all for his antiquarian treatise.He endeavored, however, to look cool and unconcerned; and drew from out of his deep pocket a long, lank, leathern purse, far gone in consumption, at the bottom of which a few coin chinked with the trembling of his hand."
"这群人的首领看到了他的这个举动，将手放到了考古家的肩上，“听着！博士先生！”他说，“我们像朋友、伙伴一样一起喝酒，即便我们分开，我们还是朋友。我们了解你，我们知道你是谁，你是做什么的，因为我们知道泰拉奇纳住着的每一个人，以及路过的人。你是一个富人，但你的财富都装在你的大脑里。我们拿不走它们，即使我们能取走，也不知道做什么用。我知道你担心你的戒指，但你不必担心，它不值得我们拿走。你把它当古董，但其实是伪造的——不过是件赝品。”","The chief of the party observed this movement; and laying his hand upon the antiquary’s shoulder—“Harkee!Signor Dottore!” said he, “we have drank together as friends and comrades, let us part as such.We understand you; we know who and what you are; for we know who every body is that sleeps at Terracina, or that puts foot upon the road.You are a rich man, but you carry all your wealth in your head.We can’t get at it, and we should not know what to do with it, if we could.I see you are uneasy about your ring; but don’t worry your mind; it is not worth taking; you think it an antique, but it’s a counterfeit—a mere sham.”"
"此时博士要插话，因为他收藏家的自尊心受到了伤害。","Here the doctor would have put in a word, for his antiquarian pride was touched."
"“别生气，别生气，”首领继续说道，“我们没有时间与你争辩它。”你只管把它当成宝贝吧。来吧，你是一个勇敢的小老头。再喝一杯，我们来付清账。不用客气——我坚持付帐。那么——现在你好好地回到泰拉奇纳吧，天色不早了——一路平安！——听我一句，以后别到山上来了，一路小心。”","“Nay, nay,” continued the other, “we’ve no time to dispute about it.Value it as you please.Come, you are a brave little old signor—one more cup of wine and we’ll pay the reckoning.No compliments—I insist on it.So—now make the best of your way back to Terracina; it’s growing late—buono viaggio!—and harkee, take care how you wander among these mountains.”"
"他们背着枪，快活地上了山。矮小的博士蹒跚地走回了泰拉奇纳。他很高兴强盗们没有抢走他的印章戒指、他的银表和他的笔记。但他们说戒指是假的，这让他很恼火。","They shouldered their fusils, sprang gaily up the rocks, and the little doctor hobbled back to Terracina, rejoicing that the robbers had let his seal ring, his watch, and his treatise escape unmolested, though rather nettled that they should have pronounced his veritable intaglio a counterfeit."
"在讲述这段故事的时候，那个出口成章的人显出不耐烦的神情。他眼看自己的话题可能被一个讲故事的竞争对手抢走，这种情况对于一个能说会道的人来说总是一个严重的愤懑。话题也可能被那不勒斯人抢走，就更加让人恼火。原来意大利的各省民族一直相互嫉妒，对于任何事情都是如此，无论大小。他趁那不勒斯人第一次停顿时，再次夺回了话语权。","The improvvisatore had shown many symptoms of impatience during this recital.He saw his theme in danger of being taken out of his hands by a rival story-teller, which to an able talker is always a serious grievance; it was also in danger of being taken away by a Neapolitan, and that was still more vexatious; as the members of the different Italian states have an incessant jealousy of each other in all things, great and small.He took advantage of the first pause of the Neapolitan to catch hold again of the thread of the conversation."
"“我刚才说过，”他继续说道，“强盗出没的地方很广，他们彼此结盟，与社会各个阶层都有联系……”","“As I was saying,” resumed he, “the prevalence of these banditti is so extensive; their power so combined and interwoven with other ranks of society—”"
"“对于这种事，”那不勒斯人说道，“我听说你们的政府与这些家伙多少有协定，或者至少对他们的胡作非为不闻不问。”","“For that matter,” said the Neapolitan, “I have heard that your government has had some understanding with these gentry, or at least winked at them.”"
"“我们政府？”罗马人不耐烦地说道。","“My government?” said the Roman, impatiently."
"“是啊——他们说是红衣主教冈萨尔维——”","“Aye—they say that Cardinal Gonsalvi—”"
"“嘘！”罗马人说着竖起手指，并转动着两只大眼睛向房间四处张望。","“Hush!” said the Roman, holding up his finger, and rolling his large eyes about the room."
"“不要紧，我说的只不过是罗马里的普通谣言。”另一个人坚定地回答道，“传言，红衣主教曾上过山，与一些强盗头子碰过面。而且人家告诉我，一些老实人在红衣主教的接待室里长时间等候，一等就是好几个小时，而一帮满脸杀气的家伙中，有一个却挤过人群，毫不客气地去见红衣主教。”","“Nay-I only repeat what I heard commonly rumored in Rome,” replied the other, sturdily.“It was whispered that the Cardinal had been up to the mountain, and had an interview with some of the chiefs.And I have been told that when honest people have been kicking their heels in the Cardinal’s anti-chamber, waiting by the hour for admittance, one of these stiletto-looking fellows has elbowed his way through the crowd, and entered without ceremony into the Cardinal’s presence."
"“我知道，”罗马人说道，“是有这样的谣言，政府在特殊时期利用这些人不是没有可能。比如在革命失败时，你们烧炭党在全国各地搞阴谋。而这些强盗可以收集情报，他们不仅熟悉山上幽深隐秘的地方，还熟悉社会上黑暗危险的地方。总之，他们知道世界上的一切阴谋。政府手里有这样的工具，好处是显而易见的。红衣主教作为一个政治家，或许，恐怕就是在利用他们。因为众所周知，强盗们虽然作恶多端，但尊重教会，虔诚地信奉他们的宗教。”","“I know,” replied the Roman, “that there have been such reports; and it is not impossible that government may have made use of these men at particular periods, such as at the time of your abortive revolution, when your carbonari were so busy with their machinations all over the country.The information that men like these could collect, who were familiar, not merely with all the recesses and secret places of the mountains, but also with all the dark and dangerous recesses of society, and knew all that was plotting in the world of mischief; the utility of such instruments in the hands of government was too obvious to be overlooked, and Cardinal Gonsalvi as a politic statesman, may, perhaps, have made use of them; for it is well known the robbers, with all their atrocities, are respectful towards the church, and devout in their religion.”"
"“宗教！——宗教？”英国人应声道。","“Religion!—religion?” echoed the Englishman."
"“是的——宗教！”即兴演讲者重复道，“他们都有各自的保护神。每当他们在深山僻静处听见晨歌，或者山谷中敲响的万福玛利亚钟声时，他们就会在胸前划十字，念诵祷文。他们经常去村里牧师那祈求饶恕，偶尔也下山瞻仰他们信奉的寺庙。我记得一个这样的事情：一天傍晚，我正在阿布鲁奇山脚下的弗拉斯卡蒂村。一如在晴朗的黄昏，我们意大利的城里人和乡下人，都喜欢三五成群的站在公共广场上闲聊。我看见一个高大、强壮的家伙，裹着一个大斗篷从广场中间穿过，故意借着昏暗，偷偷摸摸地走过，好像避免引起别人的注意。当他走过时，人们似乎也都往后退缩。有人小声对我说，他是一个声名狼藉的强盗。”","“Yes—religion!” repeated the improvisatore.“Scarce one of them but will cross himself and say his prayers when he hears in his mountain fastness the matin or the ave maria bells sounding from the valleys.They will often confess themselves to the village priests, to obtain absolution; and occasionally visit the village churches to pray at some favorite shrine.I recollect an instance in point: I was one evening in the village of Frescati, which lies below the mountains of Abruzzi.The people, as usual in fine evenings in our Italian towns and villages, were standing about in groups in the public square, conversing and amusing themselves.I observed a tall, muscular fellow, wrapped in a great mantle, passing across the square, but skulking along in the dark, as if avoiding notice.The people, too, seemed to draw back as he passed.It was whispered to me that he was a notorious bandit.”"
"“为什么不马上抓住他？”英国人问道。","“But why was he not immediately seized?” said the Englishman."
"“因为没人爱管闲事，因为没人想被他的同伙报复，也因为附近的警力不足，无法保证对付得了他手下的亡命之徒，还因为警察没接到特殊命令逮捕他，不愿牵涉进危险的冲突中。总之，我可以给你千万种理由，不过由于我们的政府和习俗不同，所以没有一个理由最终令你满意。”","“Because it was nobody’s business; because nobody wished to incur the vengeance of his comrades; because there were not sufficient gens d’armes near to insure security against the numbers of desperadoes he might have at hand; because the gens d’armes might not have received particular instructions with respect to him, and might not feel disposed to engage in the hazardous conflict without compulsion.In short, I might give you a thousand reasons, rising out of the state of our government and manners, not one of which after all might appear satisfactory.”"
"英国人耸耸肩，露出鄙夷的神情。","The Englishman shrugged his shoulders with an air of contempt."
"“有人告诉我，”罗马人赶快补充道，“甚至在你们首都伦敦，就像警察为警察熟知的臭名昭著的盗贼大白天在街上横逛，寻找下手对象时，警察除非看见他们正在抢劫，否则也不会管。”","“I have been told,” added the Roman, rather quickly, “that even in your metropolis of London, notorious thieves, well known to the police as such, walk the streets at noon-day, in search of their prey, and are not molested unless caught in the very act of robbery.”"
"英国人又耸耸肩，但却露出了鄙夷的神情。","The Englishman gave another shrug, but with a different expression."
"“好啦，先生，我只是像盯着恶狼潜行在羊群中一样，看他进了教堂。我满怀好奇地看着他做礼拜。你知道我们的教堂都很宽敞、华丽。他走进的那个教堂也很宽大，笼罩在傍晚的暮色中。长廊的尽头有一座大祭坛，上面有一对蜡烛，闪烁着微弱的光。礼拜堂里，一座神像前放着一支还愿的蜡烛。强盗拜倒在神像前。当他下跪时，斗篷从肩膀上滑下一部分，露出了赫拉克勒斯那般强壮有力的身体。腰带上插着闪闪发光的匕首和手枪，烛光照在他那看起来并不难看，但却强硬凶狠的脸上，。他祈祷时，非常激动，嘴唇颤抖，边叹气边喃喃自语，几乎像在呻吟。突然，他猛捶前胸、双手紧扣，痉挛着把手伸向神像。我还从未见过如此可怕的忏悔景象。我怕窥视被发现，就离开了。过了一会儿，我看见他裹着斗篷从教堂里走出来，再次穿过广场，如释负重地回到山上，准备犯下新的罪恶。”","“Well, sir, I fixed my eye on this daring wolf thus prowling through the fold, and saw him enter a church.I was curious to witness his devotions.You know our spacious, magnificent churches.The one in which he entered was vast and shrouded in the dusk of evening.At the extremity of the long aisles a couple of tapers feebly glimmered on the grand altar.In one of the side chapels was a votive candle placed before the image of a saint.Before this image the robber had prostrated himself.His mantle partly falling off from his shoulders as he knelt, revealed a form of Herculean strength; a stiletto and pistol glittered in his belt, and the light falling on his countenance showed features not unhandsome, but strongly and fiercely charactered.As he prayed he became vehemently agitated; his lips quivered; sighs and murmurs, almost groans burst from him; he beat his breast with violence, then clasped his hands and wrung them convulsively as he extended them towards the image.Never had I seen such a terrific picture of remorse.I felt fearful of being discovered by him, and withdrew.Shortly after I saw him issue from the church wrapped in his mantle; he recrossed the square, and no doubt returned to his mountain with disburthened conscience, ready to incur a fresh arrear of crime.”"
"谈话被两个刚到不久的旅客接上了，一位是亚麻布商人霍比先生，一位是蔬果商人多比先生。他们刚刚从希腊和基督教圣地巴勒斯坦旅游回来，带回了好多奥尔德曼·波普金的故事。他们很惊讶，强盗们竟敢干扰这位重要人物做出改变，他成了斯罗格莫顿街上著名的干腌制品商，并且成了地方官员。","The conversation was here taken up by two other travellers, recently arrived, Mr. Hobbs and Mr. Dobbs, a linen-draper and a green-grocer, just returning from a tour in Greece and the Holy Land: and who were full of the story of Alderman Popkins.They were astonished that the robbers should dare to molest a man of his importance on change; he being an eminent dry-salter of Throgmorton street, and a magistrate to boot."
"事实上，波普金家的故事完全属实。在场很多人都能证实，毋庸置疑。尽管有一半相信一半反对，但所有人都迫不及待地参与到讨论中，一起聊起故事的所有细节。","In fact, the story of the Popkins family was but too true; it was attested by too many present to be for a moment doubted; and from the contradictory and concordant testimony of half a score, all eager to relate it, the company were enabled to make out all the particulars."
