"迟来的旅客","The Belated Travellers"
"一批新到的旅客打破了旅店的寂静。来的是西班牙王爵夫人和她难以计数的随从。院子里一片喧闹，屋子里也忙忙碌碌的。女店主忙着招待显赫的贵宾，而穷伯爵和他的女儿，以及他们的晚餐在这个时候就被忘掉了。老兵卡斯珀用波兰话喃喃谩骂，足以使一个意大利人感到痛苦，却不能使女店主相信他的主人和小姐比全体西班牙王族更高贵。","A new arrival broke the stillness of the inn.It was a Spanish princess with a numerous retinue.The court-yard was in an uproar; the house in a bustle; the landlady hurried to attend such distinguished guests; and the poor Count and his daughter, and their supper, were for the moment forgotten.The veteran Caspar muttered Polish maledictions enough to agonize an Italian ear; but it was impossible to convince the hostess of the superiority of his old master and young mistress to the whole nobility of Spain."
"院子里的喧闹声吸引了伯爵的女儿，她走到窗口，新到的客人正好下车。一个年轻的骑士从马车上跳下来，扶着王爵夫人下车。夫人是个瘦小枯干的老太太，脸色像羊皮纸一样，双眼却乌黑有神。她衣着华丽阔气，走路支着一根与身齐高的金头手杖。那个年轻人身材修长，举止文雅。伯爵的女儿一看到那个年轻人就惊得连连后退，尽管窗架很深，外面的人不会看到她。她深深地叹了一声，关上窗户。我也不明白她为什么叹气。也许是由于王爵夫人华丽的马车和她父亲摇摇晃晃的旧马车停在一起，产生对比的缘故。不论是什么理由，这个年轻的女子叹息着关上了窗门。她坐回椅子里。娇嫩的身子一阵轻颤，胳膊支在椅子的扶手上，手掌托着苍白的脸，忧伤地望着炉火。","The noise of the arrival had attracted the daughter to the window just as the new comers had alighted.A young cavalier sprang out of the carriage, and handed out the Princess.The latter was a little shrivelled old lady, with a face of parchment, and a sparkling black eye; she was richly and gaily dressed, and walked with the assistance of a gold-headed cane as high as herself.The young man was tall and elegantly formed.The Count’s daughter shrank back at sight of him, though the deep frame of the window screened her from observation.She gave a heavy sigh as she closed the casement.What that sigh meant I cannot say.Perhaps it was at the contrast between the splendid equipage of the Princess, and the crazy, rheumatic-looking old vehicle of her father, which stood hard by.Whatever might be the reason, the young lady closed the casement with a sigh.She returned to her chair;—a slight shivering passed over her delicate frame; she leaned her elbow on the arm of the chair; rested her pale cheek in the palm of her hand, and looked mournfully into the fire."
"伯爵觉得她的脸色比平常更苍白。“我的孩子，你哪里不舒服吗？”他问。“没事，亲爱的爸爸！”她说着拉起了父亲的手，抬头微笑着看着他。只是，她说话时，涌上眼睛的泪珠出卖了她，她扭头转向别处。“窗口进来的风让你受凉了，”伯爵疼爱地说，“只要好好休息一晚就会好的。”","The Count thought she appeared paler than usual.—“Does anything ail thee, my child?” said he.—“Nothing, dear father!” replied she, laying her hand within his, and looking up smiling in his face; but as she said so, a treacherous tear rose suddenly to her eye, and she turned away her head.—“The air of the window has chilled thee,” said the Count, fondly, “but a good night’s rest will make all well again.”"
"晚餐的桌子终于放置好了，正要上餐时，女店主进来了，以她一贯的谄媚，表示抱歉说要把新旅客带到客厅来，因为晚上天气寒冷，别的房间没有火炉。她的道歉话还没说完，王爵夫人就挽着那个文雅的青年进来了。","The supper-table was at length laid, and the supper about to be served, when the hostess appeared, with her usual obsequiousness, apologizing for showing in the new comers; but the night air was cold, and there was no other chamber in the inn with a fire in it.She had scarcely made the apology when the Princess entered, leaning on the arm of the elegant young man."
"伯爵立刻认出了她，他在罗马和那不勒斯的社交场合经常见到她。实际上，她经常邀请伯爵参加她的谈话会。他也知道那个年轻的骑士是王爵夫人的侄子和继承人，交际场中人人都盛赞他的才能和前程。有一次，他父女二人和这个青年同时去探望住在那不勒斯附近别墅的一个贵族。听说他新近已和一个富有的西班牙女继承人订婚。","The Count immediately recognized her for a lady whom he had met frequently in society both at Rome and Naples; and at whose conversaziones, in fact, he had constantly been invited.The cavalier, too, was her nephew and heir, who had been greatly admired in the gay circles both for his merits and prospects, and who had once been on a visit at the same time with his daughter and himself at the villa of a nobleman near Naples.Report had recently affianced him to a rich Spanish heiress."
"伯爵和王爵夫人对这次相会都很高兴。伯爵是一个老派绅士，极其多礼。王爵夫人年轻时是个美女，一生都生活在上流社会，喜欢被关注。","The meeting was agreeable to both the Count and the Princess.The former was a gentleman of the old school, courteous in the extreme; the Princess had been a belle in her youth, and a woman of fashion all her life, and liked to be attended to."
"那个年轻人走到伯爵女儿面前，说了几句恭维的话，可是神态很不自然，嘴里的话到后来也含糊不清了。而小姐只是鞠了一躬，并不抬头看他，嘴唇在动，却说不出一个字来，她又坐回椅子里，盯着炉火，脸上的表情变化万千。","The young man approached the daughter, and began something of a complimentary observation: but his manner was embarrassed, and his compliment ended in an indistinct murmur, while the daughter bowed without looking up, moved her lips without articulating a word, and sank again into her chair, where she sat gazing into the fire, with a thousand varying expressions passing over her countenance."
"两个老人这时正忙着彼此殷勤地问候，并没有注意到这两位年轻人问候时的异常。店里安排他们两家共进晚餐，因为王爵夫人带着私人厨师，所以不一会儿，一顿上好的饭菜就热气腾腾地摆上了桌。不仅如此，王爵夫人还从马车里拿出了美酒和精致的甜点。她是一个资深美食家，好奇地想尝遍整个世界的美食。其实，她是一个活泼的小老太太，也是一个放荡的女人，也是一个虔诚的教徒。而这次，她是专程到洛雷托圣地来的，要在圣地奉上昂贵的财物，为她一生的风流和过失赎罪。简单的朝圣者带着小袋，拐杖和鸟蛤壳，而她不同，诚然是一个奢侈的忏悔者。但我们也没有理由指望上流社会的人能自我克制，而且不可否认的是，她带去献给圣母的贵重的耶稣受难像，黄金器皿和珠宝饰物是很有效力的。","This singular greeting of the young people was not perceived by the old ones, who were occupied at the time with their own courteous salutations.It was arranged that they should sup together; and as the Princess travelled with her own cook, a very tolerable supper soon smoked upon the board; this, too, was assisted by choice wines, and liqueurs, and delicate confitures brought from one of her carriages; for she was a veteran epicure, and curious in her relish for the good things of this world.She was, in fact, a vivacious little old lady, who mingled the woman of dissipation with the devotee.She was actually on her way to Loretto, to expiate a long life of gallantries and peccadilloes by a rich offering at the holy shrine.She was, to be sure, rather a luxurious penitent, and a contrast to the primitive pilgrims, with scrip, and staff, and cockleshell; but then it would be unreasonable to expect such selfdenial from people of fashion; and there was not a doubt of the ample efficacy of the rich crucifixes, and golden vessels, and jewelled ornaments, which she was bearing to the treasury of the Blessed Virgin."
"吃晚饭的时候，伯爵和王爵夫人说了许多话，谈论他们从前共同涉足的场合和社交界。然而，他们没有注意到，只有他们两个人在谈话，两个年轻人却拘谨地一言不发。尽管王爵夫人不断客气地劝小姐尝一尝精致的美食，小姐还是什么都没吃。伯爵摇着头，说：“她今晚身体不太舒服。你们的马车刚到的时候，她正从窗口往外看，我还以为她会晕倒。”小姐的脸一下子变得通红，但是她把头埋在盘子里，用头发挡住脸。","The Princess and the Count chatted much during supper about the scenes and society in which they had mingled, and did not notice that they had all the conversation to themselves: the young people were silent and constrained.The daughter ate nothing, in spite of the politeness of the Princess, who continually pressed her to taste of one or other of the delicacies.The Count shook his head:—“She is not well this evening,” said he.“I thought she would have fainted just now as she was looking out of the window at your carriage on its arrival.” A crimson glow flushed to the very temples of the daughter; but she leaned over her plate, and her tresses cast a shade over her countenance."
"晚餐结束后，他们把椅子拖到大火炉旁边。没了熊熊的火焰和呛人的浓烟，只剩下一堆发光的炭火，散出令人舒服的暖气。一把从伯爵的马车取出来的吉他，靠在墙边，王爵夫人看见了，便问道：“在我们各自就寝之前，是否可以奏点音乐？”","When supper was over, they drew their chairs about the great fireplace.The flame and smoke had subsided, and a heap of glowing embers diffused a grateful warmth.A guitar, which had been brought from the Count’s carriage, leaned against the wall; the Princess perceived it: “Can we not have a little music before parting for the night?” demanded she."
"伯爵向来以他女儿的音乐才艺为傲，便要他女儿弹吉他。那青年非常有礼地拿起吉他送到美丽的音乐家面前，不过态度很不自然。小姐本想拒绝，但却心慌意乱地接受了。的确，她神经紧张得说不出推辞的话来。她一只手颤抖着抱着吉他，在弹了一点前奏曲后，她自弹自唱了几只波兰歌曲。她父亲目光发亮地坐在那里盯着女儿。甚至连粗犷的卡斯珀也呆在房间里不肯离去，一方面是因为他喜欢听本国的音乐，但主要的是他为这位音乐家感到骄傲。确实，那悦耳的音调，精妙的指法足以使最挑剔的耳朵着迷。王爵夫人一面点头一面用手打着拍子，尽管很不合拍。而她的侄子坐在那儿望着对面墙上的一张黑色的画，沉浸在深深的冥想之中。","The Count was proud of his daughter’s accomplishment, and joined in the request.The young man made an effort of politeness, and taking up the guitar presented it, though in an embarrassed manner, to the fair musician.She would have declined it, but was too much confused to do so; indeed, she was so nervous and agitated, that she dared not trust her voice to make an excuse.She touched the instrument with a faltering hand, and, after preluding a little, accompanied herself in several Polish airs.Her father’s eyes glistened as he sat gazing on her.Even the crusty Caspar lingered in the room, partly through a fondness for the music of his native country, but chiefly through his pride in the musician.Indeed, the melody of the voice, and the delicacy of the touch, were enough to have charmed more fastidious ears.The little Princess nodded her head and tapped her hand to the music, though exceedingly out of time; while the nephew sat buried in profound contemplation of a black picture on the opposite wall."
"“现在，”伯爵疼爱地拍拍女儿的脸说，“再奏一支你拿手的曲子吧。让王爵夫人听听你最喜欢的西班牙小曲。你想象不到，”他又对王爵夫人说，“虽然她是一个忧郁的姑娘，而且近来又疏于练习，但她对你们的语言非常精通。”","“And now,” said the Count, patting her cheek fondly, “one more fovour.Let the Princess hear that little Spanish air you were so fond of.You can’t think,” added he, “what a proficiency she made in your language, though she has been a sad girl and neglected it of late.”"
"女儿苍白的脸一下子又红了起来，她迟疑了一会儿，喃喃地说了些什么，但还是竭力让自己镇静下来，。那是一个浪漫的西班牙歌曲，有甜美的爱情，也有忧伤。弹奏第一节时她投入了极大的感情，那颤抖、感伤的声调沁人心扉。但是她没有弹下去，乐声渐弱，她的嘴唇颤抖，泣不成声。","The colour flushed the pale cheek of the daughter; she hesitated, murmured something; but with sudden effort collected herself, struck the guitar boldly, and began.It was a Spanish romance, with something of love and melancholy in it.She gave the first stanza with great expression, for the tremulous, melting tones of her voice went to the heart; but her articulation failed, her lip quivered, the song died away, and she burst into tears."
"伯爵温柔地抱住她。“你不舒服，我的孩子，”他说，“我太难为你了。回房休息吧，愿上帝保佑你！”她对众人鞠了一躬，没有抬头就溜出了房间。","The Count folded her tenderly in his arms.“Thou art not well, my child,” said he, “and I am tasking thee cruelly.Retire to thy chamber, and God bless thee!” She bowed to the company without raising her eyes, and glided out of the room."
"门关了后，伯爵摇了摇头。他说：“这孩子有什么心事，我猜不出来。近来她的身体和精神都垮了。她向来是一朵娇嫩的花，我千辛万苦地养育她。原谅一个父亲的傻气吧，”他继续说，“我经历了家族中的许多患难，现在我只有这个可怜的姑娘了，她一向很活泼的——”“也许她在恋爱！”矮小的王爵夫人机灵地点着头说。“不可能！”好脾气的伯爵直率地说，“这样的事，她从未向我提过一个字。”可敬的伯爵做梦也想不到，是那强烈的爱情以及成千上万的忧虑和忧伤搅动了处女的心，胆怯的姑娘甚至不肯面对。","The Count shook his head as the door closed.“Something is the matter with that child,” said he, “which I cannot divine.She has lost all health and spirits lately.She was always a tender flower, and I had much pains to rear her.Excuse a father’s foolishness,” continued he, “but I have seen much trouble in my family; and this poor girl is all that is now left to me; and she used to be so lively—” —“Maybe she’s in love!” said the little Princess, with a shrewd nod of the head.—“Impossible!” replied the good Count, artlessly.“She has never mentioned a word of such a thing to me.” How little did the worthy gentleman dream of the thousand cares, and griefs, and mighty love concerns which agitate a virgin heart, and which a timid girl scarce breathes unto herself."
"王爵夫人的侄子突然站起来，在房间里来回踱着步。当小姐一个人回到房间里时，这个年轻女孩长久压抑的情感，一下子猛烈地迸发了出来。她打开窗户，让冷空气吹在她跳动的双鬓上。也许她的情绪中还混杂着一些骄傲与愤怒，那是她本来温柔的本性中所没有的。","The nephew of the Princess rose abruptly and walked about the room.When she found herself alone in her chamber, the feelings of the young lady, so long restrained, broke forth with violence.She opened the casement, that the cool air might blow upon her throbbing temples.Perhaps there was some little pride or pique mingled with her emotions; though her gentle nature did not seem calculated to harbour any such angry inmate."
"“他看见我哭了，”她说，忽然满面通红，喉咙肿胀，“但是不要紧！不要紧！”","“He saw me weep,” said she, with a sudden mantling of the cheek, and a swelling of the throat,—“but no matter!—no matter!”"
"说着，她把雪白的手臂交叉扶在窗框上，埋头纵情痛哭起来。她趴在那里出神，直到听见隔壁房间里父亲和卡斯珀的声音，才知道大家都去睡了。灯光沿着一个个窗子移动过去，她知道是他们领着王爵夫人到卧室去了，那是旅店对面的一排房间，透过一个窗子，她还清楚地看见了伯爵夫人侄子的影子。她深深地叹了一口气。正要关窗时，听见窗下有人窃窃私语，这两个人刚从房子的一角转过来。“那个可怜的年轻女孩会怎么样呢？”一个声音说，她听出是那个女仆的声音。","And so saying, she threw her white arms across the window-frame, buried her face in them, and abandoned herself to an agony of tears.She remained lost in a reverie, until the sound of her father’s and Caspar’s voices in the adjoining room gave token that the party had retired for the night.The lights gleaming from window to window, showed that they were conducting the Princess to her apartment, which was in the opposite wing of the inn; and she distinctly saw the figure of the nephew as he passed one of the casements.She heaved a deep heart-drawn sigh, and was about to close the lattice, when her attention was caught by words spoken below her window by two persons who had just turned an angle of the building.“But what will become of the poor young lady?” said a voice, which she recognized for that of the servant-woman."
"“啐！她只能听天由命了。”老皮特罗回答。","“Pooh! she must take her chance,” was the reply from old Pietro."
"“难道不能饶了她吗？”女仆恳求道，“她多善良啊！”","“But cannot she be spared?” asked the other, entreatingly; “she’s so kind-hearted!”"
"“呸！你疯了吗？”老皮特罗愤怒地回答，“你要为了一个傻姑娘而坏事吗？”这时他们已经走远了，小姐听不到他们的声音了。","“Coapetto! what has got into thee?” replied the other, petulantly: “would you mar the whole business for the sake of a silly girl?” By this time they had got so far from the window that the Polonaise could hear nothing further."
