"第一章","Chapter 1"
"“皮普。是皮普，先生。”","“Pip.Pip, sir.”"
"“告诉我们你住在哪里。”那个人说，“把那个地方指给我看！”","“Show us where you live,” said the man.“Pint out the place!”"
"我把我们村子的位置指给他看。就是那片海岸旁的平地，周围是一片赤杨树和修剪过的树丛，离教堂大概有一英里多远。","I pointed to where our village lay, on the flat in-shore among the alder-trees and pollards, a mile or more from the church."
"那个人打量了我一会儿，然后把我头朝下倒拎了起来，把我口袋里的东西都倒空了。然而，我口袋里除了一片面包外，就什么都没有了。当教堂在我眼前恢复原态时——因为他刚才的动作太猛、太突然，把我头朝下调了个个，我看到塔尖到了我的脚底下——总之，就像我说的那样，当教堂在我的眼前恢复原态时，我正坐在一块高高的墓碑上，全身哆嗦着，而他却在大口大口地嚼着面包。","The man, after looking at me for a moment, turned me upside down, and emptied my pockets.There was nothing in them but a piece of bread.When the church came to itself—for he was so sudden and strong that he made it go head over heels before me, and I saw the steeple under my feet—when the church came to itself, I say, I was seated on a high tombstone, trembling, while he ate the bread ravenously."
"“你这只小狗。”他边舔着嘴唇边说，“你看看你的脸蛋多胖啊。”","“You young dog,” said the man, licking his lips, “what fat cheeks you have got.”"
"我也觉得我的脸蛋是挺胖的，虽然对于我这个年龄来说，我的个头有点矮小，身体也算不上强壮。","I believe they were fat, though I was at that time undersized for my years, and not strong."
"“我要吃不了它们才怪呢，妈的。”他又说，脑袋还威胁似的一晃,“我真想吃了它们！”","“Darn me if I couldn’t eat ’em,” said the man, with a threatening shake of his head, “and if I haven’t half a mind to’t!”"
"我急忙诚恳地希望他千万不要那么做，同时将他把我按上去的那块墓碑抓得更紧了，一方面是想坐得更稳一些，另一方面是为了让自己不哭出来。","I earnestly expressed my hope that he wouldn’t, and held tighter to the tombstone on which he had put me; partly, to keep myself upon it; partly, to keep myself from crying."
"“现在听我说！”他说，“你母亲在哪里？”","“Now looked here!” said the man.“Where’s your mother?”"
"“在那里，先生！”我回答。","“There, sir!” said I."
"他吃了一惊，然后拔腿就跑，跑了几步又停了下来，回头看了看。","He started, made a short run, and stopped and looked over his shoulder."
"“在那里，先生！”我小心地解释道，“也就是乔治亚娜。那就是我母亲。”","“There, sir!” I timidly explained.“Also Georgiana.That’s my mother.”"
"“噢！”他说着又走了回来，“那么，和你母亲葬在一起的是你的父亲？”","“Oh!” said he, coming back.“And is that your father a longer your mother?”"
"“是的，先生。”我回答，“他也葬在这里，是位已故的本教区居民。”","“Yes, sir,” said I; “him too; late of this parish.”"
"“哈！”他若有所思地嘟囔着说道，“你和谁一起生活——如果我很仁慈地让你活下去的话。当然，这件事目前我还没有做决定。”","“Ha!” he muttered then, considering.“Who dye live with—supposing you is kindly let to live, which I hadn’t made up my mind about?”"
"“我的姐姐，先生——乔·格雷戈里太太——也就是铁匠乔·格雷戈里的妻子，先生。”","“My sister, sir—Mrs. Joe Gregory—wife of Joe Gregory, the blacksmith, sir.”"
"“铁匠，哦。”他说着。他同时低下头去看他的腿。","“Blacksmith, eh?” said he.And looked down at his leg."
"他阴郁地看看他的腿，又看看我。这样看了几次之后，他向我所在的墓碑凑近，抓住我的双臂，尽量把我的身体向后按。这样他就可以用他那咄咄逼人的目光盯着我的眼睛，而我却只能很无助地抬头看着他。","After darkly looking at his leg and me several times, he came closer to my tombstone, took me by both arms, and tilted me back as far as he could hold me; so that his eyes looked most powerfully down into mine, and mine looked most helplessly up into his."
"“现在，听我说。”他说，“问题就是我究竟让不让你活下去。你知道什么是锉刀吗？”","“Now looked here,” he said, ‘the question being whether you’re to be let to live.You know what a file is?’"
"“我知道，先生。”","“Yes, sir.”"
"“你知道什么是食物吗？”","“And you know what wittles is?”"
"“我知道，先生。”","“Yes, sir.”"
"每问一个问题，他就把我再往后按一点，好让我感到更加的无助和危险。","After each question he titled me over a little more, so as to give me a greater sense of helplessness and danger."
"“你给我弄一把锉刀来。”他又把我往后按了一下。","“You get me a file.”He tilted me again."
"“再给我弄点食物来。”他又把我往后按。“这两样东西你都要给我弄来。”他又把我往后按。“否则我就把你的心肝都挖出来。”他再一次把我往后按。","“And you get me witless.”He tilted me again.“You bring ’em both to me.”He tilted me again.“Or I’ll have your heart and liver out.”He tilted me again."
"我害怕极了，感到头晕目眩。于是我两手紧紧地抓住他，说：“请您发发慈悲，让我的身体直起来吧，先生，这样我可能就不会吐出来了，或许我就能更专心地听您说话了。”","I was dreadfully frightened, and so giddy that I clung to him with both hands, and said, “If you would kindly please to let me keep upright, sir, perhaps I shouldn’t be sick, and perhaps I could attend more.”"
"他把我使劲一推，让我滚到了地上。这样一来教堂也跳了起来，跳得比屋顶的定风针还要高。之后，他抓着我的双臂，让我直直地坐在墓碑上面，继续他那些令人恐惧的话语：“明天一早，你要给我带来锉刀和吃的。你把这些东西给我带到那边的老炮台去。你帮我办好这些事，但是不能透漏半点风声，不能留下任何痕迹，不能让人知道你曾经见到过我这个人，或见到到任何人。这样的话，我就会让你活命。如果你事情没有办成，或是有哪点和我说的不一样的话，不管是多小的差别，我都会把你的心肝挖出来，烤烤吃了。要知道，我并不是像你想的那样孤身一人。和我一起躲着的还有一个年轻人。跟他比起来，我可就是个天使了。他正在听着我说话呢。他抓小男孩，挖出他们的心肝可有一套独特的秘密法子。任何小男孩都不可能躲开这个年轻人。一个小男孩可以锁上家门，睡在暖和的床上，用被子把自己裹得严严实实的，再用衣服盖在头上。这样他或许觉得自己既舒服又安全，但是那个年轻人会轻轻地爬啊，爬啊，一直爬到小男孩的身边，然后把他撕裂。现在，我费了很大劲，不让那个年轻人来伤害你。不过我发现，很难让他一直远离你。现在，你决定怎么办？”","He gave me a most tremendous dip and roll, so that the church jumped over its own weather-cock.Then, he held me by the arms, in an upright position on the top of the stone, and went on in these fearful terms: “You bring me, tomorrow morning early, that file and them witless.You bring the lot to me, at that old Battery over yonder.You do it, and you never dare to say a word or dare to make a sign concerning your having seen such a person as me, or any person sum ever, and you shall be let to live.You fail, or you go from my words in any par tickler, no matter how small it is, and your heart and your liver shall be tore out, roasted and ate.Now, I am not alone, as you may think I am.There’s a young man hid with me, in comparison with which young man I am a Angel.That young man hears the words I speak.That young man has a secret way peculiar to himself, of getting at a boy, and at his heart, and at his liver.It is in wan for a boy to attempt to hide himself from that young man.A boy may lock his door, may be warm in bed, may tuck himself up, may draw the clothes over his head, may think he comfortable and safe, but that young man will softly creep and creep his way to him and tear him open.I am a keeping that young man from harming of you at the present moment, with great difficulty.I find it wary hard to hold that young man off of your inside.Now, what do you say?”"
"我说我会给他弄到锉刀，并且尽量给他找些吃的，哪怕是残羹剩食。第二天一早我会把东西给他送到炮台那里。","I said that I would get him the file, and I would get him what broken bits of food I could, and I would come to him at the Battery, early in the morning."
"“那么你就发誓，要是你不来，就天打雷劈。”那人说。","“Say Lord strikes you dead if you don’t!” said the man."
"我照他说的发了誓，然后他就把我从墓碑上放了下来。","I said so, and he took me down."
"“听着，”他继续说，“你要记得你答应我的事，记得那个年轻人！回家去吧！”","“Now,” he pursued, “you remember what you’ve undertook, and you remember that young man, and you get home!”"
"“晚——晚安，先生。”我支支吾吾地说。","“Goo-good night, sir,” I faltered."
"“不要再说了！”他说道，同时用目光扫视着他周边阴冷、潮湿的沼泽平地。“真希望我是只青蛙，或是一条泥鳅！”","“Much of that!” said he, glancing about him over the cold wet flat.“I wish I was a frog.Or a eel!”"
"说着，他用双臂环抱住自己抖动的身体——紧紧地抱着，仿佛要防止自己散架似的——一瘸一拐地向低矮的教堂围墙走去。我看着他离开，看着他在青青的坟堆中小心翼翼地穿过那一片片荨麻和荆棘。在我年幼的眼中，他仿佛是在躲避那些悄悄从坟墓里伸出来的手，防止它们扭住他的脚踝，把他拖进坟墓里去。","At the same time, he hugged his shuddering body in both his arms—clasping himself, as if to hold himself together—and limped towards the low church wall.As I saw him go, picking his way among the nettles, and among the brambles that bound the green mounds, he looked in my young eyes as if he were eluding the hands of the dead people, stretching up cautiously out of their graves, to get a twist upon his ankle and pull him in."
"他走到教堂低矮的围墙下，翻了过去。他的两条腿仿佛麻木了一般，僵硬无比。之后他回过头来看了看我。看到他转过了头，我立刻面向回家的方向，以最快的速度朝着家里奔去。但是，过了一会儿，我回过头，看到他又朝着河那边走去，仍旧用两臂紧抱着自己的身体，拖着疼痛的双脚，踏着放在沼泽地里的大石头上前行。那些大石头星罗棋布，是用来在下大雨或涨潮的时候当垫脚石的。","When he came to the low church wall, he got over it, like a man whose legs were numbed and stiff, and then turned round to look for me.When I saw him turning, I set my face towards home, and made the best use of my legs.But presently I looked over my shoulder, and saw him going on again towards the river, still hugging him in both arms, and picking his way with his sore feet among the great stones dropped into the marshes here and there, for stepping-places when the rains were heavy, or the tide was in."
"当我又一次停下来找寻他的身影时，沼泽地仿佛已经变成了一条又黑又长的水平线。而那条河成为了另一条水平线，虽然没有那么宽，也没有那么黑。天空则成了一排由暗红色线条和浓黑色线条交织在一起的长带子。在整个背景中，我只能依稀地分辨出在河流边上两个竖直站立的黑色的东西。一个是水手们用来掌舵的灯塔——仿佛一只脱了钩的桶被挂在杆子上——离得越近越觉得难看。另一个是绞刑架，上面悬着一些铁链，那里曾经绞死过一个海盗。那个人现在正朝着绞刑架一跛一跛地走去，仿佛他就是那个海盗，死而复生，从绞架上下来，又要重新把自己吊上去。这个想法让我觉得非常恐怖。当我看到他身后的牲畜也抬起头凝视着他时，我怀疑它们是不是也是这样想的。我又环视周围，想找到那个恐怖的年轻人，但一点迹象都没有发现。于是，我又吓得要死，一刻不停地跑回了家。","The marshes were just a long black horizontal line then, as I stopped to look after him; and the river were just another horizontal line, not nearly so broad not yet so black; and the sky was just a row of long angry red lines and dense black lines intermixed.On the edge of the river I could faintly make out the only two black things in all the prospect that seemed to be standing upright; one of these was the beacon by which the sailors steered—like an unhooked cask upon a pole—an ugly thing when you were near it; the other a gibbet, with some chains hanging to it which had once held a pirate.The man was limping on towards this latter, as if he were the pirate come to life, and come down, and going back to hook himself up again.It gave me a terrible turn when I thought so; and as I saw the cattle lifting their heads to gaze after him, I wondered whether they thought so too.I looked all round for the horrible young man, and could see no signs of him.But, now I was frightened again, and ran home without stopping."
"第二章","Chapter 2"
"我的姐姐乔·格雷戈里太太比我年长二十几岁。在邻居中，她以将我“一手”抚养大而享有盛誉。那时我就知道“一手”这个词是什么意思了。我知道她的手结实又笨重，她总是习惯把手打在她丈夫和我身上，我想我和乔·格雷戈里就是这样由她“一手”抚养大的吧。","My sister, Mrs. Joe Gregory, was more than twenty years older than I, and had established a great reputation with herself and the neighbors because she had brought me up ‘by hand’.Having at that time to find out for myself what the expression meant, and knowing her to have a hard and heavy hand, and to be much in the habit of laying it upon her husband as well as upon me, I supposed that Joe Gregory and I were both brought up by hand."
"我姐姐长得不怎么好看。我总有个印象，那就是一定是她“一手”策划好，让乔·格雷戈里娶她的。乔皮肤很白，光滑的脸颊两边留着淡黄色的卷发。他的双眼透着淡淡的蓝色，淡得几乎和眼白都混在一起，无法分辨。他性情温和、心地善良、脾气很好、十分随和。他虽然有些傻，却很讨人喜欢——他力大无比，却十分怕老婆，和赫尔克里士像极了。","She was not a good-looking woman, my sister; and I had a general impression that she must have made Joe Gregory marry her by hand.Joe was a fair man, with curls of flaxen hair on each side of his smooth face, and with eyes of such a much undecided blue that they seemed to have somehow got mixed with their own whites.He was a mild, good-natured, sweet-tempered, easy-going, foolish, dear fellow—a sort of Hercules in strength, and also in weakness."
"我的姐姐乔太太长着一头黑发，一双黑眼睛，可全身的皮肤却是红色的。我过去常常想，她可能不是用肥皂，而是用肉豆蔻擦子擦洗身体的。她身材高挑、瘦骨嶙峋的，总是系着一条粗布围裙，在她的背后打了两个节。她的胸前围了一条方方正正的围兜，上面别满了大头针和缝衣针。她每天都围着围裙，一方面把这当作自己的一大优良品质，另一方面还借此对乔大加责难。不过，我真的不明白她为什么要围着那个围裙。即使要围，我也不明白她为什么成天都围着，从不脱下来。","My sister, Mrs. Joe, with black hair and eyes, had such a prevailing redness of skin that I sometimes used to wonder whether it was possible she washed herself with a nutmeg-grater instead of soap.She was tall and bony, and almost always wore a coarse apron, fastened over her figure behind with two loops, and having a square impregnable bib in front, that was stuck full of pins and needles.She made it a powerful merit in herself, and a strong reproach against Joe, that she wore this apron so much.Though I really see no reason why she should have worn it at all: or why, if she did wear it at all, she should not have taken it off, every day of her life."
"乔的铁匠铺紧挨着我们住的房子。和那时我们村里大多数人家住的房子一样，我们家的房子也是木制结构的。当我从教堂墓地跑回家时，铁匠铺已经关门了，乔正一个人坐在厨房里。乔和我是难兄难弟，同病相怜。我们彼此坦诚相待，所以当我刚一抬起门闩，把头探进门里，看到乔坐在对面的火炉旁边时，他就告诉了我一个秘密。","Joe’s forge adjoined our house, which was a wooden house, as many of the dwellings in our country were—most of them, at that time.When I ran home from the churchyard, the forge was shut up, and Joe was sitting alone in the kitchen.Joe and I being fellow-sufferers, and having confidences as such, Joe imparted a confidence to me, the moment I raised the latch of the door and peeped in at him opposite to it, sitting in the chimney corner."
"“乔太太出去找过你十二次了，皮普。现在她又出去了，总共是十三次了。”","“Mrs. Joe has been out a dozen times, looking for you, Pip.And she’s out now, making it a baker’s dozen.”"
"“她是去找我了吗？”","“Is she?”"
"“是啊，皮普。”乔说，“更糟的是，她还带着那根胳肢棒呢。”","“Yes, Pip,” said Joe; “and what’s worse, she’s got Tickler with her.”"
"听到这个令人沮丧的情报，我不停地扭动着我背心上唯一的纽扣，极度抑郁地看着炉火。胳肢棒是一根一头涂着蜡的棒子。这根棒子经常在我身上搔痒，早就被磨得很光滑了。","At this dismal intelligence, I twisted the only button on my waistcoat round and round, and looked in great depression at the fire.Tickler was a wax-ended piece of cane, worn smooth by collision with my tickled frame."
"“她一会儿坐下，”乔说,“一会儿又站起来，之后她就抓起胳肢棒，发疯了似的冲了出去。就是这样。”乔一边说，一边用火钳慢慢地拨着火炉底层的木棒。他看着炉火说：“她就像发疯了一样地冲出去了，皮普。”","“She sat down,” said Joe, “and she got up, and she made a grab at Tickler, and she Rampaged out.That’s what she did,” said Joe, slowly clearing the fire between the lower bars with the poker, and looking at it: “she Rampaged out, Pip.”"
"“她出去很久了吗，乔？”我一贯把他看成是个身材高大一些的孩子，和我也没什么两样。","“Has she been gone long, Joe?”I always treated him as a larger species of child, and as no more than my equal."
"“是啊。”乔瞥了一眼那座荷兰大钟，说道，“她发疯了一样地冲出去了，这最后一次已经有五分钟了，皮普。她回来了！老弟，躲到门后去，用那条长毛巾盖住你自己。”","“Well,” said Joe, glancing up at the Dutch clock, “she’s been on the Rampage, this last spell, about five minutes, Pip.She’s a coming!Get behind the door, old chap, and have the jack-towel betwixt you.”"
"我按他说的做了。我的姐姐乔太太狠狠地把门推开，发现门背后有什么东西阻挡她开门，立刻就猜到了是什么，于是把胳肢棒伸了出去，想试探一下。结果便是她把我投向了乔——我总是这样被当作他们夫妻间的飞箭——而乔不论怎样都会很高兴地接住我，把我放在了火炉旁，默默地用他那健壮的腿保护着我。","I took the advice.My sister, Mrs. Joe, throwing the door wide open, and finding an obstruction behind it, immediately divined the cause, and applied Tickler to its further investigation.She concluded by throwing me—I often served as a connubial missile—at Joe, who, glad to get hold of me on any terms, passed me on into the chimney and quietly fenced me up there with his great leg."
"“你这只小野猴子，刚刚去哪里了？”乔太太边跺脚边说，“老实说你干什么去了，害得我又急又怕又担心。你要是不老实说，就算有五十个皮普，有五百个格雷戈里，我也要把你从那个角落里给拽出来。”","“Where have you been, you young monkey?” said Mrs. Joe, stamping her foot.“Tell me directly what you’ve been doing to wear me away with fret and fright and worry, or I’d have you out of that corner if you was fifty Pips, and he was five hundred Gorgers.”"
"“我只是去了教堂墓地。”我坐在凳子上说，边哭边揉着身上疼痛的地方。","“I have only been to the churchyard,” said I, from my stool, crying and rubbing myself."
"“教堂墓地！”我姐姐重复道，“要不是我，你早就去了那里啦，而且永远呆在那里回不来了啦。是谁一手把你拉扯大的？”","“Churchyard!” repeated my sister.“If it wasn’t for me you’d have been to the churchyard long ago, and stayed there.Who brought you up by hand?”"
"“是你。”我说。","“You did,” said I."
"“我想问问你，我为什么要这么做？”我姐姐喊道。","“And why did I do it, I should like to know?” exclaimed my sister."
"我呜咽着说：“我不知道。”","I whimpered, “I don’t know.”"
"“不知道！”我姐姐说，“我再也不会这么做了！我可知道。我还真要告诉你，打你一出生，我的围裙就没脱下来过。当一个铁匠的老婆（还是他，格雷戈里铁匠）已经够倒霉的了，还得当你的妈。”","“I don’t! ” said my sister.“I’d never do it again!I know that.I may truly say I’ve never had this apron of mine off, since born you were.It’s bad enough to be a blacksmith’s wife (and him a Gregory) without being your mother.”"
"我悲伤地望着炉火，思绪却早已离开了她提的那个问题。因为，沼泽地里遇到的那个腿上绑着铁链的逃犯、那个神秘的年轻人、锉刀、食物、还有我许下的那个可怕的誓言——为此我得去我寄宿的人家偷窃，所有这些都从那充满复仇之意的炉火中跳到我的面前。","My thoughts strayed from that question as I looked disconsolately at the fire.For, the fugitive out on the marshes with the ironed leg, the mysterious young man, the file, the food, and the dreadful pledge I was under to commit a larceny on those sheltering premises, rose before me in the avenging coals."
"“哈！”乔夫人说着把胳肢棒放回了原处，“教堂墓地！好啊！你们两个就好好地说教堂墓地吧。”其实，我们中有一个人根本就没有说过。“活在你们中间，你们就快要把我赶到教堂墓地了。等到那一天，噢，没有我，看你们这对，胆，胆小鬼怎么活！”","“Hah!” said Mrs. Joe, restoring Tickler to his station.“Churchyard, indeed!You may well say churchyard, you two.”One of us, by-the-bye, had not said it at all.“You’ll drive me to the churchyard betwixt you, one of these days, and oh, a pr-r-recoils pair you’d be without me!”"
"当她离开去布置茶点了之后，乔从他大腿上面偷偷地向下瞥我，好像他心里在设想着我和他自己，推测着如果她预言的悲惨情况真会发生的话，我们会变成怎样的一对。之后，他坐在那里，拨弄着自己右侧的淡黄色卷发和络腮胡，蓝色的眼睛跟随着乔太太的身影转动。每次起了风波，他总是这副模样。","As she applied herself to set the tea-things, Joe peeped down at me over his leg, as if he were mentally casting me and himself up, and calculating what kind of pair we practically should make, under the grievous circumstances foreshadowed.After that, he sat feeling his right-side flaxen curls and whisker, and following Mrs. Joe about with his blue eyes, as his manner always was at squally times."
"我姐姐给我们切黄油面包时的动作总是很麻利，而且总是一个样子。 首先，她用左手把一块面包牢牢地压在她的围兜上——有时那上面的大头针或缝衣针会扎进面包里，之后我们就会连针一起吃进嘴里。然后她在刀上涂一些黄油（不是很多），再涂到面包上。就像药剂师制做膏药一样——使用起刀子来极其敏捷，两面都不在话下。之后她根据面包壳的形状，修去多余的黄油。然后，她用刀子在“膏药”的边缘处进行最后的细致修整。最后，从整块面包上锯下很厚的一片，在这片和整块面包分离之前，将其一劈两半，乔一半，我一半。","My sister had a trenchant way of cutting our bread-and-butter for us that never varied.First, with her left hand she jammed the loaf hard and fast against her bib—where it sometimes got a pin into it, and sometimes a needle, which we afterwards got into our mouths.Then she took some butter (not too much) on a knife and spread it on the loaf, in an apothecary kind of way, as if she were making a plaster—using both sides of the knife with a slapping dexterity, and trimming and molding the butter off round the crust.Then, she gave the knife a final smart wipe on the edge of the plaster, and then sawed a very thick round off the loaf: which she finally, before separating from the loaf, hewed into two halves, of which Joe got one, and I the other."
"在目前的情况下，虽然我很饿，却不敢吃我的那一片。我觉得我必须留一些给我那个恐怖的朋友吃，还有他的同伴——那个更恐怖的年轻人。我知道乔太太的持家风格是最严谨的。我若是想从食柜里偷到些什么，是不可能的。于是我决定把我那一大片黄油面包片放在我的裤腿里。","On the present occasion, though I was hungry, I dared not eat my slice.I felt that I must have something in reserve for my dreadful acquaintance, and his ally the still more dreadful young man.I knew Mrs. Joe’s housekeeping to be of the strictest kind, and that my larcenous researches might find nothing available in the safe.Therefore I resolved to put my hunk of bread-and-butter down the leg of my trousers."
"我发现很难下足够的决心来完成这一想法。这就仿佛是我要下定决心从一个很高的屋顶上往下跳，或是跳进很深的水中一样。而更难的是乔对此事毫无察觉。前面我提到过我们是一对同病相怜的难兄难弟，他也总是很友好地和我相处。晚上我们有个习惯，那就是比较一下我们吃面包的速度。我们会时不时地悄悄举起各自的面包，并相互赞许——这样就会鼓励我们继续地啃下去。今晚，乔曾几次向我展示他那快速吃剩下的小块面包，对我发出邀请，进行我们例行的友好比赛。但他却每次都发现我一只膝盖上放着那个黄色的茶杯，另一只膝盖上放着我没动过的黄油面包。最后，我痛下决心，认为我考虑的事情必须得完成，而且要完成得神不知鬼不觉才好。我抓住了乔刚刚把视线从我身上移开的那一刻，把黄油面包扔进了裤腿。","The effort of resolution necessary to the achievement of this purpose, I found to be quite awful.It was as if I had to make up my mind to leap from the top of a high house, or plunge into a great depth of water.And it was made the more difficult by the unconscious Joe.In our already-mentioned freemasonry as fellow-sufferers, and in his good-natured companionship with me, it was our evening habit to compare the way we bit through out slices, by silently holding them up to each other’s admiration now and then—which stimulated us to new exertions.Tonight, Joe several times invited me, by the display of his fast-diminishing slice, to enter upon our usual friendly competition; but he found me, each time, with my yellow mug of tea on one knee, and my untouched bread-and-butter on the other.At last, I desperately considered that the thing I contemplated must be done, and that it had best be done in the least improbable manner consistent with the circumstances.I took advantage of a moment when Joe had just looked at me, and got my bread-and-butter down my leg."
"乔显得不太自在，因为他以为我食欲不振。他若有所思地咬了一小口面包，却并不怎么起劲。他咬下的这口面包在嘴里咀嚼的时间比平常都要久。他一边嚼一边想心事，最后像吞药丸一样一口吞了下去。当他正要咬第二口，而且把头歪向一边，找准了下口的位置时，他的目光落在了我的身上，发现我的黄油面包不翼而飞了。","Joe was evidently made uncomfortable by what he supposed to be my loss of appetite, and took a thoughtful bite out of his slice, which he didn’t seem to enjoy.He turned it about in his mouth much longer than usual, pondering over it a good deal, and after all gulped it down like a pill.He was about to take another bite, and had just got his head on one side for a good purchase on it, when his eye fell on me, and he saw that my bread-and-butter was gone."
"乔刚一咬就停住了，瞪着我，满脸的惊异和惶恐。这表情太明显了，怎能逃过我姐姐的观察。","The wonder and consternation with which Joe stopped on the threshold of his bite and stared at me, was too evident to escape my sister’s observation."
"“出什么事了？”她机敏地说道，同时放下了手中的茶杯。","“What’s the matter now?” said she, smartly, as she put down her cup."
"“我说，你可是知道的！”乔低声说，他冲我摇着脑袋，很严肃地抗议着，“皮普，老弟！你这样会让自己难受的。会卡住的。你不能直接吞下去的，皮普。”","“I say, you know!” muttered Joe, shaking his head at me in very serious remonstrance.“Pip, old chap!You’ll do yourself a mischief.It’ll stick somewhere.You can’t have chewed it, Pip.”"
"“到底发生什么事了？”我姐姐用更尖锐的声音重新问了一遍。","“What’s the matter now?” repeated my sister, more sharply than before."
"“如果你能咳一点出来的话，皮普，我劝你还是试试。”乔不知所措地说道，“礼仪固然是礼仪，可身体是你自己的啊。”","“If you can cough any trifle on it up, Pip, I’d recommend you to do it,” said Joe, all aghast.“Manners are manners, but still your elth’s your elth.”"
