"第一章 矛盾的信件","CHAPTER I CONTRADICTORY LETTERS"
"这里很多家庭世世代代都生活在这古老的阿伯福伊尔煤矿，现在他们被迫即将去别处谋生计；他们正伤感地等着与工程师道别。","Many of these families had existed for generations in the mine of old Aberfoyle; they were now driven to seek the means of subsistence elsewhere, and they waited sadly to bid farewell to the engineer."
"詹姆斯·斯塔尔笔直地站在大工棚的门口，他数年来就是在这里监管着矿井里那些大功率的机器。多查特矿的工头西蒙·福特那时五十五岁，和其他经理及工头们一道围在斯塔尔身边。詹姆斯·斯塔尔摘下帽子。矿工们手拿帽子，一直鸦雀无声。这离别的场景很感人，又不失庄重。","James Starr stood upright, at the door of the vast shed in which he had for so many years superintended the powerful machines of the shaft.Simon Ford, the foreman of the Dochart pit, then fifty-five years of age, and other managers and overseers, surrounded him.James Starr took off his hat.The miners, cap in hand, kept a profound silence.This farewell scene was of a touching character, not wanting in grandeur."
"“我的朋友们，”工程师说，“我们分别的时刻到了。阿伯福伊尔煤矿多年来将我们聚在一起，使我们共同从事这项普通的工作，如今煤矿已被开采殆尽了。我们所有的研究探测都没有发现新的矿脉，而最后一块煤也刚从多查特矿中开采出来了。”为了证明自己的话，詹姆斯·斯塔尔指了指放在筐子底部的那块煤。","“My friends,” said the engineer, “the time has come for us to separate.The Aberfoyle mines, which for so many years have united us in a common work, are now exhausted.All our researches have not led to the discovery of a new vein, and the last block of coal has just been extracted from the Dochart pit.”And in confirmation of his words, James Starr pointed to a lump of coal which had been kept at the bottom of a basket."
"“这块煤，我的朋友们，”詹姆斯·斯塔尔继续说道，“就像流淌在矿脉中的最后一滴血！我们将保存它，正如我们保存一百五十年前从阿伯福伊尔矿区采出的第一块煤屑那样。在第一块煤到这最后一块煤之间，有多少代工人在我们煤矿里前赴后继！此刻，一切都终结了！你们的工程师最后要向你们说的就是道别的话。你们曾经生活过的这个煤矿，已经在你们手中被挖空了。工作曾是艰难的，但对你们来说也并非没有收益。我们这个大家庭得散了，各奔东西的成员将来也不可能重聚在一起了。但请不要忘记，我们曾在一起生活了这么长时间；也不要忘记，相互扶持是每一个阿伯福伊尔矿工的责任。你们的前任工头们也不会忘记你们的。","“This piece of coal, my friends,” resumed James Starr, “is like the last drop of blood which has flowed through the veins of the mine!We shall keep it, as the first fragment of coal is kept, which was extracted a hundred and fifty years ago from the bearings of Aberfoyle.Between these two pieces, how many generations of workmen have succeeded each other in our pits!Now, it is over!The last words which your engineer will address to you are a farewell.You have lived in this mine, which your hands have emptied.The work has been hard, but not without profit for you.Our great family must disperse, and it is not probable that the future will ever again unite the scattered members.But do not forget that we have lived together for a long time, and that it will be the duty of the miners of Aberfoyle to help each other.Your old masters will not forget you either."
"曾在一起工作过的人们，是绝不会再视彼此为陌生人的。","When men have worked together, they must never be stranger to each other again."
"我们将关注着你们，无论你们到哪儿，我们都会一直推荐你们。再见了，我的朋友们，愿上苍与你们同在！”","We shall keep our eye on you, and wherever you go, our recommendations shall follow you.Farewell then, my friends, and may Heaven be with you!”"
"说完后，詹姆斯·斯塔尔紧紧握住最年长的矿工那粗糙的双手，老矿工的眼里因噙满泪水而视线模糊。随后，各个矿井的工头们上前与工程师握手；同时，矿工们挥动着他们的帽子，叫喊道，“再见了，詹姆斯·斯塔尔，我们的头儿！我们的朋友！”","So saying, James Starr wrung the horny hand of the oldest miner, whose eyes were dim with tears.Then the overmen of the different pits came forward to shake hands with him, whilst the miners waved their caps, shouting, “Farewell, James Starr, our master and our friend!”"
"这场离别将在所有这些人真诚的心里留下永久的回忆。人们缓慢而伤感地离开了院子。在通向多查特矿井的黑土路上，最后一次回响起矿工们行走的脚步声。那时阿伯福伊尔煤矿还是一派喧嚣景象，之后便沉寂了。","This farewell would leave a lasting remembrance in all these honest hearts.Slowly and sadly the population quitted the yard.The black soil of the roads leading to the Dochart pit resounded for the last time to the tread of miners’ feet, and silence succeeded to the bustling life which had till then filled the Aberfoyle mines."
"唯有一个人仍然留在詹姆斯·斯塔尔身边。这个人就是工头西蒙·福特。西蒙身旁站着一个男孩，大约十五岁，已经受雇在井下干了好几年了。","One man alone remained by James Starr.This was the overman, Simon Ford.Near him stood a boy, about fifteen years of age, who for some years already had been employed down below."
"詹姆斯·斯塔尔和西蒙·福特彼此十分熟悉，相互敬重。“再见了，西蒙。”工程师说道。","James Starr and Simon Ford knew and esteemed each other well.“Good-by, Simon,” said the engineer."
"“再见了，斯塔尔先生，”工头回答道，“让我加上一句——直到我们再次见面！”","“Good-by, Mr. Starr,” replied the overman, “let me add, till we meet again!”"
"“是的，直到我们再次见面。福特！”詹姆斯·斯塔尔回答道，“您知道，我将永远会为能见到您，并与您谈论昔日时光而感到高兴。”","“Yes, till we meet again.Ford!” answered James Starr.“You know that I shall be always glad to see you, and talk over old times.”"
"“我知道，斯塔尔先生。”","“I know that, Mr. Starr.”"
"“我在爱丁堡的家永远为您开放。”","“My house in Edinburgh is always open to you.”"
"“爱丁堡啊，离得太远了！”工头摇着头回答道，“啊，离多查特矿井太远了。”","“It’s a long way off, is Edinburgh!” answered the man shaking his head.“Ay, a long way from the Dochart pit.”"
"“太远了吗，西蒙？您打算住在哪儿？”","“A long way, Simon?Where do you mean to live?”"
"“就在这儿，斯塔尔先生！我们不打算离开煤矿，我们善良的老乳母，我们不会仅仅因为她的乳汁枯竭了就离开她！我的妻子、我的儿子和我，我们将会继续忠实于她！”","“Even here, Mr. Starr!We’re not going to leave the mine, our good old nurse, just because her milk is dried up!My wife, my boy, and myself, we mean to remain faithful to her!”"
"“那再见了，西蒙。”工程师回答道，他的声音不由自主地流露出些许激动。","“Good-by then, Simon,” replied the engineer, whose voice, in spite of himself, betrayed some emotion."
"“不，我对您说，我的意思是直到我们再次见面，斯塔尔先生，并不只是‘再见’，”工头回答道，“记住我的话，阿伯福伊尔会再次见到您的！”","“No, I tell you, it’s till we meet again, Mr. Starr, and not just ‘good-by,’” returned the foreman.“Mark my words, Aberfoyle will see you again!”"
"工程师不想驱散工头的幻想。他拍了拍哈里的头，再次紧紧握了握哈里父亲的手，然后离开了煤矿。","The engineer did not try to dispel the man’s illusion.He patted Harry’s head, again wrung the father’s hand, and left the mine."
"所有这些都发生在十年前；然而，尽管工头曾表达过要再次见到他的愿望，但在那期间，斯塔尔却从未听到过他的任何消息。分别十年后，他收到了这封来自西蒙·福特的信，要求他立即启程前往旧阿伯福伊尔煤矿。","All this had taken place ten years ago; but, notwithstanding the wish which the overman had expressed to see him again, during that time Starr had heard nothing of him.It was after ten years of separation that he got this letter from Simon Ford, requesting him to take without delay the road to the old Aberfoyle colliery."
"一则有趣的信息，那会是什么呢？多查特矿井。亚罗井！这些过去的名字唤起了他对昔日的无穷回忆！是的，那是一段美好的时光，是工作的时光，是战斗的时光——是工程师一生中最美好的时光。斯塔尔重读了西蒙的来信。他反复斟酌了信里所有的信息。他很惋惜，西蒙一行字也没多写。他希望西蒙不要如此惜字如金。","A communication of an interesting nature, what could it be?Dochart pit.Yarrow shaft!What recollections of the past these names brought back to him!Yes, that was a fine time, that of work, of struggle,—the best part of the engineer’s life.Starr re-read his letter.He pondered over it in all its bearings.He much regretted that just a line more had not been added by Ford.He wished he had not been quite so laconic."
"有可能是老工头已经发现了某个新矿脉吗？不会！斯塔尔记得，在确定终止工程前，煤矿曾被非常细致入微地勘探过。他曾亲自探测过最底层，向各个方向进行了挖掘，也没在土壤中发现丝毫煤的踪迹。他们甚至试图在那些通常处于煤层之下的地层中寻找，如泥盆纪的红砂岩，却毫无所获。所以，詹姆斯·斯塔尔断定煤矿里一块煤也不会再有了，便遗弃了它。“不可能，”他重复道，“不可能！怎么可能会有任何东西能逃脱我的搜寻，而被西蒙·福特发现了呢？但是，老工头必定清楚，这一发现会是这世上唯一令我感兴趣的东西，并且这个让我务必保密的邀请是让我回去修复多查特矿井！”詹姆斯·斯塔尔总是回到这一点上。","Was it possible that the old foreman had discovered some new vein?No!Starr remembered with what minute care the mines had been explored before the definite cessation of the works.He had himself proceeded to the lowest soundings without finding the least trace in the soil, burrowed in every direction.They had even attempted to find coal under strata which are usually below it, such as the Devonian red sandstone, but without result.James Starr had therefore abandoned the mine with the absolute conviction that it did not contain another bit of coal.“No,” he repeated, “no!How is it possible that anything which could have escaped my researches, should be revealed to those of Simon Ford.However, the old overman must well know that such a discovery would be the one thing in the world to interest me, and this invitation, which I must keep secret, to repair to the Dochart pit!”James Starr always came back to that."
"另一方面，工程师知道福特是个聪明的矿工，对他的职业尤其拥有敏锐的直觉。自从阿伯福伊尔煤矿被遗弃后，他就再也没见过福特，不知道福特现在在做些什么，也不知道福特和他的妻儿住在哪儿。现在，他所知道的全部信息是，在亚罗井已为他安排了一个约会，并且西蒙·福特的儿子哈里明天将在卡伦德站全天恭候着他。“我得去，我得去！”斯塔尔说道，时间越近，他便越发激动。","On the other hand, the engineer knew Ford to be a clever miner, peculiarly endowed with the instinct of his trade.He had not seen him since the time when the Aberfoyle colliery was abandoned, and did not know either what he was doing or where he was living, with his wife and his son.All that he now knew was, that a rendezvous had been appointed him at the Yarrow shaft, and that Harry, Simon Ford’s son, was to wait for him during the whole of the next day at the Callander station.“I shall go, I shall go!” said Starr, his excitement increasing as the time drew near."
"我们这位受人敬仰的工程师属于这样一类人，他们的脑袋总是十分活跃，就像旺火上的水壶那样。在有些人那类似水壶的脑袋里，各种念头高速沸腾着；而在另一部分人的脑袋里，它们只是慢慢煨着。如今，就在这天，詹姆斯·斯塔尔的念头正高速沸腾翻滚。","Our worthy engineer belonged to that class of men whose brain is always on the boil, like a kettle on a hot fire.In some of these brain kettles the ideas bubble over, in others they just simmer quietly.Now on this day, James Starr’s ideas were boiling fast."
"但突然间，一件意料之外的事情发生了。这像是一滴冷水，瞬间冷凝住工程师脑袋里所有的水蒸汽。大约在傍晚六点，斯塔尔的仆人第三次去取信时，带给他当天的第二封信。这封信装在一个粗陋的信封里，很明显是出自一个不习惯写字的人之手。詹姆斯·斯塔尔撕开了信封。信封里面只有一张因年久而发黄的小纸片，显然是从一本旧抄写本上撕下来的。","But suddenly an unexpected incident occurred.This was the drop of coldwater, which in a moment was to condense all the vapors of the brain.About six in the evening, by the third post, Starr’s servant brought him a second letter.This letter was enclosed in a coarse envelope, and evidently directed by a hand unaccustomed to the use of a pen.James Starr tore it open.It contained only a scrap of paper, yellowed by time, and apparently torn out of an old copy book."
"在这张纸片上只写了这样一句话：“工程师詹姆斯·斯塔尔没必要劳心费神，因为西蒙·福特的信如今已没有意义了。”","On this paper was written a single sentence, thus worded: “It is useless for the engineer James Starr to trouble himself, Simon Ford’s letter being now without object.”"
"没有落款。","No signature."
"第二章　在路上","CHAPTER II ON THE ROAD"
"当詹姆斯·斯塔尔收到跟第一封信相矛盾的这第二封信时，他的那些念头陡然间止住了。","The course of James Starr’s ideas was abruptly stopped, when he got this second letter contradicting the first."
"“这是什么意思？”他自言自语道。他拿起撕开的信封检查起来。和另一封信一样，这封信也盖着阿伯福伊尔的邮戳。所以，信是从斯特林郡的同一个地方寄出的。显然信不是老矿工写的。但同样明显的是，这第二封信的作者知道工头的秘密，因为第二封信的内容明显与第一封信邀请工程师前往亚罗井相矛盾。","“What does this mean?”said he to himself.He took up the torn envelope, and examined it.Like the other, it bore the Aberfoyle postmark.It had therefore come from the same part of the county of Stirling.The old miner had evidently not written it.But, no less evidently, the author of this second letter knew the overman’s secret, since it expressly contradicted the invitation to the engineer to go to the Yarrow shaft."
"第一则信息现在真的没有意义了吗？是有人想阻止詹姆斯·斯塔尔为无谓的事劳心费神，还是另有所图？会不会是出于要阻碍福特计划的险恶意图呢？","Was it really true that the first communication was now without object?Did someone wish to prevent James Starr from troubling himself either uselessly or otherwise?Might there not be rather a malevolent intention to thwart Ford’s plans?"
"这是詹姆斯·斯塔尔深思熟虑后得出的结论。这两封信的矛盾之处不料却激发了他，他更渴望前去多查特矿了。再说，如果这归根到底只是场骗局，那也值得去证实一下。斯塔尔还认为，选择相信第一封信比相信第二封更加明智；换言之，相信西蒙·福特这个人的邀请比相信匿名反驳者的警告要更为明智。","This was the conclusion at which James Starr arrived, after mature reflection.The contradiction which existed between the two letters only wrought in him a more keen desire to visit the Dochart pit.And besides, if after all it was a hoax, it was well worth while to prove it.Starr also thought it wiser to give more credence to the first letter than to the second; that is to say, to the request of such a man as Simon Ford, rather than to the warning of his anonymous contradictor."
"“事实上，”他说道，“有人竭力想左右我的决定，这正表明了福特的信息一定很重要。明天，我一定会按照约定的时间赴约。”","“Indeed,” said he, “the fact of anyone endeavoring to influence my resolution, shows that Ford’s communication must be of great importance.To-morrow, at the appointed time, I shall be at the rendezvous.”"
"晚上，斯塔尔做好了出发的准备。由于他此行可能会耽搁几天，他便写信告知皇家科学研究所的主席W. 埃尔菲斯顿爵士，他将无法出席协会的下一次会议。他还写信推掉了这周早已定好的两三个约会。随后，他吩咐他的仆人打包旅行袋，然后便上了床。他很兴奋，兴奋程度可能更甚于这件事原本应给人带来的激动。","In the evening, Starr made his preparations for departure.As it might happen that his absence would be prolonged for some days, he wrote to Sir W. Elphiston, president of the Royal Institution, that he should be unable to be present at the next meeting of the Society. He also wrote to excuse himself from two or three engagements which he had made for the week.Then, having ordered his servant to pack a traveling bag, he went to bed, more excited than the affair perhaps warranted."
"翌日五点，詹姆斯·斯塔尔跳下床；由于正下着冷雨，他穿得暖暖的，然后离开了他在坎农格特的家，前往格兰顿码头搭乘轮船。轮船会在三小时后把他从福斯送到斯特林。","The next day, at five o’clock, James Starr jumped out of bed, dressed himself warmly, for a cold rain was falling, and left his house in the Canongate, to go to Granton Pier to catch the steamer, which in three hours would take him up the Forth as far as Stirling."
"也许这是他人生中第一次在经过坎农格特时没有回头瞧瞧霍利鲁德宫——这座苏格兰前任统治者的宫殿。他没有注意到那些站在宫殿门口的哨兵，他们身着苏格兰高地兵团制服——苏格兰格呢短褶裙、毛呢长披肩，还有系于短裙前的毛皮袋。他满脑子想的都是即将要到达卡伦德，哈里·福特应该正在那儿恭候着他。","For the first time in his life, perhaps, in passing along the Canongate, he did not turn to look at Holyrood, the palace of the former sovereigns of Scotland.He did not notice the sentinels who stood before its gateways, dressed in the uniform of their Highland regiment, tartan kilt, plaid and sporran complete.His whole thought was to reach Callander where Harry Ford was supposedly awaiting him."
"为了更好地理解这个故事，我们不妨来听听煤的起源。在地质时期，地球椭球体仍在形成的过程之中，厚厚的大气层包围着它，大气层中充满了水蒸汽，并富含碳酸。蒸汽逐渐冷凝形成洪积似的暴雨，暴雨就像是从成千上万的碳酸水瓶瓶颈中喷洒出来的那样倾泻而下。这种富含碳酸的液体汇成湍流，流过深层的软土，使得软土形态或突然或缓慢地发生了变化；由于同时受到地球内部热量和太阳热量的影响，而这两种热量的影响又势均力敌，它始终保持着半流体的形态。然而，地球内部的热量从未被积聚到地心。地壳稀薄且未完全变硬，热量得以从其中的孔隙中散发出来。这样就形成了一种奇特的植被形态，就像在金星或水星那些内行星的表层形成的植被形态一样。在我们的星系中，这些内行星绕发光的太阳运行，比地球距离太阳更近。","The better to understand this narrative, it will be as well to hear a few words on the origin of coal.During the geological epoch, when the terrestrial spheroid was still in course of formation, a thick atmosphere surrounded it, saturated with watery vapors, and copiously impregnated with carbonic acid.The vapors gradually condensed in diluvial rains, which fell as if they had leapt from the necks of thousands of millions of seltzer water bottles.This liquid, loaded with carbonic acid, rushed in torrents over a deep soft soil, subject to sudden or slow alterations of form, and maintained in its semi-fluid state as much by the heat of the sun as by the fires of the interior mass.The internal heat had not as yet been collected in the center of the globe.The terrestrial crust, thin and incompletely hardened, allowed it to spread through its pores.This caused a peculiar form of vegetation, such as is probably produced on the surface of the inferior planets, Venus or Mercury, which revolve nearer than our earth around the radiant sun of our system."
"陆地的土壤上覆盖着广阔的森林。十分适合植物王国发展壮大的碳酸大量存在着。这些树的树根淹没在一种巨大的咸水湖里；淡水或咸水不断注入湖里，使湖水总是满满的。它们一点一点地从大气中析出碳元素，并急切地吸收，尽管碳元素并不适宜生命的运行；或者可以这么说，它们注定了要在地球深处以煤的形态储存碳元素。","The soil of the continents was covered with immense forests.Carbonic acid, so suitable for the development of the vegetable kingdom, abounded.The feet of these trees were drowned in a sort of immense lagoon, kept continually full by currents of fresh and salt waters.They eagerly assimilated to themselves the carbon which they, little by little, extracted from the atmosphere, as yet unfit for the function of life, and it may be said that they were destined to store it, in the form of coal, in the very bowels of the earth."
"那时是地震周期，地球内部的波动引起地震，而地震又会突然间改变尚不稳定的地表特征。这里隆起变成了高山，那里陷落形成了深渊，又被填为大洋或大海。在那里，整片森林下陷，穿过地壳落到不稳定的地层之下。它们找到一个可依托之所之后，如花岗岩构成的原始岩床，方才停止下陷；或者，它们聚成一堆，形成一块固体。","It was the earthquake period, caused by internal convulsions, which suddenly modified the unsettled features of the terrestrial surface.Here, an intumescence which was to become a mountain, there, an abyss which was to be filled with an ocean or a sea.There, whole forests sunk through the earth’s crust, below the unfixed strata, either until they found a resting-place, such as the primitive bed of granitic rock, or, settling together in a heap, they formed a solid mass."
"就像水流不会停留在河床，而是流向地球各处一样，它们也冲向想去的地方，同时还从几乎没有成形的岩石上扯走形成片岩、砂岩以及石灰岩的材质。这些流动的材质载着下陷后现已富含泥煤的森林移动，并在它们上面沉淀，形成覆于煤层之上的岩石成分。最终，历经数百万年的岁月，这些土壤层层变硬，把整片森林封闭在由圆砾岩、片岩、致密或易碎的砂岩、砂砾以及石块所构成的厚实外壳之下。","As the waters were contained in no bed, and were spread over every part of the globe, they rushed where they liked, tearing from the scarcely-formed rocks material with which to compose schists, sandstones, and limestones.This the roving waves bore over the submerged and now peaty forests, and deposited above them the elements of rocks which were to superpose the coal strata.In course of time, periods of which include millions of years, these earths hardened in layers, and enclosed under a thick carapace of pudding-stone, schist, compact or friable sandstone, gravel and stones, the whole of the massive forests."
"所有的植物材料都积聚起来，沉降在不同深处。在这个巨大的熔炉里上演着什么呢？一项常规的化学操作，一种蒸馏作用。这些植物里所含的碳全都已经聚集成块，在巨大的压力和地球内部热量产生的高温的双重作用下，煤开始一点一点地形成，在当时已经非常接近煤的形态。","And what went on in this gigantic crucible, where all this vegetable matter had accumulated, sunk to various depths?A regular chemical operation, a sort of distillation.All the carbon contained in these vegetables had agglomerated, and little by little coal was forming under the double influence of enormous pressure and the high temperature maintained by the internal fires, at this time so close to it."
"就在这种缓慢但无法抑制的反应中，一个王国取代了另一个王国。植物转变成了矿物。各种植物最初均以充满活力的植物生命形态存在，而今都被石化了。一些物质被封闭在这本巨大的草本植物志中，在其他矿化速度更快的物质上留下了它们的痕迹，就像是有一种无法估量的液压作用在其之上。","Thus there was one kingdom substituted for another in this slow but irresistible reaction.The vegetable was transformed into a mineral.Plants which had lived the vegetative life in all the vigor of first creation became petrified.Some of the substances enclosed in this vast herbal left their impression on the other more rapidly mineralized products, which pressed them as an hydraulic press of incalculable power would have done."
"这样，同样被水带走的贝壳、植物状的海洋动物、海星、水螅体、石燕，甚至鱼和蜥蜴，也在尚还柔软的煤上留下了它们清晰的印模，“令人惊叹的痕迹”。","Thus also shells, zoophytes, star-fish, polypi, spirifores, even fish and lizards brought by the water, left on the yet soft coal their exact likeness, “admirably taken off.”"
"在含碳层的形成过程中，压力似乎起着至关重要的作用。事实上，在不同的压力程度下会产生工业中所使用的不同种类的煤。这样，在最底层煤床里出产的是无烟煤，这种煤几乎已不含易挥发的物质，且含碳量最高。与之相反，在较高层的煤床里挖掘出的是褐煤和木化石，这些物质的含碳量极低。在这两个煤床之间，根据它们所受到的不同压力程度，会挖掘出石墨矿脉以及肥煤或贫煤。或许可以断言，由于缺少足够的压力，富含泥煤的沼层并没有完全转变成煤。所以，在地球上任何地方发现的煤矿，它的起源都是如此：地质时期大片森林陷入到地壳之下；然后，受到压力和热量的影响，并在碳酸的作用之下，植物最终得以在此时期矿化。","Pressure seems to have played a considerable part in the formation of carboniferous strata.In fact, it is to its degree of power that are due the different sorts of coal, of which industry makes use.Thus in the lowest layers of the coal ground appears the anthracite, which, being almost destitute of volatile matter, contains the greatest quantity of carbon.In the higher beds are found, on the contrary, lignite and fossil wood, substances in which the quantity of carbon is infinitely less.Between these two beds, according to the degree of pressure to which they have been subjected, are found veins of graphite and rich or poor coal.It may be asserted that it is for want of sufficient pressure that beds of peaty bog have not been completely changed into coal.So then, the origin of coal mines, in whatever part of the globe they have been discovered, is this: the absorption through the terrestrial crust of the great forests of the geological period; then, the mineralization of the vegetables obtained in the course of time, under the influence of pressure and heat, and under the action of carbonic acid."
"如今，在这个故事所发生的年代，苏格兰煤床中一些最重要的煤矿早已因过快的开采而枯竭了。阿伯福伊尔煤矿就位于从爱丁堡延伸至格拉斯哥的这片土地之下，绵延十到十二英里。工程师詹姆斯·斯塔尔曾有很长一段时间在这里指导工程。这些煤矿已经被遗弃了十年。尽管探测已经进行到地下1500英尺的地方，甚至深入到2000英尺之处，人们也未曾发现任何新煤层，在詹姆斯·斯塔尔离任时，他确信纵使是最小的矿脉也已完全枯竭了。","Now, at the time when the events related in this story took place, some of the most important mines of the Scottish coal beds had been exhausted by too rapid working.In the region which extends between Edinburgh and Glasgow, for a distance of ten or twelve miles, lay the Aberfoyle colliery, of which the engineer, James Starr, had so long directed the works.For ten years these mines had been abandoned.No new seams had been discovered, although the soundings had been carried to a depth of fifteen hundred or even of two thousand feet, and when James Starr had retired, it was with the full conviction that even the smallest vein had been completely exhausted."
