"狮子、熊和狐狸","The Lion, the Bear, and the Fox "
"老鼠和公牛","The Mouse and the Bull "
"一头公牛被老鼠咬了一口。伤口令公牛气愤不已，于是公牛便尽力去逮老鼠。但老鼠却安然无恙地逃回到了自己的洞里。尽管公牛用犄角拱进了墙壁，可还没等拱到老鼠，他就累得趴下了，在洞口外睡着了。这时，老鼠探头出来，鬼鬼祟祟地爬到公牛的胁腹，又咬了他一口，然后撤回到自己的洞里。公牛跳了起来，不知如何是好，又是伤心，又是困惑不解。这时，老鼠说道：“庞然大物未必总能战无不胜。有些时候，弱小者和卑微者最善于招惹是非。”","A Bull was bitten by a Mouse and, angered by the wound, tried to capture him.But the Mouse reached his hole in safety.Though the Bull dug into the walls with his horns, he tired before he could rout out the Mouse, and crouching down, went to sleep outside the hole.The Mouse peeped out, crept furtively up his flank, and again biting him, retreated to his hole.The Bull rising up, and not knowing what to do, was sadly perplexed. At which the Mouse said, “The great do not always prevail.There are times when the small and lowly are the strongest to do mischief.”"
"狮子和野兔","The Lion and the Hare "
"一头狮子无意中发现了一只熟睡的野兔。正当狮子想要去抓野兔时，一只年轻力壮的雄鹿跑了过去。于是，狮子丢下野兔，去追雄鹿了。这只野兔被追逐声惊醒，飞奔而去了。狮子追了很长时间也没能捉到那只雄鹿，于是它折回来想去吃野兔。狮子发现野兔也没影了，说道：“我真是自作自受，为了有机会获得更多，竟把到手的猎物给放跑了。”","A Lion came across a Hare, who was fast asleep.He was just in the act of seizing her, when a fine young Hart trotted by, and he left the Hare to follow him.The Hare, scared by the noise, awoke and scudded away.The Lion was unable after a long chase to catch the Hart, and returned to feed upon the Hare.On finding that the Hare also had run off, he said, “I am rightly served, for having let go of the food that I had in my hand for the chance of obtaining more.”"
"农夫和老鹰","The Peasant and the Eagle "
"一位农夫发现一只老鹰被困在了陷阱里，出于对老鹰的无比崇敬，农夫救了它。对自己的救命恩人，老鹰并没有忘恩负义。它看到农夫坐在一堵危墙下，便朝农夫飞去，用自己的爪子从农夫头上抓起了一个包袱。等农夫站起身去追时，老鹰又把包袱丢还给了他。农夫捡起包袱，回到刚刚就坐的墙脚，发现那堵墙已经塌了；农夫对老鹰的帮助惊叹不已。","A Peasant found an Eagle captured in a trap, and much admiring the bird, set him free.The Eagle did not prove ungrateful to his deliverer, for seeing the Peasant sitting under a wall which was not safe, he flew toward him and with his talons snatched a bundle from his head.When the Peasant rose in pursuit, the Eagle let the bundle fall again.Taking it up, the man returned to the same place, to find that the wall under which he had been sitting had fallen to pieces; and he marveled at the service rendered him by the Eagle."
"墨丘利神木像和木匠","The Image of Mercury and the Carpenter "
"一个很穷的木匠有一尊木制的墨丘利神像。他每天都在神像前供奉祭拜，恳求神像让自己变得富有。但是，尽管如此祈求，他却变得越来越穷了。最后，暴怒之下，木匠将神像从其底座上拿下来，然后把它猛摔向墙。结果，神像的头被撞掉了，从里面流出了一股金沙。木匠赶紧捧起金沙，说道：“哎呀，我觉得你完全是自相矛盾、不可理喻嘛；我尊敬你时，一无所获，如今我虐待你，你倒给我一大笔财富。”","A very poor man, a Carpenter by trade, had a wooden image of Mercury, before which he made offerings day by day, and begged the idol to make him rich, but in spite of his entreaties he became poorer and poorer.At last, being very angry, he took his image down from its pedestal and dashed it against the wall. When its head was knocked off, out came a stream of gold, which the Carpenter quickly picked up and said, “Well, I think thou art altogether contradictory and unreasonable; for when I paid you honor, I reaped no benefits: but now that I maltreat you I am loaded with an abundance of riches.”"
"公牛和山羊","The Bull and the Goat "
"一头公牛，为了逃脱狮子的魔爪，躲进了一个山洞里。这个山洞最近被一些牧羊人占用了。公牛刚一进山洞，一只留守在洞中的公山羊就用犄角向公牛发起了猛攻。公牛平静地对公山羊说：“尽管用你的角顶我吧。我一点儿也不怕你，我害怕的是狮子。等那怪物走开，我马上就会让你知道一只山羊和一头公牛在力量上孰高孰低。”","A Bull, escaping from a Lion, hid in a cave which some shepherds had recently occupied.As soon as he entered, a He-Goat left in the cave sharply attacked him with his horns.The Bull quietly addressed him: “Butt away as much as you will.I have no fear of you, but of the Lion.Let that monster go away and I will soon let you know what is the respective strength of a Goat and a Bull.”"
"友人遭遇不幸时落井下石是品行恶劣的表现。","It shows an evil disposition to take advantage of a friend in distress."
"跳舞的猴子们","The Dancing Monkeys "
"有个王子训练了好几只猴子学跳舞。猴子天生就极会模仿人类的动作，以此显示自己是最聪明的学徒；当给它们穿上华丽的衣服，戴上各色面具时，它们就会手舞足蹈，跳得简直可以和朝中任何一位大臣相媲美。猴子们的表演常赢来阵阵热烈的掌声。直到有一次，一位大臣一心想搞恶作剧，便从他的口袋里掏出一把坚果扔到了舞台上。猴子们一看到坚果就忘记自己在跳舞了，重又恢复了猴子的本性（它们本来就是），不表演了。猴子们扯下面具，撕破长袍，互相为争夺坚果打起架来。于是，舞蹈表演便在观众的笑声和嘲弄声中落幕了。","A prince had some Monkeys trained to dance.Being naturally great mimics of men’s actions, they showed themselves most apt pupils, and when arrayed in their rich clothes and masks, they danced as well as any of the courtiers.The spectacle was often repeated with great applause, till on one occasion a courtier, bent on mischief, took from his pocket a handful of nuts and threw them upon the stage.The Monkeys at the sight of the nuts forgot their dancing and became (as indeed they were) Monkeys instead of actors.Pulling off their masks and tearing their robes, they fought with one another for the nuts.The dancing spectacle thus came to an end amidst the laughter and ridicule of the audience."
"狐狸和豹","The Fox and the Leopard "
"狐狸和豹为谁更美丽而争论不休。豹一一展示点缀在自己皮肤上那形色各异的斑点。但是狐狸打断了豹，说道：“我比你可是美多了。我的美不在于外表的修饰，而在于头脑的充实。”","The Fox and the Leopard disputed which was the more beautiful of the two.The Leopard exhibited one by one the various spots which decorated his skin.But the Fox, interrupting him, said, “And how much more beautiful than you am I, who am decorated, not in body, but in mind.”"
"小猴子和他们的妈妈","The Monkeys and Their Mother "
"传说有一只母猴，一胞生下了两只小猴子。猴妈妈爱抚和哺育其中一只，投入了极大的关爱，但却厌恶、忽视另一只小猴子。结果有一次，被妈妈爱抚和宠爱的那只小猴子因过度的母爱窒息而死了；而被嫌弃的那只猴子，尽管受到忽视，却茁壮成长着。","The Monkey, it is said, has two young ones at each birth.The Mother fondles one and nurtures it with the greatest affection and care, but hates and neglects the other.It happened once that the young one which was caressed and loved was smothered by the too great affection of the Mother, while the despised one was nurtured and reared in spite of the neglect to which it was exposed."
"最好的意愿并非总能成功。","The best intentions will not always ensure success."
"橡树和朱庇特","The Oaks and Jupiter "
"橡树向朱庇特抱怨说：“我们白白地承受着生活的重担，在所有生长的树木中，我们橡树最常处于不断被砍伐的危险之中。”朱庇特回答说：“你们所遭受的不幸只能怪你们自己：因为如果你们没有造出这么上好的柱子和杆子，向木匠和农夫们证明你们是如此耐用，那么斧子就不会那么频繁地被放到你们的根部了。”","The Oaks presented a complaint to Jupiter, saying, “We bear for no purpose the burden of life, as of all the trees that grow we are the most continually in peril of the axe.”Jupiter made answer: “You have only to thank yourselves for the misfortunes to which you are exposed: for if you did not make such excellent pillars and posts, and prove yourselves so serviceable to the carpenters and the farmers, the axe would not so frequently be laid to your roots.”"
"野兔和猎狗","The Hare and the Hound "
"一条猎狗把一只野兔从兔窝里追赶出来，但追捕了一长段路程之后，猎狗放弃了。一个山羊倌看到猎狗停了下来，就取笑它说：“较小的那个竟跑赢了。” 猎狗回答道：“你没有看到我们之间的区别：我奔跑只是为了一顿晚餐，而野兔则是为了活命。”","A Hound started a Hare from his lair, but after a long run, gave up the chase.A goat-herd seeing him stop, mocked him, saying “The little one is the best runner of the two.”The Hound replied, “You do not see the difference between us: I was only running for a dinner, but he for his life.”"
"旅行者和命运女神","The Traveler and Fortune "
"一个旅行者经过一段漫长的旅途，感到筋疲力竭，累倒在一口深井的边沿上。就在他快要掉进水里时，传说命运女神出现在了他的面前，把他从昏睡中唤醒，对他说：“好先生，请醒醒吧，因为你若掉进井里，我就会受到人们的谴责，在凡间背上恶名；因为我发现人们总是会把不幸归咎于我，尽管事实上更多的是他们自己的愚蠢导致了他们的不幸。”","A Traveler wearied from a long journey lay down, overcome with fatigue, on the very brink of a deep well.Just as he was about to fall into the water, Dame Fortune, it is said, appeared to him and waking him from his slumber thus addressed him: “Good Sir, pray wake up: for if you fall into the well, the blame will be thrown on me, and I shall get an ill name among mortals; for I find that men are sure to impute their calamities to me, however much by their own folly they have really brought them on themselves.”"
"每个人都或多或少掌控着自己的命运。","Everyone is more or less master of his own fate."
"秃头骑士","The Bald Knight "
"一个秃头骑士戴着假发出去打猎。突然一阵风吹来，吹掉了他的帽子和假发，引得同伴们一阵大笑。骑士勒住了马，和其他人一起兴高采烈地自嘲道：“这些头发连长出它们的人都抛弃了，如今竟然从我的头上飞走了，真是奇怪！”","A bald knight, who wore a wig, went out to hunt.A sudden puff of wind blew off his hat and wig, at which a loud laugh rang forth from his companions.He pulled up his horse, and with great glee joined in the joke by saying, “What a marvel it is that hairs which are not mine should fly from me, when they have forsaken even the man on whose head they grew.”"
"牧羊人和狗","The Shepherd and the Dog "
"一个牧羊人把他的羊群关入羊栏里过夜，并打算把一只狼也关进去。他的狗觉察到了那只狼，便对主人说：“主人啊，如果你让一只狼进入羊栏中，你怎么还能认为羊是安全的呢？”","A Shepherd penning his sheep in the fold for the night was about to shut up a wolf with them, when his Dog perceiving the wolf said, “Master, how can you expect the sheep to be safe if you admit a wolf into the fold?”"
"油灯","The Lamp "
"一盏油灯因浸入了太多的油而灯火闪亮。它便吹嘘说自己比太阳发出的光还要明亮。突然，一阵风起，油灯立刻被吹灭了。油灯的主人再次将它点亮，说道：“不要再吹嘘了，从今以后，知足些，安安静静地释放你的光芒吧。要知道，就连星星都是不需要被重新点亮的。”","A Lamp, soaked with too much oil and flaring brightly, boasted that it gave more light than the sun.Then a sudden puff of wind arose, and the Lamp was immediately extinguished.Its owner lit it again, and said: “Boast no more, but henceforth be content to give thy light in silence.Know that not even the stars need to be relit.”"
"狮子、狐狸和驴","The Lion, the Fox, and the Ass "
"狮子、狐狸和驴达成协议，在追捕猎物时相互协助。他们捕获了一大堆猎物。在从森林回来的路上，狮子让驴根据约定的各人应得的份额分给他们应得的那份。驴仔细地把猎物分成均等的三份，并谦逊地请另外两位先挑。狮子大怒，一口吞掉了驴。然后，狮子又让狐狸帮助他分。狐狸把他们猎来的食物堆成一个大堆，自己只留了一丁点。狮子说：“我了不起的伙伴啊，是谁教给了你这分割的艺术呢？你可真是太娴熟了。”狐狸回答道：“我是从驴那里学会的，因为我看到了他的下场。”","The Lion, the Fox and the Ass entered into an agreement to assist each other in the chase.Having secured a large booty, the Lion on their return from the forest asked the Ass to allot his due portion to each of the three partners in the treaty.The Ass carefully divided the spoil into three equal shares and modestly requested the two others to make the first choice.The Lion, bursting out into a great rage, devoured the Ass.Then he requested the Fox to do him the favor to make a division.The Fox accumulated all that they had killed into one large heap and left to himself the smallest possible morsel.The Lion said, “Who has taught you, my very excellent fellow, the art of division?You are perfect to a fraction.”He replied, “I learned it from the Ass, by witnessing his fate.”"
"能从别人的不幸中汲取经验教训的人是幸运的。","Happy is the man who learns from the misfortunes of others."
"公牛、母狮子和野猪猎手","The Bull, the Lioness, and the Wild-Boar Hunter "
"一头公牛发现一头熟睡的幼狮，就用它的牛角把幼狮抵死了。母狮子走过来，看到死去的幼师悲痛不已。远远站着一个野猪猎手，看到这头母狮子如此悲伤，便对它说：“想想有多少人得为他们死去的孩子而悲伤啊，而那些孩子的死则是你一手造成的。”","A Bull finding a lion’s cub asleep gored him to death with his horns.The Lioness came up, and bitterly lamented the death of her whelp.A wild-boar Hunter, seeing her distress, stood at a distance and said to her, “Think how many men there are who have reason to lament the loss of their children, whose deaths have been caused by you.”"
"橡树和伐木工们","The Oak and the Woodcutters "
"伐木工们砍倒了一棵山上的橡树，然后把树劈成了块状，又用树枝做成楔子，再用楔子去劈开树干。橡树哀叹道：“我不在乎斧子朝我的树根上砍去，但是，我是被用自己的树枝做成的楔子劈开的，这让我觉得很伤心。”","The Woodcutters cut down a Mountain Oak and split it in pieces, making wedges of its own branches for dividing the trunk.The Oak said with a sigh, “I do not care about the blows of the axe aimed at my roots, but I do grieve at being torn in pieces by these wedges made from my own branches.”"
"自身带来的不幸是最让人难以承受的。","Misfortunes springing from ourselves are the hardest to bear."
"母鸡和金蛋","The Hen and the Golden Eggs"
"一对乡下夫妇有一只母鸡，它每天都下一个金蛋。夫妇俩猜想这只母鸡体内一定存有一大块金子。为了得到这些金子，他们把母鸡给杀了。杀死母鸡后，他们惊讶地发现这只母鸡和他们的其他母鸡在各方面都没有什么不同。这对愚蠢的夫妇希望一夜暴富，却最终丧失了原本每天都能确保获得的收益。","A cottager and his wife had a Hen that laid a golden egg every day.They supposed that the Hen must contain a great lump of gold in its inside, and in order to get the gold they killed it.Having done so, they found to their surprise that the Hen differed in no respect from their other hens.The foolish pair, thus hoping to become rich all at once, deprived themselves of the gain of which they were assured day by day."
"驴和青蛙","The Ass and the Frogs "
"一头驴载着很多木头，要趟过一个池塘。趟水时，驴失足绊了一跤，摔倒了。因为身上载着东西，驴站不起来，就大声呻吟。经常呆在这个池塘里的几只青蛙听到了驴的哀叹声，说道：“只是在水里摔了一跤，你就如此小题大做，如果你像我们一样必须一直生活在这里，你该怎么办呢？”","An Ass, carrying a load of wood, passed through a pond.As he was crossing through the water he lost his footing, stumbled and fell, and not being able to rise on account of his load, groaned heavily.Some Frogs frequenting the pool heard his lamentation, and said, “What would you do if you had to live here always as we do, when you make such a fuss about a mere fall into the water?” "
"人们在面对小困难时，往往失去了面对大灾难时的勇气。","Men often bear little grievances with less courage than they do large misfortunes."
"乌鸦和渡鸦","The Crow and the Raven "
"一只乌鸦嫉妒渡鸦，因为渡鸦被视作是一种吉祥鸟，总能引人注目；人们常通过观察渡鸦的飞行以预测未来事件发展的好坏。这只乌鸦看到几个旅行者走过来，就飞到一棵树上，栖息在枝头，尽可能大声地呱呱叫起来。旅行者们循声望去，想知道这预示着什么。其中一个旅行者对他的同伴说：“我们继续赶路吧，朋友，因为这只是一只乌鸦的叫声。你知道，乌鸦的叫声没有什么征兆可言。”假装拥有不属于自己的特质，只会让自己显得荒唐可笑。","A Crow was jealous of the Raven, because he was considered a bird of good omen and always attracted the attention of men, who noted by his flight the good or evil course of future events.Seeing some travelers approaching, the Crow flew up into a tree, and perching herself on one of the branches, cawed as loudly as she could.The travelers turned towards the sound and wondered what it foreboded, when one of them said to his companion, “Let us proceed on our journey, my friend, for it is only the caw of a crow, and her cry, you know, is no omen.”Those who assume a character which does not belong to them, only make themselves ridiculous."
"树林和斧子","The Trees and the Axe "
"一个人来到森林里，请求树林给他一个木柄做斧柄。树林同意了他的请求，给了他一棵小白蜡树。这个人刚给他的斧子安上了新斧柄，就开始用这把斧子迅速砍倒了森林里最为珍贵的参天大树。一棵老橡树看到它的同伴们被砍伐，悲叹不已，但为时已晚。它对旁边的一棵雪松说：“第一招失误，让我们全盘皆输啊。如果我们没有放弃那棵白蜡树，我们或许还可以保留我们自己的特权，顶住侵袭。”","A man came into a forest and asked the Trees to provide him a handle for his axe.The Trees consented to his request and gave him a young ashtree.No sooner had the man fitted a new handle to his axe from it, than he began to use it and quickly felled with his strokes the noblest giants of the forest.An old oak, lamenting when too late the destruction of his companions, said to a neighboring cedar, “The first step has lost us all.If we had not given up the rights of the ash, we might yet have retained our own privileges and have stood forages.”"
"螃蟹和狐狸","The Crab and the Fox "
"一只螃蟹离开海岸，选择了临近的一片绿草地作为自己的掠食基地。一只饥肠辘辘的狐狸碰到了这只螃蟹，一口就把它给吞掉了。就在它即将被吞掉的当口，螃蟹说：“我活该有这样的下场。我的本性和习惯都决定了我只适合在海洋里生存，我来陆地上能干什么呢？”","A Crab, forsaking the seashore, chose a neighboring green meadow as his feeding ground.A Fox came across him, and being very hungry ate him up.Just as he was on the point of being eaten, the Crab said, “I well deserve my fate, for what business had I on the land, when by my nature and habits I am only adapted for the sea?”"
"知足常乐。","Contentment with our lot is an element of happiness."
"青蛙对太阳的抱怨","The Frogs’ Complaint Against the Sun "
"从前，太阳宣称要娶一位妻子。青蛙们听到这个消息，纷纷对着天空大声叫嚷。它们的吵闹声打扰到了朱庇特，朱庇特就询问它们抱怨的原因。其中一只青蛙说：“现在的太阳只是单身，他就烘烤着湿地，迫使我们在干涸的家中痛苦地死去。如果以后他生出其他更多的太阳，那我们的将来会是什么样子？”","Once upon time, when the Sun announced his intention to take a wife, the Frogs lifted up their voices in clamor to the sky.Jupiter, disturbed by the noise of their croaking, inquired the cause of their complaint. One of them said, “The Sun, now while he is single, parches up the marsh, and compels us to die miserably in our arid homes.What will be our future condition if he should beget other suns?”"
"好事和坏事　","The Goods and the Ills "
"从前，所有的好事都被坏事从人类事务中排挤出来，而它们原本是共存的；那些坏事凭借它们数量的优势掌控地球。好事便飘上天堂，要求对迫害它们的坏事进行正义的报复。它们恳求朱庇特说，它们再也不能和坏事有任何干连，因为它们和坏事没有任何共同之处，也无法共存，只能陷入无休止的战争，还说，为了保护它们的未来，应当制定一条牢不可破的法律。朱庇特答应了它们的要求，并且颁布法令说，从此以后，所有的坏事应该结伴访问人间，而好事应该一个个地进入人类的住宅。从此，就出现了这样的情况，坏事结伴来临，它们不是一个一个地出现，而是成群出现，决不单独出现。而从朱庇特那里出来的好事则不同，是单独并且分开赐予的，而且是一个一个给那些能够辨别它们的人。","ALL the Goods were once driven out by the Ills from that common share which they each had in the affairs of mankind; for the Ills by reason of their numbers had prevailed to possess the earth.The Goods wafted themselves to heaven and asked for a righteous vengeance on their persecutors.They entreated Jupiter that they might no longer be associated with the Ills, as they had nothing in common and could not live together, but were engaged in unceasing warfare; and that an indissoluble law might be laid down for their future protection.Jupiter granted their request and decreed that henceforth the Ills should visit the earth in company with each other, but that the Goods should one by one enter the habitations of men.Hence it arises that Ills abound, for they come not one by one, but in troops, and by no means singly: while the Goods proceed from Jupiter, and are given, not alike to all, but singly, and separately; and one by one to those who are able to discern them."
"妇人和她的母鸡","The Woman and Her Hen "
"一个妇人有一只母鸡，这只母鸡每天为她下一个蛋。她常常想怎么才能让母鸡每天下两个蛋，而不是一个。为了达到目的，最终她决定喂母鸡双份的大麦。从那天起，母鸡开始变肥，鸡毛也变得柔滑光亮，但却再也没下过一个蛋。","A Woman possessed a Hen that gave her an egg every day.She often pondered how she might obtain two eggs daily instead of one, and at last, to gain her purpose, determined to give the Hen a double allowance of barley.From that day the Hen became fat and sleek, and never once laid another egg."
"驴和老牧羊人","The Ass and the Old Shepherd "
"一个牧羊人正在看着草地上的驴吃草，突然听到敌人的呐喊声，惊慌不已。他让驴和他一起逃跑，免得都被抓住。但是驴却懒洋洋地回答道：“请问，我为什么要跑呢？你觉得征服者有可能会在我身上放两副驮篮吗？”“不会。”牧羊人回答说。“那么，”驴说，“既然都要载着驮篮，我为谁劳动又有什么关系呢？”","A Shepherd watching his Ass feeding in a meadow, was alarmed all of a sudden by the cries of the enemy.He appealed to the Ass to fly with him, lest they should both be captured, but the animal lazily replied, “Why should I, pray?Do you think it likely the conqueror will place on me two sets of panniers?”“No,” rejoined the Shepherd.“Then,” said the Ass, “as long as I carry the panniers, what matters it to me whom I serve?”"
"政权的更迭并不能为穷人带来任何变化，只是当政者的名字换了而已。","In a change of government the poor change nothing beyond the name of their master."
"风筝和天鹅","The Kites and the Swans "
"古时候，风筝和天鹅一样，拥有唱歌的天赋。但是当它们听到马的嘶鸣声后便陶醉其中，于是它们试图模仿马的嘶鸣声。在模仿的过程中，它们竟忘记怎么唱歌了。","The Kites of olden times, as well as the Swans, had the privilege of song.But having heard the neigh of the horse, they were so enchanted with the sound, that they tried to imitate it; and, in trying to neigh, they forgot how to sing."
"觊觎不切实际的利益常常会让自己失去眼前的幸福。","The desire for imaginary benefits often involves the loss of present blessings."
"狼和牧羊犬","The Wolves and the Sheepdogs "
"狼对牧羊犬这样说道：“咱们这么多方面都相似，你们和我们的看法怎么不一致，不和我们像兄弟一样住在一起呢？我们和你们只有一点不同。我们生活自由，而你们却卑躬屈膝，当人类的奴隶。人类回报你们劳动的却是用皮鞭抽打你们，在你们的脖子上套上项圈。他们还让你们看守羊群。他们吃羊肉，却只把骨头扔给你们。如果你们相信我们，就把这些羊送给我们吧。咱们可以一起享用，直到吃腻为止。”牧羊犬听从了这些提议，于是进了狼窝。结果，狼群猛扑过去，把牧羊犬撕得粉碎。","The Wolves thus addressed the Sheepdogs: “Why should you, who are like us in so many things, not be entirely of one mind with us, and live with us as brothers should?We differ from you in one point only.We live in freedom, but you bow down to and slave for men, who in return for your services flog you with whips and put collars on your necks.They make you also guard their sheep, and while they eat the mutton throw only the bones to you.If you will be persuaded by us, you will give us the sheep, and we will enjoy them in common, till we all are surfeited.”The Dogs listened favorably to these proposals, and, entering the den of the Wolves, they were set upon and torn to pieces."
"野兔和狐狸","The Hares and the Foxes "
"野兔要和老鹰打仗，于是恳求狐狸援助他们。狐狸回复说：“如果我们不知道你们是谁，不知道你们和谁打仗，我们是很愿意帮助你们的。”","The Hares waged war with the Eagles, and called upon the Foxes to help them.They replied, “We would willingly have helped you, if we had not known who you were, and with whom you were fighting.”"
"接受别人的委托之前要先衡量自己的得失。","Count the cost before you commit yourselves."
"弓箭手和狮子","The Bowman and Lion "
"一个箭法娴熟的弓箭手去山上打猎，但是森林里所有的野兽看到他来就都逃离了。只有狮子独自向人挑战。弓箭手立即射出一支箭，对狮子说：“我送去我的使者，通过他，你或许能知道等我亲自攻击你时会如何。”受伤的狮子惊恐万分、仓皇逃窜。狐狸看到了这一切，便告诉狮子要大胆些，不要受到一次攻击就后退。狮子回答说：“你劝我也没有用。假如他能派出这么可怕的使者，我又怎么能经受得住他本人的攻击呢？”","A very skillful Bowman went to the mountains in search of game, but all the beasts of the forest fled at his approach.The Lion alone challenged him to combat.The Bowman immediately shot out an arrow and said to the Lion: “I send thee my messenger, that from him thou mayest learn what I myself shall be when I assail thee.”The wounded Lion rushed away in great fear, and when a Fox who had seen it all happen told him to be of good courage and not to back off at the first attack he replied: “You counsel me in vain; for if he sends so fearful a messenger, how shall I abide the attack of the man himself?”"
"当心能从远处攻击你的人。","Be on guard against men who can strike from a distance."
"骆驼","The Camel "
"人类第一次看到骆驼时，被骆驼硕大的体型吓得转身就跑。一段时间后，人类发现这种动物性情温驯，就鼓足勇气去接近它。不久，人类发现骆驼是一种完全缺乏反抗精神的动物，就大胆地给它套上了缰绳，让小孩赶着它。","When man first saw the Camel, he was so frightened at his vast size that he ran away.After a time, perceiving the meekness and gentleness of the beast’s temper, he summoned courage enough to approach him.Soon afterwards, observing that he was an animal altogether deficient in spirit, he assumed such boldness as to put a bridle in his mouth, and to let a child drive him."
"习惯有助于克服恐惧。","Use serves to overcome dread."
"黄蜂和蛇","The Wasp and the Snake "
"一只黄蜂落在蛇的头上，不停地用他的螫针叮蛇，要置蛇于死地。蛇经受着极大的折磨，不知道该如何摆脱他的敌人。这时，蛇看到一辆满载木头的马车，就上前故意把头放在车轮下面，说道：“至少我可以和我的敌人同归于尽。”","A Wasp seated himself upon the head of a Snake and, striking him unceasingly with his stings, wounded him to death.The Snake, being in great torment and not knowing how to rid himself of his enemy, saw a wagon heavily laden with wood, and went and purposely placed his head under the wheels, saying, “At least my enemy and I shall perish together.”"
"狗和野兔","The Dog and the Hare "
