"福尔摩斯谢幕演出","His Last Bow"
"“不，不对，您不能把这叫做‘姿态’。姿态是装出来的，我这可是天性的流露。我生来就擅长运动，而且乐在其中。”","“No, no, don’t call it a pose. A pose is an artificial thing. This is quite natural. i am a born sportsman. i enjoy it.”"
"“是啊，这样一来，效果就更好啦。你跟他们赛艇，跟他们一起打猎、打马球，哪一项运动都不落在他们后面，你的四驾马车也在奥林匹亚[^2]夺得了大奖。我甚至听人说过，你居然跟那些年青的军官打起了拳击赛。结果呢？谁也不把你当回事，都觉得你是个‘运动行家’、‘德国人当中的君子’，还是个酗酒成性、夜夜笙歌、满城乱窜、没心没肺的小伙子。与此同时，你这座宁静的乡间别墅一直是英格兰半数破坏活动的中心，而你这个爱好运动的乡绅也一直是全欧洲最精明的秘密特工。天才啊，亲爱的冯·博克——真是天才！”","“Well, that makes it the more effective. You yacht against them, you hunt with them, you play polo, you match them in every game, your four-in-hand takes the prize at olympia. i have even heard that you go the length of boxing with the young officers. What is the result? nobody takes you seriously. You are a ‘good old sport,’ ‘quite a decent fellow for a German,’ a hard-drinking, night-club, knock-about-town, devil-may-care young fellow. And all the time this quiet country house of yours is the centre of half the mischief in England, and the sporting squire the most astute secret-service man in Europe. Genius, my dear Von Bork—genius!”"
"“您过奖了，男爵。不过，我确实可以说一句，我在英国的四年并不是一事无成。我还没领您参观过我那个小小的仓库呢，您愿意进屋待会儿吗？”","“You flatter me, Baron. But certainly i may claim that my four years in this country have not been unproductive. i’ve never shown you my little store. Would you mind stepping in for a moment?”"
"书房的门正对着露台。冯·博克推开房门，率先走进房间，“咔嗒”一声摁亮电灯，把身后的大块头秘书让了进去，然后就关上房门，把格子窗上的厚重帘帷拉得严严实实。他做好了所有这些预防措施，跟着又检查了一遍，这才把他那张鹰隼一般的黝黑脸庞转向了客人。","The door of the study opened straight on to the terrace. Von Bork pushed it back, and, leading the way, he clicked the switch of the electric light. He then closed the door behind the bulky form which followed him and carefully adjusted the heavy curtain over the latticed window. only when all these precautions had been taken and tested did he turn his sunburned aquiline face to his guest."
"“我的一部分文件已经不在这儿了，”他说道，“昨天，我妻子和家里的其他人一起去了弗卢辛[^3]，带走了不太重要的一些文件。当然喽，我必须要求使馆为剩下的这些文件提供保护。”","“Some of my papers have gone,” said he. “When my wife and the household left yesterday for Flushing they took the less important with them. I must, of course, claim the protection of the embassy for the others.”"
"“我们已经把你列入了随员名单，你和你的行李都不会遇上什么麻烦。当然，赶巧了的话，咱们兴许也不是非走不可。英国没准儿会让法国自生自灭，因为我们确切地知道，英法两国并没有签订什么有约束力的条约。”","“Your name has already been filed as one of the personal suite. There will be no difficulties for you or your baggage. of course, it is just possible that we may not have to go. England may leave France to her fate. We are sure that there is no binding treaty between them.”"
"“比利时也是这样吗？”","“And Belgium?”"
"“没错，比利时也是这样。 ”","“Yes, and Belgium, too.”"
"冯·博克摇了摇头。“我觉得这怎么也不可能。有一个明明白白的条约摆在那里，英国要是在这样的羞辱面前忍气吞声，那就永远也抬不起头啦[^4]。”","Von Bork shook his head. “I don’t see how that could be. There is a definite treaty there. She could never from such a humiliation.”"
"“她至少可以得到暂时的太平啊。 ”","“She would at least have peace for the moment.”"
"“可是，她的荣誉该怎么办呢？”","“But her honour?”"
"“得了吧，亲爱的先生，咱们生活在一个功利主义的时代，‘荣誉’却是个中世纪的字眼儿。除此之外，英国并没有做好打仗的准备。说起来都让人不敢相信，咱们收了五千万的战争特别税，谁都会觉得咱们的意图已经昭然若揭，就跟在《泰晤士报》的头版登了广告一样，即便如此，这里的人依然沉睡不醒。时不时地会有人提出问题，我的责任就是给他们一个满意的答复；时不时地还有人感到愤慨，我的责任就是平息他们的怨气。不过，我可以跟你打包票，就那些关键环节而言，什么军需储备啦、防御潜艇攻击的措施啦、制造烈性炸药的计划啦，英国什么准备也没有。既然如此，英国怎么可能参战呢，更何况，咱们还把她的内部搅成了一锅粥，弄出了爱尔兰内战、砸窗子的泼妇[^5]，还有天晓得的其他一些让她自顾不暇的事情。 ”","“Tut, my dear sir, we live in a utilitarian age. Honour is a medieval conception. Besides England is not ready. it is an inconceivable thing, but even our special war tax of fifty million, which one would think made our purpose as clear as if we had advertised it on the front page of the *Times*, has not roused these people from their slumbers. Here and there one hears a question. it is my business to find an answer. Here and there also there is an irritation. it is my business to soothe it. But i can assure you that so far as the essentials go—the storage of munitions, the preparation for submarine attack, the arrangements for making high explosives—nothing is prepared. How, then, can England come in, especially when we have stirred her up such a devil’s brew of irish civil war, window-breaking Furies, and God knows what to keep her thoughts at home.”"
"“她总得为自己的将来着想吧。”","“She must think of her future.”"
"“哦，那就是另一码事了。要我说，关于英国的将来，咱们已经有了非常明确的计划，还有啊，你提供的情报将会在其中发挥至关重要的作用。今天或者明天，早晚会轮到约翰·布尔先生[^6]的。如果他愿意今天打，咱们已经做好了充分的准备。如果他选择明天，咱们的准备还会更加充分。我倒是觉得，他们的上策是跟盟友并肩作战，不要等到必须独力支撑的时候，不过呢，这是他们自个儿的事情，用不着咱们操心。这个星期就是他们的转折关头。对了，刚才你不是在说你的那些文件嘛。”秘书窝在扶手椅上，悠然自得地吞云吐雾，光溜溜的大脑袋在灯光下闪闪发亮。","“Ah, that is another matter. i fancy that in the future we have our own very definite plans about England, and that your information will be very vital to us. it is to-day or to-morrow with Mr. John Bull. if he prefers to-day we are perfectly ready. if it is to-morrow we shall be more ready still. i should think they would be wiser to fight with allies than without them, but that is their own affair. This week is their week of destiny. But you were speaking of your papers.” He sat in the armchair with the light shining upon his broad bald head, while he puffed sedately at his cigar."
"这个宽敞的房间镶着橡木墙板，四壁都是书架，远端的角落里挂着一道帘子。拉开帘子之后，一个包有黄铜的大保险柜露了出来。冯·博克从自己的表链上取下一把小小的钥匙，在保险柜的锁上折腾了好一番工夫，跟着就一把拉开了厚重的柜门。","The large oak-panelled, book-lined room had a curtain hung in the further corner. When this was drawn it disclosed a large, brass-bound safe. Von Bork detached a small key from his watch chain, and after some considerable manipulation of the lock he swung open the heavy door."
"“瞧！”他喊了一声，站到一旁，冲秘书挥了挥手。","“look!” said he, standing clear, with a wave of his hand."
"灯光把保险柜的内部照得清清楚楚，使馆秘书全神贯注地凝视着柜子里的一排排满满当当的文件格子。每个格子都贴着标签，一眼望去，他看到了一长串诸如“浅滩”、“港口防御”、“飞机”、“爱尔兰”、“埃及”、“朴茨茅斯要塞”、“英吉利海峡”、“罗赛斯”[^7]之类的名称，此外还有几十个别的。所有的格子都塞满了文件和图纸。","The light shone vividly into the opened safe, and the secretary of the embassy gazed with an absorbed interest at the rows of stuffed pigeon-holes with which it was furnished. Each pigeon-hole had its label, and his eyes as he glanced along them read a long series of such titles as “Fords,” “Harbour-defences,” “Aeroplanes,” “ireland,” “Egypt,” “Portsmouth forts,” “The Channel,” “Rosythe,” and a score of others. Each compartment was bristling with papers and plans."
"“了不起！”秘书说道，跟着就放下雪茄，用他那双肥硕的手轻轻地鼓起掌来。","“Colossal!” said the secretary. Putting down his cigar he softly clapped his fat hands."
"“所有这些都是在四年的时间里收集来的，男爵。对于一名狂饮无度、成天跑马的乡绅来说，这也算不赖了吧。不过，我最精美的那件藏品还在路上呢，这不，位置我都给它留好啦。”说的这里，他指了指标着“海军密码”的那个格子。","“And all in four years, Baron. not such a bad show for the hard-drinking, hard-riding country squire. But the gem of my collection is coming and there is the setting all ready for it.” He pointed to a space over which “naval Signals” was printed."
"“可是，你那个格子里的档案已经很丰富了啊。 ”","“But you have a good dossier there already.”"
"“全都是些过时的废纸。英国的海军部莫名其妙地产生了警觉，把所有的密码都给换了。这可是一次沉重的打击，男爵，是我整场战役当中最惨的一个败仗。不过，多亏了我的支票簿，还有能干的阿尔塔芒，所有问题都可以在今天晚上得到补救。”","“out of date and waste paper. The Admiralty in some way got the alarm and every code has been changed. it was a blow, Baron—the worst setback in my whole campaign. But thanks to my check-book and the good Altamont all will be well to-night.”"
"男爵看了看表，从喉咙里发出了一声失望的惊呼。","The Baron looked at his watch and gave a guttural exclamation of disappointment."
"“呃，我真的不能再等啦。你应该明白，此时此刻，卡尔顿巷[^8]那边事情很多，我们都得各就各位。我本来还打算把你取得巨大成功的消息带回去呢。阿尔塔芒没说什么时候来吗？”","“Well, i really can wait no longer. You can imagine that things are moving at present in Carlton Terrace and that we have all to be at our posts. i had hoped to be able to bring news of your great coup. Did Altamont name no hour?”"
"冯·博克把一封电报推到了男爵面前。","Von Bork pushed over a telegram."
"> 今晚必携新火花塞前来。","> Will come without fail to-night and bring new sparking plugs."
"> 阿尔塔芒","> ALTAMONT."
"“火花塞，嗯？”","“Sparking plugs, eh?”"
"“您知道吗，他假扮成了一名汽车专家，而我的车库里停满了汽车。按照我俩约定的暗号，有可能到手的所有资料都用汽车配件来命名。如果他说‘水箱’，指的就是战列舰，‘油泵’则是巡洋舰，如此等等。‘火花塞’就是海军密码。”","“You see he poses as a motor expert and i keep a full garage. in our code everything likely to come up is named after some spare part. if he talks of a radiator it is a battleship, of an oil pump a cruiser, and so on. Sparking plugs are naval signals.”"
"“电报是今天中午从朴茨茅斯发来的，”秘书一边察看电报的抬头，一边说道，“对了，你给他的报酬是什么呢？”","“From Portsmouth at midday,” said the secretary, examining the superscription. “By the way, what do you give him?”"
"“这件活计的报酬是五百镑。当然喽，他还有日常的薪水。”","“Five hundred pounds for this particular job. Of course he has a salary as well.”"
"“真是个贪心不足的无赖。他们这样的叛徒确实有用，可我还是不甘心让他们挣这种脏钱。”","“The greedy rogue. They are useful, these traitors, but I grudge them their blood money.”"
"“如果是阿尔塔芒，给多少我都甘心。他是个非常出色的特工。用他自个儿的话来说，我给他的价钱固然高，终归也从他那里拿到了东西。还有啊，他并不是什么叛徒。我敢跟您打包票，说到对英国的态度，跟那些满心仇怨的爱尔兰裔美国人比起来，咱们那些最激烈的大日耳曼主义容克[^9]也不过是温顺的乳鸽而已。”","“I grudge Altamont nothing. He is a wonderful worker. if i pay him well, at least he delivers the goods, to use his own phrase. Besides he is not a traitor. i assure you that our most pan-Germanic Junker is a sucking dove in his feelings towards England as compared with a real bitter irish-American.”"
"“哦，他是个爱尔兰裔美国人吗？”","“Oh, an irish-American?”"
"“听听他的口音，您就不会再有什么疑问。说实在的，有时候我简直听不懂他在说什么。看样子，他不光是跟英国的国王过不去，还跟国王陛下的英语[^10]过不去。您一定要走吗？他随时都会到这里来的。 ”","“If you heard him talk you would not doubt it. Sometimes i assure you I can hardly understand him. He seems to have declared war on the King’s English as well as on the English king. Must you really go? He may be here any moment.”"
"“不行。很抱歉，可我已经耽搁得太久啦。明天你早点儿来吧，一旦你把密码本带进约克公爵台阶旁边的那道小门[^11]，就算是为你在英国的工作画上了一个圆满的句号。什么！你还准备了托考依葡萄酒[^12]！”他指了指立在托盘里的一个积满尘土的酒瓶，瓶子封得严严实实，旁边还放着两只高脚酒杯。","“No. I’m sorry, but i have already overstayed my time. We shall expect you early to-morrow, and when you get that signal book through the little door on the Duke of York’s steps you can put a triumphant finis to your record in England. What! Tokay!” he indicated a heavily sealed dust-covered bottle which stood with two high glasses upon a salver."
"“您愿意喝一杯再走吗？”","“May i offer you a glass before your journey?”"
"“不了，谢谢。看样子，你们两个还打算痛饮一顿哩。”","“No, thanks. But it looks like revelry.”"
"“阿尔塔芒喝酒的口味很刁，而且看上了我的托考依葡萄酒。他这个家伙非常敏感，你必须在小事情上面将就他一下。说真的，研究他可是我的必修课哩。”说话间，他俩已经再次走上露台，正在顺着露台往外走。等在露台远端的司机轻轻一碰，男爵那辆庞大的轿车立刻震颤起来，发出了隆隆的轰鸣声。“依我看，那一定是哈里奇[^13]的灯火，”秘书一边说，一边穿上了风衣。“一切都是多么的平静、多么的安宁啊。本周之内，那里兴许就会有一些其他的火光，英国的海岸也不会再像现在这么宁静啦！如果那个能干的齐柏林[^14]答应我们的事情都能实现的话，英国的天空多半也保不住眼下的太平。对了，那个人是谁？”","“Altamont has a nice taste in wines, and he took a fancy to my Tokay. He is a touchy fellow and needs humouring in small things. i have to study him, i assure you.” They had strolled out on to the terrace again, and along it to the further end where at a touch from the Baron’s chauffeur the great car shivered and chuckled. “Those are the lights of Harwich, I suppose,” said the secretary, pulling on his dust coat. “How still and peaceful it all seems. There may be other lights within the week, and the English coast a less tranquil place! The heavens, too, may not be quite so peaceful if all that the good Zeppelin promises us comes true. By the way, who is that?”"
"他俩的身后只有一扇窗子还透着亮光，窗子里面点着一盏油灯，油灯侧畔的桌子旁边坐着一位可亲可敬、面色红润的老太太，戴着一顶乡村便帽。她正在埋头编织东西，还时不时地停下活计，伸手去抚摸身边小凳上的一只大黑猫。","Only one window showed a light behind them; in it there stood a lamp, and beside it, seated at a table, was a dear old ruddy-faced woman in a country cap. She was bending over her knitting and stopping occasionally to stroke a large black cat upon a stool beside her."
"“那是玛莎，我就留了这么一个仆人。”","“That is Martha, the only servant i have left.”"
"秘书吃吃地笑了起来。","The secretary chuckled."
"“她简直就是不列颠妮亚[^15]的化身哩，”他说道，“满脑子都是自个儿的事情，悠闲自在、昏昏欲睡。好了，再见，冯·博克！”他挥手作别，钻进轿车，转眼之间，轿车头灯射出的两束金光已经穿透了前方的黑暗。秘书仰在豪华座驾的靠垫上，全神贯注地思考着即将到来的欧洲战祸，因此就没有留意到，自己的轿车顺着村中街道曲折行进的时候，差一点儿就撞上了迎面驶来的一辆小小的福特轿车。","“She might almost personify Britannia,” said he, “with her complete self-absorption and general air of comfortable somnolence. Well, *au revoir*, Von Bork!” With a final wave of his hand he sprang into the car, and a moment later the two golden cones from the headlights shot forward through the darkness. The secretary lay back in the cushions of the luxurious limousine, with his thoughts so full of the impending European tragedy that he hardly observed that as his car swung round the village street it nearly passed over a little Ford coming in the opposite direction."
"轿车灯光消失在远方之后，冯·博克慢慢地走回书房。路过老管家那个窗口的时候，他发现她已经灭灯回房。他的家人和仆人为数众多，房子也很大，眼下的寂静和黑暗让他觉得有点儿不适应。不过，他的家人都到了安全的地方，房子里剩下的只有之前在厨房里磨蹭的那个老妇人，想到这些，他又觉得很是欣慰。书房里还有许多东西需要收拾，于是他动起手来，焚烧文件的火焰把他那张机敏的英俊脸庞烘得通红。接下来，他开始有条不紊地把保险柜里的宝贝往桌子旁边的一只皮箱里装。正在这时，他那双灵敏的耳朵听到了一辆轿车从远处驶来的声音，于是他欢呼一声，扣上皮箱，锁好保险柜，急匆匆地走上露台，刚好看到一辆开着车灯的小型轿车在大门旁边停了下来。乘客钻出轿车，快步走了过来，司机已经上了点年纪，身形壮硕、髭须斑白，此时依然气定神闲地坐在车里，看样子是做好了长久等候的准备。","Von Bork walked slowly back to the study when the last gleams of the motor lamps had faded into the distance. As he passed he observed that his old housekeeper had put out her lamp and retired. it was a new experience to him, the silence and darkness of his widespread house for his family and household had been a large one. it was a relief to him, however, to think that they were all in safety and that, but for that one old woman who had lingered in the kitchen, he had the whole place to himself. There was a good deal of tidying up to do inside his study and he set himself to do it until his keen, handsome face was flushed with the heat of the burning papers. A leather valise stood beside his table, and into this he began to pack very neatly and systematically the precious contents of his safe. He had hardly got started with the work, however, when his quick ears caught the sound of a distant car. instantly he gave an exclamation of satisfaction, strapped up the valise, shut the safe, locked it, and hurried out on to the terrace. He was just in time to see the lights of a small car come to a halt at the gate. A passenger sprang out of it and advanced swiftly towards him, while the chauffeur, a heavily built, elderly man with a gray moustache, settled down like one who resigns himself to a long vigil."
"“怎么样？”冯·博克一边跑上去迎接客人，一边急不可耐地问了一声。","“Well?” asked Von Bork eagerly, running forward to meet his visitor."
"来人没有回答，只是把一个小小的牛皮纸包裹举过头顶，得意洋洋地晃了晃。","For answer the man waved a small brown-paper parcel triumphantly above his head."
"“今天晚上，你真应该鼓掌欢迎我才是，先生，”来人高声嚷道。“东西总算是到手啦。”","“You can give me the glad hand to-night, mister,” he cried. “I’m bringing home the bacon at last.”"
"“你说的是密码吗？”","“The signals?”"
"“跟我在电报里说的一样，旗语、灯光信号、无线电密码，一分一毫都不少。我得提醒你一句，我拿来的只是副本，并不是原件，拿原件太危险啦。不过，货是真的，这你只管放心。”他粗鲁地拍了拍德国人的肩膀，德国人一闪身，没有理会他这种亲热的表示。","“Same as i said in my cable. Every last one of them, semaphore, lamp code, Marconi—a copy, mind you, not the original. That was too dangerous. But it’s the real goods, and you can lay to that.” He slapped the German upon the shoulder with a rough familiarity from which the other winced."
"“进来吧，”德国人说道，“屋里只剩我一个人了，等的就是这样东西。当然喽，副本比原件还要好。原件丢了的话，他们肯定会换掉所有的密码。你确定这份副本不会留下后患吗？”","“Come in,” he said. “i’m all alone in the house. i was only waiting for this. of course a copy is better than the original. if an original were missing they would change the whole thing. You think it’s all safe about the copy?”"
"爱尔兰裔美国人已经走进书房，摊开细长的四肢坐在了扶手椅上。他年已六旬，又高又瘦，轮廓分明，蓄着一小撮山羊胡子，整个儿的模样有点儿像漫画里的山姆大叔。一支抽了一半的雪茄耷拉在他的嘴角，已经被唾沫给浸湿了。坐下之后，他划燃一根火柴，重新点上了雪茄。“收拾东西准备走啦？”他一边四处张望，一边问道。“我说，先生，”看到露在帘子外面的保险柜之后，他补了一句，“你该不会告诉我，你就用那个东西来装你的文件吧？”","The irish-American had entered the study and stretched his long limbs from the armchair. He was a tall, gaunt man of sixty, with clear-cut features and a small goatee beard which gave him a general resemblance to the caricatures of uncle Sam. A half-smoked, sodden cigar hung from the corner of his mouth, and as he sat down he struck a match and relit it. “Making ready for a move?” he remarked as he looked round him. “Say, mister,” he added, as his eyes fell upon the safe from which the curtain was now removed, “you don’t tell me you keep your papers in that?”"
"“有什么问题吗？”","“Why not?”"
"“老天爷，文件就装在那么个没遮没挡的破玩意儿里面！亏你还号称是个间谍呢。可不是吗，只需要一把开罐头的小刀，美国的扒手就可以把它撬开。要是早知道你会把我的信大大咧咧地扔进那么一个玩意儿的话，傻子才给你写信呢。”","“Gosh, in a wide-open contraption like that! And they reckon you to be some spy. Why, a Yankee crook would be into that with a can-opener. If I’d known that any letter of mine was goin’ to lie loose in a thing like that i’d have been a mug to write to you at all.”"
"“什么样的扒手也撬不开那个保险柜，”冯 ·博克回答道，“你用什么工具都割不开那种金属。”","“It would puzzle any crook to force that safe,” Von Bork answered. “You won’t cut that metal with any tool.”"
"“锁呢？”","“But the lock?”"
"“开不了，锁的密码是双重的。你知道什么叫‘双重’吗？”","“No, it’s a double combination lock. You know what that is?”"
"“没听说过，”美国人说道。","“Search me,” said the American."
"“呃，意思就是你得知道一个单词加一组数字才能开锁。”他站起身来，指了指锁孔周围的双圈转盘。“外面的一圈儿是用来拨字母的，里面的一圈儿则是数字。”","“Well, you need a word as well as a set of figures before you can get the lock to work.” He rose and showed a double-radiating disc round the keyhole. “This outer one is for the letters, the inner one for the figures.”"
"“好吧，好吧，这么说也还不错。”","“Well, well, that’s fine.”"
"“瞧见了吧，它并不像你想的那么简单。保险柜是我四年前找人做的，我选的密码是哪个单词加哪组数字，你能猜得出来吗？”","“So it’s not quite as simple as you thought. it was four years ago that I had it made, and what do you think i chose for the word and figures?”"
"“这我可猜不出来。”","“it’s beyond me.”"
"“呃，我选的单词是‘ august’（八月），数字是‘ 1914’，合起来刚好就是眼下的这个时间。”","“Well, I chose August for the word, and 1914 for the figures, and here we are.”"
"美国人的脸上露出了既惊且佩的表情。","The American’s face showed his surprise and admiration."
"“我的天，这可真是妙极啦！你选的密码确实挺艺术的。”","“My, but that was smart! You had it down to a fine thing.”"
"“是啊，即便是在四年之前，我们那边的一些人也猜得出动手的日子。日子已经到了，明天早上，我这里也要关门大吉啦。”","“Yes, a few of us even then could have guessed the date. Here it is, and I’m shutting down to-morrow morning.”"
"“呃，要我说，你还得把我的事情安排好才行。我可不打算孤零零地待在这个该死的国家里。照我的估计，最多不过一个星期，约翰·布尔先生就该暴跳如雷啦。我还是隔岸观火比较安全。”","“Well, I guess you’ll have to fix me up also. i’m not staying in this gol-darned country all on my lonesome. in a week or less, from what I see, John Bull will be on his hind legs and fair ramping. I’d rather watch him from over the water.”"
"“你可是美国公民啊，有什么关系呢？”","“But you’re an American citizen?”"
"“咳，杰克·詹姆斯也是美国公民，还不是照样在波特兰[^16]蹲班房。遇上了英国的警察，说你是美国公民也不管用。他会跟你说，‘这里是英国法纪的管辖范围。’对了，先生，说到杰克·詹姆斯，我觉得你可没怎么替你的人打掩护啊。”","“Well, so was Jack James an American citizen, but he’s doing time in Portland all the same. it cuts no ice with a British copper to tell him you’re an American citizen. ‘it’s British law and order over here,’ says he. By the way, mister, talking of Jack James, it seems to me you don’t do much to cover your men.”"
"“这话是什么意思？”冯·博克厉声问道。","“What do you mean?” Von Bork asked sharply."
"“呃，你是他们的东家，对吧？不让他们栽跟头是你的责任。可是，他们确确实实栽了跟头，什么时候见你拉过他们一把呢？栽跟头的有詹姆斯——”","“Well, you are their employer, ain’t you? it’s up to you to see that they don’t fall down. But they do fall down, and when did you ever pick them up? There’s James——”"
"“那只能怪詹姆斯自己，这一点你自个儿也明白。他太爱自作主张，干不了这种活计。”","“It was James’s own fault. You know that yourself. He was too self-willed for the job.”"
"“詹姆斯确实是个笨蛋——这我倒可以打包票。接下来还有霍利斯。”","“James was a bonehead—i give you that. Then there was Hollis.”"
"“那家伙是个疯子。”","“The man was mad.”"
"“呃，快栽跟头的时候，他确实有点儿稀里糊涂。从早到晚都得跟上百个随时可能告发自己的人混在一起，想不发疯也不行啊。可是，还有斯坦纳——”","“Well, he went a bit woozy towards the end. it’s enough to make a man bughouse when he has to play a part from morning to night with a hundred guys all ready to set the coppers wise to him. But now there is Steiner——”"
"冯·博克猛一激灵，红彤彤的脸庞稍稍有点儿发白。","Von Bork started violently, and his ruddy face turned a shade paler."
"“斯坦纳怎么啦？”","“What about Steiner?”"
"“呃，没怎么，他们把他给逮住啦。昨天晚上，他们突袭了他的铺子，把他和他的文件一块儿送进了朴茨茅斯监狱。你倒是一走了之，他这个倒霉蛋却不得不承担后果，能捡条命就算不错啦。所以啊，你走了之后，我也要赶紧跑到海峡对面去。”","“Well, they’ve got him, that’s all. They raided his store last night, and he and his papers are all in Portsmouth jail. You’ll go off and he, poor devil, will have to stand the racket, and lucky if he gets off with his life. That’s why i want to get over the water as soon as you do.”"
"冯·博克是个意志坚强、深沉内敛的人，这个消息却让他受到了显而易见的震撼。","Von Bork was a strong, self-contained man, but it was easy to see that the news had shaken him."
