"石人","The Man of Adamant"
"“走开！”他叫道，“我是神圣纯洁的，而你是罪孽深重的。走开！”","“Off!” cried he.“I am sanctified, and thou art sinful.Away!”"
"“哦，理查德，”她真诚地说道，“我跋山涉水来到这里，是因为我听说有种非常严重的病吞噬了你的心脏，而一位伟大的医生告诉了我医治你这种疾病的药方。除了我带来的这种药方，就再也没有别的方法能医治你的病了。所以，别赶我走，也不要拒绝服用我的药，否则这个凄凉的洞穴必将成为你的坟墓。”","“O Richard,” said she, earnestly, “I have come this weary way because I heard that a grievous distemper had seized upon thy heart; and a great Physician hath given me the skill to cure it.There is no other remedy than this which I have brought thee.Turn me not away, therefore, nor refuse my medicine; for then must this dismal cave be thy sepulchre.”"
"“走开！”理查德·迪格比回道，仍旧阴沉地皱着眉，“我的心脏比你的健康多了。走开，世俗的人，太阳就要落山了，洞口没有阳光时，我就该做祷告了。”","“Away!” replied Richard Digby, still with a dark frown.“My heart is in better condition than thine own.Leave me, earthly one; for the sun is almost set; and when no light reaches the door of the cave, then is my prayer-time.”"
"现在，尽管玛丽·戈菲急需找到一个遮风挡雨又安全的地方歇脚，但她没有向这位铁石心肠的人恳求，也没有为自己向他索取任何东西。她的满腔热忱都是为了他的安康。","Now, great as was her need, Mary Goffe did not plead with this stony-hearted man for shelter and protection, nor ask anything whatever for her own sake.All her zeal was for his welfare."
"“跟我回去吧！”她紧握着双手喊道，“回到你的同伴们身边去吧，因为他们需要你，理查德，而你更是十倍地需要他们。别再呆在这个邪恶的洞穴里了，这里寒气逼人、湿气致命。在这洞里死亡的人都找不到去往天堂的路。快出来吧，我恳求你，看在你自己灵魂的份上，因为不是洞顶坍塌下来压在你头上，就是随时有其他灾难马上降临。”","“Come back with me!” she exclaimed, clasping her hands,—“come back to thy fellow-men; for they need thee, Richard, and thou hast tenfold need of them.Stay not in this evil den; for the air is chill, and the damps are fatal; nor will any that perish within it ever find the path to heaven.Hasten hence, I entreat thee, for thine own soul’s sake; for either the roof will fall upon thy head, or some other speedy destruction is at hand.”"
"“执迷不悟的女人！”理查德·迪格比高声大笑道——她愚蠢的热心使他冷笑——“告诉你，我现在坐着的这个狭窄入口就是直通天堂的道路。还有，你说到的毁灭注定要降临到全世界所有人的居所，却不会降临到我这个受神灵保佑的洞穴。你快走吧，那毁灭也有你的一份！”","“Perverse woman!” answered Richard Digby, laughing aloud,—for he was moved to bitter mirth by her foolish vehemence,—“I tell thee that the path to heaven leadeth straight through this narrow portal where I sit.And, moreover, the destruction thou speakest of is ordained, not for this blessed cave, but for all other habitations of mankind, throughout the earth.Get thee hence speedily, that thou mayst have thy share!”"
"说完，他再次打开《圣经》，专注地看起来，决定不让这个罪恶神谴的女子分散他的心思，也不想再在她身上浪费他圣洁的口舌。他坐的地方已变得很暗了，让他不断读错字，把那些宽厚而仁慈的内容读成了复仇的谴责，读成了降临在除他以外的任何生灵身上难以言状的灾难。此时，玛丽·戈菲一直倚靠在那墓穴般的洞穴旁边的一棵树上，面带忧伤，但她无私的忧伤流露出某种神圣和超然的神情。落日的光线依旧照在她身上，使她显得光彩照人，被折射的光线还照亮了阴暗洞穴内的一小片区域。看到洞内如此阴沉恐怖，少女不禁为这位自愿在里面受苦的人战栗不已。少女看到不远处那泓清澈的泉水，便很快走过去，用桦树皮制作成的杯子舀起泉水。几点泪水滴落进杯子，与泉水混合到一起，也许正因为如此，才使那杯水有了治病的功效。然后，她回到洞口，在理查德·迪格比的脚边跪了下来。","So saying, he opened his Bible again, and fixed his eyes intently on the page, being resolved to withdraw his thoughts from this child of sin and wrath, and to waste no more of his holy breath upon her.The shadow had now grown so deep, where he was sitting, that he made continual mistakes in what he read, converting all that was gracious and merciful to denunciations of vengeance and unutterable woe on every created being but himself.Mary Goffe, meanwhile, was leaning against a tree, beside the sepulchral cave, very sad, yet with something heavenly and ethereal in her unselfish sorrow.The light from the setting sun still glorified her form, and was reflected a little way within the darksome den, discovering so terrible a gloom that the maiden shuddered for its self-doomed inhabitant.Espying the bright fountain near at hand, she hastened thither, and scooped up a portion of its water, in a cup of birchen bark.A few tears mingled with the draught, and perhaps gave it all its efficacy.She then returned to the mouth of the cave, and knelt down at Richard Digby’s feet."
"“理查德，” 她说，语气激动而热忱，同时又带着几分温和，“我恳求你，如果你想进入天堂，不想永远住在这墓穴里，就喝下这杯圣水，哪怕是喝下一滴也行！然后，在你身边为我留下一席之地，让我们一起读这神圣书卷中的一页，最后请和我一起跪下来祈祷！照我说的去做，你那石头般坚硬的心将会变得比婴儿的心还柔软，一切都会好起来的。”","“Richard,” she said, with passionate fervor, yet a gentleness in all her passion, “I pray thee, by thy hope of heaven, and as thou wouldst not dwell in this tomb forever, drink of this hallowed water, be it but a single drop!Then, make room for me by thy side, and let us read together one page of that blessed volume; and, lastly, kneel down with me and pray!Do this, and thy stony heart shall become softer than a babe’s, and all be well.”"
"但理查德·迪格比对这建议厌恶之极。他把《圣经》扔在脚边，死盯着她，恶狠狠地紧皱着眉头，看起来不像是个活人，却像是某个思想阴暗的雕塑家手下的一尊大理石雕塑，把人类面部所能表现出的最可憎的表情都表现出来了。他的表情渐渐变得几乎如魔鬼般穷凶极恶，但玛丽·戈菲的表情也在变化，变得更加忧伤、更加温和、更加慈悲、更像是一位悲伤的天使。但是，她变得越超凡脱俗，理查德·迪格比就越憎恶她。最后，他伸手把那杯神水重重地摔在洞穴口。就这样，他拒绝了能医治好石头心脏的唯一药物。有那么片刻，空气中洋溢着甜美的芳香，随即就消失了。","But Richard Digby, in utter abhorrence of the proposal, cast the Bible at his feet, and eyed her with such a fixed and evil frown, that he looked less like a living man than a marble statue, wrought by some dark-imagined sculptor to express the most repulsive mood that human features could assume.And, as his look grew even devilish, so, with an equal change did Mary Goffe become more sad, more mild, more pitiful, more like a sorrowing angel.But, the more heavenly she was, the more hateful did she seem to Richard Digby, who at length raised his hand, and smote down the cup of hallowed water upon the threshold of the cave, thus rejecting the only medicine that could have cured his stony heart.A sweet perfume lingered in the air for a moment, and then was gone."
"“别再诱惑我了，可恶的女人，”他呼喊道，仍旧皱着眉头，一副冷酷无情的样子，“否则我把你也狠狠地摔在地上！我的《圣经》跟你有什么关系？——我的祈祷跟你有什么关系？——我的天堂跟你有什么关系？”","“Tempt me no more, accursed woman,” exclaimed he, still with his marble frown, “lest I smite thee down also!What hast thou to do with my Bible? —what with my prayers?—what with my heaven?”"
"刚说完这些可怕的话，理查德·迪格比的心脏便停止了跳动；而此时——据传说——玛丽·戈菲的身体融入了最后的一丝余晖，从这坟墓般的洞穴回到了天堂。由于几个月前玛丽·戈菲已被安葬在了英国一处墓地里，所以在那荒凉的森林中出现的女子可能是她的鬼魂，也可能是象征纯洁宗教的梦一般的幽灵。","No sooner had he spoken these dreadful words, than Richard Digby’s heart ceased to beat; while—so the legend says—the form of Mary Goffe melted into the last sunbeams, and returned from the sepulchral cave to heaven.For Mary Golfe had been buried in an English churchyard, months before; and either it was her ghost that haunted the wild forest, or else a dream-like spirit, typifying pure Religion."
"一百多年后，理查德·迪格比时代人迹罕至的森林，如今早已住上了人家，附近一户农家的孩子们正在一座小山的山脚下玩耍。由于这个陡坡的地面人迹罕至且崎岖不平，上面的树木从未被砍伐，所以十分茂密，把下面掩盖得严严实实，只看得见几块突出的岩石，岩石周围是扎根于土壤中的树木。一个小男孩和一个小女孩，为了躲藏起来不让玩伴们找到，便爬进了这阴暗的森林深处。这里不仅长有灰暗的松树，还有从悬垂着的岩石上落下来的藤本植物。它们共同形成厚厚的帷幕，使这里即便是在正午也像在黄昏时一般阴暗，一年四季几乎都像午夜一般漆黑。两小孩就在这个地方躲藏了起来，叫喊着，隔一会儿就叫一声，直到把所有寻找他俩的孩子们都吸引到了那里，然后它们拉开缠结在一起的枝蔓，让一束光隐隐约约地照了进去。但是，还没等光将洞里全部照亮，这一群小孩便同时尖叫起来，然后跌跌撞撞地跑下山，拼命往家跑，不敢朝那阴沉的幽深处再看一眼。孩子们的父亲不知道什么把它们吓成这样，于是带上斧头，砍倒了一两棵树，又扯断了各种蔓藤植物，洞内的神秘便显露在光天化日之下。他发现了一个山洞，其入口很像一座墓穴的入口，里面坐着一个人形，其坐姿和神态吓得父亲和孩子们都不敢靠近。那人紧皱双眉的面容，令人望而却步。这令人生畏的人形看似跟洞穴的洞壁和入口一样，都是用灰石雕琢而成的。事实上，再仔细一看，可以发现有些问题，让人质疑这是否真的是一尊人工雕刻的雕像，只是随着岁月的流逝受到磨损而腐蚀了，或者是大自然想在一块石头上模仿出其通常制造的血肉之躯，就制造出了这么个怪人。也许，对于这一奇异景象，最合理的解释就是，洞穴的湿气具有石化作用，能很好地保持一具尸体不腐烂。","Above a century afterwards, when the trackless forest of Richard Digby’s day had long been interspersed with settlements, the children of a neighboring farmer were playing at the foot of a hill.The trees, on account of the rude and broken surface of this acclivity, had never been felled, and were crowded so densely together as to hide all but a few rocky prominences, wherever their roots could grapple with the soil.A little boy and girl, to conceal themselves from their playmates, had crept into the deepest shade, where not only the darksome pines, but a thick veil of creeping plants suspended from an overhanging rock, combined to make a twilight at noonday, and almost a midnight at all other seasons.There the children hid themselves, and shouted, repeating the cry at intervals, till the whole party of pursuers were drawn thither, and, pulling aside the matted foliage, let in a doubtful glimpse of daylight.But scarcely was this accomplished, when the little group uttered a simultaneous shriek, and tumbled headlong down the hill, making the best of their way homeward, without a second glance into the gloomy recess.Their father, unable to comprehend what had so startled them, took his axe, and, by felling one or two trees, and tearing away the creeping plants, laid the mystery open to the day.He had discovered the entrance of a cave, closely resembling the mouth of a sepulchre, within which sat the figure of a man, whose gesture and attitude warned the father and children to stand back, while his visage wore a most forbidding frown.This repulsive personage seemed to have been carved in the same gray stone that formed the walls and portal of the cave.On minuter inspection, indeed, such blemishes were observed, as made it doubtful whether the figure were really a statue, chiselled by human art and somewhat worn and defaced by the lapse of ages, or a freak of Nature, who might have chosen to imitate, in stone, her usual handiwork of flesh.Perhaps it was the least unreasonable idea, suggested by this strange spectacle, that the moisture of the cave possessed a petrifying quality, which had thus awfully embalmed a human corpse."
"这石人的面容看起来如此恐怖，以至于农夫刚从看他的第一眼中回过神来便开始堆起石头，堵塞住洞口。跟他一起来到小山边的妻子也帮他堵洞口。孩子们也勇敢地尽可能向前靠近，用他们的小手抓了满手的小圆石，扔到石堆上。然后，他们用泥土填满缝隙，用草皮盖住整个石堆。于是，这一发现的所有痕迹都被抹去了，只留下了一个绝妙的传说代代相传。孩子们讲给他们的子孙们听，他们的子孙们又把它讲给后一代听。就这样，这传说变得愈来愈荒诞离奇。直到后来，很少有人相信，在那幽暗的小山坡上曾经有一个山洞或者一尊石像，人们现在看到的只是一片绿油油的草地。但是，大人们都回避那个地方，小孩们也都不去那里玩耍。友情、爱情、虔诚，一切人间和天堂的怜悯之心应该都远离那个隐蔽的山洞。因为除非地震把洞顶震塌下来压在他头上，否则理查德·迪格比会依旧坐在那里，永远坐在那里，以一种排斥整个凡众的姿态——不是来自天堂——而是来自于他黑暗、冰冷的坟墓里那恐怖的孤寂！","There was something so frightful in the aspect of this Man of Adamant, that the farmer, the moment that he recovered from the fascination of his first gaze, began to heap stones into the mouth of the cavern.His wife, who had followed him to the hill, assisted her husband’s efforts.The children, also, approached as near as they durst, with their little hands full of pebbles, and cast them on the pile.Earth was then thrown into the crevices, and the whole fabric overlaid with sods.Thus all traces of the discovery were obliterated, leaving only a marvellous legend, which grew wilder from one generation to another, as the children told it to their grandchildren, and they to their posterity, till few believed that there had ever been a cavern or a statue, where now they saw but a grassy patch on the shadowy hillside.Yet, grown people avoid the spot, nor do children play there.Friendship, and Love, and Piety, all human and celestial sympathies, should keep aloof from that hidden cave; for there still sits, and, unless an earthquake crumble down the roof upon his head, shall sit forever, the shape of Richard Digby, in the attitude of repelling the whole race of mortals,—not from heaven,—but from the horrible loneliness of his dark, cold sepulchre!"
