"风险家","The Venturers"
"“一分钱都没有吗？”那个爱管闲事的人走近一些问他。","“All in?” asked the intruder, drawing nearer."
"“看样子好像是，”福斯特说，“我原以为我口袋里可能还有一美元呢——”","“Seems so,” said Forster.“Now, I thought there was a dollar in—” "
"“哦，我知道，”那个人笑着说道，“可惜没有。我刚才在拐角也经历了同样的过程。我在背心上面的口袋里正好找到了两便士，我自己都不知道怎么会在那儿的。你知道，两便士什么都买不了！”","“Oh, I know,” said the other man, with a laugh.“But there wasn’t.I’ve just been through the same process myself, as I was coming around the corner.I found in an upper vest pocket—I don’t know how they got there—exactly two pennies.You know what kind of a dinner exactly two pennies will buy!”"
"“你也没有吃饭，对么？”福斯特问道。","“You haven’t dined, then?” asked Forster."
"“我还没吃。但是我想吃。现在，我有个提议。你看起来倒挺乐意接受的。你的穿着整洁而体面。请恕我冒昧。我认为我的着装肯定也能逃过服务员领班的打量。要不我们一起去那家饭店用餐。我们就像百万富翁一样点餐——或者，如果你愿意的话，我们也可以像生活境况一般的绅士一样偶尔奢侈地大吃一顿。吃完之后，用我的两便士抛掷，决定由谁去承受掌柜的不快和报复。我叫艾夫斯。我想我们的社会地位应该差不多——当我们还有钱时。”","“I have not.But I would like to.Now, I’ll make you a proposition.You look like a man who would take up one.Your clothes look neat and respectable.Excuse personalities.I think mine will pass the scrutiny of a head waiter, also.Suppose we go over to that hotel and dine together.We will choose from the menu like millionaires—or, if you prefer, like gentlemen in moderate circumstances dining extravagantly for once.When we have finished we will match with my two pennies to see which of us will stand the brunt of the house’s displeasure and vengeance.My name is Ives.I think we have lived in the same station of life—before our money took wings.”"
"“赌就赌吧。”福斯特快乐地说道。","“You’re on,” said Forster, joyfully."
"在神秘的机遇国度，这至少算得上是一次冒险——不管怎样，它赌的东西比这顿令人不爽的饭要好得多。","Here was a venture at least within the borders of the mysterious country of Chance—anyhow, it promised something better than the stale infestivity of a table d’hôte."
"于是两个人很快在那家餐厅角落的桌旁坐了下来。艾夫斯把他的一个便士从桌子上抛给了福斯特。","The two were soon seated at a corner table in the hotel dining room.Ives chucked one of his pennies across the table to Forster."
"“决定由谁来点餐。”他说。","“Match for which of us gives the order,” he said."
"福斯特输了。","Forster lost."
"艾夫斯大笑起来，然后开始让服务员上菜和酒，那专心致志、冷静斟酌的样子一看就知道他是个点菜的老手。福斯特一边听着一边表示赞赏和同意。","Ives laughed and began to name liquids and viands to the waiter with the absorbed but calm deliberation of one who was to the menu born.Forster, listening, gave his admiring approval of the order."
"“我这个人呀，”在上牡蛎期间，艾夫斯说，“一直对‘欲知后事如何’这方面的问题苦苦寻求。我不像只是垂涎于奖赏的一般冒险家。我也不像那些明知会有输赢还下赌注的赌徒。我想要的是邂逅一次不知结果的冒险。就好像呼吸对我来说是真实存在的，我需要有勇气去面对最盲目的命运。世界的运转越来越机械且有规律，以至于所有的机遇小径上你都能找到告知你会在小径的尽头遇到什么的标识牌。我就好像是啰嗦部门的职员，只要一有人来咨询就会抱怨不已。然后推荐给自己的同事说：‘他想了解的你最清楚了！’反正我不想知道，我也不愿去推断，不想作任何的猜测——我所想的是不看手里的牌就直接下赌注。”","“I am a man,” said Ives, during the oysters, “Who has made a lifetime search after the to-be-continued-in-our-next.I am not like the ordinary adventurer who strikes for a coveted prize.Nor yet am I like a gambler who knows he is either to win or lose a certain set stake.What I want is to encounter an adventure to which I can predict no conclusion.It is the breath of existence to me to dare Fate in its blindest manifestations.The world has come to run so much by rote and gravitation that you can enter upon hardly any footpath of chance in which you do not find signboards informing you of what you may expect at its end.I am like the clerk in the Circumlocution Office who always complained bitterly when any one came in to ask information.‘He wanted to know, you know!’ was the kick he made to his fellow-clerks.Well, I don’t want to know, I don’t want to reason, I don’t want to guess—I want to bet my hand without seeing it.”"
"“我明白了，”福斯特愉快地说，“我常常想把我的想法用言语表达出来。而你却做到了这一点。我想抓住每一次到来的机会。下一道菜时我们来一瓶摩泽尔白葡萄酒如何？”","“I understand,” said Forster delightedly.“I’ve often wanted the way I feel put into words.You’ve done it.I want to take chances on what’s coming.Suppose we have a bottle of Moselle with the next course.”"
"“我赞同，”艾夫斯说，“我很高兴你能理解我的意思。它会让店主对吃霸王餐的人更加憎恨。如果你不厌倦的话，我们将继续探讨这个话题。我很少遇见真正的风险家——也就是那种不向命运索要日程和地图就开始一段旅程的人。但是，由于世人比从前更文明、更明智了，想要开始一段无法预知结果的旅程已经变得越来越困难了。伊丽莎白时期，你可以攻击守门人，拧下门环，如果有时间的话在墙角直接拔出剑来与人大快淋漓地搏击一番，然后安然离开。现今，如果你对一名警察说话不恭敬，你只能够浪漫地幻想一番后，揣测他将把你送到哪家警察局。”","“Agreed,” said Ives.“I’m glad you catch my idea.It will increase the animosity of the house toward the loser.If it does not weary you, we will pursue the theme.Only a few times have I met a true venturer—one who does not ask a schedule and map from Fate when he begins a journey.But, as the world becomes more civilized and wiser, the more difficult it is to come upon an adventure the end of which you cannot foresee.In the Elizabethan days you could assault the watch, wring knockers from doors and have a jolly set-to with the blades in any convenient angle of a wall and ‘get away with it.’Nowadays, if you speak disrespectfully to a policeman, all that is left to the most romantic fancy is to conjecture in what particular police station he will land you.”"
"“我知道——我知道。”福斯特赞许地点点头。","“I know—I know,” said Forster, nodding approval."
"三年的环球旅行之后，我是今天刚回到纽约的，”艾夫斯继续说道，“国外的境况比起国内也好不到哪里去。整个世界似乎都被结局肆意地掌控着。唯一使我感兴趣的就是前提。我在非洲射击过猛兽。我知道高速步枪的射程；当大象或犀牛中弹倒地时，我会像小时候放学之后被留校在黑板上做很长的算术题那样快活。”","“I returned to New York to-day,” continued Ives, “from a three years’ ramble around the globe.Things are not much better abroad than they are at home.The whole world seems to be overrun by conclusions.The only thing that interests me greatly is a premise.I’ve tried shooting big game in Africa.I know what an express rifle will do at so many yards; and when an elephant or a rhinoceros falls to the bullet, I enjoy it about as much as I did when I was kept in after school to do a sum in long division on the blackboard.”"
"“我明白——我明白。”福斯特说。","“I know—I know,” said Forster."
"“飞机里可能会有什么东西，”艾夫斯陷入了沉思，继续说道，“我尝试过操纵气球，但那看起来也只不过是风和压载物预先准备好的事情。”","“There might be something in aeroplanes,” went on Ives, reflectively.“I’ve tried ballooning; but it seems to be merely a cut-and-dried affair of wind and ballast.”"
"“那女人呢。”福斯特笑着问道。","“Women,” suggested Forster, with a smile."
"“三个月前，”艾夫斯说，“我在君士坦丁堡的一个集市闲逛。我看见了一个女士，当然是蒙着面，但露出了一双很美丽的大眼睛。那时她正在一个货摊上看琥珀和珍珠饰品。在她身边是一名身材魁梧、肤色跟煤炭一样黑的努比亚随从。过了一会儿，那个随从慢慢地向我走近，然后把一张纸条悄悄地塞进了我的手中。逮着个机会，我看了一下那张纸条。纸上有几个仓促而潦草的铅笔字：‘今晚九点夜莺公园拱形门见’。福斯特先生，你觉得那是个有趣的前提吗？”","“Three months ago,” said Ives.“I was pottering around in one of the bazaars in Constantinople.I noticed a lady, veiled, of course, but with a pair of especially fine eyes visible, who was examining some amber and pearl ornaments at one of the booths.With her was an attendant—a big Nubian, as black as coal.After a while the attendant drew nearer to me by degrees and slipped a scrap of paper into my hand.I looked at it when I got a chance.On it was scrawled hastily in pencil: ‘The arched gate of the Nightingale Garden at nine to-night.’Does that appear to you to be an interesting premise, Mr. Forster?”"
"“我打听了一下，得知那个夜莺花园归属于一个土耳其老人的——他应该是一个大维齐尔之类的大人物。当然，我自己先去拱形门勘测了一番，九点钟我就到那里了。之前的那个努比亚随从准时为我打开了拱形门，我走了进去，和那位女士一起坐在芬芳扑鼻的喷泉旁的长凳上。我们聊了许久。她叫默特尔·汤普森，是一名女记者，为芝加哥报社撰写关于土耳其人的闺房之事。她说在集市上看到我一身纽约穿着，就猜想我能不能使她的文章得以在大都市报刊上发表。”","“I made inquiries and learned that the Nightingale Garden was the property of an old Turk—a grand vizier, or something of the sort.Of course I prospected for the arched gate and was there at nine.The same Nubian attendant opened the gate promptly on time, and I went inside and sat on a bench by a perfumed fountain with the veiled lady.We had quite an extended chat.She was Myrtle Thompson, a lady journalist, who was writing up the Turkish harems for a Chicago newspaper.She said she noticed the New York cut of my clothes in the bazaar and wondered if I couldn’t work something into the metropolitan papers about it.”"
"“原来是这样啊，”福斯特说，“我明白啦。”","“I see,” said Forster.“I see.”"
"“我曾乘独木舟穿过加拿大的许多湍流和瀑布，”艾夫斯说，“但是我似乎没有得到我想要的。因为我知道只有两种可能的结果——我不是下沉到水底就是漂到海平面上去。我玩过很多纸牌游戏，但数学家算出的概率将游戏的兴致一扫而光。我在火车上结识了一些陌生人，去过一些广告公司面试，按响过陌生人的门铃，我抓住了每个找上门来的机会；但总是以一贯的结局告终——对前提合乎情理的结论。”","“I’ve canoed through Canada,” said Ives, “down many rapids and over many falls.But I didn’t seem to get what I wanted out of it because I knew there were only two possible outcomes—I would either go to the bottom or arrive at the sea level.I’ve played all games at cards; but the mathematicians have spoiled that sport by computing the percentages.I’ve made acquaintances on trains, I’ve answered advertisements, I’ve rung strange door-bells, I’ve taken every chance that presented itself; but there has always been the conventional ending—the logical conclusion to the premise.”"
"“我明白，”福斯特说，“我也有过这种感受。但是机会来临时我却很少有机会抓住我的机会。哪里的生活像这个城市的一样，如此缺乏不可预测的事？我们似乎有无数的机会去验证不确定的事，但是不符合预期结果的机率不到千分之一。我真希望地铁和电车偶尔能让人失望一次。”","“I know,” repeated Forster.“I’ve felt it all.But I’ve had few chances to take my chance at chances.Is there any life so devoid of impossibilities as life in this city?There seems to be a myriad of opportunities for testing the undeterminable; but not one in a thousand fails to land you where you expected it to stop.I wish the subways and street cars disappointed one as seldom.”"
"“那真是晚上出太阳，”艾夫斯说，再也没有哈里发了。渔夫的瓶子变成了真空瓶，使任何一个被煮熟了或者冻僵了的妖怪都能保温四十八个小时。生活总是一成不变。科学使得冒险灭绝。再也没有像哥伦布发现新大陆和第一次吃螃蟹的机会了。我们唯一确定的是，世界上再也没有什么不确定的事了。”","“The sun has risen,” said Ives, “on the Arabian nights.There are no more caliphs.The fisherman’s vase is turned to a vacuum bottle, warranted to keep any genie boiling or frozen for forty-eight hours.Life moves by rote.Science has killed adventure.There are no more opportunities such as Columbus and the man who ate the first oyster had.The only certain thing is that there is nothing uncertain.”"
"“哎，”福斯特说，“我自己毕竟是个城里人，经验有限。我没有你那么见多识广，但是看起来我们却持有相同的观点。但是，我告诉你，我对于这次我们有幸一起在这个偶然的领域冒这个小小的险深感愉快。当晚餐的账单出来时，我们可能会窒息那么一小会儿。毕竟，一个不带临行凭证或钱包就上路的旅行家，比带着随从盔甲，衬衫里放着亚瑟王的保付支票去国外参加协商会议的圆桌骑士要更能体味生活的意味。现在如果你的咖啡已经喝完了，我们是不是要用你仅有的硬币来决定一下，由谁去应付即将到来的命运的挑战。你赌哪面朝上啊？”","“Well,” said Forster, “my experience has been the limited one of a city man.I haven’t seen the world as you have; but it seems that we view it with the same opinion.But, I tell you I am grateful for even this little venture of ours into the borders of the haphazard.There may be at least one breathless moment when the bill for the dinner is presented.Perhaps, after all, the pilgrims who traveled without scrip or purse found a keener taste to life than did the knights of the Round Table who rode abroad with a retinue and King Arthur’s certified checks in the lining of their helmets.And now, if you’ve finished your coffee, suppose we match one of your insufficient coins for the impending blow of Fate.What have I up?”"
"“我赌正面。”艾夫斯喊道。","“Heads,” called Ives."
"“果然是正面朝上，”福斯特举起手说道，“我输了。我们忘了商量如何设法让赢家脱身。我建议当服务员来的时候，你就说要打电话给一个朋友。我会留守要塞并慢慢核实账单，给你足够的时间拿帽子离开。艾夫斯先生，感谢你和我一起度过了一个非同寻常的夜晚，若有机会，我希望我们下次再聚。”","“Heads it is,” said Forster, lifting his hand.“I lose.We forgot to agree upon a plan for the winner to escape.I suggest that when the waiter comes you make a remark about telephoning to a friend.I will hold the fort and the dinner check long enough for you to get your hat and be off.I thank you for an evening out of the ordinary, Mr. Ives, and wish we might have others.”"
"“如果我没记错的话，”艾夫斯笑着说，“离这最近的警局应该是在麦克杜格街吧。说真的，这顿晚餐我也相当愉快。”","“If my memory is not at fault,” said Ives, laughing, “the nearest police station is in MacDougal Street.I have enjoyed the dinner, too, let me assure you.”"
"福斯特弯了弯手指，招呼服务员。维克多迅速滑步到桌旁，把账单扣着放在输了的一方的杯子旁。福斯特把账单拿了起来，特别仔细地算起了总额。而艾夫斯则安逸地躺在椅子上。","Forster crooked his finger for the waiter.Victor, with a locomotive effort that seemed to owe more to pneumatics than to pedestrianism, glided to the table and laid the card, face downward, by the loser’s cup.Forster took it up and added the figures with deliberate care.Ives leaned back comfortably in his chair."
"“对不起，”福斯特说，“我想起来了，你不是要打电话给格兰姆斯商谈关于星期四晚上一起看戏的事吗？你不会忘记了吧？”","“Excuse me,” said Forster; “but I thought you were going to ring Grimes about that theatre party for Thursday night.Had you forgotten about it?”"
"“哦，”艾夫斯舒舒服服地调整了一下坐姿说道，“我可以呆会儿再打啊。服务员，请给我一杯水。”","“Oh,” said Ives, settling himself more comfortably, “I can do that later on.Get me a glass of water, waiter.”"
"“你想看看结果，是吗？”福斯特问。","“Want to be in at the death, do you?” asked Forster."
"“希望你不会反对啊，”艾夫斯苦苦哀求道，“我这一生从来没见过一个绅士因在公共餐馆吃霸王餐而被逮捕。”","“I hope you don’t object,” said Ives, pleadingly.“Never in my life have I seen a gentleman arrested in a public restaurant for swindling it out of a dinner.”"
"“好吧，”福斯特冷静地说，“就当作是咖啡后的小酌吧，你有权看到基督徒死在竞技场上。”","“All right,” said Forster, calmly.“You are entitled to see a Christian die in the arena as your pousse-café.”"
"维克多端来了一杯水，然后像一个不屈不挠的讨债人似的站在桌旁不走。","Victor came with the glass of water and remained, with the disengaged air of an inexorable collector."
"福斯特犹豫了十五秒钟之后，然后从口袋里拿出一支铅笔，在晚餐账单上草草地签下了他的名字。服务员鞠了个躬，把账单拿走了。","Forster hesitated for fifteen seconds, and then took a pencil from his pocket and scribbled his name on the dinner check.The waiter bowed and took it away."
"“事实是这样的，”福斯特尴尬地笑着说，“我不知道我是不是他们所谓的‘大玩家’，也就是那种追名逐利的人。我不得不坦白招认。一年来，我每周都在这家餐厅吃两三顿饭。我总是签下支票。”然后，他带着赞赏的语气说：“你明明知道我口袋里没有钱，你还冒着被送进警察局的危险陪我玩这个游戏，实在佩服。”","“The fact is,” said Forster, with a little embarrassed laugh, “I doubt whether I’m what they call a ‘game sport,’ which means the same as a ‘soldier of Fortune.’I’ll have to make a confession.I’ve been dining at this hotel two or three times a week for more than a year.I always sign my checks.”And then, with a note of appreciation in his voice: “It was first-rate of you to stay to see me through with it when you knew I had no money, and that you might be scooped in, too.”"
"“我想这下我也得招认了，”艾夫斯露齿而笑，“我是这家饭店的老板。当然，我自己没有亲自经营，但是在三楼有一套我专用的客房，供我偶尔来纽约时住。”","“I guess I’ll confess, too,” said Ives, with a grin.“I own the hotel.I don’t run it, of course, but I always keep a suite on the third floor for my use when I happen to stray into town.”"
"他招呼一个服务员问道：“吉尔摩先生在办公室吗？好。你通知他一声，艾夫斯先生来了，让他把我的房间安排好，通通风。”","He called a waiter and said: “Is Mr. Gilmore still behind the desk?All right.Tell him that Mr. Ives is here, and ask him to have my rooms made ready and aired.”"
"“无可避免地又一次风险中断了，”福斯特说，“下次你还有解不开的难题吗？如果你愿意的话，我们可以再花一两分钟谈这个话题。能够理解我找出的这些现实存在的缺陷的人并不多。我下个月就要结婚了。”","“Another venture cut short by the inevitable,” said Forster.“Is there a conundrum without an answer in the next number?But let’s hold to our subject just for a minute or two, if you will.It isn’t often that I meet a man who understands the flaws I pick in existence.I am engaged to be married a month from to-day.”"
"“我保留意见。”艾夫斯说。","“I reserve comment,” said Ives."
"“对了，我还有话要说。我真心喜欢那位女士，但是我不能确定能不能在结婚那天在教堂出现，或者说，我可能要一个人溜达去阿拉斯加。你明白，还是那个话题——考虑所有的可能性，结婚会带给人什么样的变化。谁都知道这个惯例——早餐之后，妻子会给你锡兰茶似的甜蜜亲吻；然后你去上班；下班之后回家，换好衣服外出吃饭——一周看两次电影——各种消费——大多数晚上都无精打采，出去溜达想找找话题——偶尔和妻子争吵一番——有时甚至大吵一番，然后分居——或者最糟的情况就是等风波平息之后勉强一起过日子。”","“Right; I am going to add to the assertion.I am devotedly fond of the lady; but I can’t decide whether to show up at the church or make a sneak for Alaska.It’s the same idea, you know, that we were discussing—it does for a fellow as far as possibilities are concerned.Everybody knows the routine—you get a kiss flavored with Ceylon tea after breakfast; you go to the office; you come back home and dress for dinner—theatre twice a week—bills—moping around most evenings trying to make conversation—a little quarrel occasionally—maybe sometimes a big one, and a separation—or else a settling down into a middle-aged contentment, which is worst of all.”"
"“我知道。”艾夫斯明智地点点头。","“I know,” said Ives, nodding wisely."
"“最令我疑惑不安的是事情的必然性，”福斯特说，“再也没有什么事情不可知了。”","“It’s the dead certainty of the thing,” went on Forster, “that keeps me in doubt.There’ll nevermore be anything around the corner.”"
"“确实婚礼之后的事情不言而喻，”艾夫斯说。“我知道。”","“Nothing after the ‘Little Church,’” said Ives.“I know.”"
"“你知道的，”福斯特说，“我对那个女士的感情是毋庸置疑的。我可以说我真的是深爱着她。但是我的血液里有一股浪潮强烈反对任何能预测的事。我不知道我究竟想要什么；但是我知道我需要它。我像个白痴一样说这些话，但是我很肯定我的意思。”","“Understand,” said Forster, “that I am in no doubt as to my feelings toward the lady.I may say that I love her truly and deeply.But there is something in the current that runs through my veins that cries out against any form of the calculable.I do not know what I want; but I know that I want it.I’m talking like an idiot, I suppose, but I’m sure of what I mean.”"
"“我理解你，”艾夫斯微微笑了笑说，“我想我现在要回房了。如果哪天我还能和你一起共进晚餐，福斯特先生，我将非常高兴。”","“I understand you,” said Ives, with a slow smile.“Well, I think I will be going up to my rooms now.If you would dine with me here one evening soon, Mr.  Forster, I’d be glad.”"
"“星期四如何？”福斯特提议道。","“Thursday?” suggested Forster."
"“如果方便的话，就七点吧。”艾夫斯说道。","“At seven, if it’s convenient,” answered Ives."
"“那就七点。”福斯特同意道。","“Seven goes,” assented Forster."
"八点半时艾夫斯叫了一辆出租车，来到西区七十几街的一户人家。他出示了一下名片便进入了一幢老式的接待室，那里是运气、机遇和冒险从来都不敢进去的地方。墙上挂着惠斯勒的蚀刻版画、不知名的铜板画、葡萄和花园的静态画、桌上的西瓜籽栩栩如生，还有格勒兹的肖像画。那是一个人家的住房。那里还有铁制的黄铜支架。桌上放着一本半摩洛哥革半氧化银的相簿，相簿的各个棱角有银片保护。壁炉架上的大钟八点五十五的时候会大声地敲击一下。艾夫斯好奇地瞅了瞅，回忆起他祖母家也有这么一个钟会发出这样的声音。","At half-past eight Ives got into a cab and was driven to a number in one of the correct West Seventies.His card admitted him to the reception room of an old-fashioned house into which the spirits of Fortune, Chance and Adventure had never dared to enter.On the walls were the Whistler etchings, the steel engravings by Oh-what’s-his-name?, the still-life paintings of the grapes and garden truck with the watermelon seeds spilled on the table as natural as life, and the Greuze head.It was a household.There was even brass andirons.On a table was an album, half-morocco, with oxidized-silver protections on the corners of the lids.A clock on the mantel ticked loudly, with a warning click at five minutes to nine.Ives looked at it curiously, remembering a time-piece in his grandmother’s home that gave such a warning."
