"意外","The Unexpected"
"首先，他们砍到了许多云杉，建起了一幢有三间屋子的小房子。打理家务成了伊迪丝·纳尔逊的任务。男人们的任务则是寻找金矿，而且要找到，他们也办到了。这倒不是什么惊人的大发现，因为只是一处储量很低的冲积矿，辛辛苦苦干上很长时间，一个人每天也只能得到十五到二十美元的金砂。这一年，阿拉斯加短暂的夏天比往年拖长了不少，他们就抓住这个机会，尽量推迟回斯卡圭的时间。结果，一切都太晚了。他们本来跟当地的几十个印第安人约好，等印第安人秋天去做生意的时候，一起南下海岸。印第安人等着这些白人等到最后一刻，终于开船走了。这伙人除了等偶然的机会搭个船之外，已经没有别的路可走了。这段日子里，他们淘光了金矿，贮存了许多木柴。","First, spruce trees were cut down and a three-room cabin constructed.To keep this cabin was Edith Nelson’s task.The task of the men was to search for gold, which they did; and to find gold, which they likewise did.It was not a startling find, merely a low-pay placer where long hours of severe toil earned each man between fifteen and twenty dollars a day.The brief Alaskan summer protracted itself beyond its usual length, and they took advantage of the opportunity, delaying their return to Skaguay to the last moment.And then it was too late.Arrangements had been made to accompany the several dozen local Indians on their fall trading trip down the coast.The Siwashes had waited on the white people until the eleventh hour, and then departed.There was no course left the party but to wait for chance transportation.In the meantime the claim was cleaned up and firewood stocked in."
"温暖的深秋像梦一样持续了好长时间，突然之间，冬天就带着尖利的呼号到来了。一夜之间冬天就来了，几个淘金者一觉醒来，已经是狂风大作、大雪纷飞、千里冰封。暴风雪一次又一次地刮起，中间间歇的时候，天地之间静悄悄的，只有澎湃的浪花拍打在荒凉的海岸上，打破这一沉寂，浓霜似的盐沫给沙滩镶上了一道白边。","The Indian summer had dreamed on and on, and then, suddenly, with the sharpness of bugles, winter came.It came in a single night, and the miners awoke to howling wind, driving snow, and freezing water.Storm followed storm, and between the storms there was the silence, broken only by the boom of the surf on the desolate shore, where the salt spray rimmed the beach with frozen white."
"房子里则是一切如意。金砂都称过了，约有八千美元，他们没法不感到心满意足。男人们都做了雪鞋，出去打一次猎就能带回好多新鲜肉储藏起来；漫漫长夜里，他们就一直玩牌，有时候打惠斯特，有时候打彼得牌。既然采矿已经结束，伊迪丝·纳尔逊就把生火和洗盘子的工作交给男人们去干，而她则为他们补袜子、缝衣服。","All went well in the cabin.Their gold-dust had weighed up something like eight thousand dollars, and they could not but be contented.The men made snowshoes, hunted fresh meat for the larder, and in the long evenings played endless games of whist and pedro.Now that the mining had ceased, Edith Nelson turned over the fire-building and the dish-washing to the men, while she darned their socks and mended their clothes."
"这幢小房子里从来没有抱怨、争吵，也没有发生过琐碎的拌嘴；这伙人的运气还不错，所以他们常常彼此祝贺。汉斯·纳尔逊头脑迟钝，待人随和，而伊迪丝早就凭借她待人接物的本事赢得了他无限的钦佩。哈基是个高大而干瘦的德克萨斯人，虽然性情忧郁，沉默寡言，但对人非常友善；只要他那套金子会生长的论调没人跳出来反对，他就是一个非常好相处的人。这个小集团的第四个成员叫迈克尔·丹宁，他给小房子里欢愉的气氛中增添了爱尔兰式的睿智。他是一个魁梧有力的人，容易为一些小事突然发火，可是每逢大事，局面紧张的时候，他又总能保持不错的心境。第五个，也是最后一个成员，叫做达基，自愿充当这个小集团的开心果。为了大家高兴，他甚至不惜自己出丑来制造笑料。他活着的目的似乎就是惹人发笑。在他们平静的生活中，从来没有发生过严重的争吵。既然干了短短一夏天，每人就收获了一千六百美元，小房子笼罩在一片富足、满意的氛围当中。","There was no grumbling, no bickering, nor petty quarrelling in the little cabin, and they often congratulated one another on the general happiness of the party.Hans Nelson was stolid and easy-going, while Edith had long before won his unbounded admiration by her capacity for getting on with people.Harkey, a long, lank Texan, was unusually friendly for one with a saturnine disposition, and, as long as his theory that gold grew was not challenged, was quite companionable.The fourth member of the party, Michael Dennin, contributed his Irish wit to the gayety of the cabin.He was a large, powerful man, prone to sudden rushes of anger over little things, and of unfailing good-humor under the stress and strain of big things.The fifth and last member, Dutchy, was the willing butt of the party.He even went out of his way to raise a laugh at his own expense in order to keep things cheerful.His deliberate aim in life seemed to be that of a maker of laughter.No serious quarrel had ever vexed the serenity of the party; and, now that each had sixteen hundred dollars to show for a short summer’s work, there reigned the well-fed, contented spirit of prosperity."
"接着，意外就发生了。他们刚坐在桌边准备吃早饭。尽管已经八点钟了（淘金的活儿停止以后，早餐自然也就吃得晚些了），还是得点燃那支插在瓶口的蜡烛来照亮饭桌。伊迪丝和汉斯分坐在桌子的两头。哈基和达基背靠着门，坐在桌子的一边。他们对面还空着一个位子。丹宁还没有来。","And then the unexpected happened.They had just sat down to the breakfast table.Though it was already eight o’clock (late breakfasts had followed naturally upon cessation of the steady work at mining) a candle in the neck of a bottle lighted the meal.Edith and Hans sat at each end of the table.On one side, with their backs to the door, sat Harkey and Dutchy.The place on the other side was vacant.Dennin had not yet come in."
"汉斯·纳尔逊看了一眼那把空椅子，缓缓地摇摇头，想要幽默一把，却说不好：“平常说到吃，他跑得最快了。真奇怪。可能他病了吧？”","Hans Nelson looked at the empty chair, shook his head slowly, and, with a ponderous attempt at humor, said: “Always is he first at the grub.It is very strange.Maybe he is sick.”"
"“迈克尔去哪儿了？”伊迪丝问道。","“Where is Michael?”Edith asked."
"“他起得比我们早一点，出去了。”哈基回答道。","“Got up a little ahead of us and went outside,” Harkey answered."
"达基的脸上露出淘气的笑容。他假装知道丹宁为什么没来，摆出一副神神秘秘的表情，结果大家都吵着向他打听。伊迪丝往男人们的寝室里望了一眼，回到桌子前来。汉斯看了看她，她则摇了摇头。","Dutchy’s face beamed mischievously.He pretended knowledge of Dennin’s absence, and affected a mysterious air, while they clamored for information.Edith, after a peep into the men’s bunk-room, returned to the table.Hans looked at her, and she shook her head."
"“他以前从来不会误饭点的。”她说。","“He was never late at meal-time before,” she remarked."
"“我想不明白，”汉斯说，“他的胃口一贯大得像马。”","“I cannot understand,” said Hans.“Always has he the great appetite like the horse.”"
"“太糟啦。”达基伤心地摇着头说道。","“It is too bad,” Dutchy said, with a sad shake of his head."
"有个伙伴没来，他们却借此大开玩笑。","They were beginning to make merry over their comrade’s absence."
"“实在是太可怜了！”达基主动挑起话题来。","“It is a great pity!”Dutchy volunteered."
"“怎么了？”其他人异口同声地问他。","“What?” they demanded in chorus."
"“可怜的迈克尔啊，”他的回答充满惋惜的味道。","“Poor Michael,” was the mournful reply."
"“哎，迈克尔怎么啦？”哈基问道。","“Well, what’s wrong with Michael?”Harkey asked."
"“他不会再觉得饿了，”达基惨兮兮地说，“他把胃口丢了。他不喜欢吃的了。”","“He is not hungry no more,” wailed Dutchy.“He has lost der appetite.He do not like der grub.”"
"“怎么会，他吃起东西来耳朵都快埋进去了。”哈基说。","“Not from the way he pitches into it up to his ears,” remarked Harkey."
"“他这样做，是对纳尔逊太太表示礼貌，”达基马上反驳到，“我知道的，我知道的，太糟了。他为啥不在这儿呢？因为他出去了。为啥要出去呢？出去开开胃。他怎么开胃呢？光脚在雪地上走。噢！我还会不知道？有钱人要是没胃口了，胃口跑了，这就是他们找回胃口的办法。迈克尔有一千六百块的金砂。他是有钱人。他就没胃口了。所以呢，于是乎，他就得把胃口追回来。你们要是打开门，就能看见他光着脚在雪地上走呢。不过你们看不见他的胃口。这正是困扰他的地方。他要是见着了胃口，就抓回来吃早饭了。”","“He does dot shust to be politeful to Mrs. Nelson,” was Dutchy’s quick retort.“I know, I know, and it is too pad.Why is he not here?Pecause he haf gone out.Why haf he gone out?For der defelopment of der appetite.How does he defelop der appetite?He walks barefoots in der snow.Ach! don’t I know?It is der way der rich peoples chases after der appetite when it is no more and is running away.Michael haf sixteen hundred dollars.He is rich peoples.He haf no appetite.Derefore, pecause, he is chasing der appetite.Shust you open der door und you will see his barefoots in der snow.No, you will not see der appetite.Dot is shust his trouble.When he sees der appetite he will catch it und come to preak-fast.”"
"达基的胡言乱语惹得大家哈哈大笑。笑声还没停，门就打开了，丹宁走了进来。大家都转过头去看他。他手里拿着一杆猎枪。就在他们看着的时候，丹宁把枪举上肩头，连开两枪。第一枪打中了达基，他一下子倒在桌子上，撞翻了咖啡杯，他那丛乱蓬蓬的黄头发浸到那盘粥里去了。他的额头压在盘子边缘，使盘子翘了起来，跟桌面形成一个四十五度的角。哈基当时已经跳了起来，在空中被第二枪击中；他脸朝下栽倒在地板上，那声“天哪”只是在喉咙里哼了一声，还没来得及喊出来。","They burst into loud laughter at Dutchy’s nonsense.The sound had scarcely died away when the door opened and Dennin came in.All turned to look at him.He was carrying a shot-gun.Even as they looked, he lifted it to his shoulder and fired twice.At the first shot Dutchy sank upon the table, overturning his mug of coffee, his yellow mop of hair dabbling in his plate of mush.His forehead, which pressed upon the near edge of the plate, tilted the plate up against his hair at an angle of forty-five degrees.Harkey was in the air, in his spring to his feet, at the second shot, and he pitched face down upon the floor, his “My God!” gurgling and dying in his throat."
"真是太出乎意料了。汉斯和伊迪丝都惊呆了。他们浑身紧张地坐在桌子旁边，眼睛像着了魔一样紧紧盯着这个杀人凶手。从火药的烟雾中，他们隐隐约约地看见了他；屋里一片寂静，只能听见达基那杯打翻的咖啡嗒嗒地滴到地板上的声音。丹宁打开猎枪后膛，退出两枚空弹壳。他一手端着枪，一手伸进口袋去摸子弹。","It was the unexpected.Hans and Edith were stunned.They sat at the table with bodies tense, their eyes fixed in a fascinated gaze upon the murderer.Dimly they saw him through the smoke of the powder, and in the silence nothing was to be heard save the drip-drip of Dutchy’s spilled coffee on the floor.Dennin threw open the breech of the shot-gun, ejecting the empty shells.Holding the gun with one hand, he reached with the other into his pocket for fresh shells."
"他正要将子弹装进猎枪，伊迪丝·纳尔逊警醒过来，准备采取行动。很明显，他还想杀了汉斯和她。这件意外来得太可怕、太难以置信了，使得她在大约三秒钟的时间里都神志恍惚、手脚僵硬。接着，她就挺身而出，跟这个意外斗一斗。她的行动非常实际：像猫一样纵身跃到凶手面前，双手揪住了他的衣领。这一撞让他踉踉跄跄地倒退了好几步。他试图摆脱她，又紧抓着猎枪不放。这可不好办，因为伊迪丝结实的身体已经像猫一样灵便。她扭住他的脖子，狠命往旁边一倒，这下差点把他摔倒在地板上。他站直身子，飞快地旋转起来。她还是抓得很紧，身体就随着他的旋转而转动起来，她的脚都离开了地板；她更加使劲地抓住他的脖子，悬空转了起来。他们这样转着，直到她撞到了一把椅子；两人在死命打斗之下狠狠地摔倒在地，占据了半个房间的面积。","He was thrusting the shells into the gun when Edith Nelson was aroused to action.It was patent that he intended to kill Hans and her.For a space of possibly three seconds of time she had been dazed and paralysed by the horrible and inconceivable form in which the unexpected had made its appearance.Then she rose to it and grappled with it.She grappled with it concretely, making a cat-like leap for the murderer and gripping his neck-cloth with both her hands.The impact of her body sent him stumbling backward several steps.He tried to shake her loose and still retain his hold on the gun.This was awkward, for her firm-fleshed body had become a cat’s.She threw herself to one side, and with her grip at his throat nearly jerked him to the floor.He straightened himself and whirled swiftly.Still faithful to her hold, her body followed the circle of his whirl so that her feet left the floor, and she swung through the air fastened to his throat by her hands.The whirl culminated in a collision with a chair, and the man and woman crashed to the floor in a wild struggling fall that extended itself across half the length of the room."
"在应付这件意外情况上，汉斯·纳尔逊比他妻子慢了半秒钟。他的神经和头脑的处理速度都比她要慢。他是那种心眼儿比较粗的人，要多耗费半秒钟才能认清情况、拿定主意并开始行动。汉斯跳起来的时候，伊迪丝已经飞扑到丹宁身上，掐住了他的脖子。汉斯可没有她那样的冷静。他怒火中烧，是那种失去理智的狂怒。他一从椅子上跳起来，就张着嘴发出一半像狮吼，一半像牛叫的声音。丹宁和伊迪丝的身体已经开始转起来了，他还在吼叫，然后就在房子里追赶着旋转着的两人，直到两人摔在地上，他才追到。","Hans Nelson was half a second behind his wife in rising to the unexpected.His nerve processed and mental processes were slower than hers.His was the grosser organism, and it had taken him half a second longer to perceive, and determine, and proceed to do.She had already flown at Dennin and gripped his throat, when Hans sprang to his feet.But her coolness was not his.He was in a blind fury, a Berserker rage.At the instant he sprang from his chair his mouth opened and there issued forth a sound that was half roar, half bellow.The whirl of the two bodies had already started, and still roaring, or bellowing, he pursued this whirl down the room, overtaking it when it fell to the floor."
"汉斯一扑到那个跌倒的男人身上，就疯了似地用拳头打他。这些拳头打下去，像大锤一样，等到伊迪丝觉得丹宁松懈了，她才松开手，翻滚到一边去。她躺在地板上，一边喘气，一边看着。愤怒的拳头还在雨点般地砸下去。丹宁好像都不在乎挨这些拳头。他动都没有动一下。她才猛然觉得丹宁已经人事不省了。她急忙大喊汉斯住手。她又喊了一遍。但是汉斯没有理会她的喊声。她抓住他的胳膊，不过这样没能阻止他，只是使他挥起拳头来不大方便罢了。","Hans hurled himself upon the prostrate man, striking madly with his fists.They were sledge-like blows, and when Edith felt Dennin’s body relax she loosed her grip and rolled clear.She lay on the floor, panting and watching.The fury of blows continued to rain down.Dennin did not seem to mind the blows.He did not even move.Then it dawned upon her that he was unconscious.She cried out to Hans to stop.She cried out again.But he paid no heed to her voice.She caught him by the arm, but her clinging to it merely impeded his effort."
"她做出下面的这个举动，是出于一种无法解释的冲动。这样做并不是出于怜悯，也不是要服从宗教的“不可为”的戒律。这是源于一种守法的意识，一种从种族继承而来、自童年时期就培养起来的道德感；因为这样，她不由自主地将自己的身体横在丈夫和那个已经无法反抗的凶手之间。直到发觉自己打的是自己的妻子时，汉斯才停手。他听任伊迪丝把自己推开，像极了一条凶猛但听话的狗，乖乖地任由主人把自己赶开。这个比喻还可以更像一些。汉斯的喉管里还回响着野兽般的愤怒的低嚎，有好几次他都想扑到猎物身上，都被他的妻子迅速地用身体挡住了。","It was no reasoned impulse that stirred her to do what she then did.Nor was it a sense of pity, nor obedience to the “Thou shalt not” of religion.Rather was it some sense of law, an ethic of her race and early environment, that compelled her to interpose her body between her husband and the helpless murderer.It was not until Hans knew he was striking his wife that he ceased.He allowed himself to be shoved away by her in much the same way that a ferocious but obedient dog allows itself to be shoved away by its master.The analogy went even farther.Deep in his throat, in an animal-like way, Hans’s rage still rumbled, and several times he made as though to spring back upon his prey and was only prevented by the woman’s swiftly interposed body."
"伊迪丝把他的丈夫一步一步往后推。她从没见过丈夫露出这副模样；丈夫这个样子，比跟她打斗最激烈时的丹宁，更让她感到害怕。她简直不敢相信，这头狂怒的野兽就是她的丈夫汉斯；她浑身一抖，忽然有种很畏缩的感觉，本能地害怕他会像一头发狂的野兽一样，扑过来用牙咬她的手。虽然不想伤害她，汉斯却不肯罢休，还是想回来接着打人；好些时候，他总是时而后退，时而前进。但是她坚决地拦住了他，直到他恢复理智，平静下来。","Back and farther back Edith shoved her husband.She had never seen him in such a condition, and she was more frightened of him than she had been of Dennin in the thick of the struggle.She could not believe that this raging beast was her Hans, and with a shock she became suddenly aware of a shrinking, instinctive fear that he might snap her hand in his teeth like any wild animal.For some seconds, unwilling to hurt her, yet dogged in his desire to return to the attack, Hans dodged back and forth.But she resolutely dodged with him, until the first glimmerings of reason returned and he gave over."
"两人都费劲地站了起来。汉斯摇摇晃晃地靠回墙边，他脸上的肉还在抽动，喉管里还在发出低沉的嘶吼；这声音慢慢变小，几秒钟之后终于听不见了。他终于反应过来了。伊迪丝站在地板中间，拧着双手，气喘吁吁，浑身剧烈地颤抖着。","Both crawled to their feet.Hans staggered back against the wall, where he leaned, his face working, in his throat the deep and continuous rumble that died away with the seconds and at last ceased.The time for the reaction had come.Edith stood in the middle of the floor, wringing her hands, panting and gasping, her whole body trembling violently."
"汉斯什么也没看，伊迪丝的眼睛则在疯狂地扫视着这间屋子，仔细查看刚才都发生了什么。丹宁一动不动地躺着。在疯狂旋转之中撞翻的椅子就在他旁边。那支猎枪有一截被他压在身下，后膛仍然是打开的。两枚没来得及装进枪膛的子弹从他右手里滚出来，他本来紧紧捏着，失去知觉了才松开手。哈基脸朝下，扑在他摔下去的地方；达基则往前伏在桌子上，蓬乱的黄头发浸在那盘玉米粥里。盘子仍然翘着，跟桌面形成一个四十五度角。她被这个翘起来的盘子吸引住了。为什么盘子不倒呢？太奇怪了。人都死了，盛粥的盘子还能翘在桌子上，实在不合情理。","Hans looked at nothing, but Edith’s eyes wandered wildly from detail to detail of what had taken place.Dennin lay without movement.The overturned chair, hurled onward in the mad whirl, lay near him.Partly under him lay the shot-gun, still broken open at the breech.Spilling out of his right hand were the two cartridges which he had failed to put into the gun and which he had clutched until consciousness left him.Harkey lay on the floor, face downward, where he had fallen; while Dutchy rested forward on the table, his yellow mop of hair buried in his mush-plate, the plate itself still tilted at an angle of forty-five degrees.This tilted plate fascinated her.Why did it not fall down?It was ridiculous.It was not in the nature of things for a mush-plate to up-end itself on the table, even if a man or so had been killed."
"她瞟了一眼丹宁，不过又马上转回来看这个翘起的盘子。太奇怪了！她有一种想歇斯底里大笑的冲动。接着，她注意到屋里很安静，就期待发生点什么，把那个盘子忘掉了。咖啡从桌子上滴到地板上的单调声音只是让屋里显得更加安静了。为什么汉斯不做点什么？不说点什么呢？她看着汉斯，刚想说点什么，猛地发现舌头已经不听使唤了。她的喉咙里有一种很特别的疼痛感，嘴巴又干又苦。她只能看着汉斯，而汉斯也看着她。","She glanced back at Dennin, but her eyes returned to the tilted plate.It was so ridiculous!She felt a hysterical impulse to laugh.Then she noticed the silence, and forgot the plate in a desire for something to happen.The monotonous drip of the coffee from the table to the floor merely emphasized the silence.Why did not Hans do something? say something?She looked at him and was about to speak, when she discovered that her tongue refused its wonted duty.There was a peculiar ache in her throat, and her mouth was dry and furry.She could only look at Hans, who, in turn, looked at her."
"突然，一声尖利的金属的哐啷声打破了这种沉寂。她尖叫一声，赶忙去瞧那张桌子。盘子已经掉下去了。汉斯叹息一声，好像大梦初醒。盘子哐啷一声落地，将他们唤回了这个他们将要生活在其中的新世界。他们以后要生活和行动的新世界，就浓缩在这幢小房子里了。原来的房子里那种生活已经一去不复返了。全新的生活看上去那么陌生。这场意外在一切事物的表面施了一层魔法，改变了事物的前景，模糊了价值，混淆了现实与非现实，呈现出一片令人无所适从的混乱景象。","Suddenly the silence was broken by a sharp, metallic clang.She screamed, jerking her eyes back to the table.The plate had fallen down.Hans sighed as though awakening from sleep.The clang of the plate had aroused them to life in a new world.The cabin epitomized the new world in which they must thenceforth live and move.The old cabin was gone forever.The horizon of life was totally new and unfamiliar.The unexpected had swept its wizardry over the face of things, changing the perspective, juggling values, and shuffling the real and the unreal into perplexing confusion."
"“天哪，汉斯！”伊迪丝说出了第一句话。","“My God, Hans!” was Edith’s first speech."
"汉斯没有回答，只是一脸惊恐地盯着她。他慢慢地扫视了一遍这个屋子，这才算看清楚了。然后，他戴上帽子，朝门口走去。","He did not answer, but stared at her with horror.Slowly his eyes wandered over the room, for the first time taking in its details.Then he put on his cap and started for the door."
"“你要去哪儿？”伊迪丝极其担心地追问道。","“Where are you going?”Edith demanded, in an agony of apprehension."
"他的手已经握在了门把手上，他半转过身子，答道：“去挖几座坟。”","His hand was on the door-knob, and he half turned as he answered, “To dig some graves.”"
"“别丢下我，汉斯，跟——跟这些在一起。”她的眼睛扫视着屋内。","“Don’t leave me, Hans, with—”her eyes swept the room—“with this.”"
"“坟早晚都是要挖的。”他说。","“The graves must be dug sometime,” he said."
