"眼镜","The Spectacles"
"正当我陶醉于她的美貌之中，观众中突然一阵骚动。这使她把头稍稍偏向了我这边，因此我看到了这张脸的整个侧面。它的美丽甚至出乎我的预料——但是有什么东西令我很失望，虽然我说不出是什么。我是说了“失望”，但这个词并不能表达我的感觉。我的诸多情绪立刻变得平静而愉悦。这些情绪中少了些欣喜若狂，而多了些平静的热情。这种感情也许是来源于她那圣母般慈祥的神情，但是我马上发现这种感情并不完全源自此处。还有某种别的东西——某种我无法明白的、神秘的东西——她脸上的某种表情令我有点不安，但又大大激起了我的兴趣。事实上，任何一个年轻而敏感的小伙子只要处在我当时的状态下都会采取一些过激的行动。如果这位女士是独自一人，毫无疑问我会走进她的包厢，不惜一切都要上前和她搭讪。但“幸运”的是，她有两个同伴——一位绅士和一位非常美丽的女士，这位女士从外表上看比她小几岁。","While I was thus wrapped in admiration of this lovely vision, a sudden disturbance among the audience caused her to turn her head partially toward me, so that I beheld the entire profile of the face.Its beauty even exceeded my anticipations—and yet there was something about it which disappointed me without my being able to tell exactly what it was.I said “disappointed,” but this is not altogether the word.My sentiments were at once quieted and exalted.They partook less of transport and more of calm enthusiasm of enthusiastic repose.This state of feeling arose, perhaps, from the Madonna-like and matronly air of the face; and yet I at once understood that it could not have arisen entirely from this.There was something else—some mystery which I could not develop—some expression about the countenance which slightly disturbed me while it greatly heightened my interest.In fact, I was just in that condition of mind which prepares a young and susceptible man for any act of extravagance.Had the lady been alone, I should undoubtedly have entered her box and accosted her at all hazards; but, fortunately, she was attended by two companions—a gentleman, and a strikingly beautiful woman, to all appearance a few years younger than herself."
"我脑子里盘算着上千种方案，关于以后如何把自己介绍给那位年龄稍长的女士，或现在如何想尽一切办法来更加清楚地看到她的美貌。我本想坐得离她更近一些，但这是不可能的，因为剧院里拥挤不堪。即使我有幸随身带了一副观剧望远镜，最新的时尚也是强烈反对使用它的——更何况我根本没带——因此我很绝望。","I revolved in my mind a thousand schemes by which I might obtain, hereafter, an introduction to the elder lady, or, for the present, at all events, a more distinct view of her beauty.I would have removed my position to one nearer her own, but the crowded state of the theatre rendered this impossible; and the stern decrees of Fashion had, of late, imperatively prohibited the use of the opera-glass in a case such as this, even had I been so fortunate as to have one with me—but I had not—and was thus in despair."
"我经过深思熟虑，决定求助于同伴。","At length I bethought me of applying to my companion."
"“塔尔博特，”我说，“你带着观剧望远镜吧。请让我用一下。”","“Talbot,” I said, “you have an opera-glass.Let me have it.”"
"“观剧望远镜？没有！你觉得我带一个观剧望远镜做什么？”然后他不耐烦地把头转向了舞台。","“An opera-glass!—no!—what do you suppose I would be doing with an opera-glass?”Here he turned impatiently toward the stage."
"我扳过他的肩膀，继续说：“塔尔博特，请听我说，好吗？你看到舞台前的包厢了吗？——那儿！——不，是隔壁那个——你看到过这么漂亮的女人吗？”","“But, Talbot,” I continued, pulling him by the shoulder, “listen to me will you?Do you see the stage-box?—there!—no, the next.—did you ever behold as lovely a woman?”"
"“毫无疑问，她非常漂亮。”他说。","“She is very beautiful, no doubt.” he said."
"“我想知道她是谁。”","“I wonder who she can be.”"
"“众天使在上，你竟然不知道她是谁？‘不知道她说明你是无名小卒。’她可是赫赫有名的拉郎德夫人——当今的绝代佳人，整个城里都在讨论她。她还非常富有，是个寡妇，也是个绝佳的配偶，刚从巴黎来。”","“Why, in the name of all that is angelic, don’t you know who she is?‘Not to know her argues yourself unknown.’She is the celebrated Madame Lalande—the beauty of the day par excellence, and the talk of the whole town.Immensely wealthy too—a widow, and a great match—has just arrived from Paris.”"
"“你认识她吗？”","“Do you know her?”"
"“是的，我有此荣幸。”","“Yes; I have the honor.”"
"“可以把我介绍给她吗？”","“Will you introduce me?”"
"“当然，非常乐意，那什么时候呢？”","“Assuredly, with the greatest pleasure; when shall it be?”"
"“明天，一点钟，到时我会去B公寓拜访你。”","“Tomorrow, at one, I will call upon you at B—’s.”"
"“很好。如果可以的话，请你现在别再说话了。”","“Very good; and now do hold your tongue, if you can.”"
"考虑到他所说的后半句话，我不得不接受了塔尔博特的建议。因为在剩下的时间里，他固执地不听我提出的任何问题或意见，一直在全神贯注地欣赏着舞台上的演出。","In this latter respect I was forced to take Talbot’s advice; for he remained obstinately deaf to every further question or suggestion, and occupied himself exclusively for the rest of the evening with what was transacting upon the stage."
"这期间，我一直紧紧盯着拉朗德夫人。最后，我终于有幸正面欣赏了她的整张脸。这是一张精致的脸——当然之前我就是这么想的，尽管塔尔博特没有告诉我这一点——但是仍然有一种莫名其妙的东西让我感到不安。最后我发现自己强烈地感觉到了一种严肃、悲伤的神情，更确切地说，是疲倦的神情。这使得她的容颜没那么有青春活力，而是带着一种天使般的温柔和端庄。当然，对于我热情而浪漫的性情来说，这更具有十倍的吸引力。","In the meantime I kept my eyes riveted on Madame Lalande, and at length had the good fortune to obtain a full front view of her face.It was exquisitely lovely—this, of course, my heart had told me before, even had not Talbot fully satisfied me upon the point—but still the unintelligible something disturbed me.I finally concluded that my senses were impressed by a certain air of gravity, sadness, or, still more properly, of weariness, which took something from the youth and freshness of the countenance, only to endow it with a seraphic tenderness and majesty, and thus, of course, to my enthusiastic and romantic temperment, with an interest tenfold."
"正当我大饱眼福时，让我非常不安的事情终于发生了，我看到她吃了一惊，尽管这并不易察觉，我知道她突然意识到了我灼热的目光。我依旧着迷地看着她，无法收回目光，哪怕一瞬间也不行。她的脸转向一边，我又只能看到她后脑勺那清晰的轮廓。过了几分钟，似乎是出于好奇想看看我是否还在盯着她，她慢慢地转过头来，又一次撞上了我灼热的目光。她乌黑的大眼睛立刻垂了下来，脸颊上涌上一抹深深的红晕。但是我吃惊地看到，她不仅没有再次把头偏过去，而且还从腰间拿出一副眼镜——举起来——调了调——然后刻意地透过它全神贯注地观察了我几分钟。","While I thus feasted my eyes, I perceived, at last, to my great trepidation, by an almost imperceptible start on the part of the lady, that she had become suddenly aware of the intensity of my gaze.Still, I was absolutely fascinated, and could not withdraw it, even for an instant.She turned aside her face, and again I saw only the chiselled contour of the back portion of the head.After some minutes, as if urged by curiosity to see if I was still looking, she gradually brought her face again around and again encountered my burning gaze.Her large dark eyes fell instantly, and a deep blush mantled her cheek.But what was my astonishment at perceiving that she not only did not a second time avert her head, but that she actually took from her girdle a double eyeglass—elevated it—adjusted it—and then regarded me through it, intently and deliberately, for the space of several minutes."
"即使是一个霹雳炸到了我的脚上，我也不会更加吃惊——仅仅是吃惊——丝毫没有厌恶和反感，尽管这么放肆的举动放在其他女人身上可能会让人厌恶和反感。但是她所有的举动都那么冷静——那么自然——那么镇定——明显透露出她极高的修养。总之，丝毫看不到厚颜无耻的影子，我所有的感觉就是钦佩和惊讶。","Had a thunderbolt fallen at my feet I could not have been more thoroughly astounded—astounded only—not offended or disgusted in the slightest degree; although an action so bold in any other woman would have been likely to offend or disgust.But the whole thing was done with so much quietude—so much nonchalance—so much repose—with so evident an air of the highest breeding, in short—that nothing of mere effrontery was perceptible, and my sole sentiments were those of admiration and surprise."
"我注意到，她第一次举起眼镜观察了我一会儿，似乎很满意，就放下了眼镜，然后像是突然又想起了什么，又拿起眼镜，继续目不转睛地观察了我几分钟——我敢肯定至少有五分钟。","I observed that, upon her first elevation of the glass, she had seemed satisfied with a momentary inspection of my person, and was withdrawing the instrument, when, as if struck by a second thought, she resumed it, and so continued to regard me with fixed attention for the space of several minutes—for five minutes, at the very least, I am sure."
"这一举动在一家美国剧院里是如此惹眼，以至于吸引了很多人的目光，引起了一阵微妙的骚动，或是窃窃私语。这让我一时感到不知所措，但拉朗德夫人的面部表情却没有受到丝毫影响。","This action, so remarkable in an American theatre, attracted very general observation, and gave rise to an indefinite movement, or buzz, among the audience, which for a moment filled me with confusion, but produced no visible effect upon the countenance of Madame Lalande."
"满足了她的好奇心之后——如果真的是好奇心的话——她放下眼镜，又静静地把注意力转向舞台，像以前一样只留给我一个侧面。我继续毫不间断地看着她，尽管我已经完全意识到这样做是很鲁莽的。随后，我看到她的头缓缓地稍稍转变了方向。很快我就确信她在假装在看着舞台，其实是在专注地观察我。这么迷人的女士的这种举动对我兴奋的心情带来的影响无需多言。","Having satisfied her curiosity—if such it was—she dropped the glass, and quietly gave her attention again to the stage; her profile now being turned toward myself, as before.I continued to watch her unremittingly, although I was fully conscious of my rudeness in so doing.Presently I saw the head slowly and slightly change its position; and soon I became convinced that the lady, while pretending to look at the stage was, in fact, attentively regarding myself.It is needless to say what effect this conduct, on the part of so fascinating a woman, had upon my excitable mind."
"我深爱的美人如此仔细观察了我大概有一刻钟，然后开始同陪伴她的那位绅士说话。从他们的眼神中我明显看出他们的谈话与我有关。","Having thus scrutinized me for perhaps a quarter of an hour, the fair object of my passion addressed the gentleman who attended her, and while she spoke, I saw distinctly, by the glances of both, that the conversation had reference to myself."
"之后，拉朗德夫人又把头转向了舞台。有那么几分钟，她似乎陶醉在表演之中。但是这几分钟过去之后，我看到她第二次打开挂在腰间的眼镜，带着令我的灵魂又兴奋又迷惑的镇定神情，像上次那样正视着我，从头到脚把我重新打量了一番，完全没有顾及观众中再次的窃窃私语，这让我陷入了极度的兴奋之中。","Upon its conclusion, Madame Lalande again turned toward the stage, and, for a few minutes, seemed absorbed in the performance.At the expiration of this period, however, I was thrown into an extremity of agitation by seeing her unfold, for the second time, the eye-glass which hung at her side, fully confront me as before, and, disregarding the renewed buzz of the audience, survey me, from head to foot, with the same miraculous composure which had previously so delighted and confounded my soul."
"这一不同寻常的举动让我再次陷入极度的兴奋之中——陷入疯狂的迷恋之中——这没有让我不安，反而给予了我勇气。在这种狂热的爱恋之中，我忘记了一切，脑海里只有这位正与我对视的绝色佳人，只有她的存在、她的无比可爱。在我认为观众都完全陶醉于歌剧之中的时候，我终于抓住了机会，捕捉住了拉朗德夫人的双眼，准确无误地向她轻轻鞠了一躬。","This extraordinary behavior, by throwing me into a perfect fever of excitement—into an absolute delirium of love—served rather to embolden than to disconcert me.In the mad intensity of my devotion, I forgot everything but the presence and the majestic loveliness of the vision which confronted my gaze.Watching my opportunity, when I thought the audience were fully engaged with the opera, I at length caught the eyes of Madame Lalande, and, upon the instant, made a slight but unmistakable bow."
"她满脸绯红——然后移开了目光——慢慢地、小心翼翼地向四周看了看，明显是在看我这一鲁莽的举动是否引起了他人的注意——然后转向坐在她旁边的那位绅士。","She blushed very deeply—then averted her eyes—then slowly and cautiously looked around, apparently to see if my rash action had been noticed—then leaned over toward the gentleman who sat by her side."
"我现在强烈地感到自己刚才的举动是多么不得体，觉得那会被人立刻发现。这时，我马上忐忑不安地想到明天会有几把手枪射穿我的脑袋。不过，当我看到这位女士什么也没说，只是给了那位绅士一张节目单时，我立刻如释重负。很快，她又偷偷环顾了一下四周，把明亮的双眼完全定格在了我身上，然后她微微笑了笑，露出了一排珍珠般洁白、闪亮的牙齿，带着一种显然是肯定的神情对着我明确地点了两下头，读者也许已经稍稍感到了我的惊讶——我深深的错愕——我心里的慌乱不安。","I now felt a burning sense of the impropriety I had committed, and expected nothing less than instant exposure; while a vision of pistols upon the morrow floated rapidly and uncomfortably through my brain.I was greatly and immediately relieved, however, when I saw the lady merely hand the gentleman a play-bill, without speaking, but the reader may form some feeble conception of my astonishment—of my profound amazement—my delirious bewilderment of heart and soul—when, instantly afterward, having again glanced furtively around, she allowed her bright eyes to set fully and steadily upon my own, and then, with a faint smile, disclosing a bright line of her pearly teeth, made two distinct, pointed, and unequivocal affirmative inclinations of the head."
"当然，我无需详细描述我的喜悦——我的激动——我心中无限的狂喜。如果有人因过度兴奋而发疯，那就是当时的我。我恋爱了。这是我的初恋——我感觉这就是。这是爱情的最高境界——无法用语言形容。这就是“一见钟情”，而且第一眼就被对方领会，并得到了回应。","It is useless, of course, to dwell upon my joy—upon my transport—upon my illimitable ecstasy of heart.If ever man was mad with excess of happiness, it was myself at that moment.I loved.This was my first love—so I felt it to be.It was love supreme—indescribable.It was “love at first sight;” and at first sight, too, it had been appreciated and returned."
"是的，她回应我了。我为什么、又怎么会对此有片刻的怀疑呢？像拉朗德夫人这样美丽——这样富有——这样优雅——这样高贵——这样显赫——在我看来各方面都值得尊敬的女士做出了这样的举动，我还能有什么其他的解释吗？是的，她爱我——她回应了我炽热的爱，她的这种激情像我一样是盲目的——坚定的——单纯的——大胆的——而且完全无拘无束的！演出落幕了，打断了我甜蜜的幻想和回味。观众们站了起来，剧场里立刻像以往一样混乱了起来。我马上离开塔尔博特，竭尽全力在人群中挤着想靠近拉朗德夫人。实在是太拥挤了，我没能靠近她，最终我还是放弃了，转身踏上了回家的路。因为连她的石榴裙边也没有碰到，我感到很失望，但想到明天塔尔博特会正式把我介绍给她，我感到了些许的安慰。","Yes, returned.How and why should I doubt it for an instant?What other construction could I possibly put upon such conduct, on the part of a lady so beautiful—so wealthy—evidently so accomplished—of so high breeding—of so lofty a position in society—in every regard so entirely respectable as I felt assured was Madame Lalande?Yes, she loved me—she returned the enthusiasm of my love, with an enthusiasm as blind—as uncompromising—as uncalculating—as abandoned—and as utterly unbounded as my own!These delicious fancies and reflections, however, were now interrupted by the falling of the drop-curtain.The audience arose; and the usual tumult immediately supervened.Quitting Talbot abruptly, I made every effort to force my way into closer proximity with Madame Lalande.Having failed in this, on account of the crowd, I at length gave up the chase, and bent my steps homeward; consoling myself for my disappointment in not having been able to touch even the hem of her robe, by the reflection that I should be introduced by Talbot, in due form, upon the morrow."
"明天终于来了，也就是说，经过一夜漫长、煎熬、焦灼的等待之后，新的一天终于降临了。之后直到一点钟的那段时间慢得像蜗牛一般，单调乏味而无休无止。但是人们都说即使斯坦布尔之路也有尽头，这漫长的等待终于结束了。一点钟的钟声敲响了。钟声的回音终于停止了，我走进了B公寓，寻找塔尔博特。","This morrow at last came, that is to say, a day finally dawned upon a long and weary night of impatience; and then the hours until “one” were snail-paced, dreary, and innumerable.But even Stamboul, it is said, shall have an end, and there came an end to this long delay.The clock struck.As the last echo ceased, I stepped into B—’s and inquired for Talbot."
"“出去了。”塔尔博特的一个仆人说。","“Out,” said the footman—Talbot’s own."
"“出去了！”我回应道，踉跄地向后退了几步，“告诉你吧，好伙计，这是绝对不可能的，也是不符合实际情况的。塔尔博特肯定在家。你这样说是什么意思？”","“Out!” I replied, staggering back half a dozen paces—“let me tell you, my fine fellow, that this thing is thoroughly impossible and impracticable; Mr. Talbot is not out.What do you mean?”"
"“没什么，先生，我只是说塔尔博特不在家，仅此而已。他吃完早饭就骑马去了S那里，留下话说一个星期后才回来。”","“Nothing, sir; only Mr. Talbot is not in, that’s all.He rode over to S—, immediately after breakfast, and left word that he would not be in town again for a week.”"
"我傻傻地站在那里，满心憎恶和愤怒。我试图回话，但舌头却不听使唤。最后我转过身，脸色由于愤怒而发青，在内心里把塔尔博特的整个家族都发配到了埃里伯斯最偏远的地区。很明显，我这位体贴周到的朋友，这位音乐迷，已经完全忘了和我之间的约定——一说出口就忘了。他从来都不是个遵守诺言的人。但是没什么办法了，我一边尽可能地平息心中的怒火，一边郁闷地在街上闲逛，向遇到的每一个认识的男子打听拉朗德夫人，但都一无所获。据他们说，我发现所有人都知道她——许多人见过她——但是她来这个城市才几个星期，因此只有很少几个人声称和她有私交。但是就算是这很少的几个人和她的关系也比较生疏，他们不愿意，或者说也不可能冒昧地通过早上拜访的形式把我介绍给她。我就那样绝望地站在那里，和三个朋友谈论着萦绕在我心中的话题，这时话题的主角碰巧从我们身旁经过。","I stood petrified with horror and rage.I endeavored to reply, but my tongue refused its office.At length I turned on my heel, livid with wrath, and inwardly consigning the whole tribe of the Talbots to the innermost regions of Erebus.It was evident that my considerate friend, il fanatico, had quite forgotten his appointment with myself—had forgotten it as soon as it was made.At no time was he a very scrupulous man of his word.There was no help for it; so smothering my vexation as well as I could, I strolled moodily up the street, propounding futile inquiries about Madame Lalande to every male acquaintance I met.By report she was known, I found, to all—to many by sight—but she had been in town only a few weeks, and there were very few, therefore, who claimed her personal acquaintance.These few, being still comparatively strangers, could not, or would not, take the liberty of introducing me through the formality of a morning call.While I stood thus in despair, conversing with a trio of friends upon the all absorbing subject of my heart, it so happened that the subject itself passed by."
"“的确，那就是她！”一个朋友高呼。","“As I live, there she is!” cried one. "
"“美得惊人！”另一个朋友感叹道。　","“Surprisingly beautiful!” exclaimed a second. "
"“简直就是天使下凡！”第三个朋友尖叫道。","“An angel upon earth!” ejaculated a third. "
"我望过去，只见一辆敞篷马车沿着街道缓缓地向我们驶来，马车里坐着歌剧院里那位绝色佳人，还是由包厢里那位比她年轻的女士陪着。","I looked; and in an open carriage which approached us, passing slowly down the street, sat the enchanting vision of the opera, accompanied by the younger lady who had occupied a portion of her box."
"“她同伴的穿着也是如此品位不凡。”三个朋友中刚刚最先开口的那一个说道。","“Her companion also wears remarkably well.” said the one of my trio who had spoken first."
"“太令人惊讶了，”第二个朋友说，“也是光彩照人，艺术真能创造奇迹。要我说，她看起来比五年前在巴黎时更加漂亮了。还是那么美——你觉得不是吗，弗鲁瓦萨尔？——辛普森，我是说你。”","“Astonishingly,” said the second, “still quite a brilliant air, but art will do wonders.Upon my word, she looks better than she did at Paris five years ago.A beautiful woman still,—don’t you think so, Froissart?—Simpson, I mean.”"
"“还是那么美！”我说，“她凭什么会不美呢？但是她和她的朋友在一起就好比灯芯草蜡烛遇到了夜晚的明星——萤火虫遇到了心宿二。”","“Still!” said I, “and why shouldn’t she be?But compared with her friend she is as a rush-light to the evening star—a glow-worm to Antares.”"
