"北方的奥德赛","An Odyssey of the North"
"马尔穆特·基德已经睡着了；但是这位年轻的采矿工程师依旧睁着眼睛，在黑暗中注视着上方，等着那股莫名其妙的、令他血液翻腾的兴奋劲儿渐渐平静。等他睡着以后，他的大脑还在不停地活动，在那一段时间里，他仿佛也在那种谁都不知道的雪地里游荡，在没有尽头的路上和狗一起艰难跋涉着，还看见了人们在生活，辛苦工作，最后像男子汉一样死去。","Malemute Kid was already breathing heavily; but the young mining engineer gazed straight up through the thick darkness, waiting for the strange orgasm which stirred his blood to die away.And when he did sleep, his brain worked on, and for the nonce he, too, wandered through the white unknown, struggled with the dogs on endless trails, and saw men live, and toil, and die like men."
"第二天早上，天未破晓，邮差和警察们便前往道森。但是代表女王陛下的利益，代她左右百姓命运的机构，却不让这些邮差们歇息；过了一个星期，他们又出现在斯图尔特河边，载着沉甸甸的运往盐湖的信件。不过，他们的狗倒是换了一批新的；但是，它们是狗。","The next morning, hours before daylight, the dog-drivers and policemen pulled out for Dawson.But the powers that saw to her Majesty’s interests, and ruled the destinies of her lesser creatures, gave the mailmen little rest; for a week later they appeared at Stuart River, heavily burdened with letters for Salt Water.However, their dogs had been replaced by fresh ones; but then, they were dogs."
"这些人原本盼望能停留几天，好歇息一下；而且，克朗代克又是北部的一个新地区，他们早就盼着能见识见识这个金沙似水、舞厅里狂欢不止的黄金城市。但是，如今他们几乎跟上次来时一样，烘着袜子，吸着烟。不过，他们当中有一两个胆子大的已经有了逃跑的念头，正盘算着能不能穿过没被开发过的落基山脉去往东部，然后沿着麦肯齐山谷，走到他们喜欢且常去的老地方——契帕文一带。有两三个人甚至打定主意，在任职期满以后一起顺着那条路回家。他们立即开始制定计划，期待着这番冒险，就像一个在城市长大的人渴望到森林里度过一天假期一样。","The men had expected some sort of a lay-over in which to rest up; besides, this Klondike was a new section of the Northland, and they had wished to see a little something of the Golden City where dust flowed like water, and dance halls rang with never ending revelry.But they dried their socks and smoked their evening pipes with much the same gusto as on their former visit, though one or two bold spirits speculated on desertion and the possibility of crossing the unexplored Rockies to the east, and thence, by the Mackenzie Valley, of gaining their old stamping-grounds in the Chippewyan Country.Two or three even decided to return to their homes by that route when their terms of service had expired, and they began to lay plans forthwith, looking forward to the hazardous undertaking in much the same way a city-bred man would to a day’s holiday in the woods."
"那个用海獭皮换狗的人显得心神不宁，尽管他对这样的讨论没有半点儿兴趣，后来，他把马尔穆特·基德拉到一边，小声说了一会儿话。普林斯好奇地盯着他们，后来，他们竟然戴上帽子和手套出去了，这情形就更加神秘了。他们回来以后，马尔穆特·基德把他的称金子的秤搁到桌子上，称了六十盎司的金子，放进那个古怪的人的袋子里。然后，邮差们的头儿也加入了他们的秘密会谈，而且还跟他做了某种买卖。第二天，这群人沿河而上，而那个用海獭皮换狗的人却带着几磅吃的，返回道森去了。","He of the Otter Skins seemed very restless, though he took little interest in the discussion, and at last he drew Malemute Kid to one side and talked for some time in low tones.Prince cast curious eyes in their direction, and the mystery deepened when they put on caps and mittens, and went outside.When they returned, Malemute Kid placed his gold-scales on the table, weighed out the matter of sixty ounces, and transferred them to the Strange One’s sack.Then the chief of the dog-drivers joined the conclave, and certain business was transacted with him.The next day the gang went on up river, but He of the Otter Skins took several pounds of grub and turned his steps back toward Dawson."
"普林斯问他的时候，马尔穆特·基德说：“我也搞不清到底是怎么回事；反正这个可怜的人肯定是有什么原因才不想干了的——至少对他来说是一个很重要的原因，但是他不愿意让别人知道。你明白的，做这种活计就跟当兵一样；他签了两年，要想离开就得把自己赎岀来。他不能擅离职守后再留在这里，而且他发了疯似的想留在这里。他说，他刚到道森就拿定主意了；但是他跟谁都不认识，身上没一分钱，也就只跟我一个人说过两句话。所以，他就跟副总督谈了一下，而且说好，要是他能从我这里弄到钱就办理退职——就是跟我借钱，你知道的。他说一年之内就能还我，假如我愿意的话，他可以给我指条财路。他从没去过那里，但是他知道那里很富有。","“Didn’t know what to make of it,” said Malemute Kid in response to Prince’s queries; “but the poor beggar wanted to be quit of the service for some reason or other—at least it seemed a most important one to him, though he wouldn’t let on what.You see, it’s just like the army; he signed for two years, and the only way to get free was to buy himself out.He couldn’t desert and then stay here, and he was just wild to remain in the country.Made up his mind when he got to Dawson, he said; but no one knew him, hadn’t a cent, and I was the only one he’d spoken two words with.So he talked it over with the Lieutenant-Governor, and made arrangements in case he could get the money from me—loan, you know.Said he’d pay back in the year, and if I wanted, would put me onto something rich.Never’d seen it, but knew it was rich."
"“听我说！哎，他把我拉到外边的时候都快哭了。他苦苦哀求，还在雪地里给我跪下，直到我把他拽起来。他像疯子一样唠叨了好久。他还发誓说自己为了实现这个目标已经受了很多年的苦，这次愿望要是落空，他可承受不了。我问他有什么目的，他不肯说。他说，他们可能会把他分配到这条路的另外半段上工作，那样两年之内他就回不了道森了，那时候就太晚了。我这辈子，还没见过有人这么难过呢。等我同意把金子借给他的时候，我又只好把他从雪地里拽起来。我对他说，这些钱就当是我的股份好了。你以为他答应了吗？没有，老兄！他发誓说会把找到的东西全给我，让我富得连做梦都不敢想，反正他反反复复说的就是这些话。通常，一个长期给投资人拼命的人，如果得到了什么，往往连一半都舍不得分给那个投资人的。普林斯，这背后肯定有什么事情，你可记好了。要是他还在这一带的话，我们肯定会听说关于他的事情的……”","“And talk! why, when he got me outside he was ready to weep.Begged and pleaded; gotdown in the snow to me till I hauled him out of it.Palavered around like a crazy man.Swore he’s worked to this very end for years and years, and couldn’t bear to be disappointed now.Asked him what end, but he wouldn’t say.Said they might keep him on the other half of the trail and he would n’t get to Dawson in two years, and then it would be too late.Never saw a man take on so in my life.And when I said I ’d let him have it, had to yank him out of the snow again.Told him to consider it in the light of a grub-stake.Think he’d have it?No, sir!Swore he ’d give me all he found, make me rich beyond the dreams of avarice, and all such stuff.Now a man who puts his life and time against a grub-stake ordinarily finds it hard enough to turn over half of what he finds.Something behind all this, Prince; just you make a note of it.We’ll hear of him if he stays in the country”—"
"“那假如他不呆在这一带呢？”","“And if he doesn’t?”"
"“那就全当我的善心没得到好报，白白没了六十多盎司金子。”","“Then my good nature gets a shock, and I’m sixty some odd ounces out.”"
"寒冷的天气伴随着漫长的黑夜一起到来了，太阳也沿着雪地南面的地平线像往常一样玩起了古老的遮脸的游戏，但是马尔穆特·基德垫出去的那笔钱还是没有一点儿消息。后来，在一月初的一个阴冷的早上，很多狗拉着几架满载的雪橇来到他那个位于斯图尔特河下游的小木屋前。那个用海獭皮换狗的人真的来了，和他一起来的还有另外一个人，那样的身材可能上帝也忘了当初是怎么创造出来的了。大家只要讲到幸运、勇气和一铁锹五百美元的金沙，都会想到阿克塞尔·冈德森这个名字；大伙要是围着营火，说起关于胆量、力气和勇猛的故事，那也肯定要说一说他的事情。而且，每当大家少了谈话的兴致，只要提到跟他有福同享有难同当的那个女人，大家的谈话就又会热烈起来。","The cold weather had come on with the long nights, and the sun had begun to play his ancient game of peekaboo along the southern snow-line ere aught was heard of Malemute Kid’s grub-stake.And then, one bleak morning in early January, a heavily laden dog-train pulled into his cabin below Stuart River.He of the Otter Skins was there, and with him walked a man such as the gods have almost forgotten how to fashion.Men never talked of luck and pluck and five-hundred-dollar dirt without bringing in the name of Axel Gunderson; nor could tales of nerve or strength or daring pass up and down the camp-fire without the summoning of his presence.And when the conversation flagged, it blazed anew at mention of the woman who shared his fortunes."
"前边已经提到过，上帝在创造阿克塞尔·冈德森的时候，想起了他们古时候的手艺，就模仿着洪荒时期的人把他创造出来。他身材高大，足有七英尺高，穿一身漂亮的衣服，就像一位黄金国国王。他的胸膛、脖子和四肢，都和巨人的一样。因为得支撑他重达三百磅的骨头和肌肉，他的雪地鞋要比别人的长一码多。他的脸很粗糙，额头上布满皱纹，下巴宽大，两只浅蓝色的眼睛毫不畏缩，他的这张脸告诉人们他是一个只知道强横霸道的人。他那结了霜的头发，黄得好像熟透了的玉米穗，好像白天横扫黑夜一样，一直披散到他的熊皮大衣上。他在前面领着狗从狭窄的小路上大摇大摆地走过来的模样，隐约透露着一种习惯了海上生活的人的习性；他拿狗鞭子的柄敲打马尔穆特·基德家的门时，就像一个到南方抢劫并狠命进攻城堡大门的北欧海盗。普林斯露着他女人似的胳膊，揉着发酵了的生面团，同时还不停地瞟着这三位客人——三位这样的客人一起走进一个人的家，真是一辈子也难遇见的事。那个被马尔穆特·基德叫做尤利西斯的怪人，依然吸引着他；但是，最吸引他的却是阿克赛尔·冈德森和他的老婆。她走了一天的路，感觉疲惫，因为在他丈夫因得到寒带的金矿矿苗而发迹以后的日子里，她的身体就在舒适惬意的小木屋里变软了。她靠在她丈夫宽厚的胸膛上，就像一株柔嫩的鲜花倚着墙一样，她懒洋洋地回应着马尔穆特·基德善意的逗弄，偶尔用她那深邃的黑眼睛瞟普林斯一眼，使得普林斯莫名其妙地激动起来。因为普林斯是个男人，身体健康，他已经有几个月没怎么见过女人了。而且，她年纪比他大，还是个印第安人。不过，她跟他见过的所有土著女人都不同：她去过很远的地方——他从他们的谈话里了解到她去过很多国家，包括他的故乡；白种女人知道的事情，她差不多都知道，另外她还懂很多女人不该懂的事情。她能把鱼干做成一顿饭，也能在雪地里搭一个床铺；但是她有意逗弄他们，细细描述着精美的食物，提起各种各样他们几乎淡忘的菜肴，搞得他们的肚子都在抗议了。她晓得驼鹿、熊、小蓝狐和北方海里那些野生两栖动物的习性；她对森林里和江河上的事情无所不知，不管人、鸟还是野兽在柔软的雪面上留下什么痕迹，她都一眼就能看出来；普林斯还留意到她看宿营规定时，眼里露出赞赏的目光。这些规定是那个本性难改的贝特尔斯一时兴起制定出来的，语言简洁、诙谐。普林斯总是在女士来以前就把它翻过去，冲着墙；但是谁能想到这个土著女人会……好吧，如今已经晚了。","As has been noted, in the making of Axel Gunderson the gods had remembered their old-time cunning, and cast him after the manner of men who were born when the world was young.Full seven feet he towered in his picturesque costume which marked a king of Eldorado.His chest, neck, and limbs were those of a giant.To bear his three hundred pounds of bone and muscle, his snowshoes were greater by a generous yard than those of other men.Rough-hewn, with rugged brow and massive jaw and unflinching eyes of palest blue, his face told the tale of one who knew but the law of might.Of the yellow of ripe corn silk, his frost-incrusted hair swept like day across the night, and fell far down his coat of bear-skin.A vague tradition of the sea seemed to cling about him, as he swung down the narrow trail in advance of the dogs; and he brought the butt of his dog-whip against Malemute Kid’s door as a Norse sea rover, on southern foray, might thunder for admittance at the castle gate.Prince bared his womanly arms and kneaded sour-dough bread, casting, as he did so, many a glance at the three guests,—three guests the like of which might never come under a man’s roof in a lifetime.The Strange One, whom Malemute Kid had surnamed Ulysses, still fascinated him; but his interest chiefly gravitated between Axel Gunderson and Axel Gunderson’s wife.She felt the day’s journey, for she had softened in comfortable cabins during the many days since her husband mastered the wealth of frozen pay-streaks, and she was tired.She rested against his great breast like a slender flower against a wall, replying lazily to Malemute Kid’s good-natured banter, and stirring Prince’s blood strangely with an occasional sweep of her deep, dark eyes.For Prince was a man, and healthy, and had seen few women in many months.And she was older than he, and an Indian besides.But she was different from all native wives he had met: she had traveled,—had been in his country among others, he gathered from the conversation; and she knew most of the things the women of his own race knew, and much more that it was not in the nature of things for them to know.She could make a meal of sun-dried fish or a bed in the snow; yet she teased them with tantalizing details of many-course dinners, and caused strange internal dissensions to arise at the mention of various quondam dishes which they had well-nigh forgotten.She knew the ways of the moose, the bear, and the little blue fox, and of the wild amphibians of the Northern seas; she was skilled in the lore of the woods and the streams, and the tale writ by man and bird and beast upon the delicate snow crust was to her an open book; yet Prince caught the appreciative twinkle in her eye as she read the Rules of the Camp.These rules had been fathered by the Unquenchable Bettles at a time when his blood ran high, and were remarkable for the terse simplicity of their humor.Prince always turned them to the wall before the arrival of ladies; but who could suspect that this native wife—Well, it was too late now."
