"生病的矿工","A Sick Collier"
"她端上饭菜，在他对面坐了下来。除了眼白和红色的嘴唇外，他那圆圆的小脑袋全都黑乎乎的。看着他吃饭时张开红色的嘴，露出白色的牙齿，她有种怪怪的感觉。他的胳膊和手上也沾上了斑斑点点的黑煤，只有肩膀上那裸露着的粗壮的脖子显得稍微干净点，这让她感到一丝安慰。屋里有一股淡淡的矿井里的、难以形容的气味，一种潮湿的废气的气味。","She served the dinner and sat opposite him.His small bullet head was quite black, save for the whites of his eyes and his scarlet lips.It gave her a queer sensation to see him open his red mouth and bare his white teeth as he ate.His arms and hands were mottled black; his bare, strong neck got a little fairer as it settled towards his shoulders, reassuring her.There was the faint indescribable odour of the pit in the room, an odour of damp, exhausted air."
"“背心的肩膀那儿怎么那么黑啊？”她问。","“Why is your vest so black on the shoulders?” she asked."
"“我的汗衫？”那是矿井顶棚滴下来的水弄的。我出井穿上它时，已经干了。井里有根很大的管子可以晾衣服，我们换下来的衣服就都丢在上面晾干。”","“My singlet?That’s wi’ th’ watter droppin’ on us from th’ roof.This is a dry un as I put on afore I come up.They ha’e gre’t clothes-’osses, and as we change us things, we put ’em on theer ter dry.”"
"饭后，他光着上身跪在炉前地毯上擦澡时，她又一次觉得有点害怕。他是那么强健，看起来是那么认真、那么专注于自己所做的事情，就像一只精力充沛的野兽。而且当他站起来擦身子，裸露的胸脯对着她时，看着他粗壮的胳膊上隆起的一块块肌肉，她感到有些恶心。","When he washed himself, kneeling on the hearth-rug stripped to the waist, she felt afraid of him again.He was so muscular, he seemed so intent on what he was doing, so intensely himself, like a vigorous animal.And as he stood wiping himself, with his naked breast towards her, she felt rather sick, seeing his thick arms bulge their muscles."
"然而，他们过得很幸福。能娶到她，他感到无比自豪。矿工们爱拿他开玩笑，故意把他从她身边支开。但是，没有什么能减弱他以妻子为荣的自豪感，没有什么能动摇他那孩童般的满足。晚上，他就坐在椅子上和她聊天，或者听她给他念报纸。天气好的时候，他会像其他矿工一样来到街上，蹲靠在自家客厅的墙边，同一个又一个过路的人打招呼。没人的时候，他自己蹲着抽烟也乐在其中，心里感到无比地充实和满足。他娶了一个好妻子。","They were nevertheless very happy.He was at a great pitch of pride because of her.The men in the pit might chaff him, they might try to entice him away, but nothing could reduce his self-assured pride because of her, nothing could unsettle his almost infantile satisfaction.In the evening he sat in his armchair chattering to her, or listening as she read the newspaper to him.When it was fine, he would go into the street, squat on his heels as colliers do, with his back against the wall of his parlour, and call to the passers-by, in greeting, one after another.If no one were passing, he was content just to squat and smoke, having such a fund of sufficiency and satisfaction in his heart.He was well married."
"他们结婚不到一年，布伦特与韦尔伍德煤矿的工人们就闹起了罢工。威利是工会会员，所以他们的日子过得紧巴巴的。买家具的钱还没还清，新的债务又来了。她焦虑不安，想尽办法去还债，他却对此不闻不问。不过，他也算是个好丈夫，把所赚的钱都交给了她。","They had not been wed a year when all Brent and Wellwood’s men came out on strike.Willy was in the Union, so with a pinch they scrambled through.The furniture was not all paid for, and other debts were incurred.She worried and contrived, he left it to her.But he was a good husband; he gave her all he had."
"矿工们连续十五周没上工了。复工后刚满一年，威利就在矿井里出了事，弄伤了膀胱。在井下的煤道里，医生一说到要住院，这位年轻的矿工就完全失去了理智，疯子似的大喊大叫起来，既因为疼痛难耐，也因为对住院的恐惧。","The men were out fifteen weeks.They had been back just over a year when Willy had an accident in the mine, tearing his bladder.At the pit head the doctor talked of the hospital. Losing his head entirely, the young collier raved like a madman, what with pain and fear of hospital."
"“你可以回家，威利，可以回家。”工会代表连忙说道。","“Tha s’lt go whoam, Willy, tha s’lt go whoam,” the deputy said."
"一个年轻的矿工事先就通知了威利的妻子把床准备好。她二话没说就准备妥当了。然而，当救护车开来，听到被抬下车的丈夫疼得大喊大叫时，她真担心自己会撑不住。人们将他抬进了屋。","A lad warned the wife to have the bed ready.Without speaking or hesitating she prepared.But when the ambulance came, and she heard him shout with pain at being moved, she was afraid lest she should sink down.They carried him in."
"“太太，你该在客厅里摆张床，”工会代表说，“这样，我们就不必把他抬到楼上，你也省得楼上楼下来回跑了。","“Yo’ should ’a’ had a bed i’ th’ parlour, Missis,” said the deputy, “then we shouldn’a ha’ had to hawkse ’im upstairs, an’ it ’ud ’a’ saved your legs.”"
"但是现在已经来不及了。他们已经把他抬上楼了。","But it was too late now.They got him upstairs."
"“露西，他们就让我躺在那里，”他哭着说，“他们让我在煤堆上足足躺了要命的两小时才把我弄出矿井。真疼啊，露西，真疼。噢，露西，疼死了，疼死了！”","“They let me lie, Lucy,” he was crying, “they let me lie two mortal hours on th’ sleck afore they took me outer th’ stall.Th’ peen, Lucy, th’ peen; oh, Lucy, th’ peen, th’ peen!”"
"“我知道你疼得厉害，威利，我知道。但是你得尽量忍忍。”","“I know th’ pain’s bad, Willy, I know.But you must try an’ bear it a bit.”"
"“小伙子，别这样，你的妻子会受不了的。”工会代表说。","“Tha manna carry on in that form, lad, thy missis ’ll niver be able ter stan’ it,” said the deputy."
"“我受不了了，真的是太疼了。”他又哭喊开了。他这辈子还从没生过病呢！有时伤着手指，他也敢看伤口。但这次是来自体内的疼痛，这让他感到恐惧。最后，他终于精疲力竭，平静了下来。","“I canna ’elp it, it’s th’ peen, it’s th’ peen,” he cried again.He had never been ill in his life.When he had smashed a finger he could look at the wound.But this pain came from inside, and terrified him.At last he was soothed and exhausted."
"她费了好大工夫才帮他脱下衣服，擦洗干净。通常像他这种粗犷又朴实的人，绝不会让其他女人为他做这些事情的。","It was some time before she could undress him and wash him.He would let no other woman do for him, having that savage modesty usual in such men."
"他在床上躺了六个星期，饱受病痛的折磨。医生们都不确定他到底怎么了，都不知如何是好。他能吃，也没变瘦，力气也还那么大，只是一直疼痛，几乎走不了路了。","For six weeks he was in bed, suffering much pain.The doctors were not quite sure what was the matter with him, and scarcely knew what to do.He could eat, he did not lose flesh, nor strength, yet the pain continued, and he could hardly walk at all."
"六个星期后，矿工们参加了全国总罢工。他早晨总是很早起床，坐在窗子旁边。罢工第二周的星期三，他像往常一样坐着注视着街道。他还是那个固执的年轻人，看上去精力充沛，只是脸上一副焦虑不安的神情。","In the sixth week the men came out in the national strike.He would get up quite early in the morning and sit by the window.On Wednesday, the second week of the strike, he sat gazing out on the street as usual, a bullet-headed young man, still vigorous-looking, but with a peculiar expression of hunted fear in his face."
"“露西，”他叫道，“露西！”","“Lucy,” he called, “Lucy!”"
"听到喊声，露西急忙跑上楼，脸色苍白，十分憔悴。","She, pale and worn, ran upstairs at his bidding."
"“给我一条手帕。”他说。","“Gi’e me a han’kercher,” he said."
"“怎么，你不是有一条了吗？”她走上前回答他说。","“Why, you’ve got one,” she replied, coming near."
"“你别碰我。”他喊道。摸摸口袋，他掏出一条白手帕。","“Tha nedna touch me,” he cried.Feeling his pocket, he produced a white handkerchief."
"“我不要白手帕，给我红的。”他说。","“I non want a white un, gi’e me a red un,” he said."
"“万一有人来看你呢。”她说着，递给他一条红色的手帕。","“An’ if anybody comes to see you,” she answered, giving him a red handkerchief."
"“再说，”她继续说道，“你也不必就为了这个把我叫上楼来呀。”","“Besides,” she continued, “you needn’t ha’ brought me upstairs for that.”"
"“我看又得疼了。”他的声音里带着一丝恐惧。","“I b’lieve th’ peen’s commin’ on again,” he said, with a little horror in his voice."
"“不会的，你知道不会的，”她回答说，“医生说，本来就不疼，是你想象的而已。”","“It isn’t, you know, it isn’t,” she replied.“The doctor says you imagine it’s there when it isn’t.”"
"“我难道连自己的感觉都分不清吗？”他嚷道。","“Canna I feel what’s inside me?” he shouted."
"“有辆牵引车正往山下驶呢，”她说，“看那个会分散你的疼痛感。我要去把你的布丁给做了。”","“There’s a traction-engine coming downhill,” she said.“That’ll scatter them.I’ll just go an’ finish your pudding.”"
"说完她就出去了。牵引车驶过，房子都震动了起来。过后，除了人群，街上又安静了下来。一群十五到二十五岁的年轻人正在马路中间玩弹珠。另外几小群人则在人行道上玩耍。街上阴沉沉的。威利可以听到人们无休止的叫喊和吵闹声。","She left him.The traction-engine went by, shaking the houses.Then the street was quiet, save for the men.A gang of youths from fifteen to twenty-five years old were playing marbles in the middle of the road.Other little groups of men were playing on the pavement.The street was gloomy.Willy could hear the endless calling and shouting of men’s voices."
"“你捣鬼！”","“Tha ’rt skinchin’!”"
"“我没有！”","“I arena!”"
"“把红球拿过来。”","“Come ’ere with that blood-alley.”"
"“拿四个来和我换。”","“Swop us four for ’t.”"
"“不行，把那个给我。”","“Shonna, gie’s hold on ’t.”"
"他想出去，他也想玩弹珠。疼痛削弱了他的意识，他几乎没法控制自己。","He wanted to be out, he wanted to be playing marbles.The pain had weakened his mind, so that he hardly knew any self-control."
"就在这时，又来了一群人懒散地在街上逛着。今早是发薪的日子。工会正在简陋的小教堂里发放津贴。从教堂出来时，人人都领了十先令。","Presently another gang of men lounged up the street.It was pay morning.The Union was paying the men in the Primitive Chapel.They were returning with their half-sovereigns."
"“对不起！”只听有人大叫道，“对不起！”","“Sorry!” bawled a voice.“Sorry!”"
"这词被用作了称呼语，很可能是“小子”这个词的误用。威利吓得差点从椅子上掉下来。","The word is a form of address, corruption probably of ‘Sirrah’.Willy started almost out of his chair."
"“对不起！”那个大嗓门又喊起来，“谁想跟我一起去看诺丁汉队对维拉队的球赛？”","“Sorry!” again bawled a great voice.“Art goin’ wi’ me to see Notts play Villa?”"
"许多玩弹珠的人立马站了起来。","Many of the marble players started up."
"“几点了？没火车了，我们得走着去。”","“What time is it?There’s no treens, we s’ll ha’e ter walk.”"
"街上的人顿时沸腾起来。","The street was alive with men."
"""有谁想去诺丁汉看球赛？""那个大嗓门又在喊。喊话的人是个大块头，喝得醉醺醺的，走路东倒西歪，帽子都遮过了眼睛。","“Who’s goin’ ter Nottingham ter see th’ match?” shouted the same big voice.A very large, tipsy man, with his cap over his eyes, was calling."
"“去呀！去呀！”许多人附和着。街上人声鼎沸。他们三五成群，兴高采烈。","“Com’ on—aye, com’ on!” came many voices.The street was full of the shouting of men.They split up in excited cliques and groups."
"“诺丁汉队，加油！”那大块头喊道。","“Play up, Notts!” the big man shouted."
"“诺丁汉队，加油！”老老少少都喊了起来。大家都在兴头上，只要一声吼，便都会跟着起哄。谨慎的当局对这一点清楚得很。","“Plee up, Notts!” shouted the youths and men.They were at kindling pitch.It only needed a shout to rouse them.Of this the careful authorities were aware."
"“我要去！我要去！”病着的威利也朝着窗外喊起来。","“I’m goin’, I’m goin’!” shouted the sick man at his window."
"露西连忙跑上楼。","Lucy came running upstairs."
"“我要去梅多斯球场看诺丁汉队对维拉队的球赛。”他说。","“I’m goin’ ter see Notts play Villa on th’ Meadows ground,” he declared."
"“不，你不能去。没有火车。你走不了九英里。”","“You—you can’t go.There are no trains.You can’t walk nine miles.”"
"“我要去看球赛。”他站了起来，强调道。","“I’m goin’ ter see th’ match,” he declared, rising."
"“你知道你去不了。先坐下，安静点！”","“You know you can’t.Sit down now an’ be quiet.”"
"她把手放在他的肩上。他一把甩开，","She put her hand on him.He shook it off."
"“别管我，别管我。都是你让我肚子疼，都怪你。我就是要去诺丁汉看足球赛。”","“Leave me alone, leave me alone.It’s thee as ma’es th’ peen come, it’s thee.I’m goin’ ter Nottingham to see th’ football match.”"
"“坐下，要是大家听见你大喊大叫，会怎么想？”","“Sit down—folks’ll hear you, and what will they think?”"
"“走开！走开！是她，是她害得我肚子疼。走开！”","“Come off ’n me.Com’ off.It’s her, it’s her as does it.Com’ off.”"
"他一把抓住她。他发疯一样，小脑袋上的头发都竖立起来，力气大得像头狮子。","He seized hold of her.His little head was bristling with madness, and he was strong as a lion."
"“噢，威利！”她叫道。","“Oh, Willy!” she cried."
"“都怪她！都怪她！我要杀了她！”他叫喊着，“杀了她！”","“It’s ’er, it’s ’er.Kill her!” he shouted, “kill her.”"
"“威利，别人会听到的。”","“Willy, folks ’ll hear you.”"
"“我告诉你，伤口又开始疼了。我要杀了她！都怪她！”","“Th’ peen ’s commin’ on again, I tell yer.I’ll kill her for it.”"
"他完全失去了理智。为了不让他下楼，她只得和他扭打起来。他一直疯狂地大喊大叫，她只好挣脱了他，招呼街对面的邻居，一位二十四岁的姑娘，当时她正在擦窗户。","He was completely out of his mind.She struggled with him to prevent his going to the stairs.When she escaped from him, he was shouting and raving, she beckoned to her neighbour, a girl of twenty-four, who was cleaning the window across the road."
"埃塞尔·梅勒是富有的监称员的女儿。她怕霍斯普尔太太出事，赶忙跑了过来。邻居们听到威利在乱叫，也都跑到街上来听是怎么回事。埃塞尔急忙跑上楼。这个刚安顿好还没多久家里，所有的东西都收拾得整洁而漂亮。","Ethel Mellor was the daughter of a well-to-do check-weighman.She ran across in fear to Mrs Horsepool.Hearing the man raving, people were running out in the street and listening.Ethel hurried upstairs.Everything was clean and pretty in the young home."
"只见威利正围着房间，跌跌撞撞地朝一步步后退的露西逼近，嘴里还大声喊着：“杀死她！杀死她！”","Willy was staggering round the room, after the slowly retreating Lucy, shouting: “Kill her! Kill her!”"
"“霍斯普尔先生！”埃塞尔靠在床边，脸色苍白，浑身发抖地喊道。“你究竟在说些什么？”","“Mr Horsepool!” cried Ethel, leaning against the bed, white as the sheets, and trembling.“Whatever are you saying?”"
"“我告诉你，我的痛都是她造成的——我告诉你！杀了她！杀了她！”","“I tell yer it’s ’er fault as th’ peen comes on—I tell yer it is!Kill ’er—kill ’er!”"
"“杀死霍斯普尔太太？”那姑娘喊道，全身都在发抖。“为什么？你是那么地爱她，你知道的。”","“Kill Mrs Horsepool!” cried the trembling girl.“Why, you’re ever so fond of her, you know you are.”"
"“疼痛，我承受了那么多的疼痛，我要杀死她。”","“The peen—I ha’e such a lot o’ peen—I want to kill ’er.”"
"他渐渐平静了下来。他一坐下，他的妻子就瘫倒在椅子上，默默地哭了起来。埃塞尔也是流泪满面。他坐在那里，眼睛盯着窗外，又恢复了之前那种痛苦的表情。","He was subsiding.When he sat down his wife collapsed in a chair, weeping noiselessly.The tears ran down Ethel’s face.He sat staring out of the window; then the old, hurt look came on his face."
"“我刚刚都说了些什么？”他可怜巴巴地望着妻子问道。","“What ’ave I been sayin’?” he asked, looking piteously at his wife."
"“为什么啊！”埃塞尔说，“你一直在说那些可怕的话——‘杀死她，杀死她！’”","“Why!” said Ethel, “you’ve been carrying on something awful, saying, ‘Kill her, kill her!’”"
"“我说了吗，露西？”他支支吾吾地问。","“Have I, Lucy?” he faltered."
"“你都不知道你说过些什么了。”他年轻的妻子回答说，语气虽轻却有点冷淡。","“You didn’t know what you was saying,” said his young wife gently but coldly."
"他紧绷着脸，咬着嘴唇，眼泪止不住地流下来。他朝窗外看去，不停地抽噎。","His face puckered up.He bit his lip, then broke into tears, sobbing uncontrollably, with his face to the window."
"房子里没有其他声音，只有他们三个人痛苦的哭声和哽咽的呼吸声。突然，露西擦干眼泪，走到他跟前。","There was no sound in the room but of three people crying bitterly, breath caught in sobs.Suddenly Lucy put away her tears and went over to him."
"“你并不知道自己刚才说了些什么，威利，我相信你不知道。我相信你不知道，一直都不知道。没关系，威利。只是以后别再这样了。”","“You didn’t know what you was sayin’, Willy, I know you didn’t.I knew you didn’t, all the time.It doesn’t matter, Willy.Only don’t do it again.”"
"过了一会儿，大家都平静下来，她和埃塞尔一起下了楼。","In a little while, when they were calmer, she went downstairs with Ethel."
"“看看街上有没有人留意我们。”露西说。","“See if anybody is looking in the street,” she said."
"埃塞尔走到客厅，透过窗帘偷偷向外望去。","Ethel went into the parlour and peeped through the curtains."
"“啊，有人！”她说，“你可以放心，莉娜和塞弗恩太太正要出去买东西，还有那个胖胖的、傻呵呵的奥尔索普太太。”","“Aye!” she said.“You may back your life Lena an’ Mrs Severn’ll be out gorping, and that clat-fartin’ Mrs Allsop.”"
"“噢，希望她们没听到什么！如果威利刚才发疯的事传了出去，他们会停发他的抚恤金。我想他们肯定会的。”","“Oh, I hope they haven’t heard anything!If it gets about as he’s out of his mind, they’ll stop his compensation, I know they will.”"
"“他们不能为了这事就停发他的抚恤金。”埃塞尔不满地说。","“They’d never stop his compensation for that,” protested Ethel."
"“喔，他们就曾停发过某个……”","“Well, they have been stopping some—”"
"“这事不会传出去的，我不会跟任何人讲。”","“It’ll not get about.I s’ll tell nobody.”"
"“噢，要是真传出去了，我们可怎么办呀？……”","“Oh, but if it does, whatever shall we do?...”"
