"千块皮","Allerleirauh"
"驴子圆白菜","Donkey Cabbages"
"从前，有一位年轻的猎人，他去森林里埋伏着等待猎物。他精神饱满、心情愉悦，正当他一路上用树叶吹着小曲，渐行渐远的时候，偶遇一位长相丑陋、干瘪的老太婆，老太婆对他说：“你好啊，亲爱的猎人，你真的好快乐、好满足呀，可我正忍饥挨饿呢，施舍点啥给我吧。”猎人很同情这个可怜的老人，摸了摸口袋，把能给的东西都给了她。他正打算继续赶路，老太婆却拦住了他，说道：“亲爱的猎人，你听我说，你这么善良，我要送你一件礼物作为回报。你只管继续赶路，不久就会看到一棵大树，树上有九只小鸟，小鸟们用爪子抓着一件披风，互相争抢，你拿猎枪朝它们中间开一枪，它们就会把披风掉落给你，其中一只鸟儿会被击中，坠地而死。你带走那披风，它是件许愿披风，当你披上它时，只需想想要去的地方，一眨眼的功夫你就到那儿了。挖出那只死鸟儿的心，整个地吞下去，那样的话你每天一早起床后，都会发现枕头下面有一块金条。”猎人谢过睿智的老太太，心想：“如果真能实现的话，她许诺的可都是大美事啊。”                                                  猎人走了大约一百步，当真听到在他头顶上方的树枝之间，鸟儿叽叽喳喳地尖叫个不停，他抬头一望，只见一群小鸟正用鸟喙、爪子撕扯着一块布，它们边拽那布，边互相打斗，好像个个都想独占它。猎人喊道：“哈，这太好了，还真说来就来啊，跟老太婆所预言的一样啊！”于是，他拿下肩上的猎枪，瞄准它们后朝当中开了一枪，顿时羽毛四处纷飞。鸟儿们立即尖叫着飞走了，可是有一只坠下来死掉了，那件披风也同时落了下来。然后猎人就按老太婆指导的做了，切开鸟儿，找到心脏，一口吞了下去，并把披风拿回了家。","There was once a young huntsman who went into the forest to lie in wait.He had a fresh and joyous heart, and as he was going thither, whistling upon a leaf, an ugly old crone came up, who spoke to him and said, “Good day, dear huntsman, truly you are merry and contented, but I am suffering from hunger and thirst, do give me an alms.”The huntsman had compassion on the poor old creature, felt in his pocket, and gave her what he could afford.He was then about to go further, but the old woman stopped him and said, “Listen, dear huntsman, to what I tell you; I will make you a present in return for your kindness.Go on your way now, but in a little while you will come to a tree, whereon nine birds are sitting which have a cloak in their claws, and are plucking at it; take your gun and shoot into the midst of them, they will let the cloak fall down to you, but one of the birds will be hurt, and will drop down dead.Carry away the cloak, it is a wishing cloak; when you throw it over your shoulders, you only have to wish to be in a certain place, and you will be there in the twinkling of an eye.Take out the heart of the dead bird and swallow it whole, and every morning early, when you get up, you will find a gold piece under your pillow.”The huntsman thanked the wise woman, and thought to himself, “Those are fine things that she has promised me, if all does but come true.”And verily when he had walked about a hundred paces, he heard in the branches above him such a screaming and twittering that he looked up and saw there a crowd of birds who were tearing a piece of cloth about with their beaks and claws, and tugging and fighting as if each wanted to have it all to himself.“Well,” said the huntsman, “this is wonderful, it has really come to pass just as the old wife foretold!” and he took the gun from his shoulder, aimed and fired right into the midst of them, so that the feathers flew about.The birds instantly took to flight with loud outcries, but one dropped down dead, and the cloak fell at the same time.Then the huntsman did as the old woman had directed him, cut open the bird, sought the heart, swallowed it down, and took the cloak home with him."
"第二天早上，猎人醒来时想到了老太婆说的话，便想看看是否真的实现了。当他抬起枕头，一块金灿灿的金条映入眼帘，接下来的清晨他又得到了一块金子，以后的每天清晨他起床后都是如此。他慢慢收集了成堆的金子，可最后他心想：“我要是就这样呆在家里的话，有这么多金子又有什么用呢？我要出去见见世面。”","Next morning, when he awoke, the promise occurred to him, and he wished to see if it also had been fulfilled.When he lifted up the pillow, the gold piece shone in his eyes, and next day he found another, and so it went on, every time he got up.He gathered together a heap of gold, but at last he thought, “Of what use is all my gold to me if I stay at home? I will go forth and see the world.”"
"于是，他辞别了父母，背上包袱、扛上猎枪就去闯世界了。一天，他穿过一片茂密的森林，走到森林尽头时，映入眼帘的是平原上矗立着的一座宏伟的城堡。一个老太太和一个美丽得令人惊讶的少女正站在那里朝窗外张望。这老太太其实是个巫婆，她对姑娘说：“从森林里走出来的那个人，身上有件奇异的宝贝，我们要把它偷来，我亲爱的女儿，那宝贝与我们才更相配呢。他曾吃了一颗鸟心，因此每天清晨他的枕头下面都会出现一块金条。”老巫婆告诉女儿要怎样做才可以拿到，哪部分需要她做，最后露出凶狠的目光威胁她道：“要是你敢不按我说的做，我就让你好看。”当猎人走近后，一下就看到了那位少女，他自言自语道：“我已经走了这么久的路，真该休息一下了，到那座漂亮的宫殿里去吧。反正我有的是钱。”","He then took leave of his parents, buckled on his huntsman’s pouch and gun, and went out into the world.It came to pass, that one day he travelled through a dense forest, and when he came to the end of it, in the plain before him stood a fine castle.An old woman was standing with a wonderfully beautiful maiden, looking out of one of the windows.The old woman, however, was a witch and said to the maiden, “There comes one out of the forest, who has a wonderful treasure in his body, we must filch it from him, my dear daughter, it is more suitable for us than for him.He has a bird’s heart about him, by means of which a gold piece lies every morning under his pillow.”She told her what she was to do to get it, and what part she had to play, and finally threatened her, and said with angry eyes, “And if you do not attend to what I say, it will be the worse for you.”Now when the huntsman came nearer he descried the maiden, and said to himself, “I have travelled about for such a long time, I will take a rest for once, and enter that beautiful castle. I have certainly money enough.”"
"但是，猎人想进入宫殿的真正原因，是他被那位漂亮的姑娘迷住了。","Nevertheless, the real reason was that he had caught sight of the pretty girl."
"他走进这座大房子，受到了热情而又礼貌的接待。很快他就深深爱上了这个小巫女，从此不再想其他事情，眼里只有她关注的东西，只做她要求做的事情。于是，老巫婆说：“现在我们得把鸟心取出来了，他永远都不会想念它的。”她配制了一种药水，准备妥当后，倒进杯子里，让女儿端到猎人面前。姑娘照做了，说道：“噢，亲爱的，为我喝干了它吧。”因此，猎人拿起杯子一饮而尽，随后吐出了鸟心。姑娘不得不悄悄地拿走鸟心，吞了下去，因为是老巫婆吩咐她这么做的。自那以后，猎人再也没在枕头下面找到过金子，取而代之的是金子跑到姑娘的枕头下面了，老巫婆每天清晨都会从她那儿把金子取走。可由于猎人被爱情冲昏了头，他就什么都没多想，只想着能和姑娘共度时光。","He entered the house, and was well received and courteously entertained.Before long he was so much in love with the young witch that he no longer thought of anything else, and only saw things as she saw them, and did what she desired.The old woman then said, “Now we must have the bird’s heart, he will never miss it.”She prepared a drink, and when it was ready, poured it into a cup and gave it to the maiden, who was to present it to the huntsman.She did so, saying, “Now, my dearest, drink to me.”So he took the cup, and when he had swallowed the draught, he brought up the heart of the bird.The girl had to take it away secretly and swallow it herself, for the old woman would have it so.Thence forward he found no more gold under his pillow, but it lay instead under that of the maiden, from whence the old woman fetched it away every morning; but he was so much in love and so befooled, that he thought of nothing else but of passing his time with the girl."
"老巫婆又说：“我们拥有鸟心了，但是我们还必须把他那件许愿披风拿来。”姑娘答道：“我们就把披风留给他吧，他都已经失去钱财了啊。”老巫婆很生气，说道：“这件披风可是件了不起的宝贝呀，全世界都很罕见。我一定要得到它！”","Then the old witch said, “We have the bird’s heart, but we must also take the wishing cloak away from him.”The girl answered, “We will leave him that, he has lost his wealth.”The old woman was angry and said, “Such a mantle is a wonderful thing, and is seldom to be found in this world. I must and will have it！”"
"她打了女孩几下，还警告她说，如果她不服从会遭殃的。于是，姑娘按老巫婆的命令行事，她站到窗前，望向遥远的国度，看起来特别伤心。猎人问道：“你为什么这么伤心地站在那儿啊？”姑娘回答说：“唉，亲爱的，远处那边有一座石榴石山，山上有很多珍贵的宝石。我渴望得到那些宝石，以至于每当想起来就感到很伤心，可谁又能得到呢？只有鸟儿才行，它们能飞到那里去，任何人类都做不到啊。”猎人说：“除此之外，你没别的事情感到伤心了吧？我很快就能帮你解除心结。”","She gave the girl several blows, and said that if she did not obey, it should fare ill with her.So she did the old woman’s bidding, placed herself at the window and looked on the distant country, as if she were very sorrowful.The huntsman asked, “Why dost thou stand there so sorrowfully?”“Ah, my beloved,” was her answer, “over yonder lies the Garnet Mountain, where the precious stones grow.I long for them so much that when I think of them, I feel quite sad, but who can get them?Only the birds; they fly and can reach them, but a man never.”“Hast thou nothing else to complain of?” said the huntsman, “I will soon remove that burden from heart.”"
"说完，他将姑娘拉到他的披风下面，许愿到石榴石山去，一眨眼的功夫他们就到了石榴石山上。宝石周边闪闪发光，怎么看都让人觉得是种享受，他们聚攒了其中很多最好最贵的宝石。这时，老巫婆施起了巫术，使猎人感觉眼皮越来越沉，昏昏欲睡起来。他对姑娘说：“我们坐下来休息一会儿吧，我很疲惫，都站不稳了。”于是他们坐下来，他将头靠在姑娘的双腿上，很快就睡着了。猎人正睡着的时候，姑娘从他身上解下披风，裹在自己身上，拿起石榴石和宝石，就许愿回家了。","With that he drew her under his mantle, wished himself on the Garnet Mountain, and in the twinkling of an eye they were sitting on it together.Precious stones were glistening on every side so that it was a joy to see them, and together they gathered the finest and costliest of them.Now, the old woman had, through her sorceries, contrived that the eyes of the huntsman should become heavy.He said to the maiden, “We will sit down and rest awhile, I am so tired that I can no longer stand on my feet.”Then they sat down, and he laid his head in her lap, and fell asleep.When he was asleep, she unfastened the mantle from his shoulders, and wrapped herself in it, picked up the garnets and stones, and wished herself back at home with them."
"猎人睡醒后，发现心上人背叛了他，把他独自一人留在这荒山野岭上。他叹道：“唉，世上竟有这么背信弃义的事情！”猎人既担心又伤心地坐在那里，不知如何是好。可是，这石榴石山的主人其实是一些可怕野蛮的巨人，他们就在这山上居住和生活，猎人才刚坐了一会儿就看到三个巨人朝他走过来，于是他躺在地上，假装正在沉睡的样子。巨人们走到猎人面前，第一个巨人用脚踢踢他，说：“是什么东西蜷缩在这里？”第二个巨人说：“用脚踩死他。”可第三个巨人却说：“那还真不值得费那个劲啊；放过他吧，他不会留在这儿的；等他爬得再高一点，爬到山顶上，云彩会把他卷住带走的。”这么说着，三个巨人从他身边走了过去。可猎人却留心听到了他们的谈话，巨人们刚一走开，他就爬起来，向山顶攀登。当他到了山顶刚坐了一会儿，一朵云彩就向他飘来，卷起猎人将他带走了，在天上漂游了很久。后来，云彩越来越低，飘落在四面围墙的一大片圆白菜园里，这样猎人就缓缓地落在长着圆白菜之类蔬菜的地上了。猎人四处张望了一下，说：“要是有点东西吃就好了！我太饿了，过段时间还会更饿。可我看这里既没有苹果也没有梨子，什么水果都没有，除了圆白菜还是圆白菜。”最后，他心想：“必要时我就吃些菜叶子吧，虽然味道不怎么样，可至少能充饥呀。”想到这里，他挑了一个长得不错的圆白菜吃起来，可没等咽下几口，他就觉得很奇怪，感觉自己和以前大不相同了。他身上长出了四条腿，一个大大的脑袋和两只厚耳朵，他惊骇地发现，自己变成了一头毛驴。他的饥饿感仍随着每一分钟而增长，因为他现在是只毛驴，多汁的菜叶子正合他的胃口，他便津津有味地大吃起来。最后，他碰到了一种不同的圆白菜，刚一吃下去，他再次感到自己发生了变化，他又恢复了之前人的模样。","But when the huntsman had had his sleep out and awoke, and perceived that his sweetheart had betrayed him, and left him alone on the wild mountain, he said, “Oh, what treachery there is in the world!” and sat down there in care and sorrow, not knowing what to do.But the mountain belonged to some wild and monstrous giants who dwelt thereon and lived their lives there, and he had not sat long before he saw three of them coming towards him, so he lay down as if he were sunk in a deep sleep.Then the giants came up, and the first kicked him with his foot and said, “What sort of an earthworm is lying curled up here?""The second said, “Step upon him and kill him.”But the third said, “That would indeed be worth your while; just let him live, he cannot remain here; and when he climbs higher, toward the summit of of the mountain, the clouds will lay hold of him and bear him away.”So saying they passed by.But the huntsman had paid heed to their words, and as soon as they were gone, he rose and climbed up to the summit of the mountain, and when he had sat there a while, a cloud floated towards him, caught him up, carried him away, and travelled about for a long time in the heavens.Then it sank lower, and let itself down on a great cabbage garden, girt round by walls, so that he came softly to the ground on cabbages and vegetables.Then the huntsman looked about him and said, “If I had but something to eat!I am so hungry, and my hunger will increase in course of time; but I see here neither apples nor pears, nor any other sort of fruit, everywhere nothing but cabbages,” but at length he thought, “At a pinch I can eat some of the leaves, they do not taste particularly good, but they will refresh me.”With that he picked himself out a fine head of cabbage, and ate it, but scarcely had he swallowed a couple of mouthfuls than he felt very strange and quite different.Four legs grew on him, a large head and two thick ears, and he saw with horror that he was changed into an ass.Still as his hunger increased every minute, and as the juicy leaves were suitable to his present nature, he went on eating with great zest.At last he arrived at a different kind of cabbage, but as soon as he had swallowed it, he again felt a change, and reassumed his former human shape."
