"Suicides","自杀事件"
"The way in which I put my key in the lock, the place where I always find my matches, the first object which meets my eye when I enter the room, make me feel like jumping out of the window and putting an end to those monotonous events from which we can never escape.","每次我把钥匙插入锁中的方式，我放火柴的地方，我开门后第一眼看到的东西，这些都使我想从窗口跳下去，结束这种单调乏味而我们又总也难以摆脱的生活。"
"“Each day, when I shave, I feel an inordinate desire to cut my throat; and my face, which I see in the little mirror, always the same, with soap on my cheeks, has several times made me weak from sadness.","“每天，当我刮脸的时候，我都有一股强烈的欲望，那就是割断自己的咽喉；我在小镜子里看见我那张双颊抹着肥皂、永远不变的脸，有好几次忍不住悲从中来。"
"“Now I even hate to be with people whom I used to meet with pleasure; I know them so well, I can tell just what they are going to say and what I am going to answer.","“现在，我甚至讨厌与我过去喜欢的人呆在一起，因为我太了解他们了，我都可以知道他们会说些什么，而我又将会怎么答复他们。"
"Each brain is like a circus, where the same horse keeps circling around eternally.","每个人的脑袋就如同一个马戏团，里面有一匹同样的马，永远不停地在转圈子。"
"We must circle round always, around the same ideas, the same joys, the same pleasures, the same habits, the same beliefs, the same sensations of disgust.","我们总是必须兜圈子，围着同样的思想、同样的快乐、同样的乐趣、同样的习惯、同样的信仰，甚至同样令人讨厌的东西。"
"“The fog was terrible this evening.","“今夜的雾气特别浓厚，令人讨厌极了。"
"It enfolded the boulevard, where the street lights were dimmed and looked like smoking candles.","它笼罩着林阴大道，那里的街灯十分昏暗，看起来就像是冒着烟的蜡烛。"
"A heavier weight than usual oppressed me. Perhaps my digestion was bad.","有一个比平日更加沉重的重量压着我。也许是我的消化不好。"
"“For good digestion is everything in life.","“因为好的消化能力在生活中是非常重要的。"
"It gives the inspiration to the artist, amorous desires to young people, clear ideas to thinkers, the joy of life to everybody, and it also allows one to eat heartily (which is one of the greatest pleasures).","它让艺术家产生灵感，让年轻人萌生爱意，让思想家产生清晰的思路，让所有人感受人生的快乐，同时也让人畅快地吃东西（这也是人生中的一大乐事）。"
"A sick stomach induces scepticism unbelief, nightmares and the desire for death.","坏的肠胃让人产生怀疑的想法、做噩梦，甚至是产生轻生的念头。"
"I have often noticed this fact.","我经常注意到这一点。"
"Perhaps I would not kill myself, if my digestion had been good this evening.","要是今晚我的胃口很好的话，也许我就不会自杀了。"
"“When I sat down in the arm-chair where I have been sitting every day for thirty years, I glanced around me, and just then I was seized by such a terrible distress that I thought I must go mad.","“当我坐在30年来每天都坐的椅子上时，我环顾四周，就在那时，我陷入了一种巨大的悲伤，以为自己就要疯了。"
"“I tried to think of what I could do to run away from myself.","“于是我试图做点儿什么别的事情，以分散自己的注意力，让自己解脱出来。"
"Every occupation struck me as being worse even than inaction.","但每件事似乎只是火上浇油。"
"Then I bethought me of putting my papers in order.","于是我想整理一下自己的文件。"
"“For a long time I have been thinking of clearing out my drawers; for, for the last thirty years, I have been throwing my letters and bills pell-mell into the same desk, and this confusion has often caused me considerable trouble.","“很久以来，我就想着整理我的抽屉；因为30年来，我每次都把信件和账单杂乱无章地扔在那张桌子的抽屉里，而且这乱七八糟的状况总是给我带来极大的不便。"
"But I feel such moral and physical laziness at the sole idea of putting anything in order that I have never had the courage to begin this tedious business.","但是只要一想到要整理这些东西，我就觉得很麻烦，又懒得动手，因此一直以来都没勇气动手做这份乏味的工作。"
"“I therefore opened my desk, intending to choose among my old papers and destroy the majority of them.","“于是，我打开抽屉，想要找出一些原来的信件，再把其中大部分销毁掉。"
"“At first I was bewildered by this array of documents, yellowed by age, then I chose one.","“一开始，我被这一大摞年久泛黄的文件弄得有点儿不知所措，然后我从里面抽出了一张。"
"“Oh!","“天哪！"
"if you cherish life, never disturb the burial place of old letters!","如果你珍爱生活的话，千万别去碰这座埋葬着过去生活的书信的坟墓！"
"“And if, perchance, you should, take the contents by the handful, close your eyes that you may not read a word, so that you may not recognize some forgotten handwriting which may plunge you suddenly into a sea of memories; carry these papers to the fire; and when they are in ashes, crush them to an invisible powder, or otherwise you are lost—just as I have been lost for an hour.","“如果有可能的话，你就该一把把地抓起里面的信件，闭上眼睛，一个字也别看。这样你就不知道这信是谁写的，也就不会让你陷入回忆的海洋。把这些信扔入火中，待它们化为灰烬时，再将它们压成细细的粉末，完全分不清楚了——不然你就完了——就像我一个钟头以前完蛋了一样。"
"“The first letters which I read did not interest me greatly.","“我读的头几封信并没有引起我太大的兴趣。"
"They were recent, and came from living men whom I still meet quite often, and whose presence does not move me to any great extent.","那些信都是最近才收到的，写信的人现在也还都活在世上，我也经常可以见到他们，他们的出现也不会怎么打动我。"
"But all at once one envelope made me start.","可是突然有一封信让我震惊不已。"
"My name was traced on it in a large, bold handwriting; and suddenly tears came to my eyes.","信封上用那种大号且加粗的字体写着我的名字，于是，瞬间我的眼泪夺眶而出。"
"That letter was from my dearest friend, the companion of my youth, the confidant of my hopes; and he appeared before me so clearly, with his pleasant smile and his hand outstretched, that a cold shiver ran down my back.","那封信是我最亲爱的朋友写给我的，他是我青年时代的玩伴，也是我的知己至交。他的模样出现在我的眼前，是那么清晰，脸上带着和蔼的笑容，手伸展开来，这些景象使我不寒而栗。"
"Yes, yes, the dead come back, for I saw him!","是的，是的，是他回来了，我看到他了。"
"Our memory is a more perfect world than the universe: it gives back life to those who no longer exist."," 我们的记忆比起宇宙来说，是一个更为完美的世界：因为它可以让那些已经去世的人重生。"
"“With trembling hand and dimmed eyes I reread everything that he told me, and in my poor sobbing heart I felt a wound so painful that I began to groan as a man whose bones are slowly being crushed.","“我的手颤巍巍地拿着那封信，泪眼蒙眬地读着它，我那可怜清醒的心中感受到一股刺痛，我竟像饱受骨折折磨的病人一样呻吟起来。"
"“Then I travelled over my whole life, just as one travels along a river.","“然后我回顾着我的一生，如同一个人顺着江河漫游一样。"
"I recognized people, so long forgotten that I no longer knew their names.","我认出一些人，可惜时间过去的太久，我都记不起他们的名字了。"
"Their faces alone lived in me. In my mother’s letters I saw again the old servants, the shape of our house and the little insignificant odds and ends which cling to our minds.","而他们的面容依旧印在我的脑海里。在我妈妈的来信中，我仿佛再次看到过去的仆人，记起我们过去居住的房子的形状，还有许多其他琐碎的事物也浮现在眼前。"
"“Yes, I suddenly saw again all my mother’s old gowns, the different styles which she adopted and the several ways in which she dressed her hair.","“还有，我突然看到我妈妈曾经穿过的所有旧衣裙，都是那个时代流行的，还有她梳过的多种样式的发髻。"
"She haunted me especially in a silk dress, trimmed with old lace; and I remembered something she said one day when she was wearing this dress.","萦绕在我心头的尤其是她穿着一条丝绸裙子，裙子边上缀有旧花边；我想起了那天她穿这条裙子时对我说的话。"
"She said: ‘Robert, my child, if you do not stand up straight you will be round-shouldered all your life.’","她说：‘罗伯特，我亲爱的孩子，如果你不挺直腰板的话，你就会一辈子都是驼背。’"
"“Then, opening another drawer, I found myself face to face with memories of tender passions: a dancing-pump, a torn handkerchief, even a garter, locks of hair and dried flowers.","“接着，我打开了另一个抽屉，我看到了许多见证了昔日爱情的物件：一只舞鞋、一块破旧的手帕，甚至还有一个吊带、几绺头发和一些干花。"
"Then the sweet romances of my life, whose living heroines are now white-haired, plunged me into the deep melancholy of things.","我往日甜蜜爱情的女主角如今年已经是白发苍苍，这又把我陷入到深深的忧伤之中。"
"Oh, the young brows where blond locks curl, the caress of the hands, the glance which speaks, the hearts which beat, that smile which promises the lips, those lips which promise the embrace!","噢，垂在额前的卷曲的金色秀发、充满爱抚的双手、传情达意的眼神、怦怦跳动的心脏、允诺接吻的微笑和亲吻过后的拥抱，都到哪里去了呢！"
"And the first kiss-that endless kiss which makes you close your eyes, which drowns all thought in the immeasurable joy of approaching possession!","第一次的亲吻——停不下来的亲吻让人紧闭双眼，忘掉一切，只是享受着那种快要拥有对方的无限的快乐！"
"“Taking these old pledges of former love in both my hands, I covered them with furious caresses, and in my soul, torn by these memories, I saw them each again at the hour of surrender; and I suffered a torture more cruel than all the tortures invented in all the fables about hell.","“双手捧着往日爱情的旧信物，我发狂地抚摸着它们。在我饱受记忆摧残的内心里，在放弃之时我又再一次看到它们，而我受到的折磨远比寓言传说中描写的更为可怕残酷。"
"“One last letter remained.","“最后只剩下一封信了。"
"It was written by me and dictated fifty years ago by my writing teacher.","这封信是50年前我在书法老师口授下亲笔写的。"
"Here it is:","内容是这样的："
"“‘MY DEAR LITTLE MAMMA:","“‘我亲爱的妈妈："
"“‘I am seven years old to-day.","“‘今天我七岁了。"
"It is the age of reason.","是该明白事理的时候了。"
"I take advantage of it to thank you for having brought me into this world.","借此机会，我感谢您把我带入这个世界。"
"“‘Your little son, who loves you","“‘爱您的儿子，"
"“‘ROBERT.’","“‘罗伯特。’"
"“It is all over.","“一切都结束了。"
"I had gone back to the beginning, and suddenly I turned my glance on what remained to me of life.","我回溯到了人生的开端，突然我又把目光转向了生命中剩下的日子。"
"I saw hideous and lonely old age, and approaching infirmities, and everything over and gone.","我看到了丑恶的、孤独的老年，还有逐渐逼近的病痛，所有的东西都消失殆尽，不复存在。"
"And nobody near me!","没有人陪伴在我的身边！"
"“My revolver is here, on the table.","“我的手枪就在这里，就在桌子上。"
"I am loading it ... Never reread your old letters!”","我给手枪上膛了……记住千万不要回头看你过去的信件！”"
"And that is how many men come to kill themselves; and we search in vain to discover some great sorrow in their lives.","这就是为什么许多人自寻短见的理由，而我们去探索他们的生活，想要发现什么巨大的悲痛，一切都是徒然。"

