"From Each According to His Ability","各尽所能"
"“I’d like to.”","“我愿意听一听。”"
"“But you won’t,” said Vuyning.","“但是你听不成了。”维宁说，"
"“I’ve heard it scores of times.","“我都听了几十遍了。"
"That’s why I won’t tell you.","所以不想讲给你听了。"
"I was just thinking how much better this is than a club.","我觉得我们在一起可比在俱乐部有意思多了。"
"Now, shall we go to my tailor?”","现在，去找我的裁缝如何？”"
"“Boys, and elderly gents,” said Vuyning, five days later at his club, standing up against the window where his coterie was gathered, and keeping out the breeze, “a friend of mine from the West will dine at our table this evening.”","“老少爷们儿，”五天后，在俱乐部里，维宁靠窗站着，向聚在一起的朋友们悄悄宣布，“今晚，我的一个来自西部的朋友将和我们共进晚餐。”"
"“Will he ask if we have heard the latest from Denver?” said a member, squirming in his chair.","“他会不会问我们关于丹佛的最新消息啊？”一个俱乐部会员局促不安地坐在椅子上问。"
"“Will he mention the new twenty-three-story Masonic Temple, in Quincy, Ill.?” inquired another, dropping his nose-glasses.","“他会不会提起伊利诺斯州昆西市新的二十三层高的新共济会大楼？”另一个会员放下夹鼻眼镜问道。"
"“Will he spring one of those Western Mississippi River catfish stories, in which they use yearling calves for bait?” demanded Kirk, fiercely.","“他会给我们讲那些在密西西比河用小牛犊做诱饵抓鲶鱼的故事吗？”柯克急切地问道。"
"“Be comforted,” said Vuyning.","“放心吧，”维宁说，"
"“He has none of the little vices.","“他不会讲这些小事的。"
"He is a burglar and safe-blower, and a pal of mine.”","他是个窃贼，撬保险箱的，也是我的朋友。”"
"“Oh, Mary Ann!” said they.","“啊，天哪！”他们惊呼，"
"“Must you always adorn every statement with your alleged humor?”","“你一定是在开玩笑吧？”"
"It came to pass that at eight in the evening a calm, smooth, brilliant, affable man sat at Vuyning’s right hand during dinner.","那天晚上八点钟，一个神态镇定、举止优雅、光彩照人、和蔼可亲的人吃饭时坐在维宁的右手边。"
"And when the ones who pass their lives in city streets spoke of skyscrapers or of the little Czar on his far, frozen throne, or of insignificant fish from inconsequential streams, this big, deep-chested man, faultlessly clothed, and eyed like an Emperor, disposed of their Lilliputian chatter with a wink of his eyelash.","当那些生活在城市里的人们谈到摩天大楼、遥远国度里坐在冰冷宝座上的小沙皇，或者不知名小溪中微不足道的小鱼时，这个身材高大、穿着无可挑剔、有帝王般气度的男人眨了眨眼睛就结束了他们小人国似的闲谈。"
"And then he painted for them with hard, broad strokes a marvellous lingual panorama of the West.","接着，他用语言粗线条地为众人描绘了一幅精彩的西部画面。"
"He stacked snow-topped mountains on the table, freezing the hot dishes of the waiting diners.","他把白雪覆顶的群山堆在餐桌上，使热腾腾的菜肴都结了冰。"
"With a wave of his hand he swept the clubhouse into a pine-crowned gorge, turning the waiters into a grim posse, and each listener into a blood-stained fugitive, climbing with torn fingers upon the ensanguined rocks.","他一挥手就把整个俱乐部都扫进长满松树的大峡谷，侍者变成了凶恶的暴徒，每一个听者都成了浑身血污的逃亡者，用磨破的手攀登染满血的岩石。"
"He touched the table and spake, and the five panted as they gazed on barren lava beds, and each man took his tongue between his teeth and felt his mouth bake at the tale of a land empty of water and food.","他把手放在桌上继续讲，五个听者好像看到光秃秃的火山岩床，不禁气喘吁吁，当听他讲到这片没有水和食物的土地时，每个人都感到口干舌燥。"
"As simply as Homer sang, while he dug a tine of his fork leisurely into the tablecloth, he opened a new world to their view, as does one who tells a child of the Looking-Glass Country.","他一面悠闲地用叉子戳着桌布，一面像荷马说唱似的向人们展示了一个全新的世界，正如对儿童讲《镜中世界》的故事。"
"As one of his listeners might have spoken of tea too strong at a Madison Square “afternoon,” so he depicted the ravages of “redeye” in a border town when the caballeros of the lariat and “forty-five” reduced ennui to a minimum.","就像一般人讨论麦迪逊广场的茶会那样，他轻松平常地讲述了边境小镇上一个叫“红眼”的人的暴行、牛仔的套索和四五口径左轮手枪，使听他说话的人毫无倦意。"
"And then, with a sweep of his white, unringed hands, he dismissed Melpomene, and forthwith Diana and Amaryllis footed it before the mind’s eyes of the clubmen.","然后，他一挥那只白皙的、没有戴戒指的手，不再讲悲剧故事，而是带领俱乐部会员们进入了美妙浪漫的幻境。"
"The savannas of the continent spread before them.","一片热带大草原展现在人们面前。"
"The wind, humming through a hundred leagues of sage brush and mesquite, closed their ears to the city’s staccato noises.","风吹拂过几百里格山艾灌木丛和牧豆树，盖过了城市的喧嚣。"
"He told them of camps, of ranches marooned in a sea of fragrant prairie blossoms, of gallops in the stilly night that Apollo would have forsaken his daytime steeds to enjoy; he read them the great, rough epic of the cattle and the hills that have not been spoiled by the hand of man, the mason.","他讲了野外露营的故事，描述了点缀草原花海的牧场，寂静夜晚里的策马奔驰，即使是阿波罗，也会扔下白日的座驾来这里享受一番。他还讲述了牛群伟大粗犷的史诗以及未受到人类破坏的自然风光。"
"His words were a telescope to the city men, whose eyes had looked upon Youngstown, O., and whose tongues had called it “West.”","他的话使城市居民大开眼界，曾经，他们眼中的“西部”就是俄亥俄州扬斯敦。"
"In fact, Emerson had them “going.”","实际上，埃默森使他们着了迷。"
"The next morning at ten he met Vuyning, by appointment, at a Forty-second Street café.","第二天上午十点，埃默森如约在第四十二大街上的一家咖啡馆里与维宁见面。"
"Emerson was to leave for the West that day.","当天，埃默森就要动身去西部了。"
"He wore a suit of dark cheviot that looked to have been draped upon him by an ancient Grecian tailor who was a few thousand years ahead of the styles.","他穿着一套深色的舍维呢衣服，好像由一位意识超前几千年的古希腊裁缝为他裁制的。"
"“Mr. Vuyning,” said he, with the clear, ingenuous smile of the successful “crook,” “it’s up to me to go the limit for you any time I can do so.","“维宁先生，”他带着成功“歹徒”的坦率笑容说，“以后你有用得着我的时候尽管吩咐。"
"You’re the real thing; and if I can ever return the favor, you bet your life I’ll do it.”","你真够朋友；只要是我能为你做的，我一定赴汤蹈火在所不惜。"
"“What was that cow-puncher’s name?” asked Vuyning, “who used to catch a mustang by the nose and mane, and throw him till he put the bridle on?”","“那个牛仔的名字叫什么来着？”维宁问道，“就是能抓住马鼻和马鬃把马掀翻在地，直到戴上马笼头的那个人？”"
"“Bates,” said Emerson.","“贝兹。”埃默森说。"
"“Thanks,” said Vuyning.","“谢谢，”维宁说，"
"“I thought it was Yates.","“我还以为是耶茨呢。"
"Oh, about that toggery business—I’d forgotten that.”","哦，还有衣服那个事——我差点儿忘了。”"
"“I’ve been looking for some guy to put me on the right track for years,” said Emerson.","“多年来我一直在找能指点我的人。”埃默森说，"
"“You’re the goods, duty free, and half-way to the warehouse in a red wagon.”","“你就是这个人，就像装在红色货车上进库的免税商品。”"
"“Bacon, toasted on a green willow switch over red coals, ought to put broiled lobsters out of business,” said Vuyning.","“在炭火上架上绿柳条烤肉比烤虾的味道好多了。”维宁说，"
"“And you say a horse at the end of a thirty-foot rope can’t pull a ten-inch stake out of wet prairie?","“你说一匹马拴在三十英尺的绳子的一端，连打在湿草地上一根十寸长的木桩也拔不起来？"
"Well, good-bye, old man, if you must be off.”","好吧，再见了，老兄，如果你执意要走的话。”"
"At one o’clock Vuyning had luncheon with Miss Allison by previous arrangement.","一点钟，按照事先约定，维宁和艾莉森小姐共进午餐。"
"For thirty minutes he babbled to her, unaccountably, of ranches, horses, cañons, cyclones, round-ups, Rocky Mountains and beans and bacon.","足足有三十分钟，他一直在和她大谈特谈牧场、马匹、峡谷、飓风、西部集会、落基山、扁豆和熏肉。"
"She looked at him with wondering and half-terrified eyes.","艾利森小姐惊奇而又有些害怕地看着他。"
"“I was going to propose again to-day,” said Vuyning, cheerily, “but I won’t.","“我本打算今天再向你求婚的，”维宁快活地说，“但是现在我不会了。"
"I’ve worried you often enough.","我烦扰你够多的了。"
"You know dad has a ranch in Colorado.","你知道，我父亲在科罗拉多州有个牧场。"
"What’s the good of staying here?","待在这里有什么好处？"
"Jumping jonquils! but it’s great out there.","无聊死了！那儿的生活才叫棒呢。"
"I’m going to start next Tuesday.”","我准备下周二就动身。”"
"“No, you won’t,” said Miss Allison.","“不，不行。”艾莉森小姐说。"
"“What?” said Vuyning.","“怎么了？”维宁说。"
"“Not alone,” said Miss Allison, dropping a tear upon her salad.","“不要一个人去，”艾莉森小姐说着，眼泪滴到她吃的沙拉上面，"
"“What do you think?”","“好不好？”"
"“Betty!” exclaimed Vuyning, “what do you mean?","“贝蒂！”维宁惊呼道，“你的意思是？……”"
"“I’ll go too,” said Miss Allison, forcibly.","“我也去。”艾莉森小姐坚定地说。"
"Vuyning filled her glass with Apollinaris.","维宁给她的杯子斟满了阿波利纳里斯矿泉水。"
"“Here’s to Rowdy the Dude!” he gave—a toast mysterious.","“为‘花花公子罗迪’干杯！”他有些神秘地说。"
"“Don’t know him,” said Miss Allison; “but if he’s your friend, Jimmy—here goes!”","“虽然我不认识他，”艾莉森小姐说，“但如果是你的朋友，杰米——我们就干杯吧！”"

