"To Please His Wife","博妻欢心"
"She lived with her father, who called himself an accountant, the daughter, however, keeping a little stationery-shop as a supplemental provision for the gaps of his somewhat uncertain business.","埃米莉和父亲一起住。她父亲自称是个会计师，但埃米莉却开了一个小小的文具店，以贴补父亲那那时好时坏的生意。"
"On entering Jolliffe found father and daughter about to begin tea.","一进门，乔利夫就看到父女俩正准备开始喝茶。"
"‘O, I didn’t know it was tea-time,’ he said.","“哦，没想到是下午茶时间了，”他说，"
"‘Ay, I’ll have a cup with much pleasure.’","“嗯，我很乐意喝一杯。”"
"He remained to tea and long afterwards, telling more tales of his seafaring life.","他喝了茶，又呆了很久，讲述了更多他航海生活中的故事。"
"Several neighbours called to listen, and were asked to come in.","几个邻居过来串门，应邀加入聊天。"
"Somehow Emily Hanning lost her heart to the sailor that Sunday night, and in the course of a week or two there was a tender understanding between them.","那个周日的晚上，埃米莉·汉宁不知怎的对水手动了心。不出一两周，两人之间便暗生情愫。"
"One moonlight evening in the next month Shadrach was ascending out of the town by the long straight road eastward, to an elevated suburb where the more fashionable houses stood—if anything near this ancient port could be called fashionable—when he saw a figure before him whom, from her manner of glancing back, he took to be Emily.","次月，一个月光皎洁的晚上，谢德拉克顺着一条长长的笔直大路朝东走出黑文普尔镇，一直走到郊区。那里地势较高，聚集了比较气派的房子——如果这个古老港口附近有称得上气派的东西的话——这时，他看到前方有一个身影，从那人回头张望的姿势来看，他觉得是埃米莉。"
"But, on coming up, he found she was Joanna Phippard.","不过，走近后他才发现，那是乔安娜·菲帕德。"
"He gave a gallant greeting, and walked beside her.","他殷勤地打了个招呼，和她并肩行走。"
"‘Go along,’ she said, ‘or Emily will be jealous!’","“你快走吧，”她说，“不然埃米莉会吃醋的！”"
"He seemed not to like the suggestion, and remained.","他似乎不喜欢这个提议，依然走在她旁边。"
"What was said and what was done on that walk never could be clearly recollected by Shadrach; but in some way or other Joanna contrived to wean him away from her gentler and younger rival.","那次散步途中说的话、做的事，谢德拉克怎么也记不清了；而乔安娜则想尽办法，试图让谢德拉克疏远那位比她更年轻、更温柔的情敌。"
"From that week onwards, Jolliffe was seen more and more in the wake of Joanna Phippard and less in the company of Emily; and it was soon rumoured about the quay that old Jolliffe’s son, who had come home from sea, was going to be married to the former young woman, to the great disappointment of the latter.","从那一周起，人们越来越频繁地看到乔利夫和乔安娜·菲帕德在一起，而他和埃米莉相处的时间则越来越少。不久，整个港口都风传老乔利夫的儿子，也就是那个刚刚出海回来的水手，要和前者结婚，让后者大失所望。"
"Just after this report had gone about, Joanna dressed herself for a walk one morning, and started for Emily’s house in the little cross-street.","就在谣言传开之后的一个早上，乔安娜收拾妥当，准备去小街上的埃米莉家走一遭。"
"Intelligence of the deep sorrow of her friend on account of the loss of Shadrach had reached her ears also, and her conscience reproached her for winning him away.","她也听说了她的朋友由于失去谢德拉克而伤心欲绝的消息。她为自己的横刀夺爱，受到良心上的谴责。"
"Joanna was not altogether satisfied with the sailor.","乔安娜对水手并非十分满意。"
"She liked his attentions, and she coveted the dignity of matrimony; but she had never been deeply in love with Jolliffe.","她喜欢他的殷勤照顾，也向往体面的婚姻生活，但她从未深深爱上乔利夫。"
"For one thing, she was ambitious, and socially his position was hardly so good as her own, and there was always the chance of an attractive woman mating considerably above her.","首先，她有更高的追求，而他的社会地位却还不及她自己。漂亮的女人总是有机会嫁给地位比自己高得多的男士。"
"It had long been in her mind that she would not strongly object to give him back again to Emily if her friend felt so very badly about him.","她反复思考，觉得如果埃米莉确实对乔利夫爱得死心塌地，那她倒也不怎么介意将他拱手还给她的朋友。"
"To this end she had written a letter of renunciation to Shadrach, which letter she carried in her hand, intending to send it if personal observation of Emily convinced her that her friend was suffering.","为此，她写了一封给谢德拉克的绝交信。她把信攥在手里，打算如果经过亲自观察，确定埃米莉饱受煎熬，那她就把信寄出去。"
"Joanna entered Sloop Lane and stepped down into the stationery-shop, which was below the pavement level.","乔安娜走进单桅船巷，向下迈进低于人行道的文具店。"
"Emily’s father was never at home at this hour of the day, and it seemed as though Emily were not at home either, for the visitor could make nobody hear.","这个时间，埃米莉的父亲向来不在家，埃米莉这天似乎也不在，因为没人回应登门拜访的乔安娜。"
"Customers came so seldom hither that a five minutes’ absence of the proprietor counted for little.","小店门可罗雀，不常有顾客光临，因此店主出去五分钟，也不打紧。"
"Joanna waited in the little shop, where Emily had tastefully set out—as women can—articles in themselves of slight value, so as to obscure the meagreness of the stock-in-trade; till she saw a figure pausing without the window apparently absorbed in the contemplation of the sixpenny books, packets of paper, and prints hung on a string.","埃米莉充分发挥女性的天赋，精心摆放了店里那些本身不甚值钱的商品，尽量掩盖东西本身的寒酸。乔安娜在小店里等着，突然看到一个人停在窗外，看上去正全神贯注地打量着六便士一本的廉价书籍、小捆纸和悬挂在细绳上的画片。"
"It was Captain Shadrach Jolliffe, peering in to ascertain if Emily were there alone.","来人正是谢德拉克·乔利夫船长。他正透过窗子观察店里，以确定是否只有埃米莉一个人在。"
"Moved by an impulse of reluctance to meet him in a spot which breathed of Emily, Joanna slipped through the door that communicated with the parlour at the back.","乔安娜突然觉得她不愿在一个散发着埃米莉气息的地方见到乔利夫，于是她悄悄溜进通往后面会客室的门。"
"She had frequently done so before, for in her friendship with Emily she had the freedom of the house without ceremony.","她以前经常这么干，因为凭着她和埃米莉的交情，她在这个家里可以自由自在，不需客气。"
"Jolliffe entered the shop.","乔利夫走进小店。"
"Through the thin blind which screened the glass partition she could see that he was disappointed at not finding Emily there.","透过遮住玻璃隔墙的薄百叶窗，乔安娜能看出，乔利夫发现埃米莉不在家后，很是失望。"
"He was about to go out again, when Emily’s form darkened the doorway, hastening home from some errand.","他刚要离开时，埃米莉的身影出现在门口。她因为一些事匆匆赶回来。"
"At sight of Jolliffe she started back as if she would have gone out again.","一看到乔利夫，她吃惊地倒退一步，仿佛要再次离开。"
"‘Don’t run away, Emily; don’t!’ said he.","“不要走，埃米莉。别走！”他说，"
"‘What can make ye afraid?’","“你怕什么呢？”"
"‘I’m not afraid, Captain Jolliffe.","“我不怕，乔利夫船长。"
"Only—only I saw you all of a sudden, and—it made me jump!’","只是——只是我突然看到你，吓了一跳！”"
"Her voice showed that her heart had jumped even more than the rest of her.","从她的声音可以听出，她内心的反应比她表现出来的还要强烈。"
"‘I just called as I was passing,’ he said.","“我路过，正好进来看看。”他说。"
"‘For some paper?’","“要买纸吗？”"
"She hastened behind the counter.","她匆匆走到柜台后面。"
"‘No, no, Emily; why do ye get behind there?","“不，不用，埃米莉。你为什么站到柜台后面？"
"Why not stay by me?","干吗不和我站在一起？"
"You seem to hate me.’","你似乎讨厌我。”"
"‘I don’t hate you.","“我不讨厌你。"
"How can I?’","我怎么会讨厌你呢？”"
"‘Then come out, so that we can talk like Christians.’","“那你出来，这样我们就能正经聊聊天。”"
"Emily obeyed with a fitful laugh, till she stood again beside him in the open part of the shop.","埃米莉呵呵地笑了一声，顺从地走了出去，走到店里的空处，再次站在乔利夫身边。"
"‘There’s a dear,’ he said.","“真是个可人儿。”他说。"
"‘You mustn’t say that, Captain Jolliffe; because the words belong to somebody else.’","“别这么说，乔利夫船长。这些话属于另外一个人。”"
"‘Ah!","“唉！"
"I know what you mean.","我明白你的意思。"
"But, Emily, upon my life I didn’t know till this morning that you cared one bit about me, or I should not have done as I have done.","可是，埃米莉，我以生命担保，直到今天早上，我才意识到你心里是有我的，否则我绝不会那样做。"
"I have the best of feelings for Joanna, but I know that from the beginning she hasn’t cared for me more than in a friendly way; and I see now the one I ought to have asked to be my wife.","我对乔安娜非常中意，可我知道，从一开始她对我就只能算是朋友关系。我现在想清楚了到底该向哪一位求婚。"
"You know, Emily, when a man comes home from sea after a long voyage he’s as blind as a bat—he can’t see who’s who in women.","埃米莉，你知道，经过长途航行出海归来的男人就像只蝙蝠，是个睁眼瞎，分辨不清女人。"
"They are all alike to him, beautiful creatures, and he takes the first that comes easy, without thinking if she loves him, or if he might not soon love another better than her.","女人对他而言都是一样的，是一种美丽的生物。他会追求容易接近的女人，不管她是否爱自己，也不管他自己是否不久会爱上更胜于她的另一个。"
"From the first I inclined to you most, but you were so backward and shy that I thought you didn’t want me to bother ’ee, and so I went to Joanna.’","最开始我更中意你，可你总是忸怩害羞，我以为你不希望我打扰你，于是就开始追求乔安娜。”"
"‘Don’t say any more, Mr. Jolliffe, don’t!’ said she, choking.","“别说了，乔利夫先生，别说了！”她哽咽着说道，"
"‘You are going to marry Joanna next month, and it is wrong to—to—’","“你下个月就要和乔安娜结婚了，不——不应该——”"
"‘O, Emily, my darling!’ he cried, and clasped her little figure in his arms before she was aware.","“唉，我亲爱的埃米莉！”他喊了一声。她还没有反应过来，他就紧紧拥住了她那弱小的身子。"
"Joanna, behind the curtain, turned pale, tried to withdraw her eyes, but could not.","乔安娜躲在帘子后，脸色变得苍白，她努力想移开视线，却做不到。"
"‘It is only you I love as a man ought to love the woman he is going to marry; and I know this from what Joanna has said, that she will willingly let me off!","“只有你，让我像男人爱自己要娶的女人那样去爱。我从乔安娜的话中明白了这一点，并且明白了她很愿意放开我！"
"She wants to marry higher I know, and only said “Yes” to me out of kindness.","我知道她希望嫁给更体面的人。她答应我的求婚，不过是出于善意。"
"A fine, tall girl like her isn’t the sort for a plain sailor’s wife: you be the best suited for that.’","像她那样漂亮高挑的女孩子，本不适合做平凡水手的妻子，你才是最适合的。”"
"He kissed her and kissed her again, her flexible form quivering in the agitation of his embrace.","他一遍遍吻着她，她柔软的身子在他的拥抱中激动得发抖。"
"‘I wonder—are you sure—Joanna is going to break off with you?","“我不知道——你确定——乔安娜会和你分手吗？"
"O, are you sure?","唉，你真的确定吗？"
"Because—’","因为——”"
"‘I know she would not wish to make us miserable.","“我相信她不希望让我们俩痛苦。"
"She will release me.’","她会让我解脱的。”"
"‘O, I hope—I hope she will!","“唉，我希望——我希望如此！"
"Don’t stay any longer, Captain Jolliffe!’","你现在走吧，乔利夫船长！”"
"He lingered, however, till a customer came for a penny stick of sealing-wax, and then he withdrew.","然而他一直呆着，直到一个顾客来买一便士的封口蜡时，他才恋恋不舍地离去。"
"Green envy had overspread Joanna at the scene.","看到此情此景，乔安娜妒火中烧。"
"She looked about for a way of escape.","她环顾四周，寻找逃脱的路。"
"To get out without Emily’s knowledge of her visit was indispensable.","她必须在不惊动埃米莉的情况下，离开她家。"
"She crept from the parlour into the passage, and thence to the front door of the house, where she let herself noiselessly into the street.","她从会客室慢慢挪到走廊，又潜行到房子前门，然后悄无声息地离开埃米莉家，走上街道。"
"The sight of that caress had reversed all her resolutions.","看到那两人拥抱后，她的决定完全改变了。"
"She could not let Shadrach go.","她不会放手谢德拉克。"
"Reaching home she burnt the letter, and told her mother that if Captain Jolliffe called she was too unwell to see him.","她一到家就烧了信，并且告诉母亲，如果乔利夫船长来访，就说她身体很不舒服，不能见他。"
"Shadrach, however, did not call.","然而，谢德拉克并没有来访。"
"He sent her a note expressing in simple language the state of his feelings; and asked to be allowed to take advantage of the hints she had given him that her affection, too, was little more than friendly, by cancelling the engagement.","他寄给她一封短信，简单地表明了他现在的情感状态。他还希望她允许自己根据她给的暗示（即她对他的感情仅限于友情），解除婚约。"
"Looking out upon the harbour and the island beyond he waited and waited in his lodgings for an answer that did not come.","他在房间里一边看着外面的海港及远方的岛屿，一边等啊等，然而始终没有等到回信。"
"The suspense grew to be so intolerable that after dark he went up the High Street.","他越来越焦虑，最终忍不住在天黑后去了镇子的主街。"
"He could not resist calling at Joanna’s to learn his fate.","他忍不住要去拜访乔安娜，看看自己命运如何。"
"Her mother said her daughter was too unwell to see him, and to his questioning admitted that it was in consequence of a letter received from himself; which had distressed her deeply.","乔安娜的母亲说她女儿身体很不舒服，无法见他。在他的追问之下，她承认这都是因为收到了他的一封信，那封信让她女儿伤心欲绝。"
"‘You know what it was about, perhaps, Mrs. Phippard?’ he said.","“您大概知道信的内容吧，菲帕德太太？”他问。"
"Mrs. Phippard owned that she did, adding that it put them in a very painful position.","菲帕德太太承认她知道，还说那封信让她们非常难过。"
"Thereupon Shadrach, fearing that he had been guilty of an enormity, explained that if his letter had pained Joanna it must be owing to a misunderstanding, since he had thought it would be a relief to her.","这样一来，谢德拉克很惶恐，觉得自己犯下了滔天罪行。于是他解释说，如果那封信让乔安娜这么伤心，那肯定是产生了误会，因为他本以为那封信会让她感到解脱。"
"If otherwise, he would hold himself bound by his word, and she was to think of the letter as never having been written.","如果并非如此，那他会让自己遵守诺言，而她可以当从来没有看到过那封信。"
"Next morning he received an oral message from the young woman, asking him to fetch her home from a meeting that evening.","第二天一早，他收到乔安娜的口信，说当天晚上有个聚会，让他去接她回家。"
"This he did, and while walking from the Town Hall to her door, with her hand in his arm, she said:","他去了，乔安娜挽着他的胳膊，两人从镇公所走到她家门口时，她说道："
"‘It is all the same as before between us, isn’t it, Shadrach?","“谢德拉克，我们俩还一如从前，是不是？"
"Your letter was sent in mistake?’","你那封信是寄错了吧？”"
"‘It is all the same as before,’ he answered, ‘if you say it must be.’","“是一如从前，”他答道，“如果你认为必须这样的话。”"
"‘I wish it to be,’ she murmured, with hard lineaments, as she thought of Emily.","“我希望这样。”她低声说道。想到埃米莉，她的脸色顿时凝重起来。"
"Shadrach was a religious and scrupulous man, who respected his word as his life.","谢德拉克信奉宗教，又小心谨慎，他信守诺言，如同敬重生命一样。"
"Shortly afterwards the wedding took place, Jolliffe having conveyed to Emily as gently as possible the error he had fallen into when estimating Joanna’s mood as one of indifference.","不久，二人举行了婚礼。在那之前，乔利夫尽可能温和地向埃米莉解释了他犯的错误，他以为乔安娜对他并不在乎。"

"Chapter II","第二章"
"A month after the marriage Joanna’s mother died, and the couple were obliged to turn their attention to very practical matters.","婚后一个月，乔安娜的母亲去世了。于是夫妻俩不得不转而关注非常实际的问题。"
"Now that she was left without a parent, Joanna could not bear the notion of her husband going to sea again, but the question was, What could he do at home?","乔安娜现在已失去双亲，她不能接受丈夫再次出海的想法。可问题是，他在家能干什么呢？"
"They finally decided to take on a grocer’s shop in High Street, the goodwill and stock of which were waiting to be disposed of at that time.","他们最终决定盘下主街上的一家杂货店。那家店当时正好准备转让店面和存货。"
"Shadrach knew nothing of shopkeeping, and Joanna very little, but they hoped to learn.","谢德拉克对开店一窍不通，乔安娜也知之甚少，不过两人希望能慢慢学习。"
"To the management of this grocery business they now devoted all their energies, and continued to conduct it for many succeeding years, without great success.","他们现在把全部精力都放在杂货店的生意上，之后的许多年里也是如此，不过生意始终没有红火起来。"
"Two sons were born to them, whom their mother loved to idolatry, although she had never passionately loved her husband; and she lavished upon them all her forethought and care.","他们的两个儿子相继出世，乔安娜尽管从未热烈地爱过丈夫，却将儿子为视为珍宝，她把所有的希望和关爱都寄托在孩子身上。"
"But the shop did not thrive, and the large dreams she had entertained of her sons’ education and career became attenuated in the face of realities.","可是店铺生意平平，乔安娜原本想为儿子们提供良好教育和工作的远大梦想，也在现实面前逐渐缩水了。"
"Their schooling was of the plainest, but, being by the sea, they grew alert in all such nautical arts and enterprises as were attractive to their age.","两个儿子在最为普通的学校里接受教育，不过，由于生活在海边，他们熟谙所有航海技巧和海上贸易，这一切对他们那个年龄的人来说很有诱惑力。"
"The great interest of the Jolliffes’ married life, outside their own immediate household, had lain in the marriage of Emily.","乔利夫和乔安娜结婚后，除了自己的小家庭外，最关心的就是埃米莉的婚姻问题。"
"By one of those odd chances which lead those that lurk in unexpected corners to be discovered, while the obvious are passed by, the gentle girl had been seen and loved by a thriving merchant of the town, a widower, some years older than herself, though still in the prime of life.","有一些显而易见的机会从身旁溜过，还有一些机会蛰伏在意想不到的角落，等着被人发现。由于这样一个偶然的机会，这个温柔的姑娘被镇上一个家业兴盛的商人看中了，这个商人曾经丧妻，比埃米莉长了几岁，不过依然正当壮年。"
"At first Emily had declared that she never, never could marry any one; but Mr. Lester had quietly persevered, and had at last won her reluctant assent.","起初埃米莉宣布，她绝不会嫁给任何人。可是莱斯特先生仍默默地坚持着，最终埃米莉不情愿地同意了。"
"Two children also were the fruits of this union, and, as they grew and prospered, Emily declared that she had never supposed that she could live to be so happy.","这二人的结合也带来了两个孩子。随着孩子健康地成长，埃米莉称她从没想到自己会生活得如此幸福。"
"The worthy merchant’s home, one of those large, substantial brick mansions frequently jammed up in old-fashioned towns, faced directly on the High Street, nearly opposite to the grocery shop of the Jolliffes, and it now became the pain of Joanna to behold the woman whose place she had usurped out of pure covetousness, looking down from her position of comparative wealth upon the humble shop-window with its dusty sugar-loaves, heaps of raisins, and canisters of tea, over which it was her own lot to preside.","这位可敬的商人拥有一栋结实的砖砌大宅子。在这个古老的小镇上，这种宅子鳞次栉比。商人家的房子正对着主街，几乎和乔利夫家的杂货店隔街相望。现在，乔安娜一看到埃米莉从她那相对优越的位置俯视自己家寒酸的商店，望着商店橱窗里沾满灰尘的棒棒糖、成堆的葡萄干，还有茶叶筒，她就暗自难过。是她自己纯粹出于贪婪，强夺了埃米莉本来的归属。"
"The business having so dwindled, Joanna was obliged to serve in the shop herself; and it galled and mortified her that Emily Lester, sitting in her large drawing-room over the way, could witness her own dancings up and down behind the counter at the beck and call of wretched twopenny customers, whose patronage she was driven to welcome gladly: persons to whom she was compelled to be civil in the street, while Emily was bounding along with her children and her governess, and conversing with the genteelest people of the town and neighbourhood.","杂货店的生意每况愈下，乔安娜不得不亲自去店里帮忙。令她感到羞辱和窘迫的是，埃米莉·莱斯特坐在街对面的大会客室里，便能看到那些既穷酸又讨人烦的顾客向她招手或者大声叫喊，而她不得不强颜欢笑迎接这些人的光顾，并在柜台后来回忙碌。她在街上遇到这些人时不得不以礼相待，而埃米莉则和孩子、家庭女教师呆在一起，只和镇上、街坊里最有教养的人聊天。"
"This was what she had gained by not letting Shadrach Jolliffe, whom she had so faintly loved, carry his affection elsewhere.","这正是乔安娜不肯让谢德拉克·乔利夫移情别恋而造成的结果，而她自己对乔利夫的爱不过是淡如白水。"
"Shadrach was a good and honest man, and he had been faithful to her in heart and in deed.","谢德拉克是个诚实的好人，无论是在内心还是在行为上，都对乔安娜非常忠实。"
"Time had clipped the wings of his love for Emily in his devotion to the mother of his boys: he had quite lived down that impulsive earlier fancy, and Emily had become in his regard nothing more than a friend.","时间抹平了他对埃米莉的爱，他现在全心爱着孩子们的母亲，他已经忘记了早先那情不自禁的爱恋，对他而言，埃米莉不过是个朋友。"
"It was the same with Emily’s feelings for him.","埃米莉对他的感情亦是如此。"
"Possibly, had she found the least cause for jealousy, Joanna would almost have been better satisfied.","或许，哪怕能找到一丁点儿值得嫉妒的原因，乔安娜也会好受些。"
"It was in the absolute acquiescence of Emily and Shadrach in the results she herself had contrived that her discontent found nourishment.","而正是由于埃米莉和谢德拉克完全默认她自己谋划的结果，她才愈发感到不满。"
"Shadrach was not endowed with the narrow shrewdness necessary for developing a retail business in the face of many competitors.","谢德拉克天生缺乏在众多竞争者当中经营零售业所必需的细致精明劲。"
"Did a customer inquire if the grocer could really recommend the wondrous substitute for eggs which a persevering bagman had forced into his stock, he would answer that ‘when you did not put eggs into a pudding it was difficult to taste them there’; and when he was asked if his ‘real Mocha coffee’ was real Mocha, he would say grimly, ‘as understood in small shops.’","如果有顾客问他，是否会真的推荐某些锲而不舍的推销员强行卖给他的“神奇的”鸡蛋替代品，他会说：“布丁里要是不放鸡蛋，就很难尝出鸡蛋味儿。”若有人问他，店里的“纯正摩卡咖啡”是否是真的摩卡，他会冷淡地说：“小商店里的东西，你懂的”。"
"One summer day, when the big brick house opposite was reflecting the oppressive sun’s heat into the shop, and nobody was present but husband and wife, Joanna looked across at Emily’s door, where a wealthy visitor’s carriage had drawn up.","一个夏日，街对面砖砌大房子反射到杂货店里的暑热令人难以忍受。除了夫妻二人外，杂货店里空无一人，乔安娜看着埃米莉家的门，一个阔气的访客正把马车停在门口。"
"Traces of patronage had been visible in Emily’s manner of late.","埃米莉近来的言行举止流露出恩主的派头。"
"‘Shadrach, the truth is, you are not a business-man,’ his wife sadly murmured.","“谢德拉克，你实在不适合经商，”他妻子难过地低声说道，"
"‘You were not brought up to shopkeeping, and it is impossible for a man to make a fortune at an occupation he has jumped into, as you did into this.’","“你不是自小开店的，一个半路出家的人不可能赚大钱，你就是这样。”"
"Jolliffe agreed with her, in this as in everything else.","乔利夫表示同意。他一向对乔安娜言听计从。"
"‘Not that I care a rope’s end about making a fortune,’ he said cheerfully.","“我对赚大钱没什么热情，”他乐呵呵地说，"
"‘I am happy enough, and we can rub on somehow.’","“我现在非常开心。不管怎样，我们总能填饱肚子。”"
"She looked again at the great house through the screen of bottled pickles.","乔安娜透过成排的瓶装泡菜，又看了一眼对面的大房子。"
"‘Rub on—yes,’ she said bitterly.","“填饱肚子——是的，”她苦涩地说，"
"‘But see how well off Emmy Lester is, who used to be so poor!","“可你看看埃米莉·莱斯特，她以前那么穷，现在多富裕！"
"Her boys will go to College, no doubt; and think of yours—obliged to go to the Parish School!’","她的儿子，毫无疑问会上大学，再想想你儿子，他们只能去教区学校！”"
"Shadrach’s thoughts had flown to Emily.","谢德拉克的思绪飘到了埃米莉身上。"
