"Indian Summer of A Forsyte","老福赛特的印第安之夏  "
"Every one of these calm, bright, lengthening days, with Holly’s hand in his, and the dog Balthasar in front looking studiously for what he never found, he would stroll, watching the roses open, fruit budding on the walls, sunlight brightening the oak leaves and saplings in the coppice, watching the water-lily leaves unfold and glisten, and the silvery young corn of the one wheat field; listening to the starlings and skylarks, and the Alderney cows chewing the cud, flicking slow their tufted tails; and every one of these fine days he ached a little from sheer love of it all, feeling perhaps, deep down, that he had not very much longer to enjoy it.","现在白天越来越长，在每个这样宁静明媚的日子，老乔利恩都会牵着霍利的手去散步，小狗巴尔萨泽跑在前面，努力寻找它从来没找到的那些东西。他们看着玫瑰花开，墙上的枝条结出果子，阳光照亮橡树叶子和灌木林中的小树苗，睡莲的叶子舒展开来，闪着光，还有唯一的一片麦田里银色的新麦；听着椋鸟和云雀歌唱，看着奥尔德尼乳牛嚼着草，慢慢地摇着蓬松的尾巴。他珍爱每一个这样美好的日子，却也因此感到心中隐隐作痛，因为在内心深处，他觉得自己也许已时日无多，再也无法享受这一切。"
"The thought that some day—perhaps not ten years hence, perhaps not five—all this world would be taken away from him, before he had exhausted his powers of loving it, seemed to him in the nature of an injustice brooding over his horizon.","想到有一天——也许不到十年，也许不到五年——所有这一切都会从他身边消失，而他还没有倾尽所有力量来爱这个世界，这在他看来太不公平了。"
"If anything came after this life, it wouldn’t be what he wanted; not Robin Hill, and flowers and birds and pretty faces—too few, even now, of those about him!","即使有来世，也不会是他想要的。不会有罗宾山，不会有花和鸟，也不会有漂亮的脸蛋——就算是现在，这些在他的生活中也太少！"
"With the years his dislike of humbug had increased; the orthodoxy he had worn in the ‘sixties, as he had worn side-whiskers out of sheer exuberance, had long dropped off, leaving him reverent before three things alone—beauty, upright conduct, and the sense of property; and the greatest of these now was beauty.","年岁渐长，他越发痛恨欺骗。六十年代时，他还是一副道貌岸然的样子，当时蓄起络腮胡子纯属年轻气盛，现在它们早已稀疏。如今他仍信奉着只有三样东西——美、正直的品行以及财产意识。而当下，美才是其中最重要的。"
"He had always had wide interests, and, indeed could still read The Times, but he was liable at any moment to put it down if he heard a blackbird sing.","他一直对许多事情饶有兴趣，也依然会读读《泰晤士报》，不过，一旦耳边传来画眉鸟的叫声，他就会立刻丢下手中的报纸。"
"Upright conduct, property—somehow, they were tiring; the blackbirds and the sunsets never tired him, only gave him an uneasy feeling that he could not get enough of them.","正直的品行、财产——不知怎的，这些东西会让人觉得厌烦；画眉鸟和落日却从来不会，只会让他觉得不安心，总怕自己听不够、看不够。"
"Staring into the stilly radiance of the early evening and at the little gold and white flowers on the lawn, a thought came to him: This weather was like the music of ‘Orfeo,’ which he had recently heard at Covent Garden.","他出神地望着黄昏时分静谧的余晖，还有草地上金色和白色的小花，心想：这天气多像《奥菲欧》里的音乐呀！不久前，他刚在科文特加登剧院听过这场歌剧。"
"A beautiful opera, not like Meyerbeer, nor even quite Mozart, but, in its way, perhaps even more lovely; something classical and of the Golden Age about it, chaste and mellow, and the Ravogli ‘almost worthy of the old days’—highest praise he could bestow.","那场歌剧很精彩，它不像梅耶贝尔，也不怎么像莫扎特，它有自己的风格，或许这样更显得可爱。它带有古典风格和黄金时代的色彩，纯洁而浓郁，还有拉沃戈里，“堪比昔日”——这是他所能给出的最佳称赞。"
"The yearning of Orpheus for the beauty he was losing, for his love going down to Hades, as in life love and beauty did go—the yearning which sang and throbbed through the golden music, stirred also in the lingering beauty of the world that evening.","俄耳甫斯怀念逝去的美人，怀念他撒手人寰的爱人，世间的爱和美的结局皆是如此——那金子般的音乐动人地诉说着这段情思，也在今晚迟迟未散的美丽中跃动。"
"And with the tip of his cork-soled, elastic-sided boot he involuntarily stirred the ribs of the dog Balthasar, causing the animal to wake and attack his fleas; for though he was supposed to have none, nothing could persuade him of the fact.","他穿着两边有松紧的软木底靴，鞋尖不经意地踢到了小狗巴尔萨泽的肋骨，把它戳醒了。小家伙于是开始捉起身上的跳蚤来；虽然它身上根本没有，可它怎么也不相信。"
"When he had finished he rubbed the place he had been scratching against his master’s calf, and settled down again with his chin over the instep of the disturbing boot.","弄完后，它又把抓过的地方在主人的小腿肚上蹭了蹭，然后又趴下来，把下巴搭在那只戳醒它的靴子上。"
"And into old Jolyon’s mind came a sudden recollection—a face he had seen at that opera three weeks ago—Irene, the wife of his precious nephew Soames, that man of property!","老乔利恩突然回忆起了什么：三周前他在剧院见过一张面孔——是艾琳，他那拥有产业的宝贝侄子索姆斯的妻子！"
"Though he had not met her since the day of the ‘At Home’ in his old house at Stanhope Gate, which celebrated his granddaughter June’s ill-starred engagement to young Bosinney, he had remembered her at once, for he had always admired her—a very pretty creature.","老乔利恩上次见到她，还是在斯坦霍普门旧居举办的茶会上，那次是为了庆祝他孙女琼和小波辛尼不幸的订婚。即便如此，他还是立刻认出了她，因为他早就十分欣赏这位天生丽人。"
"After the death of young Bosinney, whose mistress she had so reprehensibly become, he had heard that she had left Soames at once.","艾琳后来成了小波辛尼的情妇，这件事颇受非议。小波辛尼死后，他听说艾琳立刻离开了索姆斯。"
"Goodness only knew what she had been doing since.","没有人知道她后来的情况。"
"That sight of her face—a side view—in the row in front, had been literally the only reminder these three years that she was still alive.","那天她坐在前排，他只看了个侧脸。但那却是三年来唯一的消息，让人知道她还活着。"
"No one ever spoke of her.","从来没有人谈起过她。"
"And yet Jo had told him something once—something which had upset him completely.","不过有一次，乔向他说起过什么，让他很不愉快。"
"The boy had got it from George Forsyte, he believed, who had seen Bosinney in the fog the day he was run over—something which explained the young fellow’s distress—an act of Soames towards his wife—a shocking act.","他觉得乔是从乔治·福赛特那里听来的。那天下着大雾，乔治看到了波辛尼，他就是那天出的车祸。乔告诉了老乔利恩索姆斯对妻子的所作所为——令人震惊，这也正是让年轻的波辛尼万分痛苦的原因。"
"Jo had seen her, too, that afternoon, after the news was out, seen her for a moment, and his description had always lingered in old Jolyon’s mind—‘wild and lost’ he had called her.","那天下午，就在消息传出后，乔也见到了她，时间不长。老乔利恩始终无法忘记乔是如何描述艾琳的——说她“疯疯癫癫，丢了魂一般”。"
"And next day June had gone there—bottled up her feelings and gone there, and the maid had cried and told her how her mistress had slipped out in the night and vanished.","第二天，琼也去看她，努力掩饰着自己的情绪去看她。女仆哭着告诉她女主人夜里偷偷跑了出去，不见了。"
"A tragic business altogether!","彻头彻尾的悲剧！"
"One thing was certain—Soames had never been able to lay hands on her again.","可以确定的一点是——从那以后，索姆斯再也没找到艾琳。"
"And he was living at Brighton, and journeying up and down—a fitting fate, the man of property!","他后来搬去了布赖顿，整天东奔西跑——有产业的人，就该是这个命！"
"For when he once took a dislike to anyone—as he had to his nephew—old Jolyon never got over it.","老乔利恩一旦不喜欢某个人，比如他侄子，就不会再改变。"
"He remembered still the sense of relief with which he had heard the news of Irene’s disappearance.","他仍记得自己听说艾琳失踪时是如何如释重负。"
"It had been shocking to think of her a prisoner in that house to which she must have wandered back, when Jo saw her, wandered back for a moment—like a wounded animal to its hole after seeing that news, ‘Tragic death of an Architect,’ in the street.","乔看见她时，她一定是看见了街上那条“一名建筑师惨死”的消息，然后，迷迷糊糊走回了那间屋子，就像受伤的动物慢慢挪回自己的洞穴。想想她像个囚犯似的住在那里面，真叫人不好受。"
"Her face had struck him very much the other night—more beautiful than he had remembered, but like a mask, with something going on beneath it.","那晚的见面着实让他心里一惊，那张脸比他记忆中的还要美，但却像戴着一张面具，下面隐藏着什么东西。"
"A young woman still—twenty-eight perhaps.","她年纪还轻——可能二十八岁上下。"
"Ah, well!","唉，好吧！"
"Very likely she had another lover by now.","她现在很可能已经找到爱人了。"
"But at this subversive thought—for married women should never love: once, even, had been too much—his instep rose, and with it the dog Balthasar’s head.","已婚女人不该再爱上别人，哪怕一次也不行——一想到她有违传统的做法，他又抬了抬脚，巴尔萨泽的头也跟着抬了起来。"
"The sagacious animal stood up and looked into old Jolyon’s face.","敏锐的小家伙爬起来，望着老乔利恩的脸。"
"‘Walk?’ he seemed to say; and old Jolyon answered: “Come on, old chap!”","它仿佛在说：“去散步吗？”老乔利恩回答道：“走吧，老伙计！”"
"Slowly, as was their wont, they crossed among the constellations of buttercups and daisies, and entered the fernery.","和往常一样，他们缓步穿过了黄毛茛和雏菊丛，走进了蕨草园。"
"This feature, where very little grew as yet, had been judiciously dropped below the level of the lawn so that it might come up again on the level of the other lawn and give the impression of irregularity, so important in horticulture.","这时蕨草还没长出多少；这里的设计十分巧妙，这片地刚好比草坪低一些，草长长后就和另一块草坪一样高了，给人一种不规则的感觉，园艺学很讲究这个。"
"Its rocks and earth were beloved of the dog Balthasar, who sometimes found a mole there.","巴尔萨泽特别喜欢这里的石块和泥土，有时它还能找着一只鼹鼠。"
"Old Jolyon made a point of passing through it because, though it was not beautiful, he intended that it should be, some day, and he would think: ‘I must get Varr to come down and look at it; he’s better than Beech.’","老乔利恩是特地从这里穿过来的，虽然这里现在算不上美，但他觉得总有一天会变美，他总是想：“我得让瓦尔过来看看，他可比比奇强。”"
"For plants, like houses and human complaints, required the best expert consideration.","花草就像房子和疾病一样，需要最出色的行家帮忙料理。"
"It was inhabited by snails, and if accompanied by his grandchildren, he would point to one and tell them the story of the little boy who said: ‘Have plummers got leggers, Mother?","这里还有不少蜗牛，要是有孙子孙女陪着，他就会指着其中一只，给他们讲一个小男孩的故事。小男孩问：“妈妈，李子有腿吗？”"
"‘No, sonny.’","“没有，宝贝。”"
"‘Then darned if I haven’t been and swallowed a snileybob.’","“那可糟糕啦，我好像吞下了一只蜗牛宝宝。”"
"And when they skipped and clutched his hand, thinking of the snileybob going down the little boy’s ‘red lane,’ his eyes would twinkle.","孩子们听了就会跳起来，紧紧抓住他的手，想象着蜗牛宝宝爬过那小男孩的“红红的喉洞”，他的眼睛就会闪闪发亮。"
"Emerging from the fernery, he opened the wicket gate, which just there led into the first field, a large and park-like area, out of which, within brick walls, the vegetable garden had been carved.","走过蕨草园，他打开小门，门正好通向第一块田地。那块地大得像公园一样，外面用砖墙围出一个菜园。"
"Old Jolyon avoided this, which did not suit his mood, and made down the hill towards the pond.","老乔利恩没心情去菜园，他于是下了山坡，向池塘走去。"
"Balthasar, who knew a water-rat or two, gambolled in front, at the gait which marks an oldish dog who takes the same walk every day.","巴尔萨泽知道那里有一两只水鼠，于是蹦蹦跳跳地走在前面。它每天都走这条路，所以再熟悉不过了；从步态中看得出它年纪不轻了。"
"Arrived at the edge, old Jolyon stood, noting another water-lily opened since yesterday; he would show it to Holly to-morrow, when ‘his little sweet’ had got over the upset which had followed on her eating a tomato at lunch—her little arrangements were very delicate.","老乔利恩在池塘边站了一会，看到昨天又有一朵睡莲开了；他明天要带霍利来看，那时“小甜心”的腹泻就好了——霍利的小肠胃特别娇弱，午餐时只吃了一个西红柿就拉肚子了。"
"Now that Jolly had gone to school—his first term—Holly was with him nearly all day long, and he missed her badly.","乔利已经上学了——这是第一个学期——之前他几乎整天都和霍利黏在一起，所以现在非常想她。"
"He felt that pain too, which often bothered him now, a little dragging at his left side.","他又感到疼了，最近经常这样，身体左肋处隐隐作痛。"
"He looked back up the hill.","他回头望了望小山。"
"Really, poor young Bosinney had made an uncommonly good job of the house; he would have done very well for himself if he had lived!","的确，可怜的小波辛尼把宅子建得非常出色；如果现在他还活着，应该已经很成功了！"
"And where was he now?","那他现在在哪里呢？"
"Perhaps, still haunting this, the site of his last work, of his tragic love affair.","也许他的灵魂还在这里徘徊，这里有他最后一件作品，也是他爱情悲剧发生的地方。"
"Or was Philip Bosinney’s spirit diffused in the general?","或者菲利普·波辛尼的灵魂已经融入了这里的一草一木？"
"Who could say?","谁又能说得清呢？"
"That dog was getting his legs muddy!","巴尔萨泽腿上沾满了泥！"
"And he moved towards the coppice.","他朝小灌木林走去。"
"There had been the most delightful lot of bluebells, and he knew where some still lingered like little patches of sky fallen in between the trees, away out of the sun.","前些日子，那里到处都是风信子，特别惹人喜爱；他知道在林中几片太阳照不到的地方有一些仍开着，就像从树间落下的块块天空。"
"He passed the cow-houses and the hen-houses there installed, and pursued a path into the thick of the saplings, making for one of the bluebell plots.","他路过那里的牛棚和鸡舍，从小路穿过茂密的幼苗林，朝有风信子的地方走去。"
"Balthasar, preceding him once more, uttered a low growl.","巴尔萨泽又跑到他前面去了，发出一声低沉的吼叫。"
"Old Jolyon stirred him with his foot, but the dog remained motionless, just where there was no room to pass, and the hair rose slowly along the centre of his woolly back.","老乔利恩用脚碰了碰他，小狗还是一动不动，就在前面把路挡住，它蓬松后背中间的毛慢慢地立了起来。"
"Whether from the growl and the look of the dog’s stivered hair, or from the sensation which a man feels in a wood, old Jolyon also felt something move along his spine.","不知道是因为听见狗叫，看到狗毛竖起，还是因为人在树林中都有这种感觉，老乔利恩也感到脊梁骨发凉。"
"And then the path turned, and there was an old mossy log, and on it a woman sitting.","接着到了小路拐弯处，那里横着一根长满苔藓的老原木，一个女人坐在上面。"
"Her face was turned away, and he had just time to think: ‘She’s trespassing—I must have a board put up!’ before she turned.","她的脸侧对着他，就在她回头之前，他还在想：“她竟然擅闯私人庄园——我得立一块牌子才行！”这时那张脸转了过来。"
"Powers above!","天哪！"
"The face he had seen at the opera—the very woman he had just been thinking of!","就是他在剧院看到的那张脸——他刚才想到的那个女人！"
"In that confused moment he saw things blurred, as if a spirit—queer effect—the slant of sunlight perhaps on her violet-grey frock!","在那心神迷惘的时刻，他眼中的景象竟都模糊了，前面仿佛是一个精灵——真是怪事——也许是因为阳光斜斜地照在她紫灰色连衣裙上！"
"And then she rose and stood smiling, her head a little to one side.","她站起身莞尔一笑，头向一旁微微侧着。"
"Old Jolyon thought: ‘How pretty she is!’","老乔利恩心想：“她可真漂亮！”"
"She did not speak, neither did he; and he realized why with a certain admiration.","她没说话，他也没开口；他明白了自己为何会如此欣赏她。"
"She was here no doubt because of some memory, and did not mean to try and get out of it by vulgar explanation.","毫无疑问，她是来怀念过往的，她也不打算找个粗鄙的理由为自己开脱。"
"“Don’t let that dog touch your frock,” he said; “he’s got wet feet.","“别让狗碰到裙子，”他说：“它的爪子是湿的。"
"Come here, you!”","巴尔萨泽，过来！”"
"But the dog Balthasar went on towards the visitor, who put her hand down and stroked his head.","但巴尔萨泽却朝客人走了过去。她用手摸了摸狗的头。"
"Old Jolyon said quickly:","老乔利恩马上说："
"“I saw you at the opera the other night; you didn’t notice me.”","“我那晚在歌剧院见过你；你没注意到我。”"
"“Oh, yes! I did.”","“哦，不！我看见您了。”"
"He felt a subtle flattery in that, as though she had added: ‘Do you think one could miss seeing you?’","他感到那句话带着点儿微微的奉承，就好像她接下来要说：“您觉得谁会看不见您吗？”"
"“They’re all in Spain,” he remarked abruptly.","“他们都在西班牙呢，”他突然开口说道，"
"“I’m alone; I drove up for the opera.","“我自己一个人住，有时开车去听听歌剧。"
"The Ravogli’s good.","拉沃戈里唱得很好。"
"Have you seen the cow-houses?”","你看见牛棚了吗？”"
"In a situation so charged with mystery and something very like emotion he moved instinctively towards that bit of property, and she moved beside him.","在这一充满神秘和类似情感的情形下，他本能地朝那片产业走了过去，艾琳也和他并肩走着。"
"Her figure swayed faintly, like the best kind of French figures; her dress, too, was a sort of French grey.","她腰肢轻摆，和最曼妙的法国女子的腰肢一样；连衣裙也是那种法兰西式的浅灰色。"
"He noticed two or three silver threads in her amber-coloured hair, strange hair with those dark eyes of hers, and that creamy-pale face.","他注意到她琥珀色的头发中有两三根银丝，与她深色的双眸、象牙白的面庞不太相配。"
"A sudden sidelong look from the velvety brown eyes disturbed him.","她那天鹅绒般的棕色眼眸突然望了他一眼，让他心神一颤。"
"It seemed to come from deep and far, from another world almost, or at all events from some one not living very much in this.","他觉得这一瞥像来自十分遥远的地方，几乎来自另一个世界，至少也是没怎么在这个世界生活过的人才会有这种眼神。"
"And he said mechanically:","他不禁问道："
"“Where are you living now?”","“你现在住哪儿？”"
"“I have a little flat in Chelsea.”","“我在切尔西租了间小公寓。”"
"He did not want to hear what she was doing, did not want to hear anything; but the perverse word came out:","他不想知道她在做什么，不想听任何事情；但那句不合时宜的话还是脱口而出："
"“Alone?”","“一个人？”"
"She nodded.","她点点头。"
"It was a relief to know that.","这倒让他宽慰了些。"
"And it came into his mind that, but for a twist of fate, she would have been mistress of this coppice, showing these cow-houses to him, a visitor.","他突然想到，要不是命运的捉弄，她本应是这片小灌木林的女主人，带他这位客人看这些牛棚。"
"“All Alderneys,” he muttered; “they give the best milk.","“这些都是奥尔德尼牛，”他嘀咕道，“能产出最好的牛奶。"
"This one’s a pretty creature.","这头长得很漂亮。"
"Woa, Myrtle!”","噢，桃金娘！”"
"The fawn-coloured cow, with eyes as soft and brown as Irene’s own, was standing absolutely still, not having long been milked.","这头浅黄褐色的奶牛，眸子也是棕色的，和艾琳的一样柔和。刚挤完奶不久，它站在那里一动不动。"
"She looked round at them out of the corner of those lustrous, mild, cynical eyes, and from her grey lips a little dribble of saliva threaded its way towards the straw.","它用眼角打量着他们，那眼神光亮、温和，又有点儿愤世嫉俗，一缕涎液从灰色的唇边淌到稻草上。"
"The scent of hay and vanilla and ammonia rose in the dim light of the cool cow-house; and old Jolyon said:","凉爽的牛棚里光线昏暗，隐隐飘着干草、香草和氨水的气味；老乔利恩说："
"“You must come up and have some dinner with me.","“你一定要过来和我一起吃晚饭。"
"I’ll send you home in the carriage.”","我会派马车送你回去。”"
"He perceived a struggle going on within her; natural, no doubt, with her memories.","他察觉到艾琳内心的犹豫；这很自然，毕竟有那段回忆。"
"But he wanted her company; a pretty face, a charming figure, beauty!","可他希望她能陪着他；美丽的面庞，曼妙的身姿，真美！"
"He had been alone all the afternoon.","整个下午他都是一个人。"
"Perhaps his eyes were wistful, for she answered: “Thank you, Uncle Jolyon.","也许是因为他渴望的眼神；她答道：“谢谢您，乔利恩伯伯。 "
"I should like to.”","我很乐意。”"
"He rubbed his hands, and said:","他搓着手说："
"“Capital! Let’s go up, then!”","“好极了！我们这就上去！”"
"And, preceded by the dog Balthasar, they ascended through the field.","于是，巴尔萨泽领头，他们穿过田野走上去。"
"The sun was almost level in their faces now, and he could see, not only those silver threads, but little lines, just deep enough to stamp her beauty with a coin-like fineness—the special look of life unshared with others.","这时的太阳几乎和他们的脸在同一水平线上了。老乔利恩不仅看到了些许银发，还看到了一些皱纹，不深不浅，让她的美如精雕细琢的硬币头像般精致——与众不同的人生才有的独特之美。"
"“I’ll take her in by the terrace,” he thought: “I won’t make a common visitor of her.”","“我要带她从露台进去，”他心想：“可不能当她是普普通通的来客。”"
"“What do you do all day?” he said.","“你每天都做些什么？”他问。"
"“Teach music; I have another interest, too.”","“教音乐；也有别的兴趣。”"
"“Work!” said old Jolyon, picking up the doll from off the swing, and smoothing its black petticoat.","“工作！”老乔利恩边说边拿起秋千上的娃娃，抚平它黑色的裙子，"
"“Nothing like it, is there?","“什么也不如工作，对吗？"
"I don’t do any now.","我现在什么也不做了。"
"I’m getting on.","年岁大了。"
"What interest is that?”","你说的兴趣是指什么？”"
"“Trying to help women who’ve come to grief.”","“想办法帮助落难的女人。”"
"Old Jolyon did not quite understand.","老乔利恩没听太懂。"
"“To grief?” he repeated; then realised with a shock that she meant exactly what he would have meant himself if he had used that expression.","“落难？”他重复道；接着一惊，这才明白艾琳的意思跟他自己偶尔说到这个词时的意思如出一辙。"
"Assisting the Magdalenes of London!","帮助伦敦从良的妓女！"
"What a weird and terrifying interest!","多么让人惊悸又难以置信的兴趣！"
"And, curiosity overcoming his natural shrinking, he asked:","然而，好奇心战胜了天然的畏缩，他问："
"“Why?","“为什么？"
"What do you do for them?”","你怎么帮她们？”"
"“Not much.","“帮不上太多。"
"I’ve no money to spare.","没有钱给她们。"
"I can only give sympathy and food sometimes.”","只能表示同情，有时给她们点儿吃的。”"
"Involuntarily old Jolyon’s hand sought his purse.","老乔利恩的手不由得摸向了自己的钱袋。"
"He said hastily: “How d’you get hold of them?”","他连忙问：“你怎么认识她们的？”"
"“I go to a hospital.”","“在医院。”"
"“A hospital! Phew!”","“啊，医院。”"
"“What hurts me most is that once they nearly all had some sort of beauty.”","“她们从前几乎都有自己的美，这最让我难受。”"
"Old Jolyon straightened the doll.","老乔利恩拉直了手中的玩偶。"
"“Beauty!” he ejaculated: “Ha! Yes!","“美！”他突然说道，“呵！可不是！"
"A sad business!” and he moved towards the house.","多么悲惨！”于是向房子走去。"
