"The Shocks of Doom","命运的震荡"
"And all that was because his nephew had disobeyed him concerning a certain girl, who comes not into this story—therefore, all readers who brush their hair toward its roots may be warned to read no further.","而且所有的一切都因为侄子在一个女孩的事情上没有听他的话，而这个女孩不会在故事中出现，因此，提醒所有喜欢刨根问底的读者们就不必再读下去了。"
"There was another nephew, of a different branch, who had once been the prospective heir and favorite.","在家族的另一支系里还有另外一个侄子，曾一度很有希望成为继承人，而且深得叔叔的宠爱。"
"Being without grace or hope, he had long ago disappeared in the mire.","因为失宠，也自觉毫无希望，所以他很久以前就音信全无了。"
"Now dragnets were out for him; he was to be rehabilitated and restored.","经过拉网似的查找，现在终于找到了他，还要恢复他的继承权。"
"And so Vallance fell grandly as Lucifer to the lowest pit, joining the tattered ghosts in the little park.","于是，瓦兰斯像明亮之子一样重重地坠入万丈深渊，加入了小公园里那些衣衫褴褛的幽灵的行列。"
"Sitting there, he leaned far back on the hard bench and laughed a jet of cigarette smoke up to the lowest tree branches.","他坐在那里，仰面倚靠在硬长椅上，笑着朝最低的树枝吐了一口烟雾。"
"The sudden severing of all his life’s ties had brought him a free, thrilling, almost joyous elation.","生活中全部纽带的突然断裂给他带来了一种自由、激动和几乎欣喜若狂的兴奋。"
"He felt precisely the sensation of the aeronaut when he cuts loose his parachute and lets his balloon drift away.","他真切地体验到了乘坐在热气球上的人割断降落伞绳索后让气球随风飘荡的感觉。"
"The hour was nearly ten.","快到十点了。"
"Not many loungers were on the benches.","长椅上没有几个流浪者。"
"The park-dweller, though a stubborn fighter against autumnal coolness, is slow to attack the advance line of spring’s chilly cohorts.","公园的住客虽然能顽强地抵抗秋日的凉意，但却迟迟未能攻克料峭春寒的先头部队。"
"Then arose one from a seat near the leaping fountain, and came and sat himself at Vallance’s side.","这时，有一个人从喷着水的喷泉边的座位上站起身，走过来坐在了瓦兰斯身边。"
"He was either young or old; cheap lodging-houses had flavoured him mustily; razors and combs had passed him by; in him drink had been bottled and sealed in the devil’s bond.","他既不年轻也不年长，身上带着廉价寄宿所的霉味，剃须刀和梳子也离他而去甚久，酒在他的肚子里装瓶封口。"
"He begged a match, which is the form of introduction among park benchers, and then he began to talk.","他借了个火，这是坐公园长椅的人相互认识的方式。接着，他就开口说话了。"
"“You’re not one of the regulars,” he said to Vallance.","“你不是这里的常客吧，”他对瓦兰斯说，"
"“I know tailored clothes when I see ’em.","“订量身做的衣服我一眼就看得出来。"
"You just stopped for a moment on your way through the park.","你不过是在路过公园时稍稍歇会儿吧。"
"Don’t mind my talking to you for a while?","你不介意我和你聊一会儿吧？"
"I’ve got to be with somebody.","我必须得和别人说说话。"
"I’m afraid—I’m afraid.","我害怕——我害怕。"
"I’ve told two or three of those bummers over about it.","我刚和那边的两三个流浪汉聊了聊。"
"They think I’m crazy.","他们以为我疯了。"
"Say—let me tell you—all I’ve had to eat to-day was a couple pretzels and an apple.","这么说吧——我告诉你——今天我只吃了几块椒盐饼干和一个苹果。"
"To-morrow I’ll stand in line to inherit three millions; and that restaurant you see over there with the autos around it will be too cheap for me to eat in.","明天，我就要排队等候继承三百万了。你看见那边的那家周围停着很多车的饭店了吧，明天它对我来说就太低档次了，我根本都不会在那儿吃饭。"
"Don’t believe it, do you?","你不相信我的话，对不对？”"
"“Without the slightest trouble,” said Vallance, with a laugh.","“一点儿问题都没有，”瓦兰斯笑着说，"
"“I lunched there yesterday.","“我昨天在那里吃的午饭。"
"To-night I couldn’t buy a five-cent cup of coffee.”","可今晚我连五分钱一杯的咖啡也买不起了。”"
"“You don’t look like one of us.","“你不像我们的人。"
"Well, I guess those things happen.","嗯，我想一定是出了那种事。"
"I used to be a high-flyer myself—some years ago.","我自己也曾经是个大有前途的人——那是很多年以前的事了。"
"What knocked you out of the game?”","你是怎么落魄的？”"
"“I—oh, I lost my job,” said Vallance.","“我——哦，我失业了。”瓦兰斯说道。"
"“It’s undiluted Hades, this city,” went on the other.","“这个城市纯粹是个地狱，”那人接着说，"
"“One day you’re eating from china; the next you are eating in China—a chop-suey joint.","“今天你还吃着瓷碟子里的佳肴，明天你就在中国饭馆吃饭——炒杂烩菜的中国饭馆。"
"I’ve had more than my share of hard luck.","我有过倒霉的时候。"
"For five years I’ve been little better than a panhandler.","这五年来，我比叫花子好不到哪儿去。"
"I was raised up to live expensively and do nothing.","我从小养尊处优，什么都不用干。"
"Say—I don’t mind telling you—I’ve got to talk to somebody, you see, because I’m afraid—I’m afraid.","哎——我也不妨告诉你——我必须得和别人说话，你知道，因为我害怕——我害怕。"
"My name’s Ide.","我叫艾德。"
"You wouldn’t think that old Paulding, one of the millionaires on Riverside Drive, was my uncle, would you?","你绝对想不到老波尔丁，住在河滨大道的百万富翁之一，他是我叔叔，你能想到吗？"
"Well, he is.","嗯，他确实是。"
"I lived in his house once, and had all the money I wanted.","我曾经在他家住过，我想要多少钱就有多少钱。"
"Say, haven’t you got the price of a couple of drinks about you—er—what’s your name—”","哎，你身上有没有买两杯酒的钱——呃——你叫什么？”"
"“Dawson,” said Vallance.","“道森，”瓦兰斯答道，"
"“No; I’m sorry to say that I’m all in, financially.”","“没有，很抱歉，我身无分文。”"
"“I’ve been living for a week in a coal cellar on Division Street,” went on Ide, “with a crook they called ‘Blinky’ Morris.","“我在迪威臣街的一个煤窑里住了一个星期，”伊德接着说，“和一个他们称作‘眨巴眼’莫里斯的坏蛋住在一起。"
"I didn’t have anywhere else to go.","我没有别的地方可去。"
"While I was out to-day a chap with some papers in his pocket was there, asking for me.","今天我出来的时候，一个兜里揣着文件的家伙在那儿打听我的情况。"
"I didn’t know but what he was a fly cop, so I didn’t go around again till after dark.","我不知道他是不是便衣警察，所以我天黑之前再没敢回那块地方。"
"There was a letter there he had left for me.","他在那儿给我留了一封信。"
"Say—Dawson, it was from a big downtown lawyer, Mead.","哎呀——道森，是市中心的大律师米德给我的信。"
"I’ve seen his sign on Ann Street.","我在安街上见过他的招牌。"
"Paulding wants me to play the prodigal nephew—wants me to come back and be his heir again and blow in his money.","波尔丁要我去充当败家的侄子——想让我回去做他的继承人，花光他所有的钱。"
"I’m to call at the lawyer’s office at ten to-morrow and step into my old shoes again—heir to three million, Dawson, and $10,000 a year pocket money.","明天早上十点，我就要去律师事务所，重新过我以前的生活——三百万财产的继承人，道森，还有每年一万美金的零花钱。"
"And—I’m afraid—I’m afraid.”","但是——我害怕——我害怕。”"
"The vagrant leaped to his feet and raised both trembling arms above his head.","这位流浪汉一跃而起，颤抖的双臂举过头顶。"
"He caught his breath and moaned hysterically.","他喘了口气，接着歇斯底里地哀号起来。"
"Vallance seized his arm and forced him back to the bench.","瓦兰斯抓住他的胳膊，把他拉回到长凳上。"
"“Be quiet!” he commanded, with something like disgust in his tones.","“安静点儿！”他带着厌恶的口气命令道，"
"“One would think you had lost a fortune, instead of being about to acquire one.","“人家还以为你不是马上要得到一笔财产，而是马上要倾家荡产呢。"
"Of what are you afraid?”","你怕什么呢？”"
"Ide cowered and shivered on the bench.","艾德颤抖着蜷缩在长凳上。"
"He clung to Vallance’s sleeve, and even in the dim glow of the Broadway lights the latest disinherited one could see drops on the other’s brow wrung out by some strange terror.","他紧紧拽着瓦兰斯的袖子，即使是在百老汇路灯的昏暗灯光下，刚刚被剥夺了继承权的瓦兰斯，也能看出对方由于某种莫名的恐惧而紧锁的眉头上渗出的汗珠。"
"“Why, I’m afraid something will happen to me before morning.","“说不清，我害怕明天早上之前会出意外。"
"I don’t know what—something to keep me from coming into that money.","我也不知道是什么——反正是不让我得到那笔钱。"
"I’m afraid a tree will fall on me—I’m afraid a cab will run over me, or a stone drop on me from a housetop, or something.","我害怕有棵树会倒下来砸到我——我害怕有辆车把我撞倒，或者会有块石头从房顶上掉下来砸到我，或者是别的什么事情。"
"I never was afraid before.","以前我从来不害怕。"
"I’ve sat in this park a hundred nights as calm as a graven image without knowing where my breakfast was to come from.","我在这个公园里坐过几百个夜晚，虽然第二天的早饭都没有着落，但我照样平静自若。"
"But now it’s different.","但是现在不一样了。"
"I love money, Dawson—I’m happy as a god when it’s trickling through my fingers, and people are bowing to me, with the music and the flowers and fine clothes all around.","我爱钱，道森——当它在我的指缝间流过，人们向我鞠躬，周围到处都是音乐、鲜花和漂亮衣服时，我就会无比快乐。"
"As long as I knew I was out of the game I didn’t mind.","当我知道这些我都没份时，我并不介意。"
"I was even happy sitting here ragged and hungry, listening to the fountain jump and watching the carriages go up the avenue.","我衣衫褴褛、饥肠辘辘地坐在这儿，听着喷泉声，看着大街上穿梭的车辆，也照样很快乐。"
"But it’s in reach of my hand again now—almost—and I can’t stand it to wait twelve hours, Dawson—I can’t stand it.","但是现在这一切又触手可及了——就要实现了——我再也等不了十二个小时了，道森——我等不及了。"
"There are fifty things that could happen to me—I could go blind—I might be attacked with heart disease—the world might come to an end before I could—”","有五十件意外可能发生在我身上——我有可能失明——我可能心脏病发作——世界末日可能到来——”"
"Ide sprang to his feet again, with a shriek.","艾德尖叫一声，跳了起来。"
"People stirred on the benches and began to look.","长凳上的人们起身，开始向这边张望。"
"Vallance took his arm.","瓦兰斯抓住他的胳膊。"
"“Come and walk,” he said, soothingly.","“来走走，”瓦兰斯安抚着伊德，"
"“And try to calm yourself.","“镇静点儿。"
"There is no need to become excited or alarmed.","没有必要这么兴奋或者紧张。"
"Nothing is going to happen to you.","你不会有事的。"
"One night is like another.”","每天晚上都是一样的。”"
"“That’s right,” said Ide.","“你说得对，”艾伊德说道，"
"“Stay with me, Dawson—that’s a good fellow.","“留下来陪陪我吧，道森——那才够朋友。"
"Walk around with me awhile.","陪我溜达一会儿。"
"I never went to pieces like this before, and I’ve had a good many hard knocks.","我以前受过很多打击，但从来没有这么崩溃过。"
"Do you think you could hustle something in the way of a little lunch, old man?","你能弄些像样的吃的来吗，老兄？"
"I’m afraid my nerve’s too far gone to try any panhandling.”","恐怕我已经崩溃到了极点，没法再乞讨了。”"
"Vallance led his companion up almost deserted Fifth Avenue, and then westward along the Thirties toward Broadway.","瓦兰斯领着他的同伴来到几乎空无一人的第五大道上，然后向西沿着第三十几街朝百老汇路走去。"
"“Wait here a few minutes,” he said, leaving Ide in a quiet and shadowed spot.","“在这儿等会儿。”他说着，把艾德留在了一个僻静幽暗的地方。"
"He entered a familiar hotel, and strolled toward the bar quite in his old assured way.","他走进了一家熟悉的酒店，像以前那样自信地向吧台走去。"
"“There’s a poor devil outside, Jimmy,” he said to the bartender, “who says he’s hungry and looks it.","“吉米，外面有个穷光蛋，”他对酒吧侍者说道，“他说他饿坏了，看起来是真的。"
"You know what they do when you give them money.","你知道给了他们钱，他们会去干什么。"
"Fix up a sandwich or two for him; and I’ll see that he doesn’t throw it away.”","弄一两个三明治给他吧，我觉得他不会把它扔了。”"
"“Certainly, Mr. Vallance,” said the bartender.","“好的，瓦兰斯先生，”侍者说道，"
"“They ain’t all fakes.","“他们不全都是假装的。"
"Don’t like to see anybody go hungry.”","我也不喜欢看别人挨饿。”"
"He folded a liberal supply of the free lunch into a napkin.","他把一大份免费午餐用餐巾包好。"
"Vallance went with it and joined his companion.","瓦兰斯拿着出来，找到了他的同伴。"
"Ide pounced upon the food ravenously.","艾德狼吞虎咽地吃起来。"
"“I haven’t had any free lunch as good as this in a year,” he said.","“我有一年没吃过这么好吃的免费午餐了，”他说道，"
"“Aren’t you going to eat any, Dawson?","“你不来点儿吗，道森？”"
"“I’m not hungry—thanks,” said Vallance.","“我不饿——谢谢。”瓦兰斯答道。"
"“We’ll go back to the Square,” said Ide.","“我们回广场去吧，”艾德说，"
"“The cops won’t bother us there.","“警察不会在那里找我们麻烦的。"
"I’ll roll up the rest of this ham and stuff for our breakfast.","我要把剩下的火腿和别的东西包好，当我们明天的早餐。"
"I won’t eat any more; I’m afraid I’ll get sick.","不能再吃了，我害怕我会病的。"
"Suppose I’d die of cramps or something to-night, and never get to touch that money again!","假如我今晚死于胃痉挛或什么别的病的话，我就永远摸不到那笔钱了。"
"It’s eleven hours yet till time to see that lawyer.","离见律师还有十一个小时呢。"
"You won’t leave me, will you, Dawson?","你不会离开我的，是不是，道森？"
"I’m afraid something might happen.","我害怕可能出事。"
"You haven’t any place to go, have you?”","你也没有什么地方可去，是吧？”"
"“No,” said Vallance, “nowhere to-night.","“对，”瓦兰斯说，“我今晚哪儿也不去。"
"I’ll have a bench with you.”","我和你一样在长凳上过夜。”"
"“You take it cool,” said Ide, “if you’ve told it to me straight.","“你太沉得住气了，”艾德说，“如果你对我说的是真的。"
"I should think a man put on the bum from a good job just in one day would be tearing his hair.”","我还以为一个一天之内丢了好工作又沦落成流浪汉的人会痛苦得揪自己头发。”"
"“I believe I’ve already remarked,” said Vallance, laughing, “that I would have thought that a man who was expecting to come into a fortune on the next day would be feeling pretty easy and quiet.”","“我想我已经说过了，”瓦兰斯笑着说，“我还以为一个第二天能得到一大笔财产的人会非常轻松平静呢。”"
"“It’s funny business,” philosophized Ide, “about the way people take things, anyhow.","“不管怎么说，人们对待事物的态度的确是件怪事。”艾德颇有哲理地说道，"
"Here’s your bench, Dawson, right next to mine.","“这张长椅归你了，道森，挨着我。"
"The light don’t shine in your eyes here.","这里的灯光不刺眼。"
"Say, Dawson, I’ll get the old man to give you a letter to somebody about a job when I get back home.","喂，道森，我回家后会让老爷子给你写封信，帮你找份工作。"
"You’ve helped me a lot to-night.","今晚你帮了我大忙。"
"I don’t believe I could have gone through the night if I hadn’t struck you.”","要不是遇见你，今晚我都熬不过去了。”"
"“Thank you,” said Vallance.","“谢谢你，”瓦兰斯说，"
"“Do you lie down or sit up on these when you sleep?”","“你是躺下睡，还是坐着睡？”"
"For hours Vallance gazed almost without winking at the stars through the branches of the trees and listened to the sharp slapping of horses’ hoofs on the sea of asphalt to the south.","一连几个小时，透过树枝瓦兰斯几乎目不转睛地盯着天上的星星，听着柏油马路上向南驶去的清脆的马蹄声。"
"His mind was active, but his feelings were dormant.","他的思想是活跃的，但感觉却是静止的。"
"Every emotion seemed to have been eradicated.","所有的感情都好像已经荡然无存。"
"He felt no regrets, no fears, no pain or discomfort.","他没有后悔，没有害怕，没有痛苦，也没有不安。"
"Even when he thought of the girl, it was as of an inhabitant of one of those remote stars at which he gazed.","甚至当他想到那个姑娘时，她也仿佛成了他眺望着的遥远星球上的人。"
"He remembered the absurd antics of his companion and laughed softly, yet without a feeling of mirth.","想到同伴的荒唐行为，他不禁轻轻笑出声来，但绝不是高兴。"
"Soon the daily army of milk wagons made of the city a roaring drum to which they marched.","不久，送牛奶的车队驶入了城市，发出轰隆轰隆的击鼓般的声音。"
"Vallance fell asleep on his comfortless bench.","瓦兰斯在很不舒服的长凳上睡着了。"
"At ten o’clock on the next day the two stood at the door of Lawyer Mead’s office in Ann Street.","第二天的十点钟，这两个人站在了安街米德律师事务所的门前。"
"Ide’s nerves fluttered worse than ever when the hour approached; and Vallance could not decide to leave him a possible prey to the dangers he dreaded.","随着时间的临近，艾德变得越发地焦虑不安。瓦兰斯不忍心让他一个人面对他所害怕的危险。"
"When they entered the office, Lawyer Mead looked at them wonderingly.","当他俩一同进到事务所时，米德律师惊讶地看着他们。"
"He and Vallance were old friends.","他和瓦兰斯是老交情了。"
"After his greeting, he turned to Ide, who stood with white face and trembling limbs before the expected crisis.","寒暄过后，他转向了艾德，此时的他站在那里，在预期的紧要关头，脸色煞白、浑身发抖。"
"“I sent a second letter to your address last night, Mr. Ide,” he said.","“艾德先生，昨晚我又把第二封信送到了你的住处，”他说，"
"“I learned this morning that you were not there to receive it.","“今天早晨我得知你没在那里，没有收到那封信。"
"It will inform you that Mr. Paulding has reconsidered his offer to take you back into favor.","那封信是通知你，波尔丁先生重新考虑了恢复你继承权的想法。"
"He has decided not to do so, and desires you to understand that no change will be made in the relations existing between you and him.”","他已经决定不这么做，并希望你明白，你们之间的关系不会有任何改变。"
"Ide’s trembling suddenly ceased.","艾德突然之间停止了颤抖。"
"The color came back to his face, and he straightened his back.","他的脸慢慢有了血色，背也挺直了。"
"His jaw went forward half an inch, and a gleam came into his eye.","他的下巴扬起了半英寸，眼睛闪出光芒。"
"He pushed back his battered hat with one hand, and extended the other, with levelled fingers, toward the lawyer.","他一手把他的破帽子戴回头上，一只手有力地向律师伸去。"
"He took a long breath and then laughed sardonically.","他长长地吸了一口气，讥讽地笑了起来。"
"“Tell old Paulding he may go to the devil,” he said, loudly and clearly, and turned and walked out of the office with a firm and lively step.","“告诉老波尔丁，让他见鬼去吧。”他清晰地大声说道，转过身迈着轻快有力的步伐离开了事务所。"
"Lawyer Mead turned on his heel to Vallance and smiled.","米德律师转过身，微笑地面向瓦兰斯。"
"“I am glad you came in,” he said, genially.","“你来，我很高兴，”他亲切地说，"
"“Your uncle wants you to return home at once.","“你叔叔想让你马上回家。"
"He is reconciled to the situation that led to his hasty action, and desires to say that all will be as—”","他觉得当初的决定过于仓促，有失妥当，并希望告诉你一切照旧——”"
"“Hey, Adams!” cried Lawyer Mead, breaking his sentence, and calling to his clerk.","“喂，亚当！”米德律师话还没说完，朝他的职员大叫道，"
"“Bring a glass of water—Mr. Vallance has fainted.”","“拿杯水来——瓦兰斯先生晕过去了。”"

