"Lizzie Leigh","莉齐·利"
"Will looked very gloomy, but he did not speak till they got near the house.","威尔看上去非常忧郁，但是直到他们靠近房子时，他才开口说话。"
"Then he said—","他说道："
"“Tom, go to th’ shippon, and supper the cows.","“汤姆，去牛舍看看，喂一下奶牛。"
"I want to speak to mother alone.”","我想和母亲单独谈谈。”"
"When he entered the house-place, she was sitting before the fire, looking into its embers.","当他走进房间的时候，她正坐在火炉边，眼睛盯着里面的炭火。"
"She did not hear him come in: for some time she had lost her quick perception of outward things.","她没有听到他进来的声音：她对外界事物的感知已经有一段时间不像以前那样快速了。"
"“Mother! what’s this about going to Manchester?” asked he.","“妈妈！为什么要去曼彻斯特？”他问道。"
"“Oh, lad!” said she, turning round, and speaking in a beseeching tone, “I must go and seek our Lizzie.","“哦，孩子！”她说道，转过身来，带着一种近乎恳求的语气，“我必须去寻找我们的莉齐。"
"I cannot rest here for thinking on her.","呆在这儿想她，我无法安心。"
"Many’s the time I’ve left thy father sleeping in bed, and stole to th’ window, and looked and looked my heart out towards Manchester, till I thought I must just set out and tramp over moor and moss straight away till I got there, and then lift up every downcast face till I came to our Lizzie.","很多次我在你父亲睡着的时候离开床畔，悄悄地来到窗前，就这么望着，望着，我的心也飘向了曼彻斯特，直到我认为我必须立刻启程，越过荒野和沼泽，一路到那儿，然后抬起一张张低垂的脸，直到找到我们的莉齐。"
"And often, when the south wind was blowing soft among the hollows, I’ve fancied (it could but be fancy, thou knowest) I heard her crying upon me; and I’ve thought the voice came closer and closer, till at last it was sobbing out, ‘Mother!’ close to the door; and I’ve stolen down, and undone the latch before now, and looked out into the still, black night, thinking to see her—and turned sick and sorrowful when I heard no living sound but the sough of the wind dying away.","时常，当南风轻拂在山谷中时，我想象（也只能是想象，你知道的）我听到了她在恳求我，我感到她的声音越来越近，到最后成了在门前喊‘妈妈’的哭诉，于是我悄悄地下楼，打开门闩，向外面寂静、漆黑的夜晚望去，想着能看到她——结果是让人失望和伤心的，我听不到一丝活着的声音，只有逐渐逝去的飒飒的风声。"
"Oh, speak not to me of stopping here, when she may be perishing for hunger, like the poor lad in the parable.”","哦，别让我现在停下来，她可能因为饥饿而正在消亡，就像寓言故事中的那个可怜的孩子一样。”"
"And now she lifted up her voice, and wept aloud.","说到这里，她抬高声音，大声地哭了起来。"
"Will was deeply grieved.","威尔感到悲痛欲绝。"
"He had been old enough to be told the family shame when, more than two years before, his father had had his letter to his daughter returned by her mistress in Manchester, telling him that Lizzie had left her service some time—and why.","早在两年多前，他的年纪已经足够大，足以被告知他们家族的耻辱了，那时他父亲收到女儿在曼彻斯特的女教师寄回来的一封信，告知他莉齐已经离开了有一段时间——以及离开的原因。"
"He had sympathized with his father’s stern anger; though he had thought him something hard, it is true, when he had forbidden his weeping, heart-broken wife to go and try to find her poor sinning child, and declared that henceforth they would have no daughter; that she should be as one dead, and her name never more be named at market or at meal time, in blessing or in prayer.","他很理解父亲那种严峻的愤怒，尽管他认为他有点儿冷酷无情。这是真的，尤其当他禁止他悲伤欲绝的妻子去试图寻找她可怜的犯错的孩子，并且宣布自此以后他们不再有女儿，就当她已经死掉了，她的名字也不允许在市场或饭间，在祈福或祷告时提到。"
"He had held his peace, with compressed lips and contracted brow, when the neighbours had noticed to him how poor Lizzie’s death had aged both his father and his mother; and how they thought the bereaved couple would never hold up their heads again.","当邻居们告诉威尔，莉齐的去世使得他的父母变得多么苍老，以及他们如何认为这对遭受丧女之痛的夫妇再也无法振作起来时，他一直保持着沉默，双唇紧闭，眉头紧锁。"
"He himself had felt as if that one event had made him old before his time; and had envied Tom the tears he had shed over poor, pretty, innocent, dead Lizzie.","他自己也感觉到这次事件似乎使他看起来比他的年龄要成熟，于是他开始妒忌汤姆为不幸、美丽、天真、已逝的莉齐所洒落的泪水。"
"He thought about her sometimes, till he ground his teeth together, and could have struck her down in her shame.","他偶尔也会想起她，直到最后他紧咬牙关，将她击倒在她的耻辱当中。"
"His mother had never named her to him until now.","到目前为止，他的母亲从未在他面前提起过她。"
"“Mother!” said he, at last.","“妈妈！”他终于说道，"
"“She may be dead.","“她可能已经死掉了。"
"Most likely she is”","这是最可能的情况了。”"
"“No, Will; she is not dead,” said Mrs. Leigh.","“不，威尔，她没有死，”利太太说道，"
"“God will not let her die till I’ve seen her once again.","“在我再一次看到她之前，上帝不会让她死掉的。"
"Thou dost not know how I’ve prayed and prayed just once again to see her sweet face, and tell her I’ve forgiven her, though she’s broken my heart—she has, Will.”","你不知道有多少次我不停地祈祷着能再次看到她那甜美的面容，告诉她我已经原谅她了，尽管她曾经伤透了我的心——是曾经，威尔。”"
"She could not go on for a minute or two for the choking sobs.","她已经泣不成声，无法再继续下去。"
"“Thou dost not know that, or thou wouldst not say she could be dead—for God is very merciful, Will; He is: He is much more pitiful than man.","“你不了解，否则你不会说她可能已经死掉了——上帝是十分仁慈的，威尔，上帝比人类更具有同情心。"
"I could never ha’ spoken to thy father as I did to Him—and yet thy father forgave her at last.","我虽然无法像对上帝那样跟你的父亲谈话——但是你父亲最后也原谅了她。"
"The last words he said were that he forgave her.","他说的最后一句话是他原谅了她。"
"Thou’lt not be harder than thy father, Will?","你不会比你的父亲更冷酷吧，威尔？"
"Do not try and hinder me going to seek her, for it’s no use.”","不要试图阻挠我去寻找她，那样做是没用的。”"
"Will sat very still for a long time before he spoke.","威尔在说话之前，静静地坐了很久。"
"At last he said, “I’ll not hinder you.","最后他说：“我不会阻拦你的。"
"I think she’s dead, but that’s no matter.”","我认为她已经死掉了，但那无关紧要。”"
"“She’s not dead,” said her mother, with low earnestness.","“她没有死。”她母亲说道，声音不大，但却很诚挚。"
"Will took no notice of the interruption.","威尔没有理睬母亲的中途插话。"
"“We will all go to Manchester for a twelvemonth, and let the farm to Tom Higginbotham.","“我们全家都会去曼彻斯特呆上一年，然后把农场出租给汤姆·希金博特姆。"
"I’ll get blacksmith’s work; and Tom can have good schooling for awhile, which he’s always craving for.","我会找一份铁匠铺的工作，汤姆也可以受到一段时间的良好教育，这是他一直都渴望的。"
"At the end of the year you’ll come back, mother, and give over fretting for Lizzie, and think with me that she is dead—and, to my mind, that would be more comfort than to think of her living;” he dropped his voice as he spoke these last words.","到年底时，你要回来，妈妈，然后不再为莉齐的事情而抓狂，和我一样去想她已经死掉了——在我看来，这比认为她还活着要好受多了。”说到最后一句话时，他的声音低了下来。"
"She shook her head but made no answer.","她摇了摇头，但没有做出回答。"
"He asked again—“Will you, mother, agree to this?”","他再一次问道：“妈妈，你同意这样做吗？”"
"“I’ll agree to it a-this-ns,” said she.","“我同意，”她说道，"
"“If I hear and see nought of her for a twelvemonth, me being in Manchester looking out, I’ll just ha’ broken my heart fairly before the year’s ended, and then I shall know neither love nor sorrow for her any more, when I’m at rest in my grave.","“如果我用一年的时间在曼彻斯特都无法打听到她的踪影，那么在年底到来之前我的心就会碎掉了，那时我会躺在我的坟墓里，不再知道什么是爱，什么是悲伤。"
"I’ll agree to that, Will.”","我同意这种做法，威尔。”"
"“Well, I suppose it must be so.","“好吧，我认为必须是这样了。"
"I shall not tell Tom, mother, why we’re flitting to Manchester.","母亲，我不会告诉汤姆我们为什么要搬到曼彻斯特去的。"
"Best spare him.”","最好别让他知道这些。”"
"“As thou wilt,” said she, sadly, “so that we go, that’s all.”","“就按你想的做吧，”她悲伤地说道，“只要我们去那儿，就可以了。”"
"Before the wild daffodils were in flower in the sheltered copses round Upclose Farm, the Leighs were settled in their Manchester home; if they could ever grow to consider that place as a home, where there was no garden or outbuilding, no fresh breezy outlet, no far-stretching view, over moor and hollow; no dumb animals to be tended, and, what more than all they missed, no old haunting memories, even though those remembrances told of sorrow, and the dead and gone.","阿普克洛斯农场周围树阴下小灌木林中的野水仙尚未开花，利家人已经在他们曼彻斯特的家中安顿了下来；如果他们可以把这个地方当作家来看待，这里没有庭院或者其他附属建筑，没有空气清新、凉风习习的出口，没有沼泽和山谷上方绵延万里的风景；没有那些哑巴牲口需要喂养，并且，让他们所有人都想念的是这里没有过去那些令人难以忘怀的记忆，尽管这些记忆倾诉了太多的悲伤和已逝的亡人。"
"Mrs. Leigh heeded the loss of all these things less than her sons.","利太太并没有像她的两个儿子那样把这些东西的缺失看得那么重要。"
"She had more spirit in her countenance than she had had for months, because now she had hope; of a sad enough kind, to be sure, but still it was hope.","她脸上的气色比几个月前好多了，因为现在她有了希望，一种足够让人悲伤的希望，这点毋庸置疑，但终究是有了希望。"
"She performed all her household duties, strange and complicated as they were, and bewildered as she was with all the town necessities of her new manner of life; but when her house was “sided,” and the boys come home from their work in the evening, she would put on her things and steal out, unnoticed, as she thought, but not without many a heavy sigh from Will, after she had closed the house-door and departed.","她尽心尽责地履行她所有的家务职责，无论它们是多么陌生和麻烦，有时她也会对这种新的城镇生活方式的所有必需品感到困惑；但她还是在“整理”完家务之余，当孩子们晚上下班回家后，她会穿戴整齐，趁他们不注意时悄悄地溜出来，至少她是这么认为的，但她哪里知道在她扣上房门离开时伴随着的是威尔一声声沉重的叹息。"
"It was often past midnight before she came back, pale and weary, with almost a guilty look upon her face; but that face so full of disappointment and hope deferred, that Will had never the heart to say what he thought of the folly and hopelessness of the search.","通常是过了午夜后，她才面色苍白，疲惫不堪地回来，脸上几乎是带着一种负疚的表情；那张脸上写满了失落和希望耗尽的表情，以至于威尔无法鼓起勇气说出他对这种愚蠢、绝望的搜寻的看法"
"Night after night it was renewed, till days grew to weeks, and weeks to months.","夜复一夜，时间就这样流逝着，直到后来几个星期，几个月过去了。"
"All this time Will did his duty towards her as well as he could, without having sympathy with her.","在这段时间内，威尔一直在尽可能地恪守着他的职责，但却依旧无法认同他母亲的行为。"
"He stayed at home in the evenings for Tom’s sake, and often wished he had Tom’s pleasure in reading, for the time hung heavy on his hands as he sat up for his mother.","为了汤姆，他晚上得呆在家里。很多次在苦苦等待母亲归来的煎熬中，他多么希望自己能像汤姆那样快乐地读书。"
"I need not tell you how the mother spent the weary hours.","我本无需告诉你这位母亲是如何度过这段疲惫的时间的。"
"And yet I will tell you something.","但我还是会告诉你一些事情的。"
"She used to wander out, at first as if without a purpose, till she rallied her thoughts, and brought all her energies to bear on the one point; then she went with earnest patience along the least-known ways to some new part of the town, looking wistfully with dumb entreaty into people’s faces; sometimes catching a glimpse of a figure which had a kind of momentary likeness to her child’s, and following that figure with never-wearying perseverance, till some light from shop or lamp showed the cold strange face which was not her daughter’s.","她曾经在一开始漫无目的地游荡着，直到她重新整理了自己的思绪，将所有的精力都集中到一点上来；然后她带着诚挚的耐心，沿着那些没有人走的路到城中各种未知的地方，满怀渴望的目光中充满了无言的恳求，在人们的脸上搜寻着。有时在人群中瞥见的一个人影，有那么一瞬间像是她的孩子，她会以不知疲倦的毅力跟踪着人影，直到从商店或者路灯投射出来的光线显示那冰冷陌生的面庞并不属于她的女儿。"
"Once or twice a kind-hearted passer-by, struck by her look of yearning woe, turned back and offered help, or asked her what she wanted.","有那么一两次，某个好心的过路人不忍心看到她脸上那思念的伤痛，转过身来帮忙，或是问她需要什么。"
"When so spoken to, she answered only, “You don’t know a poor girl they call Lizzie Leigh, do you?” and when they denied all knowledge, she shook her head, and went on again.","每当她被问起的时候，她唯一的回答就是：“你认不认识一个叫莉齐·利的可怜女孩？”当人们说不认识的时候，她会摇摇头，继续寻找下去。"
"I think they believed her to be crazy.","我想他们肯定认为她疯掉了。"
"But she never spoke first to any one.","她从来不主动和任何人搭话。"
"She sometimes took a few minutes’ rest on the door-steps, and sometimes (very seldom) covered her face and cried; but she could not afford to lose time and chances in this way; while her eyes were blinded with tears, the lost one might pass by unseen.","她有时会坐在一些人家的门阶上休息几分钟，偶尔（很少）会捂着脸哭出声来；但是她浪费不起这样的时间和机会，她害怕在她掩面落泪的时候，她走失的女儿可能从旁边路过，而她却毫不知情。"
"One evening, in the rich time of shortening autumn-days, Will saw an old man, who, without being absolutely drunk, could not guide himself rightly along the foot-path, and was mocked for his unsteadiness of gait by the idle boys of the neighbourhood.","仲秋季节，白日渐短，就是在这样一个秋天的晚上，威尔遇到了一位老人，看上去并不像酩酊大醉的样子，却在行人道上找不到方向，他步履蹒跚的样子也招来了周边一群无所事事的孩子们的嘲笑。"
"For his father’s sake, Will regarded old age with tenderness, even when most degraded and removed from the stern virtues which dignified that father; so he took the old man home, and seemed to believe his often-repeated assertions, that he drank nothing but water.","因为父亲的缘故，威尔对老年人总是满怀着一股温情，即便眼前这位父亲身上本应体现的那些严肃的美德大部分已经退却丢失了，威尔还是把他送回了家，老人反复强调他喝的只是水，而威尔似乎也相信了这些说辞。"
"The stranger tried to stiffen himself up into steadiness as he drew nearer home, as if there some one there for whose respect he cared even in his half-intoxicated state, or whose feelings he feared to grieve.","快到家时，这位陌生的老人试图挺起身来走得稳当一些，好像即使是在这种半醉的状态下他这么做也是出于对家里那个他在乎的人的尊重，抑或他害怕会伤害到那个人的感情。"
