"en","zh"
"After this, it rained very hard, which wetted them to the skin; their feet slipped at every step they took, and they fell into the mire, whence they got up in a very dirty pickle; their hands were quite benumbed.","","接着，天空下起了大雨，他们里里外外都湿了个透。他们每走一步，都会滑倒在泥潭里，然后又满身污泥地爬起来再走。他们的双手都冻僵了。"
"Little Thumb climbed up to the top of a tree, to see if he could discover anything; and having turned his head about on every side, he saw at last a glimmering light, like that of a candle, but a long way from the forest.","","小拇指爬上树顶，想看看能否发现什么。他向四周张望，终于看到了一丝烛光般的微弱光亮，但那光亮在离森林很远的地方。"
"He came down, and, when upon the ground, he could see it no more, which grieved him sadly.","","他从树上下来，回到地面上，亮光却一点儿都看不见了，这让他非常难过。"
"However, having walked for some time with his brothers toward that side on which he had seen the light, he perceived it again as he came out of the wood.","","然而，他和哥哥们朝着看见光亮的方向走了一段时间后，就在走出森林的时候又看到了那亮光。"
"They came at last to the house where this candle was, not without an abundance of fear: for very often they lost sight of it, which happened every time they came into a bottom.","","他们惴惴不安地来到那间亮着烛光的屋子，因为每次他们想一探究竟的时候，却又常常看不到那烛光了。"
"They knocked at the door, and a good woman came and opened it; she asked them what they would have.","","他们敲了敲门，一位善良的女人走出来开门。她问他们来干什么。"
"Little Thumb told her they were poor children who had been lost in the forest, and desired to lodge there for God’s sake.","","小拇指告诉她说，他们是在森林里迷了路的可怜孩子，希望她能看在上帝的份上让他们在此借宿。"
"The woman, seeing them so very pretty, began to weep, and said to them:","","女人看孩子们那么可爱，便开始抽泣起来，然后对他们说："
"“Alas! poor babies; whither are ye come?","","“唉！可怜的孩子们，你们为什么会到这里来？"
"Do ye know that this house belongs to a cruel ogre who eats up little children?”","","你们知不知道这屋子的主人是一个吃小孩的残忍妖怪？”"
"“Ah! dear madam,” answered Little Thumb (who trembled every joint of him, as well as his brothers), “what shall we do?","","“哦！亲爱的夫人，”小拇指一边说着，一边和哥哥们一样浑身发抖，“那我们该怎么办？"
"To be sure the wolves of the forest will devour us to-night if you refuse us to lie here; and so we would rather the gentleman should eat us; and perhaps he may take pity upon us, especially if you please to beg it of him.”","","如果今晚你不让我们在这里借宿，森林里的狼肯定会吃了我们的。要是这样，我们宁愿被那位先生吃掉。而且，说不定他会可怜我们的，要是你能为我们求求情的话，就更有希望了。”"
"The Ogre’s wife, who believed she could conceal them from her husband till morning, let them come in, and brought them to warm themselves at a very good fire; for there was a whole sheep upon the spit, roasting for the Ogre’s supper.","","妖怪的妻子认为自己能把他们藏好，不会让妖怪在第二天早上以前察觉，便叫他们进了屋，还让他们到一个烧得很旺的炉火旁取暖。炉火上有一整只用烤肉叉子穿起的羊，那是烤给妖怪的晚餐。"
"As they began to be a little warm they heard three or four great raps at the door; this was the Ogre, who had come home.","","正当他们开始感到有些暖和的时候，他们听到三四声重重的敲门声。妖怪回来了。"
"Upon this she hid them under the bed and went to open the door.","","于是，她把孩子们藏到床底下，然后去开门。"
"The Ogre presently asked if supper was ready and the wine drawn, and then sat himself down to table.","","不一会儿，妖怪问晚餐是否做好了，酒是否准备好了，便坐到了桌子旁。"
"The sheep was as yet all raw and bloody; but he liked it the better for that.","","那头羊还全是生的，血淋淋的样子，但这似乎更符合他的口味。"
"He sniffed about to the right and left, saying:","","他东闻闻，西嗅嗅，说道："
"“I smell fresh meat.”","","“我闻到了鲜肉的味道。”"
"“What you smell so,” said his wife, “must be the calf which I have just now killed and flayed.”","","“怎么会呢？”他妻子说道，“肯定是那头我刚刚才宰完、剥了皮的小牛的味道。”"
"“I smell fresh meat, I tell thee once more,” replied the Ogre, looking crossly at his wife; “and there is something here which I do not understand.”","","“再和你说一遍，我闻到了鲜肉的味道，”妖怪愤怒地看着妻子说，“家里肯定瞒着我藏了什么东西。”"
"As he spoke these words he got up from the table and went directly to the bed.","","他一边说，一边从桌子旁站起来，然后径直朝床的方向走去。"
"“Ah, ah!” said he; “I see then how thou wouldst cheat me, thou cursed woman; I know not why I do not eat thee up too, but it is well for thee that thou art a tough old carrion.","","“哈，哈！”他说道，“我看你居然敢骗我，你这该死的女人。我不明白为什么我没把你一起吃了，真是便宜你了，你这老不死的。"
"Here is good game, which comes very quickly to entertain three ogres of my acquaintance who are to pay me a visit in a day or two.”","","这真不错，很快我就可以用他们来款待过几天要来拜访我的几个老朋友了。”"
"With that he dragged them out from under the bed one by one.","","于是，妖怪把孩子们从床下一个接一个地拽了出来。"
"The poor children fell upon their knees, and begged his pardon; but they had to do with one of the most cruel ogres in the world, who, far from having any pity on them, had already devoured them with his eyes, and told his wife they would be delicate eating when tossed up with good savory sauce.","","可怜的孩子们跪下求饶，但是，对方是世界上最残忍的妖怪之一。他没有一点儿可怜他们的意思，反而两眼露出杀气。他还告诉妻子说，如果能配上一些好的调料，那将是一顿美味佳肴。"
"He then took a great knife, and, coming up to these poor children, whetted it upon a great whet-stone which he held in his left hand.","","然后他右手拿着一把大刀，左手拿着磨刀石，磨刀霍霍地朝可怜的孩子们走去。"
"He had already taken hold of one of them when his wife said to him:","","他抓住了一个孩子，这时，他妻子对他说："
"“Why need you do it now?","","“为什么要现在杀他们呢？"
"Is it not time enough to-morrow?”","","明天再杀不是也来得及吗？”"
"“Hold your prating,” said the Ogre; “they will eat the tenderer.","","“闭嘴，”妖怪说道，“现在宰了他们，明天吃起来，肉就更嫩了。”"
"“But you have so much meat already,” replied his wife, “you have no occasion; here are a calf, two sheep, and half a hog.”","","“可你还有那么多没吃完的肉呢，”他妻子回答道，“你没有理由这样做。这儿还有一头小牛、两只绵羊和半头猪呢。”"
"“That is true,” said the Ogre; “give them their belly full that they may not fall away, and put them to bed.”","","“那倒也是，”妖怪说，“那就让他们吃饱肚子，免得饿瘦了，然后叫他们去睡觉。”"
"The good woman was overjoyed at this, and gave them a good supper; but they were so much afraid they could not eat a bit.","","好心的女人听他这么一说，高兴极了，就去给小男孩们准备了丰盛的晚餐。但他们实在太害怕，一口也吃不下。"
"As for the Ogre, he sat down again to drink, being highly pleased that he had got wherewithal to treat his friends.","","妖怪再次重新坐下来喝酒。能有这样的好东西招待朋友，他可高兴了。"
"He drank a dozen glasses more than ordinary, which got up into his head and obliged him to go to bed.","","他比平时多喝了十几杯，喝得头晕晕乎乎的，便只好上床睡觉了。"
"The Ogre had seven daughters, all little children, and these young ogresses had all of them very fine complexions, because they used to eat fresh meat like their father; but they had little gray eyes, quite round, hooked noses, and very long sharp teeth, standing at a good distance from each other.","","妖怪有七个女儿，都是小孩子。这些年轻的女妖气色都相当好，因为她们和爸爸一样，经常吃生肉。但她们却有着很圆的灰色小眼睛、钩鼻子和长长的尖牙齿，牙齿缝隙还很大。"
"They were not as yet over and above mischievous, but they promised very fair for it, for they had already bitten little children, that they might suck their blood.","","她们目前还不算凶狠，但可能朝这个方向发展，因为她们已经咬过一些小孩，可能还吸过他们的血了。"
"They had been put to bed early, with every one a crown of gold upon her head.","","她们早早被安顿到床上睡觉了，每人头上戴着一顶金冠。"
"There was in the same chamber a bed of the like bigness, and it was into this bed the Ogre’s wife put the seven little boys, after which she went to bed to her husband.","","她们的房间有两张大小相仿的床，妖怪妻子把七个小男孩安顿在了另一张床上。然后，她就和丈夫上床睡觉了。"
"Little Thumb, who had observed that the Ogre’s daughters had crowns of gold upon their heads, and was afraid lest the Ogre should repent his not killing them, got up about midnight, and, taking his brothers’ bonnets and his own, went very softly and put them upon the heads of the seven little ogresses, after having taken off their crowns of gold, which he put upon his own head and his brothers’, that the Ogre might take them for his daughters, and his daughters for the little boys whom he wanted to kill.","","小拇指注意到妖怪的女儿们头上戴着金冠，他还担心妖怪会后悔没有杀死他们，于是他半夜起来，摘下自己和哥哥们的软布帽，轻轻走到小妖怪们的床前，摘下了她们的金冠，把自己和哥哥们的软布帽戴到她们头上，再把七顶金冠戴到自己和哥哥们的头上。这样，妖精就会把他们当成自己的女儿，而把他自己的女儿当成他想杀的七个小男孩了。"
"All this succeeded according to his desire; for, the Ogre waking about midnight, and sorry that he deferred to do that till morning which he might have done over-night, threw himself hastily out of bed, and, taking his great knife,","","果然一切不出所料。妖怪半夜醒来，懊悔原本可以连夜完成的事却要拖到第二天早上，于是急忙从床上起来，抡起了他的大刀。"
"“Let us see,” said he, “how our little rogues do, and not make two jobs of the matter.”","","“让我们去看看，”他说道，“我那几个小畜生怎么样了。别再犹豫不决了。”"
"He then went up, groping all the way, into his daughters’ chamber, and, coming to the bed where the little boys lay, and who were every soul of them fast asleep, except Little Thumb, who was terribly afraid when he found the Ogre fumbling about his head, as he had done about his brothers’, the Ogre, feeling the golden crowns, said:","","于是，他上了楼，摸索着来到他女儿们的房间，走到了小男孩们睡的床跟前。他们都睡熟了，只有小拇指还醒着。妖怪像摸哥哥们的头那样摸了摸小拇指的头，这让他害怕极了。妖怪一摸到金冠就说："
"“I should have made a fine piece of work of it, truly; I find I drank too much last night.”","","“我确实差点儿闯下大祸了。看来昨晚我真是喝多了。”"
"Then he went to the bed where the girls lay; and, having found the boys’ little bonnets,","","然后他走到女孩们睡的床前，摸到了男孩们的小软布帽。"
"“Ah!” said he, “my merry lads, are you there?","","“哈哈！”他说道，“我快乐的小伙子们，原来你们在这里呀？"
"Let us work as we ought.”","","那让我们做该做的事情吧。”"
"And saying these words, without more ado, he cut the throats of all his seven daughters.","","说完，妖怪就干脆地把他七个女儿的喉咙给割断了。"
"Well pleased with what he had done, he went to bed again to his wife.","","干完这件事，他很满意，便又回到床上睡觉去了。"
"So soon as Little Thumb heard the Ogre snore, he waked his brothers, and bade them all put on their clothes presently and follow him.","","一听到妖怪的呼噜声，小拇指便叫醒哥哥们，叫他们赶快穿好衣服跟他走。"
"They stole down softly into the garden, and got over the wall.","","他们蹑手蹑脚走到花园，翻墙而去。"
"They kept running about all night, and trembled all the while, without knowing which way they went.","","整个晚上他们一直跑啊跑，始终在发抖，他们都不知道跑到了什么地方。"
"The Ogre, when he awoke, said to his wife: “Go upstairs and dress those young rascals who came here last night.”","","妖怪醒来后，对妻子说：“上楼去，处理一下昨晚来这儿的那帮小畜生。”"
"The wife was very much surprised at this goodness of her husband, not dreaming after what manner she should dress them; but, thinking that he had ordered her to go and put on their clothes, she went up, and was strangely astonished when she perceived her seven daughters killed, and weltering in their blood.","","妻子对丈夫这次的好心感到特别惊讶，她没有想到这是让她去处理那些孩子，而是以为丈夫吩咐她去给他们穿衣服。于是她上了楼，只见七个女儿倒在了血泊中，已经死了。她感到莫名地惊恐。"
"She fainted away, for this is the first expedient almost all women find in such cases.","","她晕了过去，几乎所有女人遇到这种情况都会先晕过去的。"
"The Ogre, fearing his wife would be too long in doing what he had ordered, went up himself to help her.","","妖怪担心妻子一个人干得太慢，便亲自上楼去帮她。"
"He was no less amazed than his wife at this frightful spectacle.","","他看到这种恐怖的场面，惊讶的程度丝毫不低于他的妻子。"
"“Ah! what have I done?” cried he.","","“啊！我都干了些什么？”他大叫道，"
"“The wretches shall pay for it, and that instantly.”","","“那帮小混蛋会为此付出代价的，马上就会。”"
"He threw a pitcher of water upon his wife’s face, and, having brought her to herself, said:","","他把一壶水往妻子脸上一浇，等她醒过来后，他说："
"“Give me quickly my boots of seven leagues, that I may go and catch them.”","","“把我的七里靴拿来，我好去把他们抓回来。”"
"He went out, and, having run over a vast deal of ground, both on this side and that, he came at last into the very road where the poor children were, and not above a hundred paces from their father’s house.","","于是他出发了，四面八方跑了一阵后，最终追到了可怜的孩子们走的那条路上。那里离孩子们的家不超过一百步路了。"
"They espied the Ogre, who went at one step from mountain to mountain, and over rivers as easily as the narrowest kennels.","","他们发现了妖怪。那个妖怪一步就能翻过一座大山，越过大河也像跨最窄的阴沟那么容易。"
"Little Thumb, seeing a hollow rock near the place where they were, made his brothers hide themselves in it, and crowded into it himself, minding always what would become of the Ogre.","","小拇指发现离他们不远的地方有一个岩洞，便叫哥哥们都躲在里面，他自己也挤了进去，并始终观察着妖怪的动静。"
"The Ogre, who found himself much tired with his long and fruitless journey (for these boots of seven leagues greatly fatigued the wearer), had a great mind to rest himself, and, by chance, went to sit down upon the rock where the little boys had hid themselves.","","妖怪走了那么长的冤枉路，感到很累（因为穿着七里靴走路是很累的），特别想休息一会儿。凑巧的是，他坐在了小男孩们藏身的那块岩石上。"
"As it was impossible he could be more weary than he was, he fell asleep, and, after reposing himself some time, began to snore so frightfully that the poor children were no less afraid of him than when he held up his great knife and was going to cut their throats.","","他累到了极点，很快就睡着了，不一会儿，还打起了呼噜。他如雷的鼾声吓到了可怜的孩子们，就像当初他举起大刀要割断他们的喉咙时一样害怕。"
"Little Thumb was not so much frightened as his brothers, and told them that they should run away immediately toward home while the Ogre was asleep so soundly, and that they should not be in any pain about him.","","小拇指没像哥哥们那样害怕，他告诉哥哥们趁妖怪正熟睡赶紧跑回家，还告诉他们不必为他担心。"
"They took his advice, and got home presently.","","他们听了他的话，很快回到了家里。"
"Little Thumb came up to the Ogre, pulled off his boots gently and put them on his own legs.","","小拇指走近妖怪，轻轻脱下他的靴子，然后穿在了自己脚上。"
"The boots were very long and large, but, as they were fairies, they had the gift of becoming big and little, according to the legs of those who wore them; so that they fitted his feet and legs as well as if they had been made on purpose for him.","","这靴子原本是很长很大的，但因为它是魔靴，能随着穿靴者的腿脚变大或变小，所以小拇指穿上它大小刚好，就像是为他量身定做的一样。"
"He went immediately to the Ogre’s house, where he saw his wife crying bitterly for the loss of the Ogre’s murdered daughters.","","他立马就去了妖怪家里，看到妖怪妻子正在为妖怪亲手杀死的女儿哭得很伤心。"
"“Your husband,” said Little Thumb, “is in very great danger, being taken by a gang of thieves, who have sworn to kill him if he does not give them all his gold and silver.","","“你丈夫，”小拇指说道，“遇到大危险了。他被一帮强盗带走了，他们扬言说，他如果不交出他所有的金银，他们就要杀死他。"
"The very moment they held their daggers at his throat he perceived me, and desired me to come and tell you the condition he is in, and that you should give me whatsoever he has of value, without retaining any one thing; for otherwise they will kill him without mercy; and, as his case is very pressing, he desired me to make use (you see I have them on) of his boots, that I might make the more haste and to show you that I do not impose upon you.”","","就在强盗们举起匕首要杀他的时候，他看见了我，求我来告诉你他的处境，还让你把他所有值钱的东西都交给我，一件也不能留，要不然，他们就会毫不留情地杀死他。另外，由于情况紧急，他让我穿上他的靴子（你看，靴子正在我脚上），这样我就可以快点儿赶来，而且这也说明我没有骗你。”"
"The good woman, being sadly frightened, gave him all she had: for this Ogre was a very good husband, though he used to eat up little children.","","这位善良的女人被吓得胆战心惊，把她所有的东西都交给了小拇指。那妖怪虽说吃了不少小孩，但也是位好丈夫。"
"Little Thumb, having thus got all the Ogre’s money, came home to his father’s house, where he was received with abundance of joy.","","小拇指拿到了妖怪所有的钱财，回到家里，家人欢欣鼓舞地迎接了他。"
"There are many people who do not agree in this circumstance, and pretend that Little Thumb never robbed the Ogre at all, and that he only thought he might very justly, and with a safe conscience, take off his boots of seven leagues, because he made no other use of them but to run after little children.","","很多人对小拇指的经历不以为然，他们不承认小拇指抢夺过妖怪的财宝，还说他只是出于安全的考虑且自认为非常正义才脱下了妖怪的七里靴，因为这双靴子妖怪除了用来追小孩，别无他用。"
"These folks affirm that they are very well assured of this, and the more as having drunk and eaten often at the fagot-maker’s house.","","这些人肯定地说他们都非常相信这一点，而且随着他们经常在樵夫家里喝酒吃饭，对此就更加确信了。"
"They aver that when Little Thumb had taken off the Ogre’s boots he went to Court, where he was informed that they were very much in pain about a certain army, which was two hundred leagues off, and the success of a battle.","","他们声称小拇指脱掉妖怪的靴子后去了王宫觐见，在那里，他了解到王宫里现在很担心两百里之外的军队的安危以及战事的胜败。"
"He went, say they, to the King, and told him that, if he desired it, he would bring him news from the army before night.","","他们说，他去了以后就跟国王说，如果国王需要，他愿意天黑前向国王禀告军队的战况。"
"The King promised him a great sum of money upon that condition.","","国王承诺说，如果小拇指真能做到这一点，将奖励他一大笔钱财。"
"Little Thumb was as good as his word, and returned that very same night with the news; and, this first expedition causing him to be known, he got whatever he pleased, for the King paid him very well for carrying his orders to the army.","","小拇指实现了自己的诺言，当晚就带回了消息。他第一次报信就让他出了名，他得到了他想要的任何东西，因为他把国王的指令传达给了军队，国王对他大加奖赏。"
"After having for some time carried on the business of a messenger, and gained thereby great wealth, he went home to his father, where it was impossible to express the joy they were all in at his return.","","他就这样做了几次信使，也因此获得了大笔财富。之后他回到了自己的家，全家人对他的归来都高兴得无以言表。"
"He made the whole family very easy, bought places for his father and brothers, and, by that means, settled them very handsomely in the world, and, in the meantime, made his court to perfection. [1]","","他让整个家庭过得很舒适，还为爸爸和哥哥们买了房子，他们也因此过上了很体面的生活，同时，他也使他的庭院变得完美。[1]"
"[1]Charles Perrault.","","[1]夏尔·佩罗"

