"en","zh"
"He had an income of eighteen thousand livres from land in the valley of the Auge; and sooner or later his father, as in duty bound, would leave him the chateau of Manerville, with the lands thereunto belonging.","他在奥日谷地有着一万八千里弗赫的年地租收入；他的父亲早晚得遗留给他玛奈维尔古堡以及那里其他的附属田地。"
"As for his education, political career, personal qualities, and qualifications—no one so much as thought of raising the questions.","至于他所受的教育、政治生涯、个人品行以及才能——没有人会对此提出任何异议。"
"His land was undeniable, his rentals steady; excellent plantations had been made; the tenants paid for repairs, rates, and taxes; the apple-trees were thirty-eight years old; and, to crown all, his father was in treaty for two hundred acres of woodland just outside the paternal park, which he intended to enclose with walls.","他的土地肥沃，租金收入稳定；已开拓出优良的农场，佃户承担其维修、费用和捐税；苹果树已种植了38年；尤其是他的父亲还在谈一笔生意，他打算买下同他所继承的庭园相连的那两百英亩森林，并圈起围墙。"
"No hopes of a political career, no fame on earth, can compare with such advantages as these.","这样的优势是任何政治前途、任何在人间的名望都无法与之媲美的。"
"Whether out of malice or design, Mme. de Sainte-Severe omitted to mention that Gaston had an elder brother; nor did Gaston himself say a word about him.","不知是出于恶意还是另有图谋，圣赛韦尔夫人避而不谈加斯东有个哥哥的事；加斯东自己对此也只字不提。"
"But, at the same time, it is true that the brother was consumptive, and to all appearance would shortly be laid in earth, lamented and forgotten.","可虽说如此，这位哥哥的确是患了肺病，似乎不久就要被埋葬、哀悼和遗忘了。"
"At first Gaston de Nueil amused himself at the expense of the circle.","加斯东·德纽埃尔拿这个圈子当消遣。"
"He drew, as it were, for his mental album, a series of portraits of these folk, with their angular, wrinkled faces, and hooked noses, their crotchets and ludicrous eccentricities of dress, portraits which possessed all the racy flavor of truth.","可以说，他在脑子里都给这些家伙画了一系列肖像：棱角分明、布满皱纹的脸，鹰钩鼻、胸针、滑稽古怪的装束。这些肖像真是惟妙惟肖。"
"He delighted in their “Normanisms,” in the primitive quaintness of their ideas and characters.","他喜欢这些人的“诺曼底式”表达，非常喜欢他们守旧的观念和粗野的性格。"
"For a short time he flung himself into their squirrel’s life of busy gyrations in a cage.","他很快就习惯了这种像松鼠在笼中不停打转似的生活。"
"Then he began to feel the want of variety, and grew tired of it.","不久，他又感到这生活缺少变化，于是慢慢厌烦起来。"
"It was like the life of the cloister, cut short before it had well begun.","这就好比修道院里的生活，还没好好开始便已经中断了。"
"He drifted on till he reached a crisis, which is neither spleen nor disgust, but combines all the symptoms of both.","他就这么一天天过着，直到发现自己陷入危机，这危机既非怨恨也非厌恶，但兼具两者的症状。"
"When a human being is transplanted into an uncongenial soil, to lead a starved, stunted existence, there is always a little discomfort over the transition.","当一个人被移植到一块与其志趣不投的土壤中，去过一种挨饿、成长受阻的生活时，这种转变总会带来点儿轻微的痛苦。"
"Then, gradually, if nothing removes him from his surroundings, he grows accustomed to them, and adapts himself to the vacuity which grows upon him and renders him powerless.","然后，慢慢地，如果没有什么东西将他从周围环境中拉走，他就会变得习惯这样的生活，适应这样的空虚，而这种空虚会侵蚀他，使他变得无力。"
"Even now, Gaston’s lungs were accustomed to the air; and he was willing to discern a kind of vegetable happiness in days that brought no mental exertion and no responsibilities.","尽管这样，加斯东的肺部已经习惯了这种空气；他在这种无所用心和无所事事的日子里欣然领悟到了一种单调呆板的幸福。"
"The constant stirring of the sap of life, the fertilizing influences of mind on mind, after which he had sought so eagerly in Paris, were beginning to fade from his memory, and he was in a fair way of becoming a fossil with these fossils, and ending his days among them, content, like the companions of Ulysses, in his gross envelope.","他在巴黎热切追寻的那种生命活力的不停骚动，像肥料一样助他成长的思想碰撞的东西，开始在他记忆里慢慢褪色了，他很有可能会变成这堆化石中的一块，然后像尤利塞斯的同伴们一样，被臃肿的皮囊包裹着，心满意足地死在这堆人中间。"

"One evening Gaston de Nueil was seated between a dowager and one of the vicars-general of the diocese, in a gray-paneled drawing-room, floored with large white tiles.","一天晚上，在一间镶着灰色壁砖的客厅里，加斯东·德纽埃尔坐在一位贵妇遗孀和一位主教教区的牧师中间，客厅的地上铺着白色的大瓷砖。"
"The family portraits which adorned the walls looked down upon four card-tables, and some sixteen persons gathered about them, chattering over their whist.","墙上挂着家族成员的肖像画，画里的人仿佛在看着下方摆着的四把牌桌，有大约16个人围坐在一起，他们边聊天边打着惠斯特纸牌。"
"Gaston, thinking of nothing, digesting one of those exquisite dinners to which the provincial looks forward all through the day, found himself justifying the customs of the country.","加斯东什么也不想，消化着吃下去的精致晚餐，这晚餐可是外省人期盼了一整天的，他发现自己已经认同了当地的风俗习惯。"
"He began to understand why these good folk continued to play with yesterday’s pack of cards and shuffle them on a threadbare tablecloth, and how it was that they had ceased to dress for themselves or others.","他开始理解为什么这些人继续玩昨天的旧纸牌，而且在同一张破旧的桌布上洗牌以及他们是如何停止打扮的，既不为自己也不为别人。"
"He saw the glimmerings of something like a philosophy in the even tenor of their perpetual round, in the calm of their methodical monotony, in their ignorance of the refinements of luxury.","在他们永远循环往复的平静生活里，在他们面对有条理的单调时的那种镇静里，在他们对奢侈高雅的一无所知里，他看到了一种像哲学一样的东西在闪着光。"

"Indeed, he almost came to think that luxury profited nothing; and even now, the city of Paris, with its passions, storms, and pleasures, was scarcely more than a memory of childhood.","的确，他几乎开始认为奢华生活是毫无益处的；甚至那满是激情、风暴和快乐的巴黎城，此时对他来说也只跟童年记忆差不多。"
"He admired in all sincerity the red hands, and shy, bashful manner of some young lady who at first struck him as an awkward simpleton, unattractive to the last degree, and surprisingly ridiculous."
"他真心实意地赞美一个年轻姑娘红润的双手和害羞忸怩的姿态，而初次见面时，他觉得这个姑娘一脸蠢相，毫无魅力可言，可笑至极。"
"His doom was sealed.","他无药可救了。"
"He had gone from the provinces to Paris; he had led the feverish life of Paris; and now he would have sunk back into the lifeless life of the provinces, but for a chance remark which reached his ear—a few words that called up a swift rush of such emotion as he might have felt when a strain of really good music mingles with the accompaniment of some tedious opera.","他以前从外省去过巴黎，在巴黎过着令他兴奋的生活；而如今，要是没有那么偶尔的几句话——几句能让他突然激动起来的话，这些话就像在一出沉闷歌剧的伴奏中突然迸出的一段非常优美的乐曲，让他兴奋不已。"


"“You went to call on Mme. de Beauseant yesterday, did you not?” ","“你昨天不是去拜访过德鲍赛昂夫人吗？”"
"The speaker was an elderly lady, and she addressed the head of the local royal family.","说话的是一位老太太，她在问当地的一位王室家族的主人。"
"“I went this morning.","“我今天早晨去了。"
"She was so poorly and depressed, that I could not persuade her to dine with us to-morrow.”","她身体不好，郁郁寡欢，所以我无法劝她明天来和我们一起吃饭。”"
"“With Mme. de Champignelles?” exclaimed the dowager with something like astonishment in her manner.","“是和德尚皮涅勒夫人一起去的吗？”贵妇遗孀大声问道，脸上露出惊讶的神色。"
"“With my wife,” calmly assented the noble.","“和我妻子一起，”这位贵族平静地回答道，"
"“Mme. de Beauseant is descended from the House of Burgundy, on the spindle side, ’tis true, but the name atones for everything.","“德鲍赛昂夫人是勃艮第家族的人，虽然只是娘家亲戚，可是这个姓已足以洗刷一切了。"
"My wife is very much attached to the Vicomtesse, and the poor lady has lived alone for such a long while, that—”","我妻子很喜欢这位子爵夫人，况且这位可怜的夫人独自一人生活了这么长时间，——”"
"The Marquis de Champignelles looked round about him while he spoke with an air of cool unconcern, so that it was almost impossible to guess whether he made a concession to Mme. de Beauseant’s misfortunes, or paid homage to her noble birth; whether he felt flattered to receive her in his house, or, on the contrary, sheer pride was the motive that led him to try to force the country families to meet the Vicomtesse.","德尚皮涅勒侯爵用漠不关心的冷酷神情环顾周围听他说话的人，因此几乎不可能猜出他所作出的让步是出于同情德鲍赛昂夫人的不幸遭遇呢，还是对她的贵族身份表示敬意；也不知道他是以接待她为荣呢，还是与此相反，只是出于傲慢的自尊心，试图强迫当地的贵族家庭去接见她。"
"The women appeared to take counsel of each other by a glance; there was a sudden silence in the room, and it was felt that their attitude was one of disapproval.","在场的贵妇们面面相觑，似乎在商量着什么；房间里突然安静下来，她们的态度看来是不同意。"
"“Does this Mme. de Beauseant happen to be the lady whose adventure with M. d’Ajuda-Pinto made so much noise?” asked Gaston of his neighbor.","“这位德鲍赛昂夫人不会是和阿瞿达—平托先生恋爱而闹得沸沸扬扬的那位贵妇吧？”加斯东问旁边一位女客。"
"“The very same,” he was told.","“正是，”女客回答，"
"“She came to Courcelles after the marriage of the Marquis d’Ajuda; nobody visits her.","“自从阿瞿达侯爵结婚以后，她就来到了库尔塞勒；没有人拜访她。"
"She has, besides, too much sense not to see that she is in a false position, so she has made no attempt to see any one.","而且，她很聪明，不可能不知道她的艰难处境，因此，她也从不拜访任何人。"
"M. de Champignelles and a few gentlemen went to call upon her, but she would see no one but M. de Champignelles, perhaps because he is a connection of the family.","德尚皮涅勒先生和几位别的先生曾经拜访过她那里，不过她只接见了德尚皮涅勒先生，也许因为他们是亲戚吧。"
"They are related through the Beauseants; the father of the present Vicomte married a Mlle. de Champignelles of the older branch.","他们和鲍赛昂家庭有姻亲关系，老鲍赛昂娶过一位尚皮涅勒家长房的一位小姐。"
"But though the Vicomtesse de Beauseant is supposed to be a descendant of the House of Burgundy, you can understand that we could not admit a wife separated from her husband into our society here.","不过，虽说德鲍赛昂子爵夫人被认为是勃艮第家族的后代，你也该知道我们在这儿是不可能接受一位同丈夫分居的女人的。"
"We are foolish enough still to cling to these old-fashioned ideas.","我们很笨，还保持着这种旧观念。"
"There was the less excuse for the Vicomtesse, because M. de Beauseant is a well-bred man of the world, who would have been quite ready to listen to reason.","这都是子爵夫人的错，因为德鲍赛昂先生是一位有教养的绅士，他一定会很讲道理。"
"But his wife is quite mad—” and so forth and so forth.","但他的妻子是个疯子——”等等。"
"M. de Nueil, still listening to the speaker’s voice, gathered nothing of the sense of the words; his brain was too full of thick-coming fancies.","德纽埃尔先生虽然仍在听着女客的讲话，但全然不知道她在说些什么；他满脑子都是想入非非的念头。"
"Fancies?","幻想？"
"What other name can you give to the alluring charms of an adventure that tempts the imagination and sets vague hopes springing up in the soul; to the sense of coming events and mysterious felicity and fear at hand, while as yet there is no substance of fact on which these phantoms of caprice can fix and feed?","现在艳遇正在向他的想象力微笑招手，灵魂正在孕育着渺茫的希望；他正预感到这即将到来的不可名状的幸福和恐惧，虽然没有什么东西可以向这些变化无常的幻想提供依据，固定下来，可是还能用什么样的语言来形容这种诱惑的魔力呢？"
"Over these fancies thought hovers, conceiving impossible projects, giving in the germ all the joys of love.","这些心思飞到天外，萌生出很多不切实际的计划，爱情的幸福正在萌芽。"
"Perhaps, indeed, all passion is contained in that thought-germ, as the beauty, and fragrance, and rich color of the flower is all packed in the seed.","也许这全部的爱情被包括在思想的萌芽里，就像花朵的美丽、芬芳、艳丽都包含在种子里一样。"
"M. de Nueil did not know that Mme. de Beauseant had taken refuge in Normandy, after a notoriety which women for the most part envy and condemn, especially when youth and beauty in some sort excuse the transgression.","德纽埃尔先生根本就不知道德鲍赛昂夫人来诺曼底避难是由于她经历过一件被大多数女人嫉妒而又谴责的丑闻事件，尤其是当青春和美貌可以为这种过错开脱理由时。"
"Any sort of celebrity bestows an inconceivable prestige.","任何一种名声都会带来令人无法想象的声望。"
"Apparently for women, as for families, the glory of the crime effaces the stain; and if such and such a noble house is proud of its tale of heads that have fallen on the scaffold, a young and pretty woman becomes more interesting for the dubious renown of a happy love or a scandalous desertion, and the more she is to be pitied, the more she excites our sympathies.","显然对于妇女而言，就像家庭一样，罪恶的光荣可以抹掉耻辱；一个家族可以拿自己的族人被砍了多少首级而引以为荣，一位年轻美貌的女子可以因为幸福的爱或者可耻的遗弃而获得可疑的名声，也就变得更加让人着迷，她越是叫人怜悯，就越是能引起人们的同情。"
"We are only pitiless to the commonplace.","我们只对平凡的事物毫不留情。"
"If, moreover, we attract all eyes, we are to all intents and purposes great; how, indeed, are we to be seen unless we raise ourselves above other people’s heads?","况且，我们能够吸引别人的眼光，那么实际上我们就会在别人眼中显得伟大；的确，除了使自己高人一等，我们还能如何让自己得到关注呢？"
"The common herd of humanity feels an involuntary respect for any person who can rise above it, and is not over-particular as to the means by which they rise.","普通人本能地尊敬任何高于他们的人，而不会去关注这些人是用什么方法爬上去的。"
"It may have been that some such motives influenced Gaston de Nueil at unawares, or perhaps it was curiosity, or a craving for some interest in his life, or, in a word, that crowd of inexplicable impulses which, for want of a better name, we are wont to call “fatality,” that drew him to Mme. de Beauseant.","可能是受到上述因素的暗中影响，或者是出于好奇，或者是一种要在生活中寻求乐趣的渴望，或者简单地说，是那些一大堆不可名状的冲动和想法，无法说得清楚，我们通常只能用“命中注定”来解释是什么将他一步步推向德鲍赛昂夫人的。"
"The figure of the Vicomtesse de Beauseant rose up suddenly before him with gracious thronging associations.","子爵夫人的形象忽地出现在他的眼前，还带着一串串亲和高雅的形象。"
"She was a new world for him, a world of fears and hopes, a world to fight for and to conquer.","对他而言，她就是一个新世界，一个充满恐惧和希望的世界，一个值得他去奋斗、去征服的世界。"
"Inevitably he felt the contrast between this vision and the human beings in the shabby room; and then, in truth, she was a woman; what woman had he seen so far in this dull, little world, where calculation replaced thought and feeling, where courtesy was a cut-and-dried formality, and ideas of the very simplest were too alarming to be received or to pass current?","不可避免地，他觉得她与这个庸俗的客厅里的人们形成了鲜明的对比；的确，她是一个女人；他在这个无趣而狭小的世界里，他见到过这样的女人吗？这个世界里，算计代替了思想和感觉，礼貌仅仅是一种俗套，连最简单的见解都带有伤害的成分，既不能被接受也不能被传播。"
"The sound of Mme. de Beauseant’s name revived a young man’s dreams and wakened urgent desires that had lain dormant for a little.","德鲍赛昂夫人的名字唤起了这位年轻小伙子的梦想，也激起了他那曾一度蛰伏的强烈愿望。"
"Gaston de Nueil was absent-minded and preoccupied for the rest of the evening.","加斯东·德纽埃尔一晚上都心不在焉，夜不能寐。"
"He was pondering how he might gain access to Mme. de Beauseant, and truly it was no very easy matter.","他一直在思忖如何接近德鲍赛昂夫人，这的确不是一件容易的事。"
"She was believed to be extremely clever.","据说她聪明绝顶。"
"But if men and women of parts may be captivated by something subtle or eccentric, they are also exacting, and can read all that lies below the surface; and after the first step has been taken, the chances of failure and success in the difficult task of pleasing them are about even.","即便多才多艺的男男女女能够受到微妙或者新奇的事物吸引的话，他们也是要求苛刻的，并且善于看穿谎言；一旦采取得了第一步行动，那么失败或成功取悦他们的机会各占一半。"
"In this particular case, moreover, the Vicomtesse, besides the pride of her position, had all the dignity of her name.","何况这位子爵夫人除了姿态高傲之外，还拥有尊贵的姓氏。"
"Her utter seclusion was the least of the barriers raised between her and the world.","她完全的离群索居是她与外面的世界之间最微不足道的一堵墙。"
