"en","zh"
"‘If she wants me she can find me here.","“如果她需要我，她会来这儿找我的。"
"But I have done with the wood for ever.’","我已经受够了跟木头打交道了。”"
"‘My dear husband, grief has driven you mad!","“亲爱的，你是被不幸逼疯了！"
"Do you think Fortune will come to anybody who does not go after her?","你觉得命运女神会去光顾那些不去追逐她的人吗？"
"Dress yourself, and saddle the mules, and begin your work.","穿上衣服，套上骡子，开始干活儿吧。"
"Do you know that there is not a morsel of bread in the house?’","你知道家里已经没有面包了吗？”"
"‘I don’t care if there isn’t, and I am not going to the forest.","“我才不管有没有面包了，我不会去森林里的。"
"It is no use your talking; nothing will make me change my mind.’","你怎么说都没用，没什么能让我改变主意。”"
"The distracted wife begged and implored in vain; her husband persisted in staying in bed, and at last, in despair, she left him and went back to her work.","忧心的妻子祈求无果，樵夫坚持在床上躺着。最后妻子绝望了，继续干自己的活儿去了。"
"An hour or two later a man from the nearest village knocked at her door, and when she opened it, he said to her: ‘Good-morning, mother.","几个小时后，邻村的一个人过来敲门，当樵夫的妻子打开门后，那人说：“早上好，夫人。"
"I have got a job to do, and I want to know if your husband will lend me your mules, as I see he is not using them, and can lend me a hand himself?’","我找了个活儿，我想知道你丈夫能不能把骡子借我用一下，还有他能不能帮我一起干？”"
"‘He is upstairs; you had better ask him,’ answered the woman.","“他在楼上，你最好亲自问问他。”樵夫的妻子答道。"
"And the man went up, and repeated his request.","那人就上了楼，把他的话又重复了一遍。"
"‘I am sorry, neighbour, but I have sworn not to leave my bed, and nothing will make me break my vow.’","“很抱歉，我的邻居，我发誓不离开床的，任何事情也不能让我违背誓言。”"
"‘Well, then, will you lend me your two mules?","“噢，那么，可不可以把你的两头骡子借我用用？"
"I will pay you something for them.’","我会付给你一些报酬的。”"
"‘Certainly, neighbour.","“当然，我的邻居。"
"Take them and welcome.’","尽管牵去用吧，不必客气。”"
"So the man left the house, and leading the mules from the stable, placed two sacks on their back, and drove them to a field where he had found a hidden treasure.","于是邻居离开了房子，从牲口棚里牵出骡子，把两个口袋放在骡背上，然后把骡子赶到了一个他发现藏着宝贝的地里。"
"He filled the sacks with the money, though he knew perfectly well that it belonged to the sultan, and was driving them quietly home again, when he saw two soldiers coming along the road.","两支口袋都被他塞满了钱，尽管他清楚地知道这些钱都是属于国王的，但是他仍然悄悄地把钱往家里运，这时他看到沿路走来两个士兵。"
"Now the man was aware that if he was caught he would be condemned to death, so he fled back into the forest.","他意识到，如果他被抓的话就要被判死刑，所以他逃回了森林。"
"The mules, left to themselves, took the path that led to their master’s stable.","那两头骡子自己沿路跑向了主人的马厩。"
"The wood-cutter’s wife was looking out of the window when the mules drew up before the door, so heavily laden that they almost sank under their burdens.","当两头骡子跑到门前时，樵夫的妻子正在从窗子里往外看，骡子背上的两支口袋很沉，几乎要把它们压垮了。"
"She lost no time in calling her husband, who was still lying in bed.","她赶紧喊还躺在床上的丈夫。"
"‘Quick! quick! get up as fast as you can.","“快点儿！快点儿！你赶紧起床。"
"Our two mules have returned with sacks on their backs, so heavily laden with something or other that the poor beasts can hardly stand up.’","我们的两头骡子回来啦，驮着的口袋里不知道装着什么东西，那两支口袋很重，可怜的牲畜几乎撑不住了。”"
"‘Wife, I have told you a dozen times already that I am not going to get up.","“老婆，我已经告诉过你很多次了，我是不会起床的。"
"Why can’t you leave me in peace?’","你为什么就不能让我安静一会儿呢？”"
"As she found she could get no help from her husband the woman took a large knife and cut the cords which bound the sacks on to the animals’ backs.","见丈夫不愿意帮忙，妻子拿了把大刀，把骡背上系口袋的绳子割断了。"
"They fell at once to the ground, and out poured a rain of gold pieces, till the little court-yard shone like the sun.","袋子立刻掉在了地上，接着金币暴雨般地撒了一地，小院子如同太阳一般耀眼。"
"‘A treasure!’ gasped the woman, as soon as she could speak from surprise.","“财宝！”樵夫妻子吃惊地说道，"
"‘A treasure!’","“财宝！”"
" And she ran off to tell her husband.","她跑去找她的丈夫。"
"‘Get up! get up!’ she cried.","“起床！起床！”她喊道，"
"‘You were quite right not to go to the forest, and to await Fortune in your bed; she has come at last!","“不去森林里，躺在床上等待命运女神，真的太对啦！命运女神终于来了！"
"Our mules have returned home laden with all the gold in the world, and it is now lying in the court.","我们的骡子把世界上所有的金币都驮回来了，全部堆在院子里。"
"No one in the whole country can be as rich as we are!’","现在全国没有比我们更富有的人了！”"
"In an instant the wood-cutter was on his feet, and running to the court, where he paused dazzled by the glitter of the coins which lay around him.","樵夫立刻爬了起来，跑到院子里去，他被四周闪闪发光的金币惊呆了。"
"‘You see, my dear wife, that I was right,’ he said at last.","“瞧，老婆，我是对的，”樵夫最后说道，"
"‘Fortune is so capricious, you can never count on her.","“命运女神真是反复无常，你永远也别想指望她。"
"Run after her, and she is sure to fly from you; stay still, and she is sure to come.’","你去追逐她，她肯定会从你身边飞走；你呆着不动，她肯定会来找你的。”"

