"zh","en"
"不过，文尼总是有她母亲作后盾，尽管母亲经常远在巴黎或比亚里茨，但仍然有信件往来。","But Vinny had her mother always in the background; often as far back as Paris or Biarritz, but still, within letter reach."
"母亲甚至在信中也会展开自己的裙子，镇定地打压亨利，而她从未意识到就在那时她淘气的脸上会露出会心的微笑。","And she never realized the funny little grin that came on her own elvish face when her mother, even in a letter, spread her skirts and calmly sat on Henry."
"她从没有意识到，在精神上，她也已经迅速又顽皮地挤兑了他：她不能控制自己的行为，就如同潮汐涨落不能摆脱月亮的影响一样。","She never realized that in spirit she promptly and mischievously sat on him too: she could no more have helped it than the tide can help turning to the moon."
"她连做梦都没想过他感受到了这一切，而且他那男性的虚荣心受到了极大的羞辱。","And she did not dream that he felt it, and was utterly mortified in his masculine vanity."
"女人们通常是互相迷恋，着了迷之后，进而温柔地搂住她们认为自己全心全意爱着的男人的脖子。","Women, very often, hypnotize one another, and then, hypnotized, they proceed gently to wring the neck of the man they think they are loving with all their hearts."
"若是那个男人不喜欢自己的脖子被搂住，她们便称之为彻底反常。","Then they call it utter perversity on his part, that he doesn’t like having his neck wrung."
"她们认为他这是在拒绝一份真心真意的爱情。","They think he is repudiating a heart-felt love."
"因为她们心醉魂迷了。","For they are hypnotized."
"女人便这么不知不觉地相互迷恋着。","Women hypnotize one another, without knowing it."
"最终，亨利退出了。","In the end, Henry backed out."
"他发现自己被这两个女人贬得一无是处，一个是有着斯芬克斯那样肌肉的老女巫，另一个是着了魔的年轻女巫，她挥霍无度、古灵精怪而软弱无用，她极力地宠着他，却吞噬了他的精髓。","He saw himself being simply reduced to nothingness by two women, an old witch with muscles like the Sphinx, and a young, spell-bound witch, lavish, elvish and weak, who utterly spoilt him but who ate his marrow."
"雷切尔会从巴黎写信来说：我亲爱的弗吉尼娅，由于我在投资方面发了一笔横财，所以我要和你一起分享。","Rachel would write from Paris: My dear Virginia, as I had a windfall in the way of an investment, I am sharing it with you."
"随信附上一张二十英镑的支票。","You will find enclosed my cheque for twenty pounds."
"你肯定会需要这笔钱给亨利买一套西服的，因为眼看春天就要到了，阳光很可能会把他的穷酸相都暴露出来的。","No doubt you will be needing it to buy Henry a suit of clothes, since the spring is apparently come, and the sunlight may be tempted to show him up for what he is worth."
"我可不想我的女儿和一个像是街头乐手的人到处走动，不过得你自己付裁缝的手工钱，要不然以后还得你再付。——亨利得了一套西装，可那几乎就是一件“内萨斯之衣”，用稀薄的毒液吞噬着他。","I don’t want my daughter going around with what is presumably a street-corner musician, but please pay the tailor’s bill yourself, or you may have to do it over again later.—Henry got a suit of clothes, but it was as good as a shirt of Nessus, eating him away with subtle poison."
"因此他退出了。","So he backed out."
"他不是在双方剑拔弩张的时候猛然离开、突然溜走，或是夺路而逃。","He didn’t jump out, or bolt, or carve his way out at the sword’s point."
"他应该算是逐渐淡出的，若即若离有一年多才彻底离开的。","He sort of faded out, distributing his departure over a year or more."
"他喜欢文尼，简直离不开她，他也对她感到歉疚。","He was fond of Vinny, and he could hardly do without her, and he was sorry for her."
"但最终他看出她不能离开她母亲。","But at length he couldn’t see her apart from her mother."
"她是个年轻、软弱、爱挥霍浪费的女巫，是她那个手段强硬、巫婆般母亲的帮凶。","She was a young, weak, spendthrift witch, accomplice of her tough-clawed witch of a mother."
"亨利与其他人确定了关系，在别处找到了立足之地，从而渐渐地解救了自己。","Henry made other alliances, got a good hold on elsewhere, and gradually extricated himself."
"他拯救了自己的生命，可是他感到,自己浪费了许多青春和精力。","He saved his life, but he had lost, he felt, a good deal of his youth and marrow."
"现在他开始发胖，变得有点儿臃肿，有点儿不起眼了。","He tended now to go fat, a little puffy, somewhat insignificant."
"可他曾经帅气英俊、引人注目。","And he had been handsome and striking-looking."
"当他离开这两个女巫师时，她们大声嚎叫了起来。","The two witches howled when he was lost to them."
"可怜的弗吉尼娅真的半疯半癫了，她不知道如何是好。","Poor Virginia was really half crazy, she didn’t know what to do with herself."
"她对母亲怀着一种强烈的抵触情绪。","She had a violent recoil from her mother."
"而博多恩太太对女儿充满了强烈的鄙视：她竟然让这样一条上了钩的鱼从她手里溜掉了！她竟然让这样的一个人把她给抛弃了！——“我真搞不懂我的女儿是怎么被亨利·卢伯克这样的寄生虫引诱然后抛弃的！”她写道，","Mrs Bodoin was filled with furious contempt for her daughter: that she should let such a hooked fish slip out of her hands! that she should allow such a person to turn her down!—“I don’t quite see my daughter seduced and thrown over by a sponging individual such as Henry Lubbock,” she wrote."
"“可是既然事情已经发生了，我想这就是某个人的过错——”","“But if it has happened, I suppose it is somebody’s fault—”"
"母女间的相互抵触持续了将近五年。","There was a mutual recoil, which lasted nearly five years."
"可是那种魔力并未消散。","But the spell was not broken."
"博多恩太太的心思从来没离开过女儿，而弗吉尼娅也总是意识到她的母亲就在宇宙中的某个地方。","Mrs Bodoin’s mind never left her daughter, and Virginia was ceaselessly aware of her mother, somewhere in the universe."
"她们互通书信，时不时地也见见面，可是她们在逃避中保持着距离。","They wrote, and met at intervals, but they kept apart in recoil."
"然而，这种魔力仍旧存在于她们之间，并渐渐地产生了作用。","The spell, however, was between them, and gradually it worked."
"她们感到更亲近些了。","They felt more friendly."
"博多恩太太来到了伦敦。","Mrs Bodoin came to London."
"她和女儿住在同一家清静的旅馆里：过去三年来，弗吉尼娅在旅馆里一直租着两个房间。","She stayed in the same quiet hotel with her daughter: Virginia had had two rooms in a hotel for the past three years."
"最终，她们想要一起租一套寓所。","And, at last, they thought of taking an apartment together."
"弗吉尼娅如今三十多了。","Virginia was now over thirty."
"她仍旧瘦弱、古怪而淘气，她的一只棕色的眼睛中略微投射出逗人喜爱的目光，脸上依旧露出古怪而扭曲的微笑，舒缓而低沉的声音如同细俏指尖般抚摸着男人。","She was still thin and odd and elvish, with a very slight and piquant cast in one of her brown eyes, and she still had her odd, twisted smile, and her slow, rather deep-toned voice, that caressed a man like the stroking of subtle finger-tips."
"她依旧是一头自然卷发，略微有些凌乱。","Her hair was still a natural tangle of curls, a bit dishevelled."
"她仍旧衣着自然典雅，只是显得有些别扭，看上去有点邋遢。","She still dressed with a natural elegance which tended to go wrong and a tiny bit sluttish."
"她那昂贵全新的长筒袜上仍旧会有个破洞，而她一到客厅喝茶，依旧会脱掉鞋子，穿着长筒袜坐在那里。","She still might have a hole in her expensive and perfectly new stockings, and still she might have to take off her shoes in the drawing-room, if she came to tea, and sit there in her stockinged-feet."
"不错，她有双漂亮的脚：她整个人都优雅标致。","True, she had elegant feet: she was altogether elegantly shaped."
"可是这不能说明什么。","But it wasn’t that."
"那既不是卖弄风骚也不是虚荣做作。","It was neither coquetry nor vanity."
"原因很简单，她曾找了一位手艺精湛的鞋匠，花了五个几尼定做了一双非常简朴、自然、合脚的鞋，可是当她穿着这双鞋走上半英里，鞋就夹得她异常难受，她就只能脱下这鞋，甚至是坐在路边镶边石上也要脱掉它。","It was simply that, after having gone to a good shoemaker and paid five guineas for a pair of perfectly simple and natural shoes, made to her feet, the said shoes would hurt her excruciatingly, when she had walked half a mile in them, and she would simply have to take them off, even if she sat on the kerb to do it."
"这就是命中注定的事。","It was a fatality."
"她的双脚有点顽皮、有些懒惰，绝不愿规规矩矩地呆在漂亮顺脚的鞋中。","There was a touch of the gamin in her very feet, a certain sluttishness that wouldn’t let them stay properly in nice proper shoes."
"事实上，她总是穿她母亲的旧鞋。——当然我自始至终都是穿母亲的旧鞋。","She practically always wore her mother’s old shoes.—Of course I go through life in mother’s old shoes."
"如果她死了，离开了我，因而不再有旧鞋供我穿的话，我想我只能坐着轮椅行走了，她咧着嘴，怪模怪样地笑着说。","If she died and left me without a supply, I suppose I should have to go in a bathchair, she would say, with her odd twisted little grin."
"她是如此优雅漂亮，却是个荡妇。","She was so elegant, and yet a slut."
"这就是她的魅力所在，真的。","It was her charm, really."
"这正好与她母亲相反。她们可以换着穿对方的鞋子和衣服，这似乎有点不可思议，因为博多恩太太看上去比女儿高大多了。","Just the opposite of her mother.They could wear each other’s shoes and each other’s clothes, which seemed remarkable, for Mrs Bodoin seemed so much the bigger of the two."
"不过弗吉尼娅的肩很宽，她虽然偏瘦，但身躯高大，即使当她看上去弱不禁风、衣衫褴褛的时候也是如此。","But Virginia’s shoulders were broad, if she was thin, she had a strong frame, even when she looked a frail rag."
"博多恩太太是那种六十岁左右的女人之一，身上充满了一种令人生畏的内在能量和某种强大的活力。","Mrs Bodoin was one of those women of sixty or so, with a terrible inward energy and a violent sort of vitality."
"不过她成功地掩饰了这一点。","But she managed to hide it."
"她坐着的时候双手叉握，神态极为镇定。","She sat with perfect repose, and folded hands."
"人们会想：这真是一个沉着的妇人啊！","One thought: What a calm woman!"
"正如同在夜光下，人们看着一座沉默火山那白雪皑皑的顶峰，会想：多么平静啊！","Just as one may look at the snowy summit of a quiescent volcano, in the evening light, and think: What peace!"
"有一种奇特的强大能量控制着博多恩太太，让人感到好奇的是，许多超过五十岁的女人都受这种能量的控制，并且其表现形式通常都令人反感。","It was a strange muscular energy which possessed Mrs Bodoin, as it possesses, curiously enough, many women over fifty, and is usually distasteful in its manifestations."
"也许这可以用来解释为什么年轻人无精打采。","Perhaps it accounts for the lassitude of the young."
"不过博多恩太太意识到了她那些精力充沛的同龄人趣味低级，所以她培养出沉着的性情。","But Mrs Bodoin recognized the bad taste in her energetic coevals, so she cultivated repose."
"沉——着，她说出这个两个音节的词时，能把第二个音节读得直冲云霄，这表露出她有太多太多被压抑的能量了。","Her very way of pronouncing the word, in two syllables: re-pose, making the second syllable run on into the twilight, showed how much suppressed energy she had."
"面对着铁灰色头发和黑眉毛的问题，她极其聪明，决不去尝试靠染色让自己回复青春。","Faced with the problem of iron-grey hair and black eyebrows, she was too clever to try dyeing herself back into youth."
"她仔细端详着自己那张脸，整个身材，然后作出乐观的判断。","She studied her face, her whole figure, and decided that it was positive."
"这是无可挑剔的。","There was no denying it."
"没有纤弱的体态，没有凹陷的双颊，没有弱不禁风凋花残枝之相。","There was no wispiness, no hollowness, no limp frail blossom-on-a-bending-stalk about her."
"她的身材，丰腴强壮，曲线优雅，但不显胖。","Her figure, though not stout, was full, strong, and cambré."
"她脸上有着一只贵族式的拱形鼻子，一双高贵又不可一世的灰色眼眸，脸颊颇长但很丰满。","Her face had an aristocratic arched nose, aristocratic, who-the-devil-are-you grey eyes, and cheeks rather long but also rather full."
"这模样虽说不上令人神魂颠倒，也绝无年轻人的轻佻。","Nothing appealing or youthfully skittish here."
"像任何一个独立的女人一样，她善用智慧，非常坚定地决心不让自己显得年少轻佻或是妩媚动人。","Like an independent woman, she used her wits, and decided most emphatically not to be either youthful or skittish or appealing."
"她保持着自己的尊严，因为她喜爱这样。","She would keep her dignity, for she was fond of it."
"她很积极。","She was positive."
"她喜欢积极的状态。","She liked to be positive."
"她已习惯了自己的积极。","She was used to her positivity."
"所以她会这样积极下去。","So she would just be positive."
"她偏向于十八世纪那个实证主义时代，求教于伏尔泰、尼农·德·朗克洛和蓬帕杜尔，求教于公爵夫人和侯爵先生。","She turned to the positive period; to the eighteenth century, to Voltaire, to Ninon de l’Enclos and the Pompadour, to Madame la Duchesse and Monsieur le Marquis."
"她断定自己与蓬帕杜尔夫人或公爵夫人不太相像，不过几乎完全与伯爵先生是同一类人。","She decided that she was not much in the line of la Pompadour or la Duchesse, but almost exactly in the line of Monsieur le Marquis."
"她是对的。","And she was right."
"她银白色的头发干净利索地向后梳去，露出自信的眉毛和鬓角，头发剪得很短，略微向后伸展，加上她那张相当丰满的粉红面庞和拉成两道细细弦月形的黑色眉毛，配上她那只拱形的鼻子和那双饱满傲慢的眼睛，使她全然成了一位十八世纪上半叶的人了。","With hair silvering to white, brushed back clean from her positive brow and temples, cut short, but sticking out a little behind, with her rather full, pink face and thin black eyebrows plucked to two fine, superficial crescents, her arching nose and her rather full insolent eyes she was perfectly eighteenth-century, the early half."
"她这种更像侯爵先生而非侯爵夫人的气派使她显得十分摩登。","That she was Monsieur le Marquis rather than Madame la Marquise made her really modern."
"她的外表是完美的。","Her appearance was perfect."
"她的衣服颜色是灰色和粉色优雅地搭配在一起，也许还稍带点深铁灰色，她佩戴的首饰是颜色柔和古典的人造宝石。","She wore delicate combinations of grey and pink, maybe with a darkening iron-grey touch, and her jewels were of soft old coloured paste."
"她的举止恬静，同时透着警觉，非常镇定，但又极其自信。","Her bearing was a sort of alert repose, very calm, but very assured."
"用一句俗话说，没有她跨不过的槛儿。","There was, to use a vulgarism, no getting past her."
"她手头有几千英镑。","She had a couple of thousand pounds she could lay hands on."
"而弗吉尼娅呢，自然地，总是欠债累累。","Virginia, of course, was always in debt."
"可终归也不能对弗吉尼娅嗤之以鼻。","But, after all, Virginia was not to be sniffed at."
"她每年能挣七百五十英镑呢。","She made seven hundred and fifty a year."
"弗吉尼娅异常聪明，可不怎么精明。","Virginia was oddly clever, and not clever."
"她并非真的无所不知，因为凡是她当时感兴趣的东西，她都能马上学会它。","She didn’t really know anything, because anything and everything was interesting to her for the moment, and she picked it up at once."
"她学起语言来格外轻松，不出两个星期她就能说得很流利。","She picked up languages with extraordinary ease, she was fluent in a fortnight."
"这对她的工作有很大的帮助。","This helped her enormously with her job."
"她可以和行业领导们东拉西扯，不管他们来自哪里。","She could prattle away with heads of industry, let them come from where they liked."
"可她却不了解任何语言，甚至包括她自己的母语。","But she didn’t know any language, not even her own."
"打个比方说，她能在梦中学东西，而对它们毫不理解。","She picked things up in her sleep, so to speak, without knowing anything about them."
"这使她受到男人们的青睐。","And this made her popular with men."
"尽管她具备这种奇特的学习能力，可男人们在她面前并不感到无地自容，因为她好似一架机器。","With all her curious facility, they didn’t feel small in front of her, because she was like an instrument."
"她需要受到激发。","She had to be prompted."
"得有男人先启动她，然后她才能真正灵巧地运转起来。","Some man had to set her in motion, and then she worked, really cleverly."
"她能收集到最有价值的资料。","She could collect the most valuable information."
"她这样的人很有用。","She was very useful."
"她同男人们一起工作，大部分时间都和男人们在一起，她的朋友差不多都是男的。","She worked with men, spent most of her time with men, her friends were practically all men."
"她和女人相处时感觉不自在。","She didn’t feel easy with women."
"然而她没有情人，好像没有人渴望娶她，好像根本没有人急于想接近她。","Yet she had no lover, nobody seemed eager to marry her, nobody seemed eager to come close to her at all."
"博多恩太太说：恐怕弗吉尼娅是个只有一个男人的女人。","Mrs Bodoin said: I’m afraid Virginia is a one-man woman."
"我就是只有一个男人的女人。","I am a one-man woman."
"我母亲也是，我的外祖母也是。","So was my mother, and so was my grandmother."
"弗吉尼娅的爸爸是我人生中仅有的男人，仅有的一个。","Virginia’s father was the only man in my life, the only one."
"恐怕弗吉尼娅也是这样，这样固执。","And I’m afraid Virginia is the same, tenacious."
"倒霉的是，她的这个男人就是这种人，她这一生也只能停留于此了。","Unfortunately, the man was what he was, and her life is just left there."
"而亨利从前说过，博多恩太太绝非只有一个男人的女人，她是个没有男人的女人，如果她能得逞的话，所有雄性的东西都将会从地球上一扫而光，仅留下雌性的东西。","Henry had said, in the past, that Mrs Bodoin wasn’t a one-man woman, she was a no-man woman, and that if she could have had her way, everything male would have been wiped off the face of the earth, and only the female element left."
"不管怎样，博多恩太太认为现在是该搬家的时候了。","However, Mrs Bodoin thought that it was now time to make a move."
"于是，她和弗吉尼娅在古老的布鲁姆斯堡广场附近的一个街区挑选了一套很漂亮的公寓，精心装修一番，配上家具和一些十分可爱的东西，雇来一个很不错的奥地利男人做饭，然后，母女二人便一起开始了婚姻生活。","So she and Virginia took a quite handsome apartment in one of the old Bloomsbury Squares, fitted it up and furnished it with extreme care, and with some quite lovely things, got in a very good man, an Austrian, to cook, and they set up married life together, mother and daughter."
"一开始，这种生活是非常令人兴奋的。","At first it was rather thrilling."
"两间客厅极为宽敞，俯视着广场花园中脏兮兮的老树，并且每一间都有三扇大窗户，窗户开得很低，差不多低至膝盖的高度。","The two reception-rooms, looking down on the dirty old trees of the square garden, were of splendid proportions, and each with three great windows coming down low, almost to the level of the knees."
"壁炉架是十八世纪晚期的风格。","The chimney-piece was late eighteenth-century."
"博多恩太太布置的房间略微受路易十六时代风格的启发并融合了法兰西第一帝国时代的风格，但也没有固守任何特定的风格。","Mrs Bodoin furnished the rooms with a gentle suggestion of Louis Seize merged with Empire, without keeping to any particular style."
"不过，她有一块从她自己家里保留下来的、委实与众不同的欧比松地毯。","But she had, saved from her own home, a really remarkable Aubusson carpet."
"它看上去几乎是新的，就像两年前才织成的一样，这着实令人惊叹，当它在地板上展开时，那玫瑰色的滚边，镶在那绚丽绝伦毯面上的银灰色和金灰色的玫瑰花、百合花、华丽的天鹅和喇叭状的螺环，不知为何都颇为奢华艳丽。","It looked almost new, as if it had been woven two years ago, and was startling, yet somehow rather splendid, as it spread its rose-red borders and wonderful florid array of silver-grey and gold-grey roses, lilies and gorgeous swans and trumpeting volutes away over the floor."
"极具审美眼光的人会觉得它过于刺眼花哨，他们更喜欢大卧室里的那张发旧的色彩暗淡微黄的欧比松地毯。","Very aesthetic people found it rather loud, they preferred the worn, dim yellowish Aubusson in the big bedroom."
"可是博多恩太太就喜欢她客厅里的地毯。","But Mrs Bodoin loved her drawing-room carpet."
"它色彩明快却不俗气。","It was positive, but it was not vulgar."
"它那绚丽华美中透露着某种大气。","It had a certain grand air in its floridity."
"她感觉它给予她一种脚踏实地之感。","She felt it gave her a proper footing."
"而且，它与她那色彩鲜明的橱柜，金灰色凸花的锦缎椅子和中国大花瓶十分匹配，她喜欢在这些大花瓶里插上一些名花：独一无二的中国牡丹，大朵的玫瑰，细长的郁金香，橙色的百合。","And it behaved very well with her painted cabinets and grey-and-gold brocade chairs and big Chinese vases, which she liked to fill with big flowers: single Chinese peonies, big roses, great tulips, orange lilies."
"这间伦敦昏暗的房间，带着它那独具美感的色调，迎着这些大朵的、自由绽放、争奇斗艳的鲜花。","The dim room of London, with all its atmospheric colour, would stand the big, free, fisticuffing flowers."
"而弗吉尼娅在她一生中第一次感受到了安家的喜悦。","Virginia, for the first time in her life, had the pleasure of making a home."
"她再一次完全受控于母亲的魔力之下，神魂颠倒，身心俱醉。","She was again entirely under her mother’s spell, and swept away, thrilled to her marrow."
"她从未想到母亲竟背地里藏有这等宝贝，如地毯、色调鲜明的橱柜和凸花锦缎椅子：这里面有许多是爱尔兰菲茨帕特里克家的余物，博多恩太太是菲茨帕特里克家族的一员。","She had had no idea that her mother had got such treasures as the carpets and painted cabinets and brocade chairs up her sleeve: many of them the débris of the Fitzpatrick home in Ireland, Mrs Bodoin being a Fitzpatrick."
"弗吉尼娅几乎像个孩子、像个新娘似的投身于装扮房间的事务中。","Almost like a child, like a bride, Virginia threw herself into the business of fixing up the rooms."
"“当然，弗吉尼娅，我把这儿看作是你的公寓。”博多恩太太说，","“Of course, Virginia, I consider this is your apartment,” said Mrs Bodoin."
"“我只不过是陪伴你的老太太，你有什么吩咐就说出来，我完全会照办。”","“I am nothing but your dame de compagnie, and shall carry out your wishes entirely, if you will only express them.”"
"当然，弗吉尼娅会提些要求的，但不多。","Of course Virginia expressed a few, but not many."
"她挂上了一些风格狂放的画作，那是从她资助的一些穷艺术家那里买来的。","She introduced some wild pictures bought from impecunious artists whom she patronized."
"博多恩太太认为这些画作明确地表达了错误的东西，不过她还是尽可能地留着它们：权且把它们看作是现代的丑陋之中必不可少的组成元素吧。","Mrs Bodoin thought the pictures positive about the wrong things, but as far as possible, she let them stay: looking on them as the necessary element of modern ugliness."
"可是，透过这些故意表现出来的现代丑陋的元素，就很容易看出弗吉尼娅给这间公寓增添的都是些什么样的东西了。","But by that element of modern ugliness, wilfully so, it was easy to see the things that Virginia had introduced into the apartment."
"也许没有什么事能像装饰房子一样令人振奋了。","Perhaps nothing goes to the head like setting up house."
"你会陶醉其中。","You can get drunk on it."
"你会感到你在创造某种东西。","You feel you are creating something."
"如今，它不再是“家”，一个安乐窝了。","Nowadays it is no longer the “home”, the domestic nest."
"它成了“我的房间”，或是“我的房子”，成了展现和掩饰“我的性格”的大外套。","It is “my rooms”, or “my house”, the great garment which reveals and clothes “my personality”."
"博多恩太太是慎重周到地为弗吉尼娅策划，因而对此保持着适度的冷静，可就是她也是从骨子里感到兴奋，对待室内设计师和家具商时那副紧张、凶恶的神情，真令人吃惊。","Mrs Bodoin, deliberately scheming for Virginia, kept moderately cool over it, but even she was thrilled to the marrow, and of an intensity and ferocity with the decorators and furnishers, astonishing."
"而弗吉尼娅则自始自终对此情有独钟，仿佛是伴随着一声芝麻开门，她已经触碰到了生命灰墙上的某个神秘开关。","But Virginia was just all the time tipsy with it, as if she had touched some magic button on the grey wall of life, and with an Open Sesame!"
"她可爱而绚丽的房间便开始从仙境中显现出来。对她而言，这比她继承一处公爵领地显得更加生动和奇妙。","her lovely and coloured rooms had begun to assemble out of fairyland.It was far more vivid and wonderful to her than if she had inherited a duchy."
"此后母女二人便开始宴请宾客，母亲身着有点褪色的赤褐色衣服，而女儿则一身银色打扮。","The mother and daughter, the mother in a sort of faded russet crimson and the daughter in silver, began to entertain."
"当然，她们宴请的多半是男人。","They had, of course, mostly men."
"招待女人让博多恩太太心里充满一种强烈的不耐烦之感。","It filled Mrs Bodoin with a sort of savage impatience to entertain women."
"况且弗吉尼娅的熟人也大部分是男人。","Besides, most of Virginia’s acquaintances were men."
"于是，家中便会举行晚宴和精心准备的晚会。","So there were dinners and well-arranged evenings."
"一切都进展顺利，可总缺少点什么。","It went well, but something was missing."
"博多恩太太想表现得优雅些，因此变得颇为矜持。","Mrs Bodoin wanted to be gracious, so she held herself rather back."
"她对人略微保持着距离，镇定沉静、神色自若，很有点十八世纪的味道，她决心要给聪明且有些顽皮的弗吉尼娅作陪衬。","She stayed a little distant, was calm, reposed, eighteenth-century, and determined to be a foil to the clever and slightly-elvish Virginia."
"这只是装模做样，而且，哎，这阻碍了某些事情的发生。","It was a pose, and alas, it stopped something."
"不论她多么瞧不起那些男人，她都对他们和蔼可亲。","She was very nice with the men, no matter what her contempt of them."
"但是这些男人同她在一起却心神不安：他们怕她。","But the men were uneasy with her: afraid."
"所有的那些男宾客，他们所感受到的就是，对他们来说实际上什么事也没发生。","What they all felt, all the men guests, was that for them, nothing really happened."
"所发生的一切不过是在她们母女二人之间。","Everything that happened was between mother and daughter."
"所有情感的流露全在母女二人之间。","All the flow was between mother and daughter."
"某种神秘的、具有催眠作用的魔力环绕着这两个女人，无论那些男人们怎样努力，他们还是被排斥在外了。","A subtle, hypnotic spell encompassed the two women, and try as they might, the men were shut out."
"不止有一个年轻男人，有些神魂颠倒了，开始钟情于弗吉尼娅。","More than one young man, a little dazzled, began to fall in love with Virginia."
"但这是不可能的事。","But it was impossible."
"他不但被排斥在外，而且在某种程度上被摧毁了。","Not only was he shut out, he was, in some way, annihilated."
"这种自发的爱情被抹杀在了他的内心深处。","The spontaneity was killed in his bosom."
"这两个聪颖而极其漂亮的女人坐在桌子两端，仿佛二人之间存在磁场感应，她们好似两个女巫，好似两个不是把男人变成猪猡而是将他们变成笨蛋的赛丝——男人们本是非常愿意被变成猪猡的。","While the two women sat, brilliant and rather wonderful, in magnetic connection at opposite ends of the table, like two witches, a double Circe turning the men not into swine—the men would have liked that well enough—but into lumps."
"这真是可悲。","It was tragic."
"因为博多恩太太想要弗吉尼娅去恋爱结婚。她真的希望这样，并且还把弗吉尼娅缺少追随者归因于亨利的过错。","Because Mrs Bodoin wanted Virginia to fall in love and marry.She really wanted it, and she attributed Virginia’s lack of forthcoming to the delinquent Henry."
