"How Geirald the Coward was Punished","懦夫盖拉尔德受惩记"
"‘It was not so difficult after all, you see,’ he said, turning to Geirald.","他转向盖拉尔德，对他说：“看吧，其实并不是很难。”"
"And placing the giant’s head in a leathern wallet which was slung over his back, they began their journey to the castle.","他把巨人的头放进一个皮袋子里，把皮袋往背上一甩，他们开始向城堡走去。"
"As they drew near the gates, Rosald took the head from the wallet and handed it to Geirald, whom he followed into the king’s presence.","当他们快到城门口的时候，罗萨德从皮袋中取出巨人的头，并交到盖拉尔德的手里，随后跟着盖拉尔德面见了国王。"
"‘The giant will trouble you no more,’ said Geirald, holding out the head.","盖拉尔德说：“这个巨人以后再也不会给你造成任何麻烦了。”边说边拿出巨人的头。"
"And the king fell on his neck and kissed him, and cried joyfully that he was the ‘bravest knight in all the world, and that a feast should be made for him and Rosald, and that the great deed should be proclaimed throughout the kingdom.’","国王低下头亲吻了他，开心地大声说：“你是全世界最勇敢的骑士，我应该为你和罗萨德举办一个盛宴，而且这件极大的好事应该通报整个王国。”"
" And Geirald’s heart swelled with pride, and he almost forgot that it was Rosald and not he, who had slain the giant.","盖拉尔德扬扬自得，他几乎忘了杀死巨人的是罗萨德而不是他自己。"
"By-and-by a whisper went round that a beautiful lady who lived in the castle would be present at the feast, with twenty-four lovely maidens, her attendants.","不久，有人私下传言，说城堡里住着一位美丽的女士，她将会出席这次盛宴，随行的还有24位可爱的侍婢。"
"The lady was the queen of her own country, but as her father and mother had died when she was a little girl, she had been left in the care of this king who was her uncle.","这位美丽的女士是她自己国家的女王，但是还在她年幼时，父母就去世了，所以她由叔叔照顾，也就是这个王国的国王。"
"She was now old enough to govern her own kingdom, but her subjects did not like being ruled by a woman, and said that she must find a husband to help her in managing her affairs.","现在她长大了，可以来管理自己的王国，但是她的臣民不喜欢受一个女人统治，他们说她必须找到她的另一半，并由她的丈夫帮助她管理国家事务。"
"Prince after prince had offered himself, but the young queen would have nothing to say to any of them, and at last told her ministers that if she was to have a husband at all she must choose him for herself, as she would certainly not marry any of those whom they had selected for her.","王子们一个接一个地前来求婚，但是这位年轻的女王一个也不满意，最后她告诉大臣们，如果她非找丈夫不可，那么必须由她自己来选择，因为她一定不会嫁给他们为她所选择的人。"
"The ministers replied that in that case she had better manage her kingdom alone, and the queen, who knew nothing about business, got things into such a confusion that at last she threw them up altogether, and went off to her uncle.","大臣们回应说既然是这样，那她最好自己来治理她的国家，他们什么都不管了。然而这位女王对治理国家一点儿都不懂，把事情弄得一团糟，最后她抛下了一切来投奔她的叔叔。"
"Now when she heard how the two young men had slain the giant, her heart was filled with admiration of their courage, and she declared that if a feast was held she would certainly be present at it.","如今她听说有两个年轻的男士打垮了巨人，对于他们的勇气，她表示由衷的敬佩，她宣称如果为他们准备盛宴，那她一定会去参加。"
"And so she was; and when the feast was over she asked the king, her guardian, if he would allow the two heroes who had killed the robbers and slain the giant to fight a tourney the next day with one of her pages.","她确实来了。当盛宴结束的时候，她向国王，也就是她的监护人提出一个请求：能否让这两位曾经杀死盗贼和打垮巨人的英雄，在明天与她的一位侍从进行一次比试。"
"The king gladly gave his consent, and ordered the lists to be made ready, never doubting that two great champions would be eager for such a chance of adding to their fame.","国王很高兴地同意了，然后下令准备好名单，他深信这两位斗士将会非常渴望能有这次机会来提高他们的名气。"
"Little did he guess that Geirald had done all he could to persuade Rosald to steal secretly out of the castle during the night, ‘for,’ said he, ‘I don’t believe they are pages at all, but well-proved knights, and how can we, so young and untried, stand up against them?’","他怎么也猜不到，盖拉尔德竭尽全力地说服罗萨德趁着夜色偷偷溜出城堡。“因为，”盖拉尔德说，“我一点儿都不相信他们会是侍从，他们肯定是通过考验的优秀骑士，我们那么年轻，又没有经验，怎么能抵抗他们呢？”"
"‘The honour will be all the higher if we gain the day,’ answered Rosald; but Geirald would listen to nothing, and only declared that he did not care about honour, and would rather be alive than have every honour in the world heaped upon him.","罗萨德回答说：“如果我们明天赢了，将是至高无上的荣誉。”但是盖拉尔德什么都听不进去，只是声明他并不关心什么荣誉，与其把世界上每一个荣誉堆在自己身上，还不如活着。"
"Go he would, and as Rosald had sworn to give him his company, he must come with him.","盖拉尔德下定决心离开，由于罗萨德曾经发誓做他的旅伴，所以他必须跟着他。"
"Rosald was much grieved when he heard these words, but he knew that it was useless attempting to persuade Geirald, and turned his thoughts to forming some plan to prevent this disgraceful flight.","当听到盖拉尔德的这些话时，罗萨德感到很难过，但是他知道试图说服盖拉尔德是没有用的，于是他转而考虑其他的计划，来阻止这次不光彩的逃跑。"
"Suddenly his face brightened.","突然，他脸上露出了喜色。"
"‘Let us change clothes,’ he said, ‘and I will do the fighting, while you shall get the glory.","“我们可以换衣服，”他说，“我将参加比武，而你将获得荣誉。"
"Nobody will ever know.’","没有人会知道的。”"
" And to this Geirald readily consented.","盖拉尔德很快地同意了。"
"Whether Geirald was right or not in thinking that the so-called page was really a well-proved knight, it is certain that Rosald’s task was a very hard one.","盖拉尔德认为所谓的侍从其实是通过严格考验的真正骑士，不管他的推测是否正确，这次比试对罗萨德来说确实是一次非常艰难的任务。"
"Three times they came together with a crash which made their horses reel; once Rosald knocked the helmet off his foe, and received in return such a blow that he staggered in his saddle.","双方发生三次激烈的碰撞，使得双方战马站立不稳，一次罗萨德打下对手的头盔，同时受到狠狠的回击，一个没坐稳，差点儿从马上掉下来。"
"Shouts went up from the lookers-on, as first one and then the other seemed gaining the victory; but at length Rosald planted his spear in the armour which covered his adversary’s breast and bore him steadily backward.","当双方打得难分胜负的时候，周围观战的人们高声欢呼；然而在最后，罗萨德将手里的长矛瞄准对手的胸部的盔甲刺去，使得对手径直往后倒去。"
"‘Unhorsed! unhorsed!’ cried the people; and Rosald then himself dismounted and helped his adversary to rise.","“摔下马了！摔下马了！”人们大声喊叫着。然后罗萨德下了马，把对手扶了起来。"
"In the confusion that followed it was easy for Rosald to slip away and return Geirald his proper clothes.","趁着一片混乱，罗萨德轻易地溜走了，然后把衣服给了盖拉尔德。"
"And in these, torn and dusty with the fight, Geirald answered the king’s summons to come before him.","盖拉尔德穿着这身在激战中受到磨损、沾满尘土的铠甲，接受了国王的传唤，来到他的面前。"
"‘You have done what I expected you to do,’ said he, ‘and now, choose your reward.’","“你不负我的期望，完成了比试，”他说，“现在，你可以挑选你的奖励了。”"
"‘Grant me, sire, the hand of the queen, your niece,’ replied the young man, bowing low, ‘and I will defend her kingdom against all her enemies.’","“国王陛下，请允许我娶女王殿下，也就是你的外甥女为妻，”这位年轻人深深一鞠躬，回答说，“我将保卫她的王国不受外敌的侵略。”"
"‘She could choose no better husband,’ said the king, ‘and if she consents I do.’","“再也没有比你更适合做她丈夫的人选了，”国王说，“如果她愿意，我会同意的。”"
" And he turned towards the queen, who had not been present during the fight, but had just slipped into a seat by his right hand.","然后他转向女王，比试的时候，她并不在场，刚刚才悄悄地坐在了国王的左手边。"
"Now the queen’s eyes were very sharp, and it seemed to her that the man who stood before her, tall and handsome though he might be, was different in many slight ways, and in one in particular, from the man who had fought the tourney.","此刻女王的眼神非常敏锐，对于她来说，站在她面前的这位年轻人，尽管高大帅气，但是却在一些微小的地方有所不同，尤其是与刚才那个战斗中的人看起来不一样。"
"How there could be any trickery she could not understand, and why the real victor should be willing to give up his prize to another was still stranger; but something in her heart warned her to be careful.","她不明白其中有什么花招，为什么真正的赢者愿意拱手让出自己的奖励，这仍然让人觉得奇怪，但是她的内心警告自己要谨慎点儿。"
"She answered: ‘You may be satisfied, uncle, but I am not.","她回答说：“叔叔，您可能很满意，但我却没有。"
"One more proof I must have; let the two young men now fight against each other.","我必须多增一个比试；让这两位年轻人现在就互相战斗。"
"The man I marry must be the man who killed the robbers and the giant, and overcame my page.’","我嫁的人必须是那个杀死了盗贼和巨人、又打败了我的侍从的人。”"
" Geirald’s face grew pale as he heard these words.","听到这些话，盖拉尔德的脸色刷地一下变白了。"
"He knew there was no escape from him now, though he did not doubt for one moment that Rosald would keep his compact loyally to the last.","他知道现在他逃不掉了，尽管他每时每刻都坚信罗萨德会遵守协定，对他忠诚到底。"
"But how would it be possible that even Rosald should deceive the watchful eyes of the king and his court, and still more those of the young queen whom he felt uneasily had suspected him from the first?","然而这怎么可能，罗萨德怎么能骗过国王的眼睛、大臣的眼睛、年轻女王的眼睛，况且他不安地感觉到这位女王从一开始就怀疑他。"
"The tourney was fought, and in spite of Geirald’s fears Rosald managed to hang back to make attacks which were never meant to succeed, and to allow strokes which he could easily have parried to attain their end.","比试开始了，尽管盖拉尔德很害怕，但罗萨德设法往后退，并做出没有进攻力的回击，他本应该能很轻易地回避盖拉尔德的攻击，但却让每一个攻击都成功了。"
"At length, after a great show of resistance, he fell heavily to the ground.","最后，在一场精彩的战斗表演后，他重重地倒在了地上。"
"And as he fell he knew that it was not alone the glory that was his rightfully which he gave up, but the hand of the queen that was more precious still.","当他跌倒时，他知道他放弃的不仅仅是属于他的荣誉，还有更为珍贵的女王的手。"
"But Geirald did not even wait to see if he was wounded; he went straight to the wall where the royal banner waved and claimed the reward which was now his.","但是盖拉尔德甚至并不着急察看罗萨德受伤与否；他径直地走向挥舞着王室横幅的墙那边，宣称现在奖励是他的了。"
"The crowd of watchers turned towards the queen, expecting to see her stoop and give some token to the victor.","观战的人群看向女王，期待看到女王弯下腰，然后对赢的人有所表示。"
"Instead, to the surprise of everyone, she merely smiled gracefully, and said that before she bestowed her hand one more test must be imposed, but this should be the last.","相反，她的表现令所有人感到吃惊，她仅仅优雅地笑了笑，然后说在她交出她的手之前，还必须举办一个比赛，不过这将是最后一个。"
"The final tourney should be fought; Geirald and Rosald should meet singly two knights of the king’s court, and he who could unhorse his foe should be master of herself and of her kingdom.","最后的比赛即将打响；盖拉尔德和罗萨德将分别迎战王室中的一位骑士，谁能把对手打下马，谁就能成为她的丈夫并掌管她的王国。"
"The combat was fixed to take place at ten o’clock the following day.","大战开始的时间定在明天十点。"
"All night long Geirald walked about his room, not daring to face the fight that lay in front of him, and trying with all his might to discover some means of escaping it.","一整个晚上，盖拉尔德在房间里走来走去，他不敢面对明天将迎来的比试，想方设法地试着找出一些逃脱的方法。"
"All night long he moved restlessly from door to window; and when the trumpets sounded, and the combatants rode into the field, he alone was missing.","整个晚上，他不安地徘徊于门和窗户之间，当号角吹响，比赛选手骑着马进场的时候，唯独没有看见他。"
"The king sent messengers to see what had become of him, and he was found, trembling with fear, hiding under his bed.","国王派信使去看看他怎么了，信使找到了他，只见他躲在床下，害怕得直发抖。"
"After that there was no need of any further proof.","在此之后，再也不需要任何进一步证明了。"
"The combat was declared unnecessary, and the queen pronounced herself quite satisfied, and ready to accept Rosald as her husband.","这场比试被宣布取消，女王宣布她非常满意，准备接受罗萨德成为她的丈夫。"
"‘You forgot one thing,’ she said, when they were alone.","“你忘了一件事，”当他们单独在一起的时候，她说，"
"‘I recognized my father’s ring which Hankur the Tall had stolen, on the finger of your right hand, and I knew that it was you and not Geirald who had slain the robber band.","“我认出戴在你右手手指上被高个子汉克偷走的戒指，那是我父亲的，然后我知道杀死盗贼团伙的人是你而不是盖拉尔德。"
"I was the page who fought you, and again I saw the ring on your finger, though it was absent from his when he stood before me to claim the prize.","我就是那个跟你比试的侍从，我再次看见了你手指上的戒指，但是当他站在我面前提出奖励要求时，他手上并没有戒指。"
"That was why I ordered the combat between you, though your faith to your word prevented my plan being successful, and I had to try another.","所以我下令你们互相比试，但是你的忠诚破坏了我的计划，我不得不尝试其他办法。"
"The man who keeps his promise at all costs to himself is the man I can trust, both for myself and for my people.’","一个能不顾一切遵守诺言的人才是我能信任的人，不仅是为了我自己，而且也为了我的臣民。”"
"So they were married, and returned to their own kingdom, which they ruled well and happily.","于是他们结婚了，回到了女王的王国，把王国治理得井井有条，过着幸福的生活。"
"And many years after a poor beggar knocked at the palace gates and asked for money, for the sake of days gone by—and this was Geirald.","许多年后，一个可怜的乞丐在城堡外敲门要钱，看在过去的日子——这个人就是盖拉尔德。"
"[From Neuislandischem Volksmarcher.]","【摘自《伊索寓言》】"

