"Our Letters","我们的信"
"Think, my dear, of what a man’s heart is.","我亲爱的，想想吧，男人的心是怎样的。"
"He avenges himself on a living woman; he fights with the man who has dishonored her, kills him while she lives, because, well, why?","他会为一个活着的女人报复，会跟一个令她蒙羞的男人决斗，会在她活着的时候杀死那个男人。因为，是的，因为什么呢？"
"I do not know exactly why.","我不清楚到底是为什么。"
"But, if, after her death, he finds similar proofs, he burns them and no one is the wiser, and he continues to shake hands with the friend of the dead woman, and feels quite at ease that these letters should not have fallen into strange hands, and that they are destroyed.","但是如果是在她死后才发现这些类似的证据，他会烧掉并假装什么都不知道，继续和死者的情夫握手，为这些信没有落入外人的手里并已毁掉而感到踏实。"
"Oh, how many men I know among my friends who must have burned such proofs, and who pretend to know nothing, and yet who would have fought madly had they found them when she was still alive!","啊，我知道在我的朋友中有很多这样的男人，他们烧掉证据，假装什么都不知道。但如果是在她活着的时候发现这些信，这些男人一定会狂怒。"
"But she is dead.","但是她已经死了。"
"Honor has changed.","荣誉已经变了。"
"The tomb is the boundary of conjugal sinning.","坟墓将夫妻恩怨一笔勾销。"
"Therefore, I can safely keep our letters, which, in your hands, would be a menace to both of us. Do you dare to say that I am not right?","因此，我可以很安全地保管我们的信，而如果这些信在你的手中，对我们两个都是威胁。你敢说我说得不对吗？"
"I love you and kiss you.","我爱你，吻你。"
"I raised my eyes to the portrait of Aunt Rose, and as I looked at her severe, wrinkled face, I thought of all those women’s souls which we do not know, and which we suppose to be so different from what they really are, whose inborn and ingenuous craftiness we never can penetrate, their quiet duplicity; and a verse of De Vigny returned to my memory:","我抬起双眼去看罗丝姑妈的肖像。当看到她那严肃而又满脸皱纹的脸庞时，我想起所有这些我们不了解的女人的心灵。她们的真实情况与我们认为的完全不同，她们与生俱来的、天真的狡诈和心安理得的欺骗，我们从来都未能洞察。我想起德维尼的一句诗："
"“Always this comrade whose heart is uncertain.”","“永远，这个伴侣，心不定。”"

