"The Missing Chord","丢失的琴弦"
"‘There ain’t a better judge of musical instruments in the whole world than what I am.","‘这世界上再没有人比我更会甄别乐器了。"
"I had an uncle,’ says he, ‘that was a partner in a piano-factory, and I’ve seen thousands of ’em put together.","我有个叔叔，’他说，‘他是一家钢琴厂的股东，我见过上千架钢琴的装配过程。"
"I know all about musical instruments from a pipe-organ to a corn-stalk fiddle.","我了解所有乐器，从管风琴到玉米秆小提琴。"
"There ain’t a man lives, sir, that can tell me any news about any instrument that has to be pounded, blowed, scraped, grinded, picked, or wound with a key.’","没有一个在世的人，先生，能告知我有关乐器的任何新鲜事，不论这乐器是需要敲的、吹的、刮的、磨的、弹的，抑或是要上发条的。’"
"“‘You get me what you like, dad,’ says Marilla, who couldn’t keep her feet on the floor from joy.","“‘您就给我买您喜欢的吧，爸爸。’玛丽拉欣喜得蹦蹦跳跳，一边说道，"
"‘Of course you know what to select.","‘您当然知道选什么。"
"I’d just as lief it was a piano or a organ or what.’","不管是一架钢琴，还是一架风琴，或是其他的什么，我都一样高兴。’"
"“‘I see in St. Louis once what they call a orchestrion,’ says Uncle Cal, ‘that I judged was about the finest thing in the way of music ever invented.","“‘我曾在圣路易斯见过一种乐器，他们管它叫奥开斯特里翁琴，’卡尔大叔说，‘我认为那是人类发明的最好的乐器了。"
"But there ain’t room in this house for one.","不过这房子放不下那架琴。"
"Anyway, I imagine they’d cost a thousand dollars.","再说了，我猜那得花个上千美元。"
"I reckon something in the piano line would suit Marilla the best.","我觉得还是钢琴之类的乐器最适合玛丽拉。"
"She took lessons in that respect for two years over at Birdstail.","她曾在雀尾城上过两年那方面的课。"
"I wouldn’t trust the buying of an instrument to anybody else but myself.","除了我自己，让其他任何人去买乐器我都不会放心。"
"I reckon if I hadn’t took up sheep-raising I’d have been one of the finest composers or piano-and-organ manufacturers in the world.’","我觉得，要是当初我没有从事饲养绵羊这一行业，我一定会成为这世上最出色的作曲家或钢琴风琴制造商之一。’"
"“That was Uncle Cal’s style.","“那就是卡尔大叔的风格。"
"But I never lost any patience with him, on account of his thinking so much of Marilla.","但我从来没对他失去耐性，因为他对玛丽拉非常关心。"
"And she thought just as much of him.","而玛丽拉也一样非常关心他。"
"He sent her to the academy over at Birdstail for two years when it took nearly every pound of wool to pay the expenses.","他送玛丽拉到雀尾城的专科院校上了两年学，而那两年的开支几乎花掉了每一磅羊毛所得。"
"“Along about Tuesday Uncle Cal put out for San Antone on the last wagonload of wool.","“大约到了星期二，卡尔大叔运送着最后一货车的羊毛去了圣安东尼。"
"Marilla’s uncle Ben, who lived in Birdstail, come over and stayed at the ranch while Uncle Cal was gone.","在卡尔大叔离开的这段时间里，玛丽拉住在雀尾城的叔叔本来到了牧场，并住了下来。"
"“It was ninety miles to San Antone, and forty to the nearest railroad-station, so Uncle Cal was gone about four days.","“牧羊场距离圣安东尼有九十英里远，距离最近的火车站也有四十英里，因此卡尔大叔走了大约四天。"
"I was over at the Double-Elm when he came rolling back one evening about sundown.","一天傍晚日落时分，他摇摇晃晃地回来了，当时我碰巧也在双榆树岔口。"
"And up there in the wagon, sure enough, was a piano or a organ—we couldn’t tell which—all wrapped up in woolsacks, with a wagon-sheet tied over it in case of rain.","那马车上确实有一架钢琴或风琴——我们区分不出来到底是哪种——全用羊毛袋包裹了起来，上面还绑着一块货车篷布，以防淋雨。"
"And out skips Marilla, hollering, ‘Oh, oh!’ with her eyes shining and her hair a-flying.","玛丽拉跳了出来，欢呼着：‘哦，哦！’她的眼睛闪闪发亮，秀发飞舞。"
"‘Dad—dad,’ she sings out, ‘have you brought it—have you brought it?’—and it right there before her eyes, as women will do.","‘爸爸——爸爸，’她简直唱了出来，‘你买了吗——你买了吗？’——琴明明就在她眼前嘛，女人都会这样。"
"“‘Finest piano in San Antone,’ says Uncle Cal, waving his hand, proud.","“‘圣安东尼最好的钢琴，’卡尔大叔挥着手，自豪地说道，"
"‘Genuine rosewood, and the finest, loudest tone you ever listened to.","‘真正的紫檀木，音色也是你听过的最美妙、最响亮的。"
"I heard the storekeeper play it, and I took it on the spot and paid cash down.’","我听琴行老板弹过这琴，当场就付现金买下了它。’"
"“Me and Ben and Uncle Cal and a Mexican lifted it out of the wagon and carried it in the house and set it in a corner.","“我和本、卡尔大叔，还有一个墨西哥人一起把钢琴从马车上搬下来，抬进屋里，放置在一个角落里。"
"It was one of them upright instruments, and not very heavy or very big.","它是一种直立式的乐器，既不太沉，也不太大。"
"“And then all of a sudden Uncle Cal flops over and says he’s mighty sick.","“可是那之后，卡尔大叔突然猛地坐了下来，说他觉得非常难受。"
"He’s got a high fever, and he complains of his lungs.","他发了高烧，还直抱怨肺部不好受。"
"He gets into bed, while me and Ben goes out to unhitch and put the horses in the pasture, and Marilla flies around to get Uncle Cal something hot to drink.","他躺到床上，我和本出去解开马缰，把马牵到牧场上，玛丽拉则飞快地跑来跑去，给卡尔大叔弄点儿热东西喝。"
"But first she puts both arms on that piano and hugs it with a soft kind of a smile, like you see kids doing with their Christmas toys.","但她还是先张开双臂拥抱了钢琴，面带温柔的微笑，就像你看到的孩子们对待他们的圣诞玩具那样。"
"“When I came in from the pasture, Marilla was in the room where the piano was.","“当我从牧场回来时，玛丽拉正在放有钢琴的房间里呆着。"
"I could see by the strings and woolsacks on the floor that she had had it unwrapped.","通过地上散落着的绳子和羊毛袋，我看得出她已经把它拆封了。"
"But now she was tying the wagon-sheet over it again, and there was a kind of solemn, whitish look on her face.","可现在，她正重新把那块篷布绑到琴上，面色有些苍白，表情有些严肃。"
"“‘Ain’t wrapping up the music again, are you, Marilla?’ I asks.","“‘你不会再把琴包起来了，是吧，玛丽拉？’我问道，"
"‘What’s the matter with just a couple of tunes for to see how she goes under the saddle?’","‘弹一两下，看看它在卸下马鞍后怎么样，如何？’"
"“‘Not to-night, Rush,’ says she.","“‘今晚不行，拉什，’她说，"
"‘I don’t want to play any to-night.","‘我今晚一点儿也不想弹。"
"Dad’s too sick.","爸爸病得太厉害。"
"Just think, Rush, he paid three hundred dollars for it—nearly a third of what the wool-clip brought!’","你想想，拉什，他买这琴花了三百块钱——几乎是这一季卖羊毛总收入的三分之一啊！’"
"“‘Well, it ain’t anyways in the neighbourhood of a third of what you are worth,’ I told her.","“‘可无论如何，它也远不及你的价值的三分之一呀。’我告诉她说，"
"‘And I don’t think Uncle Cal is too sick to hear a little agitation of the piano-keys just to christen the machine.","‘我想卡尔大叔还不至于病得听不见，你就稍稍拨弄几下琴键，仅仅给这机器来个洗礼仪式而已。"
"“‘Not to-night, Rush,’ says Marilla, in a way that she had when she wanted to settle things.","“‘今晚不行，拉什。’玛丽拉以她要决定某事时惯用的口吻说。"
"“But it seems that Uncle Cal was plenty sick, after all.","“总之，卡尔大叔似乎病得相当严重。"
"He got so bad that Ben saddled up and rode over to Birdstail for Doc Simpson.","他病得太厉害了，所以本备好马，一路飞奔到雀尾城去请辛普森医生。"
"I stayed around to see if I’d be needed for anything.","我留了下来，看看有没有什么事需要我帮忙。"
"“When Uncle Cal’s pain let up on him a little he called Marilla and says to her: ‘Did you look at your instrument, honey?","“当卡尔大叔的疼痛稍稍缓解一点儿的时候，他叫来玛丽拉，对她说：‘你看过你的钢琴了吗，亲爱的？"
"And do you like it?’","你喜欢吗？’"
"“‘It’s lovely, dad,’ says she, leaning down by his pillow; ‘I never saw one so pretty.","“‘它非常可爱，爸爸，’她斜靠着卡尔大叔的枕头说，‘我从没见过这么漂亮的钢琴。"
"How dear and good it was of you to buy it for me!’","您为我买下了它，您实在是太好了！’"
"“‘I haven’t heard you play on it any yet,’ says Uncle Cal; ‘and I’ve been listening.","“‘我还没听你弹过它呢，’卡尔大叔说，‘我一直在注意听。"
"My side don’t hurt quite so bad now—won’t you play a piece, Marilla?’","现在我不那么痛了——你不愿意弹一曲吗，玛丽拉？’"
"“But no; she puts Uncle Cal off and soothes him down like you’ve seen women do with a kid.","“可是她没有弹，她搪塞了卡尔大叔两句，并抚慰他平静下来，就像女人哄孩子时做的那样。"
"It seems she’s made up her mind not to touch that piano at present.","她似乎已下定决心，现在不去碰那架钢琴。"
"“When Doc Simpson comes over he tells us that Uncle Cal has pneumonia the worst kind; and as the old man was past sixty and nearly on the lift anyhow, the odds was against his walking on grass any more.","“辛普森医生赶来了，他告诉我们，卡尔大叔患上了最严重的肺炎，况且老人已经六十多岁了，身体也有些虚弱，恐怕再也不可能在草地上漫步了。"
"“On the fourth day of his sickness he calls for Marilla again and wants to talk piano.","“在他病倒的第四天，他又叫来玛丽拉，想和她谈谈钢琴的事。"
"Doc Simpson was there, and so was Ben and Mrs. Ben, trying to do all they could.","辛普森医生在那里，本和他夫人也都在，尽力去做一切他们能做的事。"
"“‘I’d have made a wonderful success in anything connected with music,’ says Uncle Cal.","“‘我在音乐方面取得了一个了不起的成就。’卡尔大叔说，"
"‘I got the finest instrument for the money in San Antone.","‘我在圣安东尼买到了最好、最物有所值的乐器。"
"Ain’t that piano all right in every respect, Marilla?’","那架钢琴是不是很完美，玛丽拉？’"
"“‘It’s just perfect, dad,’ says she.","“‘太完美啦，爸爸。’她说，"
"‘It’s got the finest tone I ever heard.","‘它演奏出了我听到过的最动听的音调。"
"But don’t you think you could sleep a little while now, dad?’","但是，您现在能不能稍微睡一会儿呢，爸爸？’"
"“‘No, I don’t,’ says Uncle Cal.","“‘不，我不想睡，’卡尔大叔说，"
"‘I want to hear that piano.","‘我想听听那架钢琴的琴声。"
"I don’t believe you’ve even tried it yet.","我不信你已经试弹过了。"
"I went all the way to San Antone and picked it out for you myself.","我一路跑到圣安东尼，亲自为你挑选了这架钢琴。"
"It took a third of the fall clip to buy it; but I don’t mind that if it makes my good girl happier.","为了买它，我花了这一季剪羊毛所得的三分之一，但只要它能让我的好女儿更快乐，我才不介意。"
"Won’t you play a little bit for dad, Marilla?’","你不愿为爸爸弹两首吗，玛丽拉？’"
"“Doc Simpson beckoned Marilla to one side and recommended her to do what Uncle Cal wanted, so it would get him quieted.","“辛普森医生示意玛丽拉来到一边，劝她按照卡尔大叔所希望的去做，那会使他平静下来。"
"And her uncle Ben and his wife asked her, too.","她的叔叔和婶婶也一起劝她。"
"“‘Why not hit out a tune or two with the soft pedal on?’ I asks Marilla.","“‘为什么不踩着弱音踏板弹上一两曲呢？’我问玛丽拉，"
"‘Uncle Cal has begged you so often.","‘卡尔大叔一再地央求你。"
"It would please him a good deal to hear you touch up the piano he’s bought for you.","听到你弹他为你买的钢琴，他一定会非常高兴的。"
"Don’t you think you might?’","你不可以弹一下吗？’"
"“But Marilla stands there with big tears rolling down from her eyes and says nothing.","“但是玛丽拉只是站在那儿，硕大的泪珠从眼睛里滚下来，却一句话也不说。"
"And then she runs over and slips her arm under Uncle Cal’s neck and hugs him tight.","然后，她跑过去，把胳膊伸到卡尔大叔的脖颈下，紧紧地拥抱着他。"
"“‘Why, last night, dad,’ we heard her say, ‘I played it ever so much.","“‘哎呀，昨天晚上，爸爸，’我们听到她说，‘我弹了好多呢。"
"Honest—I have been playing it.","真的——我一直在弹。"
"And it’s such a splendid instrument, you don’t know how I love it.","这真是一件出色的乐器，你不知道我有多喜爱它。"
"Last night I played “Bonnie Dundee” and the “Anvil Polka” and the “Blue Danube”—and lots of pieces.","昨天晚上我弹了《漂亮的邓迪》、《乐砧波尔卡》和《蓝色多瑙河》——还有许多曲目。"
"You must surely have heard me playing a little, didn’t you, dad?","你肯定听到了一点儿我弹的声音，对吗，爸爸？"
"I didn’t like to play loud when you was so sick.’","我不想在你病得这么严重的时候弹得太响亮。’"
"“‘Well, well,’ says Uncle Cal, ‘maybe I did.","“‘好吧，好吧，’卡尔大叔说，‘可能我听到了。"
"Maybe I did and forgot about it.","可能我听到了又忘了。"
"My head is a little cranky at times.","有时，我脑子有点儿混乱。"
"I heard the man in the store play it fine.","我听到琴行里的那个人弹得很好。"
"I’m mighty glad you like it, Marilla.","真高兴你喜欢这架琴，玛丽拉。"
"Yes, I believe I could go to sleep a while if you’ll stay right beside me till I do.’","是的，如果你能一直陪在我身边直到我睡着，我相信我能睡一会儿。’"
"“There was where Marilla had me guessing.","“这就是玛丽拉让我捉摸不透的地方。"
"Much as she thought of that old man, she wouldn’t strike a note on that piano that he’d bought her.","她处处为那老人着想，却不愿在他为她买来的钢琴上弹出一个音符。"
"I couldn’t imagine why she told him she’d been playing it, for the wagon-sheet hadn’t ever been off of it since she put it back on the same day it come.","我想不明白她为什么要告诉卡尔大叔她已经弹过了，因为钢琴拉回来的那天，她又把篷布盖回到钢琴上，之后就一直没扯下来。"
"I knew she could play a little anyhow, for I’d once heard her snatch some pretty fair dance-music out of an old piano at the Charco Largo Ranch.","我知道她无论如何是会弹一点儿的，因为我曾在查科拉戈牧场听到过她在一架旧钢琴上弹了几首不错的舞曲。"
"“Well, in about a week the pneumonia got the best of Uncle Cal.","“唉，过了大约一个星期，肺炎还是击垮了卡尔大叔。"
"They had the funeral over at Birdstail, and all of us went over.","他们在雀尾城举行了葬礼，我们都过去了。"
"I brought Marilla back home in my buckboard.","我驾着马车把玛丽拉送回家。"
"Her uncle Ben and his wife were going to stay there a few days with her.","她的叔叔本和婶婶将陪她在那里住几天。"
"“That night Marilla takes me in the room where the piano was, while the others were out on the gallery.","“那天晚上，玛丽拉带我来到放有钢琴的那个房间，当时其他人都在屋外的走廊上。"
"“‘Come here, Rush,’ says she; ‘I want you to see this now.’","“‘到这儿来，拉什，’她说，‘现在我想让你看看这架琴。’"
"“She unties the rope, and drags off the wagon-sheet.","“她解开绳子，扯下那块马车篷布。"
"“If you ever rode a saddle without a horse, or fired off a gun that wasn’t loaded, or took a drink out of an empty bottle, why, then you might have been able to scare an opera or two out of the instrument Uncle Cal had bought.","“如果你曾骑过没放在马背上的马鞍，或者开过没装子弹的枪，或者对着个空瓶子喝过酒，那么，或许你能惊人地在卡尔大叔买的乐器上弹出一两段歌剧。"
"“Instead of a piano, it was one of the machines they’ve invented to play the piano with.","“那不是一架钢琴，而是他们发明出来的弹钢琴时要用的机器之一。"
"By itself it was about as musical as the holes of a flute without the flute.","作为一个乐器来说，它的功能与那没长在长笛上的笛孔是一样的。"
