"The Turtle and His Bride","海龟和他的新娘"
"But though he was very much offended he did not let the girl see it, and begged and, prayed her so hard to marry him that, at last, she consented, very unwillingly.","尽管他觉得自己被严重冒犯，但他没有让姑娘察觉到，同时还努力地请求对方嫁给他。最终，她非常不情愿地同意了。"
"‘You will have to wait till the spring, though,’ she said; ‘I must make a great many slippers and dresses for myself, as I shall not have much time afterwards.’","“但是，你只有等到春天了，”她说，“我必须为自己做很多的拖鞋和裙子，因为我以后不会有那么多时间做这些了。”"
"This did not please the turtle; but he knew it was no use talking, so all he answered was:","这并没有让海龟感到高兴，但是他知道光说也没有用，所以他只是回答道："
"‘I shall go to war and take some captives, and I shall be away several months.","“我要去参加战争，抓一些俘虏，因此我将要离开几个月。"
"And when I return I shall expect you to be ready to marry me.’","当我回来的时候，我希望你准备好和我结婚。”"
"So he went back to his hut, and at once set about his preparations.","之后他回到了自己的小屋，便马上着手做准备出征。"
"The first thing he did was to call all his relations together, and ask them if they would come with him and make war on the people of a neighbouring village.","他做的第一件事就是把他所有的亲戚叫到一起，询问他们是否愿意和他一道向邻村人发起一场战争。"
"The turtles, who were tired of doing nothing, agreed at once, and next day the whole tribe left the camp.","那些厌倦了整日无所事事的海龟马上同意了他的建议。第二天，部落里所有的海龟都离开了营地。"
"The girl was standing at the door of her hut as they passed, and laughed out loud—they moved so slowly.","他们走过姑娘的小屋前时，姑娘正站在门口，她大声笑了起来——他们前进的速度如此之慢。"
"Her lover, who was marching at the head, grew very angry at this, and cried out:","她的爱人走在行军队伍的最前方，听到笑声之后非常生气，大声地喊道："
"‘In four days from now you will be weeping instead of laughing, because there will be hundreds of miles between you and me.’","“四天以后,你就不会再笑，而是该哭了，因为到时候你我之间的距离会有几百英里远。”"
"‘In four days,’ replied the girl—who only promised to marry him in order to get rid of him—‘in four days you will hardly be out of sight.’","“四天后，”姑娘回答道——她之所以答应和他结婚就是要摆脱他——“四天后你还是很难离开我的视线。”"
"‘Oh, I did not mean four days, but four YEARS,’ answered the turtle, hastily; ‘whatever happens I shall be back by then.’","“哦，我不是指四天，而是四年，”海龟草率地回答道，“无论发生什么，我都会在四年后回来。”"
"The army marched on, till one day, when they felt as if they must have got half round the earth, though they were scarcely four miles from the camp, they found a large tree lying across their path.","部队在前进，直到有一天，他们感觉自己仿佛已经走了半个地球，然而实际上才离开营地四英里。这时，他们发现前方的路上横着一棵大树。"
"They looked at it with dismay, and the oldest among them put their heads together to see what was to be done.","他们失望地看着这棵树，其中最年长的海龟们聚在一起商量应该怎么办。"
"‘Can’t we manage to get past by the top?’ asked one.","“我们难道不能设法从树顶上通过吗？”其中一只问道。"
"‘Why, it would take us YEARS,’ exclaimed another.","“什么？那可能要花费我们几年的时间。”另一只大声说，"
"‘Just look at all those tall green branches, spreading in every direction.","“你们看看这些向四周蔓延、又长又绿的枝条。"
"If once we got entangled in THEM, we should never get out again!’","如果我们一旦缠在里面，就再也出不来了！”"
"‘Well then, let us go round by the bottom,’ said a third.","“那么这样吧，我们绕着底部走过去。”第三只海龟说。"
"‘How are we to do that, when the roots have made a deep hole, and above that is a high bank?’ replied a fourth.","“我们怎么过去？树根已经在地面上弄了一个很深的洞，上方还是高堤。”第四只海龟回答道，"
"‘No; the only way I can think of, is to burn a large hole in the trunk.’","“不，我认为唯一可行的方法是在树干上烧出一个大洞。”"
" And this they did, but the trunk was very thick, and would not burn through.","他们确实这么做了，但是树干过于粗厚，烧不穿它。"
"‘It is no use, we must give it up,’ they agreed at last.","“没用，我们必须放弃。”他们最终达成一致，"
"‘After all, nobody need ever know!","“毕竟，没有人会知道！"
"We have been away such a long while that we might easily have had all sorts of adventures.’","我们已经走了这么长时间，可能很容易就遇见各种各样的困难。”"
" And so the whole company turned homewards again.","所以整个队伍又掉头朝家的方向走去。"
"They took even longer to go back than they had to come, for they were tired and footsore with their journey.","由于他们都很累，行程让他们的脚感到酸痛，因此回去的时间远比出发的时间要长。"
"When they drew near the camp they plucked up their courage, and began to sing a war-song.","他们靠近营地时，又鼓足了勇气，准备唱一首战歌。"
"At this the villagers came flocking to see what spoils the turtles had won, but, as they approached, each turtle seized some one by the wrist, exclaiming: ‘You are our spoils; you are our prisoners!’","面对这番情形，村民都聚在了一起看看他们获得了什么战利品。但当他们靠近时，每只海龟都抓住了一个村民的手腕，大声喊道：“你们是我们的战利品，你们是我们的俘虏！”"
"‘Now that I have got you I will keep you,’ said the leader, who had happened to seize his betrothed.","“既然我抓到了你，我就会把你留下。”首领说，他碰巧抓住了他的未婚妻。"
"Everybody was naturally very angry at this behaviour, and the girl most of all, and in her secret heart she determined to have her revenge.","每个人自然都对这种举动表示很气愤，尤其是那个姑娘，她决定秘密地展开报复行动。"
"But, just at present, the turtles were too strong, so the prisoners had to put on their smartest slippers and their brightest clothes, and dance a war dance while the turtles sang.","但是眼下，这些海龟过于强壮，所以俘虏们不得不穿上最漂亮的拖鞋和最鲜艳的服装，在海龟的歌声下跳一场战舞。"
"They danced so long that it seemed as if they would never stop, till the turtle who was leading the singing suddenly broke into a loud chant:","他们跳了很长时间，好像永远都不会停下，直到领歌的海龟突然大声喊起来："
"Whoever comes here, will die, will die!","“无论谁来这儿都要死，都要死！”"
"At this all the dancers grew so frightened that they burst through the ring of their captors, and ran back to the village, the turtles following—very slowly.","此时所有跳舞的人都感到十分惊恐，他们冲出了逮捕者们的包围，朝村子跑去，海龟跟在他们后面——速度慢极了。"
"On the way the chief turtle met a man, who said to him:","在路上，领头的海龟遇到了一个人，他对海龟说："
"‘That woman who was to have been your wife has married another man!’","“那个答应成为你妻子的女人已经和别人结婚了！”"
"‘Is that true?’ said the turtle.","“真的吗？”海龟说道，"
"‘Then I must see him.’","“那我必须见见他。”"
"But as soon as the villager was out of sight the turtle stopped, and taking a bundle containing fringes and ornaments from his back, he hung them about him, so that they rattled as he walked.","那个村民一消失不见，海龟就停止了追逐，从后面拿出了一束有流苏和装饰物的捆子，吊在了自己面前。这样，他在走的时候，那捆子就会不停地发出丁零当啷的碰撞声。"
"When he was quite close to the hut where the woman lived, he cried out:","当海龟离那个女人家不远的时候，他喊道："
"‘Here I am to claim the woman who promised to be my wife.’","“我来这是要带走之前答应嫁给我的女人。”"
"‘Oh, here is the turtle,’ whispered the husband hurriedly; ‘what is to be done now?’","“哦，是海龟来了，”女人的丈夫慌忙地小声说道，“现在该怎么办？”"
"‘Leave that to me; I will manage him,’ replied the wife, and at that moment the turtle came in, and seized her by the wrist.","“你别管了，我会对付他。”妻子答道。就在此时，海龟走了进来，抓住了她的手腕。"
"‘Come with me,’ he said sternly.","“跟我来。”他坚定地说。"
"‘You broke your promise,’ answered she.","“你违背了诺言，”她回答道。"
"‘You said you would be back soon, and it is more than a year since you went!","“你说你会很快就回来，可是你已经走了一年多了！"
"How was I to know that you were alive?’","我怎么知道你还活着？”"
"At her words the husband took courage, and spoke hastily:","听了她的话，丈夫鼓起了勇气连忙说："
"‘Yes, you promised you would go to war and bring back some prisoners, and you have not done it.’","“是啊，你答应过你要去参加战争，并且会带回来一些俘虏，可你并没有做到啊。”"
"‘I DID go, and made many prisoners,’ retorted the turtle angrily, drawing out his knife.","“我确实去了，也抓了许多俘虏，”海龟气愤地反驳道，抽出刀子，"
"‘Look here, if she won’t be MY wife, she sha’n’t be YOURS.","“听着，如果她不能够成为我的妻子，也不会成为你的妻子。"
"I will cut her in two; and you shall have one half, and I the other.’","我会把她切成两半；你占有一半，我占有另一半。”"
"‘But half a woman is no use to me,’ answered the man.","“但是半个女人对我来说没有用，”他回答说，"
"‘If you want her so much you had better take her.’","“如果你这么想要她，那么最好把她带走。”"
" And the turtle, followed by his relations, carried her off to his own hut.","于是，海龟就在亲戚们的跟随下，把她带回了自己家。"
"Now the woman saw she would gain nothing by being sulky, so she pretended to be very glad to have got rid of her husband; but all the while she was trying to invent a plan to deliver herself from the turtle.","现在，这个女人发现生气一点儿用都没有，所以她假装自己非常开心，能够摆脱她的丈夫，其实她始终都在构思一个能够摆脱海龟的计划。"
"At length she remembered that one of her friends had a large iron pot, and when the turtle had gone to his room to put away his fringes, she ran over to her neighbour’s and brought it back.","最后，她想起来自己的一个朋友有一口大铁锅，于是当海龟回到自己的屋子放好他的流苏装饰物时，她马上跑到邻居家把那口锅取来。"
"Then she filled it with water and hung it over the fire to boil.","之后她便向锅里装满水，放在火上煮。"
"It was just beginning to bubble and hiss when the turtle entered.","正当水开始沸腾冒泡、发出嘶嘶声时，海龟走了进来。"
"‘What are you doing there?’ asked he, for he was always afraid of things that he did not understand.","“你在那里做什么？”他询问道，因为他总是对自己不明白的事情感到害怕。"
"‘Just warming some water,’ she answered.","“就是热点儿水。”她回答说，"
"‘Do you know how to swim?’","“你会游泳吗？”"
"‘Yes, of course I do.","“会啊，我当然会。"
"What a question!","这是什么问题！"
"But what does it matter to you?’ said the turtle, more suspicious than ever.","但这和你又有什么关系？”海龟说着，比之前更感到怀疑。"
"‘Oh, I only thought that after your long journey you might like to wash.","“哦，我只是觉得，你走了这么长时间，可能想洗个澡。"
"The roads are so muddy, after the winter’s rains.","冬天下过雨之后，路这么泥泞。"
"I could rub your shell for you till it was bright and shining again.","我可以为你擦擦壳，直到它再次变得闪闪发亮。”"
"‘Well, I AM rather muddy.","“是，我身上的确有很多烂泥。"
"If one is fighting, you know, one cannot stop to pick one’s way.","你知道，一旦你在战斗中，你就不能停下来选择自己该走哪条路。"
"I should certainly be more comfortable if my back was washed.’","如果洗干净背，我一定会感到更舒服的。”"
"The woman did not wait for him to change his mind.","女人没有等他改变主意。"
"She caught him up by his shell and popped him straight into the pot, where he sank to the bottom, and died instantly.","她抓住他的壳，砰的一下直接就把他扔进了锅里，海龟沉到锅底，马上就死了。"
"The other turtles, who were standing at the door, saw their leader disappear, and felt it was their duty as soldiers to follow him; and, springing into the pot, died too.","站在门口的其他海龟看见他们的首领不见了，觉得作为士兵有义务追随他。于是他们跳进锅里，也死了。"
"All but one young turtle, who, frightened at not seeing any of his friends come out again, went as fast as he could to a clump of bushes, and from there made his way to the river.","只有一只年轻的海龟，看到他的同伴没有再出来后，感到害怕了，便以最快的速度跑进了灌木丛里，朝河流的方向前进。"
"His only thought was to get away as far as possible from that dreadful hut; so he let the river carry him where it was going itself, and at last, one day, he found himself in the warm sea, where, if he is not dead, you may meet him still.","他唯一的想法就是离开那个可怕的屋子，走得越远越好。所以他随着河水的水流离开了这个地方，最终有一天，他发现自己来到了一片温暖的海洋。如果他还没有死的话，你仍可能在那里看见他。"
"[Bureau of Ethnology.]","【民族学局】"

