书名跛子（莫泊桑短篇小说）短简介“我”在火车上重遇有过一面之缘的雷瓦利尔中尉。战争夺去了他的双腿，也让他无法与深爱的女友共谐连理，她最终另嫁他人。《跛子》通过一段火车上的偶遇，引出了一段令人扼腕的爱情往事，而故事的结尾则令人感到无限欣慰。长简介“短篇小说之王”莫泊桑的短篇小说《跛子》以第一人称视角讲述了“我”的一次旅途奇遇。“我”在火车上意外重遇有过一面之缘的雷瓦利尔中尉。残酷的战争夺去了他的双腿，也让他无法与深爱的女友共谐连理。他随身携带的几个包裹引起了“我”强烈的好奇心，他究竟成家与否，又是否已为人父呢？提及往事，他言语间并无憎恨和抱怨，却仍极力维护着当年的爱人，即使她已另嫁他人。没想到，火车到站之后，等待他的却是……关键字跛子；莫泊桑；外研社编译组；短篇；社会；爱情；杜撰作者（法）莫泊桑作者简介莫泊桑（1850—1893），19世纪后半期法国优秀的批判现实主义作家，与契诃夫、欧·亨利并称世界三大短篇小说巨匠，对后世产生极大影响，被誉为“短篇小说之王”。他的短篇小说构思别具匠心，情节变化多端，描写生动细致，刻画人情世态惟妙惟肖，令人读后回味无穷。他的作品深受叔本华的影响，渗透了浓厚的悲观主义。代表作品有：《羊脂球》、《项链》、《我的叔叔于勒》。书评“读他的作品的时候，可以是笑或是哭，但永远是发人深思的。”——左拉     本篇的三个主题：残破的身躯、高尚的品格、伟大的爱情。
The Cripple	跛子
I raised my eye to the net, where all the packages which had been brought in by the servant were trembling from the motion of the train, and the voice of the servant came back to me, as if he had just finished speaking.	我抬眼看那网兜，所有那些被仆人放进去的包裹都在随火车的运行而颤动，而那个仆人的话又萦绕在我耳边，就像是他刚刚才讲完一样。
He had said: “There, monsieur, that is all.	 他曾说：“行了，就这些了，先生。
There are five of them: the candy, the doll, the drum, the gun, and the pate de foies gras.”	一共有五样——糖果、洋娃娃、鼓、电子枪，还有菰鹅肝酱。”
Then, in a second, a whole romance unfolded itself in my head.	于是，一部完整的罗曼史瞬间展现在我脑海里。
It was like all those which I had already read, where the young lady married notwithstanding the catastrophe, whether physical or financial; therefore, this officer who had been maimed in the war had returned, after the campaign, to the young girl who had given him her promise, and she had kept her word.	它跟我读过的所有罗曼史一样。在所有那些小说里，那位年轻女孩，在遭受了肉体上的或经济上的灾难后，还是嫁给了她的未婚夫。因此，这个已经在战争中残废了的军官，在战役结束后回到了那个年轻女孩的身边。她曾向他许下的诺言，也兑现了。 
I considered that very beautiful, but simple, just as one, considers simple all devotions and climaxes in books or in plays.	我认为那非常美好，但却纯粹，就像一个人认为书里或剧本里的各种奉献精神和高潮情节都是纯粹的一样。
It always seems, when one reads or listens to these stories of magnanimity, that one could sacrifice one’s self with enthusiastic pleasure and overwhelming joy. But the following day, when an unfortunate friend comes to borrow some money, there is a strange revulsion of feeling.	当我们阅读或聆听到这些高尚的故事时，我们似乎总是会能带着满腔的热情和无法抗拒的快乐做出自我牺牲。但是第二天，当一个不幸的朋友前来借一些钱的时候，我们却会有一种莫名的厌恶感。
But, suddenly, another supposition, less poetic and more realistic, replaced the first one. Perhaps he had married before the war, before this frightful accident, and she, in despair and resignation, had been forced to receive, care for, cheer, and support this husband, who had departed, a handsome man, and had returned without his feet, a frightful wreck, forced into immobility, powerless anger, and fatal obesity.	然而，忽然之间，另一种不够诗意却更为现实的推测取代了第一个。也许在战争爆发之前，在那次可怕的意外之前他就已经结婚了；而她，绝望而无可奈何地被迫接受、照顾、鼓励和供养这个丈夫。他离开时是个帅气的男人，回来时却失去了双腿，只剩一副可怕的残躯，无奈地落到无法活动、徒劳生气和注定会发胖的境地。
Was he happy or in torture?	他是幸福，还是备受煎熬呢？
I was seized with an irresistible desire to know his story, or, at least, the principal points, which would permit me to guess that which he could not or would not tell me.	我无法遏制地想知道他的故事，或者，至少让我知道那些重要的情节，那就足以让我推测他不能或不愿告诉我的部分。
Still thinking the matter over, I began talking to him. We had exchanged a few commonplace words; and I raised my eyes to the net, and thought: “He must have three children: the bonbons are for his wife, the doll for his little girl, the drum and the gun for his sons, and this pate de foies gras for himself.”	依然思考着这个问题，我开始跟他聊天。我们寒暄了几句之后，我抬眼看向那网兜，心想：“他一定有三个孩子：那糖果是给他妻子的，那洋娃娃是给他的小女儿的，那鼓和电子枪是给他的儿子们的，而这菰鹅肝酱是给他自己的。”
Suddenly I asked him: “Are you a father, monsieur?”	突然我问他：“您是一位父亲吗，先生？”
He answered: “No, monsieur.”	他回答说：“不是的，先生。”
I suddenly felt confused, as if I had been guilty of some breach of etiquette, and I continued: “I beg your pardon.	我突然感到困惑了，就像是因破坏某些礼仪而深感愧疚一样，于是我继续说道：“请原谅。
I had thought that you were when I heard your servant speaking about the toys.	当我听到您的仆人谈到那些玩具时，我一度以为您是一位父亲。 
One listens and draws conclusions unconsciously.”	一个人听到那样的话会不自觉地得出那样结论的。”
He smiled and then murmured: “No, I am not even married.	他微笑了起来，然后喃喃道：“不，我连婚都没结。
I am still at the preliminary stage.”	我仍是单身。”
I pretended suddenly to remember, and said:	我装作突然想起来，并说：
“Oh!	“哦！
that’s true!	没错！
When I knew you, you were engaged to Mademoiselle de Mandel, I believe.”	我记得当我认识您的时候，您跟德曼德尔小姐了订婚了。”
“Yes, monsieur, your memory is excellent.”	“是的，先生，您的记忆力相当不错。”
I grew very bold and added: “I also seem to remember hearing that Mademoiselle de Mandel married Monsieur—Monsieur—”	我大胆地补充说：“我好像还记得，听说德曼德尔小姐嫁给了——呃——”
He calmly mentioned the name: “Monsieur de Fleurel.”	他平静地提及那个名字：“弗勒先生。”
“Yes, that’s it!	“没错，就是他！
I remember it was on that occasion that I heard of your wound.”	我记得就是在那时我听说了您的伤势。”
I looked him full in the face, and he blushed.	我直直地盯着他的脸，他脸红了。
His full face, which was already red from the oversupply of blood, turned crimson.	他整张脸，原本就因血液供应过剩而发红，如今变成深红了。
He answered quickly, with a sudden ardor of a man who is pleading a cause which is lost in his mind and in his heart, but which he does not wish to admit.	当一个人为一个在精神上和心里已经败诉，却不愿承认的案件辩护时，都会带着一种突如其来的热情，他快速回答道：
“It is wrong, monsieur, to couple my name with that of Madame de Fleurel.	“先生，把我的名字和德弗勒太太的联系在一起是错的。
When I returned from the war—without my feet, alas!	当我从战场回来时——没有了双脚，唉！
I never would have permitted her to become my wife.	我绝不会允许她成为我的妻子。
Was it possible?	那可能吗？
When one marries, monsieur, it is not in order to parade one’s generosity; it is in order to live every day, every hour, every minute, every second beside a man; and if this man is disfigured, as I am, it is a death sentence to marry him!	先生，一个人结婚不是为了展示自己的慷慨大方，而是为了和另一个人一起度过每一天、每一个小时、每一分、每一秒。如果那个人身体有残，就像我一样，那嫁给他就等于给自己判了死刑！
Oh, I understand, I admire all sacrifices and devotions when they have a limit, but I do not admit that a woman should give up her whole life, all joy, all her dreams, in order to satisfy the admiration of the gallery.	唉，我明白，我也钦佩所有的牺牲和奉献，只要它们在一定的程度以内；但我不接受一个女人为了迎合旁人的赞赏而放弃她的一生、所有的快乐以及所有的梦想。
When I hear, on the floor of my room, the tapping of my wooden legs and of my crutches, I grow angry enough to strangle my servant.	当我听到我木制的双腿和我的拐杖在我房间的地板上发出敲击声时，我会愤怒到想要勒死我的仆人。
Do you think that I would permit a woman to do what I myself am unable to tolerate?	您觉得我会允许一个女人去做连我自己都无法忍受的事吗？
And, then, do you think that my stumps are pretty?”	对了，您觉得我的假肢还行吗？”
He was silent.	他沉默了。
What could I say?	我能说什么呢？
He certainly was right.	他当然是对的。
Could I blame her, hold her in contempt, even say that she was wrong?	我能责备她，轻视她，甚至说她错了吗？
No. However, the end which conformed to the rule, to the truth, did not satisfy my poetic appetite.	不能。然而，这个符合规则、符合事实的结局却不能迎合我诗意的胃口。
These heroic deeds demand a beautiful sacrifice, which seemed to be lacking, and I felt a certain disappointment.	这种英勇的行为似乎是缺少了它本该有的美好的牺牲，我感到很失望。
I suddenly asked: “Has Madame de Fleurel any children?”	我突然问道：“弗勒太太有小孩吗？”
“Yes, one girl and two boys.	“有，一个女孩和两个男孩。
It is for them that I am bringing these toys.	这些玩具就是为他们带的。
She and her husband are very kind to me.”	他们夫妇都对我很友好。”
The train was going up the incline to Saint-Germain.	火车越来越靠近圣日耳曼。
It passed through the tunnels, entered the station, and stopped.	它穿过隧道，进入车站，停了下来。
I was about to offer my arm to the wounded officer, in order to help him descend, when two hands were stretched up to him through the open door.	在我正准备伸手去帮那受伤的军官下车的时候，从打开的车门外伸进来两只手。
“Hello!	“你好！
my dear Revaliere!”	我亲爱的雷瓦利尔！”
“Ah!	“哦!
Hello, Fleurel!”	你好，弗勒！”
Standing behind the man, the woman, still beautiful, was smiling and waving her hands to him. A little girl, standing beside her, was jumping for joy, and two young boys were eagerly watching the drum and the gun, which were passing from the car into their father’s hands.	站在那个男人后面的是那个依旧漂亮的女人，她微笑着向他挥手。站在她身边的是一个可爱的小女孩，正欢快地雀跃着，两个小男孩正热切地注视着那从车里递到他们爸爸手上的鼓和电子枪。
When the cripple was on the ground, all the children kissed him. Then they set off, the little girl holding in her hand the small varnished rung of a crutch, just as she might walk beside her big friend and hold his thumb.	当那个跛子下了车后，所有的孩子都去亲吻他。然后他们出发了，小女孩手握着他拐杖上涂过漆的小横档，就好像她走在一个大朋友的旁边，并牵着他的大拇指一样。

