"书名白猿（约翰·高尔斯华绥《现代喜剧》三部曲之一）短简介迈克尔和弗勒，一个是贵族子弟，一个是名门望族的大小姐，他们的婚姻表面上令人称羡，实际却是暗潮汹涌。小说中的那幅中国名画《白猿》恰好是外表光鲜、内在腐朽的上层社会的写照——他们目光贪婪、恐惧，不顾一切地想把一切都攥在手中。长简介约翰·高尔斯华绥的长篇小说《白猿》是《现代喜剧》三部曲的第一部。小说通过对比两对身处不同的社会阶层的夫妻，揭示了在特定社会背景下，上流社会的腐朽虚荣和贫民阶级的痛苦和无奈。迈克尔和弗勒，贵族子弟和名门望族的联姻，表面上丰衣足食、令人称羡，实际却是貌合神离、同床异梦；托尼和维多琳一贫如洗、相濡以沫，却只能牺牲自己换取两人安稳度日的梦想，而那梦想也像蓝色蝴蝶，可望而不可即……小说中的那幅画《白猿》恰好是外表光鲜、内在腐朽的上层社会的写照——他们目光贪婪、恐惧，不顾一切地想把一切都攥在手中。关键字白猿；约翰·高尔斯华绥；外研社编译组；长篇；讽刺；小说；资产阶级作者（英）约翰·高尔斯华绥作者简介约翰·高尔斯华绥（1867-1933），英国小说家、剧作家，生于伦敦，曾在牛津大学读法律，后放弃律师工作从事文学创作。1906年出版长篇小说《有产业的人》，获得广泛好评，他也因此而被公认为英国第一流作家。高尔斯华绥最为人称道的是他的三个三部曲：《福尔赛世家》、《现代喜剧》和《尾声》，其中以《福尔赛世家》最为知名，他也凭此于1932年获得诺贝尔文学奖。书评他的作品语言简练、形象生动、讽刺辛辣。    在一个渐渐走向腐朽的社会，人人都贪婪、虚荣，不顾一切地想把一切都攥在手中。"
"The White Monkey","白猿"
"Well, it’s the fashion—Socialistic principles and a rich wife.","哦，这的确是一种时尚——社会主义的原则和一个富有的妻子。"
"Sacrifice with safety!","有所牺牲但又很安全！"
"Peace with plenty!","和平且富足！"
"Nostrums—ten a penny!’","万能灵药——一便士十粒！"
"Passing the newspaper hubbub of Charing Cross, frenzied by the political crisis, he turned up to the left towards Danby and Winter, publishers, where his son was junior partner.","查林十字广场上买卖报纸的喧哗由于这次政治危机变得更加嘈杂。他穿过广场向左拐，朝丹比&温特出版社走去，他的儿子是那里的第二合伙人。"
"A new theme for a book had just begun to bend a mind which had already produced a ‘Life of Montrose,’ ‘Far Cathay,’ that work of Eastern travel, and a fanciful conversation between the shades of Gladstone and Disraeli—entitled ‘A Duet.’","他已经出版了《蒙特罗斯传》一书、一部东方游记《遥远的契丹》以及《二重唱》。《二重唱》是描述格莱斯顿和迪斯雷利两个幽灵之间的幻想谈话。如今他又开始专心筹备新书了。"
"With every step taken, from ‘Snooks’ eastward, his erect thin figure in Astrakhan-collared coat, his thin grey-moustached face, and tortoise-shell rimmed monocle under the lively dark eyebrow, had seemed more rare.","他身材挺拔细长，身着阿斯特拉罕皮领外衣，瘦削的脸上留着灰白胡子，生动的浓眉下架着玳瑁边的单片眼镜。他从“轻蔑”俱乐部出来往东走，每走一步，都显得更加与众不同。"
"It became almost a phenomenon in this dingy back street, where carts stuck like winter flies, and persons went by with books under their arms, as if educated.","在这条肮脏的后街上，车辆犹如冬天里的苍蝇一般紧挨着，人们夹着书本穿梭其中，看上去似乎很有学问。在这里，像他这样的人物极为引人注目。","像他这样的人物极为引人注目 翻译不准确"
"He had nearly reached the door of Danby’s when he encountered two young men.","快到丹比出版社时，他遇到了两位年轻人。"
"One of them was clearly his son, better dressed since his marriage, and smoking a cigar—thank goodness—instead of those eternal cigarettes; the other—ah! yes—Michael’s sucking poet and best man, head in air, rather a sleek head under a velour hat!","其中一位很明显是他的儿子。自从结婚后，他儿子的打扮比以前讲究一些了，这会儿正吸着一支雪茄——谢天谢地——吸的不是那种没完没了的烟卷；另一位——啊，没错——是迈克尔不成气候的诗人朋友和结婚时的男傧相，他头昂得高高的，活像个油头滑脑的家伙！"
"He said:","他说道："
"“Ha, Michael!”","“嗨，迈克尔！”"
"“HALLO, Bart!","“你好，准爵爷！"
"You know my governor, Wilfrid?","威尔弗里德，你认识我爸爸吧？"
"Wilfrid Desert.","这是威尔弗里德·德赛特。"
"‘Copper Coin’—some poet, Bart, I tell you.","准爵爷，我告诉您，他是位伟大的诗人，也是《铜币》的作者。"
"You must read him.","您一定要读读他的作品。"
"We’re going home.","我们准备回家了。"
"Come along!”","一起走吧！”"
"Sir Lawrence went along.","劳伦斯爵士与他们同行。"
"“What happened at ‘Snooks’?”","“‘轻蔑’俱乐部情况如何？”"
"“Le roi est mort.","“国王去世。"
"Labour can start lying, Michael—election next month.”","工党可以开始编谎话了，迈克尔——下个月要进行大选了。”"
"“Bart was brought up, Wilfrid, in days that knew not Demos.”","“威尔弗里德，准爵爷是在不了解民众的时代长大的。”"
"“Well, Mr. Desert, do you find reality in politics now?”","“哦，德赛特先生，您觉得如今的政治现实可行吗？”"
"“Do you find reality in anything, sir?”","“先生，您在哪些方面发现它现实可行呢？”"
"“In income tax, perhaps.”","“或许是在所得税方面。”"
"Michael grinned.","迈克尔咧嘴笑了。"
"“Above knighthood,” he said, “there’s no such thing as simple faith.”","“地位在爵士以上的人，”他说道，“单纯的信仰对他们而言根本不存在。”"
"“Suppose your friends came into power, Michael—in some ways not a bad thing, help ‘em to grow up—what could they do, eh?","“假设你的朋友掌权，迈克尔——在某些方面，这其实并不是一件坏事，帮助他们发展起来——他们又能干些什么呢？"
"Could they raise national taste?","他们能提高国民的品位吗？"
"Abolish the cinema?","能取缔电影吗？"
"Teach English people to cook?","能教会英国人厨艺吗？"
"Prevent other countries from threatening war?","能阻止其他国家发动战争吗？"
"Make us grow our own food?","能帮我们种出我们自己吃的粮食吗？"
"Stop the increase of town life?","能控制城市人口增长吗？"
"Would they hang dabblers in poison gas?","他们会用毒气杀死那些滥竽充数的人吗？"
"Could they prevent flying in war-time?","他们能在战时把飞机打下来吗？"
"Could they weaken the possessive instinct—anywhere?","无论在何处，他们能削弱人们占有欲强的本性吗？"
"Or do anything, in fact, but alter the incidence of possession a little?","或者，除了稍微改变一点儿占有欲的问题，还能做点儿其他的什么吗？"
"All party politics are top dressing.","一切党派政治都善于浮华的装饰。"
"We’re ruled by the inventors, and human nature; and we live in Queer Street, Mr. Desert.”","我们受到制定规则的人和人性的支配，并且我们经济上陷入了困境，德赛特先生。”"
"“Much my sentiments, sir.”","“我也深有同感，先生。”"
"Michael flourished his cigar.","迈克尔晃了晃他手中的雪茄。"
"“Bad old men, you two!”","“难缠的人啊，你们二位呀！”"
"And removing their hats, they passed the Cenotaph.","经过纪念碑时，他们都脱下帽子。"
"“Curiously symptomatic—that thing,” said Sir Lawrence; “monument to the dread of swank—most characteristic.","“非常有代表性——那个东西，”劳伦斯爵士说，“害怕出风头的纪念碑——这说法真准确。"
"And the dread of swank—”","说到害怕出风头——”"
"“Go on, Bart,” said Michael.","“准爵爷，说下去。”迈克尔说道。"
"“The fine, the large, the florid—all off!","“一切优雅、博大、华丽的事物——全都消失了！"
"No far-sighted views, no big schemes, no great principles, no great religion, or great art—aestheticism in cliques and backwaters, small men in small hats.”","没有远见的卓识，没有宏伟的规划，没有高尚的原则，没有崇高的信仰，没有伟大的艺术——只有沉湎于小派系和穷乡僻壤里的唯美主义，和一些鼠目寸光的小人物而已。”"
"“As panteth the heart after Byron, Wilberforce, and the Nelson Monument.","“所以人心切慕拜伦、威尔伯福斯以及纳尔逊纪念碑。"
"My poor old Bart!","我可怜的准爵爷！"
"What about it, Wilfrid?”","威尔弗里德，你的看法呢？”"
"“Yes, Mr. Desert—what about it?”","“是啊，德赛特先生，你是怎么看的呢？”"
"Desert’s dark face contracted.","德赛特皱了皱阴沉的脸。"
"“It’s an age of paradox,” he said.","“这是个自相矛盾的时代。”他说，"
"“We all kick up for freedom, and the only institutions gaining strength are Socialism and the Roman Catholic Church.","“我们都高喊着要自由，但只有社会主义和罗马天主教会真正受益。"
"We’re frightfully self-conscious about art—and the only art development is the cinema.","我们非常清楚艺术的重要性——而唯一有所发展的艺术却是电影。"
"We’re nuts on peace—and all we’re doing about it is to perfect poison gas.”","我们热爱和平——但我们实际为和平所做的却是造出了毒气。”"
"Sir Lawrence glanced sideways at a young man so bitter.","劳伦斯爵士挖苦地朝那个年轻人斜睨了一眼。"
"“And how’s publishing, Michael?”","“迈克尔，出版社情况如何？”"
"“Well, ‘Copper Coin’ is selling like hot cakes; and there’s quite a movement in ‘A Duet.’","“嗯，《铜币》正在热销，《二重唱》销量也很可观。"
"What about this for a new ad.: ‘A Duet, by Sir Lawrence Mont, Bart.","像这样做个新广告如何：‘《二重唱》——作者：劳伦斯·蒙特爵士，准爵爷。"
"The most distinguished Conversation ever held between the Dead.’","两位逝者之间有史以来最杰出的对话。’"
"That ought to get the psychic.","这样肯定能够吸引通灵人士的注意。"
"Wilfrid suggested ‘G.O.M. and Dizzy—broadcasted from Hell.’","威尔弗里德建议使用‘老夫子和迪齐——来自地狱的广播’。"
"Which do you like best?”","您更喜欢哪一个呢？”"
"They had come, however, to a policeman holding up his hand against the nose of a van horse, so that everything marked time.","然而此时，他们走到了一位警察身边，警察正举手拦住一辆运货马车，因此所有车辆和行人都停止不前了。"
"The engines of the cars whirred idly, their drivers’ faces set towards the space withheld from them; a girl on a bicycle looked vacantly about her, grasping the back of the van, where a youth sat sideways with his legs stretched out towards her.","汽车的发动机轰轰作响，司机们面目呆滞，凝视着前方被封住的路；一个骑自行车的女孩茫然环顾四周，一手抓住那辆货车的尾部，一个青年侧坐在车上，两条腿直伸着对着她。"
"Sir Lawrence glanced again at young Desert.","劳伦斯爵士又朝年轻的德赛特瞥了一眼。"
"A thin, pale-dark face, good-looking, but a hitch in it, as if not properly timed; nothing outre in dress or manner, and yet socially at large; less vivacious than that lively rascal, his own son, but as anchorless, and more sceptical—might feel things pretty deeply, though!","一张消瘦、浅黑色的脸庞，外貌英俊，但似乎缺少点儿什么，显得有些美中不足；穿戴和举止还算得体，肯定在社交上游刃有余；不如他那个活泼的儿子那么有生气，但一样不安定，而且更多疑——不过他对事物的看法倒是相当深刻！"
"The policeman lowered his arm.","警察放下了手臂。"
"“You were in the war, Mr. Desert?”","“你参过战吧，德赛特先生？”"
"“Oh, yes.”","“是的。”"
"“Air service?”","“空军？”"
"“And line.","“也在陆军干过。"
"Bit of both.”","两个都干过。”"
"“Hard on a poet.”","“成为诗人很困难。”"
"“Not at all.","“一点儿也不。"
"Poetry’s only possible when you may be blown up at any moment, or when you live in Putney.”","你只有在随时有可能被炸死时，或者是住在帕特尼时，才写得出来诗。”"
"Sir Lawrence’s eyebrow rose.","劳伦斯爵士的眉毛扬了扬。"
"“Yes?”","“您请讲？”"
"“Tennyson, Browning, Wordsworth, Swinburne—they could turn it out; ils vivaient, mais si peu.”","“丁尼生、勃朗宁、华兹华斯、斯温伯恩——他们都能创造出诗歌，但他们却很少经历过你说的那两种生活。”"
"“Is there not a third condition favourable?”","“不是有第三种有利条件吗？”"
"“And that, sir?”","“是什么呢，先生？”"
"“How shall I express it—a certain cerebral agitation in connection with women?”","“怎么说呢——和女人息息相关的大脑的兴奋吧？”"
"Desert’s face twitched, and seemed to darken.","德赛特的脸抽动了一下，似乎变得阴郁起来。"
"Michael put his latchkey into the lock of his front door.","迈克尔把钥匙插进他家前门的锁孔里。"

"Chapter II","第二章"
"Home","家"
"The house in South Square, Westminster, to which the young Monts had come after their Spanish honeymoon two years before, might have been called ‘emancipated.’","坐落在威斯敏斯特南广场的这幢房子是“解放式”的。两年前，年轻的蒙特夫妇在西班牙度完蜜月，回到了这里。"
"It was the work of an architect whose dream was a new house perfectly old, and an old house perfectly new.","设计它的那位建筑师梦想建造一幢完全古式的新房子和一幢全然一新的老房子。"
"It followed, therefore, no recognised style or tradition, and was devoid of structural prejudice; but it soaked up the smuts of the metropolis with such special rapidity that its stone already respectably resembled that of Wren.","因此，这幢房子并不循规蹈矩，也不墨守结构上的陈规，但它却以惊人的速度收集了这个大都市的煤尘，连砖块也已经快赶上雷恩设计的典雅的建筑物砖块了。"
"Its windows and doors had gently rounded tops.","房子的门窗都有圆润的穹顶。"
"The high-sloping roof, of a fine sooty pink, was almost Danish, and two ‘ducky little windows’ looked out of it, giving an impression that very tall servants lived up there.","高斜的屋顶刷着雅致的暗红色，很有丹麦的风格，上面的两扇“玲珑小窗”从屋顶往外探，让人以为上面住着一些魁梧的仆人。"
"There were rooms on each side of the front door, which was wide and set off by bay trees in black and gold bindings.","前门处很宽敞，装饰着金色和黑色的月桂树，门两侧各有几间房间。"
"The house was thick through, and the staircase, of a broad chastity, began at the far end of a hall which had room for quite a number of hats and coats and cards.","房子很深，宽大、典雅的楼梯从门厅尽头开始延伸，门厅很宽敞，足可以放下很多的帽子、大衣和卡片。"
"There were four bathrooms; and not even a cellar underneath.","房子里有四间盥洗室，却没有一间地下室。"
"The Forsyte instinct for a house had co-operated in its acquisition.","福赛特家族善于甄别房屋的天赋帮助他们买下了这座房子。"
"Soames had picked it up for his daughter, undecorated, at that psychological moment when the bubble of inflation was pricked, and the air escaping from the balloon of the world’s trade.","索姆斯是在极为恰当的时候为女儿挑选了这幢还未装修的房子，当时通货膨胀的气泡刚被戳破，世界贸易的大气球正在漏气。"
"Fleur, however, had established immediate contact with the architect—an element which Soames himself had never quite got over—and decided not to have more than three styles in her house: Chinese, Spanish, and her own.","可是，弗勒早已直接跟建筑师联系了——这恰是索姆斯自己不太具备的能力——并且决定在装修她的房子时仅限于三种风格：中国式、西班牙式以及自己独特的风格。"
"The room to the left of the front door, running the breadth of the house, was Chinese, with ivory panels, a copper floor, central heating, and cut glass lustres.","前门左侧的房间和房子的跨度一样宽，是中国式的，镶嵌着象牙色的护墙板，铺着红棕色地板，装有中央暖气，还有雕花玻璃吊灯。"
"It contained four pictures—all Chinese—the only school in which her father had not yet dabbled.","屋内挂着四幅画——都是中国国画——这是她父亲至今唯一没有尝试的画派。"
"The fireplace, wide and open, had Chinese dogs with Chinese tiles for them to stand on.","壁炉宽大开阔，底部镶有中国瓷砖，瓷砖上镶着中国狗的图案。"
"The silk was chiefly of jade green.","丝绸以翠绿色的居多。"
"There were two wonderful old black tea-chests, picked up with Soames’ money at Jobson’s—not a bargain.","屋内有两个古色古香的黑色茶柜，它们是索姆斯从乔布森拍卖行花钱买来的——绝不是廉价品。"
"There was no piano, partly because pianos were too uncompromisingly occidental, and partly because it would have taken up much room.","屋内没有钢琴，其一是因为钢琴带有西洋韵味，风格很不协调，其二是由于它占的空间太大。"
"Fleur aimed at space-collecting people rather than furniture or bibelots.","弗勒希望有空间来招待宾客，而不是收纳家具或者装饰品。"
"The light, admitted by windows at both ends, was unfortunately not Chinese.","可惜的是，从屋内两端窗户透进的光线不是中国的。"
"She would stand sometimes in the centre of this room, thinking—how to ‘bunch’ her guests, how to make her room more Chinese without making it uncomfortable; how to seem to know all about literature and politics; how to accept everything her father gave her, without making him aware that his taste had no sense of the future; how to keep hold of Sibley Swan, the new literary star, and to get hold of Gurdon Minho, the old; of how Wilfrid Desert was getting too fond of her; of what was really her style in dress; of why Michael had such funny ears; and sometimes she stood not thinking at all—just aching a little.","有时她会站在房子中间，思量着——该如何“汇拢”她的那些客人呢；该如何使她的房间更显中国化而又不失舒适呢；该如何显得自己精通文学和政治呢；该如何接纳父亲给予自己的一切，同时还让父亲察觉不到他的兴趣已跟不上潮流呢；该如何同时抓住文坛新秀西布莉·斯旺和文学泰斗格登·明霍呢；威尔弗里德·德赛特是如何越来越迷恋她呢；她的衣着究竟应该是什么风格呢，还有迈克尔为何长着一副如此滑稽的耳朵呢。但有时她站在那里，什么也不想——只是有一点点心痛。"
"When those three came in she was sitting before a red lacquer tea-table, finishing a very good tea.","当那三人走进来时，弗勒正坐在一张红漆茶桌前，刚刚吃完精致的茶点。"
"She always had tea brought in rather early, so that she could have a good quiet preliminary ‘tuck-in’ all by herself, because she was not quite twenty-one, and this was her hour for remembering her youth.","她总是吩咐仆人把茶点早一些送过来，这样一来，她便可以独自一人悠然自得地享受“一顿美餐”，因为她还未满21岁，而这正是她记住青春岁月的大好时候。"
"By her side Ting-a-ling was standing on his hind feet, his tawny forepaws on a Chinese footstool, his snubbed black and tawny muzzle turned up towards the fruits of his philosophy.","小叮铃正踮着后脚站在她身旁，它那黄褐色的前爪搁在一把中国式的脚凳上，那扁平的黑褐色口鼻朝上仰着，望着他眼中的“果子”。"
"“That’ll do, Ting.","“好了，叮铃。"
"No more, ducky!","没了，宝贝！"
"NO MORE!”","一点儿也没有了！”"
"The expression of Ting-a-ling answered:","小叮铃的表情仿佛回答道："
"‘Well, then, stop, too!","“哦，那你也别吃了！"
"Don’t subject me to torture!’","别再折磨我了！”"
"A year and three months old, he had been bought by Michael out of a Bond Street shop window on Fleur’s twentieth birthday, eleven months ago.","它一岁零三个月，是11个月前，迈克尔在弗勒20岁生日那天，从邦德大街的一家商店橱窗里买来的。"
"Two years of married life had not lengthened her short dark chestnut hair; had added a little more decision to her quick lips, a little more allurement to her white-lidded, dark-lashed hazel eyes, a little more poise and swing to her carriage, a little more chest and hip measurement; had taken a little from waist and calf measurement, a little colour from cheeks a little less round, and a little sweetness from a voice a little more caressing.","两年的婚姻生活，没有使她深栗色的短发变长，却让她那灵巧的嘴唇多了一份坚决神情，让那双白眼皮、黑睫毛、淡褐色的眼睛更加妩媚，给她的仪态平添了几分端庄和婀娜。她的胸围和臀部愈加丰满，腰身和小腿愈加纤细；她的面庞愈加清瘦，少了几分血色；她嗓音没有以前甜美了，却多了一丝柔情。"
"She stood up behind the tray, holding out her white round arm without a word.","她从茶盘后面站起来，一语不发地伸出她那白皙而丰润的手臂。"
"She avoided unnecessary greetings or farewells.","她回避了那些不必要的问候和道别。"
"She would have had to say them so often, and their purpose was better served by look, pressure, and slight inclination of head to one side.","她本该经常说这些话的，但使个眼色、握一下手、微微点头，似乎更能达到目的。"
"With circular movement of her squeezed hand, she said:","她用那只刚被紧握过的手划了个圆圈，说道："
"“Draw up.","“坐下来吧。"
"Cream, sir?","先生，要奶油吗？"
"Sugar, Wilfrid?","威尔弗里德，要糖吗？"
"Ting has had too much—don’t feed him!","叮铃吃的够多的了——别再喂它了！"
"Hand things, Michael.","迈克尔，递一下。"
"I’ve heard all about the meeting at ‘Snooks.’","‘轻蔑’俱乐部开会的情况我已经全听说了。"
"You’re not going to canvass for Labour, Michael—canvassing’s so silly.","迈克尔，你不要再去为工党拉选票了——那太愚蠢了。"
"If any one canvassed me, I should vote the other way at once.”","如果有人来找我拉票，我会毫不犹豫地给另一方投票。”"
"“Yes, darling; but you’re not the average elector.”","“是呀，亲爱的。不过你可不是普通的选民啊。”"
"Fleur looked at him.","弗勒看看他。"
"Very sweetly put!","话里有话！"
