"书名一只乌龟的故事和一只淘气猴子的故事（安德鲁·朗格经典棕色童话）短简介故事里的乌龟一反人们心中固有的形象，用智慧与勇气一次次冲击着人们的视听，猴子则是一如既往，调皮机警，聪颖活泼，让人爱恨交加。看他们是如何与各种生物周旋，又是如何全身而退，谱写一段又一段的传奇故事。长简介故事中的乌龟与猴子，一个是智慧与谋略的化身，一个集冒险与机智于一身，二者不分伯仲，在森林之中谱写着各自的传奇。在与大象蓝鲸的抗衡之中，乌龟可谓是有勇有谋，将两大生物玩弄于股掌之中；在与牡鹿和狐狸的较量之中，更可见其谋略家的运筹帷幄与足智多谋，将人们心中的固有模型打破重塑，刷新了人们的视听。而猴子则是一如既往的调皮机灵形象，爱冒险，爱生事端，却又总是让别人哑口无言，不知所措，更是让读者爱也不是恨也不是。在与不同森林住户的挑逗之中以及与美洲狮的几番游击战中，猴子的冒险精神可谓是显露无遗，而与美洲狮进行的最后一场生死较量更是将猴子的机警与智慧进行了完美的诠释与展现。关键字一只乌龟的故事和一只淘气猴子的故事；安德鲁·朗格；外研社编译组；大象；鲸鱼；牡鹿； 狐狸；理发师；面包师；小女孩；兔子；美洲狮 作者(英)安德鲁·朗格安德鲁•朗格（1844—1912），英国著名的文学家、历史学家、诗人、民俗学家，以研究神话、民间传说闻名于世，由他编纂并分别以十二种颜色命名的“童话故事集”自1889年问世以来，历久不衰，备受世界各国儿童们的喜爱。书评这个世界有两样东西人们永远不会失去兴趣，一个是宇宙，另一个是森林，二者都充满着神奇与未知。故事将森林与森林里的生物活化在读者眼前，栩栩如生，乍看之下是一个个妙趣横生的故事，实则充满对人生的思索与探讨，堪称“寓教于乐”的典范。 语言没有过多的技巧，通俗易懂，平实却不平淡。故事简单却不肤浅，于笑语之中引发对智慧的赞赏，让思想性更加深入人心。西方一位著名教育家曾这样评价安德鲁·朗编辑的童话：“如果孩子们的世界里没有那神奇美丽的童话，他们的生活将不可想象；如果这座童话乐园里没有安德鲁·朗格所编写的童话，他们的童心就得不到完美的塑造”。"
"Tale of a Tortoise and of a Mischievous Monkey","一只乌龟的故事和一只淘气猴子的故事"
"When I give the signal, you must pull, and we will see which can pull the hardest.’","等我发出信号，你就拉，看看谁的力气大。”"
"‘Very good,’ replied the whale; and he took out one of his bones and passed it to the tortoise.","“很好。”鲸鱼回答道，然后取出自己的一根骨头递给乌龟。"
"The tortoise picked up the end of the bone in his mouth and went back to the elephant.","乌龟衔起骨头末端，回到大象身边。"
"‘I will fasten this to your leg,’ said he, ‘in the same way as it is fastened to mine, and we must both pull as hard as we can.","“我把这根骨头固定在你的腿上，”乌龟说，“并以同样的方式固定在我的腿上，然后我们俩使尽全力拉。"
"We shall soon see which is the stronger.’","要不了多久，我们就会知道谁更强。”"
"So he wound it carefully round the elephant’s leg, and tied it in a firm knot.","于是乌龟将骨头仔细地缠绕在大象的腿上，打了一个牢固的结。"
"‘Now!’ cried he, plunging into a thick bush behind him.","“现在开始！”乌龟叫道，纵身投入身后浓密的灌木丛中。"
"The whale tugged at one end, and the elephant tugged at the other, and neither had any idea that he had not the tortoise for his foe.","鲸鱼拉着骨头的一端，大象拉着另一端，俩人谁也不知道自己的对手其实并不是乌龟。"
"When the whale pulled hardest the elephant was dragged into the water; and when the elephant pulled the hardest the whale was hauled on to the land.","鲸鱼力气大的时候，大象就被拖入水中，而当大象力气大的时候，鲸鱼就被拖到岸上来。"
"They were very evenly matched, and the battle was a hard one.","双方势均力敌，战役十分艰难。"
"At last they were quite tired, and the tortoise, who was watching, saw that they could play no more.","最后两方都筋疲力尽。乌龟一直观察着，看到两方都无法再比下去了。"
"So he crept from his hiding-place, and dipping himself in the river, he went to the elephant and said: ‘I see that you really are stronger than I thought.","于是乌龟从灌木丛中慢悠悠地爬出来，在河里泡了泡，来到大象身边说：“我发现你真的比我想象中的要强。"
"Suppose we give it up for to-day?’","要不今天咱们就到此为止？”"
"Then he dried himself on some moss and went to the whale and said: ‘I see that you really are stronger than I thought.","随后乌龟又在苔藓上将身体擦干，来到鲸鱼身边说道：“我发现你真的比我想象中的要强。"
"Suppose we give it up for to-day?’","要不今天咱们就到此为止？”"
"The two adversaries were only too glad to be allowed to rest, and believed to the end of their days that, after all, the tortoise was stronger than either of them.","两个对手获准可以休息，喜出望外，并且终其一生都坚信乌龟比它们任何一方都要强。"
"A day or two later the young tortoise was taking a stroll, when he met a fox, and stopped to speak to him.","一两天后，年轻的乌龟正在散步，看到一只狐狸，就停下来和它说话。"
"‘Let us try,’ said he in a careless manner, ‘which of us can lie buried in the ground during seven years.’","“让我们来比一比，”乌龟漫不经心地说道，“看谁能在地里埋上七年。”"
"‘I shall be delighted,’ answered the fox, ‘only I would rather that you began.’","“我会很乐意的，”狐狸回答说，“只不过我希望你先开始。”"
"‘It is all the same to me,’ replied the tortoise; ‘if you come round this way to-morrow you will see that I have fulfilled my part of the bargain.’","“对我来说都一样，”乌龟回道，“明天你来的时候，就会看到我已经完成我的任务了。”"
"So he looked about for a suitable place, and found a convenient hole at the foot of an orange tree.","于是乌龟四下看了看，想找个合适的地方，然后在一棵橘子树下发现了一个十分方便的洞。"
"He crept into it, and the next morning the fox heaped up the earth round him, and promised to feed him every day with fresh fruit.","乌龟爬进了洞里。第二天早晨，狐狸将土堆在乌龟身上，并答应每天给乌龟送新鲜水果吃。"
"The fox so far kept his word that each morning when the sun rose he appeared to ask how the tortoise was getting on.","狐狸一直遵守着诺言，每天早上太阳升起的时候，他就会露面问一问乌龟过得怎样。"
"‘Oh, very well; but I wish you would give me some fruit,’ replied he.","“哦，很好，但是我希望你会给我一些水果。”乌龟答道。"
"‘Alas! the fruit is not ripe enough yet for you to eat,’ answered the fox, who hoped that the tortoise would die of hunger long before the seven years were over.","“唉！现在水果不太成熟，还不能吃。”狐狸回答说。它希望乌龟在这七年结束之前早一点儿饿死。"
"‘Oh dear, oh dear!","“哎呀，哎呀！"
"I am so hungry!’ cried the tortoise.","我好饿呀！”乌龟叫喊道。"
"‘I am sure you must be; but it will be all right to-morrow,’ said the fox, trotting off, not knowing that the oranges dropped down the hollow trunk, straight into the tortoise’s hole, and that he had as many as he could possibly eat.","“我知道你肯定很饿，但是明天就会好了。”狐狸说着，慢慢跑开了。它不知道那根中空树干上的橘子落了下来，正好掉进了乌龟所在的洞里，并且是要多少就有多少。"
"So the seven years went by; and when the tortoise came out of his hole he was as fat as ever.","就这样，七年过去了，乌龟从洞里出来的时候还跟先前一样胖。"
"Now it was the fox’s turn, and he chose his hole, and the tortoise heaped the earth round, promising to return every day or two with a nice young bird for his dinner.","现在轮到狐狸了，它选好了自己的洞，然后乌龟把土堆在狐狸身上，并答应每隔一两天就会给狐狸带一只美味的小鸟来当晚餐。"
"‘Well, how are you getting on?’ he would ask cheerfully when he paid his visits.","“你过得怎样？”每次来访的时候，乌龟都会高兴地问道。"
"‘Oh, all right; only I wish you had brought a bird with you,’ answered the fox.","“哦，还行，只是我希望你带了一只鸟儿来。”狐狸回答说。"
"‘I have been so unlucky, I have never been able to catch one,’ replied the tortoise.","“我真是太不走运了，一只鸟儿也没捉到。”乌龟答道，"
"‘However, I shall be more fortunate to-morrow, I am sure.’","“但是，明天我会幸运一点儿的，我敢肯定。”"
"But not many to-morrows after, when the tortoise arrived with his usual question: ‘Well, how are you getting on?’ he received no answer, for the fox was lying in his hole quite still, dead of hunger.","但是没过几天，乌龟过来像往常一样问道：“你过得怎样？”他却没有听到回答，因为狐狸静静地躺在洞里，饿死了。"
"By this time the tortoise was grown up, and was looked up to throughout the forest as a person to be feared for his strength and wisdom.","到这时，乌龟已经长大了，森林里的每个动物都对它的力量与智慧深感敬畏。"
"But he was not considered a very swift runner, until an adventure with a deer added to his fame.","只不过没有人认为它是一个跑步健将，直到与鹿的一次比拼才让它名声大振。"
"One day, when he was basking in the sun, a stag passed by, and stopped for a little conversation.","一天，乌龟正在晒太阳，一只牡鹿经过，停下来和它搭讪。"
"‘Would you care to see which of us can run fastest?’ asked the tortoise, after some talk.","“你愿不愿意跟我比比，看谁跑得快？”谈了一会儿之后，乌龟问道。"
"The stag thought the question so silly that he only shrugged his shoulders.","牡鹿认为这个问题太愚蠢，所以只是耸了耸肩。"
"‘Of course, the victor would have the right to kill the other,’ went on the tortoise.","“当然，胜出的一方将有权杀死另一方。”乌龟继续说道。"
"‘Oh, on that condition I agree,’ answered the deer; ‘but I am afraid you are a dead man.’","“哦，如果是那样，我同意，”牡鹿回答说，“但是我恐怕死的是你。”"
"‘It is no use trying to frighten me,’ replied the tortoise.","“想要吓唬我，一点儿用都没有，”乌龟回答说，"
"‘But I should like three days for training; then I shall be ready to start when the sun strikes on the big tree at the edge of the great clearing.’","“但是我想要三天的时间来训练一下。等到太阳照到这大片空地边上那棵大树上的时候，我就会准备好开始了。”"
"The first thing the tortoise did was to call his brothers and his cousins together, and he posted them carefully under ferns all along the line of the great clearing, making a sort of ladder which stretched for many miles.","乌龟做的第一件事就是将它的兄弟及表兄弟们叫到一起，然后小心地将它们沿途安置在空地周围的篱笆下，排成类似梯子的样式，队伍绵延几英里。"
"This done to his satisfaction, he went back to the starting place.","心满意足之后，乌龟回到起跑的地方。"
"The stag was quite punctual, and as soon as the sun’s rays struck the trunk of the tree the stag started off, and was soon far out of the sight of the tortoise.","牡鹿相当准时，阳光一照到树干上，就开始跑了，并且很快就跑出了乌龟的视线。"
"Every now and then he would turn his head as he ran, and call out: ‘How are you getting on?’ and the tortoise who happened to be nearest at that moment would answer: ‘All right, I am close up to you.’","牡鹿跑的时候，总是时不时地转过头大喊：“你怎么样了？”而那时，正巧相隔最近的乌龟就会回答说：“很好，我离你很近。”"
"Full of astonishment, the stag would redouble his efforts, but it was no use.","牡鹿大吃一惊，于是加倍努力，可是一点儿用也没有。"
"Each time he asked: ‘Are you there?’ the answer would come: ‘Yes, of course, where else should I be?’","每次它问：“你在那儿吗？”回答就会是：“是的，当然在，不然我该在哪儿？”"
" And the stag ran, and ran, and ran, till he could run no more, and dropped down dead on the grass.","牡鹿跑啊，跑啊，跑啊，一直跑到再也跑不动，然后倒在草地上死掉了。"
"And the tortoise, when he thinks about it, laughs still.","那只乌龟每念及此，仍会大笑不已。"
"But the tortoise was not the only creature of whose tricks stories were told in the forest.","但是森林里流传着的那些关于玩把戏的故事里，主角并不全是这只乌龟。"
"There was a famous monkey who was just as clever and more mischievous, because he was so much quicker on his feet and with his hands.","还有一只有名的猴子，它和乌龟一样聪明，因为手脚相当敏捷，所以也更加淘气。"
"It was quite impossible to catch him and give him the thrashing he so often deserved, for he just swung himself up into a tree and laughed at the angry victim who was sitting below.","要抓住它，并给它应有的鞭打，实在不太可能，因为它会恰巧荡进树里，嘲笑坐在树下怒气冲冲的受害者。"
"Sometimes, however, the inhabitants of the forest were so foolish as to provoke him, and then they got the worst of it.","但是，森林里的居住者们有时总是蠢到要去惹它，结果也总是败得一塌糊涂。"
"This was what happened to the barber, whom the monkey visited one morning, saying that he wished to be shaved.","以下就是理发师的遭遇。有一天早晨，猴子来访，说想要刮一下脸。"
"The barber bowed politely to his customer, and begging him to be seated, tied a large cloth round his neck, and rubbed his chin with soap; but instead of cutting off his beard, the barber made a snip at the end of his tail.","理发师向客人礼貌地鞠了一躬，请它坐下，在它脖子上系了一块很大的布，并在它下巴上涂上肥皂。但是理发师并没有给客人刮胡子，而是把客人尾巴末端给剪掉了。"
"It was only a very little bit and the monkey started up more in rage than in pain.","其实只剪了很少一点儿，猴子突然站起来，与其说是痛苦，倒不如说是盛怒。"
"‘Give me back the end of my tail,’ he roared, ‘or I will take one of your razors.’","“把我的尾巴末端还给我，”它咆哮道，“不然我就把你的剃刀拿走。”"
"The barber refused to give back the missing piece, so the monkey caught up a razor from the table and ran away with it, and no one in the forest could be shaved for days, as there was not another to be got for miles and miles.","理发师拒绝把剪掉的那一截还给猴子，于是猴子从桌子上抓起一把剃刀跑掉了。那之后，森林里的动物好几天都不能刮脸了，因为方圆好几英里内再找不到另一把剃刀。"
"As he was making his way to his own particular palm-tree, where the cocoanuts grew, which were so useful for pelting passers-by, he met a woman who was scaling a fish with a bit of wood, for in this side of the forest a few people lived in huts near the river.","猴子有一棵独有的棕榈树，那里生长着可可豆，可以用来攻击路人。在去棕榈树的路上，猴子看到一个女人正在用一小块木头给鱼刮鳞。在森林的这一边，有一小群人居住在河流附近的小屋里。"
"‘That must be hard work,’ said the monkey, stopping to look; ‘try my knife—you will get on quicker.’","“那肯定是件苦差事，”猴子不再看了，说道，“试一下我的刀子——你会弄得快一点儿。”"
" And he handed her the razor as he spoke.","猴子说着将剃刀递给她。"
"A few days later he came back and rapped at the door of the hut.","几天后，猴子回来了，轻轻敲了敲小屋的门。"
"‘I have called for my razor,’ he said, when the woman appeared.","“我来拿回我的剃刀。”女人出现的时候，猴子说道。"
"‘I have lost it,’ answered she.","“我弄丢了。”女人回答说。"
"‘If you don’t give it to me at once I will take your sardine,’ replied the monkey, who did not believe her.","“如果你不马上把它还给我，我就拿走你的沙丁鱼。”猴子不相信女人，回应道。"
"The woman protested she had not got the knife, so he took the sardine and ran off.","女人抗议说没拿那把刀子，于是猴子拿了沙丁鱼跑开了。"
"A little further along he saw a baker who was standing at the door, eating one of his loaves.","没走多远，猴子看到一个面包师正站在门口，嘴里吃着一大块烤过的食物。"
"‘That must be rather dry,’ said the monkey, ‘try my fish’; and the man did not need twice telling.","“一定很干吧，”猴子说道，“尝尝我的鱼吧。”面包师没等猴子再次开口邀请，就把沙丁鱼吃了。"
"A few days later the monkey stopped again at the baker’s hut.","几天后，猴子再次在面包师的小屋前停下来。"
"‘I’ve called for that fish,’ he said.","“我来要回那条鱼。”猴子说。"
"‘That fish?","“那条鱼？"
"But I have eaten it!’ exclaimed the baker in dismay.","可是我已经吃了！”面包师沮丧地解释道。"
"‘If you have eaten it I shall take this barrel of meal in exchange,’ replied the monkey; and he walked off with the barrel under his arm.","“如果你吃了鱼，作为交换，我就该拿走这桶食物。”猴子回答说，然后将桶夹在胳膊下走掉了。"
"As he went he saw a woman with a group of little girls round her, teaching them how to dress hair.","猴子走着，看到一个女人，她身边围着一群小女孩。女人正在教孩子们梳头。"
"‘Here is something to make cakes for the children,’ he said, putting down his barrel, which by this time he found rather heavy.","“这儿有一些东西，可以给孩子们做些蛋糕。”猴子说着放下桶，因为当时它觉得那只桶相当重。"
"The children were delighted, and ran directly to find some flat stones to bake their cakes on, and when they had made and eaten them, they thought they had never tasted anything so nice.","孩子们很高兴，马上跑去找来一些平坦的石头，在上面烤起蛋糕来。她们做好蛋糕，吃完后觉得这是她们吃过的最美味的东西。"
"Indeed, when they saw the monkey approaching not long after, they rushed to meet him, hoping that he was bringing them some more presents.","实际上，没过多久，孩子们看到猴子来的时候，匆忙跑去见它，希望它给她们带来了更多的礼物。"
"But he took no notice of their questions, he only said to their mother: ‘I’ve called for my barrel of meal.’","但是猴子并没有理会孩子们的问题，只是对她们的母亲说道：“我来要回我的那桶食物。”"
"‘Why, you gave it to me to make cakes of!’ cried the mother.","“什么，那是你送给我做蛋糕用的！”母亲喊道。"
"‘If I can’t get my barrel of meal, I shall take one of your children,’ answered the monkey.","“如果我拿不回我的那桶食物，我就带走你的一个孩子，”猴子回答说，"
"‘I am in want of somebody who can bake my bread when I am tired of fruit, and who knows how to make cocoanut cakes.’","“我正需要有人在我吃腻了水果的时候能给我烤面包，并且会烤可可豆面包。”"
"‘Oh, leave me my child, and I will find you another barrel of meal,’ wept the mother.","“哦，把孩子留在我身边，我给你另外找一桶食物。”母亲哭泣道。"
"‘I don’t WANT another barrel, I want THAT one,’ answered the monkey sternly.","“我不要另外一桶，我要我的那一桶。”猴子坚定地回答道。"
"And as the woman stood wringing her hands, he caught up the little girl that he thought the prettiest and took her to his home in the palm tree.","母亲紧握着双手，这时，猴子抓住它认为最可爱的那个小女孩，然后把她带到了棕榈树上的家里。"
"She never went back to the hut, but on the whole she was not much to be pitied, for monkeys are nearly as good as children to play with, and they taught her how to swing, and to climb, and to fly from tree to tree, and everything else they knew, which was a great deal.","女孩再也没有回到小屋去，但是整体而言，她并不太需要同情，因为猴子们差不多和孩子一样，是很好的玩伴。它们教女孩荡秋千、攀爬，从一棵树上飞跃到另一棵树上，还把它们所知道的一切事情都教给她，它们懂的可多了。"
"Now the monkey’s tiresome tricks had made him many enemies in the forest, but no one hated him so much as the puma.","如今，猴子因其恼人的把戏在森林里树敌甚广，但是说起对它的憎恨程度，还没有谁比得上那头美洲狮。"
"The cause of their quarrel was known only to themselves, but everybody was aware of the fact, and took care to be out of the way when there was any chance of these two meeting.","所有人都知道猴子和美洲狮之间发生过争吵，尽管争吵的原因只有当事人自己知道，因此只要看到猴子和美洲狮碰到一起，众人都会小心地避开它们。"
"Often and often the puma had laid traps for the monkey, which he felt sure his foe could not escape; and the monkey would pretend that he saw nothing, and rejoice the hidden puma’s heart by seeming to walk straight into the snare, when, lo!","美洲狮常常给猴子设陷阱，它相信猴子一定逃不掉。而猴子会装作什么也没看见，装模作样地朝着陷阱直走过去，让躲着的美洲狮暗自欢喜，突然，瞧！"
"A loud laugh would be heard, and the monkey’s grinning face would peer out of a mass of creepers and disappear before his foe could reach him.","你会听到一阵大笑，那是猴子在一大片匍匐植物中露出脸，咧着嘴笑着，等到美洲狮快要抓到它时，它就一溜烟不见了。"
"This state of things had gone on for quite a long while, when at last there came a season such as the oldest parrot in the forest could never remember.","它们就这样持续了好长一段时间。最后，迎来了这样一个时期，一个连森林里最为年长的鹦鹉也未曾经历过的时期。"
"Instead of two or three hundred inches of rain falling, which they were all accustomed to, month after month passed without a cloud, and the rivers and springs dried up, till there was only one small pool left for everyone to drink from.","所有人都已经习惯了两三百英寸的降雨量，但是那个时期并没有降雨，而是连着好几个月没有一片云。河流和泉水都干涸了，最后只剩下一个小水塘供所有人饮水。"
"There was not an animal for miles round that did not grieve over this shocking condition of affairs, not one at least except the puma.","方圆好几里内，除了美洲狮，至少没有哪一个动物不为这一境况感到苦恼的。"
"His only thought for years had been how to get the monkey into his power, and this time he imagined his chance had really arrived.","美洲狮几年来唯一想的就是怎样把猴子玩弄于股掌，而这一次，它觉得机会真正来临了。"
"He would hide himself in a thicket, and when the monkey came down to drink—and come he must—the puma would spring out and seize him.","它将躲在灌木丛中，等猴子来喝水——猴子一定会来——就钻出来抓住它。"
"Yes, on this occasion there could be no escape!","是的，在这种情况下，猴子绝对无路可逃。"
"And no more there would have been if the puma had had greater patience; but in his excitement he moved a little too soon.","如果美洲狮再耐心一点儿的话，猴子是绝无可逃之机的，但是美洲狮太过激动，行动早了那么一点点。"
"The monkey, who was stooping to drink, heard a rustling, and turning caught the gleam of two yellow, murderous eyes.","猴子正弯腰喝水，却听到一阵窸窣声，于是回了一下头，看到两只泛黄的眼睛闪烁着凶光。"
"With a mighty spring he grasped a creeper which was hanging above him, and landed himself on the branch of a tree; feeling the breath of the puma on his feet as the animal bounded from its cover.","美洲狮从灌木丛里猛地跳出来。猴子纵身弹跳起来，抓住上空悬挂着的匍匐植物，攀上树枝，感觉到脚上还有美洲狮的气息。"
"Never had the monkey been so near death, and it was some time before he recovered enough courage to venture on the ground again.","猴子从未感到如此接近死亡，花了好一段时间才重拾勇气，冒险回到地面上。"
"Up there in the shelter of the trees, he began to turn over in his head plans for escaping the snares of the puma.","在树木的掩护下，猴子开始想法子躲开美洲狮设下的陷阱。"
"And at length chance helped him.","最后幸运之神垂青了它。"
"Peeping down to the earth, he saw a man coming along the path carrying on his head a large gourd filled with honey.","猴子窥探着地面，看到一个男人沿着小路走来，头上顶着一个葫芦，里面装满了蜂蜜。"
"He waited till the man was just underneath the tree, then he hung from a bough, and caught the gourd while the man looked up wondering, for he was no tree-climber.","猴子一直等着，等到男人正好走到自己所在的树下。这时，它悬挂在一根大树枝上，一把抓住葫芦，而男人只能惊愕地向上望着，因为他不会爬树。"
"Then the monkey rubbed the honey all over him, and a quantity of leaves from a creeper that was hanging close by; he stuck them all close together into the honey, so that he looked like a walking bush.","然后，猴子给自己浑身涂上蜂蜜，并且从悬挂在附近的匍匐植物上摘下大量叶子，一片挨着一片用蜂蜜粘起来，把自己弄得像个活动的灌木丛。"
"This finished, he ran to the pool to see the result, and, quite pleased with himself, set out in search of adventures.","做完这些，它跑到水塘旁去检验了一下成果，对自己感到很满意，于是又开始去探险。"
"Soon the report went through the forest that a new animal had appeared from no one knew where, and that when somebody had asked his name, the strange creature had answered that it was Jack-in-the-Green.","不久，森林里就传出一则消息，说不知从哪里冒出一种新型动物，有人问起它的名字，这个奇怪的生物就回答说它叫绿衣杰克。"
"Thanks to this, the monkey was allowed to drink at the pool as often as he liked, for neither beast nor bird had the faintest notion who he was.","多亏这样，猴子才能无拘无束地去小水塘旁边喝水，因为不管飞禽还是走兽，谁也没有认出它来。"
"And if they made any inquiries the only answer they got was that the water of which he had drunk deeply had turned his hair into leaves, so that they all knew what would happen in case they became too greedy.","如果它们打听，猴子就会说它的毛发之所以变成树叶，是因为喝的都是水塘深处的水，好让它们知道如果变得太贪婪将会发生什么。"
"By-and-by the great rains began again.","没过多久，大雨再一次开始降临。"
"The rivers and streams filled up, and there was no need for him to go back to the pool, near the home of his enemy, the puma, as there was a large number of places for him to choose from.","河流和小溪里的水满了，猴子再不用回到它的敌人美洲狮住所附近的那个水塘去了，因为有很多地方可供它选择。"
"So one night, when everything was still and silent, and even the chattering parrots were asleep on one leg, the monkey stole down softly from his perch, and washed off the honey and the leaves, and came out from his bath in his own proper skin.","一天晚上，万籁俱寂，就连唠唠叨叨的鹦鹉都立着一条腿睡着了。于是，猴子轻手轻脚地从栖息的树干上下来，洗掉蜂蜜和树叶，恢复了自己本身的样子。"
"On his way to breakfast he met a rabbit, and stopped for a little talk.","去吃早餐的路上，猴子遇见一只兔子，于是停下来和兔子搭讪。"
"‘I am feeling rather dull,’ he remarked; ‘I think it would do me good to hunt a while.","“我觉得相当闷，”猴子说，“我觉得去打会儿猎应该会好点儿。"
"What do you say?’","你怎么说？”"
"‘Oh, I am quite willing,’ answered the rabbit, proud of being spoken to by such a large creature.","“哦，我很愿意。”兔子回答说，有这么一个大家伙跟它说话，它感到很自豪，"
"‘But the question is, what shall we hunt?’","“但问题是，我们应该捕什么呢？”"
"‘There is no credit in going after an elephant or a tiger,’ replied the monkey stroking his chin, ‘they are so big they could not possibly get out of your way.","“追赶一头大象或是一只老虎没什么好称道的，”猴子摸着下巴答道，“它们体积庞大，不太可能跑得过你。"
