"书名刽子手（巴尔扎克经典作品）短简介反抗失败，他本该被杀，而交易的结果，却需要他手刃亲人。围绕着因反抗失败而带来的惩罚，一位法国统治者与他统治下的西班牙贵族做了这笔交易。被贵族女儿救了的法国军官、在兄弟铡刀下伸出脖颈的西班牙女郎……透过《刽子手》，你会在头脑中追问，谁才是真正的刽子手？    长简介巴尔扎克塑造起一个贵族，一个被赐名El Verdugo（刽子手）作为头衔的贵族以及他那“令人钦佩的罪行”——他本该被杀，却手刃亲人。他是那么无奈地接受这一宿命。他被剥夺了死的权利，代之以刽子手的职责……他受到周围人的爱戴，内心却迫不及待地盼望着有天去与那些和他日夜相伴的阴魂团聚。宣称要做社会历史的“书记”的巴尔扎克，立起了这样一个贵族的形象，却没忘了十九世纪上半叶发生的那许许多多杀戮，就像故事中所讲述的，“每个不幸的村落都被包围了，村民们被大批杀害”；“自首的两百名西班牙人被立即处以枪决”；“五百个法国家庭正陷痛苦折磨”……那样的时代，谁能决定自己不成为刽子手呢？关键字刽子手；巴尔扎克；外研社编译组；短篇；爱情；法国军官；西班牙女郎；贵族作者（法）巴尔扎克作者简介巴尔扎克（1799—1850），法国19世纪伟大的批判现实主义作家、欧洲批判现实主义文学的奠基人和杰出代表、法国现实主义文学成就最高者之一。他创作的《人间喜剧》共91部小说，写了两千四百多个人物，充分展示了19世纪上半叶法国社会生活，是人类文学史上罕见的文学丰碑，被称为法国社会的“百科全书”。"
"书评你用3000字的篇幅去触摸的绝不仅仅是一个故事。"
"El Verdugo","刽子手"
"Besides which, the gardens were planted with trees so balmy and flowers so sweet, that the young man felt as if plunged in a perfumed bath.","此外，园中种植的树木如此芬芳，花草如此甜美，使这位青年似乎置身于芳香沐浴之中。"
"The chateau de Menda belonged to a grandee of Spain, who was at this time living there with his family.","芒达城堡归一位西班牙贵族所有，此时他全家人都住在那里。"
"During the whole evening, the eldest daughter had looked at the young officer with an interest expressing extreme sadness, and such implied compassion on the part of a Spaniard might well have caused the reverie of the Frenchman.","整场晚会的过程中，贵族的长女都在关注着这位年轻的军官，目光极为哀愁。正是这位西班牙少女含蓄流露的情意，给这位法国军官带来了无限遐想。"
"Clara was beautiful; and though she had three brothers and one sister, the wealth of the Marquis de Leganes seemed sufficient to justify Victor Marchand in believing that the young lady would be richly dowered.","克拉拉容貌美丽，尽管她有三个兄弟和一个妹妹，但是她父亲莱加奈斯侯爵的财富似乎很是充裕，这使得维克托·马尔尚足以相信这位少女将会嫁妆丰厚。"
"But could he dare to believe that the daughter of the proudest noble in Spain would be given to the son of a Parisian grocer?","可是他怎敢相信西班牙最高傲的贵族会把女儿下嫁给一个巴黎杂货商的儿子呢？"
"Besides, Frenchmen were hated.","况且，西班牙人憎恨法国人。"
"The marquis having been suspected by General G—t—r, who governed the province, of preparing an insurrection in favor of Ferdinand VII., the battalion commanded by Victor Marchand was quartered in the little town of Menda, to hold in check the neighboring districts, which were under the control of the Marquis de Leganes.","统治这个省的G将军一直怀疑侯爵准备起义拥戴费迪南德七世。维克托·马尔尚指挥的一个营就驻扎在芒达小城，以便遏制邻近那些为莱加奈斯侯爵所控制的地区。"
"A recent despatch from Marechal Ney made it seem probable that the English would soon land a force upon the coast; and he mentioned the marquis as the man who was believed to be in communication with the cabinet of London.","奈伊元帅近来的一封急信上说，英国人可能不久就会登陆，他还指出侯爵就是暗通伦敦内阁的那个人。"
"Thus, in spite of the cordial welcome which that Spaniard had given to Victor Marchand and his soldiers, the young officer held himself perpetually on his guard.","因此，尽管这位西班牙人对维克托·马尔尚和他的属下们热情款待，可年轻的法国军官却始终保持着警惕。"
"As he came from the ballroom to the terrace, intending to cast his eye upon the state of the town and the outlying districts confided to his care, he asked himself how he ought to interpret the good will which the marquis never failed to show him, and whether the fears of his general were warranted by the apparent tranquillity of the region.","他从舞厅走向露台，意在观察这个城镇以及受他监管的乡村地区的动静。他心中自问：该怎么理解侯爵始终如一的示好呢？将军的忧虑是否正是被此地表象上的平安无事所证实呢？"
"But no sooner had he reached the terrace than these thoughts were driven from his mind by a sense of prudence, and also by natural curiosity.","但当他到达露台的那一刻，所有的这些想法就被驱散了，取而代之的是一种审慎感和油然而生的好奇心。"
"He saw in the town a great number of lights.","他看到城里灯火通明。"
"Although it was the feast of Saint James, he had, that very morning, ordered that all lights should be put out at the hour prescribed in the army regulations, those of the chateau alone excepted.","尽管是圣雅各节，可他在那个早晨已经下令必须按照部队规定的时间熄灯，只有城堡是个例外。"
"He saw, it is true, the bayonets of his soldiers gleaming here and there at their appointed posts; but the silence was solemn, and nothing indicated that the Spaniards were disregarding his orders in the intoxication of a fete.","他看见士兵们恪守其位，处处可见闪着光的刺刀，然而这种静谧中带着庄重，没有任何迹象表明西班牙人沉浸在节日的欢乐中而漠视他的命令。"
"Endeavoring to explain to himself this culpable and deliberate infraction of rules on the part of the inhabitants, it struck him as the more incomprehensible because he had left a number of officers in charge of patrols who were to make their rounds during the night, and enforce the regulations.","对于有些居民故意违犯命令，他极力给自己寻求解释，他觉得这其中必有蹊跷，特别是他已经安排了一批军官负责夜间巡逻以加强管理，却依然出现了违犯命令的情况，这就更加难以理解了。"
"With the impetuosity of youth, he was about to spring through an opening in the terrace wall, and descend by the rocks more rapidly than by the usual road to a little outpost which he had placed at the entrance of the town, on the side toward the chateau, when a slight noise arrested him.","由于年轻气盛，他想要从露台围墙的一个缺口处跳下去，因为从岩石上走可以比走平常的路更快地到达他设在城堡另一面的城门口的小哨卡。这时，一个轻微的声音使他放慢了脚步。"
"He fancied he heard the light step of a woman on the gravelled path behind him.","他似乎听见一个女人蹑手蹑脚地走过来，脚步在他身后的沙土路上发出沙沙的声音。"
"He turned his head and saw no one, but his eyes were caught by an extraordinary light upon the ocean.","他转过头去看，并没有人，可是他的眼睛被海上一道特别的光亮吸引住了。"
"Suddenly he beheld a sight so alarming that he stood for a moment motionless with surprise, fancying that his senses were mistaken.","刹那间，他所看到的凶险景象震慑得他动弹不得，以至于他竟觉得是自己产生了错觉。"
"The white rays of the moonlight enabled him to distinguish sails at some distance.","皎洁的月光使他能辨别出远处的船帆。"
"He tried to convince himself that this vision was an optical delusion caused by the caprices of the waves and the moon.","他努力地使自己相信，这只是由于月亮倒映在海波上所造成的视觉幻象。"
"At that moment, a hoarse voice uttered his name.","这时，有一个嘶哑的声音在喊他的名字。"
"He looked toward the opening in the wall, and saw the head of the orderly who had accompanied him to the chateau rising cautiously through it.","他朝着围墙的缺口处望去，只见跟他一起来城堡的那个士兵谨慎地探出头来。"
"“Is it you, commander?”","“是您吗，长官？”"
"“Yes.","“嗯。"
"What is it?” replied the young man, in a low voice, a sort of presentiment warning him to act mysteriously.","怎么了？”青年军官低声应道。一种预感警告着他行动要隐秘。"
"“Those rascals are squirming like worms,” said the man; “and I have come, if you please, to tell you my little observations.”","“那些恶棍像虫子一样活动，”那士兵说道，“如果您愿意听，我把自己的愚见给您汇报一下。”"
"“Speak out.”","“说吧。”"
"“I have just followed from the chateau a man with a lantern who is coming this way.","“刚才我从城堡跟踪一个人，他手提灯笼，朝这边走来。"
"A lantern is mightily suspicious!","那灯笼非常可疑！"
"I don’t believe that Christian has any call to go and light the church tapers at this time of night.","我不信那个基督徒在夜里这个时候还需要去教堂点蜡烛。"
"They want to murder us!","他们是想干掉咱们！"
"said I to myself, so I followed his heels; and I’ve discovered, commander, close by here, on a pile of rock, a great heap of fagots—he’s after lighting a beacon of some kind up here, I’ll be bound—”","我心里这么想着，就跟踪了他。长官，我发现离这儿很近的地方有一方岩石，岩石上有一堆一堆的干柴——我敢保证，他要点燃上面的某个信号——”"
"A terrible cry echoing suddenly through the town stopped the soldier’s speech.","突然，一声可怕的喊叫从小城传来，打断了士兵的话。"
"A brilliant light illuminated the young officer.","一道灿烂的光照亮了那个年轻军官。"
"The poor orderly was shot in the head and fell.","可怜的卫兵头上中弹，应声倒地。"
"A fire of straw and dry wood blazed up like a conflagration not thirty feet distant from the young commander.","离年轻军官不到30英尺远的地方，一堆草秸和干木柴燃烧起来，顿时火焰冲天。"
"The music and the laughter ceased in the ballroom.","舞会上的音乐和笑声戛然停止。"
"The silence of death, broken only by moans, succeeded to the joyous sounds of a festival.","死一般的寂静代替了节日的喜庆喧哗，还断断续续地传来几声呻吟。"
"A single cannon-shot echoed along the plain of the ocean.","茫茫的海面上起了一声炮响。"
"A cold sweat rolled from the officer’s brow.","军官的额上冒出了冷汗。"
"He wore no sword.","他没有带武器。"
"He was confident that his soldiers were murdered, and that the English were about to disembark.","他确信他手下的士兵们都已没了性命，英国人马上就要登陆了。"
"He saw himself dishonored if he lived, summoned before a council of war to explain his want of vigilance; then he measured with his eye the depths of the descent, and was springing towards it when Clara’s hand seized his.","他知道活下去只能是耻辱，只能是到军事法庭上受审，去解释他的警戒意图。于是他打量了一下山谷的深度，准备跳下。正在这时，克拉拉抓住了他的手。"
"“Fly!” she said; “my brothers are following me to kill you.","“快逃！”她说道，“我的兄弟正赶过来要杀你。"
"Your soldiers are killed.","你的手下都死了。"
"Escape yourself.","你快逃命吧。"
"At the foot of the rock, over there, see! you will find Juanito’s barb—Go, go!”","看那边！在岩石脚下，你会找到胡安尼托的马。快去，快！”"
"She pushed him; but the stupefied young man looked at her, motionless, for a moment.","她推他走，可好一会儿，那年轻军官木木地看着她，毫无动作。"
"Then, obeying the instinct of self-preservation which never abandons any man, even the strongest, he sprang through the park in the direction indicated, running among the rocks where goats alone had hitherto made their way.","接着，他还是顺从了自我保命的本能——那本能任何一个人都具有，哪怕是最强大的人。他纵身一跃，逃进树林，朝着她指的方向跑去。他跑过层层山岩，迄今也只有山羊才来这样的地方。"
"He heard Clara calling to her brothers to pursue him; he heard the steps of his murderers; he heard the balls of several muskets whistling about his ears; but he reached the valley, found the horse, mounted him, and disappeared with the rapidity of an arrow.","他听到克拉拉喊她的兄弟们追赶他，他听到那些要杀他的人的脚步声，他听到好几颗子弹从耳边呼啸而过，但是他到达了山谷，找到了那匹马。他一跃而上，像离弦之箭般消失不见。"
"A few hours later the young officer reached the headquarters of General G—t—r, whom he found at dinner with his staff.","几个小时之后，那个年轻的军官到达了G将军司令部，G将军正和参谋人员用餐。"
"“I bring you my head!” cried the commander of the lost battalion as he entered, pale and overcome.","“我把脑袋给您送来了！”成了光杆司令的军官进门便高声一叫。他面色苍白而颓废。"
"He sat down and related the horrible occurrence.","他坐了下来，把惊心动魄的事件讲述了一遍。"
"An awful silence followed his tale.","他讲完之后，则是死一般的寂静。"
"“I think you were more unfortunate than criminal,” replied the terrible general, when at last he spoke.","“我认为，与其说你有罪还不如说你倒霉，”凶狠的将军听完他最后的话，说道，"
"“You are not responsible for the crime of those Spaniards; and, unless the marshal should think otherwise, I absolve you.”","“你不必为那些西班牙人的罪行负责，除非元帅另有想法，我宣布赦免你。”"
"These words gave but a feeble consolation to the unhappy officer.","这些话给不幸的军官带来了一丝慰藉。"
"“But when the emperor hears of it!” he cried.","“可要是皇上知道了呢！”他叫道。"
"“He will want to have you shot,” said the general; “but we will see about that.","“他会下令枪毙你，”将军说道，“但我们会处理的。"
"Now,” he added in a stern tone, “not another word of this, except to turn it into a vengeance which shall impress with salutary terror a people who make war like savages.”","现在，不要再提这件事。”他用一种很严厉的语气补充道，“我们只谈如何复仇，制造点儿恐怖事件教训教训他们，现在他们是像野蛮人一样在打仗。”"
"An hour later a whole regiment, a detachment of cavalry, and a battery of artillery were on their way to Menda.","一小时后，整整一个团、一支骑兵队，还有一个炮兵连朝着芒达方向上路了。"
"The general and Victor marched at the head of the column.","将军和维克托走在队伍的前头。"
"The soldiers, informed of the massacre of their comrades, were possessed by fury.","士兵们得知他们的战友们被残杀，都义愤填膺。"
"The distance which separated the town of Menda from general headquarters, was marched with marvellous rapidity.","士兵们用惊人的速度走完了从司令部到芒达城的这段距离。"
"On the way, the general found all the villages under arms.","在路上，将军发现了所有的村庄都被军队占领着。"
"Each of the wretched hamlets was surrounded, and the inhabitants decimated.","每个不幸的村落都被包围了，村民们被大批杀害。"
"By one of those fatalities which are inexplicable, the British ships lay to without advancing.","有些宿命真是无法解释。英国军舰偏偏此时出了故障，前进不得。"
"It was known later that these vessels carried the artillery, and had outsailed the rest of the transports.","后来才知道，这些军舰运送的是炮兵，先于其他运输舰而到达。"
"Thus the town of Menda, deprived of the support it expected, and which the appearance of the British fleet in the offing had led the inhabitants to suppose was at hand, was surrounded by French troops almost without a blow being struck.","这样，芒达城的居民本以为近海出现的英国船只便意味着保卫者近在眼前了，可事实却是他们没了保护伞，法国军队不费一枪一弹就包围了全城。"
"The people of the town, seized with terror, offered to surrender at discretion.","城中居民恐慌万状，无条件地主动投降了。"
"With a spirit of devotion not rare in the Peninsula, the slayers of the French soldiery, fearing, from the cruelty of their commander, that Menda would be given to the flames, and the whole population put to the sword, proposed to the general to denounce themselves.","那些杀害法国军人的凶手们害怕那位将军要将芒达城付之一炬，让全体居民沦为刀下亡魂，因为他们素来知道这位将军的残酷。于是他们怀着伊比利亚半岛上固有的奉献精神，向将军请求自首，不要伤及无辜。"
"He accepted their offer, making a condition that the inhabitants of the chateau, from the marquis to the lowest valet, should be delivered into his hands.","将军接受了他们的请求，条件是城堡中所有居民，上至侯爵下至奴仆，都要交付于他手中。"
"This condition being agreed to, the general proceeded to pardon the rest of the population, and to prevent his soldiers from pillaging the town or setting fire to it.","协议达成，将军答应宽恕其余百姓，阻止他的士兵在城中烧杀抢掠。"
"An enormous tribute was levied, and the wealthiest inhabitants held prisoner to secure payment of it, which payment was to be made within twenty-four hours.","法军征收了巨额的财物，最富的居民被监禁，以保证财物的偿付，所有赔款都要在24小时内交付。"
"The general took all precautions necessary for the safety of his troops, and provided for the defence of the region from outside attack, refusing to allow his soldiers to be billeted in the houses.","将军采取了一切必要的防范措施以保证其部队的安全，也为了保卫这个地区免于受外部的进攻，他还禁止士兵们在民房里住宿。"
"After putting them in camp, he went up to the chateau and took possession of it.","他让士兵们安排好宿营之后便登上城堡，对城堡实行了军事占领。"
"The members of the Leganes family and their servants were bound and kept under guard in the great hall where the ball had taken place.","莱加奈斯家族的成员及奴仆们被捆绑起来严加看守，就在曾经举办舞会的那个大厅里。"
"The windows of this room commanded the terrace which overhung the town.","从这个房间的窗户可以看到那座鸟瞰全城的露台。"
"Headquarters were established in one of the galleries, where the general held, in the first place, a council as to the measures that should be taken to prevent the landing of the British.","指挥部设在一个长廊里。将军举行了一次会议，首要讨论如何采取措施阻止英国人登陆。"
"After sending an aide-de-camp to Marechal Ney, and having ordered batteries to certain points along the shore, the general and his staff turned their attention to the prisoners.","将军及其参谋人员派了一名副官去向奈伊元帅汇报，又下令沿海岸设立炮兵阵地，接着他们开始处理俘虏事宜。"
"Two hundred Spaniards who had delivered themselves up were immediately shot.","自首的两百名西班牙人被立即处以枪决。"
"After this military execution, the general ordered as many gibbets planted on the terrace as there were members of the family of Leganes, and he sent for the executioner of the town.","执行之后，将军下令在露台上竖起绞架，绞架数目和莱加奈斯家族被俘的成员数相符，接着他派人请来了城里的刽子手。"
"Victor Marchand took advantage of the hour before dinner, to go and see the prisoners.","维克托·马尔尚利用吃饭前的时间去看望俘虏。"
"Before long he returned to the general.","不久之后，他回去找将军。"
"“I have come,” he said in a voice full of feeling, “to ask for mercy.”","“我特地过来请求您开恩。”他非常激动地对将军说道。"
"“You!” said the general, in a tone of bitter irony.","“你！”将军尖刻讽刺地回应道。"
"“Alas!” replied Victor, “it is only a sad mercy.","“唉，”维克托回答道，“只是求您的一丝怜悯。"
"The marquis, who has seen those gibbets set up, hopes that you will change that mode of execution.","侯爵看到竖起的那些绞架，他希望您能改变这种处决方式。"
"He asks you to behead his family, as befits nobility.”","他恳请您对他的家族斩首，这更适合他们的贵族身份。”"
"“So be it,” replied the general.","“那好吧。”将军回答道。"
"“They also ask for religious assistance, and to be released from their bonds; they promise in return to make no attempt to escape.”","“他们还请求您允许他们的宗教缚礼，让他们临终时松绑，他们已经承诺绝不逃跑。”"
"“I consent,” said the general; “but I make you responsible for them.”","“我同意。”将军说道，“但是你要为此向我负责。”"
"“The marquis offers you his whole fortune, if you will consent to pardon one of his sons.”","“侯爵说如果您能同意宽赦他的一个儿子，他将把全部家当赠送给您。”"
"“Really!” exclaimed the general.","“真的吗！”将军惊呼一声，"
"“His property belongs already to King Joseph.”","“他的财产已经归约瑟夫国王所有了。”"
"He stopped.","他停下来。"
"A thought, a contemptuous thought, wrinkled his brow, and he said presently,—","一个想法，一个轻蔑的想法使他蹙起眉头。不一会儿，他说道："
"“I will surpass his wishes.","“我会大大超过他的愿望。"
"I comprehend the importance of his last request.","我理解他这个最后的请求有多重要。"
"Well, he shall buy the continuance of his name and lineage, but Spain shall forever connect with it the memory of his treachery and his punishment.","好吧，就让他买他的姓氏传宗接代吧，但是要让西班牙永远记住他的叛变，还有他受刑的场面。"
"I will give life and his whole fortune to whichever of his sons will perform the office of executioner on the rest.","只要他的一个儿子可以出来充当刽子手，杀掉他家族的其他人，那么我就饶了他的性命，并且全部财产全部归他所有。"
"Go; not another word to me on the subject.”","去吧，别再跟我提这事。”"
"Dinner was served.","晚饭开始了。"
"The officers satisfied an appetite sharpened by exertion.","军官们因为劳累而食欲大开，饱餐一顿。"
"A single one of them, Victor Marchand, was not at the feast.","只有一个人——维克托·马尔尚——没有出席。"
"After hesitating long, he returned to the hall where the proud family of Leganes were prisoners, casting a mournful look on the scene now presented in that apartment where, only two nights before, he had seen the heads of the two young girls and the three young men turning giddily in the waltz.","他犹豫了很久，最后回到了大厅。现在莱加奈斯这个豪门贵族家庭全被囚在这里。面对此情此景，他眼中闪过一丝悲凉的目光。就在两天前，他还看见这两位少女和三位青年随着华尔兹舞曲疯狂旋转着脑袋。"
"He shuddered as he thought how soon they would fall, struck off by the sabre of the executioner.","可这些头颅不一会儿就要在刽子手的刀下滚落。一想到这里，他浑身竟不寒而栗。"
"Bound in their gilded chairs, the father and mother, the three sons, and the two daughters, sat rigid in a state of complete immobility.","侯爵和侯爵夫人以及他们的三个儿子、两个女儿都被绑缚在镀金的沙发椅上，他们僵直地坐着，丝毫动弹不得。"
"Eight servants stood near them, their arms bound behind their backs.","八个奴仆站在他们旁边，手臂被缚在身后。"
"These fifteen persons looked at one another gravely, their eyes scarcely betraying the sentiments that filled their souls.","十五个人彼此沉重地相望，眼神中几乎没有流露出他们灵魂深处的情感。"
"The sentinels, also motionless, watched them, but respected the sorrow of those cruel enemies.","哨兵们也同样一动不动地看守着他们，但也同情这些残酷敌人的痛苦。"
"An expression of inquiry came upon the faces of all when Victor appeared.","维克托出现的时候，所有人都露出了询问的表情。"
"He gave the order to unbind the prisoners, and went himself to unfasten the cords that held Clara in her chair.","他下令为俘虏们松绑，并亲自为捆缚在椅子里的克拉拉解开绳索。"
"She smiled sadly.","她苦笑了一下。"
"The officer could not help touching softly the arms of the young girl as he looked with sad admiration at her beautiful hair and her supple figure.","军官情不自禁地轻抚了一下少女的臂膀，悲伤地暗自赞叹着她那美丽的秀发和婀娜的腰身。"
"She was a true Spaniard, having the Spanish complexion, the Spanish eyes with their curved lashes, and their large pupils blacker than a raven’s wing.","她是个地地道道的西班牙女郎。她有着西班牙人的肤色和眼睛，眼睛上有弯弯的睫毛，大大的眸子比乌鸦的羽翼还要黑。"
"“Have you succeeded?” she said, with one of those funereal smiles in which something of girlhood lingers.","“你成功啦？”她说道，同时漾出一抹凄凉的微笑，那笑容流露出少女的纯真。"
"Victor could not keep himself from groaning.","维克托禁不住叹息了一声。"
"He looked in turn at the three brothers, and then at Clara.","他依次看了看三兄弟，然后又看看克拉拉。"
"One brother, the eldest, was thirty years of age.","长兄三十岁。"
"Though small and somewhat ill-made, with an air that was haughty and disdainful, he was not lacking in a certain nobility of manner, and he seemed to have something of that delicacy of feeling which made the Spanish chivalry of other days so famous.","尽管他个子矮小、其貌不扬，神色自负且傲慢，但他却不乏某种贵族气度，而且他似乎还具有柔情的一面，这种柔情曾经使西班牙骑士精神名噪一时。"
"He was named Juanito.","他叫胡安尼托。"
"The second son, Felipe, was about twenty years of age; he resembled Clara.","次子费利佩，大约二十岁，跟克拉拉长得很像。"
"The youngest was eight.","幼弟年仅八岁。"
"A painter would have seen in the features of Manuelo a little of that Roman constancy that David has given to children in his republican pages.","大卫在他为法国大革命所作的画页中曾赋予儿童一种罗马时代坚定不移的性格。画家们从曼努埃尔的脸上就可以找到这种性格。"
"The head of the old marquis, covered with flowing white hair, seemed to have escaped from a picture of Murillo.","老侯爵满头柔顺的白发，似乎刚刚从穆里略的画作中走出来。"
"As he looked at them, the young officer shook his head, despairing that any one of those four beings would accept the dreadful bargain of the general.","面对着他们，年轻的军官摇摇头。他不愿相信这四个人中会有哪个能接受将军的那笔残酷的交易。"
"Nevertheless, he found courage to reveal it to Clara.","不管怎样，他还是壮着胆子跟克拉拉透露了那个消息。"
"The girl shuddered for a moment; then she recovered her calmness, and went to her father, kneeling at his feet.","少女打了个寒噤，接着她恢复了平静。她走向父亲，跪在他面前。"
"“Oh!” she said to him, “make Juanito swear that he will obey, faithfully, the orders that you will give him, and our wishes will be fulfilled.”","“哦！”她对父亲说道，“让胡安尼托发誓，让他忠实地遵从您的命令，那样我们会死而瞑目的。”"
"The marquise quivered with hope.","侯爵夫人以为有了希望，全身颤抖。"
"But when, leaning against her husband, she heard the horrible confidence that Clara now made to him, the mother fainted.","她将身子靠向丈夫，听到了克拉拉说出的那个可怕的秘密，即刻晕了过去。"
"Juanito, on hearing the offer, bounded like a lion in his cage.","胡安尼托全明白了，他像雄狮一样暴跳起来。"
"Victor took upon himself to send the guard away, after obtaining from the marquis a promise of absolute submission.","维克托从侯爵那里得到了绝对就范的承诺，于是他自作主张命士兵们撤下。"
"The servants were delivered to the executioner, who hanged them.","仆人们被押出去交付给刽子手，被一一行刑。"
"When the family were alone, with no one but Victor to watch them, the old father rose.","当全家只剩下维克托看守时，老父亲站起身。"
"“Juanito!” he said.","“胡安尼托！”他说道。"
"Juanito answered only with a motion of his head that signified refusal, falling back into his chair, and looking at his parents with dry and awful eyes.","胡安尼托没有作声，只是跌回他的椅子，用头示意拒绝，盯住他的双亲。"
"Clara went up to him with a cheerful air and sat upon his knee.","克拉拉走上前去坐在他的膝盖上，带着一种欢快神情。"
"“Dear Juanito,” she said, passing her arm around his neck and kissing his eyelids, “if you knew how sweet death would seem to me if given by you!","“亲爱的胡安尼托，”她说道，同时用双臂搂住他的脖子，亲吻着他的眼睑，“如果能死在你的手下，对我来说该有多甜蜜啊，你知道吗！"
"Think!","你想想看！"
"I should be spared the odious touch of an executioner.","那样我就不用忍受刽子手那可憎的接触。"
"You would save me from all the woes that await me—and, oh! dear Juanito! you would not have me belong to any one—therefore—”","你会从所有等着我的灾难中将我解救出来——亲爱的胡安尼托，你不会愿意看到我遭到任何其他人的蹂躏——那么你就——”"
"Her velvet eyes cast gleams of fire at Victor, as if to rouse in the heart of Juanito his hatred of the French.","她天鹅绒般柔和的眼睛燃出火焰，她瞥了维克托一眼，似乎在唤醒胡安尼托心中对法国人的憎恨。"
"“Have courage,” said his brother Felipe; “otherwise our race, our almost royal race, must die extinct.”","“拿出勇气来！”他的兄弟费利佩说道，“否则我们的宗族，我们这个近似皇族的宗族就后继无人了。”"
"Suddenly Clara rose, the group that had formed about Juanito separated, and the son, rebellious with good reason, saw before him his old father standing erect, who said in solemn tones,—","突然克拉拉站起身来，围在胡安尼托身边的人也分开来。这个儿子，这个理直气壮的反抗者看到老父亲笔直地站立在他面前。父亲用庄严的声音说道："
"“Juanito, I command you to obey.”","“胡安尼托，我命令你这么做。”"
"The young count remained immovable.","年轻的伯爵依然不动。"
"Then his father knelt at his feet.","这时，父亲跪在了他的脚下。"
"Involuntarily Clara, Felipe, and Manuelo imitated his action.","下意识地，克拉拉、费利佩还有曼努埃尔都随父亲跪了下来。"
"They all stretched out their hands to him, who was to save the family from extinction, and each seemed to echo the words of the father.","他们都向他伸出手，他该拯救这个家族免于灭亡，每个人仿佛都在重复父亲的话语。"
"“My son, can it be that you would fail in Spanish energy and true feeling?","“我的儿子，难道你没有西班牙人的刚毅和真情吗？"
"Will you leave me longer on my knees?","难道你要让我就这样长跪不起吗？"
"Why do you consider your life, your sufferings only?","为什么你只想到你自己的生命和痛苦呢？"
"Is this my son?” he added, turning to his wife.","这就是我的儿子吗？”他转向侯爵夫人，补充说道。"
"“He consents!” cried the mother, in despair, seeing a motion of Juanito’s eyelids, the meaning of which was known to her alone.","“他同意了！”母亲绝望地喊道。她看见胡安尼托的眼睛动了一下，只有她能够了解其中的含义。"
