"书名多尔蒂的启发（欧·亨利经典短篇小说）短简介“大玩家”多尔蒂为何一夕间性情突然改变？男主人公多尔蒂结婚数年间，对妻子视而不见，一次偶然的社交场合却让他蓦然发现妻子的美丽与优秀。欧·亨利的短篇小说《多尔蒂的启发》生动幽默地讲述了“大玩家”多尔蒂如何突然发现妻子的魅力，继而转变性情的故事。长简介欧·亨利的短篇小说《多尔蒂的启发》讲述了“大玩家”多尔蒂与他妻子之间的故事。故事伊始便罗列了男主人公作为“大玩家”种种酷爱社交却忽视妻子的表现，直到某一天，妻子请求与他共同外出就餐。一路上玩伴的艳羡目光和社交场合上显贵们频频的殷勤让“大玩家”蓦然发现，自己身边原来一直以来都有着如此美丽的珍宝，而却被自己忽视多年。如欧·亨利的其他小说一样，《多尔蒂的启发》弥漫着浓郁的美国风情，故事的发生地也在作者最擅长描写的曼哈顿，多尔蒂先生只是万千“大玩家”中的代表，故事最后他放弃了返回平日里必去的餐馆而选择和妻子呆在一起，其实也象征着他最终对曾经固守的沉旧观念的摒弃。关键字多尔蒂的启发；欧·亨利；外研社编译组；短篇；曼哈顿；玩家；妻子；百老汇大街；餐馆；晚餐作者（美）欧·亨利作者简介欧·亨利（1862—1910），美国著名批判现实主义作家、世界三大短篇小说大师之一，被誉为“曼哈顿桂冠散文作家”和“美国现代短篇小说之父”。他的一生富于传奇性，做过药房学徒、会计、新闻记者、银行出纳等多个工作。其作品构思新颖，语言诙谐，人物众多，富于生活情趣，尤以出人意料的结尾闻名，被誉为“美国生活的幽默百科全书”。书评当我轻松地对待可笑的事物时，我也是严肃地对待它。——马克思“大玩家”多尔蒂为何一夕间性情突然改变？"
"Dougherty’s Eye-Opener","多尔蒂的启发"
"And the napery, the glassware and the flowers also meritoriously performed the spectacular duties required of them.","桌布、餐巾、玻璃器皿和鲜花也都令人啧啧称赞。"
"The guests were numerous, well-dressed and gay.","客人很多，个个衣冠楚楚，谈笑风生。"
"A waiter—not necessarily obsequious—conducted “Big Jim” Dougherty and his wife to a table.","一个侍者举止得体地把“大吉姆”多尔蒂和他的妻子带到一张餐桌前。"
"“Play that menu straight across for what you like, Dele,” said “Big Jim.”","“看看菜单上的东西，喜欢什么点什么，迪莉，”“大吉姆”说道，"
"“It’s you for a trough of the gilded oats to-night.","“今晚你随便吃。"
"It strikes me that maybe we’ve been sticking too fast to home fodder.”","我突然觉得我们家常便饭吃得太多了。”"
"“Big Jim’s” wife gave her order.","“大吉姆”的妻子点了菜。"
"He looked at her with respect.","他钦佩地看着她。"
"She had mentioned truffles; and he had not known that she knew what truffles were.","她提到了块菌；他以前从不知道她居然了解块菌是什么东西。"
"From the wine list she designated an appropriate and desirable brand.","她在酒水单中挑选了一种恰当而又令人满意的牌子。"
"He looked at her with some admiration.","他颇为赏识地看着她。"
"She was beaming with the innocent excitement that woman derives from the exercise of her gregariousness.","她脸上洋溢着那种女人从社交活动中所得到的纯真的兴奋。"
"She was talking to him about a hundred things with animation and delight.","她兴致勃勃地同他谈论着各种各样的话题。"
"And as the meal progressed her cheeks, colorless from a life indoors, took on a delicate flush.","吃着吃着，她那因为长期呆在室内而显得苍白的脸颊上泛起了红晕。"
"“Big Jim” looked around the room and saw that none of the women there had her charm.","“大吉姆”环顾四周，发现没有一个女人如她一般妩媚。"
"And then he thought of the three years she had suffered immurement, uncomplaining, and a flush of shame warmed him, for he carried fair play as an item in his creed.","当他想到三年来她足不出户，但从不抱怨，他不禁羞愧地红了脸，因为他的信条之一就是公平。"
"But when the Honorable Patrick Corrigan, leader in Dougherty’s district and a friend of his, saw them and came over to the table, matters got to the three-quarter stretch.","当多尔蒂选区的领袖、他的朋友之一帕特里克·科里根议员看见他们并朝他们的桌子走过来时，情况的发展达到了高潮。"
"The Honorable Patrick was a gallant man, both in deeds and words.","帕特里克议员是一位在行动和言词方面都喜欢向女人献殷勤的人。"
"As for the Blarney stone, his previous actions toward it must have been pronounced.","就布拉尼石而言，他以前的行动肯定已经证实了这点。"
"Heavy damages for breach of promise could surely have been obtained had the Blarney stone seen fit to sue the Honorable Patrick.","假如布拉尼石觉得有必要控告帕特里克议员严重违背承诺的话，肯定能获得巨额赔偿。"
"“Jimmy, old man!” he called; he clapped Dougherty on the back; he shone like a midday sun upon Delia.","“吉米，老朋友！”他拍拍多尔蒂的后背；然后便像中午的太阳似的盯着迪莉亚。"
"“Honorable Mr. Corrigan—Mrs. Dougherty,” said “Big Jim.”","“克里根议员先生——多尔蒂太太。”“大吉姆”介绍道。"
"The Honorable Patrick became a fountain of entertainment and admiration.","帕特里克议员滔滔不绝地赞美起迪莉亚来。"
"The waiter had to fetch a third chair for him; he made another at the table, and the wineglasses were refilled.","侍者不得不去再搬一把椅子给他；于是，他和他们同桌坐下，酒杯也重新斟满。"
"“You selfish old rascal!” he exclaimed, shaking an arch finger at “Big Jim,” “to have kept Mrs. Dougherty a secret from us.”","“你这个自私的老家伙！”他朝“大吉姆”晃着手指大声说道，“一直金屋藏娇，不让我们见见多尔蒂太太。”"
"And then “Big Jim” Dougherty, who was no talker, sat dumb, and saw the wife who had dined every evening for three years at home, blossom like a fairy flower.","“大吉姆”多尔蒂不善言谈，默默地坐在一旁，看着三年来每晚同他一起吃饭的妻子像童话里的鲜花一样绽放着。"
"Quick, witty, charming, full of light and ready talk, she received the experienced attack of the Honorable Patrick on the field of repartee and surprised, vanquished, delighted him.","她机智、风趣、妩媚、活力四射而且非常健谈，善于应对经验老到的帕特里克议员的进攻，这不禁使他大为惊讶，令他心悦诚服。"
"She unfolded her long-closed petals and around her the room became a garden.","她舒展开封闭已久的花瓣，她周围的空间变成了一座花园。"
"They tried to include “Big Jim” in the conversation, but he was without a vocabulary.","他们试图把“大吉姆”拉进谈话中，但他却无话可说。"
"And then a stray bunch of politicians and good fellows who lived for sport came into the room.","这时几个政界的人和玩家朋友走进了餐厅。"
"They saw “Big Jim” and the leader, and over they came and were made acquainted with Mrs. Dougherty.","他们看到“大吉姆”和议员，便走过来，还被引荐给多尔蒂太太。"
"And in a few minutes she was holding a salon.","不出几分钟的时间，她仿佛在举行一个名流集会。"
"Half a dozen men surrounded her, courtiers all, and six found her capable of charming.","六个男人围着她，大献殷勤，而且他们都发现她魅力无穷。"
"“Big Jim” sat, grim, and kept saying to himself: “Three years, three years!”","“大吉姆”干坐着，一直在想：“三年啊，三年啊！”"
"The dinner came to an end.","晚餐结束了。"
"The Honorable Patrick reached for Mrs. Dougherty’s cloak; but that was a matter of action instead of words, and Dougherty’s big hand got it first by two seconds.","帕特里克议员伸手替多尔蒂太太拿上衣；那已经不是言词而是行动了，多尔蒂的大手抢先两秒钟拿到了上衣。"
"While the farewells were being said at the door the Honorable Patrick smote Dougherty mightily between the shoulders.","在门口告别时，帕特里克议员重重地拍了拍多尔蒂的后背。"
"“Jimmy, me boy,” he declared, in a giant whisper, “the madam is a jewel of the first water.","“吉米老弟，”他悄悄地大声嚷道，“太太真的是极品呀。"
"Ye’re a lucky dog.”","你真是个幸运的家伙。”"
"“Big Jim” walked homeward with his wife.","“大吉姆”同他妻子一起步行回家。"
"She seemed quite as pleased with the lights and show windows in the streets as with the admiration of the men in Hoogley’s.","街上的灯光和橱窗，同胡格利餐厅里那些男人对她的赞美一样，令她高兴不已。"
"As they passed Seltzer’s they heard the sound of many voices in the café.","他们经过赛尔策酒吧时，听到里面人声鼎沸。"
"The boys would be starting the drinks around now and discussing past performances.","兄弟们应该已经开始一轮一轮地喝酒了，一边还讨论着当天的业绩。"
"At the door of their home Delia paused.","迪莉亚在家门口停了下来。"
"The pleasure of the outing radiated softly from her countenance.","这次外出的愉快使她脸上容光焕发。"
"She could not hope for Jim of evenings, but the glory of this one would lighten her lonely hours for a long time.","她不能再指望吉姆晚上陪她，但是今晚的辉煌将会在以后很长时间里给她的孤寂带来光明。"
"“Thank you for taking me out, Jim,” she said, gratefully.","“谢谢你带我出去，吉姆，”她感激地说道，"
"“You’ll be going back up to Seltzer’s now, of course.”","“你现在当然要回赛尔策酒吧去了吧。”"
"“To—with Seltzer’s,” said “Big Jim,” emphatically.","“让赛尔策见鬼去吧，”“大吉姆”重重地说道，"
"“And d—Pat Corrigan!","“该死的帕特里克·科里根！"
"Does he think I haven’t got any eyes?”","他以为我没有眼力吗？”"
"And the door closed behind both of them.","他们两个关上了房门。"

