"The Diamond of Kali","迦梨女神的钻石","译者注：迦梨是印度教三大主神之一湿婆神妃帕尔瓦蒂产生的化身。是印度神话中最为黑暗和暴虐的黑色地母，她三眼四臂，青面獠牙，带着蛇和骷髅的项链，舌头上滴着血。史上曾用活人献祭。有她的传说总是与杀戮和鲜血相连。"
"by O. Henry","作者：欧·亨利"
"A month ago, while I was at a hotel in the Berkshires, three of them sprang upon me from the roadside weeds.","一个月前，我住在伯克郡的一家酒店，有三个他们派来的人从路边的草丛里窜出来，向我扑来。"
"I saved myself then by my knowledge of their customs.”","那次，我凭借对他们习俗的了解才幸免于难。"
"“How was that, General?” asked the reporter.","“将军，那是怎么回事？”记者问道。"
"“There was a cow grazing near by,” said General Ludlow, “a gentle Jersey cow.","“当时有一头牛在附近吃草，”勒德洛将军回答说，“是一头温顺的泽西牛。"
"I ran to her side and stood.","我跑过去站在牛的旁边。"
"The three Thugs ceased their attack, knelt and struck the ground thrice with their foreheads.","三个暴徒停止了攻击，跪在地上，磕了三个头。"
"Then, after many respectful salaams, they departed.”","然后，又毕恭毕敬行了许多额手礼便离开了。”"
"“Afraid the cow would hook?” asked the reporter.","“怕牛会用角攻击他们吗？”记者问。"
"“No; the cow is a sacred animal to the Phansigars.","“不是，对暴徒部落来说，牛是一种神圣的动物。"
"Next to their goddess they worship the cow.","他们对牛的崇拜仅次于迦梨女神。"
"They have never been known to commit any deed of violence in the presence of the animal they reverence.”","他们从未在他们敬畏的动物面前有过任何暴力行为。”"
"“It’s a mighty interesting story,” said the reporter.","“太有意思了，”记者说道，"
"“If you don’t mind I’ll take another drink, and then a few notes.”","“如果您不介意的话，我想再喝一杯，然后做些记录。”"
"“I will join you,” said General Ludlow, with a courteous wave of his hand.","“我陪你喝。”勒德洛将军客气地挥了挥手说道。"
"“If I were you,” advised the reporter, “I’d take that sparkler to Texas.","“如果我是您的话，”记者出主意说，“我就带着那颗钻石去德克萨斯。"
"Get on a cow ranch there, and the Pharisees—”","经营一个养牛场，这样，那些法利赛人——”"
"“Phansigars,” corrected the General.","“是暴徒。”将军纠正道。"
"“Oh, yes; the fancy guys would run up against a long horn every time they made a break.”","“哦，对，这样的话，那些人如果试图闯进去的话，就会遇到长长的牛角。”"
"General Ludlow closed the diamond case and thrust it into his bosom.","勒德洛将军盖好钻石的盒子，塞进胸前的口袋里。"
"“The spies of the tribe have found me out in New York,” he said, straightening his tall figure.","“那个部落的间谍已经查明了我在纽约的住处，”他直了一下腰说，"
"“I’m familiar with the East Indian cast of countenance, and I know that my every movement is watched.","“我熟悉东印度人的面貌特征，我知道我的一举一动都被监视了。"
"They will undoubtedly attempt to rob and murder me here.”","他们肯定会找到这里来抢走宝石，然后把我杀掉。”"
"“Here?” exclaimed the reporter, seizing the decanter and pouring out a liberal amount of its contents.","“这儿？”记者惊呼，抓起酒瓶又倒了许多酒。"
"“At any moment,” said the General.","“随时都可能，”将军说，"
"“But as a soldier and a connoisseur I shall sell my life and my diamond as dearly as I can.”","“但是作为一名军人和鉴赏家，要取走我的性命和钻石是要付出很高的代价的。”"
"At this point of the reporter’s story there is a certain vagueness, but it can be gathered that there was a loud crashing noise at the rear of the house they were in.","记者的稿子对此处的描述有点儿含混不清，但是可以猜测到，他们当时所在的那座房屋后面传出了一声巨响。"
"General Ludlow buttoned his coat closely and sprang for the door.","勒德洛将军扣好上衣，朝房门冲去。"
"But the reporter clutched him firmly with one hand, while he held the decanter with the other.","但是记者一只手紧紧抓住他，另一只手还攥着酒瓶子。"
"“Tell me before we fly,” he urged, in a voice thick with some inward turmoil, “do any of your daughters contemplate going on the stage?”","“在我们逃跑之前，”他焦急地追问道，声音由于内心的紧张而有点儿沙哑，“告诉我您有女儿想要进演艺圈吗？”"
"“I have no daughters—fly for your life—the Phansigars are upon us!” cried the General.","“我没有女儿——你快逃命去吧——暴徒来找我们了！”将军嚷道。"
"The two men dashed out of the front door of the house.","两个人从屋子的前门飞奔了出去。"
"The hour was late.","天色已经很晚了。"
"As their feet struck the side-walk strange men of dark and forbidding appearance seemed to rise up out of the earth and encompass them.","他们刚踏上人行道，几个皮肤黝黑、面目狰狞的陌生人仿佛从地底下突然冒出来一般，围住了他们。"
"One with Asiatic features pressed close to the General and droned in a terrible voice:","一个长着亚洲面貌的人逼近将军，用低沉而又恐怖的声音说："
"“Buy cast clo’!”","“行个好吧！”"
"Another, dark-whiskered and sinister, sped lithely to his side and began in a whining voice:","另一个凶相毕露、长着黑胡子的人快步上前，带着哭腔说："
"“Say, mister, have yer got a dime fer a poor feller what—”","“先生，给穷人一点儿小钱吧——”"
"They hurried on, but only into the arms of a black-eyed, dusky-browed being, who held out his hat under their noses, while a confederate of Oriental hue turned the handle of a street organ near by.","他们继续往前跑，却和一个黑眼睛、黑眉毛的人撞了个满怀。那个人把帽子伸到他们鼻子底下，附近则是一个有着东方肤色的同伙在摇手风琴的把手。"
"Twenty steps farther on General Ludlow and the reporter found themselves in the midst of half a dozen villainous-looking men with high-turned coat collars and faces bristling with unshaven beards.","勒德洛将军和记者又往前跑了二十步，然后就落入了五六个胡子拉碴、敞胸露怀的恶棍似的人的包围中。"
"“Run for it!” hissed the General.","“逃命吧！”将军嘘声说，"
"“They have discovered the possessor of the diamond of the goddess Kali.”","“他们已经发现迦梨女神的钻石在谁手里了。”"
"The two men took to their heels.","两人拔腿又跑。"
"The avengers of the goddess pursued.","替女神复仇的人紧追不舍。"
"“Oh, Lordy!” groaned the reporter, “there isn’t a cow this side of Brooklyn.","“哦，天哪！”记者抱怨道，“布鲁克林这一带没有牛。"
"We’re lost!”","我们死定了。”"
"When near the corner they both fell over an iron object that rose from the sidewalk close to the gutter.","两人在街角撞到了人行道阴沟旁的一个铁家伙。"
"Clinging to it desperately, they awaited their fate.","他们绝望地抱着那个东西，等待命运的安排。"
"“If I only had a cow!” moaned the reporter—“or another nip from that decanter, General!”","“我要是有一头牛就好了！”记者咕哝道，“或者让我再喝一口瓶子里的酒，将军！”"
"As soon as the pursuers observed where their victims had found refuge they suddenly fell back and retreated to a considerable distance.","追赶他们的人一看到他们避难的地方，突然都收住了脚步，退回到相当远的地方。"
"“They are waiting for reinforcements in order to attack us,” said General Ludlow.","“他们在等援兵，然后再来攻击我们。”勒德洛将军说。"
"But the reporter emitted a ringing laugh, and hurled his hat triumphantly into the air.","但是记者放声大笑，庆祝胜利似地把帽子抛向了空中。"
"“Guess again,” he shouted, and leaned heavily upon the iron object.","“您再猜猜，”他紧靠在那个铁家伙身上嚷道，"
"“Your old fancy guys or thugs, whatever you call ’em, are up to date.","“您的那些野蛮人或者暗杀部落，不管您怎么称呼他们，已经跟上了时代的发展。"
"Dear General, this is a pump we’ve stranded upon—same as a cow in New York (hic!) see?","亲爱的将军，我们靠着的是个水泵，长得就像纽约城里的牛一样，”记者打了个酒嗝，“明白了吗？"
"Thas’h why the ’nfuriated smoked guys don’t attack us—see?","这就是为什么那些黑乎乎的家伙没有袭击我们的原因——明白了吗？"
"Sacred an’mal, the pump in N’ York, my dear General!”","神圣的动物，纽约的水泵，我亲爱的将军！”"
"But further down in the shadows of Twenty-eighth Street the marauders were holding a parley.","但是在远处第二十八街阴暗的角落里，劫匪们还在商量着。"
"“Come on, Reddy,” said one.","“喂，红毛，”一个劫匪说，"
"“Let’s go frisk the old ’un.","“我们去抢那老家伙。"
"He’s been showin’ a sparkler as big as a hen egg all around Eighth Avenue for two weeks past.”","这两个星期，他老在第八大街到处炫耀说自己有一颗鸡蛋那么大的钻石。”"
"“Not on your silhouette,” decided Reddy.","“想也甭想，”红毛说，"
"“You see ’em rallyin’ round The Pump?","“你看到他们呆在压水泵那儿吗？"
"They’re friends of Bill’s.","他们是比尔的朋友。"
"Bill won’t stand for nothin’ of this kind in his district since he got that bid to Esopus.”","他绝不会容忍在他掌权后，在他的地盘内发生这样的事情。”"
"This exhausts the facts concerning the Kali diamond.","有关迦梨钻石的故事到此结束。"
"But it is deemed not inconsequent to close with the following brief (paid) item that appeared two days later in a morning paper.","但是两天之后早报登出一条（有偿的）短讯，用它来作为这个故事的结尾并非不合逻辑。"
"“It is rumored that a niece of Gen. Marcellus B. Ludlow, of New York City, will appear on the stage next season.","“据传，纽约市马塞勒斯·B. 勒德洛将军的侄女将在下一演出季中登台献艺。”"
"“Her diamonds are said to be extremely valuable and of much historic interest.”","“据悉，她佩戴的钻石饰物价值不菲，具有极大的历史意义。”"

