"书名牧羊人之所见：四个月夜的故事（哈代经典短篇小说）短简介圣诞节本是万人欢庆的节日，圣诞夜本是欢乐祥和的夜晚。然而，对年轻的牧羊小孩米尔斯来说并非如此。在圣诞的这一周，在三个月黑风高的夜晚，他见证了公爵、公爵夫人及公爵夫人表弟弗雷德上尉之间的爱恨情仇，并且亲眼目睹了公爵对弗雷德上尉的残酷杀戮。应公爵的要求，米尔斯始终守口如瓶，直到二十二年之后同样一个月黑风高的夜晚，真相才最终揭晓，此时这位昔日的毛头牧羊人已是人到中年。长简介哈代的短篇小说《牧羊人之所见：四个月夜的故事》借主人公之口娓娓道来，讲述了发生在四个月夜的悬疑故事。小说伊始，作者便介绍了第一位主人公：小小牧羊人。这位小小牧羊人，看似微不足道，实则是贯穿文章的主线，因为正是他那双眼眸见证了发生在公爵、公爵夫人、弗雷德上尉之间的故事。小说情节看似随兴所至、未加刻意雕琢，其实经过多处铺垫、烘托，营造了整个文章的悬疑气氛，这种气氛贯穿全文，直到二十二年之后的第四个夜晚，谜底才最后解开。小说语言简洁流畅、耐人品读。关键字牧羊人之所见；托马斯·哈代；外研社编译组；爱恨情仇；圣诞节；杀戮作者（英）托马斯·哈代作者简介托马斯·哈代（1840—1928），英国诗人、小说家。他是横跨两个世纪的作家，早期和中期的创作以小说为主，继承和发扬了维多利亚时代的文学传统；晚年以其出色的诗歌开拓了英国20世纪的文学。书评圣诞节本是万人欢庆的节日，圣诞夜本是欢乐祥和的夜晚。然而，事实并非总是如此，因为圣诞夜也见证了残酷无情的杀戮事件。"
"What the Shepherd Saw: A Tale of Four Moonlight Nights","牧羊人之所见：四个月夜的故事"
"The shepherd lad had hardly done speculating on the strangeness of the unknown’s presence here at such an hour, when he saw a second figure crossing the open sward towards the locality of the trilithon and furze-clump that screened the hut.","年轻牧羊人正在思索这个时间怎么会出现一个陌生男子，突然看见另外一个人影正穿过开阔的草地，朝着巨石牌坊和挡着棚子的荆豆丛走来。"
"This second personage was a woman; and immediately on sight of her the male stranger hastened forward, meeting her just in front of the hut window.","第二位人物是一位女性；一看到她，陌生男子便急忙上前，恰好就在棚子窗户前与她会面。"
"Before she seemed to be aware of his intention he clasped her in his arms.","她好像还没反应过来，他便已经紧紧抱住了她。"
"The lady released herself and drew back with some dignity.","那位女士从怀抱中挣脱出来，矜持地向后退了一下。"
"‘You have come, Harriet—bless you for it!’ he exclaimed, fervently.","“你来了，哈丽雅特，老天会保佑你的！”他激动地叫道。"
"‘But not for this,’ she answered, in offended accents.","“得了吧。”她回答道，语气中带着恼怒。"
"And then, more good-naturedly, ‘I have come, Fred, because you entreated me so!","然后，她用缓和一点儿的语气说道：“弗雷德，是因为你求我，我才来的！"
"What can have been the object of your writing such a letter?","你写这样一封信的目的是什么？"
"I feared I might be doing you grievous ill by staying away.","我怕我不来，对你太过分了。"
"How did you come here?’","你怎么来这里的？”"
"‘I walked all the way from my father’s.’","“我是从我父亲那里一路走过来的。”"
"‘Well, what is it?","“那么你找我有什么事？"
"How have you lived since we last met?’","自我们上次见面后，你过得怎么样？”"
"‘But roughly; you might have known that without asking.","“不怎么样。不用问你大概应该都知道吧。"
"I have seen many lands and many faces since I last walked these downs, but I have only thought of you.’","自从上次来过这个丘陵以来，我去过很多地方，见过很多人，但我心里想的却只有你。”"
"‘Is it only to tell me this that you have summoned me so strangely?’","“你半夜三更唤我来就只为告诉我这个吗？”"
"A passing breeze blew away the murmur of the reply and several succeeding sentences, till the man’s voice again became audible in the words, ‘Harriet—truth between us two!","一阵微风吹过，男子的回答声以及接下来的几句话都听不见了，直到他的声音再次变得能听见，“哈丽雅特，我们俩就坦诚相见吧！"
"I have heard that the Duke does not treat you too well.’","我听说公爵对你不太好。”"
"‘He is warm-tempered, but he is a good husband.’","“他性情急躁，但是个好丈夫。”"
"‘He speaks roughly to you, and sometimes even threatens to lock you out of doors.’","“他对你说话粗鲁，有时候甚至威胁说要把你锁在门外。”"
"‘Only once, Fred!","“只有一次，弗雷德！"
"On my honour, only once.","我以人格担保，只有一次。"
"The Duke is a fairly good husband, I repeat.","公爵是个相当好的丈夫，我再说一遍。"
"But you deserve punishment for this night’s trick of drawing me out.","但是你今晚骗我出来，应该得到惩罚。"
"What does it mean?’","到底有什么事？”"
"‘Harriet, dearest, is this fair or honest?","“我最亲爱的哈丽雅特，这是公平还是诚实呢？"
"Is it not notorious that your life with him is a sad one—that, in spite of the sweetness of your temper, the sourness of his embitters your days.","和他一起，你的日子过得很痛苦，这难道不是尽人皆知的吗？尽管你脾气很好，他脾气却那么坏。"
"I have come to know if I can help you.","我来是想知道我是否能帮你。"
"You are a Duchess, and I am Fred Ogbourne; but it is not impossible that I may be able to help you...","你是公爵夫人，我只是弗雷德·奥格本；但这并不意味着我帮不上你的忙。"
"By God! the sweetness of that tongue ought to keep him civil, especially when there is added to it the sweetness of that face!’","老天作证！就凭你甜美的言辞，他都应该对你彬彬有礼，再加上你那甜美的脸蛋，他更应该对你好了！”"
"‘Captain Ogbourne!’ she exclaimed, with an emphasis of playful fear.","“奥格本上尉！”她喊道，语气中流露着恐惧，又夹杂着调皮，"
"‘How can such a comrade of my youth behave to me as you do?","“你和我一般年轻，怎么能这样待我呢？"
"Don’t speak so, and stare at me so!","别这么说话，也别这么盯着我看！"
"Is this really all you have to say?","这真的是所有你想说的吗？"
"I see I ought not to have come.","我想我不应该来。"
"’Twas thoughtlessly done.’","我太轻率了。”"
"Another breeze broke the thread of discourse for a time.","又一阵微风吹过，有一段时间，两人的谈话听不见了。"
"‘Very well.","“很好。"
"I perceive you are dead and lost to me,’ he could next be heard to say, ‘“Captain Ogbourne” proves that.","我感觉你已死了，我失去了你，”等下，又听到他说道，“‘奥格本上尉’证明了这一点。"
"As I once loved you I love you now, Harriet, without one jot of abatement; but you are not the woman you were—you once were honest towards me; and now you conceal your heart in made-up speeches.","我过去爱你，现在还爱着你，哈丽雅特，我对你的爱没有丝毫消退。但你已经不是过去的你了，过去，你对我很坦诚，可是现在，你却用虚伪的言辞将你的内心隐藏起来。"
"Let it be: I can never see you again.’","就这样吧，我能与你永不相见。”"
"‘You need not say that in such a tragedy tone, you silly.","“你没必要说得那么悲伤，你这个傻瓜。"
"You may see me in an ordinary way—why should you not?","你可以用平常的眼光看我——你为什么不这样呢？"
"But, of course, not in such a way as this.","但是，当然不是以这样一种方式。"
"I should not have come now, if it had not happened that the Duke is away from home, so that there is nobody to check my erratic impulses.’","我真不该来，还不是因为公爵恰巧不在家，所以没人压制我这种奇怪的冲动。”"
"‘When does he return?’","“他什么时候回来？”"
"‘The day after to-morrow, or the day after that.’","“后天或者大后天。”"
"‘Then meet me again to-morrow night.’","“那明晚再来见我吧。”"
"‘No, Fred, I cannot.’","“不，弗雷德，我不能。”"
"‘If you cannot to-morrow night, you can the night after; one of the two before he comes please bestow on me.","“如果明天晚上你不能来，可以后天晚上来；离公爵回来还有两个晚上，请在其中一个晚上来见见我吧。"
"Now, your hand upon it!","把你的手给我！"
"To-morrow or next night you will see me to bid me farewell!’","明天晚上或后天晚上来跟我告别吧！”"
" He seized the Duchess’s hand.","他抓住了公爵夫人的手。"
"‘No, but Fred—let go my hand!","“不，弗雷德，放开我的手！"
"What do you mean by holding me so?","你这么抓着我是什么意思呢？"
"If it be love to forget all respect to a woman’s present position in thinking of her past, then yours may be so, Frederick.","如果说爱，只是想着一个女人的过去，而忘了尊重她现在的情况，那你的爱就是这样的，弗雷德里克。"
"It is not kind and gentle of you to induce me to come to this place for pity of you, and then to hold me tight here.’","由于同情你，我被你骗到这里来，你又这样紧抓着我，你太不友好、太不温和了。”"
"‘But see me once more!","“但是，再来见我一次吧！"
"I have come two thousand miles to ask it.’","我赶了两千英里路就是来求你见我的！”"
"‘O, I must not!","“噢，我不能再见你了！"
"There will be slanders—Heaven knows what!","肯定会有流言蜚语——上天会知道！"
"I cannot meet you.","我不能再来见你了。"
"For the sake of old times don’t ask it.’","求你看在我们的旧交情的份上，别再让我来见你了。”"
"‘Then own two things to me; that you did love me once, and that your husband is unkind to you often enough now to make you think of the time when you cared for me.’","“那你向我承认两件事吧：第一，你的确爱过我；第二，现在你丈夫经常对你不好，所以你常想到过去你喜欢我的时候。”"
"‘Yes—I own them both,’ she answered faintly.","“是的，我都承认，”她有气无力地回答道，"
"‘But owning such as that tells against me; and I swear the inference is not true.’","“但是如果承认这些对我不利的话，我发誓这种推断不是真的。”"
"‘Don’t say that; for you have come—let me think the reason of your coming what I like to think it.","“别这么说，既然你来了，就让我按自己的想法想你来的原因吧。"
"It can do you no harm.","不会对你有什么害处的。"
"Come once more!’","再来见我一次吧！”"
"He still held her hand and waist.","他仍然抓着她的手，扶着她的腰。"
"‘Very well, then,’ she said.","“那好吧，”她说，"
"‘Thus far you shall persuade me.","“你只能说服我到此为止了。"
"I will meet you to-morrow night or the night after.","我明天晚上或后天晚上来见你。"
"Now, let me go.’","现在，放开我吧。”"
"He released her, and they parted.","他放开她，然后彼此分开了。"
"The Duchess ran rapidly down the hill towards the outlying mansion of Shakeforest Towers, and when he had watched her out of sight, he turned and strode off in the opposite direction.","公爵夫人快速跑下山坡，朝着谢科福里斯特塔外侧的房子跑去。男子注视着公爵夫人，直到她消失在视野中，便转过身，向相反的方向大步走去。"
"All then was silent and empty as before.","一切又重归寂静、空旷的状态。"
"Yet it was only for a moment.","但这种状态只持续了片刻。"
"When they had quite departed, another shape appeared upon the scene.","当他们完全离开时，另外一个人影出现了。"
"He came from behind the trilithon.","他是从巨石牌坊后面走出来的。"
"He was a man of stouter build than the first, and wore the boots and spurs of a horseman.","这也是一位男子，体格比之前那位结实，穿着马靴和马刺。"
"Two things were at once obvious from this phenomenon: that he had watched the interview between the Captain and the Duchess; and that, though he probably had seen every movement of the couple, including the embrace, he had been too remote to hear the reluctant words of the lady’s conversation—or, indeed, any words at all—so that the meeting must have exhibited itself to his eye as the assignation of a pair of well-agreed lovers.","马上有两件事情是显而易见的：第一，他目睹了上尉和公爵夫人的整个对话过程；第二，虽然他很可能目睹了他们二人的一举一动，包括拥抱，但是他离得太远了，没听清谈话过程中公爵夫人勉强的话语——或者，他根本就没听清什么——所以，这次会面在他看来就是两情相悦的恋人之间的一次幽会。"
"But it was necessary that several years should elapse before the shepherd-boy was old enough to reason out this.","但是，只有再过几年，等年轻的牧羊人足够成熟了，才能推理出这些。"
"The third individual stood still for a moment, as if deep in meditation.","第三个人静静地站了一会，仿佛在沉思。"
"He crossed over to where the lady and gentleman had stood, and looked at the ground; then he too turned and went away in a third direction, as widely divergent as possible from those taken by the two interlocutors.","他走到那位女士和绅士之先前的地方，看着地面；然后，他也转过身，朝着第三个方向离去了，这一方向与前面两位谈话者离去的方向相差特别远。"
"His course was towards the highway; and a few minutes afterwards the trot of a horse might have been heard upon its frosty surface, lessening till it died away upon the ear.","他朝着大路的方向离去了；几分钟后，结了霜的公路地面上或许传来了马蹄声，直到后来慢慢消失在耳际。"
"The boy remained in the hut, confronting the trilithon as if he expected yet more actors on the scene, but nobody else appeared.","男孩仍呆在棚子里，脸朝着巨石方碑，好像在期待还有更多的演员登场，然而，没有人在出现。"
"How long he stood with his little face against the loophole he hardly knew; but he was rudely awakened from his reverie by a punch in his back, and in the feel of it he familiarly recognized the stem of the old shepherd’s crook.","他不记得自己在那里站了多久，将自己小小的脸庞贴在棚子的孔洞里向外望；但是，有人在他背上打了一下，他从遐想中突然醒了过来，他立马就觉察出了老牧羊人那熟悉的手杖柄。"
"‘Blame thy young eyes and limbs, Bill Mills—now you have let the fire out, and you know I want it kept in!","“都怪你稚嫩的眼睛和四肢，比尔·米尔斯，现在炉子里的火熄灭了，你知道我不想让灭了。"
"I thought something would go wrong with ’ee up here, and I couldn’t bide in bed no more than thistledown on the wind, that I could not!","想着你在这里肯定会出什么错，我就没法再睡觉了，就像蓟花的冠毛想要逆风飞翔那么困难，我没法再睡觉了！"
"Well, what’s happened, fie upon ’ee?’","那么，呸，发生什么事了？”"
"‘Nothing.’","“什么事都没发生。”"
"‘Ewes all as I left ’em?’","“母羊还是我离开时的样子吗？”"
"‘Yes.’","“是的。”"
"‘Any lambs want bringing in?’","“有要产羔的吗？”"
"‘No.’","“没有。”"
"The shepherd relit the fire, and went out among the sheep with a lantern, for the moon was getting low.","老牧羊人重新生了火，提着一盏灯笼出去查看羊群，因为月亮渐渐西沉了。"
"Soon he came in again.","他很快又回来了。"
"‘Blame it all—thou’st say that nothing have happened; when one ewe have twinned and is like to go off, and another is dying for want of half an eye of looking to!","“该死——你刚刚还说什么事都没发生；一只母羊生了孪生羊羔快不行了，另一只母羊由于缺乏照料也快死了！”"
"I told ’ee, Bill Mills, if anything went wrong to come down and call me; and this is how you have done it.’","我告诉过你，比尔·米尔斯，如果有什么事，就下山来叫我；看看你干的好事。”"
"‘You said I could go to sleep for a hollerday, and I did.’","“你说今天过节，我可以去睡觉，我照你说的办了。”"
"‘Don’t you speak to your betters like that, young man, or you’ll come to the gallows-tree!","“别这么跟长辈说话，年轻人，不然你就该上绞刑架！"
"You didn’t sleep all the time, or you wouldn’t have been peeping out of that there hole!","你肯定没有一直睡觉，要不然你就不会从窗眼向外看了！"
"Now you can go home, and be up here again by breakfast-time.","现在你可以回家了，到早饭时间再回来。"
"I be an old man, and there’s old men that deserve well of the world; but no I—must rest how I can!’","我是老人，老人就该得到好的待遇；但是我却不能休息。"
"The elder shepherd then lay down inside the hut, and the boy went down the hill to the hamlet where he dwelt.","老牧羊人然后在小棚子里躺了下来，男孩走下山，朝着他住的小村庄走去。"
"SECOND NIGHT","第二夜"
"When the next night drew on the actions of the boy were almost enough to show that he was thinking of the meeting he had witnessed, and of the promise wrung from the lady that she would come there again.","第二个晚上来临时，男孩的行动几乎足以表明，他在想着前一天晚上看到的会面以及那位女士被迫答应再来的承诺。"
"As far as the sheep-tending arrangements were concerned, to-night was but a repetition of the foregoing one.","至于照看羊群的安排，今晚只不过是重复之前的惯例而已。"
"Between ten and eleven o’clock the old shepherd withdrew as usual for what sleep at home he might chance to get without interruption, making up the other necessary hours of rest at some time during the day; the boy was left alone.","十点到十一点之间，老牧羊人像往常一样回家了，去睡个不受打扰的好觉，以补上白天某个时候的休息时间。又只剩下男孩一个人了。"
"The frost was the same as on the night before, except perhaps that it was a little more severe.","跟前一天晚上一样，又落了霜，或许只是稍微多一点儿而已。"
"The moon shone as usual, except that it was three-quarters of an hour later in its course; and the boy’s condition was much the same, except that he felt no sleepiness whatever.","月光像往常一样洒在大地上，只是今晚月亮出来的时间晚了三刻钟；男孩的情况也基本上跟以往一样，只是他一点儿都不觉得瞌睡了。"
"He felt, too, rather afraid; but upon the whole he preferred witnessing an assignation of strangers to running the risk of being discovered absent by the old shepherd.","他也感到有点儿害怕；但是总体而言，他宁愿冒着被老牧羊人发现他旷工的风险，也要目睹一对陌生人的幽会。"
"It was before the distant clock of Shakeforest Towers had struck eleven that he observed the opening of the second act of this midnight drama.","就在远处谢克福里斯特塔十一点的钟声敲响之前，男孩目睹了这出午夜剧第二场的开幕。"
"It consisted in the appearance of neither lover nor Duchess, but of the third figure—the stout man, booted and spurred—who came up from the easterly direction in which he had retreated the night before.","出场的既不是情人也不是公爵夫人，而是第三位人物——那位身体结实、穿着马靴和马刺的男人——他从东边走来，那正是前一晚他离去的方向。"
"He walked once round the trilithon, and next advanced towards the clump concealing the hut, the moonlight shining full upon his face and revealing him to be the Duke.","他绕着巨石牌坊踱了一圈，然后朝着遮掩棚子的荆豆丛走去，月光照在他脸上，原来是公爵。"
"Fear seized upon the shepherd-boy: the Duke was Jove himself to the rural population, whom to offend was starvation, homelessness, and death, and whom to look at was to be mentally scathed and dumbfoundered.","牧羊男孩心中充满了恐惧：对当地的乡民来说，公爵就是主神，冒犯他就要忍受饥饿、无家可归以及死亡的折磨，直视他就会神志受损、精神错乱。"
"He closed the stove, so that not a spark of light appeared, and hastily buried himself in the straw that lay in a corner.","男孩封上炉子，这样就不会有一丝光出现了，然后他急忙钻进了角落里的草堆里。"
"The Duke came close to the clump of furze and stood by the spot where his wife and the Captain had held their dialogue; he examined the furze as if searching for a hiding-place, and in doing so discovered the hut.","公爵来到荆豆丛跟前，站在他妻子和上尉前一天晚上交谈的地方；他仔细打量着荆豆丛，好像在找一个藏身之处，就在这时，他发现了棚子。"
"The latter he walked round and then looked inside; finding it to all seeming empty, he entered, closing the door behind him and taking his place at the little circular window against which the boy’s face had been pressed just before.","公爵绕着棚子走了一圈，然后朝里看去；他发现棚子好像是空的，便走了进去，关上门，呆在了圆形小窗户前，之前男孩曾把脸贴在那里。"
"The Duke had not adopted his measures too rapidly, if his object were concealment.","如果公爵的目的就是藏起来的话，那他的动作并不是很快。"
"Almost as soon as he had stationed himself there eleven o’clock struck, and the slender young man who had previously graced the scene promptly reappeared from the north quarter of the down.","公爵基本上刚刚在那里藏好，十一点的钟声就敲响了，前一天晚上驾临这里的那位身材高瘦的年轻男子马上就出现了，他是从丘陵的北边来的。"
"The spot of assignation having, by the accident of his running forward on the foregoing night, removed itself from the Devil’s Door to the clump of furze, he instinctively came thither, and waited for the Duchess where he had met her before.","由于前一天晚上上尉不经意的跑动，幽会的地点从“魔鬼门”转移到了荆豆丛旁。这次他自然而然就来到了那里，在前一天晚上会面的地点等待公爵夫人。"
"But a fearful surprise was in store for him to-night, as well as for the trembling juvenile.","但是今晚，一个恐怖的意外正在等待上尉和那位浑身颤抖的少年。"
"At his appearance the Duke breathed more and more quickly, his breathings being distinctly audible to the crouching boy.","上尉一出现，公爵的呼吸便越来越急促，男孩蜷缩在那里，可以清晰地听到公爵的呼吸声。"
"The young man had hardly paused when the alert nobleman softly opened the door of the hut, and, stepping round the furze, came full upon Captain Fred.","还没等年轻的上尉停下脚步，警觉的公爵便轻轻推开了棚子的门，绕过荆豆丛，朝着弗雷德上尉扑了过去。"
"‘You have dishonoured her, and you shall die the death you deserve!’ came to the shepherd’s ears, in a harsh, hollow whisper through the boarding of the hut.","“你让她名誉受损，你该死！”这句严厉而又低沉的私语穿过棚子的木板墙，传到了男孩耳边。"
"The apathetic and taciturn boy was excited enough to run the risk of rising and looking from the window, but he could see nothing for the intervening furze boughs, both the men having gone round to the side.","一向沉默寡言、对一切缺乏兴趣的男孩内心激动不已，便冒险站了起来，从窗户向外看。但是，荆豆枝挡在那里，他什么都看不见，公爵和上尉都绕到了荆豆丛的另一面。"
"What took place in the few following moments he never exactly knew.","接下来几分钟里到底发生了什么事，男孩从未完全清楚过。"
