"In the Days of the Comet","彗星来临"
"I stopped dead the other afternoon in my walk across the moor, where once the dismal outskirts of Swathinglea straggled toward Leet, and asked, “Was it here indeed that I crouched among the weeds and refuse and broken crockery and loaded my revolver ready for murder?","一天午后，我在步行穿过荒野时猛然停住，当年斯瓦辛格利破败的郊景现在已快扩展到利特了。我问自己：“当年我就是蹲在这儿的野草丛和垃圾堆中，摔碎陶器、上好左轮手枪准备杀人的吗？"
"Did ever such a thing happen in my life?","我的一生中真的发生过这种事情吗？"
"Was such a mood and thought and intention ever possible to me?","我真的有过这种心境、想法和动机吗？"
"Rather, has not some queer nightmare spirit out of dreamland slipped a pseudo-memory into the records of my vanished life?”","或者，会不会是梦境里某个奇怪的噩梦精灵溜出来，将这些虚假的记忆悄悄塞进了我过去生活的记录中呢？”"
"There must be many alive still who have the same perplexities.","一定有很多依然健在的人有着和我一样的迷惑。"
"And I think too that those who are now growing up to take our places in the great enterprise of mankind, will need many such narratives as mine for even the most partial conception of the old world of shadows that came before our day.","我也在想，正在成长起来接替我们从事人类伟大事业的那些人，他们需要许多我所写的这类故事，以便对我们这个时代之前的那个蒙眬的旧世界有所了解，哪怕这种了解是极不完整的。"
"It chances too that my case is fairly typical of the Change; I was caught midway in a gust of passion; and a curious accident put me for a time in the very nucleus of the new order.","我的经历碰巧也算得上是“巨变”的一个非常典型的事例。我中途被突然迸发的一股激情所俘虏；一个古怪的偶然事件一时间将我卷入了新秩序的正中心。"
"My memory takes me back across the interval of fifty years to a little ill-lit room with a sash window open to a starry sky, and instantly there returns to me the characteristic smell of that room, the penetrating odor of an ill-trimmed lamp, burning cheap paraffin.","记忆将我带回50年前一间昏暗的小房间，房间里一扇推拉窗大敞着，空对着满天繁星。我随即回忆起当时房间里特有的气味——那是一盏油灯散发出的刺鼻气味，那盏灯没什么装饰，里面燃着廉价煤油。"
"Lighting by electricity had then been perfected for fifteen years, but still the larger portion of the world used these lamps.","那时，成熟的光电照明已有15年的历史，但世界上大部分地区依然点着这种煤油灯。"
"All this first scene will go, in my mind at least, to that olfactory accompaniment.","最初这一幕引起了嗅觉上的共鸣，至少在我脑海中是如此。"
"That was the evening smell of the room.","那就是房间夜晚的气味。"
"By day it had a more subtle aroma, a closeness, a peculiar sort of faint pungency that I associate—I know not why—with dust.","白天它散发一股更为清淡的香气，那是一股模模糊糊的刺鼻气味，感觉很近、很特别。不知何故，我总会把这种味道与灰尘联系在一起。"
"Let me describe this room to you in detail.","让我为你详细地描绘一下这个房间吧。"
"It was perhaps eight feet by seven in area and rather higher than either of these dimensions; the ceiling was of plaster, cracked and bulging in places, gray with the soot of the lamp, and in one place discolored by a system of yellow and olive-green stains caused by the percolation of damp from above.","房间长约8英尺，宽7英尺，高度较长宽来讲则更大；石膏屋顶裂纹斑斑、凹凸不平，被煤油灯的烟熏成了灰色，还有一处被天花板渗出的潮气染出了黄色与橄榄绿夹杂的印渍。"
"The walls were covered with dun-colored paper, upon which had been printed in oblique reiteration a crimson shape, something of the nature of a curly ostrich feather, or an acanthus flower, that had in its less faded moments a sort of dingy gaiety.","墙身贴着深褐色的墙纸，上面曾斜印着深红色的图案，形状有些像鸵鸟的卷毛，抑或是一种爵床科的花朵——在尚未完全凋零之前，曾经在昏暗中开得很艳。"
"There were several big plaster-rimmed wounds in this, caused by Parload’s ineffectual attempts to get nails into the wall, whereby there might hang pictures.","墙上有几大块石膏补过的地方，那是帕罗德试图在墙上钉钉子时留下的，只是钉子最终也没能钉进去，不然他可能会挂些画在上面。"
"One nail had hit between two bricks and got home, and from this depended, sustained a little insecurely by frayed and knotted blind-cord, Parload’s hanging bookshelves, planks painted over with a treacly blue enamel and further decorated by a fringe of pinked American cloth insecurely fixed by tacks.","一颗钉子在两块砖之间落了脚，上面悬着一根窗帘绳，绳子已经磨损，打着结，摇摇晃晃地挂着帕罗德的书架。书架的板条上刷了一层黏稠的蓝色搪瓷，上面用大头钉松松垮垮地钉着彩色漆布的锯齿形流苏作为装饰。"
"Below this was a little table that behaved with a mulish vindictiveness to any knee that was thrust beneath it suddenly; it was covered with a cloth whose pattern of red and black had been rendered less monotonous by the accidents of Parload’s versatile ink bottle, and on it, leit motif of the whole, stood and stank the lamp.","书架下面是一张小桌子，那架势就像是坚持要报复突然伸到它下面的每一双膝盖；桌上蒙着一块桌布，帕罗德的多功能墨水瓶偶尔在桌上打翻过，这使桌布红黑相间的图案不再那么单调了；桌上最醒目的地方放着一盏灯，散发着恶臭。"
"This lamp, you must understand, was of some whitish translucent substance that was neither china nor glass, it had a shade of the same substance, a shade that did not protect the eyes of a reader in any measure, and it seemed admirably adapted to bring into pitiless prominence the fact that, after the lamp’s trimming, dust and paraffin had been smeared over its exterior with a reckless generosity.","你要知道，这盏灯是用一种发白的半透明的材料做成的（那种材料不是陶瓷也不是玻璃），灯罩用的也是同一种材料，起不到一点儿保护读者眼睛的作用。它似乎恰到好处，无情地突显了下述事实，即灯点燃后，灰尘和煤油会不计后果、慷慨大方地糊在灯罩外面。"
"The uneven floor boards of this apartment were covered with scratched enamel of chocolate hue, on which a small island of frayed carpet dimly blossomed in the dust and shadows.","房间的地板凹凸不平，上面巧克力色的搪瓷已经满是划痕，一小块磨旧了的地毯在灰尘和阴影里若隐若现。"
"There was a very small grate, made of cast-iron in one piece and painted buff, and a still smaller misfit of a cast-iron fender that confessed the gray stone of the hearth.","房间里有一个很小的壁炉，涂着浅黄色的漆。壁炉由一整块铸铁制成，外面是一道更小、更不相称的铸铁护栏，围着灰色的壁炉铺石。"
"No fire was laid, only a few scraps of torn paper and the bowl of a broken corn-cob pipe were visible behind the bars, and in the corner and rather thrust away was an angular japanned coal-box with a damaged hinge.","炉里没有生火，只能看见炉栅后的几张碎纸片和一个坏了的玉米穗轴烟斗的斗。角落更深处是一个涂了亮漆、有尖角的煤箱，上面吊着一根破铰链。"
"It was the custom in those days to warm every room separately from a separate fireplace, more prolific of dirt than heat, and the rickety sash window, the small chimney, and the loose-fitting door were expected to organize the ventilation of the room among themselves without any further direction.","尽管使用不同的壁炉为各个房间单独供暖的方式会产生更多的灰尘，而不是更多的暖气，但在当时却是一种惯例。无需多言，摇晃的推拉窗、小烟囱和关不严的门保证了各个房间可以多通风。"
"Parload’s truckle bed hid its gray sheets beneath an old patchwork counterpane on one side of the room, and veiled his boxes and suchlike oddments, and invading the two corners of the window were an old whatnot and the washhandstand, on which were distributed the simple appliances of his toilet.","房间一边放着帕罗德的活动矮床，床上铺着灰不溜秋的床单，床单上罩着破旧的百衲床罩，他的箱子和类似的零碎物件也都用床罩蒙着。窗户两边的角落里各放着旧的陈列架和洗漱台，上面杂乱地摆着他的几件简单的盥洗用具。"
"This washhandstand had been made of deal by some one with an excess of turnery appliances in a hurry, who had tried to distract attention from the rough economies of his workmanship by an arresting ornamentation of blobs and bulbs upon the joints and legs.","洗漱台是松木制成的，做得很匆忙，绝大部分都是用车床完成的。为了掩饰其粗糙的工艺，制作者在洗漱台的接缝和腿架上装饰着一团团的球状物。"
"Apparently the piece had then been placed in the hands of some person of infinite leisure equipped with a pot of ocherous paint, varnish, and a set of flexible combs.","很显然，这个洗漱台后来落到了某个拥有无限闲暇的人手中，他应该有一罐赭色的油漆、一罐清漆和一套折叠梳子。"
"This person had first painted the article, then, I fancy, smeared it with varnish, and then sat down to work with the combs to streak and comb the varnish into a weird imitation of the grain of some nightmare timber.","我猜想，这个人应该先给洗漱台刷了一层油漆，然后喷上清漆，之后坐下来用梳子划，在清漆层上划出某种奇怪的条纹，就像某种可怕的木材的纹理。"
"The washhandstand so made had evidently had a prolonged career of violent use, had been chipped, kicked, splintered, punched, stained, scorched, hammered, dessicated, damped, and defiled, had met indeed with almost every possible adventure except a conflagration or a scrubbing, until at last it had come to this high refuge of Parload’s attic to sustain the simple requirements of Parload’s personal cleanliness.","很显然，曾有人长期粗暴地对待这个洗漱台。它曾被削过、踢过、劈过、猛击过，曾被染污、烧焦、捶打过，曾经干燥、潮湿过，被腐蚀过，实际上，除了大火和擦洗之外，几乎各种可能的危险它都经历过了，直到它最终流落到帕罗德家的顶楼这个高级避难所，成了帕罗德维持基本的个人卫生的工具。"
"There were, in chief, a basin and a jug of water and a slop-pail of tin, and, further, a piece of yellow soap in a tray, a tooth-brush, a rat-tailed shaving brush, one huckaback towel, and one or two other minor articles.","洗漱台上的主要物品有一个脸盆、一壶水和一个锡皮污水桶，以及一块放在盒里的黄色肥皂、一把牙刷、一把鼠尾状的修面刷、一条粗麻布毛巾和一两件小物品。"
"In those days only very prosperous people had more than such an equipage, and it is to be remarked that every drop of water Parload used had to be carried by an unfortunate servant girl,—the “slavey,” Parload called her—up from the basement to the top of the house and subsequently down again.","在那个年代，只有极为富有的人才用得起比这个还高级的物件。值得一提的是，帕罗德用的每一滴水都是由一位时运不济的女佣人（帕罗德叫她“奴隶”）从地下室提到顶楼，而后再从顶楼提下去的。"
"Already we begin to forget how modern an invention is personal cleanliness.","我们已经开始忘记，讲究个人卫生是一个多么现代的发明。"
"It is a fact that Parload had never stripped for a swim in his life; never had a simultaneous bath all over his body since his childhood.","事实上，帕罗德一生中从未脱掉衣服游过泳；而且自从童年起，他从未全部脱光后从头到尾地洗过澡。"
"Not one in fifty of us did in the days of which I am telling you.","在我向你讲述的那个年代，我们五十个人当中，没有一个曾经脱光了从头洗到脚。"
"A chest, also singularly grained and streaked, of two large and two small drawers, held Parload’s reserve of garments, and pegs on the door carried his two hats and completed this inventory of a “bed-sitting-room” as I knew it before the Change.","衣柜也同样被划出奇怪的纹理。衣柜有两个大抽屉和两个小抽屉，里面放着帕罗德的换洗衣服，门后的挂钩上挂着他的两顶帽子，这些加起来就是他的“卧室兼起居室”的全部家当，这是在巨变前我就知道的。"
"But I had forgotten—there was also a chair with a “squab” that apologized inadequately for the defects of its cane seat.","但我忘了——房间里还有一把椅子，椅子上垫着很厚的垫子，勉强弥补了藤椅的缺陷。"
"I forgot that for the moment because I was sitting on the chair on the occasion that best begins this story.","刚才我之所以忘记提到这把椅子，是因为我开始讲这个故事的时候正好就坐在它上面。"
"I have described Parload’s room with such particularity because it will help you to understand the key in which my earlier chapters are written, but you must not imagine that this singular equipment or the smell of the lamp engaged my attention at that time to the slightest degree.","我如此详尽地描述帕罗德的房间，是因为这会帮助你理解我前面几章所描写的重点，但请你不要认为，这种奇怪的家具或是煤油灯的气味当时曾引起我丝毫的注意。"
"I took all this grimy unpleasantness as if it were the most natural and proper setting for existence imaginable.","在我当时看来，这些污秽的、令人不快的环境似乎是我所能想象出的非常自然的生存环境，没有任何不妥之处。"
"It was the world as I knew it.","那是我所熟知的世界。"
"My mind was entirely occupied then by graver and intenser matters, and it is only now in the distant retrospect that I see these details of environment as being remarkable, as significant, as indeed obviously the outward visible manifestations of the old world disorder in our hearts.","那时我脑中充斥着更为严肃、更为紧张的问题，只有现在回首久远的往昔时，我才认识到环境中的这些细节是值得注意、意味深长的，事实上，它显然是我们心中旧世界混乱状态的外在、可见的表现。"," "
"Section 2","第二节"
"Parload stood at the open window, opera-glass in hand, and sought and found and was uncertain about and lost again, the new comet.","帕罗德站在敞开的窗户前，拿着观剧望远镜寻找新彗星。一会儿，他发现了新彗星，但又不确定，过一会儿，那个彗星又不见了。"
"I thought the comet no more than a nuisance then because I wanted to talk of other matters.","当时我觉得彗星不过是个讨厌的东西，因为我想谈论别的话题。"
"But Parload was full of it.","但帕罗德却满脑子都是彗星。"
"My head was hot, I was feverish with interlacing annoyances and bitterness, I wanted to open my heart to him—at least I wanted to relieve my heart by some romantic rendering of my troubles—and I gave but little heed to the things he told me.","我那时头脑发热，烦恼与痛苦交织在一起让我发狂。我想向帕罗德袒露心声——至少我希望可以较为浪漫地处理我的麻烦，让内心得到一些解脱——所以我几乎没有在意那时他所告诉我的事情。"
"It was the first time I had heard of this new speck among the countless specks of heaven, and I did not care if I never heard of the thing again.","那是我第一次听说在浩瀚的星海中有这样一颗新星，如果不是后来再一次听说，我是不会留意的。"
"We were two youths much of an age together, Parload was two and twenty, and eight months older than I.","我们俩那时都还年轻，年纪相仿，帕罗德二十二岁，长我八个月。"
"He was—I think his proper definition was “engrossing clerk” to a little solicitor in Overcastle, while I was third in the office staff of Rawdon’s pot-bank in Clayton.","他是——我想对于欧弗卡斯尔的小律师来说，他合适的称呼应该是“迷人的职员”；而那时我是克莱顿罗顿瓷器厂办公室里的“第三号人物”。"
"We had met first in the “Parliament” of the Young Men’s Christian Association of Swathinglea; we had found we attended simultaneous classes in Overcastle, he in science and I in shorthand, and had started a practice of walking home together, and so our friendship came into being.","我们初次见面是在斯瓦辛里青年教会的“议会”上。之后，我们发觉彼此同在欧弗尔卡斯尔读书，他读的是理科而我读的是速记。从那时起，我们就一起步行回家，我们之间的友谊也就这样建立起来了。"
"(Swathinglea, Clayton, and Overcastle were contiguous towns, I should mention, in the great industrial area of the Midlands.) ","（这里我应该提一下的是，斯瓦辛里、克莱顿和欧弗卡斯尔都是中部那个了不起的工业区里相互邻近的城镇。）"
"We had shared each other’s secret of religious doubt, we had confided to one another a common interest in Socialism, he had come twice to supper at my mother’s on a Sunday night, and I was free of his apartment.","我们分享着彼此的秘密——即对宗教的怀疑，向彼此袒露对社会主义的共同兴趣，他曾两次在星期天晚上到我母亲家吃晚饭，我也可以自由出入他的公寓。"
"He was then a tall, flaxen-haired, gawky youth, with a disproportionate development of neck and wrist, and capable of vast enthusiasm; he gave two evenings a week to the evening classes of the organized science school in Overcastle, physiography was his favorite “subject,” and through this insidious opening of his mind the wonder of outer space had come to take possession of his soul.","那时他身材高大，有一头亚麻色的头发，是个有些笨拙的年轻人，脖子和手腕不太成比例，但整个人充满了热情。他每周都抽两个晚上上夜校，去欧弗卡斯尔正规的科技学校读书。自然地理学是他最爱的“科目”，这种学习潜移默化地打开了他的思维，对外太空的好奇开始占据着他的灵魂。"
"He had commandeered an old opera-glass from his uncle who farmed at Leet over the moors, he had bought a cheap paper planisphere and Whitaker’s Almanac, and for a time day and moonlight were mere blank interruptions to the one satisfactory reality in his life—star-gazing.","他从他的叔叔那儿抢来了一副看戏用的旧望远镜。他叔叔在荒原另一边的利特经营农场。他还买了一张便宜的星座图和一本《惠特克年鉴》。在那段时间里，对帕罗德来说，人生中最大的乐事就是观星，白昼和月光都构不成什么影响。"
"It was the deeps that had seized him, the immensities, and the mysterious possibilities that might float unlit in that unplumbed abyss.","正是宇宙的深邃无垠吸引了他。在那片未经探索的深渊里，隐匿着各种神秘的可能。"
"With infinite labor and the help of a very precise article in The Heavens, a little monthly magazine that catered for those who were under this obsession, he had at last got his opera-glass upon the new visitor to our system from outer space.","经过无数次努力，依靠《天国》（一份专门迎合沉迷于此的读者的小月刊）上一篇清晰明确的文章的帮助，他终于用这架看戏用的小望远镜发现了从外太空来到我们太阳系的新客人。"
"He gazed in a sort of rapture upon that quivering little smudge of light among the shining pin-points—and gazed.","他痴迷地凝视着在闪烁的星光中若隐若现的小光点——一动不动。"
"My troubles had to wait for him.","而我的那些麻烦不得不等他有空了再提。"
"“Wonderful,” he sighed, and then as though his first emphasis did not satisfy him, “wonderful!”","“太奇妙了，”他感叹道，之后他似乎觉得第一声赞叹强调得还不够，于是又一次感叹，“太奇妙了！”"
"He turned to me.","他转向我。"
"“Wouldn’t you like to see?”","“你想看看吗？”"
"I had to look, and then I had to listen, how that this scarce-visible intruder was to be, was presently to be, one of the largest comets this world has ever seen, how that its course must bring it within at most—so many score of millions of miles from the earth, a mere step, Parload seemed to think that; how that the spectroscope was already sounding its chemical secrets, perplexed by the unprecedented band in the green, how it was even now being photographed in the very act of unwinding—in an unusual direction—a sunward tail (which presently it wound up again), and all the while in a sort of undertow I was thinking first of Nettie Stuart and the letter she had just written me, and then of old Rawdon’s detestable face as I had seen it that afternoon.","于是我不得不去看一下，然后不得不听他讲述，这颗难得一见的入侵者为什么现在是、以后也会是地球上能看到的最大的一颗彗星，它的轨道是如何保证它在规定的范围内运行的——帕罗德似乎认为，这个范围顶多一步之遥，但这一步却距地球几百万英里；他还跟我解释说，分光镜已经探测到了它的化学秘密，却解释不通绿色光谱里前所未有的光带；他说哪怕在此刻，彗星都正以展开的姿势被人拍摄下来，它以不同寻常的角度展开了一条向阳的彗尾（彗尾此刻又卷了起来）。而在此期间，我一直在回想，我首先想到的就是妮蒂·斯图尔特和她最近给我写的信，接着就是老罗顿那张令人厌恶的脸，就像我那天下午见过的一样。"
"Now I planned answers to Nettie and now belated repartees to my employer, and then again “Nettie” was blazing all across the background of my thoughts....","我开始想应该如何回复妮蒂，如何应付我的老板——我已拖了很久没回复他，接着“妮蒂”再一次占满了我的脑海……"
"Nettie Stuart was daughter of the head gardener of the rich Mr. Verrall’s widow, and she and I had kissed and become sweethearts before we were eighteen years old.","妮蒂·斯图尔特是富裕的维罗尔先生遗孀的大园丁的女儿，我和她在未满18岁时便已一吻定情。"
"My mother and hers were second cousins and old schoolfellows, and though my mother had been widowed untimely by a train accident, and had been reduced to letting lodgings (she was the Clayton curate’s landlady), a position esteemed much lower than that of Mrs. Stuart, a kindly custom of occasional visits to the gardener’s cottage at Checkshill Towers still kept the friends in touch.","我的母亲和她的母亲是远房堂姐妹，也是老同学。尽管我的母亲因一场火车车祸成了寡妇，后来不得不靠出租房子过活（她是克莱顿助理牧师的房东），而且在人们眼里，她的地位远远不如斯图尔特夫人，但她偶尔会去园丁位于切克希利塔楼的小屋做客，这一友善的习惯使这对朋友还保持着联系。"
"Commonly I went with her.","通常我会和她一起去。"
"And I remember it was in the dusk of one bright evening in July, one of those long golden evenings that do not so much give way to night as admit at last, upon courtesy, the moon and a choice retinue of stars, that Nettie and I, at the pond of goldfish where the yew-bordered walks converged, made our shy beginners’ vow.","我记得那是七月一个明亮的黄昏，一个长长的、金色的傍晚，天还没有完全黑下来，还不到月亮静静升起、星光璀璨的时候，我和妮蒂在紫杉小道边的金鱼池旁羞涩地说着我们的初恋誓言。"
"I remember still—something will always stir in me at that memory—the tremulous emotion of that adventure.","我依然记得——一想起这些，就总会有某种悸动——那次经历所带来的令人震颤的感觉。"
"Nettie was dressed in white, her hair went off in waves of soft darkness from above her dark shining eyes; there was a little necklace of pearls about her sweetly modeled neck, and a little coin of gold that nestled in her throat.","当时妮蒂一袭白衣，一头乌黑柔亮的卷发披下来，下面是黑亮的眼睛。她那富有立体感的美妙脖子上挂着一串小巧的珍珠项链，一个小金币在脖子上半隐半现。"
"I kissed her half-reluctant lips, and for three years of my life thereafter—nay! I almost think for all the rest of her life and mine—I could have died for her sake.","我在她的半推半就中吻了她的唇，之后的三年里——不！我几乎觉得在我们的余生中——我都可以为了她去死。"
"You must understand—and every year it becomes increasingly difficult to understand—how entirely different the world was then from what it is now.","你要明白——这一年比一年难懂——当时的世界与现在完全不同。"
"It was a dark world; it was full of preventable disorder, preventable diseases, and preventable pain, of harshness and stupid unpremeditated cruelties, but yet, it may be even by virtue of the general darkness, there were moments of a rare and evanescent beauty that seem no longer possible in my experience.","那时的世界处于一片黑暗中，充斥着本可避免的混乱、疾病和痛苦，充斥着粗暴和愚蠢冒失的残酷行为，但是，也许正是由于这样普遍的黑暗，才有了难得的、短暂的美好时刻，而这些时刻，我似乎已不可能再次经历了。"
"The great Change has come for ever more, happiness and beauty are our atmosphere, there is peace on earth and good will to all men.","巨变已经发生，幸福和美好永远笼罩着我们，地球和平，人人友善。"
"None would dare to dream of returning to the sorrows of the former time, and yet that misery was pierced, ever and again its gray curtain was stabbed through and through by joys of an intensity, by perceptions of a keenness that it seems to me are now altogether gone out of life.","没有人想要回到昔日的伤痛中，但那些苦楚被穿透了，它阴郁的幕帘一次次地被浓烈的快乐戳破，被敏锐的洞察力看穿。在我看来，这种敏锐的洞察力现在已经全然淡出我们的生活了。"
"Is it the Change, I wonder, that has robbed life of its extremes, or is it perhaps only this, that youth has left me—even the strength of middle years leaves me now—and taken its despairs and raptures, leaving me judgment, perhaps, sympathy, memories?","我在想，是不是巨变将生命中的极端剔除了，或者说可能恰恰是因为巨变，我的青春才离我而去——眼下连我中年时的力量都不复存在，还带走了青春的绝望与狂喜，只为我留下结论，抑或是同情和回忆？"
"I cannot tell.","我分不清。"
"One would need to be young now and to have been young then as well, to decide that impossible problem.","只有当下很年轻，并且一直很年轻的人才能解决那个不可能解决的问题。"
"Perhaps a cool observer even in the old days would have found little beauty in our grouping.","也许一个冷静的旁观者即使在旧的时代中，也可以在芸芸众生中找到一点美好。"
"I have our two photographs at hand in this bureau as I write, and they show me a gawky youth in ill-fitting ready-made clothing, and Nettie—Indeed Nettie is badly dressed, and her attitude is more than a little stiff; but I can see her through the picture, and her living brightness and something of that mystery of charm she had for me, comes back again to my mind.","在我写作的这间办公室，我手头有两张照片。照片上是一位笨拙的青年，穿着不合体的成衣，于是，妮蒂——妮蒂穿得的确不怎么好看，她的表情也非常僵硬，但透过照片，我又看到了她，感受到了她的生气勃勃以及令我沉醉的那种神秘的魅力——又出现在我的脑海中。"
"Her face has triumphed over the photographer—or I would long ago have cast this picture away.","她的面容战胜了摄影师——否则我早就把这张照片扔了。"
"The reality of beauty yields itself to no words.","真实的美胜过一切语言。"
"I wish that I had the sister art and could draw in my margin something that escapes description.","我希望我会类似的技术，能用闲暇时间将这无以言表的内容画出来。"
"There was a sort of gravity in her eyes.","她的眼神中有一种庄重。"
"There was something, a matter of the minutest difference, about her upper lip so that her mouth closed sweetly and broke very sweetly to a smile.","她的上嘴唇有一种和别人不同的表情——尽管那差别极为细微，这使得她双唇微闭时十分甜美，露出甜美的微笑。"
"That grave, sweet smile!","那庄重、甜蜜的微笑啊！"
"After we had kissed and decided not to tell our parents for awhile of the irrevocable choice we had made, the time came for us to part, shyly and before others, and I and my mother went off back across the moonlit park—the bracken thickets rustling with startled deer—to the railway station at Checkshill and so to our dingy basement in Clayton, and I saw no more of Nettie—except that I saw her in my thoughts—for nearly a year.","我们接吻了，并决定暂时不把这一不可改变的选择告诉我们的父母，然后就到了分别的时刻。我们当着大家的面，羞答答地告别。我和我的母亲穿过月色蒙眬的公园——受了惊的小鹿跑过，弄得欧洲蕨丛沙沙作响——走回切克希利火车站，回到我们位于克莱顿的昏暗的地下室里。在之后将近一年中，尽管我脑海中满是妮蒂的样子，却再也没见过她。"
"But at our next meeting it was decided that we must correspond, and this we did with much elaboration of secrecy, for Nettie would have no one at home, not even her only sister, know of her attachment.","但我们再次相遇时，我们一致决定要给彼此写信。写信这件事我们做了相当详细的保密工作，因为妮蒂不希望家人——哪怕是她唯一的姐妹——知道她的恋情。"
"So I had to send my precious documents sealed and under cover by way of a confidential schoolfellow of hers who lived near London....","所以我寄信时，不得不把我珍贵的信件封好，再写上她一个同窗密友的地址作掩护，而她这位密友住在伦敦附近……"
"I could write that address down now, though house and street and suburb have gone beyond any man’s tracing.","至今我都记得那个地址，尽管那个郊区、街道和房子现在已面目全非，没有人能找到了。"
"Our correspondence began our estrangement, because for the first time we came into more than sensuous contact and our minds sought expression.","通信让我们之间开始疏远了，因为这是我们第一次开始感官之外的接触，寻求思想上的交流。"
"Now you must understand that the world of thought in those days was in the strangest condition, it was choked with obsolete inadequate formulae, it was tortuous to a maze-like degree with secondary contrivances and adaptations, suppressions, conventions, and subterfuges.","你必须知道，那时候人们的精神世界非常古怪，脑子里塞满了各种老套而不合时宜的程式化观念，复杂得像个迷宫，里面尽是次要的人为设计和改造、对思想的抑制、常规惯例和各种借口。"
"Base immediacies fouled the truth on every man’s lips.","这些基本的需要阻碍了人们讲真话。"
"I was brought up by my mother in a quaint old-fashioned narrow faith in certain religious formulae, certain rules of conduct, certain conceptions of social and political order, that had no more relevance to the realities and needs of everyday contemporary life than if they were clean linen that had been put away with lavender in a drawer.","我母亲相信某些宗教信条、行为准则和某些关于社会政治秩序的观念，我就在这样一种奇怪、过时、狭隘的信念中被带大，这种信念与现实和眼前的日常生活需求没有太大联系，就如它们是干净的亚麻布，跟熏衣草一起被放在一个抽屉里。"
"Indeed, her religion did actually smell of lavender; on Sundays she put away all the things of reality, the garments and even the furnishings of everyday, hid her hands, that were gnarled and sometimes chapped with scrubbing, in black, carefully mended gloves, assumed her old black silk dress and bonnet and took me, unnaturally clean and sweet also, to church.","说真的，她的宗教信仰真的可以嗅到熏衣草的香味。每逢周日，她就会把现实生活的一切放到一边，脱去平日里穿的衣服，甚至是平日的装饰，把她粗糙、因为洗刷有时会皲裂的手藏进她那双精心缝补过的黑色手套里，穿上那件旧黑丝长裙，戴上礼帽。她把我也收拾得异常干净、可爱，然后带着我去教堂。"
