书名月光（莫泊桑经典短篇小说）短简介
主人公马里尼昂是一个瘦高个子的神父，具有狂热的宗教信仰。他仇恨所有的女人，认为那是亵渎宗教的祸水，但对他天真美丽的外甥女却例外。然而，一天他突然得知外甥女有了情人，他变得愤怒无比。晚上，他出门去看个究竟，却被夜晚的美景深深地迷住了。当外甥女和爱人出现在美妙的月光下，他退缩了，惭愧地逃走了。
长简介主人公马里尼昂是一个瘦高个子的神父，具有狂热的信仰。他仇恨所有的女人，认为那是亵渎宗教的祸水，但对他天真美丽的外甥女的态度却例外。他喜欢她，希望她成为从事慈善事业的贞女。然而，一天他突然得知外甥女有了情人，他暴怒了，坐立不安了。晚上，他走出去，想看个究竟。月光如水，弥漫田野，先是让他惊呆了，震动了，这铺天盖地的诗境，让他一点儿也弄不明白了。当外甥女和情人出现在远处月光下，他先是心跳、彷徨，继之退却了。心想，既然上帝用如此良夜去保护爱情，难道我们就不容许爱情吗？他在惭愧中逃回了屋里。关键字月光；莫泊桑；外研社编译组；短篇；神父；宗教；月光；爱情作者（法）莫泊桑作者简介莫泊桑（1850—1893），19世纪后半期法国优秀的批判现实主义作家，与契诃夫和欧·亨利并列世界三大短篇小说巨匠，对后世产生极大影响，被誉为“短篇小说之王”。他的短篇小说构思别具匠心，情节变化多端，描写生动细致，刻画人情世态惟妙惟肖，令人读后回味无穷。
书评柔美的月光，奇妙的意境，无疑是一次对心灵的洗礼。这是月光的赞美诗，更是生命、青春和爱情的赞美诗。    
Clair de Lune	月光
As soon as he was outside of the garden, he stopped to gaze upon the plain all flooded with the caressing light, bathed in that tender, languishing charm of serene nights.	一走出花园，他就停下来，凝神注视着整个平原，它淹没在轻柔的月光里，沐浴着静夜的温柔与爱意。
At each moment was heard the short, metallic note of the cricket, and distant nightingales shook out their scattered notes—their light, vibrant music that sets one dreaming, without thinking, a music made for kisses, for the seduction of moonlight.	这时，传来了蟋蟀短促的、金属般的鸣声。远处夜莺舒展歌喉，啁啾啼啭，它们那轻快活泼的歌声让人摒弃思考，宛若置身梦境，在这迷人的月光下，为亲吻伴奏。
The abbe walked on again, his heart failing, though he knew not why.	神父重新朝前走去，他自己也不知道为什么心软下来了。
He seemed weakened, suddenly exhausted; he wanted to sit down, to rest there, to think, to admire God in His works.	突然，他感到精疲力竭，有些虚弱。他想在那里坐下来，休息一会儿，去思考和欣赏上帝创造的作品。
Down yonder, following the undulations of the little river, a great line of poplars wound in and out. A fine mist, a white haze through which the moonbeams passed, silvering it and making it gleam, hung around and above the mountains, covering all the tortuous course of the water with a kind of light and transparent cotton.	远处，沿着波光粼粼的小河，蜿蜒着一长排的白杨树。一层白色的薄雾浮在山的上方，月光穿透过去，照亮了它，使它银光闪闪，好像把整个曲曲折折的河道笼罩在一种轻盈、透明的棉花里。
The priest stopped once again, his soul filled with a growing and irresistible tenderness.	神父再一次停下来，心里涌起了一阵越来越强烈的、不可抗拒的温柔。
And a doubt, a vague feeling of disquiet came over him; he was asking one of those questions that he sometimes put to himself.	随后一种模模糊糊的、说不清的躁动感袭上心头。他想起了自己经常问自己的那个问题：
“Why did God make this?	“上帝为什么要这么做呢？
Since the night is destined for sleep, unconsciousness, repose, forgetfulness of everything, why make it more charming than day, softer than dawn or evening?	既然黑夜的存在是为了使人忘记一切，让人平静下来，让人安眠，那么为什么上帝要让它比白昼更迷人，比黎明和傍晚更温柔呢？
And does why this seductive planet, more poetic than the sun, that seems destined, so discreet is it, to illuminate things too delicate and mysterious for the light of day, make the darkness so transparent?	这个充满魅力的星球，比太阳更加富有诗情画意，它是那么小心谨慎，似乎是专门为照亮那些对于白昼来说太微妙也太神秘的万物而准备的，为什么它将黑夜变得如此透明呢？”
“Why does not the greatest of feathered songsters sleep like the others?	“为什么那些最善唱的鸟儿不像其他鸟儿一样睡眠呢？
Why does it pour forth its voice in the mysterious night?	为什么它们要在这样神秘的夜晚里开喉歌唱呢？”
“Why this half-veil cast over the world?	“为什么有这层朦胧的薄雾笼罩人间呢？
Why these tremblings of the heart, this emotion of the spirit, this enervation of the body?	为什么心灵会颤动，情绪会激动，身体会无力呢？
Why this display of enchantments that human beings do not see, since they are lying in their beds?	既然人们夜晚躺在床上睡着了，看不见了，那么上帝为什么还要展示这样的美景呢？
For whom is destined this sublime spectacle, this abundance of poetry cast from heaven to earth?”	这些从天上洒向人间的超群的诗情画意又是为谁而准备的呢？”
And the abbe could not understand.	神父弄不明白了。
But see, out there, on the edge of the meadow, under the arch of trees bathed in a shining mist, two figures are walking side by side.	但是，就在那里，草地的边上，瞧，两个并肩走着的身影出现在被发亮的薄雾浸湿的树木形成的穹顶下。
The man was the taller, and held his arm about his sweetheart’s neck and kissed her brow every little while.	小伙子更高一些，他用手臂搂着心上人的脖子，时不时地亲吻她的额头。
They imparted life, all at once, to the placid landscape in which they were framed as by a heavenly hand.	霎那间，他们的出现为周围平静的景致注入了活力，这般良宵美景似乎是上天专门为他们打造的。
The two seemed but a single being, the being for whom was destined this calm and silent night, and they came toward the priest as a living answer, the response his Master sent to his questionings.	他们两人似乎融成了一个人，这样沉寂安详的夜晚似乎是为他们创造的。他们朝神父走来，这似乎是上帝在为他解答疑惑——一个活生生的答案。
He stood still, his heart beating, all upset; and it seemed to him that he saw before him some biblical scene, like the loves of Ruth and Boaz, the accomplishment of the will of the Lord, in some of those glorious stories of which the sacred books tell.	他站在那里一动不动，心怦怦地跳，不知所措。似乎眼前的景象就是他之前在圣经中见过的场景，就像鲁思和波阿斯的爱情，上帝的旨意在圣经所讲述的那些神圣的故事中实现了。
The verses of the Song of Songs began to ring in his ears, the appeal of passion, all the poetry of this poem replete with tenderness.	神父的耳边开始响起《雅歌》的诗句，那些热情的召唤，那首充满着柔情的诗歌中的全部火热的诗意。
And he said unto himself: “Perhaps God has made such nights as these to idealize the love of men.”	他想：“也许上帝创造这样的夜晚就是为了使人类的爱情更加完美吧！”
He shrank back from this couple that still advanced with arms intertwined.	这对情侣挽着手一直往前走，神父在他们面前退缩了。
Yet it was his niece.	尽管那个女孩子是他的外甥女。
But he asked himself now if he would not be disobeying God. And does not God permit love, since He surrounds it with such visible splendor?	但此时他问自己，自己这样做会违背上帝的意愿吗？既然上帝用如此美好的夜色点缀爱情，难道他会不容许有爱情吗？
And he went back musing, almost ashamed, as if he had intruded into a temple where he had, no right to enter.	他一边思考着，一边羞愧地逃离了，好似闯入了一座他没权利进入的神殿。

