书名忠贞的公牛（海明威经典短篇小说）短简介农场里酷爱搏斗的公牛爱上了一头母牛，对其他母牛不屑一顾。农场主对此很不满，于是将它送上斗牛场。虽然公牛最终死在斗牛场上，但它的勇猛和忠贞赢得了所有人的钦佩。长简介农场里有一头酷爱搏斗的公牛，它与所有的牛都斗，并且总能斗赢。农场主人不忍心将这头了不起的公牛送到斗牛场，于是将它留下来配种。让人意想不到的是这头公牛竟然死心塌地地爱着一头年轻俏丽的母牛，对其他母牛一眼都不瞧。农场主人一气之下将它送上斗牛场。虽然这头公牛很勇猛，但最终还是死在斗牛士的剑下。尽管如此，公牛的英勇和忠贞赢得了所有人的钦佩。关键字忠贞的公牛；欧内斯特·海明威；外研社编译组；短篇；忠诚；死亡作者（美）欧内斯特·海明威作者简介欧内斯特·海明威（1899—1961），美国小说家。海明威是美国“迷失的一代”（Lost Generation）作家中的代表人物，作品中对人生、世界、社会都表现出了迷茫和彷徨。海明威代表作有《老人与海》、《太阳照样升起》、《永别了，武器》、《丧钟为谁而鸣》等，凭借《老人与海》获得1953年普利策奖及1954年诺贝尔文学奖。海明威被誉为美利坚民族的精神丰碑，并且是“新闻体”小说的创始人，他的笔锋一向以“文坛硬汉”著称。海明威的写作风格以简洁著称，对美国文学及20世纪文学的发展有极深远的影响。书评“我以模仿海明威来学习……直至我发现自己并没能模仿他对生命的态度。我并没有像他那般对自己或任何事都存认真的态度。”——艾尔莫·雷纳德英勇的公牛死心塌地地爱着一头母牛，他的忠诚会给他带来怎样的结局，是幸福快乐地与母牛生活在一起，还是要被迫分开？
The Faithful Bull	忠贞的公牛	
But he did not know why, because he could not think.	但是它自己也不知道为什么会愤怒，因为它不会思考。	
He was very noble and he loved to fight.	它血统高贵，生性爱斗。	
So what happened to him?	那么它后来怎么样了？	
The man who owned him, if anyone can own such an animal, knew what a great bull he was and still he was worried because this bull cost him so much money by fighting with other bulls.	它的主人（假如这样的牛也有个主人的话）知道它是一头了不起的好牛，不过还是觉得很伤脑筋，因为这牛老是跟别的牛斗，斗掉他非常多的钱。	
Each bull was worth over one thousand dollars and after they had fought the great bull they were worth less than two hundred dollars and sometimes less than that.	一头牛本来值一千多美元，不过跟这头好牛斗过之后，就值不了两百美元了，有时甚至会更少。	
So the man, who was a good man, decided that he would keep the blood of this bull in all of his stock rather than send him to the ring to be killed.	它的主人是个好人，他决定把这头牛的血统留在自己的牛群里，而不是把它送到斗牛场上去挨杀。	
So he selected him for breeding.	于是他挑选这头牛来配种。	
But this bull was a strange bull.	可是这头牛也真是头怪牛。	
When they first turned him into the pasture with the breeding cows, he saw one who was young and beautiful and slimmer and better muscled and shinier and more lovely than all the others.	他们第一次把这头牛赶到牧场里跟待配种的母牛呆在一起，它就看上了一头年轻俏丽的母牛。这头母牛比所有其他的母牛都要苗条，肌肉更发达，皮毛更有光泽，也更可爱。	
So, since he could not fight, he fell in love with her and he paid no attention to any of the others.	既然不能斗，它就爱上了这头母牛，对其他的母牛一眼也不瞧。	
He only wanted to be with her, and the others meant nothing to him at all.	它只想跟她呆在一起，对其他的母牛根本不屑一顾。	
The man who owned the bull ranch hoped that the bull would change, or learn, or be different than he was.	养牛的牧场主本来还希望这头牛会有所转变，开点儿窍，哪怕是和以前相比有一点儿不同也好。	
But the bull was the same and he loved whom he loved and no one else.	但是这头牛依然不变，它就只爱自己爱的那头母牛，心无旁骛。	
He only wanted to be with her, and the others meant nothing to him at all.	它只想跟她在一起，对其他的母牛根本不屑一顾。	
So the man sent him away with five other bulls to be killed in the ring, and at least the bull could fight, even though he was faithful.	正因如此，它的主人把它和另外五头公牛一起送到斗牛场去挨杀。尽管它对母牛忠贞不二，在斗牛场上它还是有两下子的。	
He fought wonderfully and everyone admired him and the man who killed him admired him the most.	它搏斗得很精彩，所有的人都钦佩它，最钦佩它的还要数那个杀了它的人。	
But the fighting jacket of the man who killed him and who is called the matador was wet through by the end, and his mouth was very dry.	杀它的那个人（大家都叫它“斗牛士”）穿的战衣到最后都湿透了，嘴巴也干得厉害。	
“Que toro más bravo,” the matador said as he handed his sword to his sword handler.	“这头牛真是勇敢极了。”斗牛士边说边把剑递给自己的助手。	
He handed it with the hilt up and the blade dripping with the blood from the heart of the brave bull who no longer had any problems of any kind and was being dragged out of the ring by four horses.	他递剑的时候剑柄朝着上方，剑锋上还滴着从这头勇敢的公牛心脏里流出的鲜血。这头牛不会再遇到任何困难了，此刻它正被四匹马拖出场外。	
“Yes.	“是啊。	
He was the one the Marqués of Villamayor had to get rid of because he was faithful,” the sword handler, who knew everything, said.	它就是比利亚马约侯爵想要打发掉的那头牛，因为它对一头母牛忠贞不渝。”那个无所不知的助手说道。	
“Perhaps we should all be faithful.” the matador said.	“也许我们都应该像它一样忠贞不渝。”斗牛士说。	

