"书名牧场上的博皮普夫人（欧·亨利经典短篇小说）短简介欧·亨利短篇小说《牧场上的博皮普夫人》中的奥克塔维亚，失去了可能获得的遗产，也厌倦了这座让她迷失的都市。她来到她唯一拥有的牧场，重新开始了生活。返回了大自然，她的天性得到了自由和新鲜空气。在这里，她不仅找到了爱情，也得到了人生的幸福。长简介欧·亨利短篇小说《牧场上的博皮普夫人》中的奥克塔维亚，失去了可能获得的遗产，一文不名。她并不是拜金女，也不艳羡浮华的生活。她终于明白自己已经厌倦了这座让她迷失的都市。于是她来到乡下她唯一拥有的牧场，重新开始了生活，还遇到了自小认识，曾擦肩而过的男子。返回了大自然，她的天性得到了自由和新鲜空气。她不仅找回了爱情，也得到了人生的幸福。关键字牧场上的博皮普夫人；欧·亨利；外研社编译组；短篇；牧场；爱情；自由；手套；自然作者（美）欧·亨利作者简介欧·亨利（1862—1910），美国最著名的短篇小说家之一，曾被评论界誉为曼哈顿桂冠散文作家和美国现代短篇小说之父。善于描写美国社会尤其是纽约百姓的生活。他的作品构思新颖，语言诙谐，结局常常出人意料；他又因描写了众多的人物，富于生活情趣，被誉为“美国生活的幽默百科全书”。书评他用这“含泪的微笑”给我们带来生活的启迪。"
"Madame Bo-Peep, of the Ranches ","牧场上的博皮普夫人"
"Buttonhole, gentleman?","先生，买朵花别在纽扣孔里吧？"
"Pencils, sir, three for five, to help a poor widow?’","先生，买支铅笔吧，三块五支，就当帮帮我这个穷寡妇吧。’"
"Do I do it nicely, auntie, or, as a bread-winner accomplishment, were my lessons in elocution entirely wasted?”","拿这种谋生的技能来说，我做得好吗？姑妈，我的演讲课没有白上吧？”"
"“Do be serious, my dear,” said Aunt Ellen, letting her paper fall to the floor, “long enough to tell me what you mean.","“亲爱的，严肃点儿，”埃伦姑妈说，手里的报纸掉到了地上，“我已经明白你到底想要说什么了。"
"Colonel Beaupree’s estate—”","博普雷上校的产业——”"
"“Colonel Beaupree’s estate,” interrupted Octavia, emphasizing her words with appropriate dramatic gestures, “is of Spanish castellar architecture.","奥克塔维亚打断了姑妈的话，用戏剧性的手势强调了一下她要说的：“博普雷上校的产业就是海市蜃楼。"
"Colonel Beaupree’s resources are—wind.","博普雷上校的财产就是——空穴来风。"
"Colonel Beaupree’s stocks are—water.","博普雷上校的资本就是——镜花水月。"
"Colonel Beaupree’s income is—all in.","博普雷上校的收入就是——南柯一梦。"
"The statement lacks the legal technicalities to which I have been listening for an hour, but that is what it means when translated.”","我刚刚说的那些没有用到我听了一小时的法律术语，但是翻译出来就是这个意思。”"
"“Octavia!”","“奥克塔维亚！”"
"Aunt Ellen was now visibly possessed by consternation.","埃伦姑妈现在明显有些慌了，"
"“I can hardly believe it.","“我简直不敢相信，"
"And it was the impression that he was worth a million.","他给人的印象总是腰缠万贯。"
"And the De Peysters themselves introduced him!”","还是德佩斯特尔家给介绍的呢！”"
"Octavia rippled out a laugh, and then became properly grave.","奥克塔维亚一下子笑了出来，随即又恢复了应有的严肃。"
"“De mortuis nil, auntie—not even the rest of it.","“逝者已矣，姑妈，后半句都用不上。"
"The dear old colonel—what a gold brick he was, after all!","亲爱的老上校——说到底他就是个懒汉！"
"I paid for my bargain fairly—I’m all here, am I not?—items: eyes, fingers, toes, youth, old family, unquestionable position in society as called for in the contract—no wild-cat stock here.”","我从来都是公平要价的——我所有的一切都在这儿了，不是吗？契约中需要的项目：眼睛、手指、脚趾、青春、古老的家族、毋庸置疑的社会地位——所有的都在这儿了，不掺半点儿水分。”"
"Octavia picked up the morning paper from the floor.","奥克塔维亚从地上捡起晨报。"
"“But I’m not going to ‘squeal’—isn’t that what they call it when you rail at Fortune because you’ve, lost the game?”","“但是我不会‘怨天尤人’——你因为吃亏而咒骂命运的时候，他们不就是用那个词来形容你？”"
"She turned the pages of the paper calmly.","她平静地翻着报纸。"
"“‘Stock market’—no use for that.","“‘股市’——没用了。"
"‘Society’s doings’—that’s done.","‘社会活动’——没戏了。"
"Here is my page—the wish column.","招聘信息——这才是我的地盘。"
"A Van Dresser could not be said to ‘want’ for anything, of course.","当然，作为范德雷瑟家的一员，不能去应聘任何岗位。"
"‘Chamber-maids, cooks, canvassers, stenographers—’”","‘女佣、厨师、推销员、速写员——’”"
"“Dear,” said Aunt Ellen, with a little tremor in her voice, “please do not talk in that way.","埃伦姑妈声音微颤着说道：“亲爱的，别那样说。"
"Even if your affairs are in so unfortunate a condition, there is my three thousand—”","即使你处在如此穷困的境况，也还有我的三千——”"
"Octavia sprang up lithely, and deposited a smart kiss on the delicate cheek of the prim little elderly maid.","奥克塔维亚轻盈地起身，在这个拘谨的小老太太柔美的脸颊上轻快地一吻。"
"“Blessed auntie, your three thousand is just sufficient to insure your Hyson to be free from willow leaves and keep the Persian in sterilized cream.","“我的好姑妈，你那三千美元只能保证你自个儿喝上不掺柳叶的熙春茶，保证那只波斯猫能吃上无菌奶油。"
"I know I’d be welcome, but I prefer to strike bottom like Beelzebub rather than hang around like the Peri listening to the music from the side entrance.","我知道人们愿意帮助我，但是我宁愿像恶魔般堕落底层，也不愿像佩里一样整天游荡在侧门边上听音乐。"
"I’m going to earn my own living.","我要自力更生。"
"There’s nothing else to do.","没有比这更重要的了。"
"I’m a—Oh, oh, oh!—I had forgotten.","我是一个——噢，噢，噢！——我忘记了。"
"There’s one thing saved from the wreck.","还有一颗倾巢之下的完卵。"
"It’s a corral—no, a ranch in—let me see—Texas: an asset, dear old Mr. Bannister called it.","是一个栅栏——不，是一个牧场，在——让我想想——得克萨斯州：亲爱的班尼斯特老先生管它叫一份资产。"
"How pleased he was to show me something he could describe as unencumbered!","当他跟我提及这个没有产权负担的东西的时候，他是多么欢悦啊！"
"I’ve a description of it among those stupid papers he made me bring away with me from his office.","在他硬让我从他办公室拿走的一堆愚蠢的文件中，有一份关于这个牧场的描述。"
"I’ll try to find it.”","我去找出来。”"
"Octavia found her shopping-bag, and drew from it a long envelope filled with typewritten documents.","奥克塔维亚找到了她的购物袋，从里面拿出了一个长长的信封，里面塞满了各种打印文件。"
"“A ranch in Texas,” sighed Aunt Ellen.","“得克萨斯州的牧场，”埃伦姑妈叹息道，"
"“It sounds to me more like a liability than an asset.","“听上去更像是一笔负债，而不是财产。"
"Those are the places where the centipedes are found, and cowboys, and fandangos.”","那些地方满是蜈蚣、牛仔和西部舞会。”"
"“‘The Rancho de las Sombras,’” read Octavia from a sheet of violently purple typewriting, “‘is situated one hundred and ten miles southeast of San Antonio, and thirty-eight miles from its nearest railroad station, Nopal, on the I. and G. N. Ranch, consists of 7,680 acres of well-watered land, with title conferred by State patents, and twenty-two sections, or 14,080 acres, partly under yearly running lease and partly bought under State’s twenty-year-purchase act.","“‘树阴牧场’，”奥克塔维亚照着一张夸张的紫色印刷单子读道，“‘位于圣安东尼奥东南方向一百一十英里处，距最近的火车站——埃其纳牧场的诺帕尔车站三十八英里。牧场有七千六百八十英亩灌溉良好的土地，是与州政府签的地契；其他二十二块地，也就是一万四千零八十英亩的土地中，有一部分按年租收取，另一部分则根据州政府二十年购置法案购买。"
"Eight thousand graded merino sheep, with the necessary equipment of horses, vehicles and general ranch paraphernalia.","八千只上等美利奴羊，配备必要的马匹、交通工具和一般牧场设施。"
"Ranch-house built of brick, with six rooms comfortably furnished according to the requirements of the climate.","牧场房为砖房，六间房都根据气候做了舒适的布置。"
"All within a strong barbed-wire fence.","在整个牧场外围还有一圈牢固的带刺铁丝网。"
"“‘The present ranch manager seems to be competent and reliable, and is rapidly placing upon a paying basis a business that, in other hands, had been allowed to suffer from neglect and misconduct.","“‘现任牧场经理似乎能干又可靠，他接手生意后迅速获取盈利。以前牧场落在别人手里的时候遭到了忽视，管理不善。"
"“‘This property was secured by Colonel Beaupree in a deal with a Western irrigation syndicate, and the title to it seems to be perfect.","“‘这笔财产是由博普雷上校从一个西方灌溉财团的手中洽购的，产权似乎完美无缺。"
"With careful management and the natural increase of land values, it ought to be made the foundation for a comfortable fortune for its owner. ’”","出于细心的打理和土地的自然增值，这个牧场应当是其主人获取一笔稳妥财富的基础。'”"
"When Octavia ceased reading, Aunt Ellen uttered something as near a sniff as her breeding permitted.","奥克塔维亚读完了之后，埃伦姑妈就在她教养的允许范围内不屑地哼了一声。"
"“The prospectus,” she said, with uncompromising metropolitan suspicion, “doesn’t mention the centipedes, or the Indians.","她带着城里人绝不妥协的怀疑语气说道：“这份内容说明书并没有提及蜈蚣或者印第安人。"
"And you never did like mutton, Octavia.","而且你也不喜欢羊肉，奥克塔维亚。"
"I don’t see what advantage you can derive from this—desert.”","我不明白你能从这片——这片沙漠中获得什么好处。”"
"But Octavia was in a trance.","但是奥克塔维亚却恍惚了。"
"Her eyes were steadily regarding something quite beyond their focus.","她的双眼坚定地凝视着焦距以外的一些地方。"
"Her lips were parted, and her face was lighted by the kindling furor of the explorer, the ardent, stirring disquiet of the adventurer.","她张开嘴，脸上闪耀着探险者燃烧的狂热和冒险家的激动不安。"
"Suddenly she clasped her hands together exultantly.","突然，她狂喜地合抱住双手。"
"“The problem solves itself, auntie,” she cried.","“问题解决了，姑妈，”她嚷嚷道，"
"“I’m going to that ranch.","“我要去牧场。"
"I’m going to live on it.","我要靠它谋生。"
"I’m going to learn to like mutton, and even concede the good qualities of centipedes—at a respectful distance.","我要学着喜欢羊肉，甚至承认蜈蚣的优点——当然是在一定距离之外。"
"It’s just what I need.","这就是我要的。"
"It’s a new life that comes when my old one is just ending.","这就是我旧生活结束之际开始的新生活。"
"It’s a release, auntie; it isn’t a narrowing.","这是一种释放，姑妈，不是一条绝路。"
"Think of the gallops over those leagues of prairies, with the wind tugging at the roots of your hair, the coming close to the earth and learning over again the stories of the growing grass and the little wild flowers without names!","试想一下，你若能骑马奔驰在一片片大草原上，让风拂过发梢，贴近自然，重温生机勃勃的小草和无名小野花的故事，"
"Glorious is what it will be.","该有多么美好啊！"
"Shall I be a shepherdess with a Watteau hat, and a crook to keep the bad wolves from the lambs, or a typical Western ranch girl, with short hair, like the pictures of her in the Sunday papers?","我是应该打扮成头戴华托帽、拿着弯钩阻止恶狼靠近羊群的那种牧羊女呢，还是星期日报纸的图片上那种头发短短的典型牧场姑娘？"
"I think the latter.","我想还是第二种吧。"
"And they’ll have my picture, too, with the wild-cats I’ve slain, single-handed, hanging from my saddle horn.","他们也会登我的照片，连同那些被我独自杀死、挂在鞍头的野猫一起刊登。"
"‘From the Four Hundred to the Flocks’ is the way they’ll headline it, and they’ll print photographs of the old Van Dresser mansion and the church where I was married.","他们会这样拟题：‘从上层社会到牧羊女郎’，他们也会登出范德雷瑟家的老宅子和我结婚的教堂的照片。"
"They won’t have my picture, but they’ll get an artist to draw it.","他们不会有我本人的照片，但是他们会请一个画家画一幅。"
"I’ll be wild and woolly, and I’ll grow my own wool.”","画中的我会变得狂放而粗犷，我自己也会更加粗犷。”"
"“Octavia!”","“奥克塔维亚！”"
"Aunt Ellen condensed into the one word all the protests she was unable to utter.","埃伦姑妈将所有不能表达出来的抗议情绪都凝聚在了这一个词里面。"
"“Don’t say a word, auntie.","“别再说了，姑妈。"
"I’m going.","我要去那儿。"
"I’ll see the sky at night fit down on the world like a big butter-dish cover, and I’ll make friends again with the stars that I haven’t had a chat with since I was a wee child.","我要在夜晚看着天空像奶油盘罩子一样盖在整个世界上。我也会与星星再次做朋友，长大以后我就再没跟它们聊过天了。"
"I wish to go.","我想去。"
"I’m tired of all this.","我厌倦了这里所有的一切。"
"I’m glad I haven’t any money.","我很高兴我身无分文。"
"I could bless Colonel Beaupree for that ranch, and forgive him for all his bubbles.","我可以因为这座牧场而祝福博普雷上校，也能原谅他所有的骗局。"
"What if the life will be rough and lonely!","如果生活变得艰辛而孤独那又怎样！"
"I—I deserve it.","我——我活该如此。"
"I shut my heart to everything except that miserable ambition.","除了这个可怜的心愿之外，我别无他想。"
"I—oh, I wish to go away, and forget—forget!”","我——噢，我希望远走高飞，忘掉一切——忘掉一切！“"
"Octavia swerved suddenly to her knees, laid her flushed face in her aunt’s lap, and shook with turbulent sobs.","奥克塔维亚突然转身跪了下去，将自己绯红的脸庞埋在姑妈的膝头，激动地不断啜泣着。"
"Aunt Ellen bent over her, and smoothed the coppery-brown hair.","埃伦姑妈弯下腰，摩挲着她铜棕色的头发。"
"“I didn’t know,” she said, gently; “I didn’t know—that.","“我不知道，”她温柔地说道，“我都不知道——那件事。"
"Who was it, dear?”","是谁呀，亲爱的？”"
"When Mrs. Octavia Beaupree, née Van Dresser, stepped from the train at Nopal, her manner lost, for the moment, some of that easy certitude which had always marked her movements.","当范德雷瑟氏奥克塔维亚•博普雷夫人在诺帕尔下火车时，她暂时失去了一贯从容自信的风范。"
"The town was of recent establishment, and seemed to have been hastily constructed of undressed lumber and flapping canvas.","这座镇子刚建不久，似乎都是用未加工的木材和摇摆的帆布匆忙建成的。"
"The element that had congregated about the station, though not offensively demonstrative, was clearly composed of citizens accustomed to and prepared for rude alarms.","火车站周围的居民虽然看上去并不讨厌，但是很明显，他们都已经习惯了突发事件，并且作好了准备。"
"Octavia stood on the platform, against the telegraph office, and attempted to choose by intuition from the swaggering, straggling string of loungers, the manager of the Rancho de las Sombras, who had been instructed by Mr. Bannister to meet her there.","奥克塔维亚站在月台上，背对着电报局。她试图凭着直觉从一大堆大摇大摆、无所事事的闲人中找到树阴牧场的经理。班尼斯特先生曾吩咐他来接她。"
"That tall, serious, looking, elderly man in the blue flannel shirt and white tie she thought must be he.","她想，那个穿着蓝色法兰绒衬衫，打着白色领带，一本正经的高个子老头一定是经理。"
"But, no; he passed by, removing his gaze from the lady as hers rested on him, according to the Southern custom.","但他不是的。当奥克塔维亚盯着他时，他却按南部的风俗把视线从她身上挪开了，就那样从她身边经过。"
"The manager, she thought, with some impatience at being kept waiting, should have no difficulty in selecting her.","奥克塔维亚等得有些不耐烦了，她想，要找到自己其实也不难。"
"Young women wearing the most recent thing in ash-coloured travelling suits were not so plentiful in Nopal!","毕竟，在诺帕尔，穿着最时髦的灰色旅行装的年轻女人并不多见！"
"Thus keeping a speculative watch on all persons of possible managerial aspect, Octavia, with a catching breath and a start of surprise, suddenly became aware of Teddy Westlake hurrying along the platform in the direction of the train—of Teddy Westlake or his sun-browned ghost in cheviot, boots and leather-girdled hat—Theodore Westlake, Jr., amateur polo (almost) champion, all-round butterfly and cumberer of the soil; but a broader, surer, more emphasized and determined Teddy than the one she had known a year ago when last she saw him.","就在奥克塔维亚用揣测的眼神打量着所有可能是经理的人时，突然她屏住了呼吸，惊讶地看着沿着月台朝火车方向赶来的特迪•韦斯特莱克——或者是一个穿着粗纺厚呢和筒靴、戴着皮箍帽、皮肤晒得黝黑，跟特迪一模一样的人——小西奥多•韦斯特莱克曾是一名业余马球（可以算作）冠军，完全是个登徒浪子，是当地的一大麻烦。但跟她一年前最后一次看到的那个人相比，现在的特迪更加豁达、可靠，也更加突出和坚定了。"
"He perceived Octavia at almost the same time, deflected his course, and steered for her in his old, straightforward way.","他们几乎同时看到了对方。特迪转身直直向她走去，就跟以前一样。"
"Something like awe came upon her as the strangeness of his metamorphosis was brought into closer range; the rich, red-brown of his complexion brought out so vividly his straw-coloured mustache and steel-gray eyes.","当这个变得近乎陌生的人走近奥克塔维亚时，她的心中产生了一种类似畏惧的情感。他那饱满的红褐色皮肤让他淡黄色的胡子和钢灰色的眼睛显得额外突出。　"
"He seemed more grown-up, and, somehow, farther away.","他似乎变得更加成熟了，但不知怎地，也变得更加遥远了。"
"But, when he spoke, the old, boyish Teddy came back again.","但是，当他开口说话时，那个过去孩子气的特迪又回来了。"
"They had been friends from childhood.","他们俩是青梅竹马。"
"“Why, ‘Tave!” he exclaimed, unable to reduce his perplexity to coherence.","“怎么回事，塔维亚！”他惊呼道，困惑得连话都说不清楚，"
"“How—what—when—where?”","“怎么——为什么——什么时候——哪里？”"
"“Train,” said Octavia; “necessity; ten minutes ago; home.","“火车，”奥克塔维亚回答道，“必需品，十分钟前，从家来。"
"Your complexion’s gone, Teddy.","你的肤色变了，特迪。"
"Now, how—what—when—where?”","现在该我问你了。怎么——为什么——何时——哪里？”"
"“I’m working down here,” said Teddy.","“我在这儿工作。”特迪说。"
"He cast side glances about the station as one does who tries to combine politeness with duty.","他朝车站旁边看了几眼，好像要在努力维持礼貌的同时又尽到责任。"
"“You didn’t notice on the train,” he asked, “an old lady with gray curls and a poodle, who occupied two seats with her bundles and quarrelled with the conductor, did you?”","“你在火车上有没有注意到，”他问道，“一个带着狮子狗、留着灰色卷发的老太太，她连同行李占了两个位子，还老跟乘务员吵架，有这么个人吗？”"
"“I think not,” answered Octavia, reflecting.","“我想没有。”奥克塔维亚想了一下回答说。"
"“And you haven’t, by any chance, noticed a big, gray-mustached man in a blue shirt and six-shooters, with little flakes of merino wool sticking in his hair, have you?”","“那你有没有碰巧看到一个长着灰色大胡子的大个儿男子，穿着蓝色衬衫，带着六发式左轮手枪，头发里夹杂着些许美利奴羊毛碎屑？”"
"“Lots of ’em,” said Teddy, with symptoms of mental delirium under the strain.","“这样的人多得很，”特迪说，由于紧张，他有些心绪不安，"
"Do you happen to know any such individual?”","“那你认识这样的人吗？”"
"“No; the description is imaginary.","“不认识，这番描述是我凭空想出来的。"
"Is your interest in the old lady whom you describe a personal one?”","那你感兴趣的那位女士是你认识的么？”"
"“Never saw her in my life.","“我从来没有见过她。"
"She’s painted entirely from fancy.","她完全是我想象出来的。"
"She owns the little piece of property where I earn my bread and butter—the Rancho de las Sombras.","她拥有我赖以生存的那份产业——树阴牧场。"
"I drove up to meet her according to arrangement with her lawyer.”","我依照她律师的安排赶车过来接她。”"
"Octavia leaned against the wall of the telegraph office.","奥克塔维亚倚靠在电报局的墙上。"
"Was this possible?","这可能吗？"
"And didn’t he know?","他还不知道？"
"“Are you the manager of that ranch?” she asked weakly.","“你是那个牧场的经理吗？”她轻声问道。"
"“I am,” said Teddy, with pride.","“我是。”特迪自豪地说。"
"“I am Mrs. Beaupree,” said Octavia faintly; “but my hair never would curl, and I was polite to the conductor.”","“我就是博普雷太太，”奥克特维亚虚弱地说道，“但是我没有卷发，我对乘务员也很礼貌。”"
"For a moment that strange, grown-up look came back, and removed Teddy miles away from her.","在那一瞬间，特迪那种陌生成熟的样子又回来了，让他们之间的距离又隔远了。"
"“I hope you’ll excuse me,” he said, rather awkwardly.","“希望你能见谅，”他非常尴尬地说道，"
"“You see, I’ve been down here in the chaparral a year.","“你知道的，我已经在灌木丛里呆了一年了。"
"I hadn’t heard.","我没有听说关于你的事。"
"Give me your checks, please, and I’ll have your traps loaded into the wagon.","请把寄物牌给我，我帮你把行李运到车上。"
"José will follow with them.","若泽会运行李回去。"
"We travel ahead in the buckboard.”","我们乘马车先走。"
"Seated by Teddy in a feather-weight buckboard, behind a pair of wild, cream-coloured Spanish ponies, Octavia abandoned all thought for the exhilaration of the present.","奥克塔维亚和特迪并排坐在这辆轻便马车中，前面是一对烈性的、奶油色西班牙小马在拉车。她非常高兴，抛开了脑子里所有的念头。"
"They swept out of the little town and down the level road toward the south.","他们渐渐驶出小镇，沿着平坦的道路走向南方。"
"Soon the road dwindled and disappeared, and they struck across a world carpeted with an endless reach of curly mesquite grass.","不久之后，道路就越来越窄，渐渐消失了，然后他们进入了一个满眼满世界都是卷卷的牧豆草的国度。"
"The wheels made no sound.","车轮静静地滚动着。"
"The tireless ponies bounded ahead at an unbroken gallop.","不知疲倦的小马不停向前驰骋着。"
"The temperate wind, made fragrant by thousands of acres of blue and yellow wild flowers, roared gloriously in their ears.","带着千万亩蓝色黄色野花芬芳的煦风在他们的耳旁作响。"
"The motion was aërial, ecstatic, with a thrilling sense of perpetuity in its effect.","他们仿佛飘在空中，心醉神迷，产生了一种永恒的感觉，令人兴奋不已。"
"Octavia sat silent, possessed by a feeling of elemental, sensual bliss.","奥克塔维亚静静地坐着，完全沉浸在欣喜的感觉之中。"
"Teddy seemed to be wrestling with some internal problem.","特迪好像正在心中努力思考一些问题。"
"“I’m going to call you madama,” he announced as the result of his labours.","他考虑后得出的结论就是：“我称呼您为夫人吧。"
"“That is what the Mexicans will call you—they’re nearly all Mexicans on the ranch, you know.","墨西哥人也会这样称呼你——你明白，牧场里几乎全是墨西哥人。"
"That seems to me about the proper thing.”","我觉得这很合适。”"
"“Very well, Mr. Westlake,” said Octavia, primly.","“非常好，韦斯特莱克先生。”奥克塔维亚拘谨地说道。"
"“Oh, now,” said Teddy, in some consternation, “that’s carrying the thing too far, isn’t it?”","“噢，”特迪惊慌地说道，“这样说就太过分了，不是吗？”"
"“Don’t worry me with your beastly etiquette.","“别用你那些该死的礼节让我心烦了。"
"I’m just beginning to live.","我才开始在这里生活。"
"Don’t remind me of anything artificial.","别跟我提任何和自然无关的事情。"
"If only this air could be bottled!","要是能把这些空气用瓶子装起来该多好啊！"
"This much alone is worth coming for.","单单这里的空气就值得我跑一趟了。"
"Oh, look I there goes a deer!”","噢，快看，过去一头鹿！”"
"“Jack-rabbit,” said Teddy, without turning his head.","“那是大野兔。”特迪头也不回地说。"
"“Could I—might I drive?” suggested Octavia, panting, with rose-tinted cheeks and the eye of an eager child.","“我能——我可以驾车吗？”奥克塔维亚喘着气建议说。她双颊泛红，眼睛看上去就跟小孩一样急切。"
"“On one condition.","“只有一个条件。"
"Could I—might I smoke?”","我能——我可以抽烟吗？”"
"“Forever!” cried Octavia, taking the lines with solemn joy.","“永远都行！”奥克塔维亚高兴地接过缰绳，大声说道，"
"“How shall I know which way to drive?”","“我该怎么走？”"
"“Keep her sou’ by sou’east, and all sail set.","“就往南偏东南，全力行驶。"
"You see that black speck on the horizon under that lowermost Gulf cloud?","你看见天边那朵最低的海湾云下的黑色小点没？"
"That’s a group of live-oaks and a landmark.","那是一片橡树，也是一个路标。"
"Steer halfway between that and the little hill to the left.","行驶到那里和左边小山之间就行了。"
"I’ll recite you the whole code of driving rules for the Texas prairies: keep the reins from under the horses’ feet, and swear at ’em frequent.”","我告诉你得克萨斯草原上所有的驾车规则吧：不要让缰绳落在马蹄之下，要经常吆喝马。”"
"“I’m too happy to swear, Ted.","“我太开心，根本没有吆喝的心思，特迪。"
"Oh, why do people buy yachts or travel in palace-cars, when a buckboard and a pair of plugs and a spring morning like this can satisfy all desire?”","噢，人们为什么要买游艇或者坐在宫殿般豪华的车里旅行呢？有这样一辆马车、一双老马和一个春晨不就能满足所有的欲望了吗？”"
"“Now, I’ll ask you,” protested Teddy, who was futilely striking match after match on the dashboard, “not to call those denizens of the air plugs.","特迪不断在马车挡泥板上划着火柴，他抗议说：“我请求你不要管这两匹马叫老马了。"
"They can kick out a hundred miles between daylight and dark.”","它们能日行千里。”"
"At last he succeeded in snatching a light for his cigar from the flame held in the hollow of his hands.","最后，他终于划着了一根火柴，用手捧着点燃了雪茄。"
"“Room!” said Octavia, intensely.","“空间！”奥克塔维亚兴奋地说道，"
"“That’s what produces the effect.","“这就是我想来的原因。"
"I know now what I’ve wanted—scope—range—room!”","我现在知道我想要什么了——视野——领域——空间！”"
"“Smoking-room,” said Teddy, unsentimentally.","“吸烟间。”特迪不动声色地说道，"
"“I love to smoke in a buckboard.","“我喜欢在马车里抽烟。"
"The wind blows the smoke into you and out again.","风将烟雾吹向你，又吹出来。"
"It saves exertion.”","省了不少力气。”"
"The two fell so naturally into their old-time goodfellowship that it was only by degrees that a sense of the strangeness of the new relations between them came to be felt.","两个人很自然地恢复了旧时的友情，但是渐渐地，他们却感受到了新关系的怪异。"
"“Madama,” said Teddy, wonderingly, “however did you get it into your bead to cut the crowd and come down here?","“夫人，”特迪好奇地问道，“你是怎么想到远离人群来到这里的呀？"
"Is it a fad now among the upper classes to trot off to sheep ranches instead of to Newport?”","现在上流社会流行骑马去牧羊场而不是新港口吗？”"
"“I was broke, Teddy,” said Octavia, sweetly, with her interest centred upon steering safely between a Spanish dagger plant and a clump of chaparral; “I haven’t a thing in the world but this ranch—not even any other home to go to.”","“我破产了，特迪。”奥克塔维亚亲切地说道，她现在的兴趣全都集中在如何从一株凤尾兰和一簇灌木中间安全驶过，“除了这个牧场，我什么都没有了——甚至无家可归。”"
"“Come, now,” said Teddy, anxiously but incredulously, “you don’t mean it?”","“得了吧，”特迪焦急而有些怀疑地说，“你说的不是真的吧？”"
"“When my husband,” said Octavia, with a shy slurring of the word, “died three months ago I thought I had a reasonable amount of the world’s goods.","“我丈夫，”奥克塔维亚含糊说道：“三个月前去世的时候，我以为我可以得到一笔可观的遗产。"
"His lawyer exploded that theory in a sixty-minute fully illustrated lecture.","但是他的律师却在‘引经据典’地跟我充分说明了六十分钟后，推翻了这个理论。"
"I took to the sheep as a last resort.","牧场是我最后的退路了。"
