"书名坚强的王子（宝剑复仇记）短简介王子命运坎坷，继丧父之后又被亲生母亲出卖，失去宝剑，还落得双目失明，被强盗逐出城堡。他如何对待这般不幸呢？坚强且永不屈服的他如何在巨人的帮助下复仇成功呢？《坚强的王子》讲述了一个王子与逆境抗争，最终成功复仇的故事，展现了王子坚强的品质。长简介《坚强的王子》讲述了一个王子与逆境抗争，成功复仇的故事，展现了他的坚强品质。王子的父亲因酗酒而意外去世。他带着母亲闯荡，偶然得到了一把神奇的宝剑，力量变得强大。他成功消灭了森林里的强盗团伙，然而母亲却与强盗头目日久生情。母亲指使强盗偷走王子的宝剑。虽然王子被强盗挖去双眼，逐出城堡，但王子并不屈服，而是寻找巨人帮助，双眼得以复明。他带着巨人的动物仆人取回宝剑，复仇成功。最后他和巨人的女儿结婚，生活平静美好。无论身处顺境还是逆境，做一个坚强的人，总会得到上天的眷顾。关键字坚强的王子；安德鲁·朗格；外研社编译组；匈牙利民间童话；城堡；宝剑；复仇；强盗；巨人；森林作者安德鲁·朗格作者简介安德鲁·朗格(1844—1912)，英国著名文学家、历史学家、诗人、民俗学家。以研究神话、民间传说和收集编写了一系列彩色童话集而闻名于世。该系列共包括《绿色童话》、《黄色童话》等十一部童话集，童话来源于日本、德国、匈牙利、俄罗斯、葡萄牙和意大利等多个国家和地区。这部瑰丽的彩色童话集比任何一位作家写的，或搜集的童话都要完整，这些离奇曲折、妙趣横生、寓意深远的童话故事读来令人爱不释手，获"
"益匪浅。书评无论身处顺境还是逆境，做一个坚强的人，最终会得到上天的眷顾。面对不幸，自强不息。"
"The Strong Prince","坚强的王子"
"The giant bade him give the sword to the prince, who girded himself with it, and returned with all speed to the castle.","巨人叫他把剑拿给王子。王子佩戴着剑，全速前进，返回城堡。"
"‘Come out, you rascal! come out, you villain!’ cried he, ‘and answer to me for the wrong you have done.","“出来，混蛋！出来，恶棍！”他大声喊道，“你对我做了什么坏事，我要你一一奉还。"
"I will show you who is the master in this house!’","我将让你知道谁才是这城堡的主人！”"
"The noise he made brought the robber into the room.","他的叫喊声把强盗引入了房间。"
"He glanced up to where the sword usually hung, but it was gone; and instinctively he looked at the prince’s hand, where he saw it gleaming brightly.","他抬头看看平常挂剑的地方，剑已经不在。他本能地看向王子的手，剑在那里闪闪发亮。"
"In his turn he fell on his knees to beg for mercy, but it was too late.","轮到他双膝跪地求饶了，但为时已晚。"
"As he had done to the prince, so the prince did to him, and, blinded, he was thrust forth, and fell down a deep hole, where he is to this day.","他怎么对待王子，王子以同样的方式对待他。王子把他戳瞎之后，用力一甩，他掉进了一个深洞，至今仍在那里。"
"His mother the prince sent back to her father, and never would see her again.","王子送他的母亲回到她父亲那里去，永远不想再见到她。"
"After this he returned to the giant, and said to him:","这之后，他回到巨人那里，对巨人说："
"‘My friend, add one more kindness to those you have already heaped on me.","“我的朋友，你已经帮了我这么多，再帮我一次吧。"
"Give me your daughter as my wife.’","让我娶你的女儿为妻。”"
"So they were married, and the wedding feast was so splendid that there was not a kingdom in the world that did not hear of it.","于是，他们结婚了。婚宴办得极其豪华，世界上每个王国都听说了。"
"And the prince never went back to his father’s throne, but lived peacefully with his wife in the forest, where, if they are not dead, they are living still.","王子再没有回去继承他父亲的王位，而是和妻子在森林里平静地生活。如果他们还健在，应该还在那里住着。"
"[From Ungarische Volksmarchen.]","——选自《匈牙利民间童话》"

