"How I Edited An Agricultural Paper","我是如何编辑农业报的"
"It should not be imported earlier than June or later than September.","引进的时间不能在六月以前，也不能在九月以后。"
"In the winter it should be kept in a warm place, where it can hatch out its young.","冬天，应该把它养在温暖的地方，那里有利于它们孵化幼崽。"
"It is evident that we are to have a backward season for grain.","很明显，今年我们谷物的收成时间会推迟。"
"Therefore it will be well for the farmer to begin setting out his corn-stalks and planting his buckwheat cakes in July instead of August.","因此，农民们最好是在七月而不是八月开始插上玉米秆以及种植荞麦饼。"
"Concerning the pumpkin.","至于南瓜。"
"This berry is a favorite with the natives of the interior of New England, who prefer it to the gooseberry for the making of fruit-cake, and who likewise give it the preference over the raspberry for feeding cows, as being more filling and fully as satisfying.","南瓜这种浆果是新英格兰内地居民最喜爱的食品。他们觉得拿它们来做水果饼比醋栗子强。同时，他们也认为相比覆盆子，用南瓜喂牛更好，因为南瓜更容易饱腹，而且牛也更爱吃。"
"The pumpkin is the only esculent of the orange family that will thrive in the North, except the gourd and one or two varieties of the squash.","除了葫芦和一两种变种的笋瓜之外，南瓜是唯一一种能够在北方大量种植的、可食用的柑橘类蔬菜。"
"But the custom of planting it in the front yard with the shrubbery is fast going out of vogue, for it is now generally conceded that, the pumpkin as a shade tree is a failure.","但把它和灌木一起种在前院里的做法也越来越不时兴了，因为大家认为用南瓜树遮阴的办法是错误的。"
"Now, as the warm weather approaches, and the ganders begin to spawn—","现在天气转暖了，公鹅也开始下蛋了——"
"The excited listener sprang toward me to shake hands, and said:","这时，那个听得兴奋的男人向我跑过来，握手说道："
"“There, there—that will do.","“好了，这里，就到这里！"
"I know I am all right now, because you have read it just as I did, word, for word.","我知道我现在很好，因为你读的跟我看到的完全一模一样，一字不差。"
"But, stranger, when I first read it this morning, I said to myself, I never, never believed it before, notwithstanding my friends kept me under watch so strict, but now I believe I am crazy; and with that I fetched a howl that you might have heard two miles, and started out to kill somebody—because, you know, I knew it would come to that sooner or later, and so I might as well begin.","可是，先生，在今天早上我第一次读这篇文章的时候，我告诉我自己，虽然我的朋友把我看得很严，但是之前我绝对不相信我疯了，不过现在我可以确信我是真的疯了。于是我嚎叫一声——那声音在两里外都听得见——之后我便开始杀人，因为我知道这件事迟早都要发生，所以我还不如现在就行动。"
"I read one of them paragraphs over again, so as to be certain, and then I burned my house down and started.","为了证明我确实是疯了，我又读了一遍其中的一段，然后我放火烧了自己的房子，开始行动起来。"
"I have crippled several people, and have got one fellow up a tree, where I can get him if I want him.","我先打残了几个人，还把一个家伙弄到了树上，等我想要修理他的时候，我可以把他弄下来。"
"But I thought I would call in here as I passed along and make the thing perfectly certain; and now it is certain, and I tell you it is lucky for the chap that is in the tree.","可是当我走到这里来的时候，我觉得我还是来当面确认一下会比较好。现在事情已经弄清楚了，我告诉你，刚刚被我弄上树的那个家伙真是走运。"
"I should have killed him sure, as I went back.","要不然我回去肯定会杀了他。"
"Good-by, sir, good-by; you have taken a great load off my mind.","再见了，先生！再见！你真是帮我卸下了一个很大的思想包袱。"
"My reason has stood the strain of one of your agricultural articles, and I know that nothing can ever unseat it now.","我的理性居然可以忍受住你那些农业报道，而且我知道，现在已经没有什么能改变它的位置了。"
"Good-by, sir.”","再见！”"
"I felt a little uncomfortable about the cripplings and arsons this person had been entertaining himself with, for I could not help feeling remotely accessory to them.","这个男人为了使自己开心而杀人放火，对于这种行为，我感到非常不安，因为我总是忍不住想到我与这两件事有着千丝万缕的关系，仿佛我是他的帮凶一样。"
"But these thoughts were quickly banished, for the regular editor walked in!","但是，这种想法很快就从我的脑海中消失了，因为正式编辑进来了！"
"[I thought to myself, Now if you had gone to Egypt as I recommended you to, I might have had a chance to get my hand in; but you wouldn’t do it, and here you are.","（我心想，如果你听了我的建议去了埃及的话，那我还有机会大显身手。可是你偏不听我的，现在就回来了。"
"I sort of expected you.]","奇怪的是，我倒有点儿期待他的出现。）"
"The editor was looking sad and perplexed and dejected.","编辑看起来非常伤心，又困惑，又沮丧。"
"He surveyed the wreck which that old rioter and those two young farmers had made, and then said “This is a sad business—a very sad business.","他看了看地上被那个老暴徒和那两个年轻农夫打碎的东西之后对我说：“这真是见令人伤心的事——非常令人伤心。"
"There is the mucilage-bottle broken, and six panes of glass, and a spittoon, and two candlesticks.","胶水瓶被打破了，还有六块玻璃、一个痰盂和两支烛台。"
"But that is not the worst.","但是这还不是最坏的情况。"
"The reputation of the paper is injured—and permanently, I fear.","我们这份报纸的声誉都被你毁了，恐怕可以说是永久地被毁掉了！"
"True, there never was such a call for the paper before, and it never sold such a large edition or soared to such celebrity; but does one want to be famous for lunacy, and prosper upon the infirmities of his mind?","对！之前这份报纸从来没有像现在这么受欢迎，从来没有卖出过像现在这么多份，从来没有像现在这样声名在外。但是，你想想有谁愿意靠精神错乱出名，靠装神经病来发达？"
"My friend, as I am an honest man, the street out here is full of people, and others are roosting on the fences, waiting to get a glimpse of you, because they think you are crazy.","我的朋友，我老实告诉你，现在街对面全是人，还有一些人坐在栅栏上，他们等在那里只是为了能看你一眼，因为在读了你的文章之后，他们都觉得你是个疯子！"
"And well they might after reading your editorials.","或许他们还会追读你的文章。"
"They are a disgrace to journalism.","可是，你编的那些东西简直是整个新闻界的耻辱。"
"Why, what put it into your head that you could edit a paper of this nature?","为什么你会编出这样的报纸？你脑袋里到底装了什么？"
"You do not seem to know the first rudiments of agriculture.","你好像连最基本的农业知识都不知道。"
"You speak of a furrow and a harrow as being the same thing; you talk of the moulting season for cows; and you recommend the domestication of the pole-cat on account of its playfulness and its excellence as a ratter!","在你口中，犁沟和犁耙居然是同一个东西；你还说什么牛脱皮的季节；你还劝人养鸡貂，说它们很滑稽而且很会捕鼠；"
"Your remark that clams will lie quiet if music be played to them was superfluous—entirely superfluous.","你还说只要给蛤蜊听音乐，它就可以安静地呆着不动，这完全是废话——完全是多此一举！"
"Nothing disturbs clams.","根本没有什么东西能够惊动蛤蜊。"
"Clams always lie quiet.","它们总是呆着不动。"
"Clams care nothing whatever about music.","蛤蜊才不管在它周围的是什么，管他是音乐还是其他！"
"Ah, heavens and earth, friend! if you had made the acquiring of ignorance the study of your life, you could not have graduated with higher honor than you could to-day.","啊，天呐，我的朋友！如果你把愚昧无知作为你的终生事业，你可能到毕业的时候也不会拿到比现在更高的荣誉了。"
"I never saw anything like it.","我从来没有见过这样的事情。"
"Your observation that the horse-chestnut as an article of commerce is steadily gaining in favor is simply calculated to destroy this journal.","你关于用七叶树做商品会越来越流行的报道，简直就是要毁了这份报纸。"
"I want you to throw up your situation and go.","我要你立刻马上离开你的位子，立马滚蛋！"
"I want no more holiday—I could not enjoy it if I had it.","我再也不要休假了——即使休假我也不可能安心。"
"Certainly not with you in my chair.","让你在这里代替我的职位，我当然无法安心休假。"
"I would always stand in dread of what you might be going to recommend next.","我还要时不时地担心，你还会搞出什么名堂来。"
"It makes me lose all patience every time I think of your discussing oyster-beds under the head of ‘Landscape Gardening.’","每当我想起你在‘庭院设计’专栏里讨论牡蛎饲养的问题时，我就不禁火冒三丈。"
"I want you to go.","我现在就要你滚！"
"Nothing on earth could persuade me to take another holiday.","无论发生什么，我都不会再去休假了。"
"Oh! why didn’t you tell me you didn’t know anything about agriculture?”","你为什么不先告诉我你对农业一无所知呢？”"
"“Tell you, you corn-stalk, you cabbage, you son of a cauliflower?","“告诉你？你这个玉米秆，你这个卷心菜，你这个花椰菜崽！"
"It’s the first time I ever heard such an unfeeling remark.","我还是头一次听到这种无情无义的话。"
"I tell you I have been in the editorial business going on fourteen years, and it is the first time I ever heard of a man’s having to know anything in order to edit a newspaper.","我跟你讲，我已经在编辑这个行业摸爬滚打了14年，这还是头一次有人告诉我编辑报纸还要什么专业知识。"
"You turnip!","你这个萝卜！"
"Who write the dramatic critiques for the second-rate papers?","你知道是谁在给那些二流的报纸写剧评？"
"Why, a parcel of promoted shoemakers and apprentice apothecaries, who know just as much about good acting as I do about good farming and no more.","不就是一些高级鞋匠和药师学徒么？他们对演戏的知识不见得有我对农业的了解多。"
"Who review the books?","是谁在写那些书评？"
"People who never wrote one.","就是那些从来都没有出过书的人。"
"Who do up the heavy leaders on finance?","是谁在写那些关于财政的冗长社论呢？"
"Parties who have had the largest opportunities for knowing nothing about it.","恰恰就是那些对财政一无所知的人。"
"Who criticize the Indian campaigns?","是谁在评论对印第安人的战役？"
"Gentlemen who do not know a war-whoop from a wigwam, and who never have had to run a foot-race with a tomahawk, or pluck arrows out of the several members of their families to build the evening camp-fire with.","正是那些没有听见印第安人棚屋中的壮烈呐喊和从来没有拿过印第安人的战斧的绅士们，或者可以说是那些从来没有从家人身上拔下箭来烧起营火的人们。"
"Who write the temperance appeals, and clamor about the flowing bowl?","又是谁在写那些呼吁戒酒的文章，四处宣传喝酒的害处？"
"Folks who will never draw another sober breath till they do it in the grave.","就是那些直到进了坟墓，嘴巴里才不会有酒气的家伙们。"
"Who edit the agricultural papers, you—yam?","那么又是谁来编辑农业报纸呢？是你——你这个番薯吗？"
"Men, as a general thing, who fail in the poetry line, yellow-colored novel line, sensation, drama line, city-editor line, and finally fall back on agriculture as a temporary reprieve from the poorhouse.","大家都知道，只有那些写不了诗歌，写不出黄色小说和轰动剧本，连编辑都市新闻都不行的人，最后才会退居到农业这一行，把这里作为一个暂时的避难所。"
"You try to tell me anything about the newspaper business!","你竟然还想在办报纸这件事情上来教训我！"
"Sir, I have been through it from Alpha to Omaha, and I tell you that the less a man knows the bigger the noise he makes and the higher the salary he commands.","先生，我什么大风大浪没见过。告诉你吧！一个人越是无知，他就会越有名，那么他的薪水才会越高！"
"Heaven knows if I had but been ignorant instead of cultivated, and impudent instead of diffident, I could have made a name for myself in this cold, selfish world.","天知道，如果我不是像现在这样受过教育，而是愚昧无知；如果我不是谦虚谨慎，而是鲁莽轻率，说不定我早就在这个冷漠自私的世界里闯出一些名堂了。"
"I take my leave, sir.","我会走的，先生。"
"Since I have been treated as you have treated me, I am perfectly willing to go.","既然你这样对我，我当然非常愿意滚蛋！"
"But I have done my duty.","但是我已经完成了我的职责。"
"I have fulfilled my contract as far as I was permitted to do it.","只要是合同里要求的，我全部都做到了。"
"I said I could make your paper of interest to all classes—and I have.","我说过我可以让你的报纸受到各种人的喜爱——我做到了！"
"I said I could run your circulation up to twenty thousand copies, and if I had had two more weeks I’d have done it.","我说过，我会让你们的销量达到两万份，要是你再给我两个星期的时间我也可以做到。"
"And I’d have given you the best class of readers that ever an agricultural paper had—not a farmer in it, nor a solitary individual who could tell a watermelon-tree from a peach-vine to save his life.","我本来可以帮你得到一家农业报纸能找到的最好的读者群——没有一个农民，也没有一个能弄清楚西瓜树和桃子藤的区别的人，即使是要他的命他也不会知道。"
"You are the loser by this rupture, not me, Pie-plant.","我们的这次决裂是你的损失，不是我的，你这株食用大黄！"
"Adios.”","再见了！”"
"I then left.","接着，我就离开了。"

