"书名牧鹅姑娘短简介侍女叛变，婚嫁途中夺走真公主的坐骑和服饰，并威逼其扮成侍女。到异国时，假公主横行霸道，真公主沦为卑微的牧鹅姑娘，然而正义的力量最终战胜邪恶，善良的“牧鹅姑娘”最终夺回属于自己的幸福。《牧鹅姑娘》给我们讲述了一个普通但又发人深省的真假公主的故事。长简介《牧鹅姑娘》给我们讲述了一个普通但发人深省的真假公主的故事。年迈的老王后在女儿长大成人远嫁他乡时送给她一位侍女，陪同她远嫁异国。歹毒的侍女在途中威逼真公主换上自己的衣服并夺走了公主那会说话的马儿。善良软弱的公主只得屈服。远到异国后，侍女——假公主嫁给王子，真公主被打发做牧鹅女。然而，善良的品质使得牧鹅女备受老国王的关注。最终，真相被揭露，善良的牧鹅姑娘找回了本该属于自己的幸福。整篇故事语言流畅，用词准确，朴实中带有令人回味的哲理。关键字牧鹅姑娘；安德鲁·朗格；外研社编译组；短篇；牧鹅女；真公主；假公主作者（英）安德鲁·朗格作者简介安德鲁·朗格（1844—1912），生于苏格兰，兼有诗人、小说家、文学评论家和民俗学家等多重身份，以收集和整理世界各地的民间传说及故事而闻名。由他编纂并分别以十二种颜色命名的《彩色童话集》（又称《朗格童话》）中，汇集了许多著名的童话故事与来自欧洲、亚洲、美洲、非洲各地的民间传说，为孩子们创造了一个色彩瑰丽的童话世界。书评这是一个讲述婢女为公主送嫁，结果趁着公主失去保护的时候粗鲁地辱骂使唤公主，并且拿走公主的一切想在王子面前取代公主终被发现而受罚的故事。              "
"真、善、美中，首先就是真。真实、真纯。弄虚作假的人应引以为戒。"
"The Goose Girl","牧鹅姑娘"
"The waiting-maid now mounted Falada, and the real bride the worse horse, and so they continued their journey till at length they arrived at the palace yard.","现在，侍女骑着法拉达，而真正的新娘却骑着劣马，就这样继续赶路，直到到达王宫大院。"
"There was great rejoicing over the arrival, and the Prince sprang forward to meet them, and taking the waiting-maid for his bride, he lifted her down from her horse and led her upstairs to the royal chamber.","看到她们的到来，大家都很开心，而王子欣喜若狂，跳上前去迎接她们。他把侍女当成了新娘，从马上扶下她，领着她上楼去了王宫内室。"
"In the meantime the real Princess was left standing below in the courtyard.","与此同时，真正的公主被留下，站在下面的院子里。"
"The old King, who was looking out of his window, beheld her in this plight, and it struck him how sweet and gentle, even beautiful, she looked.","老国王此时正向窗外望，看到了身处困境的她。她看上去那么温柔甜美，那么美丽动人，他十分震撼。"
"He went at once to the royal chamber, and asked the bride who it was she had brought with her and had left thus standing in the court below.","于是，他立刻走进内室，问新娘她带来的那个被留在下面院子里站着的姑娘是谁。"
"“Oh!” replied the bride, “I brought her with me to keep me company on the journey; give the girl something to do, that she may not be idle.”","“哦！”新娘答道，“我带着她给我在旅途中作伴。给她一些事情做，那么她可能就不会无所事事了。”"
"But the old King had no work for her, and couldn’t think of anything; so he said, “I’ve a small boy who looks after the geese, she’d better help him.”","但是老国王没有什么工作让她做，也想不出来有什么事情可做，于是他说：“有一个小孩子帮我照管鹅群，让她去帮他吧。”"
"The youth’s name was Curdken, and the real bride was made to assist him in herding geese.","年轻人的名字叫柯德金，于是真正的新娘就被派去帮他牧鹅了。"
"Soon after this the false bride said to the Prince: “Dearest husband, I pray you grant me a favor.”","不久，假新娘告诉王子：“最亲爱的丈夫，我祈求你帮我一个忙。”"
"He answered: “That I will.”","他回答道：“我很乐意效劳。”"
"“Then let the slaughterer cut off the head of the horse I rode here upon, because it behaved very badly on the journey.”","“那么，让屠夫砍下我骑到这儿的那匹马的头，因为在旅程中，它表现得很不好。”"
"But the truth was she was afraid lest the horse should speak and tell how she had treated the Princess.","但事实是她害怕那匹马讲话，并把她怎样对待公主的事情说出来。"
"She carried her point, and the faithful Falada was doomed to die.","她达到了目的，忠诚的法拉达被宣判了死刑。"
"When the news came to the ears of the real Princess she went to the slaughterer, and secretly promised him a piece of gold if he would do something for her.","当消息传到真正的公主耳朵里，她去找了屠夫，并偷偷允诺，如果帮她忙的话，便给他一块金子。"
"There was in the town a large dark gate, through which she had to pass night and morning with the geese; would he “kindly hang up Falada’s head there, that she might see it once again?”","镇上有一个大黑门，公主每天早晚和鹅群必经那里。他会“发慈悲把法拉达的头挂在那里，这样她就可以再次看到它吗？”"
"The slaughterer said he would do as she desired, chopped off the head, and nailed it firmly over the gateway.","屠夫说他会按照她希望的去做，砍下马头，并将它紧紧钉在城门上方。"
"Early next morning, as she and Curdken were driving their flock through the gate, she said as she passed under:","次日清晨，当她和柯德金赶着鹅群穿过大门，经过门下时她说："
"“Oh!","“哦！"
"Falada, ’tis you hang there”;","法拉达，是你挂在那里。”"
"and the head replied:","那颗头答道："
"“’Tis you; pass under, Princess fair:","“是你啊，美丽的公主经过门下。"
"If your mother only knew,","要是你的母亲知道了，"
"Her heart would surely break in two.”","她的心肯定会碎成两半。”"
"Then she left the tower and drove the geese into a field.","然后她离开了塔楼，把鹅群赶进一块田地。"
"And when they had reached the common where the geese fed she sat down and unloosed her hair, which was of pure gold.","当他们到了常常放鹅的地方，她坐了下来，解开她的纯金色的头发。"
"Curdken loved to see it glitter in the sun, and wanted much to pull some hair out.","柯德金喜欢看它在阳光下闪闪发光，很想拔几根头发下来。"
"Then she spoke:","于是她说："
"“Wind, wind, gently sway,","“风啊，风啊，轻轻地吹，"
"Blow Curdken’s hat away;","吹走柯德金的帽子，"
"Let him chase o’er field and wold","让他在田地里和荒原上追，"
"Till my locks of ruddy gold,","直到我的金发，"
"Now astray and hanging down,","现在正凌乱垂下，"
"Be combed and plaited in a crown.”","梳好编盘成发环。”"
"Then a gust of wind blew Curdken’s hat away, and he had to chase it over hill and dale.","然后一阵疾风吹来，吹走了柯德金的帽子，他只好在山谷间追寻。"
"When he returned from the pursuit she had finished her combing and curling, and his chance of getting any hair was gone.","当他追回来时，她已经将头发梳完盘好，他就没机会得到她的头发了。"
"Curdken was very angry, and wouldn’t speak to her.","柯德金很生气，不肯和她说话了。"
"So they herded the geese till evening and then went home.","就这样，他们牧鹅到傍晚，然后回去了。"
"The next morning, as they passed under the gate, the girl said:","第二天早晨，他们经过大门时，女孩说："
"“Oh!","“哦！"
"Falada, ’tis you hang there;”","法拉达，是你挂在那里。”"
"and the head replied:","那颗头答道："
"“’Tis you; pass under, Princess fair:","“是你啊，美丽的公主经过门下。"
"If your mother only knew,","要是你的母亲知道了，"
"Her heart would surely break in two.”","她的心肯定会碎成两半。”"
"Then she went on her way till she came to the common, where she sat down and began to comb out her hair; then Curdken ran up to her and wanted to grasp some of the hair from her head, but she called out hastily:","于是她上了路，直到来到平常放牧的地方。她在那坐了下来，开始梳理她的头发。然后，柯德金跑上前想从她的头上抓取几根头发，但是她匆忙喊道："
"“Wind, wind, gently sway,","“风啊，风啊，轻轻地吹，"
"Blow Curdken’s hat away;","吹走柯德金的帽子，"
"Let him chase o’er field and wold","让他在田地里和荒原上追，"
"Till my locks of ruddy gold,","直到我的金发，"
"Now astray and hanging down,","现在正凌乱垂下，"
"Be combed and plaited in a crown.”","梳好编盘成发环。”"
"Then a puff of wind came and blew Curdken’s hat far away, so that he had to run after it; and when he returned she had long finished putting up her golden locks, and he couldn’t get any hair; so they watched the geese till it was dark.","接着一阵风吹来，把柯德金的帽子吹向远方，于是他只好去追。当他回来时，她早已盘完她的金发，他便不能得到她的头发了。就这样，他们一起照看着鹅群直到天黑。"
"But that evening when they got home Curdken went to the old King, and said: “I refuse to herd geese any longer with that girl.”","但是那天晚上，当他们回来，柯德金便去了老国王那里，他说：“我拒绝再和那个女孩一起放鹅。”"
"“For what reason?” asked the old King.","“为什么呢？”老国王问道。"
"“Because she does nothing but annoy me all day long,” replied Curdken; and he proceeded to relate all her iniquities, and said: “Every morning as we drive the flock through the dark gate she says to a horse’s head that hangs on the wall:","“因为她整天什么事情都不做，只是烦扰我。”柯德金答道。接着，他开始讲述她所有的罪孽：“每天早晨我们赶着鹅群经过黑色城门时，她就会对挂在城墙上的一颗马头说："
"“‘Oh!","“‘哦！"
"Falada, ’tis you hang there’;","法拉达，是你挂在那里。’"
"and the head replies:","然后那颗头答道："
"“‘’Tis you; pass under, Princess fair:","“‘是你啊，美丽的公主经过门下。"
"If your mother only knew,","要是你的母亲知道了，"
"Her heart would surely break in two.’”","她的心肯定会碎成两半。’”"
"And Curdken went on to tell what passed on the common where the geese fed, and how he had always to chase his hat.","柯德金接着讲在他们常常牧鹅的地方发生的事情，以及他如何常常不得不去追他的帽子。"
"The old King bade him go and drive forth his flock as usual next day; and when morning came he himself took up his position behind the dark gate, and heard how the goose-girl greeted Falada.","老国王吩咐他第二天像往常一样去赶出他的鹅群。当早晨来临，他自己躲在了黑色的城门后，听到了牧鹅姑娘如何与法拉达打招呼。"
"Then he followed her through the field, and hid himself behind a bush on the common.","然后，他跟着她穿过田野，藏在她常放牧的地方的灌木丛后。"
"He soon saw with his own eyes how the goose-boy and the goose-girl looked after the geese, and how after a time the maiden sat down and loosed her hair, that glittered like gold, and repeated:","很快，他亲眼看到牧鹅小伙与牧鹅姑娘如何看管鹅群，过了片刻，牧鹅姑娘又是如何坐下来，解开她那像金子一样闪耀的头发重复道："
"“Wind, wind, gently sway,","“风啊，风啊，轻轻地吹，"
"Blow Curdken’s hat away;","吹走柯德金的帽子，"
"Let him chase o’er field and wold","让他在田地里和荒原上追，"
"Till my locks of ruddy gold","直到我的金发，"
"Now astray and hanging down,","现在正凌乱垂下，"
"Be combed and plaited in a crown.”","梳好编盘成发环。”"
"Then a gust of wind came and blew Curdken’s hat away, so that he had to fly over hill and dale after it, and the girl in the meantime quietly combed and plaited her hair: all this the old King observed, and returned to the palace without anyone having noticed him.","接着一阵疾风吹来，吹走了柯德金的帽子，所以他不得不飞越山谷追逐帽子。而其间，这个女孩悄悄地梳理并编好她的头发：所有这些都被老国王看到，他回到王宫，没有人注意到他。"
"In the evening when the goose-girl came home he called her aside, and asked her why she behaved as she did.","晚上，当牧鹅姑娘回来时，他把她叫到一边，问她为什么那样做。"
"“I may not tell you why; how dare I confide my woes to anyone? for I swore not to by heaven, otherwise I should have lost my life.”","“我不能告诉你原因，我怎么敢向任何人吐露我的悲痛呢？因为我对天发过誓，不能告诉任何人，否则我应该已经没命了。”"
"The old King begged her to tell him all, and left her no peace, but he could get nothing out of her.","老国王恳请她告诉一切，这让她十分烦恼，但她却什么都不肯说。"
"At last he said: “Well, if you won’t tell me, confide your trouble to the iron stove there,” and he went away.","最后他说：“好吧，如果你不愿意告诉我，那就向那边的铁炉吐露你的烦恼吧。”然后便离开了。"
"Then she crept to the stove, and began to sob and cry and to pour out her poor little heart, and said: “Here I sit, deserted by all the world, I who am a king’s daughter, and a false waiting-maid has forced me to take off my own clothes, and has taken my place with my bridegroom, while I have to fulfill the lowly office of goose-girl.","于是她悄悄地走到壁炉旁，开始呜咽、哭泣并倾诉她那可怜的心事：“我坐在这里，被全世界抛弃。我是一个国王的女儿，一个不忠诚的女仆逼着我脱掉我自己的衣服，并占据我新娘的位置，而我不得不做卑微的牧鹅姑娘的工作。"
"“If my mother only knew","“要是我的母亲知道了，"
"Her heart would surely break in two.”","她的心肯定会碎成两半。”"
"But the old King stood outside at the stove chimney, and listened to her words.","但是老国王正站在外面的壁炉烟囱旁，听着她说的话。"
"Then he entered the room again, and bidding her leave the stove, he ordered royal apparel to be put on her, in which she looked amazingly lovely.","于是，他又走进房间，吩咐她离开壁炉，并令人给她穿上王室礼服——她穿上后实在是太美了。"
"Then he summoned his son, and revealed to him that he had got the false bride, who was nothing but a waiting-maid, while the real one, in the guise of the ex-goose-girl, was standing at his side.","然后他招来自己的儿子，向他揭露说他的新娘是假的，她什么都不是，只是一个侍女，而真正的新娘正站在他身旁，就是以前假扮成牧鹅女的姑娘。"
"The young King rejoiced from his heart when he saw her beauty and learned how good she was, and a great banquet was prepared, to which everyone was bidden.","当年轻的国王看到她的美貌，并了解到她如何善良，打心底里十分欢喜。然后举办了一场盛宴，所有的人都被邀请过来。"
"The bridegroom sat at the head of the table, the Princess on one side of him and the waiting-maid on the other; but she was so dazzled that she did not recognize the Princess in her glittering garments.","新郎坐在上首，一边是真王妃，一边是假王妃；但假王妃觉得如此眼花缭乱，以至于没有认出穿着闪闪发光的衣服的真王妃。"
"Now when they had eaten and drunk, and were merry, the old King asked the waiting-maid to solve a knotty point for him.","现在，他们已酒足饭饱，开心快活，老国王让侍女给他解决一个棘手问题。"
"“What,” said he, “should be done to a certain person who has deceived everyone?” and he proceeded to relate the whole story, ending up with, “Now what sentence should be passed?”","“应该怎样，”他说，“惩罚一个欺骗大家的人？”然后，他开始讲述整个故事，最后说：“现在应该如何判决呢？”"
"Then the false bride answered: “She deserves to be put stark naked into a barrel lined with sharp nails, which should be dragged by two white horses up and down the street till she is dead.”","那假新娘答道：“她应该被赤裸裸地装进一个钉满了尖钉子的大桶，由两匹白马在街上拖来拖去，直到死去。”"
"“You are the person,” said the King, “and you have passed sentence on yourself; and even so it shall be done to you.”","“你就是那个人，”国王说，“你已经给自己判了刑；既然这样，你理应受到这样的惩罚。”"
"And when the sentence had been carried out the young King was married to his real bride, and both reigned over the kingdom in peace and happiness. ","当这个判决被执行后，年轻的国王娶了他真正的新娘，他们和睦幸福地统治着他们的王国。"

