"书名海辛斯王子和可爱小公主短简介大鼻子的不都是情圣，长鼻子也能阻挡爱情。仍然是王子与公主的故事，但没有了可恶的继母和毒苹果，对自身的错误认知差点阻碍了他们的爱情，都是长鼻子惹的祸。在王子追求幸福的过程中，长鼻子总是阻挠他。他终于认识到了自己的鼻子太长了。于是海辛斯王子的鼻子正常了，可爱小公主也获得了自由。他们幸福地生活在一起。 长简介老国王踩到了大猫的尾巴，破除了咒语娶到了公主。巫师恼羞成怒，诅咒他们的儿子有长长的鼻子，除非王子认识到自己的鼻子长得过分，否则永远不会幸福。海辛斯王子在恭维中长大了，自信自己的鼻子非常完美。后来，海辛斯王子爱上了可爱小公主。然而巫师将公主劫走了。在王子独自寻找公主时，他遇到了老国王的朋友——仙女。仙女一再试图让他认清自己的鼻子太长，王子都听不进去。直到海辛斯王子试图亲吻锁在水晶宫的公主，长鼻子总是阻挠他。他终于认识到了自己的鼻子太长了。于是海辛斯王子的鼻子正常了，可爱小公主也获得了自由。他们幸福地生活在一起。 关键字海辛斯王子和可爱小公主；安德鲁·朗格；外研社编译组；勒普兰斯·德博蒙夫人；长鼻子；公主；改变；幸福作者（英）安德鲁·朗格作者简介安德鲁·朗格（1844—1912），生于苏格兰，兼有诗人、小说家、文学评论家和民俗学家等多重身份，以收集和整理世界各地的民间传说及故事而闻名。由他编纂并分别以十二种颜色命名的《彩色童话集》（又称《朗格童话》）中，汇集了许多著名的童话故事与来自欧洲、亚洲、美洲、非洲各地的民间传说，为孩子们创造了一个色彩瑰丽的童话世界。书评大鼻子可能是情圣，长鼻子却能阻挠爱情。仙女真的都住在洞穴里吗？"
"Prince Hyacinth and the Dear Little Princess","海辛斯王子和可爱小公主"
"I was telling you that I was your father’s friend; he often came to see me in the old times, and you must know that I was very pretty in those days; at least, he used to say so.","我说过，我是你父亲的朋友，过去他常常来看我，你要知道我那时候可是非常漂亮的，至少他总是这么说。"
"I should like to tell you of a conversation we had the last time I ever saw him.”","我应该告诉你我们最后一次见面时的对话。”"
"“Indeed,” said the Prince, “when I have supped it will give me the greatest pleasure to hear it; but consider, madam, I beg of you, that I have had nothing to eat to-day.”","“其实，”王子说，“要是我吃了晚饭，我会非常乐意听您说的；但是，夫人，请您想想，我今天一天什么都没有吃。”"
"“The poor boy is right,” said the Fairy; “I was forgetting.","“可怜的孩子，你是对的。”仙女说到，“我忘了这件事了。"
"Come in, then, and I will give you some supper, and while you are eating I can tell you my story in a very few words—for I don’t like endless tales myself.","进来，我会给你弄一些晚饭，你吃饭的时候我就能简短地告诉你我的故事——因为我自己也不喜欢没完没了的故事。"
"Too long a tongue is worse than too long a nose, and I remember when I was young that I was so much admired for not being a great chatterer.","长舌头可比长鼻子更糟糕，我记得我年轻的时候因为不爱饶舌而被大大赞誉。"
"They used to tell the Queen, my mother, that it was so.","他们常常这样对我的母后说。"
"For though you see what I am now, I was the daughter of a great king.","别看我现在这副模样，我可是一位伟大国王的女儿。"
"My father—”","我的父王……”"
"“Your father, I dare say, got something to eat when he was hungry!” interrupted the Prince.","“您的父王，我敢说，在他饿的时候一定会有吃的吧！”王子打断道。"
"“Oh! certainly,” answered the Fairy, “and you also shall have supper directly.","“哦，那当然，”仙女回答到，“你也马上就有晚餐吃了。"
"I only just wanted to tell you—”","我只是想告诉你……”"
"“But I really cannot listen to anything until I have had something to eat,” cried the Prince, who was getting quite angry; but then, remembering that he had better be polite as he much needed the Fairy’s help, he added:","“如果再不吃东西，我真的什么都听不进去了。”王子嚷到，他已经很生气了；但意识到他需要仙女的帮助，他觉得最好还是礼貌点儿，他接着说道："
"“I know that in the pleasure of listening to you I should quite forget my own hunger; but my horse, who cannot hear you, must really be fed!”","“我知道在聆听您的话的快乐中，我应该忘记自己的饥饿；但我的马听不懂您的话，确实得吃点儿东西了！”"
"The Fairy was very much flattered by this compliment, and said, calling to her servants:","仙女听了恭维很开心，叫来仆人准备晚餐，说道："
"“You shall not wait another minute, you are so polite, and in spite of the enormous size of your nose you are really very agreeable.”","“你马上就可以吃了，你很有礼貌，除了你超大号的鼻子，你真是个令人愉快的人。”"
"“Plague take the old lady!","“烦人的老太婆！"
"How she does go on about my nose!” said the Prince to himself.","她怎么老是对我的鼻子喋喋不休！”王子自言自语道。"
"“One would almost think that mine had taken all the extra length that hers lacks!","“别人会以为我把她鼻子上缺的那块安在我鼻子上了呢！"
"If I were not so hungry I would soon have done with this chatterpie who thinks she talks very little!","我要不是这么饿，我很快就会忍受不了这个自以为话少的话痨！"
"How stupid people are not to see their own faults!","认不清自己缺点的人是多么愚蠢啊！"
"That comes of being a princess: she has been spoiled by flatterers, who have made her believe that she is quite a moderate talker!”","这都是因为她是一位公主：她被溜须拍马的人给宠坏了，这些人让她相信自己是个寡言少语的人！”"
"Meanwhile the servants were putting the supper on the table, and the prince was much amused to hear the Fairy who asked them a thousand questions simply for the pleasure of hearing herself speak; especially he noticed one maid who, no matter what was being said, always contrived to praise her mistress’s wisdom.","同时，她的仆人正把晚餐摆上桌，仙女只是为了听见自己说话高兴就问了他们成百上千个问题。王子饶有兴趣地听着，他特别注意到有个女仆不论她的主人说什么总想办法赞扬女主人的智慧。"
"""well!""he thought,as he ate his supper,""I'm very glad i came here.","“啊！”他一边吃晚餐一边想，“我真高兴我来了这儿。"
"This just shows me how sensible I have been in never listening to flatterers.","这恰恰说明我是多么的明智，因为我从不听奉承话。"
"People of that sort praise us to our faces without shame, and hide our faults or change them into virtues.","那些人当着我们的面奉承我们也不脸红，掩饰我们的缺点，甚至把它们说成是优点。"
"For my part I never will be taken in by them.","而我不会被他们蒙骗。"
"I know my own defects, I hope.”","我想我还是清楚自己的缺点的。”"
"Poor Prince Hyacinth!","可怜的海辛斯王子！"
"He really believed what he said, and hadn’t an idea that the people who had praised his nose were laughing at him, just as the Fairy’s maid was laughing at her; for the Prince had seen her laugh slyly when she could do so without the Fairy’s noticing her.","他相信自己说的，一点儿不知道那些夸赞他鼻子的人嘲笑他，就如同仙女的女仆嘲笑仙女一样；因为王子看到女仆趁仙女不注意的时候偷偷嘲笑她。"
"However, he said nothing, and presently, when his hunger began to be appeased, the Fairy said:","尽管如此，他什么也没有说，等他吃饱了，仙女说："
"“My dear Prince, might I beg you to move a little more that way, for your nose casts such a shadow that I really cannot see what I have on my plate.","“亲爱的王子，介意我请你稍微移开一点儿吗？因为你鼻子投下的阴影让我看不清楚盘子里的食物了。"
"Ah! thanks.","哦！谢谢。"
"Now let us speak of your father.","现在让我们来谈谈你的父亲吧。"
"When I went to his Court he was only a little boy, but that is forty years ago, and I have been in this desolate place ever since.","当我去他的宫殿的时候，他还是个小男孩，但那是四十年前了，我从那以后就一直住在这个与世隔绝的地方。"
"Tell me what goes on nowadays; are the ladies as fond of amusement as ever?","告诉我这个时代的事情吧，女士们还那么喜欢娱乐吗？"
"In my time one saw them at parties, theatres, balls, and promenades every day.","在我那个时代，人们每天都在聚会、看戏、跳舞和骑马。"
"Dear me! what a long nose you have!","天啊！你的鼻子可真长！"
"I cannot get used to it!”","我实在看不习惯！”"
"“Really, madam,” said the Prince, “I wish you would leave off mentioning my nose.","“是吗？夫人，”王子说，“我希望您能别再提我的鼻子了。"
"It cannot matter to you what it is like.","它的样子对您来说又有什么要紧。"
"I am quite satisfied with it, and have no wish to have it shorter.","我对它很满意，也不希望它变短。"
"One must take what is given one.”","上帝给了什么，人都应该坦然接受。"
"“Now you are angry with me, my poor Hyacinth,” said the Fairy, “and I assure you that I didn’t mean to vex you; on the contrary, I wished to do you a service.","“看来你生我气了，可怜的海辛斯王子，”仙女说，“我向你保证我并不是想冒犯你；相反，我是想帮助你。"
"However, though I really cannot help your nose being a shock to me, I will try not to say anything about it.","尽管我对你的鼻子感到震惊，但我会试着不再说它了。"
"I will even try to think that you have an ordinary nose.","我甚至会试着想象你有一个正常的鼻子。"
"To tell the truth, it would make three reasonable ones.”","说实在的，它都有三个正常鼻子加在一起那么大了。”"
"The Prince, who was no longer hungry, grew so impatient at the Fairy’s continual remarks about his nose that at last he threw himself upon his horse and rode hastily away.","王子已经不饿了，也越来越没有耐性听仙女谈他的鼻子了。最后王子骑上马，飞驰而去。"
"But wherever he came in his journeyings he thought the people were mad, for they all talked of his nose, and yet he could not bring himself to admit that it was too long, he had been so used all his life to hear it called handsome.","但是,不论他到了哪里，人们都议论他的鼻子，他觉得那些人都疯了。他还是不能承认他的鼻子太长了，他长这么大习惯被称赞英俊了。"
"The old Fairy, who wished to make him happy, at last hit upon a plan.","老仙女希望他幸福，最终想出了一个办法。"
"She shut the Dear Little Princess up in a palace of crystal, and put this palace down where the Prince would not fail to find it.","她把公主关在一个水晶宫殿里，然后把宫殿安置在王子能够找到的地方。"
"His joy at seeing the Princess again was extreme, and he set to work with all his might to try to break her prison; but in spite of all his efforts he failed utterly.","再次见到公主，王子欣喜若狂。他试图砸开她的牢笼,但不管他怎么努力地砸，还是砸不开。"
"In despair he thought at least that he would try to get near enough to speak to the Dear Little Princess, who, on her part, stretched out her hand that he might kiss it; but turn which way he might, he never could raise it to his lips, for his long nose always prevented it.","绝望中，王子想哪怕离公主近一点儿，跟公主说说话也好啊。公主将手伸出来想让王子吻她，但是不论王子怎么转到身体，他都吻不到公主，因为他的长鼻子总是妨碍他。"
"For the first time he realized how long it really was, and exclaimed:","他头一次意识到他的鼻子太长了，说道："
"“Well, it must be admitted that my nose is too long!”","“哦，必须得承认，我的鼻子太长了！”"
"In an instant the crystal prison flew into a thousand splinters, and the old Fairy, taking the Dear Little Princess by the hand, said to the Prince:","水晶监牢一下子就成了成千上万的碎片，老仙女拉着可爱小公主的手对王子说："
"“Now, say if you are not very much obliged to me.","“现在，你是不是应该感激我呢？"
"Much good it was for me to talk to you about your nose!","我是好心才提你的鼻子的！"
"You would never have found out how extraordinary it was if it hadn’t hindered you from doing what you wanted to.","要不是鼻子妨碍你做你想做的事情，你永远也不会发现它是多么反常。"
"You see how self-love keeps us from knowing our own defects of mind and body.","你瞧，自负让我们看不到自己身心上的缺陷。"
"Our reason tries in vain to show them to us; we refuse to see them till we find them in the way of our interests.”","我们的理智徒劳地试图让我们了解这些，但我们还是对它们视而不见，直到它妨碍我们得到我们感兴趣的东西。”"
"Prince Hyacinth, whose nose was now just like anyone’s else, did not fail to profit by the lesson he had received.","海辛斯王子的鼻子现在和正常人一样了。他也牢牢记住了这个教训。"
"He married the Dear Little Princess, and they lived happily ever after. ","王子和可爱小公主结了婚并永远幸福快乐地生活在一起。"

