书名鲁贝察尔（安德鲁·朗格经典棕色童话）短简介拥有广袤地下王国的地精王偏偏爱上了一位人类公主，纵使他法力无边，他又能否得到公主的芳心，让公主同他一起生活在雄伟的地下宫殿呢。长简介地精王是众地精的统治者，坐拥广阔的地下王国，当他离开地下王国在大地上探险时，对一位公主一见钟情。他自作主张把公主带到自己的地下宫殿，诉说衷肠，渴望得到公主的爱。他法力无边，能满足公主提出的每一个要求，却也无法得到公主的真心。最后，聪颖的公主在她深爱的拉蒂博王子的帮助下逃出地下王国，留下地精王一人暗自神伤，往地下深处飞去。关键字鲁贝察尔；安德鲁·朗格；外研社编译组；地精王；公主；拉蒂博王子；爱情；地下王国作者（英）安德鲁·朗格作者简介安德鲁·朗格（1844—1912），生于苏格兰，兼有诗人、小说家、文学评论家和民俗学家等多重身份，以收集和整理世界各地的民间传说及故事而闻名。由他编纂并分别以十二种颜色命名的《彩色童话集》（又称《朗格童话》）中，汇集了许多著名的童话故事与来自欧洲、亚洲、美洲、非洲各地的民间传说，为孩子们创造了一个色彩瑰丽的童话世界。书评童话虽然篇幅较长，但是情节引人入胜，从地精王初次接触人类，到偶遇公主，再到求爱失败，公主出逃，都是一气呵成，让人欲罢不能。“如果孩子们的世界里没有那神奇美丽的童话，他们的生活将不可想象；如果这座童话乐园里没有安德鲁·朗格所编写的童话，他们的童心就得不到完美的塑造。” 
Rubezahl	鲁贝察尔
He was indeed greatly minded to make friends with this being called ‘man,’ so, taking the form of an old field labourer, he entered the service of a farmer.	他很想和这种叫做“人类”的生物做朋友，于是他装扮成一名老农，给一个农场主干活。
Under his care all the crops flourished exceedingly, but the master proved to be wasteful and ungrateful, and Rubezahl soon left him, and went to be shepherd to his next neighbour.	在他的照料下，庄稼长得非常好，但农场主不但挥霍浪费，还不知感激，于是鲁贝察尔很快就离开了他，成了农场主邻居的牧羊人。
He tended the flock so diligently, and knew so well where to lead the sheep to the sweetest pastures, and where among the hills to look for any who strayed away, that they too prospered under his care, and not one was lost or torn by wolves; but this new master was a hard man, and begrudged him his well-earned wages.	他辛勤地照料畜群，知道把羊群赶到哪里才能吃到最甘甜的牧草，他也十分清楚在山中什么地方能找到走失的羊，所以羊在他的照顾下又肥又壮，从没有一只走失或者被狼叼走。可是，他的新主人十分冷酷无情，连他应得的工资都舍不得给他。
So he ran away and went to serve the judge.	于是他再次离开，跑去为法官工作了。
Here he upheld the law with might and main, and was a terror to thieves and evildoers; but the judge was a bad man, who took bribes, and despised the law.	在这里，他竭尽全力来维护法律，窃贼和恶人都十分畏惧他。但是法官却是一个坏人，不但受贿，还藐视法律。
Rubezahl would not be the tool of an unjust man, and so he told his master, who thereupon ordered him to be thrown in prison.	鲁贝察尔不愿做坏人的工具，于是和法官起了矛盾，继而被关进了监狱。
Of course that did not trouble the gnome at all, he simply got out through the keyhole, and went away down to his underground palace, very much disappointed by his first experience of mankind.	当然这根本就难不倒地精王，他轻而易举地就从锁眼里逃了出来，然后回到他的地下宫殿，对自己第一次同人类打交道的经历感到十分失望。
But, as time went on, he forgot the disagreeable things that had happened to him, and thought he would take another look at the upper world.	但随着时间的推移，他淡忘了那些令人不快的经历，想要再去瞧瞧上面的世界。
So he stole into the valley, keeping himself carefully hidden in copse or hedgerow, and very soon met with an adventure; for, peeping through a screen of leaves, he saw before him a green lawn where stood a charming maiden, fresh as the spring, and beautiful to look upon.	于是他悄悄地溜进山谷，小心翼翼地藏在矮树丛或灌木树篱里，很快就经历了一次奇遇。他透过树叶的缝隙向外窥探，看到他前面的绿地上站着一位迷人的少女，她像春天一样清新，越看越美丽。
Around her upon the grass lay her young companions, as if they had thrown themselves down to rest after some merry game.	她年轻的同伴们躺在她身边的草地上，她们好像刚做完欢乐的游戏，正在草坪上休息。
Beyond them flowed a little brook, into which a waterfall leapt from a high rock, filling the air with its pleasant sound, and making a coolness even in the sultry noontide.	在她们的旁边，有一条瀑布从高高的岩石上飞流下来，汇成了一条小溪；它的声音悦耳动听，即使在闷热的正午也能带来一丝凉爽。
The sight of the maiden so pleased the gnome that, for the first time, he wished himself a mortal; and, longing for a better view of the gay company, he changed himself into a raven and perched upon an oaktree which overhung the brook.	眼前的少女使地精王怦然心动，他平生第一次希望自己是个凡人。于是他变成了一只乌鸦，栖息在俯视着小溪的橡树上，渴望能更好地端详快乐的姑娘们。
But he soon found that this was not at all a good plan.	但他很快发现，这根本不是一个好主意。
He could only see with a raven’s eyes, and feel as a raven feels; and a nest of field-mice at the foot of the tree interested him far more than the sport of the maidens.	他只能用乌鸦的眼睛去观察，用乌鸦的方式去感觉。这样一来，与玩游戏的少女们相比，树脚下的田鼠穴反而更能吸引他的注意力了。
When he understood this he flew down again in a great hurry into the thicket, and took the form of a handsome young man—that was the best way—and he fell in love with the girl then and there.	他一意识到这一点，就急忙再次飞回灌木丛，变身成了一名英俊的青年——这是最好的方法了——他立即爱上了那位姑娘。
The fair maiden was the daughter of the king of the country, and she often wandered in the forest with her play fellows gathering the wild flowers and fruits, till the midday heat drove the merry band to the shady lawn by the brook to rest, or to bathe in the cool waters.	这位美丽的少女是国王的女儿，她经常和玩伴们在森林里漫步，采摘野花野果。到了炎热的正午，这一群快乐的少女就来到小溪边，在背阴的草坪上休息，或者在清凉的水中沐浴。
On this particular morning the fancy took them to wander off again into the wood.	在这个特别的早上，她们一时兴起又走进了森林。
This was Master Rubezahl’s opportunity.	地精王鲁贝察尔的机会来了。
Stepping out of his hiding-place he stood in the midst of the little lawn, weaving his magic spells, till slowly all about him changed, and when the maidens returned at noon to their favourite resting-place they stood lost in amazement, and almost fancied that they must be dreaming.	他走出藏身之处，站在草坪中央施展魔咒，周围的一切便慢慢地变了模样。当姑娘们在中午回到最爱的休息地时，都茫然地站在那里，惊讶极了，几乎以为自己在做梦。
The red rocks had become white marble and alabaster; the stream that murmured and struggled before in its rocky bed, flowed in silence now in its smooth channel, from which a clear fountain leapt, to fall again in showers of diamond drops, now on this side now on that, as the wandering breeze scattered it.	红色的岩石变成了白色的大理石和雪花石膏。以前的小溪哗哗直响，流淌在满是岩石的河道里，如今却在平滑的水渠里安静地流淌。一股清泉从水渠中奔流而下，下落时喷出一串串钻石般的水珠；在微风掠过时，水珠时而被吹到这里，时而被吹到那里。
Daisies and forget-me-nots fringed its brink, while tall hedges of roses and jasmine ringed it round, making the sweetest and daintiest bower imaginable.	小溪边上开满了雏菊和勿忘我，还有布满玫瑰和茉莉的高大篱笆环绕在它的四周，这一切使这里成为人们能想象得到的最甜蜜芳香的乘凉地。
To the right and left of the waterfall opened out a wonderful grotto, its walls and arches glittering with many-coloured rock-crystals, while in every niche were spread out strange fruits and sweetmeats, the very sight of which made the princess long to taste them.	在瀑布的后面有一个奇妙的洞穴，它的岩壁和拱门因装饰着五颜六色的水晶而闪闪发光，洞穴里到处都散落着珍奇的水果和蜜饯。公主看到这些，忍不住想尝尝。
She hesitated a while, however, scarcely able to believe her eyes, and not knowing if she should enter the enchanted spot or fly from it.	然而，她犹豫了一会儿，简直不敢相信自己的眼睛，不知道她是应该走进这个被施了魔法的洞穴，还是应该远离这里。
But at length curiosity prevailed, and she and her companions explored to their heart’s content, and tasted and examined everything, running hither and thither in high glee, and calling merrily to each other.	但是最终好奇心占了上风，她和同伴们在山洞里尽情地玩乐，尝遍了所有美味，看遍了整个洞穴，兴高采烈地互相追逐、呼喊。
At last, when they were quite weary, the princess cried out suddenly that nothing would content her but to bathe in the marble pool, which certainly did look very inviting; and they all went gaily to this new amusement.	最后，她们都玩累了，公主却突然大声说想在那个看起来很诱人的大理石水池里沐浴。所有人都开心地接受了这项新的娱乐方式。
The princess was ready first, but scarcely had she slipped over the rim of the pool when down—down—down she sank, and vanished in its depths before her frightened playmates could seize her by so much as a lock of her floating golden hair!	公主第一个准备好了，但她一走到水池边就滑倒了，跌进了水池里，并一直下沉——下沉——下沉，渐渐地没了踪影，她的同伴们都被吓坏了，甚至来不及抓住她漂在水面上的一缕金发！
Loudly did they weep and wail, running about the brink of the pool, which looked so shallow and so clear, but which had swallowed up their princess before their eyes.	她们大声地痛哭，围着水池乱转。水池看起来不深，水也十分清澈，可是公主却在她们眼前被这个水池吞没了。
They even sprang into the water and tried to dive after her, but in vain; they only floated like corks in the enchanted pool, and could not keep under water for a second.	她们甚至跳入水中，试着和公主一样下潜，但都是徒劳，她们只能像软木塞一样漂浮在被施了魔法的水池上，无法潜入水中一秒钟。
They saw at last that there was nothing for it but to carry to the king the sad tidings of his beloved daughter’s disappearance.	她们最后明白了，唯一能做的就是把爱女失踪的噩耗告诉国王。
And what great weeping and lamentation there was in the palace when the dreadful news was told!	听到这个可怕的消息，王宫上下悲痛欲绝，哭声一片。
The king tore his robes, dashed his golden crown from his head, and hid his face in his purple mantle for grief and anguish at the loss of the princess.	国王先是撕扯他的长袍，又从头上抓下金冠，猛地摔到地上，然后用紫色的披风遮住自己的脸，因失去公主而悲痛不已。
After the first outburst of wailing, however, he took heart and hurried off to see for himself the scene of this strange adventure, thinking, as people will in sorrow, that there might be some mistake after all.	在最初的恸哭过后，他又振作起来，急忙动身，要亲眼看看怪事发生的地方。正如处于悲痛中的人们那样，国王认为这有可能不是真的。
But when he reached the spot, behold, all was changed again!	但是当他赶到那里时，却发现所有的事物又变回了原样！
The glittering grotto described to him by the maidens had completely vanished, and so had the marble bath, the bower of jasmine; instead, all was a tangle of flowers, as it had been of old.	姑娘们向他描述的闪闪发光的山洞、大理石水池和茉莉花的凉亭都全部消失了，取而代之的是缠结在一起的花朵，和从前的景色一样。
The king was so much perplexed that he threatened the princess’s playfellows with all sorts of punishments if they would not confess something about her disappearance; but as they only repeated the same story he presently put down the whole affair to the work of some sprite or goblin, and tried to console himself for his loss by ordering a grand hunt; for kings cannot bear to be troubled about anything long.	国王被弄糊涂了，于是他用各种刑罚来威胁公主的玩伴，要她们说出公主失踪的实情，但是她们只是一再重复同样的故事，国王只得把整件事归咎于精灵或是妖怪。为了从失去公主的痛苦中恢复过来，国王安排了盛大的狩猎活动，因为国王无法忍受长期受到任何一件事情的困扰。
Meanwhile the princess was not at all unhappy in the palace of her elfish lover.	与此同时，公主在她那精灵爱慕者的宫殿里过得还不错。
When the water-nymphs, who were hiding in readiness, had caught her and dragged her out of the sight of her terrified maidens, she herself had not had time to be frightened.	水之女神们一直藏在水里，做好了准备，没等公主来得及感到害怕就抓住了她，将她拖出了惊恐的同伴们的视线之外。
They swam with her quickly by strange underground ways to a palace so splendid that her father’s seemed but a poor cottage in comparison with it, and when she recovered from her astonishment she found herself seated upon a couch, wrapped in a wonderful robe of satin fastened with a silken girdle, while beside her knelt a young man who whispered the sweetest speeches imaginable in her ear.	她们拽着她经过了一些神奇的地下通道，飞快地游进了一座十分华丽的宫殿。与这个宫殿相比，她父亲的王宫看起来就像是一个破旧的乡村小屋。当公主从震惊中恢复过来时，她发现自己坐在一个卧榻上，穿着极好的缎子做的长袍，身上还系着丝绸制的紧身腰带。她的旁边跪着一个青年，在她的耳边悄声细语着人们能想象得到的最甜蜜的情话。
The gnome, for he it was, told her all about himself and his great underground kingdom, and presently led her through the many rooms and halls of the palace, and showed her the rare and wonderful things displayed in them till she was fairly dazzled at the sight of so much splendour.	地精王向她讲述了关于自己和他那美丽的地下王国的一切，现在正领她参观宫殿的房间和大厅，并向她展示陈列在里面的稀奇物品，直到公主对这华丽的景象感到眼花缭乱才作罢。
On three sides of the castle lay a lovely garden with masses of gay, sweet flowers, and velvet lawns all cool and shady, which pleased the eye of the princess.	一个美丽的马蹄形花园围绕着宫殿，里面开满了芬芳鲜艳的花朵，还有天鹅绒般的草坪十分凉爽阴凉，令公主感到赏心悦目。
The fruit trees were hung with golden and rosy apples, and nightingales sang in every bush, as the gnome and the princess wandered in the leafy alleys, sometimes gazing at the moon, sometimes pausing to gather the rarest flowers for her adornment.	果树上挂着金灿灿、红润润的苹果，每棵灌木上都有夜莺在歌唱。地精王和公主在树木茂密的小径上漫步，他们时而望望月亮，时而停下采一些最稀有的花朵给公主作为装饰品。
And all the time he was thinking to himself that never, during the hundreds of years he had lived, had he seen so charming a maiden.	而他一直在想，活了几百年了，却从没有见过如此迷人的姑娘。
But the princess felt no such happiness; in spite of all the magic delights around her she was sad, though she tried to seem content for fear of displeasing the gnome.	但是公主却没有那么开心。尽管周围的一切都那么神奇，她仍觉得难过，但她还是尽力表现出一副心满意足的样子，生怕会惹地精王不高兴。
However, he soon perceived her melancholy, and in a thousand ways strove to dispel the cloud, but in vain.	但是，他很快就察觉出了公主的悲伤，并想尽办法要驱散她的愁云，可惜都是徒劳。
At last he said to himself: ‘Men are sociable creatures, like bees or ants.	最后他对自己说：“人类是好交际的生物，就像蜜蜂和蚂蚁一样。
Doubtless this lovely mortal is pining for company.	毫无疑问，这位可爱的姑娘渴望能有人作伴。
Who is there I can find for her to talk to?’	我能找谁来陪她聊天呢？”
Thereupon he hastened into the nearest field and dug up a dozen or so of different roots—carrots, turnips, and radishes—and laying them carefully in an elegant basket brought them to the princess, who sat pensive in the shade of the rose-bower.	于是，他急忙来到最近的田地，挖了十来个不同种类的萝卜——有胡萝卜、萝卜，还有小萝卜——他小心翼翼地把它们放在一个精致的篮子里，然后把篮子拿给坐在玫瑰凉亭下郁郁不乐的公主。
‘Loveliest daughter of earth,’ said the gnome, ‘banish all sorrow; no more shall you be lonely in my dwelling.	“大地最美丽的女儿，”地精王说，“忘记所有的悲伤吧，住在这里你再也不会孤单寂寞了。
In this basket is all you need to make this spot delightful to you.	这个篮子里有一切能让你在这里过得开心的东西。
Take this little many-coloured wand, and with a touch give to each root the form you desire to see.’	拿着这根彩色的魔杖，用它点一下萝卜，你就能得到想要的东西。”
With this he left her, and the princess, without an instant’s delay, opened the basket, and touching a turnip, cried eagerly: ‘Brunhilda, my dear Brunhilda! come to me quickly!’	说完他便离开了她。公主立即打开篮子，点着一个萝卜，急切地喊道：“布伦希尔达，我亲爱的布伦希尔达！快来到我的身边！”
And sure enough there was Brunhilda, joyfully hugging and kissing her beloved princess, and chattering as gaily as in the old days.	果真，布伦希尔达出现了，高兴地拥抱和亲吻她心爱的公主，两人像往日一样愉快地聊了起来。
This sudden appearance was so delightful that the princess could hardly believe her own eyes, and was quite beside herself with the joy of having her dear playfellow with her once more.	这突然的一幕让公主十分开心，她简直不敢相信自己的眼睛，并且为自己喜爱的玩伴再一次陪伴在自己身边而欣喜若狂。
Hand in hand they wandered about the enchanted garden, and gathered the golden apples from the trees, and when they were tired of this amusement the princess led her friend through all the wonderful rooms of the palace, until at last they came to the one in which were kept all the marvellous dresses and ornaments the gnome had given to his hoped-for bride.	她们手牵着手在被施了魔法的花园里漫步，还从树上采摘金苹果。等她们玩累了，公主就领着她的朋友参观宫殿里所有奇异的房间，直到最后她们来到一个摆满了美丽的裙子和饰物的房间，这些都是地精王为他心目中的新娘准备的。
There they found so much to amuse them that the hours passed like minutes.	她们在这里津津有味地玩着，几个小时不知不觉地就过去了。
Veils, girdles, and necklaces were tried on and admired, the imitation Brunhilda knew so well how to behave herself, and showed so much taste that nobody would ever have suspected that she was nothing but a turnip after all.	她们试穿上那些面纱、腰带和项链，并不断赞叹着，假冒的布伦希尔达知道如何使自己举止得体，而且她的品位不俗，没有人会怀疑她其实就是一个萝卜而已。
The gnome, who had secretly been keeping an eye upon them, was very pleased with himself for having so well understood the heart of a woman; and the princess seemed to him even more charming than before.	地精王一直偷偷地看着她们，对于自己能很好地了解女人的心思感到十分得意。在他眼里，公主比以前更加迷人了。
She did not forget to touch the rest of the roots with her magic wand, and soon had all her maidens about her, and even, as she had two tiny radishes to spare, her favourite cat, and her little dog whose name was Beni.	她没有忘记用神奇的魔杖点一点剩下的萝卜，她所有的玩伴不一会儿就都来到她的身边。她甚至用余下的两根小萝卜变成了她最心爱的猫和一只叫贝尼的小狗。
And now all went cheerfully in the castle.	现在所有人都高兴地走进了宫殿。
The princess gave to each of the maidens her task, and never was mistress better served.	公主给每个人都分配了任务，并得到了很好的服侍，从没有一个女主人能享受到比这更好的服侍了。
For a whole week she enjoyed the delight of her pleasant company undisturbed.	整整一个星期，公主都很享受和同伴在一起的宁静的快乐。
They all sang, they danced, they played from morning to night; only the princess noticed that day by day the fresh young faces of her maidens grew pale and wan, and the mirror in the great marble hall showed her that she alone still kept her rosy bloom, while Brunhilda and the rest faded visibly.	她们唱歌跳舞，从早玩到晚。只是公主注意到同伴们年轻娇嫩的面庞正一天天地变得苍白黯淡，她从大理石大厅的镜子里看到只有自己还有红润的面庞，而布伦希尔达和其他人都明显变得憔悴了。
They assured her that all was well with them; but, nevertheless, they continued to waste away, and day by day it became harder to them to take part in the games of the princess, till at last, one fine morning, when the princess started from bed and hastened out to join her gay playfellows, she shuddered and started back at the sight of a group of shrivelled crones, with bent backs and trembling limbs, who supported their tottering steps with staves and crutches, and coughed dismally.	她们向她保证，她们一切都好，但她们还是不断地变得憔悴。对她们来说，和公主一起做游戏变得一天比一天艰难。直到一个晴朗的早上，公主起床后，匆忙跑到外面去找快乐的同伴们，可眼前的景象却让她吓得一颤，不禁倒退了几步。她的眼前是一群干瘪的丑老太婆，弯腰驼背，四肢抖个不停。她们手持拐杖，走路摇摇晃晃的，还剧烈地咳嗽着。
A little nearer to the hearth lay the once frolicsome Beni, with all four feet stretched stiffly out, while the sleek cat seemed too weak to raise his head from his velvet cushion.	壁炉前面躺着曾经喜欢嬉戏的贝尼，现在却僵硬地伸展着四肢，而皮毛平滑的小猫已经虚弱得无法把头从天鹅绒的垫子上抬起来了。
The horrified princess fled to the door to escape from the sight of this mournful company, and called loudly for the gnome, who appeared at once, humbly anxious to do her bidding.	惊恐的公主向门飞奔过去，想要逃离眼前这些可怜的同伴。她大声呼喊着地精王，地精王便马上出现了，一副谦卑的样子，很乐意听从她的吩咐。
‘Malicious Sprite,’ she cried, ‘why do you begrudge me my playmates —the greatest delight of my lonely hours?	“恶毒的精灵，”她喊道，“为什么嫉恨我的同伴——她们在我孤独的时候给了我最大的快乐。
Isn’t this solitary life in such a desert bad enough without your turning the castle into a hospital for the aged?	在这个如荒漠般的地方独自生活已经够糟糕了，你居然还想把宫殿变成一个老人医院？
Give my maidens back their youth and health this very minute, or I will never love you!’	马上把我同伴们的青春和健康还给她们，不然我永远都不会爱你！”
‘Sweetest and fairest of damsels,’ cried the gnome, ‘do not be angry; everything that is in my power I will do—but do not ask the impossible.	“最温柔美丽的少女啊，”地精王叫道，“不要生气，只要我能做到的，我都会去做——但请别要求我去做我做不到的事情。
So long as the sap was fresh in the roots the magic staff could keep them in the forms you desired, but as the sap dried up they withered away.	只要萝卜的汁液是新鲜的，魔杖就能留住你想要的东西，但如果萝卜干瘪了，你的同伴们也会随之枯萎。
But never trouble yourself about that, dearest one, a basket of fresh turnips will soon set matters right, and you can speedily call up again every form you wish to see.	但是别为这个烦恼，我最亲爱的，另一篮新鲜的萝卜很快就能解决问题，你很快就又能召唤你想见的人了。
The great green patch in the garden will prove you with a more lively company.’	花园里的绿色菜地会给你带来更加快活的同伴。”
So saying the gnome took himself off.	说完，地精王就离开了。
And the princess with her magic wand touched the wrinkled old women, and left them the withered roots they really were, to be thrown upon the rubbish heap; and with light feet skipped off across to the meadow to take possession of the freshly filled basket.	公主用魔杖点了点布满皱纹的老妇人们，将她们变回了干萝卜，恢复了它们的本来面目，然后把它们扔进了垃圾堆。她迈着轻松的步伐，蹦蹦跳跳地来到草地去取装满新鲜萝卜的篮子。
But to her surprise she could not find it anywhere.	但奇怪的是，她到处都找不到那个篮子。
Up and down the garden she searched, spying into every corner, but not a sign of it was to be found.	她把花园上上下下都搜了个遍，仔细检查了每一个角落，但都没有发现篮子的踪影。
By the trellis of grape vines she met the gnome, who was so much embarrassed at the sight of her that she became aware of his confusion while he was still quite a long way off.	她在葡萄藤架旁遇见了地精王，他看起来十分尴尬，而他还在很远处时，公主就看出了他的窘迫。
‘You are trying to tease me,’ she cried, as soon as she saw him.	“你在戏弄我。”她一看见他就叫道，
‘Where have you hidden the basket?	“你把篮子藏哪里去了？
I have been looking for it at least an hour.’	我已经找了至少有一个小时了。”
‘Dear queen of my heart,’ answered he, ‘I pray you to forgive my carelessness.	“我心中的女王，”他答道，“我祈求你能原谅我的粗心大意。
I promised more than I could perform.	我刚才说了大话。
I have sought all over the land for the roots you desire; but they are gathered in, and lie drying in musty cellars, and the fields are bare and desolate, for below in the valley winter reigns, only here in your presence spring is held fast, and wherever your foot is set the gay flowers bloom.	为了找到你想要的萝卜，我寻遍了整片土地，但萝卜都已经被收走，堆放在发霉的地下室里枯萎了。因为地下山谷正值冬天，田地都光秃秃的，一片荒芜，只有你在的地方才是春天，无论你走到哪里，鲜艳的花朵都会开放。
Have patience for a little, and then without fail you shall have your puppets to play with.’	请耐心等一下，你一定可以和同伴们一起玩的。”
Almost before the gnome had finished, the disappointed princess turned away, and marched off to her own apartments, without deigning to answer him.	还没等地精王说完，失望的公主就转身走开了，快步回到自己的房间，根本没有理睬他。
The gnome, however, set off above ground as speedily as possible, and disguising himself as a farmer, bought an ass in the nearest market-town, and brought it back loaded with sacks of turnip, carrot, and radish seed.	然而，地精王还是立马动身来到地面上，乔装成一个农夫，在最近的集市上买了一头驴子，让它驮着几袋萝卜、胡萝卜和小萝卜的种子回去了。
With this he sowed a great field, and sent a vast army of his goblins to watch and tend it, and to bring up the fiery rivers from the heart of the earth near enough to warm and encourage the sprouting seeds.	他把种子播种在一大片田地里，并派出妖精大军去照料这块地，还令它们将地心炽热的河流引到附近来温暖发芽的种子，促进种子生长。
Thus fostered they grew and flourished marvellously, and promised a goodly crop.	因此，它们长势很好，丰收在望。
The princess wandered about the field day by day, no other plants or fruits in all her wonderful garden pleased her as much as these roots; but still her eyes were full of discontent.	公主每天都到田地里徘徊。除了萝卜，美丽的菜园里没有任何植物或水果能取悦她，但她的眼神还是充满了不满。
And, best of all, she loved to while away the hours in a shady fir-wood, seated upon the bank of a little stream, into which she would cast the flowers she had gathered and watch them float away.	心情好的时候，她喜欢来到冷杉林中，在树阴下消磨时光。她会坐在小溪的河岸上，把采来的花朵撒入水中，看着它们越漂越远。
The gnome tried hard by every means in his power to please the princess and win her love, but little did he guess the real reason of his lack of success.	地精王使出浑身解数来取悦公主，想要赢得她的爱，但他并没有猜到自己失败的真正原因。
He imagined that she was too young and inexperienced to care for him; but that was a mistake, for the truth was that another image already filled her heart.	他以为公主还太年轻，还没经历过爱情，所以没有爱上他，但是他错了，事实是公主已经爱上了另一个人。
The young Prince Ratibor, whose lands joined her father’s, had won the heart of the princess; and the lovers had been looking forward to the coming of their wedding-day when the bride’s mysterious disappearance took place.	邻国的年轻王子拉蒂博尔就是赢得公主芳心的那个人。这一对恋人原本一直盼望着婚礼那一天的到来，而就在这时公主却神秘失踪了。
The sad news drove Ratibor distracted, and as the days went on, and nothing could be heard of the princess, he forsook his castle and the society of men, and spent his days in the wild forests, roaming about and crying her name aloud to the trees and rocks.	这个坏消息使拉蒂博尔心烦意乱，而一天天过去了，公主还是一点儿消息都没有。于是他离开了城堡和臣民，在荒山野林里消磨时间，一边四处游荡，一边对着大树和岩石大声呼喊她的名字。
Meanwhile, the maiden, in her gorgeous prison, sighed in secret over her grief, not wishing to arouse the gnome’s suspicions.	与此同时，公主则被困在金碧辉煌的牢房里，为了不引起地精王的怀疑，她只能偷偷地叹息自己的不幸。
In her own mind she was wondering if by any means she might escape from her captivity, and at last she hit upon a plan.	她心想，无论如何都要逃出去。最后她突然想到了一个方法。
