"This Flower ","花朵"
"It sounded so near she wouldn’t have been surprised if the doctor were turning the handle.","琴声离得那么近，如果说是医生在转动那木柄，她一点儿也不会觉得奇怪。"
"She saw Roy’s smile deepen; his eyes took fire.","她看见罗伊的微笑加深了；他的眼睛在发光。"
"He gave a little “Ah!” of relief and happiness.","“啊！”他轻声地吐露他的宽慰和快乐。"
"And just for one moment he allowed himself to gaze at her without caring a jot whether the doctor saw or not, drinking her up with that gaze she knew so well, as she stood tying the pale ribbons of her camisole and drawing on the little purple cloth jacket.","有那么一小会儿，他由着自己高兴，盯着她看，一点儿也不在乎是不是给旁边的医生看到了。她站在那里系上背心上的灰色丝带，穿上那件小小的紫色布料外衣的时候，他只顾盯着她看，那种恨不得一口把她吞下去的眼神，她是十分熟悉的。"
"He jerked back to the doctor, “She shall go away.","他转身对医生说：“她要出门了。"
"She shall go away to the sea at once,” said he, and then, terribly anxious, “What about her food?”","她马上就要到海边去。”接着，，他又很焦虑地问：“那么她的饮食应该怎么安排呢？”"
"At that, buttoning her jacket in the long mirror, she couldn’t help laughing at him.","那个时候，她正对着长镜扣上衣的扣子，一听这话，忍不住朝他笑了。"
"“That’s all very well,” he protested, laughing back delightedly at her and at the doctor.","“这可好得很。”他断言道，高兴地回她一笑，又笑着对医生说，"
"“But if I didn’t manage her food, doctor, she’d never eat anything but caviare sandwiches and—and white grapes.","“如果我不安排好她的食物的话，医生，她可什么都不吃，只吃鱼子酱三明治——和白葡萄。"
"About wine—oughtn’t she to have wine?”","关于酒呢——该不该让她喝点儿酒？”"
"Wine would do her no harm.","酒对她的健康没有什么危害。"
"“Champagne,” pleaded Roy.","“香槟呢？”罗伊恳求似的问道。"
"How he was enjoying himself!","他是多么开心得意啊！"
"“Oh, as much champagne as she likes,” said the doctor, “and a brandy and soda with her lunch if she fancies it.”","“哦，她想喝多少香槟就让她喝多少好了，”医生说，“还有兑了苏打水的白兰地，只要她吃饭的时候爱喝就行了。”"
"Roy loved that; it tickled him immensely.","罗伊就爱那样；他高兴得心里直痒痒。"
"“Do you hear that?” he asked solemnly, blinking and sucking in his cheeks to keep from laughing.","“你听到了吧？”他严肃地说，又是眨眼睛，又是吮吸腮帮子，好让自己不笑出来，"
"“Do you fancy a brandy and soda?”","“你喜欢兑了苏打水的白兰地吗？”"
"And, in the distance, faint and exhausted, the barrel-organ:","在远处，传来了微弱的、精疲力竭的手摇风琴声："
"A brandy and so-da,","一杯兑了苏打水的白兰地，"
"A brandy and soda, please!","请来一杯兑了苏打水的白兰地！"
"A brandy and soda, please!","请来一杯兑了苏打水的白兰地！"
"The doctor seemed to hear that, too.","医生好像也听到了那琴声。"
"He shook hands with her and Roy went with him into the passage to settle his fee.","他跟她握了手，然后罗伊跟他到走廊上商量费用的事情去了。"
"She heard the front door close and then—rapid, rapid steps along the passage.","她听到大门关上的声音——然后是一阵飞快的、飞快的脚步声从走廊上传来。"
"This time he simply burst into her room, and she was in his arms, crushed up small while he kissed her with warm quick kisses, murmuring between them, “My darling, my beauty, my delight.","这次，他直接冲进了她的房间，把她搂进怀中，把她挤成了个小不点儿；同时，他一边热烈地、不停地亲吻她，一边喃喃自语：“我亲爱的，我的美人，我的快乐啊！"
"You’re mine, you’re safe.”","你是我的，你现在安全了。”"
"And then three soft groans.","接着是三声轻柔的叹气声。"
"“Oh!","“啊！"
"Oh!","啊！"
"Oh! the relief!”","啊！这下总算放心了！”"
"Still keeping his arms round her he leant his head against her shoulder as though exhausted.","他仍然抱着她不放，却把头放在她的肩上，好像他已经筋疲力尽了。"
"“If you knew how frightened I’ve been,” he murmured.","“你不知道吧，我心里一直多么紧张啊！”他喃喃低语，"
"“I thought we were in for it this time.","“我以为我们这回是过不去了。"
"I really did.","我真是那么想的。"
"And it would have been so—fatal—so fatal!”","这本来可能是——如此——如此致命的事啊！”"

