"作品德意志军团里忧郁的轻骑兵（托马斯·哈代经典悲情小说）短简介英俊的德国轻骑兵为何面带忧郁？英国少女菲利斯和德国士兵之间发生了怎样的故事？菲利斯死后埋在了两位德意志军团轻骑兵的墓冢边？她与他们之间的悲情往事也随之尘封在岁月中。长简介《德意志军团里忧郁的轻骑兵》选自哈代短篇小说集《威塞克斯故事集》，作者采用回忆的形式讲述了英国乡村女孩菲利斯和德意志军团里一位轻骑兵之间哀婉动人的爱情故事。菲利斯在自家的花园墙边与德国士兵马托伊斯相识相爱，两人决定一起私奔回马托伊斯的故乡。但在离开的前夕，菲利斯误信了悔婚的未婚夫的话，放弃了先前的计划，而马托伊斯也因逃跑被军队处决。一对有情人因为命运的捉弄而终于生死两隔，这反映了哈代作品中一贯出现的主题——人物和环境的冲突以及命运的偶然性和悲剧性。关键词德意志军团里忧郁的轻骑兵；托马斯·哈代；外研社编译组；短篇；爱情；私奔；悲剧作者（英）托马斯·哈代作者简介托马斯·哈代（1840—1928），英国诗人和小说家，一生共发表了近20部长篇小说，其中最著名的作品有《德伯家的苔丝》、《无名的裘德》、《还乡》和《卡斯特桥市长》，此外还有许多以“威塞克斯故事”为总名的中短篇小说以及长篇史诗剧《列王》。书评这不是悲观主义者的叹息，而是博爱主义者的呐喊和对爱的召唤。他的小说没有那种直射人心的光芒，他的小说中的光芒是向外投射的，照亮的是荒野和树木，而他笔下的人物越远离人群而变得孤苦伶仃时，他们的个性便越鲜明、越突出。——弗吉尼亚·伍尔夫"

"The Melancholy Hussar of the German Legion","德意志军团里忧郁的轻骑兵"
"A sound like luggage thrown down from the coach was a gun far away at sea; and what looked like a tall man by the gate at dusk was a yew bush cut into a quaint and attenuated shape.","那仿佛是行李从马车上卸下来的声音，只不过是远处海面上的枪响；那暮色中看似出现在门边的高个人影，只不过是紫杉树枝杈被剪成了古雅消瘦的模样。"
"There is no such solitude in country places now as there was in those old days.","在如今的乡村里，再也找不到昔日那样幽静的地方了。"
"Yet all the while King George and his court were at his favourite sea-side resort, not more than five miles off.","然而，乔治国王和他的随从一直停留在那个他最喜欢的海边行宫，那地方离这里不过五英里。"
"The daughter’s seclusion was great, but beyond the seclusion of the girl lay the seclusion of the father.","女儿平时深居简出，但是比起深闺中的女儿，父亲的隐居生活更加封闭。"
"If her social condition was twilight, his was darkness.","倘若将女儿的社交生活比作暮光般暗淡，那么父亲的社交生活就好比是夜晚般黑暗了。"
"Yet he enjoyed his darkness, while her twilight oppressed her.","不过他倒是很享受这样的暗夜般的生活，而他女儿却为自己的灰暗的日子而感到压抑。"
"Dr. Grove had been a professional man whose taste for lonely meditation over metaphysical questions had diminished his practice till it no longer paid him to keep it going; after which he had relinquished it and hired at a nominal rent the small, dilapidated, half farm half manor-house of this obscure inland nook, to make a sufficiency of an income which in a town would have been inadequate for their maintenance.","格罗夫医生曾经是个职业医生，但是他迷上了一度独自思考玄学问题，这使他的出诊次数大幅减少，最后他终于不能靠这份职业维持生计。于是他便放弃了这份工作，名义上交付了一笔租金，在内地这个偏僻的角落寻得一个又小又旧的、半是别墅半是农场的住处，这样一来，他便有了足够的收入来源，倘若在城镇里，这点儿收入还不足以维持基本生活呢。"
"He stayed in his garden the greater part of the day, growing more and more irritable with the lapse of time, and the increasing perception that he had wasted his life in the pursuit of illusions.","一天中的大部分时间，他都呆在花园里，随着时光的流逝，他变得越来越焦躁；频频出现的因追求幻想而虚度人生的想法也让他十分烦躁。"
"He saw his friends less and less frequently.","他去拜访朋友的次数越来越少了。"
"Phyllis became so shy that if she met a stranger anywhere in her short rambles she felt ashamed at his gaze, walked awkwardly, and blushed to her shoulders.","菲利斯变得非常害羞，倘若她在短暂的外出时遇到了生人，别人的凝视都会让她害臊，走路的姿势就会变得别扭起来，整个脸都羞红了，一直红到肩膀。"
"Yet Phyllis was discovered even here by an admirer, and her hand most unexpectedly asked in marriage.","不过就算如此，菲利斯也有了一位仰慕者，并且出乎意料地向她求了婚。"
"The King, as aforesaid, was at the neighbouring town, where he had taken up his abode at Gloucester Lodge and his presence in the town naturally brought many county people thither.","正如上文所说，国王就在附近的镇上，下榻在格洛斯特旅馆，他在镇上的出现自然引来了很多郡上百姓前来看热闹。"
"Among these idlers—many of whom professed to have connections and interests with the Court—was one Humphrey Gould, a bachelor; a personage neither young nor old; neither good-looking nor positively plain.","在这些游手好闲的人中，很多人都声称自己与宫廷有关系，对皇家轶事很有兴趣，其中就有汉弗莱·古尔德。他是一个单身汉，年龄不算年轻但也不老，相貌不算英俊却绝非平庸。"
"Too steady-going to be ‘a buck’ (as fast and unmarried men were then called), he was an approximately fashionable man of a mild type.","他行事稳重，没法给他扣上“花花公子”的帽子（当时很多单身汉都被这样称呼），他算是一个性情温和、比较时髦的人 。"
"This bachelor of thirty found his way to the village on the down: beheld Phyllis; made her father’s acquaintance in order to make hers; and by some means or other she sufficiently inflamed his heart to lead him in that direction almost daily; till he became engaged to marry her.","这位时年30岁的单身汉，在去丘陵上的村子走的路上邂逅了菲利斯，为了能认识她，他去结识了她的父亲。她以某种方式燃起他心中的火焰，他几乎每天都登门拜访，直到最终与她订婚。"
"As he was of an old local family, some of whose members were held in respect in the county, Phyllis, in bringing him to her feet, had accomplished what was considered a brilliant move for one in her constrained position.","由于他来自当地一个古老的家庭，一些家族成员在郡上颇具声望，菲利斯能让他拜倒在自己的裙下，这对于像她这样身处受约束地位的人来说，可谓是个明智之举。"
"How she had done it was not quite known to Phyllis herself.","至于菲利斯如何做到这一点的，连她自己都不知道。"
"In those days unequal marriages were regarded rather as a violation of the laws of nature than as a mere infringement of convention, the more modern view, and hence when Phyllis, of the watering-place bourgeoisie, was chosen by such a gentlemanly fellow, it was as if she were going to be taken to heaven, though perhaps the uninformed would have seen no great difference in the respective positions of the pair, the said Gould being as poor as a crow.","在那个时代，门不当户不对的婚姻被看成是违背了自然法则，而不是更现代一点儿的看法所认为的那样，仅仅是违反了社会风俗。因此，当来自海滨中产阶级的菲利斯被一位绅士选为妻子时，就好比是她被带到了天堂，而也许只有不知情的人才会发现，其实这一对夫妻在各自的地位上并无太大差异，据说是因为古尔德一贫如洗。"
"This pecuniary condition was his excuse—probably a true one—for postponing their union, and as the winter drew nearer, and the King departed for the season, Mr. Humphrey Gould set out for Bath, promising to return to Phyllis in a few weeks.","窘迫的财务状况是他推迟结婚仪式的理由，这个理由多半不是假话。随着冬天的临近，国王为了避寒离开了这个地方，汉弗莱·古尔德先生则动身前往巴斯，并保证几周以后就回到菲利斯身边。"
"The winter arrived, the date of his promise passed, yet Gould postponed his coming, on the ground that he could not very easily leave his father in the city of their sojourn, the elder having no other relative near him.","冬天来了，古尔德许诺过的归期已经过去了，而他却推迟了自己回来的日子，并解释说他无法把自己的父亲一个人留在他们旅居的城市里，因为老人身边没有别的亲戚了。"
"Phyllis, though lonely in the extreme, was content.","菲利斯虽然一个人十分孤单，但心里还是满足的。"
"The man who had asked her in marriage was a desirable husband for her in many ways; her father highly approved of his suit; but this neglect of her was awkward, if not painful, for Phyllis.","向她求婚的这个人，在很多方面对她来说，都是一位理想的丈夫。她父亲就十分赞成他的求婚。但是父亲对自己的这种冷淡态度给她带来的就算不是痛苦，也是一种尴尬的感觉。"
"Love him in the true sense of the word she assured me she never did, but she had a genuine regard for him; admired a certain methodical and dogged way in which he sometimes took his pleasure; valued his knowledge of what the Court was doing, had done, or was about to do; and she was not without a feeling of pride that he had chosen her when he might have exercised a more ambitious choice.","她告诉我，她从来没有真正爱过他，但她对他所怀的尊敬之情是千真万确的。她仰慕他，以某种颇有条理却又固执的方式，让他十分受用；她看重他对皇家事务的见解，他知道宫廷里正在发生的事、已经发生的事和即将发生的事；她对于他选自己为妻深感骄傲，因为他本可以有更好的选择。"
"But he did not come; and the spring developed.","但是他还是没有回来，而春天已经到来了。"
"His letters were regular though formal; and it is not to be wondered that the uncertainty of her position, linked with the fact that there was not much passion in her thoughts of Humphrey, bred an indescribable dreariness in the heart of Phyllis Grove.","他的来信很频繁，但是措词很正式。她所处的地位变得不那么确定了，而她想起汉弗莱的时候心中也没有多少热情了，难怪菲利斯·格罗夫心中会滋生一种莫名的凄凉。"
"The spring was soon summer, and the summer brought the King; but still no Humphrey Gould.","春天很快就变成了夏天，国王在夏天又回到了这里，但是汉弗莱·古尔德依旧没有回来。"
"All this while the engagement by letter was maintained intact.","在这期间，一纸婚约就靠来信维系着。"
"At this point of time a golden radiance flashed in upon the lives of people here, and charged all youthful thought with emotional interest.","就在此时，一道金色的光芒照射了这里人们的生活，给所有年轻的头脑带来了热情洋溢的乐趣。"
"This radiance was the aforesaid York Hussars.","这道光芒便是上文提到过的约克轻骑兵。"

"Chapter II","第二章"
"The present generation has probably but a very dim notion of the celebrated York Hussars of ninety years ago.","现今这代人也许对90年前著名的约克轻骑兵知之甚少。"
"They were one of the regiments of the King’s German Legion, and (though they somewhat degenerated later on) their brilliant uniform, their splendid horses, and above all, their foreign air and mustachios (rare appendages then), drew crowds of admirers of both sexes wherever they went.","他们隶属于皇家德意志兵团，虽然后来这支军队有所没落，但在当时，他们漂亮的制服和俊美的马匹，更重要的是，他们浑身上下散发出的异域气息和别致的髭须（当时这样的装饰并不常见），让他们无论走到哪里，都有一大群男女仰慕者。"
"These with other regiments had come to encamp on the downs and pastures, because of the presence of the King in the neighbouring town.","这些士兵和其他兵团一起来到这里的丘陵和草地安营扎寨，因为国王下榻在附近的镇上。"
"The spot was high and airy, and the view extensive, commanding the Isle of Portland in front, and reaching to St. Aldhelm’s Head eastward, and almost to the Start on the west.","此地地势偏高，空气清新，视野开阔，可以俯视前方的波特兰岛，向东延伸到圣奥尔德海姆岬，向西几乎要抵达斯塔特角。"
"Phyllis, though not precisely a girl of the village, was as interested as any of them in this military investment.","菲利斯虽然算不上是当地的姑娘，但是却和她们一样，对驻防的军队很感兴趣。"
"Her father’s home stood somewhat apart, and on the highest point of ground to which the lane ascended, so that it was almost level with the top of the church tower in the lower part of the parish.","她父亲的房子离军队驻地比较远，坐落在小路尽头的最高点上，几乎与位于郊区低洼处的教堂塔楼的顶端平齐。"
"Immediately from the outside of the garden-wall the grass spread away to a great distance, and it was crossed by a path which came close to the wall.","花园围墙外的草地一直延伸到远方，一条小径从离围墙不远的地方横穿过草地。"
"Ever since her childhood it had been Phyllis’s pleasure to clamber up this fence and sit on the top—a feat not so difficult as it may seem, the walls in this district being built of rubble, without mortar, so that there were plenty of crevices for small toes.","自孩提时代起，菲利斯就很喜欢爬到围墙顶上，坐在那里——这举动看似困难，实则很轻巧，因为这一带的围墙都是由碎石砌成的，没有使用灰泥来涂抹，所以墙中有很多细缝，可以为纤小的脚趾提供落脚之处。"
"She was sitting up here one day, listlessly surveying the pasture without, when her attention was arrested by a solitary figure walking along the path.","有一天，她坐在那片高地上，百无聊赖地打量着墙外的草地，这时她注意到一个孤单的身影徘徊在小径上。"
"It was one of the renowned German Hussars, and he moved onward with his eyes on the ground, and with the manner of one who wished to escape company.","这是一个士兵的身影，他来自那支著名的德意志兵团，他一边往前走，一边注视着地面，那样子看上去不希望有人陪伴。"
"His head would probably have been bent like his eyes but for his stiff neck-gear.","要是没有脖子边的硬领，他的脑袋也许会和他的目光一样低垂着。"
"On nearer view she perceived that his face was marked with deep sadness.","当他走近一些，她注意到他的脸上满是深深的忧伤。"
"Without observing her, he advanced by the footpath till it brought him almost immediately under the wall.","他没有看到她，继续沿着小径往前走，就快要走到墙根下了。"
"Phyllis was much surprised to see a fine, tall soldier in such a mood as this.","菲利斯看到这样一位英俊高大的士兵怀着如此忧郁的心情，感到十分惊讶。"
"Her theory of the military, and of the York Hussars in particular (derived entirely from hearsay, for she had never talked to a soldier in her life), was that their hearts were as gay as their accoutrements.","依据她对军队的认识，特别是对轻骑兵的认识（这种认识完全是来自传闻，因为她本人长这么大还从没有跟士兵说过话），他们的情绪应该跟他们的装束一样，是活泼快乐的。"
"At this moment the Hussar lifted his eyes and noticed her on her perch, the white muslin neckerchief which covered her shoulders and neck where left bare by her low gown, and her white raiment in general, showing conspicuously in the bright sunlight of this summer day.","就在这时，这位轻骑兵抬起了眼睛，看到她高高地坐在那里，身穿一件低领的长袍，肩膀和脖子裸露出来的地方被一件白色棉布围巾裹住了，这一身白色的衣装，在夏日明媚的阳光下十分显眼。"
"He blushed a little at the suddenness of the encounter, and without halting a moment from his pace passed on.","忽然见到她，他的脸略微有点儿红，不过他并没有停下脚步，而是继续往前走。"
"All that day the foreigner’s face haunted Phyllis; its aspect was so striking, so handsome, and his eyes were so blue, and sad, and abstracted.","那一天，这个陌生人的脸庞始终萦绕在菲利斯的脑海里。那面容是那么英俊，那么吸引人；那双眼是那么湛蓝，那么忧伤，那么心不在焉。"
"It was perhaps only natural that on some following day at the same hour she should look over that wall again, and wait till he had passed a second time.","后来的某一天，或许只是很自然的举动，她在同样的时间向围墙外望去，等候他再次路过。"
"On this occasion he was reading a letter, and at the sight of her his manner was that of one who had half expected or hoped to discover her.","这一次，他正在读一封信，当他看见她时，他的表现像是他期盼或者说是希望遇见她。"
"He almost stopped, smiled, and made a courteous salute.","他几乎停了下来，笑了笑，恭敬地行礼。"
"The end of the meeting was that they exchanged a few words.","这次见面结束的时候，他们交谈了几句。"
"She asked him what he was reading, and he readily informed her that he was re-perusing letters from his mother in Germany; he did not get them often, he said, and was forced to read the old ones a great many times.","她问他在读什么，他立刻回答说他在重读他母亲从德国寄来的信。他说，自己不是经常收到家书，所以不得不将旧书信反复阅读好几遍。"
"This was all that passed at the present interview, but others of the same kind followed.","这场谈话的内容不过就是这些，然而之后两人又有了多次类似的交谈。"
"Phyllis used to say that his English, though not good, was quite intelligible to her, so that their acquaintance was never hindered by difficulties of speech.","菲利斯常说，他的英语虽然不太流利，但她是可以听懂的，所以两人之间的熟识没有因语言难题而遭遇障碍。"
"Whenever the subject became too delicate, subtle, or tender, for such words of English as were at his command, the eyes no doubt helped out the tongue, and—though this was later on—the lips helped out the eyes.","不论何时，倘若谈论的话题对于他所掌握的英文来说太细致、太微妙，或者太温柔，眼睛毫无疑问弥补了嘴巴的拙劣，而且——虽然这已经是以后的事情了——嘴唇又反过来弥补了眼神交流的不足。"
"In short this acquaintance, unguardedly made, and rash enough on her part, developed and ripened.","总之，毫无防备下的相识对于她来说是有些鲁莽，但两人的关系却不断发展，日渐成熟。"
"Like Desdemona, she pitied him, and learnt his history.","就像苔丝狄蒙娜一样，她同情他，也了解到了他的过去。"
"His name was Matthäus Tina, and Saarbrück his native town, where his mother was still living.","他的名字叫马托伊斯·蒂纳，他的家乡是萨尔布吕肯，他的母亲现在还住在那里。"
"His age was twenty-two, and he had already risen to the grade of corporal, though he had not long been in the army.","他那时22岁，虽然从军时间不长，却已被提拔为下士。"
"Phyllis used to assert that no such refined or well-educated young man could have been found in the ranks of the purely English regiments, some of these foreign soldiers having rather the graceful manner and presence of our native officers than of our rank and file.","菲利斯曾经感叹道，在纯粹英国人的兵团中是不可能存在这样一位文雅又受过良好教育的年轻人的，一些外国士兵，比起英国士兵来说，更有英国军官的优雅举止和翩翩风度。"
"She by degrees learnt from her foreign friend a circumstance about himself and his comrades which Phyllis would least have expected of the York Hussars.","她渐渐从这位外国朋友这里了解到了他和他的同伴们所处的环境，在这之前菲利斯对约克轻骑兵的生活几乎一无所知。"
"So far from being as gay as its uniform, the regiment was pervaded by a dreadful melancholy, a chronic home-sickness, which depressed many of the men to such an extent that they could hardly attend to their drill.","与他们的活泼而欢快的制服不一样，这支队伍笼罩着强烈的忧郁之情，长年累月的思乡之苦让很多人十分沮丧，以至于他们几乎不能参加日常军事训练。"
"The worst sufferers were the younger soldiers who had not been over here long.","影响最严重的是那些年轻一点儿的新兵，他们入伍的时间还不长。"
"They hated England and English life; they took no interest whatever in King George and his island kingdom, and they only wished to be out of it and never to see it any more.","他们憎恶英国，憎恶英国的生活，他们对于乔治国王和他的岛国没有一丝兴趣，他们只希望离开这里，永远也不要再看见这个地方。"
"Their bodies were here, but their hearts and minds were always far away in their dear fatherland, of which—brave men and stoical as they were in many ways—they would speak with tears in their eyes.","他们虽然身在此地，却心系故乡，一提起那里——虽然他们在很多方面都是勇敢坚强的男子汉——他们的眼中就会充满泪花。"
"One of the worst of the sufferers from this home-woe, as he called it in his own tongue, was Matthäus Tina, whose dreamy musing nature felt the gloom of exile still more intensely from the fact that he had left a lonely mother at home with nobody to cheer her.","这些思乡心切的士兵中有一个最为严重的人，他自己用家乡话将这种感情称为“乡愁”，这个人就是马托伊斯·蒂纳。一想到他将母亲孤独地留在了家中，没人逗她开心，他那爱幻想而好沉思的个性就愈发体会到了背井离乡的忧伤。"
"Though Phyllis, touched by all this, and interested in his history, did not disdain her soldier’s acquaintance, she declined (according to her own account, at least) to permit the young man to overstep the line of mere friendship for a long while—as long, indeed, as she considered herself likely to become the possession of another; though it is probable that she had lost her heart to Matthäus before she was herself aware.","虽然菲利斯被这一切打动了，对他的身世很感兴趣，也没有鄙弃自己与这位士兵的相识关系，但是她拒绝（根据她自己的说法，至少她这样做了）与这位年轻人发展纯粹友谊之外的进一步关系。这一段时间很长，在她认为自己很可能还属于另一段姻缘的整个时间内，她都没有再进一步，不过她大概已经爱上马托伊斯了，只是自己还没有意识到而已。"
"The stone wall of necessity made anything like intimacy difficult; and he had never ventured to come, or to ask to come, inside the garden, so that all their conversation had been overtly conducted across this boundary.","石墙的存在必然使两人之间难以有亲密的举动，他不敢贸然到花园里来，也从没开口提出要进来，所以他们之间的所有交谈，显然只能在这界限之间进行着。"

"Chapter III","第三章"
"But news reached the village from a friend of Phyllis’s father concerning Mr. Humphrey Gould, her remarkably cool and patient betrothed.","但是菲利斯父亲的一个朋友给村里带来了消息，是关于汉弗莱·古尔德先生的——她那位出奇冷静、相当沉得住气的未婚夫。"
"This gentleman had been heard to say in Bath that he considered his overtures to Miss Phyllis Grove to have reached only the stage of a half-understanding; and in view of his enforced absence on his father’s account, who was too great an invalid now to attend to his affairs, he thought it best that there should be no definite promise as yet on either side.","据说，这位先生在巴斯称他与菲利斯小姐之间的关系仅仅停留在彼此不甚理解的阶段。签于父亲的缘故——父亲老身体太虚弱，不能出席儿子的婚事——他被迫离开，他们双方之间最好也不要再有任何明确的承诺。"
"He was not sure, indeed, that he might not cast his eyes elsewhere.","实际上，他不能肯定自己会不会再从别处另寻良缘。"
"This account—though only a piece of hearsay, and as such entitled to no absolute credit—tallied so well with the infrequency of his letters and their lack of warmth, that Phyllis did not doubt its truth for one moment; and from that hour she felt herself free to bestow her heart as she should choose.","这一说辞虽说只是传闻，不一定可信，却很好地解释了他的来信次数为何如此少，两人之间为何缺少热情，因此菲利斯一时间对这个说法的真实性一点儿也不怀疑。也就是从这一刻起，她觉得自己自由了，可以将自己的芳心许给那位心仪的人了。"
"Not so her father; he declared the whole story to be a fabrication.","但她父亲却不这样看，他称这个说法完全是无稽之谈。"
"He had known Mr. Gould’s family from his boyhood; and if there was one proverb which expressed the matrimonial aspect of that family well, it was ‘Love me little, love me long.’","他自幼就知道古尔德先生的家族，如果用一句谚语来形容这个家族的婚姻关系，那就是“爱我长久无需多”。"
"Humphrey was an honourable man, who would not think of treating his engagement so lightly.","汉弗莱是一位值得尊敬的人，他不会如此轻率地对待自己的婚约。"
"‘Do you wait in patience,’ he said; ‘all will be right enough in time.’","“你一定要耐心等待，”她父亲说，“到时候一切都会好起来的。”"
"From these words Phyllis at first imagined that her father was in correspondence with Mr. Gould; and her heart sank within her; for in spite of her original intentions she had been relieved to hear that her engagement had come to nothing.","从这几句话中，菲利斯一开始认为她父亲一定是和古尔德先生通过信了，于是她的心往下一沉，因为虽然她原来是愿意订婚的，但听到婚约解除的消息她倒是松了一口气。"
"But she presently learnt that her father had heard no more of Humphrey Gould than she herself had done; while he would not write and address her affianced directly on the subject, lest it should be deemed an imputation on that bachelor’s honour.","然而，很快她得知父亲和自己一样，没有多从汉弗莱·古尔德那里收到一封信，而他也不愿意直接写信给女儿的未婚夫谈论此事，以免使那位单身汉的名誉受损。"
"‘You want an excuse for encouraging one or other of those foreign fellows to flatter you with his unmeaning attentions,’ her father exclaimed, his mood having of late been a very unkind one towards her.","“你只想要一个借口来鼓励那些外国大兵与你调情，他们对你的关注是毫无意义的。”她父亲这样说道，最近他对她的态度非常不好，"
"‘I see more than I say.","“我看见的远比我对你说的要多。"
"Don’t you ever set foot outside that garden-fence without my permission.","没有我的允许，你不许踏出那花园围墙半步。"
"If you want to see the camp I’ll take you myself some Sunday afternoon.’","如果你想看看军营的模样，我可以找一个礼拜天下午陪你去。”"
"Phyllis had not the smallest intention of disobeying him in her actions, but she assumed herself to be independent with respect to her feelings.","菲利斯在行动上一点儿也不想违背他，她只是觉得自己的感情应该是独立的。"
"She no longer checked her fancy for the Hussar, though she was far from regarding him as her lover in the serious sense in which an Englishman might have been regarded as such.","她不再压抑着自己对那位轻骑兵的爱慕之情，虽然她还不会将他视作自己严格意义上的恋人，若是一个英国人可能就要被这样看待了。"
"The young foreign soldier was almost an ideal being to her, with none of the appurtenances of an ordinary house-dweller; one who had descended she knew not whence, and would disappear she knew not whither; the subject of a fascinating dream—no more.","这位年轻的外国士兵对于她来说是一个理想的存在，没有凡夫俗子生活里的那些琐事，这个人从哪里来，要到哪里去，她都无从得知。他就是一个迷人的梦幻对象——仅此而已。"
