书名乔治·费希尔案件 （马克·吐温经典短篇小说）短简介19世纪，美国佛罗里达州的一个普通农场为何能产出133323.18美元的现金？费希尔家族在半个多世纪，一次又一次地包围美国国会，执著不懈地为祖先“遭到美国军队破坏”的财产进行索赔，屡屡取得成功，其中又有着怎样的故事？长简介《乔治·费希尔案件》将一个看似荒谬的故事娓娓道来：1813年9月1日，佛罗里达州公民乔治·费希尔先生的财产被印第安人和美国军队摧毁。二十年过去了，费希尔遗孀的新丈夫向国会提出了赔偿当年财产损失的要求，声称是美国军队毁掉了费希尔先生的财产，这一请愿遭到了国会的拒绝。十六年之后，费希尔家族继承人又一次向美国国会索赔，得到8873美元的赔偿。自此以后，在几十年间，费希尔家族便时常向国会索赔，国会审理通过的赔偿金额也一路扶摇直上，竟然达到了133323.18美元！马克·吐温在这篇小说中一如既往地广泛运用了反讽的笔法，文章短小精悍，读来妙趣横生。关键字乔治·费希尔案件；马克·吐温；外研社编译组；诈骗；美国国会；赔偿；贪婪作者（美）马克·吐温作者简介马克·吐温（1835—1910），19世纪后期美国批判现实主义文学的杰出代表，美国著名的幽默大师、小说家、作家及演说家。马克·吐温出身贫寒，从小历经诸多家庭不幸，幼年起就开始打工生涯，但这些都为他以后的文学创作累积了素材。他幽默、机智，擅长写讽刺小说。作品融幽默与讽刺于一体，既富于独特的个人机智与妙语，又不乏深刻的社会洞察与剖析，被誉为文学史上的林肯。书评海伦·凯勒曾言：“我喜欢马克·吐温——谁会不喜欢他呢？即使是上帝，亦会钟爱他，赋予其智慧，并于其心灵里绘画出一道爱与信仰的彩虹。”威廉·福克纳称马克·吐温为“第一位真正的美国作家，我们都是继承他而来”。
The Case of George Fisher	乔治·费希尔案
But this time they stumbled upon the misfortune of an honest Secretary of the Treasury (Mr. James Guthrie), and he spoiled everything.	但这次他们撞上了霉运，碰到一位诚实的财政部长（詹姆斯·格思里先生），他把一切给毁了。
He said in very plain language that the Fishers were not only not entitled to another cent, but that those children of many sorrows and acquainted with grief had been paid too much already.	他明明白白地宣布，费希尔一家不但没有权利再多要一分钱，而且那些历经不幸、满心悲痛的孩子们得到的赔偿已经够多的了。
5. Therefore another interval of rest and silent ensued—an interval which lasted four years—viz till 1858.	5.因此，紧随其后的是一段平静的休整期——这段间歇持续了四年——即到1858年。
The “right man in the right place” was then Secretary of War—John B.Floyd, of peculiar renown!	那时的国防部长正是“人得其位，位得其人”的约翰·B. 弗洛伊德，这是一位德高望重的人！
Here was a master intellect; here was the very man to succor the suffering heirs of dead and forgotten Fisher.	这人聪明绝顶，是可以帮助已经逝去且已被遗忘的费希尔的继承人们脱离苦海的不二人选。
They came up from Florida with a rush—a great tidal wave of Fishers freighted with the same old musty documents about the same in immortal corn-fields of their ancestor.	他们匆匆从佛罗里达赶来——这是一股强大的费希尔族人潮，随身装着那份陈旧发霉的文献，那上面记载的仍是他们祖先那块不朽的玉米地。
They straight-way got an act passed transferring the Fisher matter from the dull Auditor to the ingenious Floyd.	他们轻轻松松就让一项法案通过，将费希尔一案从迟钝的审计师那里转到天才弗洛伊德手里。
What did Floyd do?	弗洛伊德做了什么？
He considered, therefore, that what they destroyed must have consisted of “the houses with all their contents, and the liquor” (the most trifling part of the destruction, and set down at only $3,200 all told), and that the government troops then drove them off and calmly proceeded to destroy—	因此，他认为印第安人毁掉的财产应该包括“房屋及屋内的所有物品，还有酒类”（这是被毁财产中最微不足道的一部分，总共才值3200美元），随后政府军队赶走他们，镇定自若地继续破坏了——
Two hundred and twenty acres of corn in the field, thirty-five acres of wheat, and nine hundred and eighty-six head of live stock!	田里220英亩玉米，35英亩小麦以及986头牲畜！
[What a singularly intelligent army we had in those days, according to Mr. Floyd—though not according to the Congress of 1832.]	（当年我们拥有一支多么聪明绝顶的军队，弗洛伊德先生这样说——不过1832年的国会并没这样说。）
So Mr. Floyd decided that the Government was not responsible for that $3,200 worth of rubbish which the Indians destroyed, but was responsible for the property destroyed by the troops—which property consisted of (I quote from the printed United States Senate document):	所以弗洛伊德先生决定，政府不为印第安人毁掉的价值3200美元的垃圾埋单，但会为军队破坏的财产埋单——包括（我摘自印好的美国参议院文件）：
Dollars 	单位：美元
Corn at Bassett’s Creek,         3,000 	巴西特溪流边的玉米：3000
Cattle,                       5,000 	牛： 5000
Stock hogs,                   1,050 	肉食猪： 1050
Drove hogs,                  1,204 	牧猪： 1204
Wheat,                      350 	小麦： 350
Hides,                      4,000 	兽皮： 4000
Corn on the Alabama River,     3,500 	亚拉巴马河边的玉米：　3500
Total,                      18,104 	总计： 18104
That sum, in his report, Mr. Floyd calls the “full value of the property destroyed by the troops.”	在报告中，弗洛伊德先生称以上数字是“军队毁掉的所有财产的价值”。
He allows that sum to the starving Fishers, TOGETHER WITH INTEREST FROM 1813.	他允许把这笔钱拨给挨饿的费希尔一家，同时还包括从1813年算起的利息。
From this new sum total the amounts already paid to the Fishers were deducted, and then the cheerful remainder (a fraction under forty thousand dollars) was handed to them and again they retired to Florida in a condition of temporary tranquillity.	从这个新数额中扣掉已付给费希尔一家的那部分，再把那让人欢喜雀跃的剩下的金额（总数不到四万美元）交给他们，他们又一次回到佛罗里达，度过了一段短暂的平静日子。
Their ancestor’s farm had now yielded them altogether nearly sixty-seven thousand dollars in cash.	他们祖先的农场现在已经产出共计近67000美元的现金。
6. Does the reader suppose that that was the end of it?	6.读者是否认为故事就此结束了呢？
Does he suppose those diffident Fishers were satisfied?	读者是否认为那羞怯的费希尔家族该满足了呢？
Let the evidence show.	让证据说话吧。
The Fishers were quiet just two years.	费希尔家族只安静了两年。
Then they came swarming up out of the fertile swamps of Florida with their same old documents, and besieged Congress once more.	然后，他们又爬出佛罗里达肥沃的沼泽，依旧带着那一份陈旧的文件，又一次包围了国会。
Congress capitulated on the 1st of June, 1860, and instructed Mr. Floyd to overhaul those papers again, and pay that bill.	1860年6月1日，国会投降，指示弗洛伊德先生重新详细检查那些文件，并付清账单。
A Treasury clerk was ordered to go through those papers and report to Mr. Floyd what amount was still due the emaciated Fishers.	一名财政部的办事员受命彻底检查那些文件，并向弗洛伊德先生报告，究竟还欠这些憔悴的费希尔们多少钱。
This clerk (I can produce him whenever he is wanted) discovered what was apparently a glaring and recent forgery in the paper; whereby a witness’s testimony as to the price of corn in Florida in 1813 was made to name double the amount which that witness had originally specified as the price!	这位办事员(只要需要，我能随时让他出面）发现了一份很明显是最近伪造的文件，那上面有个证人提到了1813年佛罗里达州玉米的价钱，那个假钱是他最初所开价钱的两倍！
The clerk not only called his superior’s attention to this thing, but in making up his brief of the case called particular attention to it in writing.	这位办事员不仅向他的上级报告了此事，而且在编制此案摘要时还写下了“特别关注”的字样。
That part of the brief never got before Congress, nor has Congress ever yet had a hint of forgery existing among the Fisher papers.	摘要的这部分从未被送到国会，国会也未曾得到费希尔文件中存在造假信息的暗示。
Nevertheless, on the basis of the double prices (and totally ignoring the clerk’s assertion that the figures were manifestly and unquestionably a recent forgery), Mr. Floyd remarks in his new report that “the testimony, particularly in regard to the corn crops, DEMANDS A MUCH HIGHER ALLOWANCE than any heretofore made by the Auditor or myself.”	然而，以双倍的价格为基础（尽管办事员坚称这些数字无疑明摆着是最近伪造的，但弗洛伊德先生对此置之不理），弗洛伊德先生在他的新报告中说：“这份证词，特别是和玉米作物有关的部分，要求的赔偿太高，远远高于审计师或我在这以前所做过的任何判决。”
So he estimates the crop at sixty bushels to the acre (double what Florida acres produce), and then virtuously allows pay for only half the crop, but allows two dollars and a half a bushel for that half, when there are rusty old books and documents in the Congressional library to show just what the Fisher testimony showed before the forgery—viz., that in the fall of 1813 corn was only worth from $1.25 to $1.50 a bushel.	于是他按照每英亩产60蒲式耳的庄稼估算（两倍于佛罗里达的亩产量），然后公道地赔偿了一半的庄稼，但那一半庄稼每蒲式耳值2.5美元。那时，国会图书馆里那些残破的旧书和文件都可证明费希尔伪造证词前所提到的那个价格——即在1813年秋季，玉米的价格仅在每蒲式耳1.25美元到1.50美元之间。
Having accomplished this, what does Mr. Floyd do next?	完成此事后，弗洛伊德先生接下来又做了些什么?
Mr. Floyd (“with an earnest desire to execute truly the legislative will,” as he piously remarks) goes to work and makes out an entirely new bill of Fisher damages, and in this new bill he placidly ignores the Indians altogether, puts no particle of the destruction of the Fisher property upon them, but, even repenting him of charging them with burning the cabins and drinking the whisky and breaking the crockery, lays the entire damage at the door of the imbecile United States troops down to the very last item!	弗洛伊德先生（“带着一股要真实体现法律意志的诚挚愿望”，他虔诚地说）又继续工作，整理出一份全新的费希尔损失账单。在这份新账单中，他平静地完全忽略了印第安人，一点儿也没有把毁坏费希尔财产的责任归咎于他们的意思，甚至为自己当年指控他们烧毁小屋、喝掉威士忌、打破陶器的行为感到后悔，他把每一笔账都算到愚笨的美国军队头上！
And not only that, but uses the forgery to double the loss of corn at “Bassett’s Creek,” and uses it again to absolutely treble the loss of corn on the “Alabama River.”	不仅如此，他还用伪造的价格把“巴西特溪流”旁的玉米的损失翻了一番，又用同样的手段把“亚拉巴马河”边的玉米的损失翻了两番。
This new and ably conceived and executed bill of Mr. Floyd’s figures up as follows (I copy again from the printed United States Senate document):	这份经弗洛伊德先生巧妙构思并执行的新账单内容如下（我再次摘自印好的美国参议院文件）：
The United States in account with the legal representatives of George Fisher, deceased.	美利坚与已故乔治·费希尔先生合法代理人之间的账目。
1813—                                                                   DOL 	1813——
单位：美元
To 550 head of cattle, at 10 dollars,                                             5,500 	550头牛，每头10美元：　　　　　　　5500
To 86 head of drove hogs,                                                    1,204 	86头牧猪：
1,204
To 350 head of stock hogs,                                                    1,750 	350头肉食猪：
1,750
To 100 ACRES OF CORN ON BASSETT’S CREEK,                              6,000 	100亩巴西特溪流旁的玉米：
6,000
To 8 barrels of whisky,                                                       350 	8桶威士忌：
350
To 2 barrels of brandy,                                                       280 	2桶白兰地：                                        280
To 1 barrel of rum,                                                          70 	1桶朗姆酒：
70
To dry-goods and merchandise in store,                                         1,100 	贮藏的干货及货物：
1,100
To 35 acres of wheat,                                                        350 	35亩小麦：
350
To 2,000 hides,                                                            4,000 	2000张兽皮：
4,000
To furs and hats in store,                                                     600 	贮藏的皮草和帽子：
600
To crockery ware in store,                                                    100 	贮藏的陶器：
100
To smith’s and carpenter’s tools,                                               250 	铁匠和木匠工具：
250
To houses burned and destroyed,                                               600 	被烧掉及毁坏的房屋：
600
To 4 dozen bottles of wine,                                                    48 	48瓶葡萄酒：
48
1814— 	1814——
To 120 acres of corn on Alabama River,                                         9,500 	120亩亚拉巴马河边的玉米：
9,500
To crops of peas, fodder, etc                                                  3,250 	豌豆、饲料等农作物：                    3250
Total,                                                                    34,952 	总计：                                                                                                             34952
To interest on $22,202, from July 1813 to November 1860, 47 years and 4 months, 63,053.68 	从1813年7月到1860年11月共47年零4个月，22202美元的利息：
63053.68
To interest on $12,750, from September 1814 to November 1860, 46 years and 2 months, 35,317.50 	从1814年9月到1860年11月共46年零2个月，12750美元的利息：             35317.50
Total,                                                                 133,323.18 	总计：
133323.18
He puts everything in this time.	这次，他把一切都算了进去。
He does not even allow that the Indians destroyed the crockery or drank the four dozen bottles of (currant) wine.	他甚至不认为印第安人毁坏了陶器，或喝掉了48瓶葡萄酒。
When it came to supernatural comprehensiveness in “gobbling,” John B. Floyd was without his equal, in his own or any other generation.	约翰·B. 弗洛伊德对“狼吞虎咽”一词展示出了超乎寻常的理解力，简直可称得上是前无古人后无来者。
Subtracting from the above total the $67,000 already paid to George Fisher’s implacable heirs, Mr. Floyd announced that the government was still indebted to them in the sum of sixty-six thousand five hundred and nineteen dollars and eighty-five cents, “which,” Mr. Floyd complacently remarks, “will be paid, accordingly, to the administrator of the estate of George Fisher, deceased, or to his attorney in fact.”	从上述总金额中扣去已付给乔治·费希尔那难以安抚的继承人的67,000美元，弗洛伊德先生宣布政府仍欠他们总计66591.85美元的债务。“这笔钱”，他满意地说，“按照惯例，将会付给已故的乔治·费希尔的财产管理人，或他的委托代理人。”
But, sadly enough for the destitute orphans, a new President came in just at this time, Buchanan and Floyd went out, and they never got their money.	但是，令这些穷困潦倒的孤儿们十分悲伤的是，一位新总统正好在这时上台了，布坎南和弗洛伊德下台了，他们再也没能拿到那笔钱。
The first thing Congress did in 1861 was to rescind the resolution of June 1, 1860, under which Mr. Floyd had been ciphering.	1861年，国会做的第一件事就是废除1860年6月1日由弗洛伊德先生签署的决议。
Then Floyd (and doubtless the heirs of George Fisher likewise) had to give up financial business for a while, and go into the Confederate army and serve their country.	后来弗洛伊德（毫无疑问乔治·费希尔的继承人也是）不得不暂时放弃财务上的事宜，加入同盟军队为国家而战。
Were the heirs of George Fisher killed?	乔治·费希尔的继承人都战死了吗？
No.	没有。
They are back now at this very time (July, 1870), beseeching Congress through that blushing and diffident creature, Garrett Davis, to commence making payments again on their interminable and insatiable bill of damages for corn and whisky destroyed by a gang of irresponsible Indians, so long ago that even government red-tape has failed to keep consistent and intelligent track of it.	他们在这一恰当的时刻（1870年7月）又回来了，借助爱脸红、羞怯的加勒特·戴维斯之力，他们恳求国会重新对他们那被一帮不负责任的印第安人毁坏的玉米地和威士忌账单进行赔偿——这份账单绵延不尽，永远无法被满足。这是多少年前的事了，连政府的繁缛公文都未能将其前后一致、条理清晰地记录下来。
Now the above are facts.	到此为止，以上所述皆为事实。
They are history.	它们都是真实的故事。
Any one who doubts it can send to the Senate Document Department of the Capitol for H. R. Ex. Doc. No. 21, 36th Congress, 2d Session; and for S. Ex. Doc. No. 106, 41st Congress, 2d Session, and satisfy himself.	任何怀疑此事真实性的人都可到美国国会大厦参议院档案室，查找第36届国会第2次会议众议院第21号行政文件和第41届国会第2次会议参议院第106号行政文件，便可知真假。
The whole case is set forth in the first volume of the Court of Claims Reports.	全部案情收录于《法院索赔报告》第一卷中。
It is my belief that as long as the continent of America holds together, the heirs of George Fisher, deceased, will still make pilgrimages to Washington from the swamps of Florida, to plead for just a little more cash on their bill of damages (even when they received the last of that sixty-seven thousand dollars, they said it was only one fourth what the government owed them on that fruitful corn-field), and as long as they choose to come they will find Garrett Davises to drag their vampire schemes before Congress.	我相信，只要美洲大陆还连在一块，已故的乔治·费希尔的后人仍会从佛罗里达的沼泽地里爬出，踏上前往华盛顿的朝拜旅途，请求再多给他们一点儿损失赔偿费（当他们最近一次拿到那笔67,000美元的付款时，他们竟然说这只是政府欠他们那块富饶的玉米地的债务的四分之一），只要他们选择过来，他们就能找加勒特·戴维斯把他们那如吸血鬼般邪恶的计划带到国会去。
This is not the only hereditary fraud (if fraud it is—which I have before repeatedly remarked is not proven) that is being quietly handed down from generation to generation of fathers and sons, through the persecuted Treasury of the United States.	这并不是唯一一宗世代相传的诈骗案（姑且这么说——我之前就反复表明，还没有证据证明这是一桩诈骗案），这起案件静静地世代相传，令美国财政部饱受其害。

