"书名普鲁士军官（D. H. 劳伦斯经典短篇小说）短简介残酷的战争和军队的压抑扭曲了普鲁士上尉的性格，专横跋扈的他看到年轻、充满活力的勤务兵与自己僵硬的身体和抑郁的性格形成的鲜明对比，诱发他变得暴戾残忍，于是他千方百计、略带病态地对勤务兵施尽各种折磨。最终勤务兵忍无可忍，亲手杀死了上尉，可也无法抵住精神上的折磨，死在了逃亡的路上。长简介劳伦斯的小说因善于描写性爱曾饱受诟病。短篇小说《普鲁士军官》中，虽然没有露骨的性爱描写，但却同样描述了畸形的情感纠纷。表面上描写的是普鲁士上尉与年轻勤务兵之间的阶级冲突，但劳伦斯通过细致的人物内心描写，同时向我们揭示了两个男人之间，因为战争的残酷和军队内的压抑，产生的一种扭曲了的互相憎恶，又互相吸引的感情。这种畸形的感情对立不断升级，最终只能以悲剧收尾，令人唏嘘不已。关键词普鲁士军官；D. H.  劳伦斯；短篇；军队；阶级冲突；同性恋；生与死作者（英）D. H. 劳伦斯 作者简介D. H. 劳伦斯 （1885—1930），这位出生于诺丁汉矿工家庭的作家是20世纪英国最有成就，也是最具争议的作家之一。男女之间的情爱，和对工业社会的批判是他的主要创作主题。他深受弗洛伊德的影响，作品中善于运用象征手法，小说人物内心刻画十分细腻。在他近20年的创作生涯中为世人留下了10多部小说、3本游记、3卷短篇小说集，数本诗集、散文集、书信集，另有多幅美术作品。书评劳伦斯是我们这一代最伟大的富于想象力的小说家。他在他的作品中创造了光辉灿烂的世界的形形色色的人事物态。——E. M. 福斯特"
"The Prussian Officer","普鲁士军官"
"He walked on and on in silence, staring at the mountains ahead, that rose sheer out of the land, and stood fold behind fold, half earth, half heaven, the heaven, the barrier with slits of soft snow, in the pale, bluish peaks.","他默默地向前走着，紧紧盯着前方拔地而起的山峦，一座接着一座，一半是地，一半是天。天空在淡蓝的山峰的映衬下，像是一道有着柔软积雪的裂缝的屏障。"
"He could now walk almost without pain.","现在，他走起来已几乎感觉不到疼痛了。"
"At the start, he had determined not to limp.","出发时，他便下决心不能一瘸一拐地走。"
"It had made him sick to take the first steps, and during the first mile or so, he had compressed his breath, and the cold drops of sweat had stood on his forehead.","迈出的头几步就让他疼得够呛。在走头一英里左右的时候，他一直屏住呼吸，冷汗沁满了他的额头。"
"But he had walked it off.","但是走着走着就不疼了。"
"What were they after all but bruises!","它们不过是几处瘀伤而已！"
"He had looked at them, as he was getting up: deep bruises on the backs of his thighs.","起床时，他就看到了：大腿后侧有几处严重的瘀伤。"
"And since he had made his first step in the morning, he had been conscious of them, till now he had a tight, hot place in his chest, with suppressing the pain, and holding himself in.","清晨踏出第一步时，他便发现这些瘀伤了。一路上他强忍着疼痛，努力不表现出痛苦，结果现在胸口又紧又热。"
"There seemed no air when he breathed.","他仿佛已经呼吸不到空气了。"
"But he walked almost lightly.","但他走得倒相当轻快了。"
"The Captain’s hand had trembled at taking his coffee at dawn: his orderly saw it again.","清晨，上尉端咖啡时手在颤抖：他的勤务兵又看到这种情形了。"
"And he saw the fine figure of the Captain wheeling on horseback at the farm-house ahead, a handsome figure in pale blue uniform with facings of scarlet, and the metal gleaming on the black helmet and the sword-scabbard, and dark streaks of sweat coming on the silky bay horse.","他看到在前方农舍边，身形矫健的上尉跨在马背上前行。他体态优美，穿着镶有紫红色装饰的浅蓝色制服，黑色头盔和剑鞘散发着金属的光泽，光滑的枣红马身上印着一道道深色的汗迹。"
"The orderly felt he was connected with that figure moving so suddenly on horseback: he followed it like a shadow, mute and inevitable and damned by it.","勤务兵感觉他与马背上那个剧烈晃动的身影是连接在一起的：他像个影子一样跟随着，默不作声，身不由己，还要被咒骂。"
"And the officer was always aware of the tramp of the company behind, the march of his orderly among the men.","这位军官也时刻留意着身后那对人沉重的脚步声，知道他的勤务兵也在行进的队伍中。"
"The Captain was a tall man of about forty, grey at the temples.","上尉身材高大，大约40岁，两鬓斑白。"
"He had a handsome, finely knit figure, and was one of the best horsemen in the West.","他身姿挺拔，身材匀称，是西部最好的骑手之一。"
"His orderly, having to rub him down, admired the amazing riding-muscles of his loins.","他的勤务兵，奉命给他擦拭身体，对他骑马练就的腰腹上紧实的肌肉羡煞不已。"
"For the rest, the orderly scarcely noticed the officer any more than he noticed himself.","但是军官其他的部位，勤务兵并不怎么在意，就跟他不在意自己一样。"
"It was rarely he saw his master’s face: he did not look at it.","他很少看到他上司的脸：他也从来没看过。"
"The Captain had reddish-brown, stiff hair, that he wore short upon his skull.","上尉有着一头红棕色的短发，硬邦邦地竖在脑袋上。"
"His moustache was also cut short and bristly over a full, brutal mouth.","他的胡须也修剪得又短又硬，分布在那张饱满、粗犷的嘴上。"
"His face was rather rugged, the cheeks thin.","他面孔刚毅，脸颊消瘦。"
"Perhaps the man was the more handsome for the deep lines in his face, the irritable tension of his brow, which gave him the look of a man who fights with life.","或许，正是他脸上的深深的皱纹和眉宇间显露出的易躁神情，使他看上去更为英俊。这种易躁神情反而让人觉得他是一个与生活抗争的人。"
"His fair eyebrows stood bushy over light blue eyes that were always flashing with cold fire.","整齐浓密的眉毛下，那双浅蓝色的眼睛时刻喷射着冰冷的火焰。"
"He was a Prussian aristocrat, haughty and overbearing.","他是一位普鲁士贵族，桀骜不驯，飞扬跋扈。"
"But his mother had been a Polish Countess.","但他的母亲曾是一名波兰女伯爵。"
"Having made too many gambling debts when he was young, he had ruined his prospects in the Army, and remained an infantry captain.","年轻时他欠了太多赌债，自毁了在部队中的大好前程，至今仍是一名步兵团上尉。"
"He had never married: his position did not allow of it, and no woman had ever moved him to it.","他从未婚娶：他的职位不允许结婚，而且他也没遇到过想要与之结婚的女人。"
"His time he spent riding—occasionally he rode one of his own horses at the races—and at the officers’ club.","他把时间都花在了骑马上——偶尔骑着他的某匹马参加比赛——或是混迹在军官俱乐部里。"
"Now and then he took himself a mistress.","时不时他会给自己找个情妇。"
"But after such an event, he returned to duty with his brow still more tense, his eyes still more hostile and irritable.","但是一段风流韵事过后，当他重返军营，眉头却拧得更紧了，眼里的敌意和怒气更加深了。"
"With the men, however, he was merely impersonal, though a devil when roused; so that, on the whole, they feared him, but had no great aversion from him.","然而，对士兵们来说，他只是有些冷淡无情，可一旦被惹怒，他体内的魔鬼便会被唤醒。总的来说，大家都畏惧他，但也不是十分厌恶。"
"They accepted him as the inevitable.","大家都迫于无奈地接受了他。"
"To his orderly he was at first cold and just and indifferent: he did not fuss over trifles.","起初他对他的勤务兵冷酷、公正、淡漠：他从不为琐事大动干戈。"
"So that his servant knew practically nothing about him, except just what orders he would give, and how he wanted them obeyed.","因此他的勤务兵实际上对他也所知甚少，只知道他会下什么样的命令，他希望大家怎样服从他。"
"That was quite simple.","那还是相当简单的。"
"Then the change gradually came.","可后来逐渐出现了变化。"
"The orderly was a youth of about twenty-two, of medium height, and well built.","勤务兵是位20岁左右的小伙子，中等个头，身体健硕。"
"He had strong, heavy limbs, was swarthy, with a soft, black, young moustache.","他的四肢粗壮有力，皮肤黝黑，唇上长着黑茸茸的小胡子。"
"There was something altogether warm and young about him.","他全身散发着一股热情和青春的气息。"
"He had firmly marked eyebrows over dark, expressionless eyes, that seemed never to have thought, only to have received life direct through his senses, and acted straight from instinct.","轮廓分明的眉毛下面是一对黑色的眼睛，毫无神采，似乎从来没思考过，只是依靠他的感觉生活着，完全凭着本能行事。"
"Gradually the officer had become aware of his servant’s young, vigorous, unconscious presence about him.","逐渐地，军官开始觉察到这个充满年轻活力、无忧无虑的勤务兵的存在。"
"He could not get away from the sense of the youth’s person, while he was in attendance.","勤务兵在场时，他便无法将注意力从这位年轻人身上移开。"
"It was like a warm flame upon the older man’s tense, rigid body, that had become almost unliving, fixed.","这仿佛像是在这位长者僵硬紧绷、几无生气的身体里燃起一道温暖的火焰。"
"There was something so free and self-contained about him, and something in the young fellow’s movement, that made the officer aware of him.","他身上散发出一种自由和独立气息，同时这位年轻勤务兵的行为举止中流露出的某种特质吸引了军官的注意。"
"And this irritated the Prussian.","但这却惹恼了这位普鲁士人。"
"He did not choose to be touched into life by his servant.","他可不想由他的勤务兵来引领他体味生活。"
"He might easily have changed his man, but he did not.","他其实可以随便换一个勤务兵，可他没这么做。"
"He now very rarely looked direct at his orderly, but kept his face averted, as if to avoid seeing him.","他现在很少直接看他的勤务兵，而是将脸转向别处，像是为了避免看见他。"
"And yet as the young soldier moved unthinking about the apartment, the elder watched him, and would notice the movement of his strong young shoulders under the blue cloth, the bend of his neck.","然而，当这位年轻的士兵在公寓里随意走动时，他会看着他，注视着年轻人那蓝色布料下摆动着的结实肩头，还有那颈部的曲线。"
"And it irritated him.","这惹恼了他。"
"To see the soldier’s young, brown, shapely peasant’s hand grasp the loaf or the wine-bottle sent a flash of hate or of anger through the elder man’s blood.","看到士兵那双年轻的、深棕色的、好看的农民的手抓着面包或酒瓶，这位长者的血液中便会流过一股愤恨或怒气。"
"It was not that the youth was clumsy: it was rather the blind, instinctive sureness of movement of an unhampered young animal that irritated the officer to such a degree.","并非因为这个年轻人动作笨拙，而是一只无拘无束的幼兽在行动中显露出的盲目和出于本能的自信，让军官恼怒不已。"
"Once, when a bottle of wine had gone over, and the red gushed out on to the tablecloth, the officer had started up with an oath, and his eyes, bluey like fire, had held those of the confused youth for a moment.","有一次，年轻人打翻了一瓶红酒，红色的液体洒到了桌布上，军官破口大骂。他的双眼，仿佛蓝色的火焰，将年轻人困惑的眼神裹挟了片刻。"
"It was a shock for the young soldier.","年轻的士兵吓得惊慌失措。"
"He felt something sink deeper, deeper into his soul, where nothing had ever gone before.","他觉得什么东西在下沉，沉入了他的灵魂深处，从未被触碰过的地方。"
"It left him rather blank and wondering.","这让他茫然不知所措。"
"Some of his natural completeness in himself was gone, a little uneasiness took its place.","他体内与生俱来的某些完整的东西丧失了，取而代之的是些许不安。"
"And from that time an undiscovered feeling had held between the two men.","自此，这两个男人之间潜藏着一种微妙的感情。"
"Henceforward the orderly was afraid of really meeting his master.","从那以后，勤务兵便害怕与他的上司正面相见。"
"His subconsciousness remembered those steely blue eyes and the harsh brows, and did not intend to meet them again.","他在潜意识中记着那对坚毅的蓝眼睛和粗糙的浓眉，并决定再也不去面对它们。"
"So he always stared past his master, and avoided him.","于是他总是不直视他的主人，并刻意躲着他。"
"Also, in a little anxiety, he waited for the three months to have gone, when his time would be up.","同时，他略微焦急地等着三个月赶快过去，那时他的任务就结束了。"
"He began to feel a constraint in the Captain’s presence, and the soldier even more than the officer wanted to be left alone, in his neutrality as servant.","他开始感到，只要上尉在场，便会产生一种拘束感，这位士兵比军官更渴望独处，仅仅当一名勤务兵。"
"He had served the Captain for more than a year, and knew his duty.","他已经服侍上尉一年多了，也清楚自己的职责。"
"This he performed easily, as if it were natural to him.","这对他来说轻而易举，好像他生来就是做这些的。"
"The officer and his commands he took for granted, as he took the sun and the rain, and he served as a matter of course.","他将军官和他的命令看作天经地义的事，就像出太阳和下雨也是理所当然的一样，他尽忠职守，毫无怨言。"
"It did not implicate him personally.","对他个人来说，其中没有特别寓意。"
"But now if he were going to be forced into a personal interchange with his master he would be like a wild thing caught, he felt he must get away.","但是现在如果迫使他与上司正面交流，他会像一只被俘的野兽，觉得自己必须挣脱。"
"But the influence of the young soldier’s being had penetrated through the officer’s stiffened discipline, and perturbed the man in him.","但是这位年轻士兵的存在已经动摇了军官严苛的戒律，并搅动着他的内心。"
"He, however, was a gentleman, with long, fine hands and cultivated movements, and was not going to allow such a thing as the stirring of his innate self.","然而，他是一位绅士，拥有一双修长、匀称的双手；他行为端正、举止优雅，绝不容许这种事情惊扰他内心中的真实自我。"
"He was a man of passionate temper, who had always kept himself suppressed.","他是个脾气暴躁的人，不过总在努力克制着自己罢了。"
"Occasionally there had been a duel, an outburst before the soldiers.","士兵之间偶尔会产生争斗，他也会在士兵们面前宣泄情绪。"
"He knew himself to be always on the point of breaking out.","他知道自己总是处于爆发的边缘。"
"But he kept himself hard to the idea of the Service.","但是考虑到身处军营，他必须努力克制自己。"
"Whereas the young soldier seemed to live out his warm, full nature, to give it off in his very movements, which had a certain zest, such as wild animals have in free movement.","可年轻士兵的一举一动无不展现出他的热情和浑然天性，流露出某种热情，就像自由自在的野兽一样。"
"And this irritated the officer more and more.","这使得军官愈发恼怒。"
"In spite of himself, the Captain could not regain his neutrality of feeling towards his orderly.","不知不觉地，上尉无法再对他的勤务兵保持普通的情感了。"
"Nor could he leave the man alone.","他也不能让这个男人独自呆着。"
"In spite of himself, he watched him, gave him sharp orders, tried to take up as much of his time as possible.","不自觉地，他盯着他，对他发出苛刻的命令，试图尽可能多地占用他的时间。"
"Sometimes he flew into a rage with the young soldier, and bullied him.","有时他会对这个年轻的士兵大发雷霆，还欺辱他。"
"Then the orderly shut himself off, as it were out of earshot, and waited, with sullen, flushed face, for the end of the noise.","勤务兵此时会将自己与外界隔离，装作听不见，涨红着脸，一副郁郁寡欢的样子，等待着喧嚣停止。"
"The words never pierced to his intelligence, he made himself, protectively, impervious to the feelings of his master.","这些话从没有刺中过他的心灵，出于自我保护，他不为主人情绪所影响。"
"He had a scar on his left thumb, a deep seam going across the knuckle.","他的左手拇指上有一道伤疤，缝线深深地绕在指关节上。"
"The officer had long suffered from it, and wanted to do something to it.","军官被这道疤痕折磨得够久了，一直想对它做点儿什么。"
"Still it was there, ugly and brutal on the young, brown hand.","可它总是在那里，在年轻人棕色的手上，丑陋又粗鄙。"
"At last the Captain’s reserve gave way.","终于，上尉按捺不住了。"
"One day, as the orderly was smoothing out the tablecloth, the officer pinned down his thumb with a pencil, asking:","一天，勤务兵正在整理桌布，军官用一支铅笔顶住他的拇指，问道："
"“How did you come by that?”","“那是怎么弄的？”"
"The young man winced and drew back at attention.","年轻人的脸抽搐了一下，退后立正。"
"“A wood axe, Herr Hauptmann,” he answered.","“劈柴时斧子砍的，上尉。”他答道。"
"The officer waited for further explanation.","军官等着他继续解释。"
"None came.","可没了后文。"
"The orderly went about his duties.","勤务兵继续干他的活去了。"
"The elder man was sullenly angry.","年长者闷闷不乐，十分气愤。"
"His servant avoided him.","他的勤务兵躲着他。"
"And the next day he had to use all his will-power to avoid seeing the scarred thumb.","第二天他不得不费尽所有的意念，不去瞧那带着伤疤的拇指。"
"He wanted to get hold of it and—A hot flame ran in his blood.","他想要握住那拇指——一股炙热的火焰在他的血脉中燃烧。"
"He knew his servant would soon be free, and would be glad.","他知道他的勤务兵很快便会获得自由。他那时定会很高兴。"
"As yet, the soldier had held himself off from the elder man.","士兵仍然刻意回避着年长者。"
"The Captain grew madly irritable.","上尉恼羞成怒了。"
"He could not rest when the soldier was away, and when he was present, he glared at him with tormented eyes.","士兵不在时，他坐立难安；士兵在场时，他那备受煎熬的双眼又死死盯着他。"
"He hated those fine, black brows over the unmeaning, dark eyes, he was infuriated by the free movement of the handsome limbs, which no military discipline could make stiff.","他痛恨那对长在无神的黑色眼睛上好看的黑眉毛，士兵健硕的四肢和灵活的动作也使他愤怒，任何军纪都无法使肢体如此挺拔。"
"And he became harsh and cruelly bullying, using contempt and satire.","他变本加厉地欺辱他，时而蔑视，时而讥讽。"
"The young soldier only grew more mute and expressionless.","年轻士兵却变得更加沉默寡言，面无表情。"
"“What cattle were you bred by, that you can’t keep straight eyes?","“你是吃什么长大的，为什么不能正眼看人？"
"Look me in the eyes when I speak to you.”","我跟你讲话的时候看着我的眼睛。”"
"And the soldier turned his dark eyes to the other’s face, but there was no sight in them: he stared with the slightest possible cast, holding back his sight, perceiving the blue of his master’s eyes, but receiving no look from them.","士兵将黑色的双眼投向对方的脸，但是眼中没有任何神采：他尽可能地只是盯着他，没有眼神流露，虽然他觉察到主人蓝色的双眼，但并没有真正与之对视。"
"And the elder man went pale, and his reddish eyebrows twitched.","年长者的脸色转为苍白，泛红的眉毛抽搐着。"
"He gave his order, barrenly.","他只得随便下了些毫无意义的命令。"
"Once he flung a heavy military glove into the young soldier’s face.","有一次，他将一只厚重的军用手套甩到了年轻士兵的脸上。"
"Then he had the satisfaction of seeing the black eyes flare up into his own, like a blaze when straw is thrown on a fire.","看到那黑色双眼愤怒地瞪着自己的眼睛，他获得了一种满足感，仿佛把稻草投进火中而激起火苗一般。"
"And he had laughed with a little tremor and a sneer.","他微微颤抖地笑着，略带嘲讽。"
"But there were only two months more.","但是只剩两个月了。"
"The youth instinctively tried to keep himself intact: he tried to serve the officer as if the latter were an abstract authority and not a man.","年轻人出于本能地保持无动于衷：他努力地服侍着军官，就好像后者并不是一个人，而是一个抽象的权威。"
"All his instinct was to avoid personal contact, even definite hate.","他以所有的直觉来尽力避免与之有私下接触，甚至避免产生明显的怨恨。"
"But in spite of himself the hate grew, responsive to the officer’s passion.","但是不自觉地，由于军官的坏脾气，怨恨在他体内滋生着。"
"However, he put it in the background.","不过，他将怨恨隐藏在深处。"
"When he had left the Army he could dare acknowledge it.","等他退伍后，便可大胆地承认了。"
"By nature he was active, and had many friends.","他生性活泼，朋友很多。"
"He thought what amazing good fellows they were.","他想，他们都是多么好的伙伴啊。"
"But, without knowing it, he was alone.","但是，不自觉地，他就变得形单影只。"
"Now this solitariness was intensified.","现在这种孤独感变得更加强烈。"
"It would carry him through his term.","这种感觉会在他服役期间一直伴随他。"
"But the officer seemed to be going irritably insane, and the youth was deeply frightened.","可是军官似乎变得丧心病狂了，这让年轻人深感恐惧。"
"The soldier had a sweetheart, a girl from the mountains, independent and primitive.","士兵有个心上人，是一个山里姑娘，独立而又淳朴。"
"The two walked together, rather silently.","两人悄无声息地走到了一起。"
"He went with her, not to talk, but to have his arm round her, and for the physical contact.","他跟她在一起时很少说话，只是搂着她，为了有点儿身体上的接触。"
"This eased him, made it easier for him to ignore the Captain; for he could rest with her held fast against his chest.","这让他感到平静，可以更轻易地忘记上尉，因为他可以将她紧紧搂在胸前，放松片刻。"
"And she, in some unspoken fashion, was there for him.","而她，则默然无声地支持着他。"
"They loved each other.","他们眷恋着彼此。"
"The Captain perceived it, and was mad with irritation.","上尉发现了这事，又气又恼。"
"He kept the young man engaged all the evenings long, and took pleasure in the dark look that came on his face.","他整晚整晚地给年轻人布置各种任务，从他阴郁的表情中获取乐趣。"
"Occasionally, the eyes of the two men met, those of the younger sullen and dark, doggedly unalterable, those of the elder sneering with restless contempt.","两人的眼神偶尔会相遇。年轻人的双眼阴郁黯淡，倔强地瞪着；年长者的双眼中则流露出无尽的蔑视与嘲讽。"
"The officer tried hard not to admit the passion that had got hold of him.","军官拼命地否认他已被一股激情所俘虏。"
"He would not know that his feeling for his orderly was anything but that of a man incensed by his stupid, perverse servant.","他不知道，他对勤务兵的感觉，并不是那种因为勤务兵的愚笨和乖戾而产生的愤怒。"
"So, keeping quite justified and conventional in his consciousness, he let the other thing run on.","因此，他心安理得地保持着他一贯的状态，忙其他事情去了。"
"His nerves, however, were suffering.","然而，他的神经正经受着痛苦地折磨。"
"At last he slung the end of a belt in his servant’s face.","终于，他用一条皮带抽打了他的勤务兵的脸。"
"When he saw the youth start back, the pain-tears in his eyes and the blood on his mouth, he had felt at once a thrill of deep pleasure and of shame.","看着年轻人瞪着他，眼中噙着痛苦的泪水，嘴角上带着血迹，他瞬间感到一阵深切的快感，同时伴着几丝愧疚。"
"But this, he acknowledged to himself, was a thing he had never done before.","但是这种事，他自己也知道，他以前从来没做过。"
"The fellow was too exasperating.","这家伙实在太让人恼火了。"
"His own nerves must be going to pieces.","他自己的神经几近崩溃。"
"He went away for some days with a woman.","于是，他跟一个女人出去呆了一阵子。"
"It was a mockery of pleasure.","那是对寻欢作乐的一种嘲讽。"
"He simply did not want the woman.","他其实一点儿也不想要这个女人。"
"But he stayed on for his time.","可他还是坚持了一段时间。"
"At the end of it, he came back in an agony of irritation, torment, and misery.","最终，他痛苦地回来了，倍感愤怒，受尽折磨。"
"He rode all the evening, then came straight in to supper.","整个傍晚他都在骑马，然后直接回来吃晚饭。"
"His orderly was out.","他的勤务兵出去了。"
"The officer sat with his long, fine hands lying on the table, perfectly still, and all his blood seemed to be corroding.","军官坐着，修长匀称的双手一动不动地搭在桌子上，全身的血液仿佛被腐蚀着。"
"At last his servant entered.","终于，勤务兵走了进来。"
"He watched the strong, easy young figure, the fine eyebrows, the thick black hair.","他看着年轻人健硕、轻盈的身躯、好看的眉毛，还有浓密的黑发。"
"In a week’s time the youth had got back his old well-being.","在这一周的时间里，年轻人重拾了他往日的神采。"
"The hands of the officer twitched and seemed to be full of mad flame.","军官的双手痉挛着，好像满手握着疯狂的火焰。"
"The young man stood at attention, unmoving, shut off.","年轻人立正站好，纹丝不动，一声不吭。"
"The meal went in silence.","二人在一片静默中用餐。"
"But the orderly seemed eager.","但勤务兵看上去有些焦急。"
"He made a clatter with the dishes.","他把餐具碰得叮当响。"
"“Are you in a hurry?”","“你急着有事？”"
"asked the officer, watching the intent, warm face of his servant.","军官看着他的仆从焦急而热切的脸庞问道。"
"The other did not reply.","对方没有回答。"
"“Will you answer my question?”","“你能回答我的问题吗？”"
"said the Captain.","上尉说。"
"“Yes, sir,” replied the orderly, standing with his pile of deep Army plates.","“是的，长官。”勤务兵端着一摞军用餐盘站着回答道。"
"The Captain waited, looked at him, then asked again:","上尉等了等，看着他，接着又问："
"“Are you in a hurry?”","“你急着有事？”"
"“Yes, sir,” came the answer, that sent a flash through the listener.","“是的，长官。”这声回答让听者怒火中烧。"
"“For what?”","“干嘛去？”"
"“I was going out, sir.”","“我要出门，长官。”"
"“I want you this evening.”","“今晚我需要你。”"
"There was a moment’s hesitation.","勤务兵陷入一阵犹豫不决。"
"The officer had a curious stiffness of countenance.","军官露出一种奇特的僵硬神色。"
"“Yes, sir,” replied the servant, in his throat.","“是，长官。”勤务兵的回答哽在了喉头。"
"“I want you tomorrow evening also—in fact, you may consider your evenings occupied, unless I give you leave.”","“明天晚上我也需要你——实际上，你不妨认为你每天晚上都有事，除非我放你假。”"
"The mouth with the young moustache set close.","长着稚嫩胡须的嘴紧闭着。"
"“Yes, sir,” answered the orderly, loosening his lips for a moment.","“是，长官。”勤务兵应道，双唇张开了片刻。"
"He again turned to the door.","他又转身朝门外走去。"
"“And why have you a piece of pencil in your ear?”","“为什么你的耳朵上夹着一支铅笔？”"
"The orderly hesitated, then continued on his way without answering.","勤务兵犹豫了一下，继续往前走没有回答。"
"He set the plates in a pile outside the door, took the stump of pencil from his ear, and put it in his pocket.","他将餐盘摞成一堆放在门外，把铅笔从耳朵上取下来，放进了自己的口袋里。"
"He had been copying a verse for his sweetheart’s birthday card.","他刚才正在给他心上人的生日卡片上抄写一首诗。"
"He returned to finish clearing the table.","他又回来继续收拾餐桌。"
"The officer’s eyes were dancing, he had a little, eager smile.","军官的眼神跳跃着，脸上挂着一丝殷切的微笑。"
"“Why have you a piece of pencil in your ear?”","“为什么你的耳朵上夹着一支铅笔？”"
"he asked.","他问。"
"The orderly took his hands full of dishes.","勤务兵双手端满餐具。"
"His master was standing near the great green stove, a little smile on his face, his chin thrust forward.","他的上司站在绿色的大炉子附近，脸上露出淡淡的笑容，下巴向前伸着。"
"When the young soldier saw him his heart suddenly ran hot.","年轻的士兵看他时，心脏突然怦怦跳个不停。"
"He felt blind.","他觉得视线模糊了。"
"Instead of answering, he turned dazedly to the door.","他没有回答，而是晕头转向地转身朝门外走去。"
"As he was crouching to set down the dishes, he was pitched forward by a kick from behind.","他刚蹲下准备放置餐具，背后踹来的一脚让他向前打了个趔趄。"
"The pots went in a stream down the stairs, he clung to the pillar of the banisters.","盆盆罐罐一股脑地滚下了楼梯，他紧紧抱住楼梯栏杆。"
"And as he was rising he was kicked heavily again, and again, so that he clung sickly to the post for some moments.","他试图站起来，但一脚接着一脚狠狠地踹在他身上，他只能无力地一直抱着栏杆。"
"His master had gone swiftly into the room and closed the door.","他的上司已经迅速地回到屋里，关上了门。"
"The maid-servant downstairs looked up the staircase and made a mocking face at the crockery disaster.","楼下的女佣向楼梯上望了望，朝这一片狼藉的破碎餐具做了个鬼脸。"
"The officer’s heart was plunging.","军官的心跌入了谷底。"
"He poured himself a glass of wine, part of which he spilled on the floor, and gulped the remainder, leaning against the cool, green stove.","他给自己倒了一杯酒，不少都洒在了地上。一口干掉了剩在杯中酒后，靠在冰冷的绿炉子上。"
"He heard his man collecting the dishes from the stairs.","他听到他的勤务兵在楼梯上收拾餐具。"
"Pale, as if intoxicated, he waited.","他脸色苍白，就像喝醉了似的，等待着。"
"The servant entered again.","勤务兵又进来了。"
