"Ulysses and the Dogman","","尤利西斯和狗人","译者注：尤利西斯（Ulysses）是罗马神话中的英雄（希腊神话中的奥德修斯odysseus），以智勇双全著称。"
"“You old fat rascal!” continued Wide-Brim, with a wrinkled brown smile; “it’s been five years since I seen you.","","“你这个发福的老流氓！”戴宽檐帽的皮肤黝黑的人面带微笑，接着说道，“五年没看见你了。"
"I been in this town a week, but you can’t find nobody in such a place.","","我来这个城市一个星期了，可是在这种地方一个朋友也找不到。"
"Well, you dinged old married man, how are they coming?”","","嗨，你这个娶了老婆的老家伙，怎么样啦？”"
"Something mushy and heavily soft like raised dough leaned against Jim’s leg and chewed his trousers with a yeasty growl.","","一个像发面团似的、又软又重的东西靠在吉姆腿上狺狺叫着，咬他的裤子。"
"“Get to work,” said Jim, “and explain this yard-wide hydrophobia yearling you’ve throwed your lasso over.","","“说话啊，”吉姆说，“你套索拴的这个狂犬病肥畜崽子是怎么回事？"
"Are you the pound-master of this burg?","","你是这个城市的兽栏管理员吗？"
"Do you call that a dog or what?”","","你们管它叫狗还是叫什么？”"
"“I need a drink,” said the dogman, dejected at the reminder of his old dog of the sea.","","“我想喝一杯，”狗人说，一提起这条让他苦恼的狗，他就非常沮丧，"
"“Come on.”","","“走吧。”"
"Hard by was a café.","","附近有一家小餐馆。"
"’Tis ever so in the big city.","","这在大城市里很普遍。"
"They sat at a table, and the bloated monster yelped and scrambled at the end of his leash to get at the café cat.","","他们在一张桌子旁坐下，那个臃肿的畜生拖着皮带吠着，想扑向餐馆里的猫。"
"“Whiskey,” said Jim to the waiter.","","“威士忌。”吉姆对侍者说道。"
"“Make it two,” said the dogman.","","“我也要一样的。”狗人说道。"
"“You’re fatter,” said Jim, “and you look subjugated.","","“你胖啦，”吉姆说，“而且看上去克制多了。"
"I don’t know about the East agreeing with you.","","没想到东部对你倒挺合适的。"
"All the boys asked me to hunt you up when I started.","","我动身的时候，弟兄们都让我找你。"
"Sandy King, he went to the Klondike.","","桑迪·金到克朗代克去了。"
"Watson Burrel, he married the oldest Peters girl.","","沃森·伯勒尔和彼得斯家的大女儿结婚了。"
"I made some money buying beeves, and I bought a lot of wild land up on the Little Powder.","","我做牛肉生意挣了点儿钱，就在小保德河附近买了块荒地。"
"Going to fence next fall.","","我打算明年秋天把它圈起来。"
"Bill Rawlins, he’s gone to farming.","","比尔·罗林斯去搞农场了。"
"You remember Bill, of course—he was courting Marcella—excuse me, Sam—I mean the lady you married, while she was teaching school at Prairie View.","","你一定记得比尔——他追过玛塞拉——对不起，萨姆——我指的是你夫人，那时她还在普雷里维教书。"
"But you was the lucky man.","","不过你是个幸运儿。"
"How is Missis Telfair?”","","特尔费尔太太好吗？”"
"“S-h-h-h!” said the dogman, signalling the waiter; “give it a name.”","","“喂！”狗人一边招呼着侍者，一边说道，“要什么？”"
"“Whiskey,” said Jim.","","“威士忌。”吉姆说。"
"“Make it two,” said the dogman.","","“我也要一样的。”狗人说。"
"“She’s well,” he continued, after his chaser.","","“她很好，”狗人喝了口酒后接着说道，"
"“She refused to live anywhere but in New York, where she came from.","","“除了纽约，她哪儿也不愿意去，她是纽约人。"
"We live in a flat.","","我们住在一套公寓里。"
"Every evening at six I take that dog out for a walk.","","每晚6点，我牵狗出来散步。"
"It’s Marcella’s pet.","","它是玛塞拉的宝贝。"
"There never were two animals on earth, Jim, that hated one another like me and that dog does.","","吉姆，世界上没有哪两个动物像我和那条狗那样势不两立了。"
"His name’s Lovekins.","","他的名字是‘心肝儿’。"
"Marcella dresses for dinner while we’re out.","","我们出来的时候，玛塞拉在换衣服准备去吃饭。"
"We eat tabble dote.","","我们吃的是客饭。"
"Ever try one of them, Jim?”","","吉姆，你吃过吗？”"
"“No, I never,” said Jim.","","“没，从来没吃过，”吉姆说，"
"“I seen the signs, but I thought they said ‘table de hole.’","","“看到招牌，我以为是说‘有洞的台子’。"
"I thought it was French for pool tables.","","我以为是台球桌的法文。"
"How does it taste?”","","味道怎么样？”"
"“If you’re going to be in the city for awhile we will—”","","“假如你在城里呆一段时间，我们——”"
"“No, sir-ee.","","“不了，老兄。"
"I’m starting for home this evening on the 7.25.","","我搭今晚7点25分的火车回家。"
"Like to stay longer, but I can’t.”","","我想多呆一会儿，可是不行。”"
"“I’ll walk down to the ferry with you,” said the dogman.","","“我陪你去渡口。”狗人说。"
"The dog had bound a leg each of Jim and the chair together, and had sunk into a comatose slumber.","","那条狗用皮带把吉姆的一条腿和一个桌子腿缠在了一起，自己却昏昏沉沉地睡着了。"
"Jim stumbled, and the leash was slightly wrenched.","","吉姆绊了一下，稍微扯到了皮带。"
"The shrieks of the awakened beast rang for a block around.","","惊醒的畜生尖叫起来，一个街口以外都听得到。"
"“If that’s your dog,” said Jim, when they were on the street again, “what’s to hinder you from running that habeas corpus you’ve got around his neck over a limb and walking off and forgetting him?”","","“如果那是你的狗，”他们走到街上时，吉姆说，“你为什么不把它脖子上的皮带往树上一拴，自己一走了之，理也别理它？”"
"“I’d never dare to,” said the dogman, awed at the bold proposition.","","“我可不敢，”狗人回答道，对这个大胆的提议感到害怕，"
"“He sleeps in the bed, I sleep on a lounge.","","“它睡在床上。我却睡在沙发上。"
"He runs howling to Marcella if I look at him.","","我瞅他一眼，他就狂吠着跑到玛塞拉身边去。"
"Some night, Jim, I’m going to get even with that dog.","","总有一晚，吉姆，我要同这条狗算账。"
"I’ve made up my mind to do it.","","我已经拿定主意这么干了。"
"I’m going to creep over with a knife and cut a hole in his mosquito bar so they can get in to him.","","我要拿把刀子悄悄走过去，在他的蚊帐上划一个口子，这样蚊子可以进去咬他。"
"See if I don’t do it!”","","我不这样干才怪呢！”"
"“You ain’t yourself, Sam Telfair.","","“你变了，萨姆·特尔费尔。"
"You ain’t what you was once.","","你跟以前不一样啦。"
"I don’t know about these cities and flats over here.","","我搞不懂这里的城市和公寓。"
"With my own eyes I seen you stand off both the Tillotson boys in Prairie View with the brass faucet out of a molasses barrel.","","在普雷里维的时候，我曾亲眼看到你拔出糖蜜桶的铜制龙头，把蒂洛森两兄弟都打跑了。"
"And I seen you rope and tie the wildest steer on Little Powder in 39 1-2.”","","我还看到你用39秒半套住小保德河最野的牛，并且把它捆了起来。”"
"“I did, didn’t I?” said the other, with a temporary gleam in his eye.","","“是吗？”对方说道，眼睛一亮，"
"“But that was before I was dogmatized.”","","“不过那是在我当狗人之前的事了。”"
"“Does Misses Telfair—” began Jim.","","“特尔费尔太太——”吉姆开口说。"
"“Hush!” said the dogman.","","“嘘！”狗人说，"
"“Here’s another café.”","","“这儿又有一家酒馆。”"
"They lined up at the bar.","","他们在吧台前并排坐下。"
"The dog fell asleep at their feet.","","狗躺在他们脚边睡着了。"
"“Whiskey,” said Jim.","","“威士忌。”吉姆说。"
"“Make it two,” said the dogman.","","“我也要一样的。”狗人说。"
"“I thought about you,” said Jim, “when I bought that wild land.","","“我买下那块荒地的时候，”吉姆说，“就想到了你。"
"I wished you was out there to help me with the stock.”","","我希望你能在那儿帮我料理牲口。”"
"“Last Tuesday,” said the dogman, “he bit me on the ankle because I asked for cream in my coffee.","","“上周二，”狗人说，“它咬了我的脚踝，因为我在咖啡里加了些奶油。"
"He always gets the cream.”","","而奶油总是给他吃的。”"
"“You’d like Prairie View now,” said Jim.","","“你现在一定会喜欢普雷里维的。”吉姆说，"
"“The boys from the round-ups for fifty miles around ride in there.","","“方圆50英里内牛队的小伙子们都来了。"
"One corner of my pasture is in sixteen miles of the town.","","我的牧场一角离城里只有16英里。"
"There’s a straight forty miles of wire on one side of it.”","","牧场的一边有足足40英里长的铁丝网。”"
"“You pass through the kitchen to get to the bedroom,” said the dogman, “and you pass through the parlour to get to the bath room, and you back out through the dining-room to get into the bedroom so you can turn around and leave by the kitchen.","","“你要经过厨房才能进卧室，”狗人说，“你得穿过客厅进到浴室，去外面先得穿过餐厅，然后进入卧室，这样就绕过了厨房。"
"And he snores and barks in his sleep, and I have to smoke in the park on account of his asthma.”","","它睡觉的时候又打呼噜又乱叫，我抽烟都得上公园，就因为他有气喘病。”"
"“Don’t Missis Telfair—” began Jim.","","“特尔费尔太太——”吉姆说。"
"“Oh, shut up!” said the dogman.","","“唉，别提啦！”狗人说，"
"“What is it this time?”","","“这次喝什么？”"
"“Whiskey,” said Jim.","","“威士忌。”吉姆说。"
"“Make it two,” said the dogman.","","“我也要一样的。”狗人说。"
"“Well, I’ll be racking along down toward the ferry,” said the other.","","“哎呀，我得赶紧去渡口啦。”对方说。"
"“Come on, there, you mangy, turtle-backed, snake-headed, bench-legged ton-and-a-half of soap-grease!” shouted the dogman, with a new note in his voice and a new hand on the leash.","","“嗨，走吧，你这个龟背、蛇头、板凳腿、半吨重的肥癞皮狗！”狗人吆喝道，他的声音里有一种新的底气，握皮带的手里有一股新的劲头。"
"The dog scrambled after them, with an angry whine at such unusual language from his guardian.","","狗蹒跚地跟着他们，听到它的看护人不同寻常的话语，愤愤地哀叫了一声。"
"At the foot of Twenty-third Street the dogman led the way through swinging doors.","","到了第二十三大街的尽头，狗人先走进酒馆的旋转门。"
"“Last chance,” said he.","","“最后一次，”他说，"
"“Speak up.”","","“说吧。”"
"“Whiskey,” said Jim.","","“威士忌。”吉姆说。"
"“Make it two,” said the dogman.","","“我也要一样的。”狗人说。"
"“I don’t know,” said the ranchman, “where I’ll find the man I want to take charge of the Little Powder outfit.","","“我真不知道，”牧场主说，“上哪儿可以找到负责小保德河那一队的人。"
"I want somebody I know something about.","","我想找个我多少有些了解的人。"
"Finest stretch of prairie and timber you ever squinted your eye over, Sam.","","萨姆，那可是你生平从未见过的最好的草原和树林。"
"Now if you was—”","","现在如果你——”"
"“Speaking of hydrophobia,” said the dogman, “the other night he chewed a piece out of my leg because I knocked a fly off of Marcella’s arm.","","“提起狂犬病，”狗人说，“有一夜，因为我赶走了玛塞拉胳膊上的一只苍蝇，他竟咬掉我腿上一块肉。"
"‘It ought to be cauterized,’ says Marcella, and I was thinking so myself.","","‘得烧灼消毒。’玛塞拉这么说道，我自己也这么想。"
"I telephones for the doctor, and when he comes Marcella says to me: ‘Help me hold the poor dear while the doctor fixes his mouth.","","我打电话请大夫，大夫来后，玛塞拉对我说：‘大夫检查它嘴巴的时候，你帮我抱住这个可怜的宝贝。"
"Oh, I hope he got no virus on any of his toofies when he bit you.’","","哦，我希望他咬你的时候，任何一颗牙齿都没染上病毒。’"
"Now what do you think of that?”","","你替我评评理？”"
"“Does Missis Telfair—” began Jim.","","“特尔费尔太太——”吉姆说。"
"“Oh, drop it,” said the dogman.","","“唉，别提了。”狗人说，"
"“Come again!”","","“再来一杯！”"
"“Whiskey,” said Jim.","","“威士忌。”吉姆说。"
"“Make it two,” said the dogman.","","“我也要一样的。”狗人说。"
"They walked on to the ferry.","","他们走到了渡口。"
"The ranchman stepped to the ticket window.","","牧场主走到售票窗口。"
"Suddenly the swift landing of three or four heavy kicks was heard, the air was rent by piercing canine shrieks, and a pained, outraged, lubberly, bow-legged pudding of a dog ran frenziedly up the street alone.","","突然，三四下使劲的脚踢声和尖利的狗叫声划破天空，一条吃了苦头、火冒三丈的、长着罗圈腿的肥狗独自顺着街道拼命跑去。"
"“Ticket to Denver,” said Jim.","","“一张去丹佛的票。”吉姆说。"
"“Make it two,” shouted the ex-dogman, reaching for his inside pocket.","","“我也要一张一样的。”得到解脱的狗人叫道，把手伸进口袋。"

