"书名插曲（毛姆短篇小说）短简介《插曲》讲述了一个残酷的爱情故事。弗雷德和格雷丝年貌相当，门户却不相对。他们克服了重重阻力之后，他们的爱情得到了原本阻挠的父母的祝福。然后，费雷德由于偷窃锒铛入狱，家庭的阻挠和牢狱之灾他们都勇敢地渡过了，最后时刻，即将出狱的弗雷德却突然觉得自己不爱格雷丝了，并且拒绝见她，原本始终等候他的格雷丝，走投无路只好选择了自杀。长简介《插曲》讲述了一个残酷的爱情故事。弗雷德和格雷丝年貌相当，门户却不相对。他们克服了重重阻力，终于获得了家人的祝福。然而结婚之前弗雷德却因为盗窃而入狱了，格雷丝固执地等待着他，不惜与父母断绝关系。出人意料的是，弗雷德在出狱之前突然觉得自己不爱格雷丝了，对她只剩下了厌恶。走投无路的格雷丝只好选择了自杀。毛姆的笔法细腻深刻，对人物语言和心理的刻画是这部小说的亮点。小说的最后更是出人意料，揭露了人性的丑陋和反复无常。关键字插曲；威廉·萨默赛特·毛姆；外研社编译组；短篇；讽刺；残酷；爱情作者（英）威廉·萨默赛特·毛姆作者简介威廉·萨默赛特·毛姆（1874—1965），英国小说家、戏剧家。原来学医，后转而致力写作。他的作品常以冷静、客观乃至挑剔的态度审视人生，基调超然，带讽刺和怜悯意味，在国内外拥有大量读者。著名作品有戏剧《圈子》，长篇小说《人生的枷锁》、《月亮和六便士》，短篇小说集《叶的震颤》、《卡苏里那树》等。"
"书评毛姆是20世纪用英语写作的最为流行的作家之一。"
"Episode","插曲"
"He had never done a criminal, or even a mean, thing in his life, but he treated the crime of the prisoners he had to deal with as though it were an illness like his own tuberculosis which was a nuisance you had to put up with, but which it did no good to talk about.","他一生中从没犯过罪，甚至也没有做过卑劣的事情，但是他对待自己所负责的囚犯们的罪行就像对待自己的结核病一样，把它们当成是不得不忍受的烦心事，但是过多地谈论它们也没什么好处。"
"Wormwood Scrubs is a first offenders’ prison and it is a building, grim and cold, of forbidding appearance.","沃姆伍德·斯克拉比斯监狱里关的都是初次犯罪的人。那是一个晦暗又寒冷的地方，看了令人心生畏惧。"
"Ned took me over it once and I had goose-flesh as the gates were unlocked for us and we went in.","内德曾带我去过一次，当我们走进一道道打开的大门时，我不禁起了一身鸡皮疙瘩。"
"We passed through the halls in which the men were working.","我们穿过大厅，囚犯们正在那里干活。"
"‘If you see any pals of yours take no notice of them,’ Ned said to me.","“如果你看见自己的朋友，就假装没看见，”内德对我说，"
"‘They don’t like it.’","“他们不喜欢被人认出来。”"
"‘Am I likely to see any pals of mine?’","“难道我可能会遇见什么朋友吗？”"
"I asked drily.","我冷冷地问。"
"‘You never can tell.","“这可说不准。"
"I shouldn’t be surprised if you had had friends who’d passed bad cheques once too often or were caught in a compromising situation in one of the parks.","假如你的什么朋友不止一次使用空头支票，或是在公园里干什么下流勾当被当场抓住，我完全不会吃惊。"
"You’d be surprised how often I run across chaps I’ve met out at dinner.’","你肯定想不到我在这里碰见过多少次在晚宴上见过的人。”"
"One of Ned’s duties was to see prisoners through the first difficult days of their confinement.","内德的任务之一就是照顾那些刚被关进来的、觉得日子难熬的囚犯。"
"They were often badly shaken by their trial and sentence; and when, after the preliminary proceedings they had to go through on entering the jail, the stripping, the bath, the medical examination and the questioning, the getting into prison clothes, they were led into a cell and locked up, they were apt to break down.","他们常常因为审讯和宣判而受到很大的刺激。在经历入狱必经的最初程序后，其中包括脱去衣服、洗澡、体检、盘问、换上囚衣，他们会被带进一间牢房锁起来，这样一来，他们几乎都要垮掉了。"
"Sometimes they cried hysterically; sometimes they could neither eat nor sleep.","有时候他们会歇斯底里地哭喊，有时候则吃不下饭也睡不着觉。"
"Ned’s business then was to cheer them, and his breezy manner, his natural kindliness, often worked wonders.","内德的任务就是让他们振作起来。他那轻松活泼的态度和与生俱来的亲切感常常会产生意想不到的效果。"
"If they were anxious about their wives and children he would go to see them and if they were destitute provide them with money.","如果囚犯们为老婆孩子担心，他就会亲自去看他们；如果他们穷困潦倒，他还会掏钱出来帮助他们。"
"He brought them news so that they might get over the awful feeling that they were shut away from the common interests of their fellow-men.","他会给犯人们带来各种新闻，使他们免受与有共同兴趣的同伴被隔离的痛苦。"
"He read the sporting papers to be able to tell them what horse had won an important race or whether the champion had won his fight.","他给犯人们读体育报纸，告诉他们哪匹马在一场重要比赛中获胜，或是某位冠军是否赢了比赛。"
"He would advise them about their future, and when the time approached for their release see what jobs they were fitted for and then persuade employers to give them a chance to make good.","他还给犯人们提供未来的建议，当释放日期临近时，他会为他们找合适的工作，并劝说雇主给他们改过自新的机会。"
"Since everyone is interested in crime it was inevitable that sooner or later, with Ned there, the conversation should turn upon it.","由于大家都对犯罪方面的事情感兴趣，因此只要内德在场，话题迟早会转到这方面来。"
"It was after dinner and we were sitting comfortably in the drawing-room with drinks in our hands.","那天晚饭后，我们每人手中拿着一杯酒，舒舒服服地坐在客厅里。"
"‘Had any interesting cases at the Scrubs lately, Ned?’","“最近斯克拉比斯监狱有什么有趣的案子吗，内德？”"
"I asked him.","我问他。"
"‘No, nothing much.’","“没有，没什么有趣的。”"
"He had a high, rasping voice and his laugh was a raucous cackle.","他的嗓门又高，声音又刺耳，笑起来咯咯作响，非常洪亮。"
"He broke into it now.","现在他就是这么笑的。"
"‘I went to see an old girl today who was a packet of fun.","“我今天去见了一个女人，她可真有意思。"
"Her husband’s a burglar.","她的丈夫是个窃贼。"
"The police have known about him for years, but they’ve never been able to get him till just now.","警察盯了他好几年，但是直到最近才抓到他。"
"Before he did a job he and his wife concocted an alibi, and though he’s been arrested three or four times and sent up for trial, the police have never been able to break it and he’s always got off.","每次作案之前，他都会和妻子编好一套证词，因此尽管被抓住了三四次，还被送上法庭审判，警方却始终不能找出证词里的破绽，只好把他放走。"
"Well, he was arrested again a little while ago, but he wasn’t upset, the alibi he and his wife had made up was perfect and he expected to be acquitted as he’d been before.","不久之前他又被抓了，但他毫不沮丧，因为他和妻子编造的不在场的证明非常完美，他觉得自己肯定会跟以前一样被释放。"
"His wife went into the witness-box and to his utter amazement she didn’t give the alibi and he was convicted.","令他大吃一惊的是，他的妻子走上证人席时，并没有说出事先准备的证词，结果他被判有罪。"
"I went to see him.","我去看了看他。"
"He wasn’t so much worried at being in gaol as puzzled by his wife not having spoken up, and he asked me to go and see her and ask what the game was.","他并没有因为坐牢而忧心忡忡，倒是被妻子的反常之举弄懵了。他让我去看看他妻子，问问她到底在搞什么名堂。"
"Well I went, and d’you know what she said to me?","于是我就去了，你猜她对我说什么？"
"She said: “Well, sir, it’s like this; it was such a beautiful alibi I just couldn’t bear to waste it.”’","她说：‘先生，事情是这样的，这个不在场的证明实在是太妙了，我不忍心就这么把它浪费掉。’”"
"Of course we all laughed.","我们自然是哄堂大笑。"
"The story-teller likes an appreciative audience, and Ned Preston was never disinclined to hold the floor.","讲故事的人就喜欢懂得欣赏的听众，内德·普雷斯顿绝不会到此为止。"
"He narrated two or three more anecdotes.","他接着又讲了两三件趣事。"
"They tended to prove a point he was fond of making, that in what till we all got democratic in England were called the lower orders there was more passion, more romance, more disregard of consequences than could ever be found in the well-to-do and presumably educated classes, whom prudence has made timid and convention inhibited.","他讲的这些故事都用以证明他经常津津乐道的一个观点：英国人普遍得到民主之前，所谓的下层阶级总是有更多的热情、更多的传奇故事、更少的顾虑；而那些富裕的或是所谓有教养的阶级却总是小心谨慎、循规蹈矩。"
"‘Because the working man doesn’t read much,’ he said, ‘because he has no great gift for expressing himself, you think he has no imagination.","“由于工人阶级读书少，”他说，“由于他们不善于表达，你就以为他们缺乏想象力。"
"You’re wrong.","你错了。"
"He’s extravagantly imaginative.","他们非常富于想象力。"
"Because he’s a great husky brute you think he has no nerves.","别因为他们长得五大三粗，你就以为他们不敏感。"
"You’re wrong again.","你又错了。"
"He’s a bundle of nerves.’","他们非常敏感。”"
"Then he told us a story which I shall tell as best I can in my own words.","接着他又讲了一个故事，我会尽量用自己的话把它讲好。"
"Fred Manson was a good-looking fellow, tall, well-made, with blue eyes, good features, and a friendly, agreeable smile, but what made him remarkable so that people turned round in the streets to stare at him was that he had a thick head of hair, with a great wave in it, of a deep rich red.","弗雷德·曼森是个漂亮的小伙子，身材魁梧、匀称，一对湛蓝的眼睛，俊秀的面孔上总是挂着友善亲切的微笑。但最令他与众不同的却是那一头浓密的、波浪形的深红色头发，走在街上人们总会忍不住转身盯着他看。"
"It was really a great beauty.","这头发真是美极了。"
"Perhaps it was this that gave him so sensual a look.","或许正是这头秀发为他增添了一股魅力。"
"His maleness was like a heady perfume.","他身上散发着一种令人心醉的男性魅力。"
"His eyebrows were thick, only a little lighter that his hair, and he was lucky enough not to have the ugly skin that so disfigures red-heads.","他的眉毛很浓密，只比头发稀疏一点儿。幸运的是，他不会因为皮肤的丑陋而使那一头红发黯然失色。"
"His was a smooth olive.","他有着光滑的橄榄色皮肤。"
"His eyes were bold, and when he smiled or laughed, which in the healthy vitality of his youth he did constantly, his expression was wonderfully alluring.","他的眼睛炯炯有神，作为一个健康的、充满活力的年轻人，他常常微笑或是开怀大笑，此时他的表情可谓摄人心魄。"
"He was twenty-two and he gave you the rather pleasant impression of just loving to be alive.","他只有22岁，总能让你觉得朝气蓬勃。"
"It was inevitable that with such looks and above all with that troubling sexuality he should have success with women.","凭着如此外貌，特别是那动人心弦的男性魅力，他必然会受到女性的垂青。"
"He was charming, tender, and passionate, but immensely promiscuous.","他温柔迷人，又充满热情，但是在男女关系方面却有点儿混乱。"
"He was not exactly callous or brazen, he had a kindly nature, but somehow or other he made it quite clear to the objects of his passing fancy that all he wanted was a little bit of fun and it was impossible for him to remain faithful to anyone.","他不算冷酷无情，也不厚颜无耻，而是生性和善。但不知何故，他总是对交往的对象明确表示，他只是想找点儿乐子，不可能对任何人保持忠诚。"
"Fred was a postman.","弗雷德是个邮递员。"
"He worked in Brixton.","他的工作地点在布里克斯顿。"
"It is a densely populated part of London, and has the curious reputation of harbouring more criminals than any other suburb because trams run to it from across the river all night long, so that when a man has done a job of housebreaking in the West End he can be sure of getting home without difficulty.","这里是伦敦的人口密集区，由于比其他郊区窝藏了更多的罪犯而名声不好。由于整晚都有电车从河对岸开往这里，如果一个罪犯在伦敦西区入室盗窃，他完全可以轻松地逃回家来。"
"Fred liked his job.","弗雷德喜欢这份工作。"
"Brixton is a district of innumerable streets lined with little houses inhabited by the people who work in the neighbourhood and also by clerks, shop-assistants, skilled workers of one sort or another whose jobs take them every day across the river.","布里克斯顿地区有许多街道，道路两旁鳞次栉比的小房子里住着在附近工作的人，也包括职员、店员和各类技术工人，他们每天都得过河去上班。"
"He was strong and healthy and it was a pleasure to him to walk from street to street delivering the letters.","弗雷德身体健壮，走街串巷地投递邮件对他来说是种乐趣。"
"Sometimes there would be a postal packet to hand in or a registered letter that had to be signed for, and then he would have the opportunity of seeing people.","有时候会有包裹需要交到收件人手上，或是有挂号信需要签收，这样他就有机会与人们接触。"
"He was a sociable creature.","他是个喜欢社交的人。"
"It was never long before he was well known on whatever round he was assigned to.","不管被派到哪个地区送信，他很快就会跟人们熟识起来。"
"After a time his job was changed.","过了一段时间，他的工作换了。"
"His duty then was to go to the red pillar-boxes into which the letters were put, empty them, and take the contents to the main post-office of the district.","他的职责成了从一个个红色邮筒里取出全部信件，然后把它们送往该地区的邮政总局。"
"His bag would be pretty heavy sometimes by the time he was through, but he was proud of his strength and the weight only made him laugh.","有时取完信后，他的邮包会变得非常重，但是他自恃强壮，这种程度的重量对他来说很轻松。"
"One day he was emptying a box in one of the better streets, a street of semi-detached houses, and had just closed his bag when a girl came running along.","一天，他来到一条较为高档的街上收信。这里的房子都是半独立式的。他取完信刚合上邮包，就见一位姑娘朝他跑了过来。"
"‘Postman,’ she cried, ‘take this letter, will you.","“邮递员，”她喊道，“请把这封信带上。"
"I want it to go by this post most particularly.’","我特地想让这封信赶上这一次投递。”"
"He gave her his good-natured smile.","他向姑娘露出了亲切的微笑。"
"‘I never mind obliging a lady,’ he said, putting down his bag and opening it.","“愿意为小姐效劳。”他说着，放下邮包并且打开。"
"‘I wouldn’t trouble you, only it’s urgent,’ she said as she handed him the letter she had in her hand.","“我本不想麻烦你，但这是封急件。”她把手里的信递给他的时候说。"
"‘Who is it to-a feller?’ he grinned.","“给谁的？一个小伙子？”他咧着嘴笑了。"
"‘None of your business.’","“不关你的事。”"
"‘All right, be haughty.","“好吧，还挺傲气的。"
"But I tell you this, he’s no good.","不过我得告诉你，他这人可不怎么样。"
"Don’t you trust him.’","千万别信他。”"
"‘You’ve got a nerve,’ she said.","“你这人脸皮真厚，”她说，"
"‘So they tell me.’","“别人也这么说。”"
"He took off his cap and ran his hand through his mop of curling red hair.","他摘下帽子，用手拢了拢蓬松的红色卷发。"
"The sight of it made her gasp.","看见他这一头秀发，姑娘不禁一愣。"
"‘Where d’you get your perm?’ she asked with a giggle.","“你在哪里烫的发？”她笑嘻嘻地问。"
"‘I’ll show you one of these days if you like.’","“你要是愿意，我这几天就带你去。”"
"He was looking down at her with his amused eyes, and there was something about him that gave her a funny little feeling in the pit of her stomach.","他低着头，用那双讨人喜欢的眼睛看着她。姑娘觉得，他身上有某种东西奇特地拨动了她的心弦。"
"‘Well, I must be on my way,’ he said.","“我得走了，”他说，"
"‘If I don’t get on with the job pretty damn quick I don’t know what’ll happen to the country.’","“要是我不能麻利点儿干活，真不知道国家会出什么事。”"
"‘I’m not detaining you,’ she said coolly.","“我又没拖住你。”她冷冷地说。"
"‘That’s where you make a mistake,’ he answered.","“你就错在这儿了。”他回答说。"
"He gave her a look that made her heart beat nineteen to the dozen and she felt herself blushing all over.","他望了她一眼。这一眼使她的心怦怦直跳起来，她感觉自己整个脸都涨红了。"
"She turned away and ran back to the house.","她转身跑回了房子里。"
"Fred noticed it was four doors away from the pillar-box.","弗雷德注意到姑娘家与邮箱之间隔了四道门。"
"He had to pass it and as he did so he looked up.","那里是他的必经之路，当他经过时，他抬头看了一眼。"
"He saw the net curtains twitch and knew she was watching.","只见那网状的窗帘动了一动，他知道姑娘在看。"
"He felt pleased with himself.","他觉得非常得意。"
"During the next few days he looked at the house whenever he passed it, but never caught a glimpse of the girl.","接下来的几天，他每次经过那所房子都会看上几眼，但再也没见到那位姑娘。"
"One afternoon he ran across her by chance just as he was entering the street in which she lived.","一天下午，他刚走上姑娘住的那条街，就意外地碰上了她。"
"‘Hullo,’ he said, stopping.","“你好。”他说着停下了脚步。"
"‘Hullo.’","“你好。”"
"She blushed scarlet.","她的脸涨得通红。"
"‘Haven’t seen you about lately.’","“最近没怎么见到你。”"
"‘You haven’t missed much.’","“你也不怎么想我吧。”"
"‘That’s what you think.’","“那是你的想法。”"
"She was prettier than he remembered, dark-haired, dark-eyed, rather tall, slight, with a good figure, a pale skin, and very white teeth.","她比他记忆中更漂亮，黑头发，黑眼睛，身材高挑纤细，体态优美，皮肤白皙，牙齿也很洁白。"
"‘What about coming to the pictures with me one evening?’","“哪天晚上跟我一起去看电影吧？”"
"‘Taking a lot for granted, aren’t you?’","“你也太想当然了，不是吗？”"
"‘It pays,’ he said with his impudent, charming grin.","“会有好处的。”他咧嘴笑了笑，那笑容既无礼又迷人。"
"She couldn’t help laughing.","她忍不住笑了起来。"
"‘Not with me, it doesn’t.’","“不，这对我可没什么好处。”"
"‘Oh, come on.","“哦，得了吧。"
"One’s only young once.’","青春苦短呀。”"
"There was something so attractive in him that she couldn’t bring herself to give him a saucy answer.","他身上有种吸引人的东西，让她不能断然拒绝。"
"‘I couldn’t really.","“我真的不能去。"
"My people wouldn’t like me going out with a fellow I don’t know.","我们家人不许我跟不认识的小伙子一起出去。"
"You see, I’m the only one they have and they think a rare lot of me.","要知道，我是家里的独生女，他们时刻都惦记着我。"
"Why, I don’t even know your name.’","你看，我连你的名字都不知道。”"
"‘Well, I can tell you, can’t I?","“我可以告诉你呀。"
"Fred.","弗雷德。"
"Fred Manson.","弗雷德·曼森。"
"Can’t you say you’re going to the pictures with a girl friend?’","你就不能说是跟一位女性朋友去看电影吗？”"
"She had never felt before what she was feeling then.","这是一种她从未有过的感觉。"
"She didn’t know if it was pain or pleasure.","说不清是痛苦还是快乐。"
"She was strangely breathless.","奇怪的是，她连呼吸都不顺畅了。"
"‘I suppose I could do that.’","“我想我可以那么说。”"
"They fixed the night, the time, and the place.","他们确定了会面的日期、时间和地点。"
"Fred was waiting for her and they went in, but when the picture started and he put his arm round her waist, without a word, her eyes fixed on the screen, she quietly took it away.","弗雷德先到，他们一起进了电影院。电影开场后，弗雷德伸手搂住她的腰。她一言不发，眼睛盯着屏幕，轻轻地把他的手拿开。"
"He took hold of her hand, but she withdrew it.","他握住了她的手，但是她又抽了回去。"
"He was surprised.","他很吃惊。"
"That wasn’t the way girls usually behaved.","姑娘们对他通常不是这种反应。"
"He didn’t know what one went to the pictures for if it wasn’t to have a bit of a cuddle.","要不是为了搂搂抱抱一下，他搞不懂人们为什么要进电影院。"
"He walked home with her after the show.","电影结束后，他送她回家。"
"She told him her name.","她告诉了他自己的名字。"
"Grace Carter.","格雷丝·卡特。"
"Her father had a shop of his own in the Brixton Road, he was a draper and he had four assistants.","她的父亲在布里克斯顿路上开了一家店，是个布商，手下还有四名雇员。"
"‘He must be doing well,’ said Fred.","“他的生意一定不错。”弗雷德说。"
"‘He doesn’t complain.’","“他从没抱怨过。”"
"Gracie was a student at London University.","格雷丝是伦敦大学的一名学生。"
"When she got her degree she was going to be a school teacher.","等她毕业后，她就去学校当老师。"
"‘What d’you want to do that for when there’s a good business waiting for you?’","“店里生意那么好，为什么还要去当老师？”"
"‘Pa doesn’t want me to have anything to do with the shop-not after the education he’s given me.","“爸爸不希望我跟商店扯上关系，特别是在受了这样的教育之后。"
"He wants me to better myself, if you know what I mean.’","他希望我能求上进，你懂吗？”"
"Her father had started life as an errand boy, then became a draper’s assistant, and because he was hard-working, honest, and intelligent was now owner of a prosperous little business.","她的父亲刚开始工作时只是个小跟班，之后成了一位布商的助手，由于勤奋、诚实又能干，他现在成了一家生意兴隆的小商铺的老板。"
"Success had given him grand ideas for his only child.","事业上的成功令他对独生女有着很大的希望。"
"He didn’t want her to have anything to do with trade.","他不想让她跟做生意扯上关系。"
"He hoped she’d marry a professional man perhaps, or at least someone in the City.","他希望她能嫁给一位专业人士，至少也是在伦敦金融区工作的人。"
"Then he’d sell the business and retire, and Gracie would be quite the lady.","到时候他就会卖掉自己的店铺，安享晚年，而格雷丝则会成为一位有身份的夫人。"
"When they reached the corner of her street Gracie held out her hand.","当他们走到格雷丝所住街道的拐角处时，格雷丝伸出手。"
"‘You’d better not come to the door,’ she said.","“你最好不要送到家门口。”她说。"
"‘Aren’t you going to kiss me good night?’","“你不打算跟我吻别吗？”"
"‘I am not.’","“不。”"
"‘Why?’","“为什么？”"
"‘Because I don’t want to.’","“因为我不想。”"
"‘You’ll come to the pictures again, won’t you?’","“你还会跟我去看电影的，对吗？”"
"‘I think I’d better not.’","“我想最好还是不了。”"
"‘Oh, come on.’","“哦，别这样。”"
"There was such a warm urgency in his voice that she felt as though her knees would give way.","他的声音里有一种温暖的急切，让她觉得自己的膝盖都快发软了。"
"‘Will you behave if I do?’","“要是我去，你能规矩一点儿吗？”"
"He nodded.","他点点头。"
"‘Promise?’","“你保证？”"
"‘Swop me bob.’","“我以头发起誓。”"
"He scratched his head when he left her.","他挠了挠头，跟她分手了。"
"Funny girl.","真是个有趣的姑娘。"
"He’d never met anyone quite like her.","他还从没见过像她这样的人。"
"Superior, there was no doubt about that.","无疑，她有种优越感。"
"There was something in her voice that got you.","她声音中有种很动人东西。"
"It was warm and soft.","既柔软又温暖。"
"He tried to think what it was like.","他试图想象那声音是什么样子。"
"It was like as if the words kissed you.","就像是她的话在亲吻你。"
"Sounded silly, that did, but that’s just what it was like.","听起来确实很傻，但事实就是如此。"
"From then on they went to the pictures once or twice a week.","从那以后，他们每周都会去看一两次电影。"
"After a while she allowed him to put his arm round her waist and to hold her hand, but she never let him go farther than that.","过了一段时间，她允许他搂住自己的腰，握住自己的手，但从不允许他再进一步。"
"‘Have you ever been kissed by a fellow?’ he asked her once.","“你跟人接过吻吗？”有一次他问她。"
"‘No, I haven’t,’ she said simply.","“没有，”她坦率地说，"
"‘My ma’s funny, she says you’ve got to keep a man’s respect.’","“我妈妈很有趣，她说，姑娘家要让男人尊重才行。”"
"‘I’d give anything in the world just to kiss you, Grace.’","“我愿意放弃世界上的一切，只为吻你一次，格雷丝。”"
"‘Don’t be so silly.’","“别傻了。”"
"‘Won’t you let me just once?’","“能让我就吻一下吗？”"
"She shook her head.","她摇摇头。"
"‘Why not?’","“为什么呢？”"
"‘Because I like you too much,’ she said hoarsely, and then walked quickly away from him.","“因为我太喜欢你了。”她嗓音沙哑地说，然后飞快地离开了他。"
"It gave him quite a turn.","这句话使他呆住了。"
"He wanted her as he’d never wanted a woman before.","他从没有像此刻一样想要得到过一个女人。"
"What she’d said finished him.","她的那句话让他沦陷了。"
"He’d been thinking of her a lot, and he’d looked forward to the evenings they spent together as he’d never looked forward to anything in his life.","他一直想着她，渴望着跟她一起共度的那些夜晚，他一生中从没有这般渴望过别的东西。"
"For the first time he was uncertain of himself.","第一次他对自己感到不确定。"
"She was above him in every way, what with her father making money hand over fist and her education and everything, and him only a postman.","她各个方面都比他优越——事业蒸蒸日上的父亲、所受的教育，等等——而他只是个邮递员。"
