"书名十月和六月（欧·亨利经典短篇小说）短简介爱情可以超越年龄吗？小说讲述了年轻的上尉追求一位少妇却被少妇以两人年龄差距过大为由而拒绝的故事。男主人公不甘心被拒来到少妇面前，少妇的解释让他却明白了年龄差距会给日后生活带来的种种不便。年龄的差距让一段美好的情缘无法展开。长简介一个是晚秋的十月，一个是暑夏的六月。小说一开始对于男主人公的描写，不禁让人联想到他是一位饱经战场风霜洗礼的老上尉，而下文对于女主人公的描写更让人想到她是一位风姿绰约的少妇。两者无可奈何的年龄的差距让少妇拒绝了上尉的求爱。当上尉千里迢迢来到少妇面前希望少妇重新考虑接受他的爱慕时，少妇对于年龄差距过大的解释让他有所顿悟，而小说结尾也出现了最大惊喜，原来拥有暑夏六月一样激情的是年轻的上尉，而有了晚秋十月一样冷静的是年长的少妇。欧亨利式的结尾让人倍感意外的同时，也叹息这一段无法开始的爱情。关键字十月和六月；欧·亨利；外研社编译组；短篇；爱情；追求；激情；理智；年龄；上尉；拒绝作者（美）欧·亨利作者简介欧·亨利（1862—1910），美国著名批判现实主义作家、世界三大短篇小说大师之一，被誉为“曼哈顿桂冠散文作家”和“美国现代短篇小说之父”。他的一生富于传奇性，做过药房学徒、会计、新闻记者、银行出纳等多个工作。其作品构思新颖，语言诙谐，人物众多，富于生活情趣，尤以出人意料的结尾闻名，被誉为“美国生活的幽默百科全书”。书评“君生我未生，我生君已老。恨不生同时，日日与君好。”在错的时间遇到对的人，也许只有一声无奈的叹息。"
" October and June","十月和六月"
"My age and yours are—but don’t make me say it again—I told you in my letter.”","我的年龄和你的年龄——别让我再说了——在信上我都告诉你了。”"
"The Captain flushed a little through the bronze on his face.","上尉那古铜色的脸上泛起了微红。"
"He was silent for a while, gazing sadly into the twilight.","他沉默了一会儿，悲伤地望着暮色。"
"Beyond a line of woods that he could see was a field where the boys in blue had once bivouacked on their march toward the sea.","他看到那一排树的后面有一片空地，当初穿蓝色制服的士兵向海岸行军时曾在那里露营。"
"How long ago it seemed now!","现在想来，那仿佛是多久以前的事了啊！"
"Truly, Fate and Father Time had tricked him sorely.","的确，命运和时间狠狠地捉弄了他。"
"Just a few years interposed between himself and happiness!","他和幸福之间仅隔着那么几年！"
"Theodora’s hand crept down and rested in the clasp of his firm, brown one.","西奥多拉的手滑落下来，被他那有力、黝黑的手紧紧握住。"
"She felt, at least, that sentiment that is akin to love.","她感到至少有种近似爱的感情。"
"“Don’t take it so hard, please,” she said, gently.","“别太难过了，”她温柔地说，"
"“It’s all for the best.","“这对我们都好。"
"I’ve reasoned it out very wisely all by myself.","我自己冷静地思前想后过了。"
"Some day you’ll be glad I didn’t marry you.","总有一天，你会为没有和我结婚而高兴。"
"It would be very nice and lovely for a while—but, just think!","如果我们结婚的话，短期内可能会很幸福美满——但是你再想想！"
"In only a few short years what different tastes we would have!","短短几年之后，我们的爱好将有多大的差别！"
"One of us would want to sit by the fireside and read, and maybe nurse neuralgia or rheumatism of evenings, while the other would be crazy for balls and theatres and late suppers.","我们俩中的一个人想要坐在壁炉边看书，晚上还要调养神经痛或风湿病，而另一个人则渴望参加舞会、看戏或出席晚宴。"
"No, my dear friend.","不，我亲爱的朋友。"
"While it isn’t exactly January and May, it’s a clear case of October and pretty early in June.”","虽然我们的差异不像寒冬的一月和初夏的五月那么明显，但至少也像晚秋的十月与仲夏的六月。”"
"“I’d always do what you wanted me to do, Theo.","“我会一直按照你的意愿做，西奥。"
"If you wanted to—”","如果你让我——”"
"“No, you wouldn’t.","“不，你不会。"
"You think now that you would, but you wouldn’t.","你现在觉得你能做到，但其实不可能。"
"Please don’t ask me any more.”","请别再求我了。”"
"The Captain had lost his battle.","上尉这一仗败了。"
"But he was a gallant warrior, and when he rose to make his final adieu his mouth was grimly set and his shoulders were squared.","但他是个英勇的战士，当他起身做最后的告别时，他紧抿嘴唇，挺起胸膛。"
"He took the train for the North that night.","当晚他就乘火车北上。"
"On the next evening he was back in his room, where his sword was hanging against the wall.","第二天晚上，他就回到了自己那个墙上挂着佩剑的房间。"
"He was dressing for dinner, tying his white tie into a very careful bow.","他正在精心打着白色的领结，准备外出吃晚餐。"
"And at the same time he was indulging in a        pensive soliloquy.","同时，他忧郁地自言自语。"
"“’Pon my honour, I believe Theo was right, after all.","“说到底，我觉得西奥还是对的。"
"Nobody can deny that she’s a peach, but she must be twenty-eight, at the very kindest calculation.”","不可否认她的确是个美人，但是保守估计，她怎么也有28岁了。”"
"For you see, the Captain was only nineteen, and his sword had never been drawn except on the parade ground at Chattanooga, which was as near as he ever got to the Spanish-American War.","要知道，上尉只有19岁，他的那把佩剑除了在查塔努加的检阅场以外，从未拔出来过，就像他也从未参加过美西战争一样。","译者注：Chattanooga（查塔努加），美国田纳西州东南部一城市。"

