书名拉里尔舞曲的小提琴手（哈代短篇小说）短简介小提琴曲，或者说拉曲子的小提琴手究竟有何魔力，让一个女子为其抛夫弃女、离经叛道？多愁善感的姑娘因偶然邂逅小提琴手及其充满魅惑的曲子，拒绝了一直仰慕他的男子，之后却又主动寻找、投靠他，命运又会如何捉弄他们？哈代的这篇短篇小说用压抑的笔调讲述了一个发生在南威塞克斯的悲剧故事。长简介哈代的短篇小说《拉里尔舞曲的小提琴手》讲述了一个发生在南威塞克斯的悲剧故事。女主人公偶然邂逅了会弹奏魅惑舞曲的小提琴手，不可自拔地陷入了对他的爱恋，因而拒绝了一直在追求她的机械师。机械师伤心地离开家乡去往伦敦，后来却意外收到了女主人公的来信，重归旧好，不想女主人公却带来了一位不速之客——她与小提琴手的孩子。之后三人返乡，在小旅馆中，小提琴手再次出现并带走了孩子，这让机械师痛苦不已。整篇小说笔调压抑，不管是景物描写、动作描写还是心理描写都带着挥之不去的悲剧色彩。关键字拉里尔舞曲的小提琴手；哈代；外研社编译组；短篇；悲剧；爱情作者（英）托马斯·哈代作者简介托马斯·哈代（1840—1828），英国诗人、小说家。哈代早期和中期的创作以小说为主，继承和发扬了维多利亚时代的文学传统；晚年以其出色的诗歌开拓了英国20世纪的文学。代表作有《韦塞克斯诗集》、《德伯家的苔丝》等。哈代的小说以他所生长生活的英格兰西南部地区为背景，富有浓重的地方色彩。他的小说大体分为3类：性格与环境的小说、罗曼史与幻想的小说和精于结构的小说。书评英国小说家中的最伟大的悲剧大师。——伍尔夫英国小说中的莎士比亚。 ——韦伯小提琴曲，或者说拉奏曲子的小提琴手究竟有何魔力，让一个女子为其抛夫弃女、离经叛道？
The Fiddler of the Reels	拉里尔舞曲的小提琴手		
But when closer her step grew timid, her tread convulsed itself more and more accordantly with the time of the melody, till she very nearly danced along.	但是离他近一点儿时，她的脚步又变得羞怯起来，步伐跳动着，与旋律的节奏越来越一致，简直就是踏着舞步向前走了。		
Gaining another glance at him when immediately opposite, she saw that one of his eyes was open, quizzing her as he smiled at her emotional state.	走到他正前方时，她又瞥了他一眼，看到他的一只眼睛睁着，用探究的目光看着她，同时嘲笑她激动的情绪。		
Her gait could not divest itself of its compelled capers till she had gone a long way past the house; and Car’line was unable to shake off the strange infatuation for hours.	直到离开那所房子很长一段距离，她的步伐才摆脱了不由自主的跳跃。好几个小时之后，卡罗琳才摆脱了那莫名的悸动。		
After that day, whenever there was to be in the neighbourhood a dance to which she could get an invitation, and where Mop Ollamoor was to be the musician, Car’line contrived to be present, though it sometimes involved a walk of several miles; for he did not play so often in Stickleford as elsewhere.	那天之后，每当附近有舞会，只要她能获得邀请，而且“大拖把”奥拉莫尔是舞会的伴奏者时，卡罗琳总是设法参加。由于他不常在斯蒂克福德演奏，卡罗琳有时要走好几英里，但她还是乐此不疲。		
The next evidences of his influence over her were singular enough, and it would require a neurologist to fully explain them.	还有一些能表明他对她的影响的迹象，它们相当奇异，可能需要一位神经科医师才能完全解释清楚。		
She would be sitting quietly, any evening after dark, in the house of her father, the parish clerk, which stood in the middle of Stickleford village street, this being the highroad between Lower Mellstock and Moreford, five miles eastward.	每天天黑后，她会静静地坐在身为教区执事的父亲的房子里。房子位于斯蒂克福德村街道中部，这条街是连接下梅尔斯托克和东边五英里外的莫尔福德的大路。		
Here, without a moment’s warning, and in the midst of a general conversation between her father, sister, and the young man before alluded to, who devotedly wooed her in ignorance of her infatuation, she would start from her seat in the chimney-corner as if she had received a galvanic shock, and spring convulsively towards the ceiling; then she would burst into tears, and it was not till some half-hour had passed that she grew calm as usual.	在这房子里，当父亲、姐姐以及之前提到的年轻男子——他热烈地追求她，却并不知道她的悸动——进行日常的交谈时，她会毫无预警地从壁炉边的座位上跳起来，再向天花板猛跳几下，好像触了电一般。接着她便大哭起来，持续半个小时左右才会恢复平静。		
Her father, knowing her hysterical tendencies, was always excessively anxious about this trait in his youngest girl, and feared the attack to be a species of epileptic fit.	她的父亲知道她情绪很容易变得激动，总是为最小的女儿这一特质忧心忡忡，担心那是癫痫发作的症状。		
Not so her sister Julia.	她的姐姐朱莉娅可不这么想。		
Julia had found out what was the cause.	朱莉娅已经发现了原因。		
At the moment before the jumping, only an exceptionally sensitive ear situated in the chimney-nook could have caught from down the flue the beat of a man’s footstep along the highway without.	在她跳跃之前，只有坐在壁炉边上且耳朵极度灵敏的人，才可以听到从烟囱管道传来的公路上一个男人的脚步声。		
But it was in that footfall, for which she had been waiting, that the origin of Car’line’s involuntary springing lay.	那是卡罗琳一直等待的脚步声，正是那脚步声使得卡罗琳不由自主地跳跃。		
The pedestrian was Mop Ollamoor, as the girl well knew; but his business that way was not to visit her; he sought another woman whom he spoke of as his Intended, and who lived at Moreford, two miles farther on.	那个行人就是“大拖把”奥拉莫尔，这一点女孩很清楚。但是，他到这里并不是来拜访她，而是去找那个他称之为意中人的另一个女人。那女人住在莫尔福德，还要再走两英里才到。		
On one, and only one, occasion did it happen that Car’line could not control her utterance; it was when her sister alone chanced to be present.	有一次，只有一次，卡罗琳情不自禁地叫出声来，那一次恰好只有她姐姐在场。		
‘Oh—oh—oh—!’ she cried.	“哦——哦——哦——！”她叫道，		
‘He’s going to her, and not coming to me!’	“他是去找她，不是来找我！”		
To do the fiddler justice he had not at first thought greatly of, or spoken much to, this girl of impressionable mould.	说句公道话，刚开始，这位小提琴手对这位多愁善感的姑娘并不很感兴趣，也没和她说过几句话。		
But he had soon found out her secret, and could not resist a little by-play with her too easily hurt heart, as an interlude between his more serious performances at Moreford.	但是，他很快就发现了她的秘密，便忍不住玩弄一下她那太过容易受伤的心，作为他在莫尔福德正经恋情的小插曲。		
The two became well acquainted, though only by stealth, hardly a soul in Stickleford except her sister, and her lover Ned Hipcroft, being aware of the attachment.	两个人变得熟稔起来，不过只是在暗地里。在斯蒂克福德，只有她姐姐和她的恋人内德·希普克罗夫特知道两人有来往。		
Her father disapproved of her coldness to Ned; her sister, too, hoped she might get over this nervous passion for a man of whom so little was known.	她父亲不赞成她对内德如此冷淡，她姐姐也希望她能摆脱对一个不怎么了解的男人的那神经质的激情。		
The ultimate result was that Car’line’s manly and simple wooer Edward found his suit becoming practically hopeless.	最终的结果是，爱德华——卡罗琳那单纯质朴、具有男子气概的追求者发现他的求爱几乎无望。		
He was a respectable mechanic, in a far sounder position than Mop the nominal horse-doctor; but when, before leaving her, Ned put his flat and final question, would she marry him, then and there, now or never, it was with little expectation of obtaining more than the negative she gave him.	他是个受人尊敬的机械师，地位远高于“大拖把”这个名义上的兽医。但是，在离开她之前，内德直截了当地最后一次问她愿不愿意嫁给他，要么当场答应，要么断绝关系。不出所料，她给出了否定的答案。		
Though her father supported him and her sister supported him, he could not play the fiddle so as to draw your soul out of your body like a spider’s thread, as Mop did, till you felt as limp as withy-wind and yearned for something to cling to.	尽管她父亲支持他，她姐姐也支持他，但是他却不能像“大拖把”那样拉小提琴，把你的灵魂如蜘蛛抽丝般从身体抽离出来，直到你觉得自己像风中的柳条般柔软无力，渴望依附着什么。		
Indeed, Hipcroft had not the slightest ear for music; could not sing two notes in tune, much less play them.	实际上，希普克罗夫特一点儿音乐天赋都没有，两个音符都唱不到调上，更别说演奏了。		
The No he had expected and got from her, in spite of a preliminary encouragement, gave Ned a new start in life.	尽管她最初对他有过鼓励，但她的拒绝也在他预料之中。这使内德的生活有了一个新开端。		
It had been uttered in such a tone of sad entreaty that he resolved to persecute her no more; she should not even be distressed by a sight of his form in the distant perspective of the street and lane.	卡罗琳拒绝他时，语气哀婉，带着恳求，于是他决定不再纠缠她。她甚至都不应该因在街头巷尾看到他的身影而感到不安。		
He left the place, and his natural course was to London.	他离开了，目的地自然是伦敦。		
The railway to South Wessex was in process of construction, but it was not as yet opened for traffic; and Hipcroft reached the capital by a six days’ trudge on foot, as many a better man had done before him.	那时，通往南威塞克斯的铁路还在建设，没有开通运行。像许多优秀的前人一样，希普克罗夫特经过六天的步行跋涉才来到首都。		
He was one of the last of the artisan class who used that now extinct method of travel to the great centres of labour, so customary then from time immemorial.	自古以来，步行是惯用的交通方式，但现在已经不流行了，而他则是最后一批用这种方式来到巨大的劳动力中心的工匠之一。		
In London he lived and worked regularly at his trade.	他在伦敦的生活、工作都很有规律。		
More fortunate than many, his disinterested willingness recommended him from the first.	比很多人都幸运的是，他大公无私，任劳任怨，这使他初来就受到青睐。		
During the ensuing four years he was never out of employment.	在之后的四年里，他从未失过业。		
He neither advanced nor receded in the modern sense; he improved as a workman, but he did not shift one jot in social position.	从现代的角度看，他既没有进步，也没有退步。作为一个工人，他技艺有所提高，但他的社会地位并没有丝毫改变。		
About his love for Car’line he maintained a rigid silence.	至于他对卡罗琳的爱，他守口如瓶。		
No doubt he often thought of her; but being always occupied, and having no relations at Stickleford, he held no communication with that part of the country, and showed no desire to return.	毫无疑问，他经常想起她，但是因为总有活干，在斯蒂克福德也没什么亲戚，他与那里没有什么联系，也没有表现出想回去的欲望。		
In his quiet lodging in Lambeth he moved about after working-hours with the facility of a woman, doing his own cooking, attending to his stocking-heels, and shaping himself by degrees to a life-long bachelorhood.	他在兰贝斯过着安静的生活。下班后，他像个女人一样熟练地忙碌，自己做饭、缝补袜子的脚后跟，把自己锻炼成一个可以单身过一辈子的男人。		
For this conduct one is bound to advance the canonical reason that time could not efface from his heart the image of little Car’line Aspent—and it may be in part true; but there was also the inference that his was a nature not greatly dependent upon the ministrations of the other sex for its comforts.	对于这种行为，人们很可能会提出那种经典的解释，即时间并不能把小卡罗琳·阿斯彭特的身影从他心中抹去——这可能在一定程度上是对的；但是还有人推断说，他本质上并不是一个需要女人的服侍照料才能使自己舒服的人。		
The fourth year of his residence as a mechanic in London was the year of the Hyde-Park Exhibition already mentioned, and at the construction of this huge glass-house, then unexampled in the world’s history, he worked daily.	他作为机械师在伦敦居住的第四年，就是之前提到的在海德公园举办万国工业博览会的那一年。为了建造当时世界上史无前例的那座巨大玻璃建筑，他每天都工作。		
It was an era of great hope and activity among the nations and industries.	那是一个兴旺繁忙、前景美好的时代，各个国家、各种行业都是如此。		
Though Hipcroft was, in his small way, a central man in the movement, he plodded on with his usual outward placidity.	尽管从希普克罗夫特本人来看，他处于这场运动的中心，但他还是埋头苦干，外表一如既往地平静。		
Yet for him, too, the year was destined to have its surprises, for when the bustle of getting the building ready for the opening day was past, the ceremonies had been witnessed, and people were flocking thither from all parts of the globe, he received a letter from Car’line.	然而，对他来说，那一年同样注定会有意想不到的地方。因为当开幕式的准备工作忙完，仪式举行后，人们从世界各地蜂拥而至时，他收到了卡罗琳的一封信。		
Till that day the silence of four years between himself and Stickleford had never been broken.	直到那一天，他与斯蒂克福德之间四年的沉默才被打破。		
She informed her old lover, in an uncertain penmanship which suggested a trembling hand, of the trouble she had been put to in ascertaining his address, and then broached the subject which had prompted her to write.	信中的字歪歪扭扭，可以看出写信时她的手是颤抖的。她告诉这位昔日的情人，她为了查找他的地址费了多少力，然后提到了促使她写信的主题。		
Four years ago, she said with the greatest delicacy of which she was capable, she had been so foolish as to refuse him.	她尽力用最委婉的方式写道，自己四年前拒绝他是非常愚蠢的。		
Her wilful wrong-headedness had since been a grief to her many times, and of late particularly.	从那之后，她的任性、糊涂多次使她悲伤不已，最近尤其严重。		
As for Mr. Ollamoor, he had been absent almost as long as Ned—she did not know where.	至于奥拉莫尔先生，他也离开了，离开的时间和内德差不多长——她不知道他去了哪里。		
She would gladly marry Ned now if he were to ask her again, and be a tender little wife to him till her life’s end.	如果内德再次求婚的话，她会很乐意嫁给他，做他温柔的小妻子，直到生命结束。		
A tide of warm feeling must have surged through Ned Hipcroft’s frame on receipt of this news, if we may judge by the issue.	如果我们可以就此事来判断的话，内德·希普克罗夫特收到这消息时，身上想必会泛起一股暖流。		
Unquestionably he loved her still, even if not to the exclusion of every other happiness.	毋庸置疑，他仍然爱她，虽然还不至于让他把其他各种幸福置之不顾。		
This from his Car’line, she who had been dead to him these many years, alive to him again as of old, was in itself a pleasant, gratifying thing.	在这么多年的冷漠之后，他的卡罗琳如今又像以前那样对他，这本身就是一件让人开心和满意的事情。		
Ned had grown so resigned to, or satisfied with, his lonely lot, that he probably would not have shown much jubilation at anything.	内德已经习惯于对自己孤独的命运逆来顺受，甚至感到满足，或许不会对任何事情表现出欣喜。		
Still, a certain ardour of preoccupation, after his first surprise, revealed how deeply her confession of faith in him had stirred him.	但是，继最初的惊讶之后，他那独特的专注热情表明了她的告白使他极为激动不安。		
Measured and methodical in his ways, he did not answer the letter that day, nor the next, nor the next.	他习惯再三揣摩、有条不紊，当天并未回信，第二天、第三天也没有。		
He was having ‘a good think.’	他在“认真思考”。		
When he did answer it, there was a great deal of sound reasoning mixed in with the unmistakable tenderness of his reply; but the tenderness itself was sufficient to reveal that he was pleased with her straightforward frankness; that the anchorage she had once obtained in his heart was renewable, if it had not been continuously firm.	当他回信时，信中既有大量合理的说理，还有着显而易见的柔情，但那柔情本身就足以证明他喜欢她的直率坦白。她在他心中的位置虽然不是一直那样稳固，但也可以再次恢复。		
He told her—and as he wrote his lips twitched humorously over the few gentle words of raillery he indited among the rest of his sentences—that it was all very well for her to come round at this time of day.	他告诉她——他在句子中写了一些温和的玩笑话，自以为很幽默，嘴唇抽动着笑起来——时至今日，她能回心转意自然很好。		
Why wouldn’t she have him when he wanted her?	可为什么当他向她求爱时，她却拒绝了他呢？		
She had no doubt learned that he was not married, but suppose his affections had since been fixed on another?	毫无疑问，她打听到他尚未结婚，但是假设那之后他喜欢上了别人呢？		
She ought to beg his pardon.	她应该乞求他的原谅。		
Still, he was not the man to forget her.	然而，他还是忘不了她。		
But considering how he had been used, and what he had suffered, she could not quite expect him to go down to Stickleford and fetch her.	但是，考虑到他之前受过的冷遇以及遭受的折磨，她也不能过于期待他会回斯蒂克福德来接她。		
But if she would come to him, and say she was sorry, as was only fair; why, yes, he would marry her, knowing what a good little woman she was at the core.	但是，如果她肯来找他，向他道歉——只有这样才是公平的做法——他还是会娶她，因为他知道她本质上是个多么好的小女人。		
He added that the request for her to come to him was a less one to make than it would have been when he first left Stickleford, or even a few months ago; for the new railway into South Wessex was now open, and there had just begun to be run wonderfully contrived special trains, called excursion-trains, on account of the Great Exhibition; so that she could come up easily alone.	他还补充说，比起他刚离开斯蒂克福德时，甚至比几个月前，要她来找他的这一要求都要更容易满足，因为通往南威塞克斯的新铁路现在开通了。为万国工业博览会之便，一种叫做游览列车的设计精美的专列刚开始运营，这样她可以很轻松地独自过来。		
She said in her reply how good it was of him to treat her so generously, after her hot and cold treatment of him; that though she felt frightened at the magnitude of the journey, and was never as yet in a railway-train, having only seen one pass at a distance, she embraced his offer with all her heart; and would, indeed, own to him how sorry she was, and beg his pardon, and try to be a good wife always, and make up for lost time.	她在回信中说，在她对他忽冷忽热之后，他对她还如此宽容，他真是太好了。她还说，尽管害怕远途旅行且从未坐过火车，只是远远地看过一次火车经过，自己还是心甘情愿地接受他的提议。实际上，她对他心怀歉意，希望能得到他的原谅，她想用余生尽力做个好妻子，弥补过去错失的时光。		
The remaining details of when and where were soon settled, Car’line informing him, for her ready identification in the crowd, that she would be wearing ‘my new sprigged-laylock cotton gown,’ and Ned gaily responding that, having married her the morning after her arrival, he would make a day of it by taking her to the Exhibition.	时间、地点等剩余的细节很快就确定了下来。卡罗琳告诉他，为方便他在人群中找到她，她会穿“带有丁香枝叶图案的新棉布长裙”。内德欢快地回复说，她到来后的第二天早晨，他就跟她结婚，然后会带她去博览会，好好玩一天。		
One early summer afternoon, accordingly, he came from his place of work, and hastened towards Waterloo Station to meet her.	于是，初夏的一天下午，他从工作的地方出发，匆匆赶到滑铁卢火车站去接她。		
It was as wet and chilly as an English June day can occasionally be, but as he waited on the platform in the drizzle he glowed inwardly, and seemed to have something to live for again.	那天下着雨，阴冷潮湿。在英国，六月份偶尔会有这样的坏天气。但是，他冒着细雨在站台上等待的时候，心里是喜悦的，好像生活又有了意义。		
