"书名皮维和卡博（安德鲁•朗格经典童话故事）短简介一正一邪，贪婪邪恶注定不得善终。皮维是正义的代表，卡博是邪恶的代表，他非常贪婪，出卖朋友，这也为他的下场埋下了伏笔。长简介安德鲁•朗格整理的童话故事《皮维和卡博》给我们讲述了卡博因背叛朋友而致使下场可悲的故事。自私与贪婪的个性让卡博走进了一条深渊，他背叛自己的好朋友皮维，并因妒忌而对他加以陷害，还将皮维的妻子占为己有。不过善有善报，恶有恶报，最终卡博还是死在了皮维的手上。整个故事简洁易懂，揭露人性的丑恶以及“善有善报，恶有恶报”亘古不变的真理。关键字皮维和卡博；安德鲁•朗格；外研社编译组；棕色童话；自私；贪婪作者（英）安德鲁·朗格作者简介安德鲁·朗格（1844—1912），英国著名的文学家、历史学家、诗人、民俗学家，以研究神话、民间传说闻名于世，由他编纂并分别以十二种颜色命名的“世界童话集”自1898年问世以来，历久不衰，备受世界各国儿童们的喜爱。书评“如果孩子们的世界里没有那神奇美丽的童话，他们的生活将不可想象；如果这座童话乐园里没有安德鲁•朗格所编写的童话，他们的童心就得不到完美的塑造”。 ——一位西方教育家"
"Pivi and Kabo","皮维和卡博"
"‘At the top of the tree you will find two cocoa-nuts.","“在树的顶端，你会发现两个椰子。"
"You must not throw them down, but carry them in your hands; and you must descend as you went up, using your legs only.’","别往下扔，用手拿着它们下来，下来的时候也只能用脚往下滑。”"
"‘I shall try, at least,’ said Pivi.","“至少我会尝试一下。”皮维说。"
"And up he went, but it was very difficult, and down he came.","说完他就爬上去了，但是非常吃力，接着他又从树上下来。"
"‘Here are your cocoa-nuts,’ he said, presenting them to the woman.","“这是你要的椰子。”他边说边把椰子给妇人。"
"‘Now, Pivi, put them in the shed where you lay, and when the sun sets to cool himself in the sea and rise again not so hot in the dawn you must go and take the nuts.’","“现在，皮维，你把椰子放进你刚才躺过的那个棚子里。当太阳浸到海里享受清凉，然后又在黎明时分升起来时，此时不太热，你必须去棚子里取椰子。”"
"All day Pivi played about in the river, as the natives do, throwing fruit and silvery showers of water at each other.","一整天皮维都在河边玩，就像当地人那样，他跟大家互相扔水果，互相泼银色的水。"
"When the sun set he went into the hut.","当太阳下山时，他去了那间房子。"
"But as he drew near he heard sweet voices talking and laughing within.","但当他靠近时，他听到里面传出甜美的谈话声和银铃般的笑声。"
"‘What is that?","“那是什么？"
"People chattering in the hut!","有人在屋子里谈话！"
"Perhaps they have taken my cocoa-nuts,’ said Pivi to himself.","也许他们已经拿走了我的椰子。”皮维自言自语道。"
"In he went, and there he found two pretty, laughing, teasing girls.","他走到里面，发现里面有两个漂亮爱笑的姑娘。"
"He hunted for his cocoanuts, but none were there.","他到处找他的椰子，但是没有找到。"
"Down he ran to the river.","于是他跑回到河边。"
"‘Oh, lady, my nuts have been stolen!’ he cried.","“啊，女士，我的椰子被偷了！”他喊道。"
"‘Come with me, Pivi, and there will be nuts for you,’ said the woman.","“跟我来，皮维，少不了你的椰子。”妇人说道。"
"They went back to the hut, where the girls were laughing and playing.","他们回到棚子里，两个女孩还在边笑边玩。"
"‘Nuts for you?’ said the woman, ‘there are two wives for you, Pivi, take them to your house.’","“你的椰子？”妇人说，“这里有你的两位妻子，皮维。带她们到你的房间里去。”"
"‘Oh, good lady,’ cried Pivi, ‘how kind you are!’","“啊，好女士！”皮维喊着，“你太善良了！”"
"So they were married and very happy, when in came cross old Kabo.","然后他们结婚了，而且非常幸福，直到他们碰到卡博。"
"‘Is this Pivi?’ said he.","“这是皮维吗？”卡博说道，"
"‘Yes, it is—no, it isn’t.","“一定是，不对，不是。"
"It is not the same Pivi—but there is a kind of likeness.","这不是我认识的皮维，但是有一点儿相像。"
"Tell me, are you Pivi?’","告诉我，你是皮维吗？”"
"‘Oh, yes!’ said Pivi.","“啊，是的！”皮维说，"
"‘But I am much better looking, and there are my two wives, are they not beautiful?’","“而且我变得更好看了。这是我的两位妻子，她们是不是很漂亮？”"
"‘You are mocking me, Pivi!","“你开玩笑吧，皮维！"
"Your wives?","你的妻子？"
"How?","怎么回事？"
"Where did you get them?","你从哪里得到她们的？"
"You, with wives!’","你，还有你的妻子！”"
"Then Pivi told Kabo about the kind woman, and all the wonderful things that had happened to him.","然后皮维就告诉了卡博关于那个善良的妇人和发生在自己身上的所有美好的一切。"
"‘Well, well!’ said Kabo, ‘but I want to be handsome too, and to have pretty young wives.’","“真好，真好，”卡博说，“我也想变得帅气，想有漂亮的妻子。”"
"‘But how can we manage that?’ asked Pivi.","“但是我们怎么才能做到呢？”皮维问道。"
"‘Oh, we shall do all the same things over again—play at slinging, and, this time, you shall break my leg, Pivi!’","“哦，我们应该把相同的事情再做一遍——投石游戏。而且这一次你要弄伤我的腿，皮维！”"
"‘With all the pleasure in life,’ said Pivi, who was always ready to oblige.","“当然可以！”皮维对卡博向来言听计从。"
"So they went slinging, and Pivi broke Kabo’s leg, and Kabo fell into the river, and floated into the bamboo, and the woman blew him out, just as before.","于是他们又去玩投石游戏，皮维打断了卡博的腿。卡博倒在河里，顺流漂进了大竹筒，少妇同样把它吹了出来。"
"Then she picked up Kabo, and put him in the shed, and told him what to do when the Black Ant came, and what to do when the Red Ant came.","妇人捡起卡博，把他放进小棚子里，并且告诉他，当黑蚁来时怎么做，红蚁来时又怎么做。"
"But he didn’t!","但是卡博并没有照做。"
"When the Black Ant came, he shook himself, and behold, he had a twisted leg, and a hump back, and was as black as the ant.","黑蚂蚁刚爬到身上，他就迫不及待地乱晃。看！他也变了，变得瘸腿驼背，黑如蚂蚁。"
"Then he ran to the woman.","然后他跑去找那个妇人。"
"‘Look, what a figure I am!’ he said; but she only told him to climb the tree, as she had told Pivi.","“看，我这样子多难看啊！”妇人并不理睬，只是让他照皮维的样子爬树。"
"But Kabo climbed with both hands and feet, and he threw down the nuts, instead of carrying them down, and he put them in the hut.","可是，卡博爬起树来手脚并用，两个椰子也没用手拿下来，而是直接扔到了地上。然后他把椰子放进棚子里。"
"And when he went back for them there he found two horrid old black hags, wrangling, and scolding, and scratching!","当他回来取的时候，他发现两个又黑又可怕的老太婆在里面争吵谩骂，打成一团。"
"So back he went to Pivi with his two beautiful wives, and Pivi was very sorry, but what could he do?","就这样卡博回去见皮维和他的两个漂亮妻子。皮维很过意不去，但是他又能做什么呢？"
"Nothing, but sit and cry.","什么都做不了，只能陪他坐着掉泪。"
"So, one day, Kabo came and asked Pivi to sail in his canoe to a place where he knew of a great big shell-fish, enough to feed on for a week.","一天，卡博来找皮维，邀他乘他的独木舟出海，说自己发现了一只大牡蛎，足够让他们吃一个星期。"
"Pivi went, and deep in the clear water they saw a monstrous shell-fish, like an oyster, as big as a rock, with the shell wide open.","皮维去了，他们看到在清澈的水深处有一个巨大的贝壳，像一只牡蛎，但个头像座小山包，张着两片壳。"
"‘We shall catch it, and dry it, and kipper it,’ said Pivi, ‘and give a dinner to all our friends!’","“我们应该抓住它，把它晒干腌好，”皮维说，“然后请我们所有的朋友一起吃一顿大餐。”"
"‘I shall dive for it, and break it off the rock,’ said Kabo, ‘and then you must help me to drag it up into the canoe.’","“我潜水过去，先把它从石缝里拖出来，”卡博说，“然后你必须帮助我把它拖到船上。”"
"There the shell-fish lay and gaped, but Kabo, though he dived in, kept well out of the way of the beast.","贝壳仍张着大嘴躺在那里，一动不动。卡博潜到水里，只在怪物周围转，根本不敢凑过去。"
"Up he came, puffing and blowing: ‘Oh, Pivi,’ he cried, ‘I cannot move it.","不一会儿，他浮出水面，气喘吁吁地喊：“喂，皮维，我弄不动它。"
"Jump in and try yourself!’","要不你跳下去试试？”"
"Pivi dived, with his spear, and the shell-fish opened its shell wider yet, and sucked, and Pivi disappeared into its mouth, and the shell shut up with a snap!","皮维带着自己的长矛潜入水中，刚游到跟前，贝壳突然张大双壳，用力一吸，皮维便消失在它的嘴里，然后它啪的一声合上了壳。"
"Kabo laughed like a fiend, and then went home.","卡博一阵狞笑，径直回到皮维家里。"
"‘Where is Pivi?’ asked the two pretty girls.","“皮维在哪里？”两个漂亮的姑娘问道。"
"Kabo pretended to cry, and told how Pivi had been swallowed.","卡博假装哭泣，接着告诉她们皮维被吞的经过。"
"‘But dry your tears, my darlings,’ said Kabo, ‘I will be your husband, and my wives shall be your slaves.","“擦干你们的眼泪，我的宝贝，”卡博说，“我来做你们的丈夫，我的妻子可以做你们的奴隶。"
"Everything is for the best, in the best of all possible worlds.’","这样的安排再好不过了，我可是一片好心。”"
"‘No, no!’ cried the girls, ‘we love Pivi.","“不，不！”女孩哭着说，“我们爱皮维。"
"We do not love anyone else.","我们不会爱上其他任何人了。"
"We shall stay at home, and weep for Pivi!’","我们要留在家里为皮维哭泣，哪儿也不去！”"
"‘Wretched idiots!’ cried Kabo; ‘Pivi was a scoundrel who broke my leg, and knocked me into the river.’","“可怜的傻瓜！”卡博吼道，“皮维是一个无赖，他打断了我的腿，还把我踹进了河里。”"
"Then a little cough was heard at the door, and Kabo trembled, for he knew it was the cough of Pivi!","这时门口处传来一声轻轻的咳嗽。卡博哆嗦起来，因为他知道那是皮维的咳嗽声！"
"‘Ah, dear Pivi!’ cried Kabo, rushing to the door.","“哎哟，亲爱的皮维！”卡博叫道，连忙跑到门口，"
"‘What joy!","“太让人高兴了！"
"I was trying to console your dear wives.’","我刚才正努力安慰你心爱的妻子呢。”"
"Pivi said not one word.","皮维二话没说。"
"He waved his hand, and five and twenty of his friends came trooping down the hill.","他挥了挥手，然后他的二十五个朋友冲下了山。"
"They cut up Kabo into little pieces.","他们把卡博剁成了小碎片。"
"Pivi turned round, and there was the good woman of the river.","皮维转过身，他看到河边那善良的妇人。"
"‘Pivi,’ she said, ‘how did you get out of the living tomb into which Kabo sent you?’","“皮维，”她问，“你是怎么逃出卡博专门为你准备的那口棺材的？”"
"‘I had my spear with me,’ said Pivi.","“我带了长矛，”皮维说，"
"‘It was quite dry inside the shell, and I worked away at the fish with my spear, till he saw reason to open his shell, and out I came.’","“贝壳里面很干燥，我就不停地用我的矛刺它，直到它肯张开它的壳。然后我就出来了。”"
" Then the good woman laughed; and Pivi and his two wives lived happy ever afterwards.","听罢，那个善良的妇人笑了。从此以后，皮维和他的两个妻子过上了幸福的生活。"

