书名尼亚加拉（马克·吐温经典短篇小说）短简介故事介绍了主人公前往尼亚加拉瀑布探寻真正的印第安人的故事。那些在书本中被描述得友善、睿智、自由而高尚的人，结果却是一群满嘴污言秽语、粗暴野蛮的人。主人公最终落得一个悲惨的下场，遭到辱骂和殴打，不幸跌入了瀑布之中，差点儿没命。长简介故事以马克·吐温一贯的幽默和讽刺手法，介绍了主人公前往尼亚加拉瀑布探寻真正的印第安人的故事。那些在书本中被描述得友善、睿智、自由而高尚的人，结果却是一群满嘴污言秽语、粗暴野蛮的人。主人公最终落得一个悲惨的下场，遭到辱骂和殴打，不幸跌入了瀑布之中，差点没命。在作者笔下，印第安人成了窃贼、野蛮人和无恶不作的暴徒，他们对旁人没有一丝友善，甚至见死不救。最后，作者指出了他们恶劣品行的根源，也就是他们的故乡所在。关键字尼亚加拉；马克·吐温；外研社编译组；短篇；幽默；讽刺；印第安人；北美作者（美）马克·吐温作者简介马克·吐温（1835—1910），美国的幽默大师、小说家、作家，也是著名演说家，19世纪后期美国现实主义文学的杰出代表。他站在人道主义立场上，尖锐地揭露了美国民主与自由掩盖下的虚伪，批判了美国作为发达资本主义国家固有的社会弊端。其代表作品有《百万英镑》、《哈克贝利·费恩历险记》、《汤姆·索亚历险记》、《王子与贫儿》等等。书评“第一位真正的美国作家，我们都是继承他而来”——威廉·福克纳 
Niagara	尼亚加拉
Then you drive over to Suspension Bridge, and divide your misery between the chances of smashing down two hundred feet into the river below, and the chances of having the railway-train overhead smashing down onto you.	尔后，你驾车来到吊桥，有两种方法可供你解忧：一是跳入200英尺下的河流里，一是呆在桥底下，让火车从你头顶呼啸而过。
Either possibility is discomforting taken by itself, but, mixed together, they amount in the aggregate to positive unhappiness.	单靠一种可能不会让你感到欣慰，但是，混合起来，它们一定会让你不愉快。
On the Canada side you drive along the chasm between long ranks of photographers standing guard behind their cameras, ready to make an ostentatious frontispiece of you and your decaying ambulance, and your solemn crate with a hide on it, which you are expected to regard in the light of a horse, and a diminished and unimportant background of sublime Niagara; and a great many people have the incredible effrontery or the native depravity to aid and abet this sort of crime.	在加拿大那边，你驾车沿着峡谷，穿行在一长排守卫在相机后的摄影师之间，他们随时会拍出一张招摇的卷首插图，以你和你那破败的车子以及那盖了盖子的且你希望当它是一匹马的暗色木箱作为雄伟的尼亚加拉瀑布渺小的、不重要的背景；而还有一大群人竟然以那令人瞠目结舌的厚颜无耻或当地人的腐化行径，去帮助和教唆这种蠢事。
Any day, in the hands of these photographers, you may see stately pictures of papa and mamma, Johnny and Bub and Sis or a couple of country cousins, all smiling vacantly, and all disposed in studied and uncomfortable attitudes in their carriage, and all looming up in their awe-inspiring imbecility before the snubbed and diminished presentment of that majestic presence whose ministering spirits are the rainbows, whose voice is the thunder, whose awful front is veiled in clouds, who was monarch here dead and forgotten ages before this hackful of small reptiles was deemed temporarily necessary to fill a crack in the world’s unnoted myriads, and will still be monarch here ages and decades of ages after they shall have gathered themselves to their blood-relations, the other worms, and been mingled with the unremembering dust.	兴许有一天，在这些摄影师的手中，你会看见谁的父母一本正经的照片、年纪不等的男孩和女孩，或三两个乡下人，他们茫然地微笑着，都以事先安排好的做作且不适的姿态坐在马车里，在备受冷淡和贬低的威严表象面前，他们呈现出令人叹为观止的愚笨，他们臣服的灵魂是彩虹，他们的声音是雷霆，他们可怕的模样隐藏在乌云之中，在这里，他们只是麻木的忘记了年纪的君王，被那些小人驱使着，暂时出来填补那不知名的芸芸众生里的一条裂缝；几十年后，他们把这些照片收集起来，和着那模糊的粉尘，一起传给后代，即另外一些小人物，而他们在照片里仍将是君王。
There is no actual harm in making Niagara a background whereon to display one’s marvelous insignificance in a good strong light, but it requires a sort of superhuman self-complacency to enable one to do it.	以尼亚加拉瀑布作为背景，在强光下展现一个人的渺小，这也没什么不可以的，但是，这人得有超乎寻常的自信，才能这么做。
When you have examined the stupendous Horseshoe Fall till you are satisfied you cannot improve on it, you return to America by the new Suspension Bridge, and follow up the bank to where they exhibit the Cave of the Winds.	当你参观完这了不起的马蹄形瀑布，且深深地感到它已是近乎完美了，你便从那高架铁路桥返回美国，沿着河岸来到“风之洞穴”。
Here I followed instructions, and divested myself of all my clothing, and put on a waterproof jacket and overalls.	在这里，我按照指示，脱掉身上所有的衣服，换上防水夹克和工装裤。
This costume is picturesque, but not beautiful.	这身装束很独特，但并不好看。
A guide, similarly dressed, led the way down a flight of winding stairs, which wound and wound, and still kept on winding long after the thing ceased to be a novelty, and then terminated long before it had begun to be a pleasure.	一个穿着同样装束的导游，引导我们走下一段环梯，这楼梯弯弯曲曲地旋转着：当早就没有了开始时的新奇时，它还在旋转着；而在它成为一种旋转的乐趣之前，却又早早结束了。
We were then well down under the precipice, but still considerably above the level of the river.	然后，我们正好处在悬崖下，但距离水面还是相当远。
We now began to creep along flimsy bridges of a single plank, our persons shielded from destruction by a crazy wooden railing, to which I clung with both hands—not because I was afraid, but because I wanted to.	此时，我们开始在那座只有一层薄板的桥上蹑足前行，其中有些人抓住那令人抓狂的栏杆，以防自己掉下去，我则是用两只手抓住栏杆——并不是因为害怕，只是我就想这么做。
Presently the descent became steeper and the bridge flimsier, and sprays from the American Fall began to rain down on us in fast increasing sheets that soon became blinding, and after that our progress was mostly in the nature of groping.	过了一会儿，桥更加向下倾斜，桥身也更加脆弱，而美国大瀑布的水花飞溅而下，落在我们的身上，很快就模糊了我们的视线，这之后，我们只能在摸索中前进。
Nova a furious wind began to rush out from behind the waterfall, which seemed determined to sweep us from the bridge, and scatter us on the rocks and among the torrents below.	新一轮强风开始从瀑布后猛地向我们刮来，几乎把我们刮下桥，刮到岩石上和下面的激流中。
I remarked that I wanted to go home; but it was too late.	我想说我要回家，但已经来不及了。
We were almost under the monstrous wall of water thundering down from above, and speech was in vain in the midst of such a pitiless crash of sound.	那道咆哮而下的水墙几乎就在我们的正头顶上，处在这无情的轰鸣之中，说什么都没有用了。
In another moment the guide disappeared behind the deluge, and bewildered by the thunder, driven helplessly by the wind, and smitten by the arrowy tempest of rain, I followed.	又过了会儿，导游消失在那片水幕后，而我始终追随着他，尽管那轰鸣让我手足无措，那风让我感到绝望，那雨若箭一般迅速地打在我身上。
All was darkness.	黑暗吞噬了一切。
Such a mad storming, roaring, and bellowing of warring wind and water never crazed my ears before.	这般疯狂的轰鸣和怒吼，风和水呼啸交战，我的耳朵感到从未有过的混乱。
I bent my head, and seemed to receive the Atlantic on my back.	我低下头，背上似附有千斤般的重量。
The world seemed going to destruction.	世界末日仿佛来临。
I could not see anything, the flood poured down savagely.	我几乎什么也看不到，大水肆无忌惮地倾泻着。
I raised my head, with open mouth, and the most of the American cataract went down my throat.	我抬起头，张开嘴，大量美国大瀑布的水花流进我的喉咙里。
If I had sprung a leak now I had been lost.	我被淹没了，即使我的喉咙里有条裂缝。
And at this moment I discovered that the bridge had ceased, and we must trust for a foothold to the slippery and precipitous rocks.	这时我发现已经到了桥的尽头，我们必须要相信有一个立足处可使我们通往那光滑的、陡峭的岩石。
I never was so scared before and survived it.	我从未这么害怕过，然而，我还是挺过来了。
But we got through at last, and emerged into the open day, where we could stand in front of the laced and frothy and seething world of descending water, and look at it.	最后，我们终于过去了，站在那翻涌着泡沫的带状水边上，看着这水奔腾着往下流逝。
When I saw how much of it there was, and how fearfully in earnest it was, I was sorry I had gone behind it.	当我看到这么多的水，看到它这么郑重其事地奔涌着时，我真后悔不该走到它的后面去。
The noble Red Man has always been a friend and darling of mine.	那个高尚的印第安人一直都是我的朋友和亲人。
I love to read about him in tales and legends and romances.	我喜欢读他的故事、传说和传奇。
I love to read of his inspired sagacity, and his love of the wild free life of mountain and forest, and his general nobility of character, and his stately metaphorical manner of speech, and his chivalrous love for the dusky maiden, and the picturesque pomp of his dress and accoutrements.	我喜欢读他的聪明睿智、他对自由的野外生活的热爱、他高尚的品格、他严谨而富有内涵的言辞、他对那位忧郁少女的绅士般的爱，还有他那优雅而别致的穿着。
Especially the picturesque pomp of his dress and accoutrements.	尤其是他那优雅别致的穿着。
When I found the shops at Niagara Falls full of dainty Indian beadwork, and stunning moccasins, and equally stunning toy figures representing human beings who carried their weapons in holes bored through their arms and bodies, and had feet shaped like a pie, I was filled with emotion.	在尼亚加拉瀑布这里，我发现了几家商店，里面摆满了雅致的印第安念珠、质地极好的鹿皮鞋，还有同样好的仿照真人制的木偶。他们带着武器，武器插在手臂或身体上的小孔里，他们的脚类似馅饼的形状，看到这些，我非常欣喜。
I knew that now, at last, I was going to come face to face with the noble Red Man.	现在，我知道我终于可以见识到真正的印第安人了。
A lady clerk in a shop told me, indeed, that all her grand array of curiosities were made by the Indians, and that they were plenty about the Falls, and that they were friendly, and it would not be dangerous to speak to them.	商店里的一个女店员告诉我，实际上，这里大量的珍品都是出自印第安人之手，其中大多数珍品都与瀑布相关，而且，印第安人很友善，同他们打交道是不会有危险的。
And sure enough, as I approached the bridge leading over to Luna Island, I came upon a noble Son of the Forest sitting under a tree, diligently at work on a bead reticule.	的确是这样，当我走近那座通往鲁纳岛的桥时，我遇见了高贵的森林之子，他坐在树下，专注地编织着一个用珠串做成的手袋。
He wore a slouch hat and brogans, and had a short black pipe in his mouth.	他戴着一顶阔边帽，穿着一双生皮翻毛皮鞋，嘴里含着一根黑色的短烟管。
Thus does the baneful contact with our effeminate civilization dilute the picturesque pomp which is so natural to the Indian when far removed from us in his native haunts.	这和我们颓废的文明扭曲地结合，淡化了那别致的景象，但在远离我们的印第安人的居住地上，它显得如此自然。
I addressed the relic as follows:	我对这剩下的土著居民述说如下：
“Is the Wawhoo-Wang-Wang of the Whack-a-Whack happy?	“瓦卡瓦克的沃胡旺旺是不是很幸福？
Does the great Speckled Thunder sigh for the war-path, or is his heart contented with dreaming of the dusky maiden, the Pride of the Forest?	这断断续续的轰鸣声难道是在为战争中受伤的人叹息？他内心难道真的满足于只与那位忧郁的少女在梦中相见？他难道真的对这森林感到骄傲？
Does the mighty Sachem yearn to drink the blood of his enemies, or is he satisfied to make bead reticules for the pappooses of the paleface?	那孔武有力的酋长会不会恨不得喝了敌人的血？或者，他会不会只是满足于为那白人的婴孩做念珠串成的手袋？
Speak, sublime relic of bygone grandeur—venerable ruin, speak!”	说说吧，残留着过去遗威的崇高的土著居民——神圣庄严的摧残，说吧！”
The relic said:	土著居民说：
“An’ is it mesilf, Dennis Hooligan, that ye’d be takon’ for a dirty Injin, ye drawlin’, lantern-jawed, spider-legged divil!	“那是我的族人啊，丹尼斯·胡立甘，你肯定把我当作是一个肮脏的印第安人，你这个拖着长调子讲话的、凸下巴、八字腿的恶魔！
By the piper that played before Moses, I’ll ate ye!”	在摩西面前的笛声响起前，我要吃了你！”
I went away from there.	我从那里走开了。
By and by, in the neighborhood of the Terrapin Tower, I came upon a gentle daughter of the aborigines in fringed and beaded buckskin moccasins and leggins, seated on a bench with her pretty wares about her.	过了不久，在水龟塔附近，我看见一个文雅的土著女孩，她穿着用珠子镶了边的鹿皮鞋，还绑了腿，她坐在长凳上，周围摆着她诱人的货物。
She had just carved out a wooden chief that had a strong family resemblance to a clothes-pin, and was now boring a hole through his abdomen to put his bow through.	她刚刚用木头雕刻出一个酋长，那很像一个衣夹，现在，她正在他腹部上钻一个洞，以便让他的弓从那里穿过去。
I hesitated a moment, and then addressed her:	我犹豫了一下，但还是对她说：
“Is the heart of the forest maiden heavy?	“那位森林少女的心情很沉重吗？
Is the Laughing Tadpole lonely?	那个大笑的密西西比人孤独吗？
Does she mourn over the extinguished council-fires of her race, and the vanished glory of her ancestors?	她是不是在哀悼她族人那熄灭了的会议之火以及她祖先那消失了的荣耀？
Or does her sad spirit wander afar toward the hunting-grounds whither her brave Gobbler-of-the-Lightnings is gone?	或者，她那忧伤的灵魂是不是飘到了远方，到了狩猎场，但她的勇士却已经离开了？
Why is my daughter silent?	为什么那女孩如此地安静？
Has she ought against the paleface stranger?”	她是不是在抗拒陌生的白人？”
The maiden said:	那女子说：
“Faix, an’ is it Biddy Malone ye dare to be callin’ names?	“混蛋，你怎敢在这里像泼妇一样骂人？
Lave this, or I’ll shy your lean carcass over the cataract, ye sniveling blaggard!”	离开这儿，不然，我就把你这瘦骨头丢到瀑布里去，你这个大骗子！”
I adjourned from there also.	我又离开了这里。
“Confound these Indians!”	“该死的印第安人！”
I said.	我说，
“They told me they were tame; but, if appearances go for anything, I should say they were all on the warpath.”	“人们告诉我他们是很温顺的，但如果对任何事他们都是这种表现，我不得不说他们完全沉浸在敌对情绪中。”
I made one more attempt to fraternize with them, and only one.	我又一次试着亲近他们，仅此一次。
I came upon a camp of them gathered in the shade of a great tree, making wampum and moccasins, and addressed them in the language of friendship:	我遇见一个印第安人的营地，他们聚集在树阴下，手里做着贝壳念珠和鹿皮鞋，我用友好的言语对他们说：
“Noble Red Men, Braves, Grand Sachems, War Chiefs, Squaws, and High Muck-a-Mucks, the paleface from the land of the setting sun greets you!	“尊敬的印第安人、勇士们、杰出的酋长们、战争首领们、夫人们以及大人物们，从太阳落下的地方来的白人向你们致敬！
You, Beneficent Polecat—you, Devourer of Mountains—you, Roaring Thundergust—you, Bully Boy with a Glass eye—the paleface from beyond the great waters greets you all!	你们，仁慈的鸡貂——你们，群山的喜爱者——你们，狂怒的暴风雨——你们，蒙住了一只眼睛的斗士们——从大河那边来的白人向大家致敬！
War and pestilence have thinned your ranks and destroyed your once proud nation.	战争和瘟疫削弱了你们的队伍，摧毁了你们曾经引以为傲的民族。
Poker and seven-up, and a vain modern expense for soap, unknown to your glorious ancestors, have depleted your purses.	你们光荣的祖先所不知道的东西，如扑克、七点儿和现代对于钱财的无用浪费，已经耗尽了你们的资产。
Appropriating, in your simplicity, the property of others has gotten you into trouble.	因为你们的天真无知，你们去盗用别人的财产，这使你们陷入了麻烦。
Misrepresenting facts, in your simple innocence, has damaged your reputation with the soulless usurper.	由于你们单纯天真，扭曲的事实已经毁掉了你们的名誉，使你们成为“无情的掠夺者”。
Trading for forty-rod whisky, to enable you to get drunk and happy and tomahawk your families, has played the everlasting mischief with the picturesque pomp of your dress, and here you are, in the broad light of the nineteenth century, gotten up like the ragtag and bobtail of the purlieus of New York.	你们换取威士忌酒，寻欢作乐，醉了后拿家人撒气，这对你们那华丽别致的外表造成了不可磨灭的损害，而现在，在19世纪的光天化日之下，你们穿得像纽约贫民窟里的衣衫褴褛的乞丐。
For shame!	这是多么可耻啊！
Remember your ancestors!	想想你们的祖先们吧！
Recall their mighty deeds!	回想下他们卓越的功绩！
Remember Uncas!—and Red jacket! and Hole in the Day!—and Whoopdedoodledo!	想想昂卡斯——红夹克以及那段日子里的空洞——还有他们的呐喊！
Emulate their achievements!	效法他们的成就！
Unfurl yourselves under my banner, noble savages, illustrious guttersnipes—”	在我的旗帜下施展你们的才能，高尚的野蛮人，杰出的流浪者——”
“Down wid him!”	“打倒他！”
“Scoop the blaggard!”	“铲除这个流氓！”
“Burn him!”	“烧死他！”
“Bang him!”	“锤死他！”
“Dhround him!”	“淹死他！”
It was the quickest operation that ever was.	他们的行动比以往都要迅速。
I simply saw a sudden flash in the air of clubs, brickbats, fists, bead-baskets, and moccasins—a single flash, and they all appeared to hit me at once, and no two of them in the same place.	我只见空中一闪而过的棍棒、砖头、拳头、念珠串成的手袋和鹿皮鞋——仅仅是一闪而过，它们一下子全砸在我身上，而且每件东西打的地方都不一样。
In the next instant the entire tribe was upon me.	下一刻，整个部落的人全冲我而来。
They tore half the clothes off me; they broke my arms and legs; they gave me a thump that dented the top of my head till it would hold coffee like a saucer; and, to crown their disgraceful proceedings and add insult to injury, they threw me over the Niagara Falls, and I got wet.	他们把我的衣服也撕掉了一半；他们打断了我的胳膊和腿；他们把我的头顶打得凹下了一块，像一个托盘，能托下一杯咖啡；然后，为了给他们这种行为予以嘉奖，他们还凌辱我，他们把我丢到尼亚加拉瀑布里，弄得我一身湿。
About ninety or a hundred feet from the top, the remains of my vest caught on a projecting rock, and I was almost drowned before I could get loose.	距离顶部大约90到100英尺的地方有一块突出的石头，我的背心挂在了上面，在挣扎出水里之前，我差点儿淹死。
I finally fell, and brought up in a world of white foam at the foot of the Fall, whose celled and bubbly masses towered up several inches above my head.	终于，我还是掉了下去并被水带到了瀑布脚下满是泡沫的世界，其中一部分还高过我的头顶几英寸。
Of course I got into the eddy.	当然，我被卷进了漩涡当中。
I sailed round and round in it forty-four times—chasing a chip and gaining on it—each round trip a half-mile—reaching for the same bush on the bank forty-four times, and just exactly missing it by a hair’s-breadth every time.	我顺着漩涡一圈又一圈地转着，转了44次——我追着一块木板并抓住了它——每一圈转半英里——44圈中每一次我都试图抓住岸边的灌木丛，但每次仅以毫厘之差而错过。
At last a man walked down and sat down close to that bush, and put a pipe in his mouth, and lit a match, and followed me with one eye and kept the other on the match, while he sheltered it in his hands from the wind.	最后，有个人走了过来，坐在灌木丛的边上，嘴里叼着只烟斗，他擦了根火柴，在他用两手护着火柴不被风吹灭时，他一只眼瞄着我，另一只眼则盯着那根火柴。
Presently a puff of wind blew it out.	一瞬间，风还是把火柴吹灭了。
The next time I swept around he said:	等我再次漂到岸边时，他说：
“Got a match?”	“你有火柴吗？”
“Yes; in my other vest.	“有，但在我的另一件背心里。
Help me out, please.”	请帮忙把我拉上来。”
“Not for Joe.”	“不行。”
When I came round again, I said:	当我又转了一圈时，我说：
“Excuse the seemingly impertinent curiosity of a drowning man, but will you explain this singular conduct of yours?”	“请原谅一个即将被淹死的人看似无礼的好奇心，您能解释下您异常行为的原因吗？”
“With pleasure.	“非常乐意。
I am the coroner.	我是一个验尸官。
Don’t hurry on my account.	听我这么说后，你可别慌。
I can wait for you.	我可以等着你。
But I wish I had a match.”	但我希望能弄到根火柴。”
I said: “Take my place, and I’ll go and get you one.”	我说：“把我拉上过来，我会给您弄来一根。”
He declined.	他拒绝了。

This lack of confidence on his part created a coldness between us, and from that time forward I avoided him.	他对我的不信任，在我们之间制造了一道冷冷的墙，从那时起，我尽量避免靠近他。
It was my idea, in case anything happened to me, to so time the occurrence as to throw my custom into the hands of the opposition coroner on the American side.	我想着，万一我遭遇不测，不就正好落到这个与美国人敌对的验尸官手中了。
At last a policeman came along, and arrested me for disturbing the peace by yelling at people on shore for help.	最后，来了一个警察，他逮捕了我，理由是我喊人寻求帮助时扰乱了这一方宁静。
The judge fined me, but had the advantage of him.	法官罚了我的款，但这总比落到那个验尸官强。
My money was with my pantaloons, and my pantaloons were with the Indians.	我的钱在裤子口袋里，而裤子却在那些印第安人手上。
Thus I escaped.	因此，我就这样逃脱了。
I am now lying in a very critical condition.	现在，我处于一种非常危险的境地。
At least I am lying anyway—critical or not critical.	至少我还在这种境地中——不管是危险还是不危险。
I am hurt all over, but I cannot tell the full extent yet, because the doctor is not done taking inventory.	我满身是伤，但我不能确切说出伤势，因为医生还没开出单子。
He will make out my manifest this evening.	今晚，他会为我的伤开出证明。
However, thus far he thinks only sixteen of my wounds are fatal.	然而，至今为止，他认为我只有16处伤是致命的。
I don’t mind the others.	其余的伤我也没太在意。
Upon regaining my right mind, I said:	当我神智恢复清醒时，我说：
“It is an awful savage tribe of Indians that do the beadwork and moccasins for Niagara Falls, doctor.	“医生，那些在尼亚加拉瀑布做念珠饰品和鹿皮鞋的印第安族人太野蛮，太可怕了。
Where are they from?”	他们是从哪里来的？”
“Limerick, my son.”	“利默里克，我的孩子。”

