"书名大科尼岛（欧·亨利经典短篇小说）短简介充满欢乐的大科尼岛缘何在主人公眼里变得暗淡无光？男主人公去参观重建后的大科尼岛，本该愉快，但却心情黯淡，任何事物在他眼中都不再美好，直到邂逅了同样来参观大科尼岛的女友。欧亨利的短篇小说《大科尼岛》以幽默略带温情的笔调讲述了一对因争执而冷战的情侣在大科尼岛偶然相遇的故事。长简介欧·亨利的短篇小说《大科尼岛》讲述了一对因争执而冷战的情侣在大科尼岛偶然相遇的故事。故事借男主人之口，叙述了他的低落情绪以及他在重建后的大科尼岛上的所见所闻。大科尼岛上虽然处处呈现出欢乐的景象，但在他看来却索然无味。他满怀伤感地来到他和恋人曾经来过的海滩，却发现恋人居然也在此寻找着昔日的回忆。此篇小说风趣诙谐却也流露着脉脉温情，小说中的这对情侣平凡但却温馨，故事的结局也是承袭欧·亨利小说一贯的圆满结局，欧·亨利以描写小人物见长，正是这些关于小人物的故事，反而更能引起读者的共鸣。风景只因恋人的存在而美丽，有你的地方才是天堂。关键字大科尼岛；欧·亨利；外研社编译组；短篇；重建；失恋的人；月光；海滩；爱情作者（美）欧·亨利作者简介欧·亨利（1862—1910），美国著名批判现实主义作家、世界三大短篇小说大师之一，被誉为“曼哈顿桂冠散文作家”和“美国现代短篇小说之父”。他的一生富于传奇性，做过药房学徒、会计、新闻记者、银行出纳等多个工作。其作品构思新颖，语言诙谐，人物众多，富于生活情趣，尤以出人意料的结尾闻名，被誉为“美国生活的幽默百科全书”。书评 当我轻松地对待可笑的事物时，我也是严肃地对待它。——马克思充满欢乐的科尼岛，缘何在主人公眼里变得暗淡无光？"
"The Greater Coney","大科尼岛"
"Lots of them was feedin’ pennies into the slot machines to see the ‘Interrupted Courtship’ in the movin’ pictures; and a good many was takin’ the sea air in the Canals of Venice and some was breathin’ the smoke of the sea battle by actual warships in a tank filled with real water.","许多人往自动售票机中投着硬币，打算看电影《中断的求爱》，许多人领略着威尼斯运河的风情，还有一些人则在一个盛满水的大水池边呼吸着来着真实海战的火药味。"
"A few was down on the sands enjoyin’ the moonlight and the water.","少数人在沙滩上享受月光和海景。"
"And the heart of me was heavy for the new morals of the old island, while the bands behind me played and the sea pounded on the bass drum in front.","然而，老科尼岛的上新道德规范却让我心情沉重，乐队在我身后演奏，大海则在我面前敲打低音鼓。"
"And directly I got up and walked along the old pavilion, and there on the other side of, half in the dark, was a slip of a girl sittin’ on the tumble-down timbers, and unless I’m a liar she was cryin’ by herself there, all alone.","不久我就站起来，绕着旧亭子周围走了走，发现亭子后面的阴影里，有个姑娘坐在坍塌的木柱子上独自哭泣。"
"“‘Is it trouble you are in, now, Miss,’ says I; ‘and what’s to be done about it?’","“‘小姐，你碰到什么麻烦了吗？’我问道，‘需要帮忙吗？’"
"“’Tis none of your business at all, Denny Carnahan,” says she, sittin’ up straight.","‘和你没关系，丹尼·卡纳汉。’那姑娘直起身来答道。"
"And it was the voice of no other than Norah Flynn.","说话的不是别人，竟然是诺拉·弗林。"
"“Then it’s not,” says I, “and we’re after having a pleasant evening, Miss Flynn.","‘没有就好，弗林小姐，’我说，‘我们度过了一个愉快的晚上。"
"Have ye seen the sights of this new Coney Island, then?","那么，这个新科尼岛的景色你都看了吗？"
"I presume ye have come here for that purpose,"" says I.","我估计你就是为了这个来的吧。’我说。"
"“I have,” says she.","‘我都看了。’她说，"
"“Me mother and Uncle Tim they are waiting beyond.","‘我妈妈和蒂姆叔叔在那边等我呢。"
"’Tis an elegant evening I’ve had.","我今晚玩得很高兴，"
"I’ve seen all the attractions that be.""","好看的地方我都看了。’"
"“Right ye are,” says I to Norah; and I don’t know when I’ve been that amused.","‘那就好。’我对诺拉说道，与此同时，我也感到前所未有的开心。"
"After disportin’ me-self among the most laughable moral improvements of the revised shell games I took meself to the shore for the benefit of the cool air.","我看完了改版以后最可笑的仙人摘豆戏法，接着又来这边海滩来呼吸凉爽的空气。"
"“And did ye observe the Durbar, Miss Flynn?”","‘你注意到杜巴了吗，弗林小姐？’"
"“I did,”says she, reflectin’; “but ’tis not safe, I’m thinkin’, to ride down them slantin’ things into the water.”","‘我注意到了，’她思考了一下回答道，‘但是我觉得，从滑道直接滑下去冲进水里不太安全。’"
"“How did ye fancy the shoot the chutes?”I asks.","‘你喜欢从那个滑道上冲下去吗？’我问道。"
"“True, then, I’m afraid of guns,”says Norah.","‘说实话，我怕打枪，’诺拉说，"
"“They make such noise in my ears.","‘声音太大了，震得耳朵嗡嗡响。"
"But Uncle Tim, he shot them, he did, and won cigars.","可是蒂姆叔叔喜欢玩，他打了枪，还赢了雪茄。"
"’Tis a fine time we had this day, Mr. Carnahan.”","我们今天玩得很开心，卡纳汉先生。’"
"“I’m glad you’ve enjoyed yerself,” I says.","‘你玩得开心，我真高兴。’我回答道，"
"“I suppose you’ve had a roarin’ fine time seein’ the sights.","‘我猜你在那些景点玩得很愉快。"
"And how did the incubators and the helter-skelter and the midgets suit the taste of ye?”","你觉得那个保育箱、螺旋滑梯和侏儒对你的胃口吗？’"
"“I—I wasn’t hungry,’ says Norah, faint.","‘我——我不饿。’诺拉有气无力地说‘"
"“But mother ate a quantity of all of ’em.","‘但是妈妈各种东西都吃了好多。"
"I’m that pleased with the fine things in the new Coney Island,’ says she, ‘that it’s the happiest day I’ve seen in a long time, at all.”","新科尼岛的好东西让我感到高兴，’她说，‘这是我好久以来最开心的一天。’"
"“Did you see Venice?”says I.","‘你看了威尼斯了吗？’我问道。"
"“We did,” says she.","‘我们看了，’她回答，"
"‘She was a beauty.","‘她是个美人儿。"
"She was all dressed in red, she was, with—’","她一身红衣服，她——’"
"I listened no more to Norah Flynn.","我不再听诺拉·弗林胡扯了。"
"I stepped up and I gathered her in my arms.","我走上前去，把她搂在了怀里。"
"“’Tis a story-teller ye are, Norah Flynn’, says I.","‘你真会撒谎，诺拉·弗林，’我说道，"
"“Ye’ve seen no more of the greater Coney Island than I have meself.","‘你看到的新科尼岛一点也不比我看到的多。"
"Come, now, tell the truth—ye came to sit by the old pavilion by the waves where you sat last summer and made Dennis Carnahan a happy man.","来吧，跟我说实话，你来这里是为了到这座海边的老亭子坐坐，而去年夏天正是你在这里让丹尼斯·卡纳汉成了幸福的人。"
"Speak up, and tell the truth.”","来吧，告诉我真相。’"
"Norah stuck her nose against me vest.","诺拉把头埋进了我怀里。"
"“I despise it, Denny,”she says, half cryin’.","‘我才不爱看那些景点呢，丹尼，’她就快要哭了‘"
"“Mother and Uncle Tim went to see the shows, but I came down here to think of you.","’妈妈和蒂姆叔叔去看表演了，但我来这里是为了回忆你我的往事。"
"I couldn’t bear the lights and the crowd.","那些灯光和人群让我无法忍受。"
"Are you forgivin’ me, Denny, for the words we had?”","你能原谅我么？原谅我说过的那些不该说的话？‘"
"“Twas me fault,”says I.","‘那是我的错，’我说，"
"“I came here for the same reason meself.","‘我来这里的目的和你一样。"
"Look at the lights, Norah,” I says, turning my back to the sea—“ain’t they pretty?”","你瞧那些灯光，诺拉，’我转过身，背对着大海说，‘它们不是很美吗？’"
"“They are,” says Norah, with her eyes shinin’; “and do ye hear the bands playin?”","‘确实很美，’诺拉眼睛一亮，‘你听到乐队的演奏了吗？"
"Oh, Denny, I think I’d like to see it all.’","哦，丹尼，我想到处去看看。’"
"“The old Coney is gone, darlin’,” I says to her.","‘曾经的科尼岛已经不复存在了，亲爱的。’我对她说，"
"“Everything moves.","‘一切都在变化。"
"When a man’s glad it’s not scenes of sadness he wants.","人们高兴的时候，不会去想那些悲伤的景象。"
"’Tis a greater Coney we have here, but we couldn’t see it till we got in the humour for it.","现在的科尼岛更好了，但是我们情绪不对的时候，根本注意不到。"
"Next Sunday, Norah darlin’, we’ll see the new place from end to end.”","亲爱的诺拉，下星期六，让我们从头到尾好好看看这个新地方吧。’"

